,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01023,25,16.0,,13.4,,16.0,11.0,,,,,18.5,,108.0,,113.8,,15.5,,,6.0,35.1,,,,,,,,,46.0,,-9.0,,-11.6,,-9.0,-14.0,,,,,-6.5,,83.0,,88.8,,-9.5,,,-19.0,10.1,,,,,,,,,21.0,,,False,,False,False,,,,,True,,False,,False,,False,,,False,False,,,,,,,,,False,
01025,199,336.0,,341.2,,247.0,216.0,,,,,191.9,,229.0,,216.3,,34.8,,,242.0,284.0,,,,,260.3,,,,83.0,,137.0,,142.2,,48.0,17.0,,,,,-7.1,,30.0,,17.3,,-164.2,,,43.0,85.0,,,,,61.3,,,,-116.0,,,False,,True,True,,,,,True,,True,,True,,False,,,True,True,,,,,True,,,,True,
01027,141,176.0,,154.5,,149.0,146.0,,,,,103.4,,69.0,,314.3,,27.9,,,46.1,172.1,,,,,,,,,212.0,,35.0,,13.5,,8.0,5.0,,,,,-37.6,,-72.0,,173.3,,-113.1,,,-94.9,31.1,,,,,,,,,71.0,,,True,,True,True,,,,,False,,False,,False,,False,,,False,True,,,,,,,,,False,
01029,172,164.0,,154.9,,141.0,116.0,,,,,97.9,,104.0,,331.2,,26.8,,,117.8,205.7,,,,,,,,,129.0,,-8.0,,-17.1,,-31.0,-56.0,,,,,-74.1,,-68.0,,159.2,,-145.2,,,-54.2,33.7,,,,,,,,,-43.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,,,,,,,,,False,
01031,514,592.0,,630.4,,532.0,714.0,,,,,391.5,,250.0,,530.9,,219.6,493.5,,413.4,549.4,,,,,397.8,,,,485.0,,78.0,,116.4,,18.0,200.0,,,,,-122.5,,-264.0,,16.9,,-294.4,-20.5,,-100.6,35.4,,,,,-116.2,,,,-29.0,,,False,,True,False,,,,,False,,False,,True,,False,True,,False,True,,,,,False,,,,True,
01033,904,488.0,,502.4,,472.0,642.0,,,,,319.8,,480.0,,402.8,,100.9,430.0,,343.4,544.5,,,,,355.3,,,,410.0,,-416.0,,-401.6,,-432.0,-262.0,,,,,-584.2,,-424.0,,-501.2,,-803.1,-474.0,,-560.6,-359.5,,,,,-548.7,,,,-494.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,True,,,,,False,,,,False,
01035,106,28.0,,30.6,,27.0,0.0,,,,,29.9,,57.0,,34.9,,12.6,,,2.6,33.6,0.0,,,,,,,,39.0,,-78.0,,-75.4,,-79.0,-106.0,,,,,-76.1,,-49.0,,-71.1,,-93.4,,,-103.4,-72.4,-106.0,,,,,,,,-67.0,,,True,,False,False,,,,,True,,True,,True,,False,,,False,True,False,,,,,,,,True,
01037,94,28.0,,28.8,,28.0,26.0,,,,,19.8,,35.0,,59.7,,12.8,,,10.0,38.5,0.0,,,,,,,,49.0,,-66.0,,-65.2,,-66.0,-68.0,,,,,-74.2,,-59.0,,-34.3,,-81.2,,,-84.0,-55.5,-94.0,,,,,,,,-45.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
01039,377,400.0,,378.4,,299.0,439.0,,,,,358.9,,232.0,,326.8,,108.2,355.0,,257.8,393.7,0.2,,,,174.4,,,,175.0,,23.0,,1.4,,-78.0,62.0,,,,,-18.1,,-145.0,,-50.2,,-268.8,-22.0,,-119.2,16.7,-376.8,,,,-202.6,,,,-202.0,,,True,,False,False,,,,,True,,False,,False,,False,True,,False,True,False,,,,False,,,,False,
01041,94,92.0,,95.8,,64.0,22.0,,,,,54.0,,64.0,,183.5,,29.3,,,24.9,93.5,0.0,,,,,,,,102.0,,-2.0,,1.8,,-30.0,-72.0,,,,,-40.0,,-30.0,,89.5,,-64.7,,,-69.1,-0.5,-94.0,,,,,,,,8.0,,,True,,False,False,,,,,False,,False,,False,,False,,,False,True,False,,,,,,,,False,
01043,1595,912.0,,972.1,,777.0,1654.0,,,,,503.9,,655.0,,835.5,,109.1,832.5,,625.7,1147.9,4.9,,,,490.2,,,,444.0,,-683.0,,-622.9,,-818.0,59.0,,,,,-1091.1,,-940.0,,-759.5,,-1485.9,-762.5,,-969.3,-447.1,-1590.1,,,,-1104.8,,,,-1151.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,True,False,,,,False,,,,False,
01045,485,588.0,,611.5,,326.0,243.0,,,,,641.3,,240.0,,312.7,,102.7,340.5,,487.5,399.4,0.7,,,,379.1,,,,217.0,,103.0,,126.5,,-159.0,-242.0,,,,,156.3,,-245.0,,-172.3,,-382.3,-144.5,,2.5,-85.6,-484.3,,,,-105.9,,,,-268.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,True,True,False,,,,False,,,,False,
01047,328,80.0,,80.9,,66.0,54.0,,,,,67.6,,217.0,,144.7,,41.5,90.5,,11.7,90.4,0.1,,,,42.3,,,,66.0,,-248.0,,-247.1,,-262.0,-274.0,,,,,-260.4,,-111.0,,-183.3,,-286.5,-237.5,,-316.3,-237.6,-327.9,,,,-285.7,,,,-262.0,,,True,,False,False,,,,,False,,True,,True,,False,True,,False,True,False,,,,False,,,,False,
01049,1157,1172.0,,1177.8,,1112.0,1562.0,,,,,566.5,,695.0,,1437.2,,161.5,1394.5,,1063.6,1181.8,412.8,,,,530.1,,,,841.0,,15.0,,20.8,,-45.0,405.0,,,,,-590.5,,-462.0,,280.2,,-995.5,237.5,,-93.4,24.8,-744.2,,,,-626.9,,,,-316.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,,,,False,,,,False,
01051,691,504.0,,511.6,,426.0,417.0,,,,,408.2,,315.0,,464.6,,163.3,522.5,,351.9,533.6,2.5,,,,443.6,,,,459.0,,-187.0,,-179.4,,-265.0,-274.0,,,,,-282.8,,-376.0,,-226.4,,-527.7,-168.5,,-339.1,-157.4,-688.5,,,,-247.4,,,,-232.0,,,True,,False,False,,,,,False,,False,,False,,False,True,,False,True,False,,,,False,,,,False,
01053,213,92.0,,94.7,,77.0,13.0,,,,,94.7,,343.0,,154.4,,55.8,130.0,,17.2,95.1,0.1,,,,67.0,,,,146.0,,-121.0,,-118.3,,-136.0,-200.0,,,,,-118.3,,130.0,,-58.6,,-157.2,-83.0,,-195.8,-117.9,-212.9,,,,-146.0,,,,-67.0,,,True,,False,False,,,,,True,,False,,True,,False,True,,False,True,False,,,,False,,,,True,
01055,1535,1256.0,,1261.2,,1024.0,2835.0,,,,,745.2,,845.0,,1062.1,,212.9,961.0,,963.7,1192.4,5.9,,,,783.1,,,,1025.0,,-279.0,,-273.8,,-511.0,1300.0,,,,,-789.8,,-690.0,,-472.9,,-1322.1,-574.0,,-571.3,-342.6,-1529.1,,,,-751.9,,,,-510.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,,,,False,,,,False,
01057,236,152.0,,149.9,,108.0,91.0,,,,,91.8,,108.0,,243.4,,41.5,,,63.9,142.9,0.5,,,,,,,,193.0,,-84.0,,-86.1,,-128.0,-145.0,,,,,-144.2,,-128.0,,7.4,,-194.5,,,-172.1,-93.1,-235.5,,,,,,,,-43.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,True,
01059,371,312.0,,303.9,,295.0,172.0,,,,,224.2,,317.0,,399.7,,101.8,344.5,,137.0,298.7,244.1,,,,182.6,,,,557.0,,-59.0,,-67.1,,-76.0,-199.0,,,,,-146.8,,-54.0,,28.7,,-269.2,-26.5,,-234.0,-72.3,-126.9,,,,-188.4,,,,186.0,,,False,,False,False,,,,,False,,True,,True,,False,True,,False,False,False,,,,False,,,,False,
01061,252,308.0,,323.0,,180.0,183.0,,,,,313.4,,154.0,,233.4,,93.4,,,137.2,235.8,0.1,,,,,,,,103.0,,56.0,,71.0,,-72.0,-69.0,,,,,61.4,,-98.0,,-18.6,,-158.6,,,-114.8,-16.2,-251.9,,,,,,,,-149.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,True,False,,,,,,,,False,
01063,56,52.0,,31.9,,22.0,0.0,,,,,16.4,,36.0,,73.3,,10.5,,,2.6,30.7,0.0,,,,,,,,35.0,,-4.0,,-24.1,,-34.0,-56.0,,,,,-39.6,,-20.0,,17.3,,-45.5,,,-53.4,-25.3,-56.0,,,,,,,,-21.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
01065,142,132.0,,134.3,,108.0,55.0,,,,,100.0,,115.0,,200.7,,48.0,,,25.0,123.9,0.3,,,,,,,,35.0,,-10.0,,-7.7,,-34.0,-87.0,,,,,-42.0,,-27.0,,58.7,,-94.0,,,-117.0,-18.1,-141.7,,,,,,,,-107.0,,,True,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
01067,118,348.0,,376.3,,146.0,57.0,,,,,411.9,,68.0,,189.0,,58.3,,,162.9,184.9,96.0,,,,,,,,31.0,,230.0,,258.3,,28.0,-61.0,,,,,293.9,,-50.0,,71.0,,-59.7,,,44.9,66.9,-22.0,,,,,,,,-87.0,,,False,,True,True,,,,,False,,True,,True,,True,,,True,True,True,,,,,,,,True,
01069,821,2196.0,,2098.3,,904.0,181.0,,,,,2715.0,,583.0,,428.8,,342.2,910.0,,1772.3,860.1,751.8,,,,1209.4,,,,336.0,,1375.0,,1277.3,,83.0,-640.0,,,,,1894.0,,-238.0,,-392.2,,-478.8,89.0,,951.3,39.1,-69.2,,,,388.4,,,,-485.0,,,True,,True,True,,,,,False,,True,,True,,True,True,,True,True,True,,,,True,,,,True,
01071,752,740.0,,746.3,,620.0,1023.0,,,,,415.0,,559.0,,834.5,,110.3,778.5,,585.5,649.6,266.2,,,,351.7,,,,386.0,,-12.0,,-5.7,,-132.0,271.0,,,,,-337.0,,-193.0,,82.5,,-641.6,26.5,,-166.5,-102.4,-485.8,,,,-400.3,,,,-366.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,,,,False,,,,False,
01073,6833,3740.0,,3624.4,3597.9,3454.0,3732.0,,,,,5344.2,,3236.0,,3318.1,,1222.0,3587.0,,3316.7,4725.6,206.0,,,,2378.5,4532.0,,,3234.0,,-3093.0,,-3208.6,-3235.1,-3379.0,-3101.0,,,,,-1488.8,,-3597.0,,-3514.9,,-5611.0,-3246.0,,-3516.3,-2107.4,-6627.0,,,,-4454.5,-2301.0,,,-3599.0,,,False,False,False,False,,,,,True,,False,,False,,False,False,,False,True,False,,,,False,True,,,False,
01075,119,176.0,,167.3,,133.0,126.0,,,,,160.0,,99.0,,224.7,,37.6,,,113.9,161.2,55.0,,,,,,,,117.0,,57.0,,48.3,,14.0,7.0,,,,,41.0,,-20.0,,105.7,,-81.4,,,-5.1,42.2,-64.0,,,,,,,,-2.0,,,True,,True,True,,,,,True,,True,,False,,False,,,True,True,False,,,,,,,,True,
01077,1419,932.0,,894.1,,846.0,876.0,,,,,698.9,,785.0,,803.8,,150.4,745.0,,966.2,1009.3,413.7,,,,576.4,,,,713.0,,-487.0,,-524.9,,-573.0,-543.0,,,,,-720.1,,-634.0,,-615.2,,-1268.6,-674.0,,-452.8,-409.7,-1005.3,,,,-842.6,,,,-706.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,True,True,False,,,,False,,,,False,
01079,339,272.0,,270.1,,267.0,347.0,,,,,186.1,,259.0,,365.8,,63.1,304.0,,242.8,290.7,85.2,,,,,,,,0.0,,-67.0,,-68.9,,-72.0,8.0,,,,,-152.9,,-80.0,,26.8,,-275.9,-35.0,,-96.2,-48.3,-253.8,,,,,,,,-339.0,,,False,,False,True,,,,,False,,False,,True,,False,True,,False,True,False,,,,,,,,False,
01081,951,452.0,,442.9,,361.0,244.0,,,,,486.7,,678.0,,360.5,,356.3,525.5,,325.9,575.1,9.9,,,,486.1,183.0,,,479.0,,-499.0,,-508.1,,-590.0,-707.0,,,,,-464.3,,-273.0,,-590.5,,-594.7,-425.5,,-625.1,-375.9,-941.1,,,,-464.9,-768.0,,,-472.0,,,False,,False,False,,,,,True,,True,,False,,False,True,,False,True,False,,,,True,False,,,True,
01083,1071,736.0,,691.7,,710.0,590.0,,,,,529.6,,736.0,,685.3,,158.1,811.5,,713.7,851.0,593.9,,,,451.0,,,,425.0,,-335.0,,-379.3,,-361.0,-481.0,,,,,-541.4,,-335.0,,-385.7,,-912.9,-259.5,,-357.3,-220.0,-477.1,,,,-620.0,,,,-646.0,,,False,,False,False,,,,,False,,False,,False,,False,True,,False,True,False,,,,False,,,,False,
01085,69,52.0,,45.9,,28.0,0.0,,,,,43.7,,28.0,,69.2,,19.4,,,14.3,77.9,0.1,,,,,,,,0.0,,-17.0,,-23.1,,-41.0,-69.0,,,,,-25.3,,-41.0,,0.2,,-49.6,,,-54.7,8.9,-68.9,,,,,,,,-69.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,True,False,,,,,,,,False,
01087,153,28.0,,21.4,,28.0,28.0,,,,,41.1,,58.0,,125.8,,24.8,,,5.3,54.5,0.0,,,,,,,,9.0,,-125.0,,-131.6,,-125.0,-125.0,,,,,-111.9,,-95.0,,-27.2,,-128.2,,,-147.7,-98.5,-153.0,,,,,,,,-144.0,,,False,,False,False,,,,,True,,True,,True,,False,,,False,True,False,,,,,,,,False,
01089,2822,1548.0,,1551.0,1801.5,1509.0,1504.0,,,,,1536.4,,2014.0,,1379.9,,600.8,1534.0,,1410.6,1975.5,68.0,,,,862.0,1572.0,,,727.0,,-1274.0,,-1271.0,-1020.5,-1313.0,-1318.0,,,,,-1285.6,,-808.0,,-1442.1,,-2221.2,-1288.0,,-1411.4,-846.5,-2754.0,,,,-1960.0,-1250.0,,,-2095.0,,,True,True,False,False,,,,,False,,True,,False,,False,False,,False,True,False,,,,False,True,,,False,
01091,151,208.0,,188.4,,165.0,7.0,,,,,124.2,,178.0,,339.6,,36.2,,,120.4,239.7,0.2,,,,,,,,77.0,,57.0,,37.4,,14.0,-144.0,,,,,-26.8,,27.0,,188.6,,-114.8,,,-30.6,88.7,-150.8,,,,,,,,-74.0,,,True,,True,False,,,,,True,,True,,False,,False,,,True,False,False,,,,,,,,False,
01093,257,156.0,,141.7,,123.0,92.0,,,,,129.8,,213.0,,151.5,,40.7,144.0,,97.8,174.5,0.2,,,,102.4,,,,192.0,,-101.0,,-115.3,,-134.0,-165.0,,,,,-127.2,,-44.0,,-105.5,,-216.3,-113.0,,-159.2,-82.5,-256.8,,,,-154.6,,,,-65.0,,,False,,False,False,,,,,False,,True,,False,,False,False,,False,True,False,,,,False,,,,True,
01095,1335,564.0,,561.1,,523.0,768.0,,,,,334.6,,830.0,,490.3,,143.9,573.5,,400.0,600.0,6.4,,,,311.2,,,,924.0,,-771.0,,-773.9,,-812.0,-567.0,,,,,-1000.4,,-505.0,,-844.7,,-1191.1,-761.5,,-935.0,-735.0,-1328.6,,,,-1023.8,,,,-411.0,,,False,,False,True,,,,,False,,True,,False,,False,True,,False,True,False,,,,False,,,,True,
01097,2329,10528.0,,11077.4,1954.1,3964.0,2214.0,,,,,6941.3,,4649.0,,1063.8,,528.4,7829.0,,10322.6,4151.1,1516.8,,,,5069.0,83975.0,,,47522.0,,8199.0,,8748.4,-374.9,1635.0,-115.0,,,,,4612.3,,2320.0,,-1265.2,,-1800.6,5500.0,,7993.6,1822.1,-812.2,,,,2740.0,81646.0,,,45193.0,,,False,True,True,True,,,,,True,,True,,True,,True,True,,True,True,True,,,,True,False,,,False,
01099,119,88.0,,84.0,,81.0,6.0,,,,,44.3,,138.0,,155.7,,14.4,,,12.6,94.3,0.0,,,,,,,,111.0,,-31.0,,-35.0,,-38.0,-113.0,,,,,-74.7,,19.0,,36.7,,-104.6,,,-106.4,-24.7,-119.0,,,,,,,,-8.0,,,False,,False,False,,,,,False,,True,,False,,False,,,False,True,False,,,,,,,,True,
01101,1729,2452.0,,2540.0,1779.6,1844.0,2356.0,,,,,2202.0,,911.0,,1440.4,,340.9,1788.5,,1640.2,2750.0,1122.0,,,,1525.7,4837.0,,,2359.0,,723.0,,811.0,50.6,115.0,627.0,,,,,473.0,,-818.0,,-288.6,,-1388.1,59.5,,-88.8,1021.0,-607.0,,,,-203.3,3108.0,,,630.0,,,False,True,True,True,,,,,True,,False,,True,,False,True,,True,False,True,,,,True,False,,,True,
01103,1859,940.0,,954.3,,834.0,797.0,,,,,629.5,,889.0,,945.4,,198.0,1048.5,,655.7,1117.8,24.8,,,,714.5,,,,612.0,,-919.0,,-904.7,,-1025.0,-1062.0,,,,,-1229.5,,-970.0,,-913.6,,-1661.0,-810.5,,-1203.3,-741.2,-1834.2,,,,-1144.5,,,,-1247.0,,,True,,False,False,,,,,False,,False,,True,,False,True,,False,True,False,,,,False,,,,False,
01105,76,48.0,,24.2,,24.0,0.0,,,,,43.8,,33.0,,36.7,,5.6,,,21.5,61.3,0.0,,,,,,,,7.0,,-28.0,,-51.8,,-52.0,-76.0,,,,,-32.2,,-43.0,,-39.3,,-70.4,,,-54.5,-14.7,-76.0,,,,,,,,-69.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,,,,,,,,False,
01107,283,276.0,,282.1,,151.0,117.0,,,,,159.6,,143.0,,371.7,,50.6,,,147.6,246.0,61.2,,,,,,,,119.0,,-7.0,,-0.9,,-132.0,-166.0,,,,,-123.4,,-140.0,,88.7,,-232.4,,,-135.4,-37.0,-221.8,,,,,,,,-164.0,,,True,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
01109,193,144.0,,133.5,,125.0,111.0,,,,,119.9,,172.0,,168.6,,64.7,131.5,,53.3,175.5,0.0,,,,108.1,,,,145.0,,-49.0,,-59.5,,-68.0,-82.0,,,,,-73.1,,-21.0,,-24.4,,-128.3,-61.5,,-139.7,-17.5,-193.0,,,,-84.9,,,,-48.0,,,False,,False,False,,,,,False,,True,,True,,False,False,,False,True,False,,,,False,,,,True,
01111,161,168.0,,170.2,,151.0,214.0,,,,,89.0,,137.0,,260.2,,71.0,,,60.0,147.5,0.4,,,,,,,,160.0,,7.0,,9.2,,-10.0,53.0,,,,,-72.0,,-24.0,,99.2,,-90.0,,,-101.0,-13.5,-160.6,,,,,,,,-1.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,True,
