,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,116535,48600.0,74101.0,,46056.4,22695.0,,27494.0,41467.0,39720.0,28197.2,30423.7,29867.7,24899.6,43061.0,-67935.0,-42434.0,,-70478.6,-93840.0,,-89041.0,-75068.0,-76815.0,-88337.8,-86111.3,-86667.3,-91635.4,-73474.0,True,,False,False,,False,False,False,False,False,False,False,False
Hawaii,3796,3822.0,5304.0,,4054.1,1223.0,,,5746.8,3911.6,7903.4,2632.3,1707.3,3905.3,1139.0,26.0,1508.0,,258.1,-2573.0,,,1950.8,115.6,4107.4,-1163.7,-2088.7,109.3,-2657.0,False,,False,False,,,False,False,False,False,False,False,False
Idaho,43133,23994.0,27953.0,,22675.5,7477.0,,14607.0,35506.7,24366.1,11743.4,13352.2,10269.9,18439.1,14642.0,-19139.0,-15180.0,,-20457.5,-35656.0,,-28526.0,-7626.3,-18766.9,-31389.6,-29780.8,-32863.1,-24693.9,-28491.0,True,,False,False,,False,True,True,False,False,False,False,False
Illinois,326835,100014.0,129627.0,,90483.9,18312.0,,66634.0,132463.8,74986.0,57566.4,71485.5,80042.3,154745.2,85573.0,-226821.0,-197208.0,,-236351.1,-308523.0,,-260201.0,-194371.2,-251849.0,-269268.6,-255349.5,-246792.7,-172089.8,-241262.0,True,,False,False,,False,True,False,False,False,False,True,False
Indiana,155772,56112.0,80733.0,,50711.9,26902.0,,38206.0,74397.0,44599.0,62096.5,43841.4,30449.6,106955.9,87083.0,-99660.0,-75039.0,,-105060.1,-128870.0,,-117566.0,-81375.0,-111173.0,-93675.5,-111930.6,-125322.4,-48816.1,-68689.0,True,,False,False,,False,True,False,True,False,False,True,True
Iowa,110161,40446.0,43448.0,,40606.8,26179.0,,29932.0,47125.3,36398.5,18756.1,28122.2,20431.9,38334.1,45254.0,-69715.0,-66713.0,,-69554.2,-83982.0,,-80229.0,-63035.7,-73762.5,-91404.9,-82038.8,-89729.1,-71826.9,-64907.0,True,,True,False,,False,True,False,False,False,False,False,True
Kansas,69707,25884.0,27014.0,,25203.6,25842.0,,21168.0,15078.2,34026.3,14283.7,12765.6,20553.3,16130.0,20674.0,-43823.0,-42693.0,,-44503.4,-43865.0,,-48539.0,-54628.8,-35680.7,-55423.3,-56941.4,-49153.7,-53577.0,-49033.0,True,,False,False,,False,False,True,False,False,False,False,False
Kentucky,76463,44664.0,39589.0,,44129.3,30705.0,,32020.0,54457.8,49518.3,24490.4,26752.5,38991.7,46859.9,66610.0,-31799.0,-36874.0,,-32333.7,-45758.0,,-44443.0,-22005.2,-26944.7,-51972.6,-49710.5,-37471.3,-29603.1,-9853.0,False,,False,False,,False,True,True,False,False,False,True,True
Louisiana,43303,20862.0,25952.0,,21162.0,6999.0,,21333.0,7430.7,17934.6,24225.9,14662.8,10088.9,14188.9,11212.0,-22441.0,-17351.0,,-22141.0,-36304.0,,-21970.0,-35872.3,-25368.4,-19077.1,-28640.2,-33214.1,-29114.1,-32091.0,True,,True,False,,True,False,False,True,False,False,False,False
Maine,4428,1266.0,1927.0,,1231.7,572.0,,1459.0,1201.0,1231.1,2366.9,681.1,1070.9,1038.1,1150.0,-3162.0,-2501.0,,-3196.3,-3856.0,,-2969.0,-3227.0,-3196.9,-2061.1,-3746.9,-3357.1,-3389.9,-3278.0,True,,False,False,,True,False,False,True,False,False,False,False
Maryland,49176,23856.0,27527.0,,22474.8,2100.0,,17014.0,28239.7,15745.7,32467.7,14796.5,14963.0,27858.8,28285.0,-25320.0,-21649.0,,-26701.2,-47076.0,,-32162.0,-20936.3,-33430.3,-16708.3,-34379.5,-34213.0,-21317.2,-20891.0,True,,False,False,,False,True,False,True,False,False,True,True
Massachusetts,65815,24222.0,21397.0,,27694.1,15602.0,,16400.0,40571.0,17457.3,25823.6,13564.8,14073.8,28348.6,21178.0,-41593.0,-44418.0,,-38120.9,-50213.0,,-49415.0,-25244.0,-48357.7,-39991.4,-52250.2,-51741.2,-37466.4,-44637.0,False,,True,False,,False,True,False,True,False,False,True,False
Michigan,179568,49092.0,74551.0,,47909.3,16382.0,,38825.0,84033.8,37973.5,50744.4,20817.6,33209.8,38732.4,74227.0,-130476.0,-105017.0,,-131658.7,-163186.0,,-140743.0,-95534.2,-141594.5,-128823.6,-158750.4,-146358.2,-140835.6,-105341.0,True,,False,False,,False,True,False,True,False,False,False,True
Minnesota,152124,48246.0,58474.0,,44001.3,50424.0,,48657.0,64125.6,38942.1,22730.1,37495.6,35083.9,69305.6,50334.0,-103878.0,-93650.0,,-108122.7,-101700.0,,-103467.0,-87998.4,-113181.9,-129393.9,-114628.4,-117040.1,-82818.4,-101790.0,True,,False,True,,True,True,False,False,False,False,True,True
Mississippi,37763,26826.0,30565.0,,17229.5,6846.0,,18416.0,36795.8,21481.6,10576.3,14106.4,18040.2,21181.5,29042.0,-10937.0,-7198.0,,-20533.5,-30917.0,,-19347.0,-967.2,-16281.4,-27186.7,-23656.6,-19722.8,-16581.5,-8721.0,True,,False,False,,False,True,False,False,False,False,False,True
Missouri,127139,78312.0,66297.0,,55009.4,54304.0,,44367.0,58759.5,61815.4,29506.5,32502.6,48369.2,96236.1,53270.0,-48827.0,-60842.0,,-72129.6,-72835.0,,-82772.0,-68379.5,-65323.6,-97632.5,-94636.4,-78769.8,-30902.9,-73869.0,False,,False,False,,False,False,False,False,False,False,True,False
Montana,36425,22566.0,29261.0,,24845.3,11401.0,,21040.0,28996.6,40033.9,3814.4,22498.0,9661.6,25793.7,17169.0,-13859.0,-7164.0,,-11579.7,-25024.0,,-15385.0,-7428.4,3608.9,-32610.6,-13927.0,-26763.4,-10631.3,-19256.0,True,,True,False,,False,True,True,False,False,False,True,False
Nebraska,61142,26904.0,32925.0,,21175.9,20512.0,,17807.0,19768.8,21168.9,18316.6,19860.0,16531.4,33411.8,28667.0,-34238.0,-28217.0,,-39966.1,-40630.0,,-43335.0,-41373.2,-39973.1,-42825.4,-41282.0,-44610.6,-27730.2,-32475.0,True,,False,False,,False,False,False,False,False,False,True,True
Nevada,46334,22146.0,24431.0,,23170.2,5235.0,,8399.0,37505.7,16558.6,19313.7,13080.2,11300.2,23591.0,23430.0,-24188.0,-21903.0,,-23163.8,-41099.0,,-37935.0,-8828.3,-29775.4,-27020.3,-33253.8,-35033.8,-22743.0,-22904.0,True,,True,False,,False,True,False,False,False,False,True,True
New Hampshire,8223,2970.0,7958.0,,2908.1,2746.0,,2346.0,2498.4,2414.9,3732.4,1955.9,1755.1,10131.6,8527.0,-5253.0,-265.0,,-5314.9,-5477.0,,-5877.0,-5724.6,-5808.1,-4490.6,-6267.1,-6467.9,1908.6,304.0,True,,False,False,,False,False,False,True,False,False,True,True
New Jersey,89162,31806.0,42982.0,,36617.3,6699.0,,18107.0,56582.8,18829.1,81420.6,20072.9,26912.6,35159.7,48110.0,-57356.0,-46180.0,,-52544.7,-82463.0,,-71055.0,-32579.2,-70332.9,-7741.4,-69089.1,-62249.4,-54002.3,-41052.0,True,,True,False,,False,True,False,True,False,False,True,True
New Mexico,46718,14556.0,23086.0,,15349.4,2978.0,,9316.0,32789.9,13786.2,12929.5,10216.5,8457.4,30903.3,18540.0,-32162.0,-23632.0,,-31368.6,-43740.0,,-37402.0,-13928.1,-32931.8,-33788.4,-36501.5,-38260.6,-15814.7,-28178.0,True,,True,False,,False,True,False,False,False,False,True,True
New York,121283,58698.0,90347.0,,61415.2,13061.0,,31222.0,138328.2,41662.7,153170.3,32511.0,43203.8,87643.6,105098.0,-62585.0,-30936.0,,-59867.8,-108222.0,,-90061.0,17045.2,-79620.3,31887.3,-88772.0,-78079.2,-33639.4,-16185.0,True,,True,False,,False,True,False,True,False,False,True,True
North Carolina,102509,77196.0,127832.0,,57291.5,39069.0,,65268.0,130803.5,70132.3,51148.6,48094.0,76537.4,107520.4,95782.0,-25313.0,25323.0,,-45217.5,-63440.0,,-37241.0,28294.5,-32376.7,-51360.4,-54415.0,-25971.6,5011.4,-6727.0,False,,False,False,,False,False,False,False,False,False,True,True
North Dakota,44913,20958.0,19001.0,,16657.0,14814.0,,16437.0,18725.9,22666.5,7508.0,17511.8,23399.1,17295.3,24613.0,-23955.0,-25912.0,,-28256.0,-30099.0,,-28476.0,-26187.1,-22246.5,-37405.0,-27401.2,-21513.9,-27617.7,-20300.0,False,,False,False,,False,False,True,False,False,True,False,True
Ohio,175828,56952.0,83125.0,,49808.8,33793.0,,48204.0,63551.7,54966.7,101947.1,34894.7,31104.8,87414.0,56851.0,-118876.0,-92703.0,,-126019.2,-142035.0,,-127624.0,-112276.3,-120861.3,-73880.9,-140933.3,-144723.2,-88414.0,-118977.0,True,,False,False,,False,True,False,True,False,False,True,False
Oklahoma,72303,47238.0,59023.0,,46575.2,34391.0,,44391.0,52233.8,38893.5,24153.1,27131.7,20757.4,44501.0,38166.0,-25065.0,-13280.0,,-25727.8,-37912.0,,-27912.0,-20069.2,-33409.5,-48149.9,-45171.3,-51545.6,-27802.0,-34137.0,True,,False,False,,False,True,False,False,False,False,False,False
Oregon,26744,14478.0,19165.0,,13181.8,7005.0,,7994.0,23904.7,16020.3,15740.9,9619.9,7667.0,24943.6,19124.0,-12266.0,-7579.0,,-13562.2,-19739.0,,-18750.0,-2839.3,-10723.7,-11003.1,-17124.1,-19077.0,-1800.4,-7620.0,True,,False,False,,False,True,True,True,False,False,True,True
Pennsylvania,131191,57354.0,109807.0,,44644.7,9863.0,,35394.0,68537.3,43576.4,96853.5,29642.2,71048.8,72668.5,52764.0,-73837.0,-21384.0,,-86546.3,-121328.0,,-95797.0,-62653.7,-87614.6,-34337.5,-101548.8,-60142.2,-58522.5,-78427.0,True,,False,False,,False,True,False,True,False,True,True,False
Rhode Island,21707,7308.0,8248.0,,5366.6,1107.0,,4415.0,6510.7,5700.4,5978.8,2952.7,4520.4,3725.3,11465.0,-14399.0,-13459.0,,-16340.4,-20600.0,,-17292.0,-15196.3,-16006.6,-15728.2,-18754.3,-17186.6,-17981.7,-10242.0,True,,False,False,,False,False,False,False,False,False,False,True
South Carolina,48397,34380.0,41195.0,,33960.1,15557.0,,30857.0,49422.6,30081.2,11341.4,20699.8,16959.3,24213.2,24813.0,-14017.0,-7202.0,,-14436.9,-32840.0,,-17540.0,1025.6,-18315.8,-37055.6,-27697.2,-31437.7,-24183.8,-23584.0,True,,False,False,,False,True,False,False,False,False,False,False
South Dakota,44267,23766.0,25463.0,,18461.7,13863.0,,19717.0,23283.6,28115.6,8377.1,20659.6,11153.5,19597.6,14406.0,-20501.0,-18804.0,,-25805.3,-30404.0,,-24550.0,-20983.4,-16151.4,-35889.9,-23607.4,-33113.5,-24669.4,-29861.0,True,,False,False,,False,False,True,False,False,False,False,False
Tennessee,123238,78324.0,121410.0,,61916.9,32469.0,,53677.0,59913.7,69557.2,33331.9,47675.9,44317.6,74939.2,61088.0,-44914.0,-1828.0,,-61321.1,-90769.0,,-69561.0,-63324.3,-53680.8,-89906.1,-75562.1,-78920.4,-48298.8,-62150.0,True,,False,False,,False,False,False,False,False,False,False,False
Texas,368111,170940.0,207266.0,,200672.3,63330.0,,193404.0,216877.8,149559.7,161430.4,76736.0,96452.2,102297.9,134954.0,-197171.0,-160845.0,,-167438.7,-304781.0,,-174707.0,-151233.2,-218551.3,-206680.6,-291375.0,-271658.8,-265813.1,-233157.0,True,,True,False,,True,True,False,False,False,False,False,False
Utah,89335,50514.0,56456.0,,52413.4,14981.0,,35607.0,53821.4,30353.9,34846.6,34720.4,22412.9,40558.3,39013.0,-38821.0,-32879.0,,-36921.6,-74354.0,,-53728.0,-35513.6,-58981.1,-54488.4,-54614.6,-66922.1,-48776.7,-50322.0,True,,True,False,,False,True,False,False,False,False,False,False
Vermont,1689,474.0,594.0,,602.3,90.0,,222.0,662.6,1035.9,670.0,214.7,360.7,1008.0,1413.0,-1215.0,-1095.0,,-1086.7,-1599.0,,-1467.0,-1026.4,-653.1,-1019.0,-1474.3,-1328.3,-681.0,-276.0,True,,True,False,,False,True,True,True,False,False,True,True
Virginia,57774,42156.0,71991.0,,31712.3,11213.0,,25827.0,32781.5,39872.8,29078.5,24959.8,34507.4,68874.5,62045.0,-15618.0,14217.0,,-26061.7,-46561.0,,-31947.0,-24992.5,-17901.2,-28695.5,-32814.2,-23266.6,11100.5,4271.0,True,,False,False,,False,False,False,False,False,False,True,True
Washington,52390,21696.0,22393.0,,16943.1,26845.0,,11401.0,37261.6,19520.6,20977.8,8175.1,11582.3,9850.8,20465.0,-30694.0,-29997.0,,-35446.9,-25545.0,,-40989.0,-15128.4,-32869.4,-31412.2,-44214.9,-40807.7,-42539.2,-31925.0,True,,False,True,,False,True,False,False,False,False,False,False
West Virginia,21671,8676.0,10704.0,,6930.8,9148.0,,5197.0,6766.7,12593.4,7282.4,6405.1,4051.8,13909.7,8718.0,-12995.0,-10967.0,,-14740.2,-12523.0,,-16474.0,-14904.3,-9077.6,-14388.6,-15265.9,-17619.2,-7761.3,-12953.0,True,,False,True,,False,False,True,False,False,False,True,True
Wisconsin,224659,100572.0,108248.0,,102618.7,52231.0,,90196.0,110199.0,93538.0,53610.0,77832.2,55050.1,79869.4,72932.0,-124087.0,-116411.0,,-122040.3,-172428.0,,-134463.0,-114460.0,-131121.0,-171049.0,-146826.8,-169608.9,-144789.6,-151727.0,True,,True,False,,False,True,False,False,False,False,False,False
Wyoming,19955,6540.0,7175.0,,7613.1,4141.0,,5864.0,7796.1,8890.3,2332.5,4964.1,3041.3,8053.7,7897.0,-13415.0,-12780.0,,-12341.9,-15814.0,,-14091.0,-12158.9,-11064.7,-17622.5,-14990.9,-16913.7,-11901.3,-12058.0,True,,True,False,,False,True,True,False,False,False,True,True
US,4453683,2013546.0,2519816.0,2279621.2,2109992.3,942786.0,1808506.0,1490015.0,2457027.5,1737048.6,1704963.4,1152843.0,1412500.3,2142234.4,1845240.0,-2440137.0,-1933867.0,-2174061.8,-2343690.7,-3510897.0,-2645177.0,-2963668.0,-1996655.5,-2716634.4,-2748719.6,-3300840.0,-3041182.7,-2311448.6,-2608443.0,True,True,True,False,False,False,True,False,False,False,False,True,False
