,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Idaho,38252,24405.0,19454.6,27200.0,,20143.3,5642.0,,14358.0,22225.7,31658.4,9671.2,53702.6,16458.9,,11169.4,23747.0,-13847.0,-18797.4,-11052.0,,-18108.7,-32610.0,,-23894.0,-16026.3,-6593.6,-28580.8,15450.6,-21793.1,,-27082.6,-14505.0,False,True,,False,False,,False,False,True,False,False,False,,False,False
Illinois,302900,119675.0,208160.7,154051.0,,105393.8,20170.0,,75890.0,99991.6,94732.8,91825.3,182249.8,102100.8,,73887.6,164693.0,-183225.0,-94739.3,-148849.0,,-197506.2,-282730.0,,-227010.0,-202908.4,-208167.2,-211074.7,-120650.2,-200799.2,,-229012.4,-138207.0,True,True,,False,False,,False,False,False,False,True,False,,False,True
Indiana,143206,62830.0,106840.0,90804.0,,55907.5,21116.0,,42768.0,59265.4,63070.2,61784.6,95628.9,43074.5,,36582.1,111770.0,-80376.0,-36366.0,-52402.0,,-87298.5,-122090.0,,-100438.0,-83940.6,-80135.8,-81421.4,-47577.1,-100131.5,,-106623.9,-31436.0,True,True,,False,False,,False,False,True,False,True,False,,False,True
Iowa,102505,38280.0,33727.9,45635.0,,35810.0,17429.0,,29739.0,39581.3,47952.3,17921.0,45789.6,20271.1,,18274.7,48054.0,-64225.0,-68777.1,-56870.0,,-66695.0,-85076.0,,-72766.0,-62923.7,-54552.7,-84584.0,-56715.4,-82233.9,,-84230.3,-54451.0,False,True,,False,False,,False,True,True,False,True,False,,False,True
Kansas,64417,24920.0,29807.4,26584.0,,21844.2,13938.0,,24385.0,27366.8,43876.0,12245.9,23375.6,12250.9,,16165.7,17690.0,-39497.0,-34609.6,-37833.0,,-42572.8,-50479.0,,-40032.0,-37050.2,-20541.0,-52171.1,-41041.4,-52166.1,,-48251.3,-46727.0,True,True,,False,False,,False,True,True,False,False,False,,False,False
Kentucky,69111,36760.0,74143.2,52219.0,,35900.6,34505.0,,33125.0,43719.2,39577.6,21566.5,59662.2,23095.8,,18077.0,47737.0,-32351.0,5032.2,-16892.0,,-33210.4,-34606.0,,-35986.0,-25391.8,-29533.4,-47544.5,-9448.8,-46015.2,,-51034.0,-21374.0,True,True,,False,False,,False,True,True,False,True,False,,False,True
Louisiana,38983,18800.0,13010.1,21441.0,,15005.9,4935.0,,16432.0,13952.5,14428.2,18475.3,11967.7,13503.2,,9956.5,10378.0,-20183.0,-25972.9,-17542.0,,-23977.1,-34048.0,,-22551.0,-25030.5,-24554.8,-20507.7,-27015.3,-25479.8,,-29026.5,-28605.0,False,True,,False,False,,False,False,False,False,False,False,,False,False
Maine,4211,1085.0,6598.1,1294.0,,899.3,456.0,,1447.0,1265.8,1408.5,1813.7,1517.0,667.8,,812.4,1041.0,-3126.0,2387.1,-2917.0,,-3311.7,-3755.0,,-2764.0,-2945.2,-2802.5,-2397.3,-2694.0,-3543.2,,-3398.6,-3170.0,True,True,,False,False,,True,True,True,True,True,False,,False,False
Maryland,44844,21660.0,33572.4,24326.0,,19222.6,4564.0,,16475.0,22427.5,14168.2,25091.3,18869.0,14099.0,,15346.8,24096.0,-23184.0,-11271.6,-20518.0,,-25621.4,-40280.0,,-28369.0,-22416.5,-30675.8,-19752.7,-25975.0,-30745.0,,-29497.2,-20748.0,True,True,,False,False,,False,True,False,True,False,False,,False,True
Massachusetts,61225,22950.0,32453.0,23203.0,,17840.3,3852.0,,13319.0,24634.2,16871.4,36501.5,37241.1,14142.8,,13872.4,22511.0,-38275.0,-28772.0,-38022.0,,-43384.7,-57373.0,,-47906.0,-36590.8,-44353.6,-24723.5,-23983.9,-47082.2,,-47352.6,-38714.0,True,True,,False,False,,False,True,False,True,True,False,,False,False
Michigan,167916,58260.0,121031.1,89777.0,,49230.8,3648.0,,39067.0,59322.3,46336.4,84689.8,102846.5,22618.6,,38646.9,91729.0,-109656.0,-46884.9,-78139.0,,-118685.2,-164268.0,,-128849.0,-108593.7,-121579.6,-83226.2,-65069.5,-145297.4,,-129269.1,-76187.0,True,True,,False,False,,False,True,False,True,True,False,,False,True
Minnesota,141862,51310.0,90889.2,67628.0,,44273.4,44919.0,,51213.0,50394.2,48159.8,25858.2,64156.8,42221.3,,31509.6,49224.0,-90552.0,-50972.8,-74234.0,,-97588.6,-96943.0,,-90649.0,-91467.8,-93702.2,-116003.8,-77705.2,-99640.7,,-110352.4,-92638.0,True,True,,False,False,,False,False,False,False,True,False,,False,False
Mississippi,32395,26840.0,32342.4,31451.0,,17730.5,6926.0,,19021.0,23315.6,22048.4,10114.4,52482.7,13164.0,,14010.4,21663.0,-5555.0,-52.6,-944.0,,-14664.5,-25469.0,,-13374.0,-9079.4,-10346.6,-22280.6,20087.7,-19231.0,,-18384.6,-10732.0,True,True,,False,False,,False,False,False,False,False,False,,False,False
Missouri,115713,57130.0,71077.7,62816.0,,57928.4,40353.0,,52168.0,61894.4,85882.3,25744.1,94962.7,50327.6,,26024.3,40198.0,-58583.0,-44635.3,-52897.0,,-57784.6,-75360.0,,-63545.0,-53818.6,-29830.7,-89968.9,-20750.3,-65385.4,,-89688.7,-75515.0,True,True,,True,False,,False,True,True,False,True,False,,False,False
Montana,32317,20540.0,36108.6,17705.0,,22480.3,12926.0,,22532.0,20784.5,84232.2,3417.0,21702.0,16521.0,,7711.8,14162.0,-11777.0,3791.6,-14612.0,,-9836.7,-19391.0,,-9785.0,-11532.5,51915.2,-28900.0,-10615.0,-15796.0,,-24605.2,-18155.0,True,False,,True,False,,True,True,False,False,True,False,,False,False
Nebraska,55697,27225.0,60871.6,32110.0,,26165.6,22648.0,,20208.0,23841.8,44845.3,17244.1,41166.3,19569.9,,15411.2,26121.0,-28472.0,5174.6,-23587.0,,-29531.4,-33049.0,,-35489.0,-31855.2,-10851.7,-38452.9,-14530.7,-36127.1,,-40285.8,-29576.0,True,True,,False,False,,False,False,True,False,True,False,,False,False
Nevada,42081,21265.0,32969.6,31084.0,,19459.1,4241.0,,12447.0,23375.4,17958.9,13756.5,44877.5,15435.1,,11048.2,26110.0,-20816.0,-9111.4,-10997.0,,-22621.9,-37840.0,,-29634.0,-18705.6,-24122.1,-28324.5,2796.5,-26645.9,,-31032.8,-15971.0,True,True,,False,False,,False,True,False,False,True,False,,False,True
New Hampshire,7690,2665.0,1348.9,3531.0,,2734.4,4200.0,,2349.0,3924.2,3340.0,3721.9,5645.9,1260.6,,1908.5,3435.0,-5025.0,-6341.1,-4159.0,,-4955.6,-3490.0,,-5341.0,-3765.8,-4350.0,-3968.1,-2044.1,-6429.4,,-5781.5,-4255.0,False,True,,True,True,,False,True,True,True,True,False,,False,True
New Jersey,83301,29305.0,27572.9,37222.0,,22166.5,7668.0,,23949.0,33222.0,17146.0,60201.2,52713.4,19199.2,,20160.9,30461.0,-53996.0,-55728.1,-46079.0,,-61134.5,-75633.0,,-59352.0,-50079.0,-66155.0,-23099.8,-30587.6,-64101.8,,-63140.1,-52840.0,False,True,,False,False,,False,True,False,True,True,False,,False,True
New Mexico,43097,18105.0,31017.7,24263.0,,17263.1,2178.0,,14858.0,17474.1,19707.6,10904.9,57669.1,13726.7,,8301.9,20121.0,-24992.0,-12079.3,-18834.0,,-25833.9,-40919.0,,-28239.0,-25622.9,-23389.4,-32192.1,14572.1,-29370.3,,-34795.1,-22976.0,True,True,,False,False,,False,False,True,False,True,False,,False,True
New York,107932,48740.0,16914.4,56748.0,,14801.5,14586.0,,28726.0,57868.2,42499.3,134700.4,117999.4,32090.6,,23587.6,43342.0,-59192.0,-91017.6,-51184.0,,-93130.5,-93346.0,,-79206.0,-50063.8,-65432.7,26768.4,10067.4,-75841.4,,-84344.4,-64590.0,False,True,,False,False,,False,True,False,True,True,False,,False,False
North Carolina,88536,69865.0,170301.7,83126.0,,59401.5,27681.0,,59477.0,74243.7,71259.7,47003.1,92484.0,52950.9,,37531.1,67742.0,-18671.0,81765.7,-5410.0,,-29134.5,-60855.0,,-29059.0,-14292.3,-17276.3,-41532.9,3948.0,-35585.1,,-51004.9,-20794.0,False,True,,False,False,,False,True,True,False,True,False,,False,False
North Dakota,40279,23170.0,22920.5,21425.0,,18350.3,11154.0,,18539.0,15502.1,36471.6,4093.4,29001.8,19179.8,,10322.4,29885.0,-17109.0,-17358.5,-18854.0,,-21928.7,-29125.0,,-21740.0,-24776.9,-3807.4,-36185.6,-11277.2,-21099.2,,-29956.6,-10394.0,False,False,,False,False,,False,False,True,False,True,False,,False,True
Ohio,163061,63835.0,34926.2,97140.0,,59959.9,23798.0,,53629.0,60994.6,69007.2,87124.7,123752.9,42693.3,,34766.5,68814.0,-99226.0,-128134.8,-65921.0,,-103101.1,-139263.0,,-109432.0,-102066.4,-94053.8,-75936.3,-39308.1,-120367.7,,-128294.5,-94247.0,False,True,,False,False,,False,False,True,True,True,False,,False,True
Oklahoma,64456,39235.0,102257.5,41526.0,,36938.4,23596.0,,40720.0,47001.4,44929.9,21240.8,52049.1,23809.8,,16223.5,28928.0,-25221.0,37801.5,-22930.0,,-27517.6,-40860.0,,-23736.0,-17454.6,-19526.1,-43215.2,-12406.9,-40646.2,,-48232.5,-35528.0,False,True,,False,False,,True,True,True,False,True,False,,False,False
Oregon,24353,11955.0,8938.4,14012.0,,11254.3,3703.0,,9906.0,15414.6,18541.2,14006.6,9358.7,7478.1,,5251.9,13285.0,-12398.0,-15414.6,-10341.0,,-13098.7,-20650.0,,-14447.0,-8938.4,-5811.8,-10346.4,-14994.3,-16874.9,,-19101.1,-11068.0,False,True,,False,False,,False,True,True,True,False,False,,False,True
Pennsylvania,121320,49355.0,47833.3,61817.0,,45626.1,15348.0,,43425.0,54850.0,56716.5,82642.1,97771.5,28939.4,,23799.9,61002.0,-71965.0,-73486.7,-59503.0,,-75693.9,-105972.0,,-77895.0,-66470.0,-64603.5,-38677.9,-23548.5,-92380.6,,-97520.1,-60318.0,False,True,,False,False,,False,True,True,True,True,False,,False,True
Rhode Island,20310,6985.0,22760.4,7838.0,,5334.3,1088.0,,5233.0,5526.4,5615.5,6407.6,11144.9,2803.9,,3688.2,7836.0,-13325.0,2450.4,-12472.0,,-14975.7,-19222.0,,-15077.0,-14783.6,-14694.5,-13902.4,-9165.1,-17506.1,,-16621.8,-12474.0,True,True,,False,False,,False,False,False,False,True,False,,False,True
South Carolina,41804,32965.0,31774.6,44413.0,,28089.6,11817.0,,24547.0,34914.4,28264.6,9874.3,30294.3,20900.5,,16887.5,27371.0,-8839.0,-10029.4,2609.0,,-13714.4,-29987.0,,-17257.0,-6889.6,-13539.4,-31929.7,-11509.7,-20903.5,,-24916.5,-14433.0,False,True,,False,False,,False,True,False,False,False,False,,False,False
South Dakota,39603,23320.0,19727.6,23119.0,,21757.2,11353.0,,22838.0,19204.0,45856.7,3742.7,36583.5,19488.9,,10146.1,14153.0,-16283.0,-19875.4,-16484.0,,-17845.8,-28250.0,,-16765.0,-20399.0,6253.7,-35860.3,-3019.5,-20114.1,,-29456.9,-25450.0,False,False,,False,False,,False,False,True,False,True,False,,False,False
Tennessee,109748,67450.0,57163.0,67653.0,,68930.4,30436.0,,49712.0,68304.8,79849.3,31381.6,37212.0,55430.3,,35079.0,55994.0,-42298.0,-52585.0,-42095.0,,-40817.6,-79312.0,,-60036.0,-41443.2,-29898.7,-78366.4,-72536.0,-54317.7,,-74669.0,-53754.0,False,True,,True,False,,False,True,True,False,False,False,,False,False
Texas,288998,162635.0,153381.6,241856.0,,124243.1,56453.0,,159287.0,169306.6,147716.7,147273.3,242915.1,121586.4,,93002.4,124242.0,-126363.0,-135616.4,-47142.0,,-164754.9,-232545.0,,-129711.0,-119691.4,-141281.3,-141724.7,-46082.9,-167411.6,,-195995.6,-164756.0,False,True,,False,False,,False,True,False,False,True,False,,False,False
Utah,80682,43265.0,14263.6,34153.0,,41379.8,16537.0,,34852.0,45190.4,35155.4,15490.8,57840.6,28991.0,,16293.8,28129.0,-37417.0,-66418.4,-46529.0,,-39302.2,-64145.0,,-45830.0,-35491.6,-45526.6,-65191.2,-22841.4,-51691.0,,-64388.2,-52553.0,False,False,,False,False,,False,True,False,False,True,False,,False,False
Vermont,1620,345.0,108.2,603.0,,325.0,35.0,,363.0,414.8,1336.8,660.4,755.1,220.2,,236.7,482.0,-1275.0,-1511.8,-1017.0,,-1295.0,-1585.0,,-1257.0,-1205.2,-283.2,-959.6,-864.9,-1399.8,,-1383.3,-1138.0,False,True,,False,False,,True,True,True,True,True,False,,False,True
Virginia,50441,35930.0,50358.3,41159.0,,36174.5,7854.0,,26046.0,39860.0,48251.2,35963.9,45817.3,21748.3,,19238.2,36735.0,-14511.0,-82.7,-9282.0,,-14266.5,-42587.0,,-24395.0,-10581.0,-2189.8,-14477.1,-4623.7,-28692.7,,-31202.8,-13706.0,True,True,,True,False,,False,True,True,True,True,False,,False,True
Washington,43589,23180.0,41986.8,33648.0,,13125.3,5761.0,,12479.0,22842.1,20958.3,20870.7,28842.8,13969.4,,14216.7,24939.0,-20409.0,-1602.2,-9941.0,,-30463.7,-37828.0,,-31110.0,-20746.9,-22630.7,-22718.3,-14746.2,-29619.6,,-29372.3,-18650.0,True,True,,False,False,,False,False,False,False,True,False,,False,True
West Virginia,19793,9390.0,12900.7,14265.0,,7862.1,5061.0,,5657.0,9144.4,21622.2,6774.1,7435.0,7392.5,,5234.9,8395.0,-10403.0,-6892.3,-5528.0,,-11930.9,-14732.0,,-14136.0,-10648.6,1829.2,-13018.9,-12358.0,-12400.5,,-14558.1,-11398.0,True,True,,False,False,,False,False,True,False,False,False,,False,False
Wisconsin,206033,93130.0,110006.4,102975.0,,91406.7,65139.0,,79746.0,96390.7,158708.2,43881.0,121812.6,18079.5,,83842.0,54764.0,-112903.0,-96026.6,-103058.0,,-114626.3,-140894.0,,-126287.0,-109642.3,-47324.8,-162152.0,-84220.4,-187953.5,,-122191.0,-151269.0,True,True,,False,False,,False,True,True,False,True,False,,False,False
Wyoming,18594,6805.0,9359.7,7065.0,,6079.0,4035.0,,6177.0,7515.0,17627.3,2468.4,11877.6,5575.6,,3791.5,5162.0,-11789.0,-9234.3,-11529.0,,-12515.0,-14559.0,,-12417.0,-11079.0,-966.7,-16125.6,-6716.4,-13018.4,,-14802.5,-13432.0,True,True,,False,False,,False,True,True,False,True,False,,False,False
US,4011108,1942260.0,2550270.2,2419864.0,2398817.4,1428640.9,804517.0,1980708.0,1493520.0,1961373.2,2080812.4,1604827.6,2691174.6,1110640.4,2529230.8,1333961.9,1809907.0,-2068848.0,-1460837.8,-1591244.0,-1612290.6,-2582467.1,-3206591.0,-2030400.0,-2517588.0,-2049734.8,-1930295.6,-2406280.4,-1319933.4,-2900467.6,-1481877.2,-2677146.1,-2201201.0,True,True,True,False,False,True,False,True,True,False,True,False,True,False,False
