,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01021,193,207.0,,212.9,,214.0,227.0,,,,,260.7,,260.0,,219.7,77.0,248.5,,244.0,204.3,,195.0,,,,141.3,,,146.0,,270.0,14.0,,19.9,,21.0,34.0,,,,,67.7,,67.0,,26.7,-116.0,55.5,,51.0,11.3,,2.0,,,,-51.7,,,-47.0,,77.0,,False,,False,False,,,,,False,,False,,False,False,False,,False,True,,True,,,,False,,,False,,False
01023,21,15.0,,13.9,,15.0,3.0,,,,,30.4,,67.0,,19.5,9.1,,,3.0,15.6,,20.0,,,,,,,7.0,,19.6,-6.0,,-7.1,,-6.0,-18.0,,,,,9.4,,46.0,,-1.5,-11.9,,,-18.0,-5.4,,-1.0,,,,,,,-14.0,,-1.4,,False,,False,False,,,,,False,,False,,True,False,,,False,True,,True,,,,,,,False,,True
01025,144,153.0,,152.8,,157.0,123.0,,,,,175.4,,221.0,,268.7,31.0,,,230.0,158.3,,188.0,,,,100.1,,,43.0,,193.4,9.0,,8.8,,13.0,-21.0,,,,,31.4,,77.0,,124.7,-113.0,,,86.0,14.3,,44.0,,,,-43.9,,,-101.0,,49.4,,True,,False,False,,,,,False,,False,,False,False,,,False,False,,False,,,,False,,,False,,False
01027,110,93.0,,81.6,,91.0,95.0,,,,,109.4,,69.0,,95.9,25.0,,,65.0,103.0,,70.0,,,,,,,63.0,,125.4,-17.0,,-28.4,,-19.0,-15.0,,,,,-0.6,,-41.0,,-14.1,-85.0,,,-45.0,-7.0,,-40.0,,,,,,,-47.0,,15.4,,False,,False,True,,,,,True,,False,,True,False,,,False,True,,False,,,,,,,False,,True
01029,149,81.0,,75.9,,82.0,67.0,,,,,98.6,,100.0,,140.0,17.0,,,86.0,81.5,,47.0,,,,,,,57.0,,105.1,-68.0,,-73.1,,-67.0,-82.0,,,,,-50.4,,-49.0,,-9.0,-132.0,,,-63.0,-67.5,,-102.0,,,,,,,-92.0,,-43.9,,False,,True,False,,,,,True,,True,,True,False,,,True,True,,False,,,,,,,False,,True
01031,406,306.0,,341.4,,337.0,359.0,,,,,325.7,,235.0,,448.8,145.8,368.5,,355.0,346.2,,406.0,,,,230.7,,,230.0,,393.1,-100.0,,-64.6,,-69.0,-47.0,,,,,-80.3,,-171.0,,42.8,-260.2,-37.5,,-51.0,-59.8,,0.0,,,,-175.3,,,-176.0,,-12.9,,True,,True,True,,,,,True,,False,,True,False,True,,True,True,,True,,,,False,,,False,,True
01033,620,438.0,,443.3,,442.0,593.0,,,,,410.4,,396.0,,438.1,94.9,392.0,,781.0,811.8,,333.0,,,,317.8,,,820.0,,567.7,-182.0,,-176.7,,-178.0,-27.0,,,,,-209.6,,-224.0,,-181.9,-525.1,-228.0,,161.0,191.8,,-287.0,,,,-302.2,,,200.0,,-52.3,,True,,True,True,,,,,False,,False,,True,False,False,,True,False,,False,,,,False,,,False,,True
01035,90,48.0,,50.0,,33.0,0.0,,,,,61.9,,52.0,,21.6,8.1,,,30.0,32.9,,50.0,,,,,,,47.0,,49.5,-42.0,,-40.0,,-57.0,-90.0,,,,,-28.1,,-38.0,,-68.4,-81.9,,,-60.0,-57.1,,-40.0,,,,,,,-43.0,,-40.5,,True,,False,False,,,,,True,,True,,False,False,,,False,False,,True,,,,,,,False,,True
01037,75,57.0,,58.3,,49.0,43.0,,,,,51.9,,36.0,,51.2,14.7,,,70.0,50.3,,57.0,,,,,,,70.0,,46.5,-18.0,,-16.7,,-26.0,-32.0,,,,,-23.1,,-39.0,,-23.8,-60.3,,,-5.0,-24.7,,-18.0,,,,,,,-5.0,,-28.5,,True,,False,False,,,,,False,,False,,False,False,,,True,False,,False,,,,,,,True,,False
01039,229,438.0,,419.5,,320.0,403.0,,,,,579.8,,219.0,,248.6,87.6,307.0,,345.0,255.6,,407.0,,,,265.0,,,229.0,,426.2,209.0,,190.5,,91.0,174.0,,,,,350.8,,-10.0,,19.6,-141.4,78.0,,116.0,26.6,,178.0,,,,36.0,,,0.0,,197.2,,True,,True,True,,,,,False,,True,,True,True,True,,True,True,,True,,,,True,,,True,,True
01041,79,42.0,,46.2,,42.0,20.0,,,,,73.2,,65.0,,35.3,24.6,,,35.0,45.2,,33.0,,,,,,,24.0,,47.8,-37.0,,-32.8,,-37.0,-59.0,,,,,-5.8,,-14.0,,-43.7,-54.4,,,-44.0,-33.8,,-46.0,,,,,,,-55.0,,-31.2,,True,,False,False,,,,,True,,True,,False,False,,,False,True,,False,,,,,,,False,,True
01043,1244,1023.0,,1056.6,,1066.0,1391.0,,,,,859.2,,583.0,,1089.2,85.7,1030.5,,1775.5,1260.9,,1369.0,,,,650.6,,,677.0,,1132.7,-221.0,,-187.4,,-178.0,147.0,,,,,-384.8,,-661.0,,-154.8,-1158.3,-213.5,,531.5,16.9,,125.0,,,,-593.4,,,-567.0,,-111.3,,True,,True,True,,,,,False,,False,,True,False,True,,False,True,,True,,,,False,,,False,,True
01045,318,465.0,,501.7,,460.0,264.0,,,,,479.8,,237.0,,566.2,85.8,406.5,,663.0,458.0,,592.0,,,,305.8,,,446.0,,565.7,147.0,,183.7,,142.0,-54.0,,,,,161.8,,-81.0,,248.2,-232.2,88.5,,345.0,140.0,,274.0,,,,-12.2,,,128.0,,247.7,,False,,True,True,,,,,False,,True,,False,False,True,,False,True,,False,,,,True,,,True,,False
01047,282,123.0,,125.1,,117.0,64.0,,,,,184.6,,193.0,,57.2,33.9,107.0,,166.0,103.4,,132.0,,,,97.8,,,145.0,,132.7,-159.0,,-156.9,,-165.0,-218.0,,,,,-97.4,,-89.0,,-224.8,-248.1,-175.0,,-116.0,-178.6,,-150.0,,,,-184.2,,,-137.0,,-149.3,,True,,False,False,,,,,True,,True,,False,False,False,,True,False,,True,,,,False,,,True,,True
01049,891,810.0,,814.2,,804.0,702.0,,,,,825.4,,621.0,,801.7,124.7,862.5,,927.5,871.5,,934.0,,,,398.7,,,466.0,,1005.1,-81.0,,-76.8,,-87.0,-189.0,,,,,-65.6,,-270.0,,-89.3,-766.3,-28.5,,36.5,-19.5,,43.0,,,,-492.3,,,-425.0,,114.1,,True,,False,False,,,,,True,,False,,False,False,True,,True,True,,True,,,,False,,,False,,False
01051,581,327.0,,332.7,,316.0,282.0,,,,,444.9,,316.0,,370.8,137.2,384.0,,297.0,334.6,,328.0,,,,228.2,,,246.0,,434.4,-254.0,,-248.3,,-265.0,-299.0,,,,,-136.1,,-265.0,,-210.2,-443.8,-197.0,,-284.0,-246.4,,-253.0,,,,-352.8,,,-335.0,,-146.6,,True,,False,False,,,,,True,,False,,True,False,True,,False,True,,True,,,,False,,,False,,True
01053,169,123.0,,123.0,,114.0,3.0,,,,,167.4,,281.0,,105.3,38.8,116.5,,155.0,85.4,,119.0,,,,107.3,,,133.0,,129.9,-46.0,,-46.0,,-55.0,-166.0,,,,,-1.6,,112.0,,-63.7,-130.2,-52.5,,-14.0,-83.6,,-50.0,,,,-61.7,,,-36.0,,-39.1,,True,,False,False,,,,,True,,False,,False,False,False,,True,False,,False,,,,False,,,True,,True
01055,1278,741.0,,709.5,,727.0,1055.0,,,,,864.2,,701.0,,683.3,177.2,738.0,,987.5,767.1,,1152.0,,,,430.5,,,483.0,,853.6,-537.0,,-568.5,,-551.0,-223.0,,,,,-413.8,,-577.0,,-594.7,-1100.8,-540.0,,-290.5,-510.9,,-126.0,,,,-847.5,,,-795.0,,-424.4,,False,,False,True,,,,,True,,False,,False,False,False,,True,True,,True,,,,False,,,False,,True
01057,205,102.0,,104.2,,102.0,67.0,,,,,104.5,,95.0,,117.3,37.0,,,126.0,97.2,,118.0,,,,,,,70.0,,131.4,-103.0,,-100.8,,-103.0,-138.0,,,,,-100.5,,-110.0,,-87.7,-168.0,,,-79.0,-107.8,,-87.0,,,,,,,-135.0,,-73.6,,True,,False,False,,,,,True,,False,,True,False,,,True,False,,True,,,,,,,False,,True
01059,244,204.0,,199.3,,202.0,102.0,,,,,233.2,,277.0,,161.4,82.0,213.0,,278.0,399.2,,251.0,,,,167.7,,,542.0,,260.5,-40.0,,-44.7,,-42.0,-142.0,,,,,-10.8,,33.0,,-82.6,-162.0,-31.0,,34.0,155.2,,7.0,,,,-76.3,,,298.0,,16.5,,False,,False,False,,,,,True,,True,,False,False,True,,True,False,,True,,,,False,,,False,,True
01061,182,213.0,,226.7,,208.0,161.0,,,,,230.1,,151.0,,316.4,93.0,,,219.0,195.2,,327.0,,,,,,,182.0,,265.5,31.0,,44.7,,26.0,-21.0,,,,,48.1,,-31.0,,134.4,-89.0,,,37.0,13.2,,145.0,,,,,,,0.0,,83.5,,False,,True,True,,,,,False,,False,,False,False,,,False,True,,False,,,,,,,True,,False
01063,46,27.0,,17.0,,18.0,0.0,,,,,44.3,,30.0,,18.8,8.5,,,0.0,18.6,,48.0,,,,,,,16.0,,29.6,-19.0,,-29.0,,-28.0,-46.0,,,,,-1.7,,-16.0,,-27.2,-37.5,,,-46.0,-27.4,,2.0,,,,,,,-30.0,,-16.4,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,True,,,,,,,False,,True
01065,112,78.0,,80.0,,79.0,37.0,,,,,105.5,,92.0,,86.9,33.1,,,51.0,76.5,,82.0,,,,,,,44.0,,97.1,-34.0,,-32.0,,-33.0,-75.0,,,,,-6.5,,-20.0,,-25.1,-78.9,,,-61.0,-35.5,,-30.0,,,,,,,-68.0,,-14.9,,True,,True,False,,,,,True,,True,,True,False,,,False,False,,True,,,,,,,False,,True
01067,87,108.0,,131.1,,106.0,45.0,,,,,148.0,,66.0,,361.4,41.8,,,108.0,82.9,,251.0,,,,,,,93.0,,172.4,21.0,,44.1,,19.0,-42.0,,,,,61.0,,-21.0,,274.4,-45.2,,,21.0,-4.1,,164.0,,,,,,,6.0,,85.4,,False,,True,False,,,,,False,,False,,False,False,,,False,True,,False,,,,,,,True,,False
01069,677,456.0,,367.5,,502.0,813.0,,,,,835.4,,570.0,,2252.4,296.3,842.0,,609.0,435.9,,,,,,391.2,,,485.0,,933.3,-221.0,,-309.5,,-175.0,136.0,,,,,158.4,,-107.0,,1575.4,-380.7,165.0,,-68.0,-241.1,,,,,,-285.8,,,-192.0,,256.3,,False,,True,True,,,,,True,,True,,False,False,True,,True,False,,,,,,False,,,True,,False
01071,557,516.0,,529.2,,517.0,664.0,,,,,547.5,,470.0,,496.2,110.8,576.5,,600.0,645.4,,707.0,,,,238.1,,,334.0,,550.4,-41.0,,-27.8,,-40.0,107.0,,,,,-9.5,,-87.0,,-60.8,-446.2,19.5,,43.0,88.4,,150.0,,,,-318.9,,,-223.0,,-6.6,,True,,True,False,,,,,True,,False,,False,False,True,,False,False,,False,,,,False,,,False,,True
01073,5647,3468.0,,3374.6,3978.7,3465.0,3856.0,,,,,3772.3,,2544.0,,3013.8,894.5,3236.0,,4241.0,4340.3,,4457.0,,,,2632.8,4791.0,,3586.0,,3638.8,-2179.0,,-2272.4,-1668.3,-2182.0,-1791.0,,,,,-1874.7,,-3103.0,,-2633.2,-4752.5,-2411.0,,-1406.0,-1306.7,,-1190.0,,,,-3014.2,-856.0,,-2061.0,,-2008.2,,False,True,False,True,,,,,True,,False,,False,False,False,,True,True,,True,,,,False,True,,True,,True
01075,80,120.0,,115.6,,119.0,115.0,,,,,110.8,,90.0,,203.9,22.3,,,143.0,105.0,,184.0,,,,,,,92.0,,150.8,40.0,,35.6,,39.0,35.0,,,,,30.8,,10.0,,123.9,-57.7,,,63.0,25.0,,104.0,,,,,,,12.0,,70.8,,True,,True,True,,,,,True,,True,,False,False,,,False,True,,False,,,,,,,True,,False
01077,972,609.0,,579.8,,726.0,755.0,,,,,598.7,,696.0,,953.1,123.8,723.5,,1277.0,1203.4,,974.0,,,,354.6,,,1442.0,,873.6,-363.0,,-392.2,,-246.0,-217.0,,,,,-373.3,,-276.0,,-18.9,-848.2,-248.5,,305.0,231.4,,2.0,,,,-617.4,,,470.0,,-98.4,,False,,True,True,,,,,False,,True,,True,False,True,,True,True,,True,,,,False,,,False,,True
01079,257,198.0,,201.3,,219.0,233.0,,,,,232.0,,218.0,,216.2,55.4,248.5,,226.0,300.1,,120.0,,,,,,,25.0,,268.8,-59.0,,-55.7,,-38.0,-24.0,,,,,-25.0,,-39.0,,-40.8,-201.6,-8.5,,-31.0,43.1,,-137.0,,,,,,,-232.0,,11.8,,True,,True,True,,,,,True,,True,,True,False,True,,True,True,,False,,,,,,,False,,True
01081,772,504.0,,502.7,,511.0,974.0,,,,,760.6,,697.0,,385.3,206.1,439.0,,595.0,497.1,,389.0,,,,495.2,,,504.0,,625.3,-268.0,,-269.3,,-261.0,202.0,,,,,-11.4,,-75.0,,-386.7,-565.9,-333.0,,-177.0,-274.9,,-383.0,,,,-276.8,,,-268.0,,-146.7,,False,,True,True,,,,,True,,True,,False,False,False,,True,False,,False,,,,False,,,False,,True
01083,853,567.0,,524.4,,545.0,501.0,,,,,588.1,,631.0,,689.7,115.2,667.0,,517.0,843.5,,550.0,,,,373.4,,,741.0,,613.9,-286.0,,-328.6,,-308.0,-352.0,,,,,-264.9,,-222.0,,-163.3,-737.8,-186.0,,-336.0,-9.5,,-303.0,,,,-479.6,,,-112.0,,-239.1,,False,,False,False,,,,,True,,True,,True,False,True,,False,True,,False,,,,False,,,True,,True
01085,54,51.0,,46.3,,39.0,0.0,,,,,55.8,,27.0,,41.3,12.3,,,30.0,51.6,,49.0,,,,,,,2.0,,51.2,-3.0,,-7.7,,-15.0,-54.0,,,,,1.8,,-27.0,,-12.7,-41.7,,,-24.0,-2.4,,-5.0,,,,,,,-52.0,,-2.8,,False,,False,False,,,,,True,,False,,False,False,,,False,True,,False,,,,,,,False,,True
01087,124,72.0,,66.1,,56.0,28.0,,,,,95.9,,49.0,,38.6,18.5,,,64.0,77.0,,84.0,,,,,,,153.0,,62.2,-52.0,,-57.9,,-68.0,-96.0,,,,,-28.1,,-75.0,,-85.4,-105.5,,,-60.0,-47.0,,-40.0,,,,,,,29.0,,-61.8,,False,,False,False,,,,,True,,False,,False,False,,,False,True,,True,,,,,,,True,,False
01089,2351,1200.0,,1192.3,1358.9,1264.0,1111.0,,,,,1454.2,,1762.0,,1008.0,416.4,1244.5,,1503.0,1645.7,,1272.0,,,,933.0,1360.0,,794.0,,1465.3,-1151.0,,-1158.7,-992.1,-1087.0,-1240.0,,,,,-896.8,,-589.0,,-1343.0,-1934.6,-1106.5,,-848.0,-705.3,,-1079.0,,,,-1418.0,-991.0,,-1557.0,,-885.7,,False,True,True,False,,,,,True,,True,,False,False,True,,True,True,,True,,,,False,True,,False,,True
01091,100,159.0,,156.1,,144.0,0.0,,,,,167.3,,153.0,,146.2,33.3,,,135.0,156.6,,129.0,,,,101.2,,,57.0,,189.5,59.0,,56.1,,44.0,-100.0,,,,,67.3,,53.0,,46.2,-66.7,,,35.0,56.6,,29.0,,,,1.2,,,-43.0,,89.5,,True,,True,False,,,,,False,,True,,True,False,,,True,True,,True,,,,True,,,True,,False
01093,208,135.0,,125.5,,137.0,142.0,,,,,142.1,,197.0,,143.6,37.5,145.0,,200.0,113.6,,169.0,,,,119.5,,,136.0,,176.3,-73.0,,-82.5,,-71.0,-66.0,,,,,-65.9,,-11.0,,-64.4,-170.5,-63.0,,-8.0,-94.4,,-39.0,,,,-88.5,,,-72.0,,-31.7,,False,,True,True,,,,,True,,True,,True,False,True,,True,False,,True,,,,False,,,True,,True
01095,1155,468.0,,465.3,,498.0,585.0,,,,,547.1,,727.0,,367.6,126.9,467.5,,644.0,614.2,,648.0,,,,279.7,,,565.0,,515.4,-687.0,,-689.7,,-657.0,-570.0,,,,,-607.9,,-428.0,,-787.4,-1028.1,-687.5,,-511.0,-540.8,,-507.0,,,,-875.3,,,-590.0,,-639.6,,False,,True,True,,,,,True,,True,,False,False,False,,True,True,,True,,,,False,,,True,,True
01097,1927,1236.0,,1662.1,2324.0,1710.0,1659.0,,,,,3390.0,,3684.0,,10350.8,371.9,3749.5,,1768.5,1161.2,,1654.0,,,,879.5,,,828.0,,5082.8,-691.0,,-264.9,397.0,-217.0,-268.0,,,,,1463.0,,1757.0,,8423.8,-1555.1,1822.5,,-158.5,-765.8,,-273.0,,,,-1047.5,,,-1099.0,,3155.8,,True,True,True,True,,,,,False,,False,,False,False,False,,True,False,,True,,,,False,,,False,,False
01099,99,63.0,,61.9,,65.0,12.0,,,,,83.3,,121.0,,68.4,11.3,,,110.0,64.5,,90.0,,,,,,,47.0,,74.2,-36.0,,-37.1,,-34.0,-87.0,,,,,-15.7,,22.0,,-30.6,-87.7,,,11.0,-34.5,,-9.0,,,,,,,-52.0,,-24.8,,False,,True,False,,,,,True,,True,,True,False,,,True,True,,True,,,,,,,False,,True
01101,1280,1371.0,,1461.3,1636.8,1551.0,1661.0,,,,,1573.8,,836.0,,1757.4,274.0,1721.0,,1885.5,1446.0,,1931.0,,,,1046.6,2966.0,,1335.0,,1787.8,91.0,,181.3,356.8,271.0,381.0,,,,,293.8,,-444.0,,477.4,-1006.0,441.0,,605.5,166.0,,651.0,,,,-233.4,1686.0,,55.0,,507.8,,False,False,False,False,,,,,False,,False,,False,False,False,,False,False,,False,,,,False,False,,True,,False
01103,1506,1062.0,,1068.7,,995.0,1360.0,,,,,963.6,,763.0,,788.8,162.7,1012.5,,916.0,1113.5,,759.0,,,,705.8,,,992.0,,1338.8,-444.0,,-437.3,,-511.0,-146.0,,,,,-542.4,,-743.0,,-717.2,-1343.3,-493.5,,-590.0,-392.5,,-747.0,,,,-800.2,,,-514.0,,-167.2,,True,,False,True,,,,,False,,False,,False,False,False,,False,True,,False,,,,False,,,False,,True
01105,61,45.0,,29.4,,36.0,0.0,,,,,54.9,,30.0,,36.6,5.4,,,48.0,42.8,,59.0,,,,,,,54.0,,47.3,-16.0,,-31.6,,-25.0,-61.0,,,,,-6.1,,-31.0,,-24.4,-55.6,,,-13.0,-18.2,,-2.0,,,,,,,-7.0,,-13.7,,False,,False,False,,,,,True,,False,,False,False,,,True,False,,True,,,,,,,True,,True
01107,204,207.0,,213.3,,205.0,85.0,,,,,208.3,,117.0,,183.3,36.6,,,296.0,249.0,,272.0,,,,,,,141.0,,222.5,3.0,,9.3,,1.0,-119.0,,,,,4.3,,-87.0,,-20.7,-167.4,,,92.0,45.0,,68.0,,,,,,,-63.0,,18.5,,False,,True,False,,,,,False,,False,,False,False,,,False,False,,False,,,,,,,False,,False
