,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,86014,33555.0,28706.6,33704.1,33269.0,35122.0,,33602.3,11948.0,35461.5,31997.6,,38355.0,32719.8,30918.5,36948.0,19080.0,42643.5,41545.3,35426.5,36563.4,36649.9,43234.0,,30162.8,17216.4,22217.7,34842.1,41814.0,38755.0,40796.8,-52459.0,-57307.4,-52309.9,-52745.0,-50892.0,,-52411.7,-74066.0,-50552.5,-54016.4,,-47659.0,-53294.2,-55095.5,-49066.0,-66934.0,-43370.5,-44468.7,-50587.5,-49450.6,-49364.1,-42780.0,,-55851.2,-68797.6,-63796.3,-51171.9,-44200.0,-47259.0,-45217.2,False,True,False,True,,True,False,True,False,,True,False,False,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Hawaii,2077,1554.0,3448.9,1546.6,1496.0,1419.0,,1841.3,802.0,1242.6,1511.4,,,2008.6,2092.9,1577.0,2024.3,1673.5,1510.3,1329.0,1737.3,2253.3,1503.0,,1402.3,1513.0,1005.5,1575.2,1322.3,583.0,2219.9,-523.0,1371.9,-530.4,-581.0,-658.0,,-235.7,-1275.0,-834.4,-565.6,,,-68.4,15.9,-500.0,-52.7,-403.5,-566.7,-748.0,-339.7,176.3,-574.0,,-674.7,-564.0,-1071.5,-501.8,-754.7,-1494.0,142.9,False,False,False,False,,True,False,False,False,,,True,True,True,True,True,False,False,True,True,False,,False,False,False,True,False,False,True
Idaho,26226,17742.0,49969.1,17673.6,18695.0,16945.0,,18479.0,9059.0,22605.0,21391.8,,17711.0,22492.6,26931.5,23299.0,6587.9,21629.0,32795.0,18488.0,17654.5,20116.0,22274.0,,20202.9,23198.4,8412.8,25763.1,18718.9,11862.0,20988.2,-8484.0,23743.1,-8552.4,-7531.0,-9281.0,,-7747.0,-17167.0,-3621.0,-4834.2,,-8515.0,-3733.4,705.5,-2927.0,-19638.1,-4597.0,6569.0,-7738.0,-8571.5,-6110.0,-3952.0,,-6023.1,-3027.6,-17813.2,-462.9,-7507.1,-14364.0,-5237.8,False,False,True,False,,True,False,True,True,,False,True,True,True,False,True,True,True,False,True,True,,True,True,False,True,True,False,True
Illinois,229739,101241.0,141106.5,100658.0,117773.0,142969.0,,121520.5,69644.0,245008.5,75110.4,,106106.0,112266.1,111769.2,,61208.4,135375.0,216738.0,205453.0,179167.3,112238.2,117401.0,,126879.1,54121.0,76501.2,122192.1,98670.2,82938.0,94252.9,-128498.0,-88632.5,-129081.0,-111966.0,-86770.0,,-108218.5,-160095.0,15269.5,-154628.6,,-123633.0,-117472.9,-117969.8,,-168530.6,-94364.0,-13001.0,-24286.0,-50571.7,-117500.8,-112338.0,,-102859.9,-175618.0,-153237.8,-107546.9,-131068.8,-146801.0,-135486.1,True,False,True,True,,True,False,True,False,,True,True,True,,False,True,True,True,True,True,True,,True,False,False,True,False,False,False
Indiana,109825,56712.0,57389.3,55966.4,59582.0,73103.0,,51214.0,107513.0,90679.0,56827.2,,53955.0,59279.4,66276.9,63601.0,36583.2,65203.0,96938.1,71993.0,75963.0,57790.9,67993.0,,61288.8,28313.8,40781.3,57845.9,85681.0,73023.0,71893.0,-53113.0,-52435.7,-53858.6,-50243.0,-36722.0,,-58611.0,-2312.0,-19146.0,-52997.8,,-55870.0,-50545.6,-43548.1,-46224.0,-73241.8,-44622.0,-12886.9,-37832.0,-33862.0,-52034.1,-41832.0,,-48536.2,-81511.2,-69043.7,-51979.1,-24144.0,-36802.0,-37932.0,True,False,True,True,,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,True,True,True
Iowa,80693,41022.0,34521.2,41129.1,36048.0,48695.0,,36403.2,22461.0,64593.4,35337.4,,32431.0,36559.6,38752.0,36330.0,12460.8,38311.0,31251.3,54400.5,68159.3,39838.4,47027.0,,34154.0,12418.8,27108.3,31182.7,46415.0,56623.0,50118.2,-39671.0,-46171.8,-39563.9,-44645.0,-31998.0,,-44289.8,-58232.0,-16099.6,-45355.6,,-48262.0,-44133.4,-41941.0,-44363.0,-68232.2,-42382.0,-49441.7,-26292.5,-12533.7,-40854.6,-33666.0,,-46539.0,-68274.2,-53584.7,-49510.3,-34278.0,-24070.0,-30574.8,False,True,False,True,,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False,True,True,True
Kansas,50091,21735.0,19365.9,21518.2,21498.0,28259.0,,20093.1,21601.0,26367.3,23349.6,,20064.0,21952.2,25600.2,22721.0,7407.8,21590.5,16108.0,27328.0,25703.6,22242.9,25827.0,,15153.5,16848.8,16314.0,21364.7,25118.7,17076.0,22454.5,-28356.0,-30725.1,-28572.8,-28593.0,-21832.0,,-29997.9,-28490.0,-23723.7,-26741.4,,-30027.0,-28138.8,-24490.8,-27370.0,-42683.2,-28500.5,-33983.0,-22763.0,-24387.4,-27848.1,-24264.0,,-34937.5,-33242.2,-33777.0,-28726.3,-24972.3,-33015.0,-27636.5,False,False,False,True,,False,False,True,True,,False,True,True,True,False,False,False,True,True,True,True,,False,False,False,False,True,False,True
Kentucky,48689,35217.0,36613.8,35561.7,35725.0,45124.0,,33968.8,21925.0,77083.0,39539.7,,34625.0,35443.4,54752.8,37960.0,13467.2,37632.0,40216.4,48920.5,44168.1,36005.8,45398.0,,33044.7,17161.4,26623.3,34617.8,41639.4,44957.0,43884.8,-13472.0,-12075.2,-13127.3,-12964.0,-3565.0,,-14720.2,-26764.0,28394.0,-9149.3,,-14064.0,-13245.6,6063.8,-10729.0,-35221.8,-11057.0,-8472.6,231.5,-4520.9,-12683.2,-3291.0,,-15644.3,-31527.6,-22065.7,-14071.2,-7049.6,-3732.0,-4804.2,True,True,True,True,,False,False,False,True,,False,True,True,True,False,True,True,True,True,True,True,,False,False,False,False,True,True,True
Louisiana,30060,10200.0,11158.9,10394.1,11144.0,8864.0,,11442.0,3550.0,27664.5,9611.3,,12522.0,12544.9,11447.8,12141.0,8888.3,13571.0,11831.2,11610.0,10528.9,13330.9,9131.0,,10759.0,5027.7,6838.6,14967.9,14601.1,5784.0,12726.6,-19860.0,-18901.1,-19665.9,-18916.0,-21196.0,,-18618.0,-26510.0,-2395.5,-20448.7,,-17538.0,-17515.1,-18612.2,-17919.0,-21171.7,-16489.0,-18228.8,-18450.0,-19531.1,-16729.1,-20929.0,,-19301.0,-25032.3,-23221.4,-15092.1,-15458.9,-24276.0,-17333.4,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,False,,True,False,False,True,True,False,True
Maine,3461,1578.0,170.5,1578.5,1353.0,3662.0,,921.5,543.0,1518.7,1460.2,,1986.0,883.2,5389.0,1926.0,1762.5,1253.0,965.3,1751.0,1969.2,1895.5,1997.0,,1219.0,902.9,1190.1,815.2,1323.1,2564.0,1748.8,-1883.0,-3290.5,-1882.5,-2108.0,201.0,,-2539.5,-2918.0,-1942.3,-2000.8,,-1475.0,-2577.8,1928.0,-1535.0,-1698.5,-2208.0,-2495.7,-1710.0,-1491.8,-1565.5,-1464.0,,-2242.0,-2558.1,-2270.9,-2645.8,-2137.9,-897.0,-1712.2,False,True,False,True,,False,False,False,False,,True,False,False,True,True,False,False,True,True,True,True,,False,False,False,False,False,True,True
Maryland,34690,17382.0,14679.7,17027.5,16831.0,23533.0,,17272.7,4159.0,26704.0,17481.3,,16202.0,15585.2,13340.4,20603.0,14148.6,16328.0,22100.8,19691.0,21983.5,20086.7,21489.0,,13547.8,7772.5,14851.0,16431.4,16431.1,19647.0,19498.4,-17308.0,-20010.3,-17662.5,-17859.0,-11157.0,,-17417.3,-30531.0,-7986.0,-17208.7,,-18488.0,-19104.8,-21349.6,-14087.0,-20541.4,-18362.0,-12589.2,-14999.0,-12706.5,-14603.3,-13201.0,,-21142.2,-26917.5,-19839.0,-18258.6,-18258.9,-15043.0,-15191.6,False,False,False,True,,False,False,True,True,,False,False,False,True,False,False,True,True,True,True,True,,False,False,False,False,False,True,True
Massachusetts,45579,27264.0,19558.1,27005.4,26432.0,38627.0,,27470.4,17006.0,46460.7,33102.4,,24976.0,24892.0,21846.5,26203.0,20251.5,27079.0,41426.8,38012.0,34832.1,28581.6,24291.0,,30939.0,26560.8,20590.5,25861.4,16109.8,31428.0,33621.8,-18315.0,-26020.9,-18573.6,-19147.0,-6952.0,,-18108.6,-28573.0,881.7,-12476.6,,-20603.0,-20687.0,-23732.5,-19376.0,-25327.5,-18500.0,-4152.2,-7567.0,-10746.9,-16997.4,-21288.0,,-14640.0,-19018.2,-24988.5,-19717.6,-29469.2,-14151.0,-11957.2,False,False,False,True,,True,False,True,True,,False,False,False,False,False,False,True,True,True,True,False,,True,False,False,False,False,True,True
Michigan,131615,65382.0,74120.4,64335.9,63609.0,94437.0,,66367.1,53524.0,59766.4,72553.6,,65750.0,63492.0,64019.5,68591.0,49788.0,71225.5,125780.2,112022.5,75343.7,57302.9,78085.0,,48357.8,34551.7,47862.8,59000.9,107592.6,95064.0,75534.7,-66233.0,-57494.6,-67279.1,-68006.0,-37178.0,,-65247.9,-78091.0,-71848.6,-59061.4,,-65865.0,-68123.0,-67595.5,-63024.0,-81827.0,-60389.5,-5834.8,-19592.5,-56271.3,-74312.1,-53530.0,,-83257.2,-97063.3,-83752.2,-72614.1,-24022.4,-36551.0,-56080.3,True,False,False,True,,True,False,False,True,,True,False,False,True,False,True,True,True,True,False,True,,False,False,False,False,True,True,True
Minnesota,114480,49050.0,44805.4,48017.6,49349.0,69400.0,,45271.8,55304.0,85454.0,48796.7,,57441.0,48781.6,45985.3,51998.0,17167.6,50471.5,67604.6,60988.5,67307.7,47848.7,58694.0,,41818.2,31040.6,30972.5,44958.6,84531.0,49847.0,54168.7,-65430.0,-69674.6,-66462.4,-65131.0,-45080.0,,-69208.2,-59176.0,-29026.0,-65683.3,,-57039.0,-65698.4,-68494.7,-62482.0,-97312.4,-64008.5,-46875.4,-53491.5,-47172.3,-66631.3,-55786.0,,-72661.8,-83439.4,-83507.5,-69521.4,-29949.0,-64633.0,-60311.3,False,False,True,True,,False,True,True,False,,True,False,False,True,False,True,True,True,True,False,True,,False,False,False,False,True,True,True
Mississippi,22241,15216.0,15980.4,15164.3,15583.0,14654.0,,14470.1,6474.0,20034.1,20176.0,,15445.0,16840.2,17530.3,17200.0,6125.7,16718.0,20478.7,15877.0,16180.9,20820.8,18326.0,,11330.6,870.6,12840.4,21046.2,15508.7,15122.0,18515.9,-7025.0,-6260.6,-7076.7,-6658.0,-7587.0,,-7770.9,-15767.0,-2206.9,-2065.0,,-6796.0,-5400.8,-4710.7,-5041.0,-16115.3,-5523.0,-1762.3,-6364.0,-6060.1,-1420.2,-3915.0,,-10910.4,-21370.4,-9400.6,-1194.8,-6732.3,-7119.0,-3725.1,True,False,True,False,,False,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,,False,False,False,True,True,False,True
Missouri,92710,48489.0,41405.1,49556.6,47754.0,54919.0,,44919.1,31681.0,57558.6,45426.6,,42688.0,50594.1,50120.2,45880.0,16311.0,50902.0,53969.9,47795.0,55093.5,48420.2,60577.0,,47793.5,41527.2,41856.2,47689.7,46127.3,34960.0,57693.5,-44221.0,-51304.9,-43153.4,-44956.0,-37791.0,,-47790.9,-61029.0,-35151.4,-47283.4,,-50022.0,-42115.9,-42589.8,-46830.0,-76399.1,-41808.0,-38740.1,-44915.0,-37616.5,-44289.8,-32133.0,,-44916.5,-51182.8,-50853.8,-45020.3,-46582.7,-57750.0,-35016.5,False,True,False,True,,False,False,True,False,,False,True,True,False,False,True,True,False,True,False,True,,False,False,False,False,False,False,True
Montana,21741,16977.0,16998.6,16863.6,17038.0,16990.0,,15544.7,12888.0,20204.8,21168.9,,15984.0,23501.3,35978.3,17578.0,2207.6,22145.0,24361.8,17238.0,19523.4,20373.7,19363.0,,15629.5,35390.5,9372.7,21663.8,21020.4,13976.0,19371.2,-4764.0,-4742.4,-4877.4,-4703.0,-4751.0,,-6196.3,-8853.0,-1536.2,-572.1,,-5757.0,1760.3,14237.3,-4163.0,-19533.4,404.0,2620.8,-4503.0,-2217.6,-1367.3,-2378.0,,-6111.5,13649.5,-12368.3,-77.2,-720.6,-7765.0,-2369.8,True,False,True,True,,False,False,True,True,,False,True,False,True,False,True,True,True,True,True,True,,False,False,False,True,True,False,True
Nebraska,42297,22551.0,39012.9,22564.1,23153.0,28346.0,,21021.6,22455.0,45688.6,26878.0,,21674.0,23037.2,27218.3,22856.0,8814.8,24711.0,33288.3,27984.5,30332.4,24967.2,28212.0,,15160.8,27199.9,16382.8,25061.6,30607.4,19257.0,23562.2,-19746.0,-3284.1,-19732.9,-19144.0,-13951.0,,-21275.4,-19842.0,3391.6,-15419.0,,-20623.0,-19259.8,-15078.7,-19441.0,-33482.2,-17586.0,-9008.7,-14312.5,-11964.6,-17329.8,-14085.0,,-27136.2,-15097.1,-25914.2,-17235.4,-11689.6,-23040.0,-18734.8,True,True,True,True,,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,True,,False,True,False,True,True,False,True
Nevada,30972,17847.0,8727.2,17828.1,17866.0,19970.0,,16986.5,4860.0,21316.5,18067.2,,15460.0,18578.1,14339.8,,10241.8,19122.5,26421.2,20613.5,20521.0,22421.1,23682.0,,20727.0,5805.4,10706.0,21444.9,18232.6,20088.0,20707.2,-13125.0,-22244.8,-13143.9,-13106.0,-11002.0,,-13985.5,-26112.0,-9655.5,-12904.8,,-15512.0,-12393.9,-16632.2,,-20730.2,-11849.5,-4550.8,-10358.5,-10451.0,-8550.9,-7290.0,,-10245.0,-25166.6,-20266.0,-9527.1,-12739.4,-10884.0,-10264.8,False,False,True,True,,False,False,True,True,,False,True,False,,False,True,True,True,True,True,True,,True,False,False,True,True,True,True
New Hampshire,6010,2538.0,442.1,2556.0,2547.0,3608.0,,2332.6,2723.0,4625.1,2532.6,,2104.0,2164.5,2322.6,3091.0,3094.8,2482.0,3689.2,2767.0,3675.7,3465.1,3316.0,,1951.2,4361.5,2459.8,2733.3,2274.4,3258.0,3212.2,-3472.0,-5567.9,-3454.0,-3463.0,-2402.0,,-3677.4,-3287.0,-1384.9,-3477.4,,-3906.0,-3845.5,-3687.4,-2919.0,-2915.2,-3528.0,-2320.8,-3243.0,-2334.3,-2544.9,-2694.0,,-4058.8,-1648.5,-3550.2,-3276.7,-3735.6,-2752.0,-2797.8,False,True,True,True,,False,True,True,False,,False,False,False,True,True,False,True,True,True,True,True,,False,True,False,True,False,True,True
New Jersey,76874,31641.0,39688.2,32074.9,34328.0,43678.0,,32295.8,33420.0,61589.0,39588.3,,30047.0,27521.8,23363.8,38202.0,39508.7,35047.5,51627.6,46030.0,45475.4,35829.3,25464.0,,34820.3,23044.6,21800.9,34242.6,17618.0,42153.0,39287.0,-45233.0,-37185.8,-44799.1,-42546.0,-33196.0,,-44578.2,-43454.0,-15285.0,-37285.7,,-46827.0,-49352.2,-53510.2,-38672.0,-37365.3,-41826.5,-25246.4,-30844.0,-31398.6,-41044.7,-51410.0,,-42053.7,-53829.4,-55073.1,-42631.4,-59256.0,-34721.0,-37587.0,True,True,True,True,,True,True,True,True,,False,False,False,True,True,True,True,True,True,True,False,,True,False,False,True,False,True,True
