,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,76,67.0,,66.7,,67.0,64.0,,,,,64.7,,,81.0,,41.8,,42.0,76.0,,58.5,72.5,,68.0,29.0,,,,,66.5,63.2,,,,,84.2,-9.0,,-9.3,,-9.0,-12.0,,,,,-11.3,,,5.0,,-34.2,,-34.0,0.0,,-17.5,-3.5,,-8.0,-47.0,,,,,-9.5,-12.8,,,,,8.2,,False,,False,False,,,,,False,,,True,,False,,False,True,,False,True,,True,False,,,,,False,False,,,,,True
01023,6,3.0,,3.6,,4.0,0.0,,,,,5.6,,,18.0,,3.4,,8.4,,,4.0,7.1,,,4.0,,,,,,5.1,,,,,6.8,-3.0,,-2.4,,-2.0,-6.0,,,,,-0.4,,,12.0,,-2.6,,2.4,,,-2.0,1.1,,,-2.0,,,,,,-0.9,,,,,0.8,,True,,True,False,,,,,True,,,False,,True,,True,,,True,True,,,True,,,,,,True,,,,,True
01025,52,60.0,,59.6,,56.0,42.0,,,,,48.1,,,45.0,,32.3,,38.4,,,55.0,58.9,,57.0,0.0,,,,,57.8,46.1,,,,,70.8,8.0,,7.6,,4.0,-10.0,,,,,-3.9,,,-7.0,,-19.7,,-13.6,,,3.0,6.9,,5.0,-52.0,,,,,5.8,-5.9,,,,,18.8,,True,,True,False,,,,,True,,,True,,False,,False,,,True,True,,True,False,,,,,True,True,,,,,False
01027,38,33.0,,31.4,,31.0,30.0,,,,,38.2,,,28.0,,10.0,,15.8,,,33.0,41.3,,39.0,17.0,,,,,,35.1,,,,,42.7,-5.0,,-6.6,,-7.0,-8.0,,,,,0.2,,,-10.0,,-28.0,,-22.2,,,-5.0,3.3,,1.0,-21.0,,,,,,-2.9,,,,,4.7,,False,,False,False,,,,,True,,,False,,False,,False,,,False,True,,True,False,,,,,,True,,,,,True
01029,81,37.0,,36.0,,36.0,21.0,,,,,26.2,,,36.0,,22.1,,20.0,,,28.0,48.4,,52.0,1.0,,,,,,42.7,,,,,60.5,-44.0,,-45.0,,-45.0,-60.0,,,,,-54.8,,,-45.0,,-58.9,,-61.0,,,-53.0,-32.6,,-29.0,-80.0,,,,,,-38.3,,,,,-20.5,,False,,False,False,,,,,False,,,False,,False,,False,,,False,True,,True,False,,,,,,True,,,,,True
01031,126,185.0,,177.8,,173.0,144.0,,,,,141.1,,,77.0,,172.4,,117.5,155.0,,224.0,185.3,,196.0,5.0,,,,,173.6,226.5,,,,,199.0,59.0,,51.8,,47.0,18.0,,,,,15.1,,,-49.0,,46.4,,-8.5,29.0,,98.0,59.3,,70.0,-121.0,,,,,47.6,100.5,,,,,73.0,,True,,True,True,,,,,True,,,True,,True,,True,True,,False,False,,False,False,,,,,True,False,,,,,False
01033,216,257.0,,288.7,,257.0,311.0,,,,,158.0,,,175.0,,118.3,,154.3,247.5,,294.0,248.4,,241.0,110.0,,,,,197.6,313.2,,,,,449.5,41.0,,72.7,,41.0,95.0,,,,,-58.0,,,-41.0,,-97.7,,-61.7,31.5,,78.0,32.4,,25.0,-106.0,,,,,-18.4,97.2,,,,,233.5,,False,,False,False,,,,,False,,,False,,False,,False,True,,False,True,,True,False,,,,,True,False,,,,,False
01035,29,35.0,,35.8,,36.0,8.0,,,,,17.4,,,18.0,,48.5,,13.0,,,67.0,42.7,,47.0,23.0,,,,,,30.6,,,,,55.0,6.0,,6.8,,7.0,-21.0,,,,,-11.6,,,-11.0,,19.5,,-16.0,,,38.0,13.7,,18.0,-6.0,,,,,,1.6,,,,,26.0,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,True,,,,,False
01037,37,32.0,,32.6,,27.0,20.0,,,,,28.7,,,16.0,,13.5,,10.1,,,32.0,32.0,,30.0,,,,,,,16.4,,,,,26.6,-5.0,,-4.4,,-10.0,-17.0,,,,,-8.3,,,-21.0,,-23.5,,-26.9,,,-5.0,-5.0,,-7.0,,,,,,,-20.6,,,,,-10.4,,True,,False,False,,,,,False,,,False,,False,,False,,,False,True,,False,,,,,,,False,,,,,False
01039,94,81.0,,90.9,,75.0,80.0,,,,,72.7,,,66.0,,30.4,,57.3,86.0,,66.0,96.7,,82.0,436.0,,,,,75.3,78.2,,,,,74.8,-13.0,,-3.1,,-19.0,-14.0,,,,,-21.3,,,-28.0,,-63.6,,-36.7,-8.0,,-28.0,2.7,,-12.0,342.0,,,,,-18.7,-15.8,,,,,-19.2,,True,,False,False,,,,,False,,,False,,False,,False,True,,False,True,,True,False,,,,,False,False,,,,,False
01041,29,30.0,,29.8,,30.0,13.0,,,,,16.1,,,18.0,,39.2,,13.1,,,28.0,31.6,,35.0,14.0,,,,,,35.0,,,,,32.7,1.0,,0.8,,1.0,-16.0,,,,,-12.9,,,-11.0,,10.2,,-15.9,,,-1.0,2.6,,6.0,-15.0,,,,,,6.0,,,,,3.7,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,False,,,,,False
01043,414,511.0,,508.5,,509.0,543.0,,,,,310.1,,,239.0,,407.0,,314.8,508.0,,550.0,503.6,,568.0,270.0,,,,,434.0,363.4,,,,,1127.7,97.0,,94.5,,95.0,129.0,,,,,-103.9,,,-175.0,,-7.0,,-99.2,94.0,,136.0,89.6,,154.0,-144.0,,,,,20.0,-50.6,,,,,713.7,,True,,True,False,,,,,False,,,False,,True,,False,True,,False,True,,False,False,,,,,True,True,,,,,False
01045,85,130.0,,130.9,,131.0,171.0,,,,,92.6,,,80.0,,65.3,,119.1,141.5,,164.0,135.7,,130.0,28.0,,,,,112.2,157.4,,,,,228.0,45.0,,45.9,,46.0,86.0,,,,,7.6,,,-5.0,,-19.7,,34.1,56.5,,79.0,50.7,,45.0,-57.0,,,,,27.2,72.4,,,,,143.0,,False,,False,False,,,,,True,,,True,,True,,True,False,,False,False,,False,False,,,,,True,False,,,,,False
01047,133,74.0,,73.9,,69.0,41.0,,,,,58.1,,,62.0,,65.4,,48.6,63.5,,147.0,86.9,,95.0,65.0,,,,,57.3,75.3,,,,,80.6,-59.0,,-59.1,,-64.0,-92.0,,,,,-74.9,,,-71.0,,-67.6,,-84.4,-69.5,,14.0,-46.1,,-38.0,-68.0,,,,,-75.7,-57.7,,,,,-52.4,,False,,False,False,,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,True
01049,402,318.0,,334.9,,256.0,256.0,,,,,270.2,,,199.0,,197.3,,185.7,284.5,,254.0,316.7,,298.0,317.0,,,,,275.6,182.5,,,,,244.5,-84.0,,-67.1,,-146.0,-146.0,,,,,-131.8,,,-203.0,,-204.7,,-216.3,-117.5,,-148.0,-85.3,,-104.0,-85.0,,,,,-126.4,-219.5,,,,,-157.5,,True,,False,False,,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,,,,,False
01051,261,186.0,,181.4,,169.0,175.0,,,,,164.7,,,127.0,,168.2,,109.1,159.0,,189.0,219.2,,225.0,50.0,,,,,169.1,215.7,,,,,164.9,-75.0,,-79.6,,-92.0,-86.0,,,,,-96.3,,,-134.0,,-92.8,,-151.9,-102.0,,-72.0,-41.8,,-36.0,-211.0,,,,,-91.9,-45.3,,,,,-96.1,,False,,False,False,,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,False
01053,71,46.0,,45.2,,46.0,7.0,,,,,42.1,,,70.0,,23.3,,37.0,48.0,,90.0,68.3,,75.0,35.0,,,,,43.2,55.1,,,,,54.2,-25.0,,-25.8,,-25.0,-64.0,,,,,-28.9,,,-1.0,,-47.7,,-34.0,-23.0,,19.0,-2.7,,4.0,-36.0,,,,,-27.8,-15.9,,,,,-16.8,,False,,False,False,,,,,False,,,True,,False,,False,True,,True,True,,True,False,,,,,False,True,,,,,True
01055,510,437.0,,438.5,,439.0,457.0,,,,,527.7,,,261.0,,259.5,,245.3,405.5,,465.0,493.7,,535.0,226.0,,,,,389.4,424.9,,,,,599.2,-73.0,,-71.5,,-71.0,-53.0,,,,,17.7,,,-249.0,,-250.5,,-264.7,-104.5,,-45.0,-16.3,,25.0,-284.0,,,,,-120.6,-85.1,,,,,89.2,,True,,True,True,,,,,True,,,False,,False,,False,False,,True,True,,True,False,,,,,False,False,,,,,False
01057,91,69.0,,68.5,,69.0,50.0,,,,,46.3,,,41.0,,102.4,,32.4,,,87.0,75.4,,85.0,17.0,,,,,,73.0,,,,,69.7,-22.0,,-22.5,,-22.0,-41.0,,,,,-44.7,,,-50.0,,11.4,,-58.6,,,-4.0,-15.6,,-6.0,-74.0,,,,,,-18.0,,,,,-21.3,,False,,False,False,,,,,False,,,False,,True,,False,,,True,True,,True,False,,,,,,True,,,,,True
01059,100,75.0,,74.6,,75.0,43.0,,,,,64.0,,,109.0,,21.6,,67.3,84.0,,59.0,91.0,,82.0,35.0,,,,,63.6,94.4,,,,,89.1,-25.0,,-25.4,,-25.0,-57.0,,,,,-36.0,,,9.0,,-78.4,,-32.7,-16.0,,-41.0,-9.0,,-18.0,-65.0,,,,,-36.4,-5.6,,,,,-10.9,,False,,False,False,,,,,False,,,True,,False,,False,True,,False,True,,True,False,,,,,False,True,,,,,True
01061,71,68.0,,68.4,,67.0,65.0,,,,,41.9,,,42.0,,41.6,,41.8,,,100.0,87.8,,82.0,15.0,,,,,65.2,79.8,,,,,82.0,-3.0,,-2.6,,-4.0,-6.0,,,,,-29.1,,,-29.0,,-29.4,,-29.2,,,29.0,16.8,,11.0,-56.0,,,,,-5.8,8.8,,,,,11.0,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,False,False,,,,,False
01063,22,16.0,,15.3,,13.0,0.0,,,,,15.3,,,13.0,,8.6,,7.2,,,9.0,12.9,,14.0,21.0,,,,,,13.4,,,,,18.2,-6.0,,-6.7,,-9.0,-22.0,,,,,-6.7,,,-9.0,,-13.4,,-14.8,,,-13.0,-9.1,,-8.0,-1.0,,,,,,-8.6,,,,,-3.8,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,True,,,,,,False,,,,,True
01065,42,45.0,,45.5,,28.0,14.0,,,,,46.0,,,27.0,,19.6,,23.3,,,28.0,44.4,,48.0,18.0,,,,,,39.4,,,,,43.4,3.0,,3.5,,-14.0,-28.0,,,,,4.0,,,-15.0,,-22.4,,-18.7,,,-14.0,2.4,,6.0,-24.0,,,,,,-2.6,,,,,1.4,,False,,False,False,,,,,False,,,False,,False,,False,,,False,True,,False,False,,,,,,True,,,,,True
01067,26,34.0,,36.1,,34.0,11.0,,,,,23.9,,,21.0,,16.2,,24.4,,,35.0,36.7,,32.0,1.0,,,,,,37.4,,,,,52.8,8.0,,10.1,,8.0,-15.0,,,,,-2.1,,,-5.0,,-9.8,,-1.6,,,9.0,10.7,,6.0,-25.0,,,,,,11.4,,,,,26.8,,False,,False,False,,,,,True,,,True,,False,,True,,,False,False,,True,False,,,,,,False,,,,,False
01069,282,241.0,,269.0,,235.0,288.0,,,,,207.0,,,187.0,,157.9,,164.4,219.5,,356.0,284.9,,279.0,0.0,,,,,234.7,301.3,,,,,224.6,-41.0,,-13.0,,-47.0,6.0,,,,,-75.0,,,-95.0,,-124.1,,-117.6,-62.5,,74.0,2.9,,-3.0,-282.0,,,,,-47.3,19.3,,,,,-57.4,,True,,False,True,,,,,False,,,False,,False,,False,False,,False,True,,True,False,,,,,False,True,,,,,False
01071,197,223.0,,214.2,,212.0,214.0,,,,,176.3,,,162.0,,128.2,,129.9,196.0,,212.5,248.6,,239.0,151.0,,,,,195.3,276.2,,,,,228.1,26.0,,17.2,,15.0,17.0,,,,,-20.7,,,-35.0,,-68.8,,-67.1,-1.0,,15.5,51.6,,42.0,-46.0,,,,,-1.7,79.2,,,,,31.1,,True,,True,True,,,,,True,,,False,,False,,False,True,,True,False,,False,False,,,,,True,False,,,,,False
01073,2448,1952.0,,1958.0,2105.5,1952.0,2402.0,,,,,2265.5,,,1200.0,,1703.6,,1143.1,1667.0,,2662.5,2347.4,,2349.0,879.0,,,,,1683.6,2158.4,3220.0,,,,1493.0,-496.0,,-490.0,-342.5,-496.0,-46.0,,,,,-182.5,,,-1248.0,,-744.4,,-1304.9,-781.0,,214.5,-100.6,,-99.0,-1569.0,,,,,-764.4,-289.6,772.0,,,,-955.0,,True,True,False,True,,,,,True,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,False,,,,False
01075,28,28.0,,26.7,,28.0,30.0,,,,,16.8,,,37.0,,27.4,,13.5,,,19.0,28.3,,25.0,8.0,,,,,,34.5,,,,,32.7,0.0,,-1.3,,0.0,2.0,,,,,-11.2,,,9.0,,-0.6,,-14.5,,,-9.0,0.3,,-3.0,-20.0,,,,,,6.5,,,,,4.7,,False,,True,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,False,,,,,False
01077,453,348.0,,363.9,,320.0,311.0,,,,,220.8,,,278.0,,158.2,,224.9,363.0,,320.0,326.2,,328.0,53.0,,,,,265.5,388.3,,,,,504.0,-105.0,,-89.1,,-133.0,-142.0,,,,,-232.2,,,-175.0,,-294.8,,-228.1,-90.0,,-133.0,-126.8,,-125.0,-400.0,,,,,-187.5,-64.7,,,,,51.0,,True,,False,False,,,,,False,,,False,,False,,False,True,,False,False,,False,False,,,,,False,True,,,,,True
01079,130,76.0,,77.5,,72.0,70.0,,,,,69.5,,,95.0,,28.0,,51.8,73.5,,58.0,72.9,,59.0,50.0,,,,,,73.4,,,,,108.1,-54.0,,-52.5,,-58.0,-60.0,,,,,-60.5,,,-35.0,,-102.0,,-78.2,-56.5,,-72.0,-57.1,,-71.0,-80.0,,,,,,-56.6,,,,,-21.9,,True,,False,False,,,,,False,,,True,,False,,False,False,,False,False,,False,False,,,,,,False,,,,,True
01081,297,303.0,,296.8,,297.0,387.0,,,,,445.0,,,258.0,,235.9,,128.6,235.0,,510.0,370.7,,332.0,185.0,,,,,296.2,399.3,345.0,,,,0.0,6.0,,-0.2,,0.0,90.0,,,,,148.0,,,-39.0,,-61.1,,-168.4,-62.0,,213.0,73.7,,35.0,-112.0,,,,,-0.8,102.3,48.0,,,,-297.0,,True,,True,False,,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,True,False,False,,,,False
01083,355,304.0,,302.9,,297.0,333.0,,,,,216.9,,,247.0,,224.1,,153.7,284.5,,297.0,316.8,,306.0,62.0,,,,,274.8,297.3,,,,,488.4,-51.0,,-52.1,,-58.0,-22.0,,,,,-138.1,,,-108.0,,-130.9,,-201.3,-70.5,,-58.0,-38.2,,-49.0,-293.0,,,,,-80.2,-57.7,,,,,133.4,,False,,False,True,,,,,False,,,False,,False,,False,False,,False,True,,True,False,,,,,False,False,,,,,False
01085,24,13.0,,12.5,,12.0,0.0,,,,,12.9,,,13.0,,6.2,,10.1,,,11.0,17.4,,14.0,9.0,,,,,,16.4,,,,,18.7,-11.0,,-11.5,,-12.0,-24.0,,,,,-11.1,,,-11.0,,-17.8,,-13.9,,,-13.0,-6.6,,-10.0,-15.0,,,,,,-7.6,,,,,-5.3,,False,,False,False,,,,,False,,,False,,False,,False,,,False,True,,True,False,,,,,,True,,,,,True
01087,39,51.0,,50.9,,44.0,41.0,,,,,24.8,,,20.0,,29.7,,24.7,,,53.0,44.0,,56.0,35.0,,,,,,38.6,,,,,44.1,12.0,,11.9,,5.0,2.0,,,,,-14.2,,,-19.0,,-9.3,,-14.3,,,14.0,5.0,,17.0,-4.0,,,,,,-0.4,,,,,5.1,,True,,True,True,,,,,False,,,False,,True,,False,,,False,True,,False,True,,,,,,True,,,,,True
01089,937,871.0,,876.5,,874.0,1119.0,,,,,990.3,,,686.0,,858.3,,539.5,712.5,,1090.0,1073.0,,1021.0,314.0,,,,,756.8,1132.2,1144.0,,,,979.3,-66.0,,-60.5,,-63.0,182.0,,,,,53.3,,,-251.0,,-78.7,,-397.5,-224.5,,153.0,136.0,,84.0,-623.0,,,,,-180.2,195.2,207.0,,,,42.3,,True,,True,False,,,,,True,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,False,,,,True
01091,31,40.0,,35.8,,36.0,11.0,,,,,34.4,,,38.0,,22.8,,30.5,,,22.0,36.6,,29.0,42.0,,,,,38.7,31.5,,,,,59.5,9.0,,4.8,,5.0,-20.0,,,,,3.4,,,7.0,,-8.2,,-0.5,,,-9.0,5.6,,-2.0,11.0,,,,,7.7,0.5,,,,,28.5,,True,,True,False,,,,,True,,,True,,True,,True,,,False,True,,True,False,,,,,True,True,,,,,False
01093,67,60.0,,57.3,,73.0,80.0,,,,,38.0,,,77.0,,31.0,,39.0,67.0,,95.0,80.5,,87.0,23.0,,,,,49.6,82.1,,,,,76.6,-7.0,,-9.7,,6.0,13.0,,,,,-29.0,,,10.0,,-36.0,,-28.0,0.0,,28.0,13.5,,20.0,-44.0,,,,,-17.4,15.1,,,,,9.6,,False,,True,False,,,,,False,,,False,,False,,False,True,,False,False,,False,False,,,,,False,False,,,,,False
