,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01023,67,24.0,,,,155.0,,,34.5,27.2,,,-43.0,,,,88.0,,,-32.5,-39.8,,,,,,False,,,True,True,,
01025,463,336.0,,,,490.0,,,9.2,279.9,,,-127.0,,,,27.0,,,-453.8,-183.1,,,,,,True,,,False,False,,
01027,304,392.0,,,,188.0,,,47.0,214.3,,,88.0,,,,-116.0,,,-257.0,-89.7,,,,,,False,,,False,False,,
01029,347,480.0,,,,283.0,,,48.2,236.1,,,133.0,,,,-64.0,,,-298.8,-110.9,,,,,,True,,,False,True,,
01031,931,624.0,,,,1003.0,,,524.0,502.0,,,-307.0,,,,72.0,,,-407.0,-429.0,,,,,,True,,,False,False,,
01033,1264,424.0,,,,913.0,,,314.1,202.4,,,-840.0,,,,-351.0,,,-949.9,-1061.6,,,,,,True,,,False,False,,
01035,136,96.0,,,,132.0,,0.0,17.0,35.0,,,-40.0,,,,-4.0,,-136.0,-119.0,-101.0,,,,,,True,,False,False,False,,
01037,126,80.0,,,,146.0,,4.6,10.5,35.4,,,-46.0,,,,20.0,,-121.4,-115.5,-90.6,,,,,,True,,False,False,False,,
01039,727,792.0,,,,735.0,,0.5,66.8,175.4,,,65.0,,,,8.0,,-726.5,-660.2,-551.6,,,,,,True,,False,False,False,,
01041,160,120.0,,,,251.0,,0.0,86.9,212.8,,,-40.0,,,,91.0,,-160.0,-73.1,52.8,,,,,,False,,False,False,False,,
01043,2187,552.0,,,,2135.0,,198.8,163.4,236.3,,,-1635.0,,,,-52.0,,-1988.2,-2023.6,-1950.7,,,,,,True,,False,False,False,,
01045,864,472.0,,,,719.0,,1.0,204.9,212.0,,,-392.0,,,,-145.0,,-863.0,-659.1,-652.0,,,,,,True,,False,False,False,,
01047,412,432.0,,,,623.0,,1.6,38.1,175.0,,,20.0,,,,211.0,,-410.4,-373.9,-237.0,,,,,,False,,False,False,False,,
01049,2154,560.0,,,,1690.0,,16.9,109.3,294.2,,,-1594.0,,,,-464.0,,-2137.1,-2044.7,-1859.8,,,,,,True,,False,False,False,,
01051,1231,1184.0,,,,1149.0,,19.5,528.7,697.0,,,-47.0,,,,-82.0,,-1211.5,-702.3,-534.0,,,,,,False,,False,False,False,,
01053,343,408.0,,,,740.0,,0.6,30.1,138.7,,,65.0,,,,397.0,,-342.4,-312.9,-204.3,,,,,,False,,False,False,False,,
01055,2332,1248.0,,,,1923.0,,25.2,478.6,431.0,,,-1084.0,,,,-409.0,,-2306.8,-1853.4,-1901.0,,,,,,True,,False,False,False,,
01057,346,312.0,,,,263.0,,0.8,192.8,215.9,,,-34.0,,,,-83.0,,-345.2,-153.2,-130.1,,,,,,False,,False,False,False,,
01059,653,240.0,,,,957.0,,13.1,259.4,211.2,,,-413.0,,,,304.0,,-639.9,-393.6,-441.8,,,,,,True,,False,True,False,,
01061,526,496.0,,,,403.0,,2.1,152.6,231.8,,,-30.0,,,,-123.0,,-523.9,-373.4,-294.2,,,,,,False,,False,False,False,,
01063,92,24.0,,,,68.0,,0.0,8.4,13.8,,,-68.0,,,,-24.0,,-92.0,-83.6,-78.2,,,,,,True,,False,False,False,,
01065,258,184.0,,,,354.0,,1.9,113.6,91.1,,,-74.0,,,,96.0,,-256.1,-144.4,-166.9,,,,,,False,,False,False,False,,
01067,334,304.0,,,,166.0,,0.2,151.4,192.9,,,-30.0,,,,-168.0,,-333.8,-182.6,-141.1,,,,,,False,,False,False,False,,
01069,2085,1632.0,,,,1417.0,,24.8,412.5,729.9,,,-453.0,,,,-668.0,,-2060.2,-1672.5,-1355.1,,,,,,False,,False,False,False,,
01071,1333,648.0,,,,1060.0,,2.4,254.8,224.4,,,-685.0,,,,-273.0,,-1330.6,-1078.2,-1108.6,,,,,,True,,False,False,False,,
01073,10447,6120.0,,,,10604.0,,323.8,835.1,2712.8,,,-4327.0,,,,157.0,,-10123.2,-9611.9,-7734.2,,,,,,True,,False,False,False,,
01075,246,176.0,,,,293.0,,3.4,84.7,112.4,,,-70.0,,,,47.0,,-242.6,-161.3,-133.6,,,,,,True,,False,False,False,,
01077,2000,576.0,,,,1559.0,,288.2,364.1,410.9,,,-1424.0,,,,-441.0,,-1711.8,-1635.9,-1589.1,,,,,,True,,False,False,False,,
01079,572,304.0,,,,584.0,,74.6,16.0,221.5,,,-268.0,,,,12.0,,-497.4,-556.0,-350.5,,,,,,True,,False,False,False,,
01081,1609,1536.0,,,,2804.0,,8.6,1606.3,694.2,,,-73.0,,,,1195.0,,-1600.4,-2.7,-914.8,,,,,,False,,False,True,False,,
01083,1819,1024.0,,,,1823.0,,201.5,430.3,320.8,,,-795.0,,,,4.0,,-1617.5,-1388.7,-1498.2,,,,,,True,,False,False,False,,
01085,128,64.0,,,,118.0,,0.2,14.2,27.9,,,-64.0,,,,-10.0,,-127.8,-113.8,-100.1,,,,,,True,,False,False,False,,
01087,207,32.0,,,,114.0,,0.0,42.6,51.5,,,-175.0,,,,-93.0,,-207.0,-164.4,-155.5,,,,,,True,,False,True,True,,
01089,4356,2992.0,,,,4427.0,,973.1,1350.9,827.5,,,-1364.0,,,,71.0,,-3382.9,-3005.1,-3528.5,,,,,,True,,False,False,False,,
01091,451,168.0,,,,400.0,,0.3,36.4,62.1,,,-283.0,,,,-51.0,,-450.7,-414.6,-388.9,,,,,,True,,False,False,False,,
01093,381,216.0,,,,475.0,,1.1,106.7,82.0,,,-165.0,,,,94.0,,-379.9,-274.3,-299.0,,,,,,True,,False,False,False,,
01095,1793,976.0,,,,2184.0,,19.7,86.0,408.1,,,-817.0,,,,391.0,,-1773.3,-1707.0,-1384.9,,,,,,True,,False,False,False,,
01097,5821,2672.0,,,,4383.0,,426.3,1501.1,2536.9,,,-3149.0,,,,-1438.0,,-5394.7,-4319.9,-3284.1,,,,,,True,,False,False,False,,
01099,176,112.0,,,,260.0,,0.1,22.8,49.1,,,-64.0,,,,84.0,,-175.9,-153.2,-126.9,,,,,,False,,False,False,False,,
01101,3194,1648.0,,,,3344.0,,59.8,675.9,869.6,,,-1546.0,,,,150.0,,-3134.2,-2518.1,-2324.4,,,,,,True,,False,False,False,,
01103,2716,888.0,,,,2139.0,,193.8,454.8,449.9,,,-1828.0,,,,-577.0,,-2522.2,-2261.2,-2266.1,,,,,,True,,False,False,False,,
01105,128,32.0,,,,75.0,,0.0,11.9,19.9,,,-96.0,,,,-53.0,,-128.0,-116.1,-108.1,,,,,,True,,False,False,False,,
01107,470,248.0,,,,365.0,,1.3,113.9,109.4,,,-222.0,,,,-105.0,,-468.7,-356.1,-360.6,,,,,,True,,False,False,False,,
01109,337,376.0,,,,1027.0,,0.0,208.7,344.0,,,39.0,,,,690.0,,-337.0,-128.3,7.0,,,,,,False,,False,False,True,,
01111,339,320.0,,,,416.0,,3.1,200.2,102.9,,,-19.0,,,,77.0,,-335.9,-138.8,-236.1,,,,,,False,,False,False,False,,
01113,421,392.0,,,,729.0,,0.8,107.3,413.1,,,-29.0,,,,308.0,,-420.2,-313.7,-7.9,,,,,,False,,False,False,True,,
01115,1619,872.0,,,,1333.0,,96.5,116.7,374.3,,,-747.0,,,,-286.0,,-1522.5,-1502.3,-1244.7,,,,,,True,,False,False,False,,
01117,3643,2664.0,,,,2911.0,,252.1,1166.8,877.6,,,-979.0,,,,-732.0,,-3390.9,-2476.2,-2765.4,,,,,,True,,False,False,False,,
01119,113,160.0,,,,140.0,,0.1,27.6,94.1,,,47.0,,,,27.0,,-112.9,-85.4,-18.9,,,,,,True,,False,False,True,,
01121,1169,928.0,,,,1448.0,,1.5,544.9,338.3,,,-241.0,,,,279.0,,-1167.5,-624.1,-830.7,,,,,,False,,False,False,False,,
01123,531,232.0,,,,700.0,,4.9,61.9,83.2,,,-299.0,,,,169.0,,-526.1,-469.1,-447.8,,,,,,True,,False,False,False,,
01125,3829,11528.0,,,,4657.0,,3227.4,1635.7,2617.4,,,7699.0,,,,828.0,,-601.6,-2193.3,-1211.6,,,,,,True,,True,True,True,,
01127,1157,872.0,,,,1402.0,,4.9,597.0,276.5,,,-285.0,,,,245.0,,-1152.1,-560.0,-880.5,,,,,,True,,False,False,False,,
01129,344,104.0,,,,262.0,,0.0,0.1,56.7,,,-240.0,,,,-82.0,,-344.0,-343.9,-287.3,,,,,,True,,False,False,False,,
01131,93,8.0,,,,74.0,,0.1,1.7,19.6,,,-85.0,,,,-19.0,,-92.9,-91.3,-73.4,,,,,,True,,False,False,True,,
01133,477,360.0,,,,457.0,,3.1,137.8,200.2,,,-117.0,,,,-20.0,,-473.9,-339.2,-276.8,,,,,,True,,False,False,False,,
02013,11,0.0,,,,,,,0.7,,,,-11.0,,,,,,,-10.3,,,,,,,,,,True,,,
02016,10,8.0,,,,,,,0.5,,,,-2.0,,,,,,,-9.5,,,,,,,,,,False,,,
02020,10008,2624.0,,,,,,1644.5,2048.3,1010.8,,,-7384.0,,,,,,-8363.5,-7959.8,-8997.2,,,,,,,,False,False,False,,
02050,1015,136.0,,,,,,0.0,49.3,136.4,,,-879.0,,,,,,-1015.0,-965.7,-878.6,,,,,,,,False,False,True,,
02060,0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,True,,,
02068,30,32.0,,,,,,,0.0,,,,2.0,,,,,,,-30.0,,,,,,,,,,False,,,
02070,64,8.0,,,,,,,6.0,,,,-56.0,,,,,,,-58.0,,,,,,,,,,False,,,
02090,2010,952.0,,,,,,585.1,667.4,484.9,,,-1058.0,,,,,,-1424.9,-1342.6,-1525.1,,,,,,,,False,False,False,,
02100,7,0.0,,,,,,,0.0,,,,-7.0,,,,,,,-7.0,,,,,,,,,,False,,,
02105,0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,True,,,
02110,410,200.0,,,,,,358.7,81.9,77.7,,,-210.0,,,,,,-51.3,-328.1,-332.3,,,,,,,,True,False,False,,
02122,1463,96.0,,,,,,146.5,15.8,65.1,,,-1367.0,,,,,,-1316.5,-1447.2,-1397.9,,,,,,,,True,False,False,,
02130,119,0.0,,,,,,,3.7,8.7,,,-119.0,,,,,,,-115.3,-110.3,,,,,,,,,True,True,,
02150,148,16.0,,,,,,,2.9,,,,-132.0,,,,,,,-145.1,,,,,,,,,,False,,,
02158,369,8.0,,,,,,,1.1,,,,-361.0,,,,,,,-367.9,,,,,,,,,,False,,,
02164,49,0.0,,,,,,,0.0,,,,-49.0,,,,,,,-49.0,,,,,,,,,,False,,,
02170,1925,160.0,,,,,,484.3,152.3,99.2,,,-1765.0,,,,,,-1440.7,-1772.7,-1825.8,,,,,,,,True,False,False,,
02180,113,120.0,,,,,,,9.5,,,,7.0,,,,,,,-103.5,,,,,,,,,,False,,,
02185,274,296.0,,,,,,0.0,17.1,,,,22.0,,,,,,-274.0,-256.9,,,,,,,,,False,False,,,
02188,229,192.0,,,,,,0.0,17.0,,,,-37.0,,,,,,-229.0,-212.0,,,,,,,,,False,False,,,
02195,12,0.0,,,,,,,0.0,,,,-12.0,,,,,,,-12.0,,,,,,,,,,False,,,
02198,14,8.0,,,,,,,0.8,,,,-6.0,,,,,,,-13.2,,,,,,,,,,False,,,
02220,92,24.0,,,,,,,36.0,35.0,,,-68.0,,,,,,,-56.0,-57.0,,,,,,,,,True,True,,
02230,10,0.0,,,,,,,0.0,,,,-10.0,,,,,,,-10.0,,,,,,,,,,False,,,
02240,182,32.0,,,,,,,60.3,,,,-150.0,,,,,,,-121.7,,,,,,,,,,True,,,
02261,110,8.0,,,,,,,0.0,,,,-102.0,,,,,,,-110.0,,,,,,,,,,False,,,
02275,1,0.0,,,,,,,1.8,,,,-1.0,,,,,,,0.8,,,,,,,,,,True,,,
02282,16,24.0,,,,,,,0.1,,,,8.0,,,,,,,-15.9,,,,,,,,,,False,,,
02290,67,16.0,,,,,,,3.3,,,,-51.0,,,,,,,-63.7,,,,,,,,,,False,,,
04001,1368,560.0,,,,317.0,,2.1,26.9,283.9,,,-808.0,,,,-1051.0,,-1365.9,-1341.1,-1084.1,,,,,,False,,False,False,False,,
04003,1182,184.0,,,,505.0,,27.6,106.1,136.0,,,-998.0,,,,-677.0,,-1154.4,-1075.9,-1046.0,,,,,,True,,False,False,False,,
04005,2825,2616.0,,,,901.0,,337.0,2270.3,1937.4,,,-209.0,,,,-1924.0,,-2488.0,-554.7,-887.6,,,,,,False,,False,False,False,,
04007,1309,576.0,,,,50.0,,0.0,20.6,352.7,,,-733.0,,,,-1259.0,,-1309.0,-1288.4,-956.3,,,,,,False,,False,False,False,,
04009,1055,240.0,,,,58.0,,0.0,47.0,145.8,,,-815.0,,,,-997.0,,-1055.0,-1008.0,-909.2,,,,,,False,,False,False,False,,
04011,117,8.0,,,,72.0,,,2.4,4.0,,,-109.0,,,,-45.0,,,-114.6,-113.0,,,,,,True,,,False,False,,
04012,201,88.0,,,,51.0,,0.0,48.1,38.8,,,-113.0,,,,-150.0,,-201.0,-152.9,-162.2,,,,,,False,,False,False,False,,
04013,46673,11016.0,,,,11146.0,,985.5,1258.1,5199.4,,,-35657.0,,,,-35527.0,,-45687.5,-45414.8,-41473.6,,,,,,True,,False,False,False,,
04015,1619,664.0,,,,502.0,,241.5,58.1,264.0,,,-955.0,,,,-1117.0,,-1377.5,-1560.9,-1355.0,,,,,,False,,False,False,False,,
04017,1801,328.0,,,,953.0,,4.8,42.6,156.7,,,-1473.0,,,,-848.0,,-1796.2,-1758.4,-1644.3,,,,,,True,,False,False,False,,
04019,9908,6544.0,,,,4343.0,,5279.6,1690.5,2829.2,,,-3364.0,,,,-5565.0,,-4628.4,-8217.5,-7078.8,,,,,,False,,False,False,False,,
04021,4471,1568.0,,,,741.0,,373.7,403.0,872.1,,,-2903.0,,,,-3730.0,,-4097.3,-4068.0,-3598.9,,,,,,False,,False,False,False,,
04023,695,136.0,,,,451.0,,0.5,68.4,60.4,,,-559.0,,,,-244.0,,-694.5,-626.6,-634.6,,,,,,True,,False,False,False,,
04025,1733,496.0,,,,363.0,,279.2,127.6,244.9,,,-1237.0,,,,-1370.0,,-1453.8,-1605.4,-1488.1,,,,,,False,,False,False,False,,
04027,3629,1184.0,,,,881.0,,4.2,133.4,610.0,,,-2445.0,,,,-2748.0,,-3624.8,-3495.7,-3019.0,,,,,,False,,False,False,False,,
05001,496,448.0,,,,219.0,,100.2,73.0,183.0,,,-48.0,,,,-277.0,,-395.8,-423.0,-313.0,,,,,,False,,False,False,False,,
05003,298,104.0,,,,164.0,,0.4,10.7,56.9,,,-194.0,,,,-134.0,,-297.6,-287.3,-241.1,,,,,,True,,False,False,False,,
05005,904,568.0,,,,342.0,,339.0,94.0,410.7,,,-336.0,,,,-562.0,,-565.0,-810.0,-493.3,,,,,,False,,False,False,False,,
05007,4490,2848.0,,,,4117.0,,258.2,997.2,1500.8,,,-1642.0,,,,-373.0,,-4231.8,-3492.8,-2989.2,,,,,,True,,False,False,False,,
05009,845,840.0,,,,745.0,,228.1,155.2,1309.2,,,-5.0,,,,-100.0,,-616.9,-689.8,464.2,,,,,,False,,False,False,False,,
05011,85,64.0,,,,148.0,,0.0,14.3,58.9,,,-21.0,,,,63.0,,-85.0,-70.7,-26.1,,,,,,False,,False,False,False,,
05013,92,16.0,,,,36.0,,,2.4,,,,-76.0,,,,-56.0,,,-89.6,,,,,,,True,,,False,,,
05015,631,384.0,,,,413.0,,230.0,399.9,119.4,,,-247.0,,,,-218.0,,-401.0,-231.1,-511.6,,,,,,True,,False,True,False,,
05017,122,104.0,,,,158.0,,0.5,44.3,114.6,,,-18.0,,,,36.0,,-121.5,-77.7,-7.4,,,,,,False,,False,False,True,,
05019,404,248.0,,,,299.0,,61.7,153.4,133.3,,,-156.0,,,,-105.0,,-342.3,-250.6,-270.7,,,,,,True,,False,False,False,,
05021,467,288.0,,,,293.0,,62.0,75.5,336.2,,,-179.0,,,,-174.0,,-405.0,-391.5,-130.8,,,,,,True,,False,False,True,,
05023,316,136.0,,,,351.0,,92.2,23.8,63.9,,,-180.0,,,,35.0,,-223.8,-292.2,-252.1,,,,,,True,,False,False,False,,
05025,144,48.0,,,,68.0,,0.0,11.5,23.3,,,-96.0,,,,-76.0,,-144.0,-132.5,-120.7,,,,,,True,,False,False,False,,
05027,536,552.0,,,,241.0,,130.1,253.8,218.8,,,16.0,,,,-295.0,,-405.9,-282.2,-317.2,,,,,,False,,False,False,False,,
05029,336,152.0,,,,548.0,,99.6,86.2,71.3,,,-184.0,,,,212.0,,-236.4,-249.8,-264.7,,,,,,False,,False,False,False,,
05031,3564,2800.0,,,,2070.0,,1231.5,683.2,1754.6,,,-764.0,,,,-1494.0,,-2332.5,-2880.8,-1809.4,,,,,,False,,False,False,False,,
05033,1477,1200.0,,,,1132.0,,584.4,197.4,1196.3,,,-277.0,,,,-345.0,,-892.6,-1279.6,-280.7,,,,,,False,,False,False,False,,
05035,1132,608.0,,,,626.0,,3.5,248.3,398.3,,,-524.0,,,,-506.0,,-1128.5,-883.7,-733.7,,,,,,True,,False,False,False,,
05037,326,240.0,,,,290.0,,0.9,60.9,152.2,,,-86.0,,,,-36.0,,-325.1,-265.1,-173.8,,,,,,True,,False,False,False,,
05039,103,48.0,,,,80.0,,0.0,1.0,67.8,,,-55.0,,,,-23.0,,-103.0,-102.0,-35.2,,,,,,True,,False,False,True,,
05041,219,128.0,,,,127.0,,0.0,41.3,34.6,,,-91.0,,,,-92.0,,-219.0,-177.7,-184.4,,,,,,False,,False,False,False,,
05043,215,80.0,,,,236.0,,0.0,20.7,45.3,,,-135.0,,,,21.0,,-215.0,-194.3,-169.7,,,,,,True,,False,False,False,,
05045,1935,2008.0,,,,2001.0,,911.8,468.2,618.1,,,73.0,,,,66.0,,-1023.2,-1466.8,-1316.9,,,,,,True,,False,False,False,,
05047,430,368.0,,,,365.0,,72.7,29.7,305.1,,,-62.0,,,,-65.0,,-357.3,-400.3,-124.9,,,,,,False,,False,False,False,,
05049,339,304.0,,,,120.0,,57.1,238.1,324.4,,,-35.0,,,,-219.0,,-281.9,-100.9,-14.6,,,,,,False,,False,False,True,,
05051,1572,1184.0,,,,1181.0,,479.4,279.2,587.2,,,-388.0,,,,-391.0,,-1092.6,-1292.8,-984.8,,,,,,False,,False,False,False,,
05053,271,144.0,,,,137.0,,82.6,53.1,54.0,,,-127.0,,,,-134.0,,-188.4,-217.9,-217.0,,,,,,False,,False,False,False,,
05055,1658,680.0,,,,602.0,,168.0,296.1,507.5,,,-978.0,,,,-1056.0,,-1490.0,-1361.9,-1150.5,,,,,,False,,False,False,False,,
05057,432,88.0,,,,194.0,,0.1,10.5,88.1,,,-344.0,,,,-238.0,,-431.9,-421.5,-343.9,,,,,,True,,False,False,True,,
05059,851,584.0,,,,497.0,,4.8,285.1,185.2,,,-267.0,,,,-354.0,,-846.2,-565.9,-665.8,,,,,,False,,False,False,False,,
05061,300,112.0,,,,203.0,,0.5,29.3,59.3,,,-188.0,,,,-97.0,,-299.5,-270.6,-240.7,,,,,,True,,False,False,False,,
05063,851,624.0,,,,1048.0,,1.6,60.5,363.5,,,-227.0,,,,197.0,,-849.4,-790.5,-487.5,,,,,,True,,False,False,False,,
05065,700,760.0,,,,208.0,,9.7,230.1,557.9,,,60.0,,,,-492.0,,-690.3,-469.9,-142.1,,,,,,False,,False,False,False,,
05067,1175,280.0,,,,421.0,,1.7,32.3,285.6,,,-895.0,,,,-754.0,,-1173.3,-1142.7,-889.4,,,,,,True,,False,False,True,,
05069,1832,2368.0,,,,1044.0,,1049.9,2062.7,1311.6,,,536.0,,,,-788.0,,-782.1,230.7,-520.4,,,,,,False,,False,True,True,,
05071,351,256.0,,,,817.0,,2.2,100.1,95.9,,,-95.0,,,,466.0,,-348.8,-250.9,-255.1,,,,,,False,,False,False,False,,
05073,147,128.0,,,,62.0,,21.8,80.5,52.7,,,-19.0,,,,-85.0,,-125.2,-66.5,-94.3,,,,,,False,,False,False,False,,
05075,643,624.0,,,,284.0,,92.0,61.8,264.4,,,-19.0,,,,-359.0,,-551.0,-581.2,-378.6,,,,,,False,,False,False,False,,
05077,100,96.0,,,,167.0,,0.5,13.8,68.8,,,-4.0,,,,67.0,,-99.5,-86.2,-31.2,,,,,,False,,False,False,False,,
05079,379,752.0,,,,432.0,,1.1,145.5,806.0,,,373.0,,,,53.0,,-377.9,-233.5,427.0,,,,,,True,,False,True,False,,
05081,250,88.0,,,,134.0,,0.0,30.2,122.8,,,-162.0,,,,-116.0,,-250.0,-219.8,-127.2,,,,,,True,,False,False,True,,
05083,425,136.0,,,,381.0,,0.0,0.1,115.3,,,-289.0,,,,-44.0,,-425.0,-424.9,-309.7,,,,,,True,,False,False,False,,
05085,1291,1152.0,,,,832.0,,500.0,208.7,482.1,,,-139.0,,,,-459.0,,-791.0,-1082.3,-808.9,,,,,,False,,False,False,False,,
05087,207,160.0,,,,389.0,,0.7,52.9,68.3,,,-47.0,,,,182.0,,-206.3,-154.1,-138.7,,,,,,False,,False,False,False,,
05089,282,160.0,,,,110.0,,,116.1,128.8,,,-122.0,,,,-172.0,,,-165.9,-153.2,,,,,,False,,,False,False,,
05091,1212,432.0,,,,450.0,,80.2,271.8,115.5,,,-780.0,,,,-762.0,,-1131.8,-940.2,-1096.5,,,,,,True,,False,False,False,,
05093,1310,672.0,,,,866.0,,3.0,490.9,289.6,,,-638.0,,,,-444.0,,-1307.0,-819.1,-1020.4,,,,,,True,,False,False,False,,
05095,156,136.0,,,,139.0,,19.9,10.6,59.8,,,-20.0,,,,-17.0,,-136.1,-145.4,-96.2,,,,,,True,,False,False,False,,
05097,91,112.0,,,,117.0,,24.6,13.9,,,,21.0,,,,26.0,,-66.4,-77.1,,,,,,,False,,False,False,,,
05099,204,152.0,,,,106.0,,0.1,9.9,37.6,,,-52.0,,,,-98.0,,-203.9,-194.1,-166.4,,,,,,False,,False,False,False,,
05101,162,240.0,,,,114.0,,0.0,23.2,,,,78.0,,,,-48.0,,-162.0,-138.8,,,,,,,True,,False,False,,,
05103,334,120.0,,,,212.0,,18.9,58.7,67.1,,,-214.0,,,,-122.0,,-315.1,-275.3,-266.9,,,,,,True,,False,False,False,,
05105,136,64.0,,,,75.0,,,7.6,53.9,,,-72.0,,,,-61.0,,,-128.4,-82.1,,,,,,True,,,False,False,,
05107,391,296.0,,,,304.0,,73.2,110.2,130.9,,,-95.0,,,,-87.0,,-317.8,-280.8,-260.1,,,,,,True,,False,False,False,,
05109,122,72.0,,,,145.0,,0.0,24.3,69.8,,,-50.0,,,,23.0,,-122.0,-97.8,-52.2,,,,,,True,,False,False,False,,
05111,923,384.0,,,,350.0,,0.3,126.5,340.0,,,-539.0,,,,-573.0,,-922.7,-796.5,-583.0,,,,,,False,,False,False,False,,
05113,431,64.0,,,,283.0,,17.5,23.9,55.6,,,-367.0,,,,-148.0,,-413.5,-407.1,-375.4,,,,,,True,,False,False,False,,
05115,1342,840.0,,,,1214.0,,3.3,375.7,641.1,,,-502.0,,,,-128.0,,-1338.7,-966.3,-700.9,,,,,,True,,False,False,False,,
05117,187,112.0,,,,102.0,,21.9,15.9,58.5,,,-75.0,,,,-85.0,,-165.1,-171.1,-128.5,,,,,,False,,False,False,False,,
05119,6285,4632.0,,,,4638.0,,2519.8,1168.5,1997.3,,,-1653.0,,,,-1647.0,,-3765.2,-5116.5,-4287.7,,,,,,True,,False,False,False,,
05121,502,280.0,,,,503.0,,55.6,75.2,117.8,,,-222.0,,,,1.0,,-446.4,-426.8,-384.2,,,,,,True,,False,False,False,,
05123,465,304.0,,,,752.0,,2.0,72.8,230.3,,,-161.0,,,,287.0,,-463.0,-392.2,-234.7,,,,,,False,,False,False,False,,
05125,2212,936.0,,,,1213.0,,449.8,562.0,650.3,,,-1276.0,,,,-999.0,,-1762.2,-1650.0,-1561.7,,,,,,True,,False,False,False,,
05127,227,40.0,,,,184.0,,18.0,35.4,21.4,,,-187.0,,,,-43.0,,-209.0,-191.7,-205.6,,,,,,True,,False,False,False,,
05129,130,16.0,,,,140.0,,0.0,11.7,280.3,,,-114.0,,,,10.0,,-130.0,-118.3,150.3,,,,,,True,,False,False,False,,
05131,2878,2136.0,,,,2703.0,,8.7,590.8,1695.5,,,-742.0,,,,-175.0,,-2869.3,-2287.2,-1182.5,,,,,,True,,False,False,False,,
05133,439,72.0,,,,366.0,,3.8,25.5,20.2,,,-367.0,,,,-73.0,,-435.2,-413.5,-418.8,,,,,,True,,False,False,False,,
