,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,97199,40884.0,38875.5,41269.2,38955.0,46968.0,,40807.9,14865.0,44039.7,32655.2,,37328.0,39645.7,38294.1,50720.0,24659.0,49414.5,48225.3,30509.0,52691.2,,20382.5,14001.5,26599.6,34947.6,55518.5,41202.0,39840.0,-56315.0,-58323.5,-55929.8,-58244.0,-50231.0,,-56391.1,-82334.0,-53159.3,-64543.8,,-59871.0,-57553.3,-58904.9,-46479.0,-72540.0,-47784.5,-48973.7,-66690.0,-44507.8,,-76816.4,-83197.5,-70599.4,-62251.4,-41680.5,-55997.0,-57359.0,False,True,False,True,,False,False,True,False,,False,False,False,True,False,True,True,False,True,,False,False,False,False,True,True,False
Hawaii,2603,2416.0,4939.2,2390.4,2383.0,3033.0,,2447.1,875.0,1932.5,2099.2,,,2842.9,2383.2,3209.0,5024.0,2461.0,2048.8,1998.8,2779.4,,722.9,1337.6,2307.6,1718.0,2513.2,3639.1,1777.0,-187.0,2336.2,-212.6,-220.0,430.0,,-155.9,-1728.0,-670.5,-503.8,,,239.9,-219.8,606.0,2421.0,-142.0,-554.2,-604.2,176.4,,-1880.1,-1265.4,-295.4,-885.0,-89.8,1036.1,-826.0,False,False,False,False,,True,False,False,False,,,False,False,False,False,True,False,False,True,,False,False,False,False,True,False,False
Idaho,32140,24448.0,71320.6,24104.0,24341.0,34366.0,,23696.2,8237.0,49568.6,28221.1,,20197.0,30345.5,31252.7,28070.0,7773.7,28735.0,44095.1,16983.4,28825.2,,22665.8,10866.7,12249.1,25269.5,26557.0,22455.7,20931.0,-7692.0,39180.6,-8036.0,-7799.0,2226.0,,-8443.8,-23903.0,17428.6,-3918.9,,-11943.0,-1794.5,-887.3,-4070.0,-24366.3,-3405.0,11955.1,-15156.6,-3314.8,,-9474.2,-21273.3,-19890.9,-6870.5,-5583.0,-9684.3,-11209.0,False,False,False,True,,False,False,False,True,,False,True,True,True,False,True,False,False,True,,False,False,False,True,True,False,False
Illinois,271385,126060.0,193267.0,125255.2,120456.0,143747.0,,129385.4,102359.0,164579.5,106081.3,,102588.0,142255.8,112377.5,110135.0,78958.0,139256.5,296158.4,90652.3,158665.7,,107363.3,73781.1,76066.6,115635.5,186809.4,131650.3,133007.0,-145325.0,-78118.0,-146129.8,-150929.0,-127638.0,,-141999.6,-169026.0,-106805.5,-165303.7,,-168797.0,-129129.2,-159007.5,-161250.0,-192427.0,-132128.5,24773.4,-180732.7,-112719.3,,-164021.7,-197603.9,-195318.4,-155749.5,-84575.6,-139734.7,-138378.0,True,False,False,True,,True,False,True,False,,False,True,False,False,False,True,True,False,True,,False,False,False,False,True,True,True
Indiana,128729,57908.0,79994.7,58035.7,57870.0,70114.0,,56586.8,53771.0,81396.7,63264.2,,56591.0,79922.3,59154.8,63970.0,48687.1,71580.0,125863.3,49142.9,74369.8,,52842.9,34015.1,34402.4,53625.7,84220.5,74655.5,75338.0,-70821.0,-48734.3,-70693.3,-70859.0,-58615.0,,-72142.2,-74958.0,-47332.3,-65464.8,,-72138.0,-48806.7,-69574.2,-64759.0,-80041.9,-57149.0,-2865.7,-79586.1,-54359.2,,-75886.1,-94713.9,-94326.6,-75103.3,-44508.5,-54073.5,-53391.0,True,True,False,True,,False,False,True,True,,False,True,True,True,False,True,True,False,True,,False,False,False,False,True,True,True
Iowa,94367,32552.0,48182.7,32843.7,33450.0,33810.0,,33517.5,19210.0,61061.1,29449.6,,29982.0,41969.9,41256.9,39949.0,14188.6,35008.5,37522.8,29243.5,43249.0,,27053.2,3965.9,16074.1,39761.4,34954.2,34737.6,35302.0,-61815.0,-46184.3,-61523.3,-60917.0,-60557.0,,-60849.5,-75157.0,-33305.9,-64917.4,,-64385.0,-52397.1,-53110.1,-54418.0,-80178.4,-59358.5,-56844.2,-65123.5,-51118.0,,-67313.8,-90401.1,-78292.9,-54605.6,-59412.8,-59629.4,-59065.0,True,True,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,,False,False,False,True,True,True,True
Kansas,58642,22060.0,28362.5,22135.4,21957.0,19907.0,,22028.4,25121.0,35105.9,19920.2,,21186.0,24054.5,39841.5,29275.0,9727.4,21685.5,19496.0,10907.3,21943.2,,18750.9,10993.5,12988.7,24297.4,22826.7,14548.8,16048.0,-36582.0,-30279.5,-36506.6,-36685.0,-38735.0,,-36613.6,-33521.0,-23536.1,-38721.8,,-37456.0,-34587.5,-18800.5,-29367.0,-48914.6,-36956.5,-39146.0,-47734.7,-36698.8,,-39891.1,-47648.5,-45653.3,-34344.6,-35815.3,-44093.2,-42594.0,True,True,False,False,,False,True,True,False,,False,True,True,True,False,False,False,False,False,,False,False,False,True,True,False,False
Kentucky,60428,34732.0,51234.8,33912.0,36334.0,42298.0,,32734.0,25746.0,89142.5,44299.0,,35749.0,46044.2,42476.6,38468.0,17570.9,37494.5,47818.0,31507.0,46626.7,,19455.7,21190.2,21014.9,42216.4,39512.5,49656.6,42574.0,-25696.0,-9193.2,-26516.0,-24094.0,-18130.0,,-27694.0,-34682.0,28714.5,-16129.0,,-24679.0,-14383.8,-17951.4,-21960.0,-42857.1,-22933.5,-12610.0,-28921.0,-13801.3,,-40972.3,-39237.8,-39413.1,-18211.6,-20915.5,-10771.4,-17854.0,True,False,True,True,,False,False,False,True,,True,True,True,True,False,True,True,False,True,,False,False,False,True,True,True,True
Louisiana,34106,16928.0,14624.6,16939.3,16207.0,18886.0,,16865.7,4484.0,43799.0,12330.2,,17917.0,16166.6,16728.0,22364.0,13067.5,18503.5,15432.6,12169.7,17414.9,,13500.8,0.0,10592.0,13719.6,23767.7,14538.6,11671.0,-17178.0,-19481.4,-17166.7,-17899.0,-15220.0,,-17240.3,-29622.0,9693.0,-21775.8,,-16189.0,-17939.4,-17378.0,-11742.0,-21038.5,-15602.5,-18673.4,-21936.3,-16691.1,,-20605.2,-34106.0,-23514.0,-20386.4,-10338.3,-19567.4,-22435.0,False,True,False,True,,False,False,True,False,,True,False,False,True,False,True,False,False,True,,False,False,False,False,True,False,False
Maine,3987,896.0,291.8,894.9,976.0,1184.0,,819.8,535.0,1454.3,998.4,,1110.0,1040.3,3425.6,1223.0,1485.1,800.0,1195.4,855.1,1301.2,,750.9,929.3,727.7,1125.3,856.7,2156.5,1160.0,-3091.0,-3695.2,-3092.1,-3011.0,-2803.0,,-3167.2,-3452.0,-2532.7,-2988.6,,-2877.0,-2946.7,-561.4,-2764.0,-2501.9,-3187.0,-2791.6,-3131.9,-2685.8,,-3236.1,-3057.7,-3259.3,-2861.7,-3130.3,-1830.5,-2827.0,False,False,True,True,,False,False,True,True,,True,True,True,True,True,False,True,False,True,,False,True,False,True,False,True,True
Maryland,40484,17440.0,18414.7,17606.9,17776.0,19121.0,,18023.3,6347.0,26415.0,19052.8,,16144.0,20704.3,13021.2,19478.0,18565.4,18179.0,21997.9,14039.0,22650.0,,15882.7,13027.1,12402.6,19660.9,19214.4,21730.6,18984.0,-23044.0,-22069.3,-22877.1,-22708.0,-21363.0,,-22460.7,-34137.0,-14069.0,-21431.2,,-24340.0,-19779.7,-27462.8,-21006.0,-21918.6,-22305.0,-18486.1,-26445.0,-17834.0,,-24601.3,-27456.9,-28081.4,-20823.1,-21269.6,-18753.4,-21500.0,True,True,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,,False,False,False,True,True,True,True
Massachusetts,54667,26232.0,25219.2,26584.0,25191.0,37507.0,,24176.1,17104.0,48269.4,31497.7,,18679.0,22593.4,16253.5,27710.0,29683.4,26100.0,32503.9,20635.1,36210.5,,22056.7,16428.0,17474.9,25213.7,16153.6,36450.7,29693.0,-28435.0,-29447.8,-28083.0,-29476.0,-17160.0,,-30490.9,-37563.0,-6397.6,-23169.3,,-35988.0,-32073.6,-38413.5,-26957.0,-24983.6,-28567.0,-22163.1,-34031.9,-18456.5,,-32610.3,-38239.0,-37192.1,-29453.3,-38513.4,-18216.3,-24974.0,False,True,False,True,,False,False,True,True,,False,False,False,True,True,False,True,False,True,,False,False,False,False,False,True,True
Michigan,153409,58028.0,107490.0,57131.1,57329.0,70281.0,,61663.2,48208.0,63078.1,64406.0,,60082.0,76372.3,60737.6,59303.0,63519.3,66968.5,113366.9,24092.4,65589.0,,62977.6,42529.9,35336.9,49096.9,35388.8,48832.2,87304.0,-95381.0,-45919.0,-96277.9,-96080.0,-83128.0,,-91745.8,-105201.0,-90330.9,-89003.0,,-93327.0,-77036.7,-92671.4,-94106.0,-89889.7,-86440.5,-40042.1,-129316.6,-87820.0,,-90431.4,-110879.1,-118072.1,-104312.1,-118020.2,-104576.8,-66105.0,True,False,False,True,,True,False,True,True,,True,True,True,True,True,True,True,False,True,,True,False,False,False,False,False,True
Minnesota,130830,44128.0,60651.2,44926.7,46760.0,46782.0,,55321.3,46226.0,70041.8,47966.2,,53182.0,55715.4,46268.6,48214.0,20115.4,51723.5,67208.4,36793.8,50257.9,,58453.2,20423.8,21267.1,44753.5,57647.8,47380.8,45232.0,-86702.0,-70178.8,-85903.3,-84070.0,-84048.0,,-75508.7,-84604.0,-60788.2,-82863.8,,-77648.0,-75114.6,-84561.4,-82616.0,-110714.6,-79106.5,-63621.6,-94036.2,-80572.1,,-72376.8,-110406.2,-109562.9,-86076.5,-73182.2,-83449.2,-85598.0,True,True,True,True,,True,True,True,True,,True,True,True,True,False,True,True,False,True,,True,False,False,True,True,True,True
Mississippi,27313,20328.0,22296.1,20251.2,19339.0,19583.0,,18056.8,7743.0,20483.0,22170.2,,18924.0,29471.4,21478.1,23212.0,8240.5,21644.0,37558.6,10113.8,22397.0,,16189.7,365.0,9608.6,26431.7,21016.8,13489.7,17377.0,-6985.0,-5016.9,-7061.8,-7974.0,-7730.0,,-9256.2,-19570.0,-6830.0,-5142.8,,-8389.0,2158.4,-5834.9,-4101.0,-19072.5,-5669.0,10245.6,-17199.2,-4916.0,,-11123.3,-26948.0,-17704.4,-881.3,-6296.2,-13823.3,-9936.0,True,False,False,False,,False,False,True,True,,False,True,True,True,False,True,False,False,True,,False,False,False,True,True,False,False
Missouri,110130,50884.0,49293.9,49066.4,51258.0,49913.0,,54264.5,40622.0,73043.6,47075.1,,43024.0,68378.5,72176.8,52750.0,21678.2,58234.0,73027.6,37415.1,56810.2,,60680.1,40205.0,34388.7,61264.9,54163.7,47189.9,37475.0,-59246.0,-60836.1,-61063.6,-58872.0,-60217.0,,-55865.5,-69508.0,-37086.4,-63054.9,,-67106.0,-41751.5,-37953.2,-57380.0,-88451.8,-51896.0,-37102.4,-72714.9,-53319.8,,-49449.9,-69925.0,-75741.3,-48865.1,-55966.3,-62940.1,-72655.0,False,False,True,False,,True,False,True,False,,False,True,True,True,False,True,True,False,True,,True,False,False,True,True,False,False
Montana,27400,19668.0,23159.7,19864.0,19947.0,19800.0,,18722.8,12920.0,33120.8,32444.8,,20173.0,35487.5,57983.2,24824.0,2748.5,26852.5,34800.6,17317.8,22330.5,,17090.7,27389.2,9391.5,27841.1,27125.9,16515.8,15072.0,-7732.0,-4240.3,-7536.0,-7453.0,-7600.0,,-8677.2,-14480.0,5720.8,5044.8,,-7227.0,8087.5,30583.2,-2576.0,-24651.5,-547.5,7400.6,-10082.2,-5069.5,,-10309.3,-10.8,-18008.5,441.1,-274.1,-10884.2,-12328.0,True,True,True,True,,False,False,True,True,,True,False,False,True,False,True,True,False,True,,False,True,False,True,True,False,False
Nebraska,49814,23532.0,59700.1,23469.3,24744.0,22489.0,,25123.1,26671.0,49506.3,23467.3,,22561.0,30189.0,36258.8,27100.0,12880.8,29915.0,36875.3,15366.3,24713.7,,27502.0,5778.7,14215.6,29393.5,33514.8,14338.6,14439.0,-26282.0,9886.1,-26344.7,-25070.0,-27325.0,,-24690.9,-23143.0,-307.7,-26346.7,,-27253.0,-19625.0,-13555.2,-22714.0,-36933.2,-19899.0,-12938.7,-34447.7,-25100.3,,-22312.0,-44035.3,-35598.4,-20420.5,-16299.2,-35475.4,-35375.0,True,False,True,False,,True,True,True,False,,False,True,True,True,False,True,True,False,True,,True,False,False,True,True,False,False
Nevada,36921,20640.0,11734.4,20759.2,20248.0,25055.0,,20457.0,5163.0,27367.9,18402.4,,15323.0,24083.4,18864.7,17148.0,12118.6,22996.0,29915.4,17648.0,29405.2,,20248.8,0.0,11554.2,23559.1,21416.9,29182.3,20439.0,-16281.0,-25186.6,-16161.8,-16673.0,-11866.0,,-16464.0,-31758.0,-9553.1,-18518.6,,-21598.0,-12837.6,-18056.3,-19773.0,-24802.4,-13925.0,-7005.6,-19273.0,-7515.8,,-16672.2,-36921.0,-25366.8,-13361.9,-15504.1,-7738.7,-16482.0,False,True,False,True,,False,False,True,False,,False,True,False,False,False,True,True,False,True,,False,False,False,True,True,True,False
New Hampshire,6856,2452.0,537.7,2452.5,2519.0,3074.0,,2216.4,3121.0,4633.7,4537.9,,2130.0,3352.1,3199.8,2636.0,3017.3,2734.5,4659.1,2033.5,3075.0,,1681.3,4457.6,1498.2,3302.5,2211.5,4186.6,3047.0,-4404.0,-6318.3,-4403.5,-4337.0,-3782.0,,-4639.6,-3735.0,-2222.3,-2318.1,,-4726.0,-3503.9,-3656.2,-4220.0,-3838.7,-4121.5,-2196.9,-4822.5,-3781.0,,-5174.7,-2398.4,-5357.8,-3553.5,-4644.5,-2669.4,-3809.0,False,True,True,True,,False,True,True,True,,False,True,True,True,True,True,True,False,True,,False,True,False,True,False,True,True
New Jersey,90135,34404.0,54101.0,35155.4,36760.0,48655.0,,45782.7,43278.0,61482.8,29894.4,,27162.0,29587.9,19625.8,34404.0,47701.9,38208.5,46579.7,24171.8,42615.0,,27050.9,13141.4,25344.9,34293.7,18897.5,44349.5,40423.0,-55731.0,-36034.0,-54979.6,-53375.0,-41480.0,,-44352.3,-46857.0,-28652.2,-60240.6,,-62973.0,-60547.1,-70509.2,-55731.0,-42433.1,-51926.5,-43555.3,-65963.2,-47520.0,,-63084.1,-76993.6,-64790.1,-55841.3,-71237.5,-45785.5,-49712.0,True,True,True,True,,True,True,True,False,,False,False,False,False,True,True,True,False,True,,False,False,False,False,False,True,True
New Mexico,38400,18788.0,30879.1,19113.0,19287.0,21098.0,,18260.6,5758.0,36974.9,27883.0,,18644.0,25481.8,20151.2,19599.0,8279.5,28615.0,52206.9,17998.6,27479.1,,18072.2,16640.1,9699.5,23843.3,25897.9,26412.4,25424.0,-19612.0,-7520.9,-19287.0,-19113.0,-17302.0,,-20139.4,-32642.0,-1425.1,-10517.0,,-19756.0,-12918.2,-18248.8,-18801.0,-30120.5,-9785.0,13806.9,-20401.4,-10920.9,,-20327.8,-21759.9,-28700.5,-14556.7,-12502.1,-11987.6,-12976.0,True,True,True,True,,False,False,True,True,,False,True,True,True,False,True,True,False,True,,False,False,False,True,True,True,True
New York,99948,43764.0,27786.2,42969.6,44709.0,55835.0,,45962.0,28594.0,84555.5,65549.7,,36014.0,48398.8,35795.1,49544.0,89447.1,50073.5,84016.2,33304.6,50717.6,,34536.1,36182.8,25689.8,45980.5,30944.8,61471.9,48992.0,-56184.0,-72161.8,-56978.4,-55239.0,-44113.0,,-53986.0,-71354.0,-15392.5,-34398.3,,-63934.0,-51549.2,-64152.9,-50404.0,-10500.9,-49874.5,-15931.8,-66643.4,-49230.4,,-65411.9,-63765.2,-74258.2,-53967.5,-69003.2,-38476.1,-50956.0,False,False,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,,False,False,False,True,False,True,True
North Carolina,73969,58268.0,95584.0,58400.4,58115.0,58255.0,,54744.0,33382.0,81915.7,49004.8,,57614.0,72478.8,59580.7,61913.0,34966.4,61133.5,79222.2,41190.2,63876.4,,52980.6,12827.1,37548.1,73693.6,53224.4,61743.8,56035.0,-15701.0,21615.0,-15568.6,-15854.0,-15714.0,,-19225.0,-40587.0,7946.7,-24964.2,,-16355.0,-1490.2,-14388.3,-12056.0,-39002.6,-12835.5,5253.2,-32778.8,-10092.6,,-20988.4,-61141.9,-36420.9,-275.4,-20744.6,-12225.2,-17934.0,False,True,False,False,,False,False,True,False,,False,True,True,True,False,True,True,False,True,,False,False,False,True,False,True,False
