,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01041,64,70.0,,72.2,,70.0,65.0,,,,,43.2,,36.2,,,55.0,,112.8,,34.6,,,106.0,51.3,12.3,,77.0,73.0,67.5,,,,,,,,,0.0,6.0,,8.2,,6.0,1.0,,,,,-20.8,,-27.8,,,-9.0,,48.8,,-29.4,,,42.0,-12.7,-51.7,,13.0,9.0,3.5,,,,,,,,,-64.0,,False,,False,True,,,,,False,,False,,,False,,False,,False,,,False,False,False,,False,False,True,,,,,,,,,False
01043,517,484.0,,531.5,,500.0,450.0,,,,,335.7,,306.4,,,636.0,,508.9,,303.9,401.5,,580.0,337.4,220.7,,590.0,504.0,470.6,,,,,442.4,,,,955.7,-33.0,,14.5,,-17.0,-67.0,,,,,-181.3,,-210.6,,,119.0,,-8.1,,-213.1,-115.5,,63.0,-179.6,-296.3,,73.0,-13.0,-46.4,,,,,-74.6,,,,438.7,,True,,True,False,,,,,False,,False,,,False,,True,,False,False,,False,False,False,,False,True,False,,,,,False,,,,False
01045,242,172.0,,178.4,,196.0,196.0,,,,,154.2,,114.9,,,228.0,,253.9,,139.5,154.0,,314.0,149.3,87.2,,237.0,205.0,224.8,,,,,141.6,,,,217.1,-70.0,,-63.6,,-46.0,-46.0,,,,,-87.8,,-127.1,,,-14.0,,11.9,,-102.5,-88.0,,72.0,-92.7,-154.8,,-5.0,-37.0,-17.2,,,,,-100.4,,,,-24.9,,True,,True,True,,,,,False,,False,,,True,,True,,False,False,,False,False,False,,True,True,True,,,,,False,,,,True
01047,142,91.0,,91.7,,87.0,87.0,,,,,105.8,,58.7,,,164.0,,82.9,,78.8,80.5,,123.0,72.7,0.0,,113.0,115.0,133.1,,,,,75.5,,,,87.5,-51.0,,-50.3,,-55.0,-55.0,,,,,-36.2,,-83.3,,,22.0,,-59.1,,-63.2,-61.5,,-19.0,-69.3,-142.0,,-29.0,-27.0,-8.9,,,,,-66.5,,,,-54.5,,True,,False,False,,,,,True,,False,,,True,,False,,False,False,,True,False,False,,True,True,True,,,,,False,,,,False
01049,294,350.0,,343.5,,358.0,358.0,,,,,306.2,,218.0,,,554.0,,463.3,,247.5,322.5,,477.5,239.4,173.5,,474.0,379.0,434.9,,,,,315.8,,,,373.8,56.0,,49.5,,64.0,64.0,,,,,12.2,,-76.0,,,260.0,,169.3,,-46.5,28.5,,183.5,-54.6,-120.5,,180.0,85.0,140.9,,,,,21.8,,,,79.8,,True,,False,False,,,,,True,,False,,,False,,False,,True,True,,False,True,False,,False,False,False,,,,,True,,,,False
01051,684,469.0,,471.0,,469.0,493.0,,,,,332.3,,259.4,,,378.0,,636.7,,277.5,389.0,,702.5,392.6,107.3,,615.0,494.0,457.6,,,,,412.8,,,,502.4,-215.0,,-213.0,,-215.0,-191.0,,,,,-351.7,,-424.6,,,-306.0,,-47.3,,-406.5,-295.0,,18.5,-291.4,-576.7,,-69.0,-190.0,-226.4,,,,,-271.2,,,,-181.6,,True,,False,True,,,,,False,,False,,,False,,True,,False,False,,True,False,False,,True,True,False,,,,,False,,,,True
01053,194,140.0,,136.3,,136.0,7.0,,,,,123.7,,74.3,,,191.0,,163.7,,110.2,122.0,,174.0,85.1,27.8,,168.0,152.0,162.7,,,,,134.6,,,,135.3,-54.0,,-57.7,,-58.0,-187.0,,,,,-70.3,,-119.7,,,-3.0,,-30.3,,-83.8,-72.0,,-20.0,-108.9,-166.2,,-26.0,-42.0,-31.3,,,,,-59.4,,,,-58.7,,False,,False,False,,,,,False,,False,,,True,,True,,False,False,,True,False,False,,True,True,True,,,,,False,,,,False
01055,646,796.0,,862.2,,771.0,771.0,,,,,534.9,,495.1,,,732.0,,819.0,,477.8,395.0,,808.0,506.3,247.9,,964.0,789.0,660.2,,,,,649.0,,,,2058.9,150.0,,216.2,,125.0,125.0,,,,,-111.1,,-150.9,,,86.0,,173.0,,-168.2,-251.0,,162.0,-139.7,-398.1,,318.0,143.0,14.2,,,,,3.0,,,,1412.9,,False,,True,True,,,,,True,,False,,,True,,False,,False,False,,False,True,False,,False,True,True,,,,,True,,,,False
01057,75,87.0,,90.9,,87.0,75.0,,,,,68.9,,69.3,,,101.0,,75.3,,64.9,,,97.0,62.9,19.9,,121.0,96.0,92.2,,,,,,,,,52.9,12.0,,15.9,,12.0,0.0,,,,,-6.1,,-5.7,,,26.0,,0.3,,-10.1,,,22.0,-12.1,-55.1,,46.0,21.0,17.2,,,,,,,,,-22.1,,False,,False,True,,,,,True,,True,,,False,,True,,True,,,False,False,False,,False,False,False,,,,,,,,,False
01059,182,124.0,,125.4,,117.0,63.0,,,,,132.5,,85.1,,,250.0,,116.6,,101.0,118.0,,135.0,109.0,32.6,,156.0,151.0,156.4,,,,,101.8,,,,0.0,-58.0,,-56.6,,-65.0,-119.0,,,,,-49.5,,-96.9,,,68.0,,-65.4,,-81.0,-64.0,,-47.0,-73.0,-149.4,,-26.0,-31.0,-25.6,,,,,-80.2,,,,-182.0,,True,,False,False,,,,,True,,False,,,False,,False,,False,False,,True,False,False,,True,True,True,,,,,False,,,,False
