,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,262217,125076.0,38343.7,,38715.0,,98430.0,253795.7,56198.0,,34190.6,10614.7,59016.0,-137141.0,-223873.3,,-223502.0,,-163787.0,-8421.3,-206019.0,,-228026.4,-251602.3,-203201.0,False,,False,,False,True,False,,False,False,False
Hawaii,5422,4956.0,1541.3,,1470.0,,,7558.5,5125.8,,1837.8,2140.7,2177.0,-466.0,-3880.7,,-3952.0,,,2136.5,-296.2,,-3584.2,-3281.3,-3245.0,False,,False,,,False,True,,False,False,False
Idaho,60882,63035.0,85905.5,,22555.0,,65683.0,104657.7,102547.9,,26024.1,25104.7,18426.0,2153.0,25023.5,,-38327.0,,4801.0,43775.7,41665.9,,-34857.9,-35777.3,-42456.0,False,,False,,False,False,False,,False,False,False
Illinois,412367,595049.0,958175.1,,700872.0,,497888.0,805147.1,1607466.1,,216680.0,235353.4,184996.0,182682.0,545808.1,,288505.0,,85521.0,392780.1,1195099.1,,-195687.0,-177013.6,-227371.0,False,,False,,True,False,False,,False,True,False
Indiana,278203,274155.0,367103.3,,847922.0,,306620.0,358233.6,722632.2,,221152.1,177090.6,265772.0,-4048.0,88900.3,,569719.0,,28417.0,80030.6,444429.2,,-57050.9,-101112.4,-12431.0,False,,False,,False,False,False,,False,False,False
Iowa,100340,233107.0,357677.4,,329679.0,,220231.0,255084.3,635554.8,,116942.8,46957.4,173109.0,132767.0,257337.4,,229339.0,,119891.0,154744.3,535214.8,,16602.8,-53382.6,72769.0,False,,False,,True,False,False,,True,True,True
Kansas,112730,124257.0,188282.0,,52338.0,,127135.0,144412.2,138303.3,,71953.1,34650.1,28765.0,11527.0,75552.0,,-60392.0,,14405.0,31682.2,25573.3,,-40776.9,-78079.9,-83965.0,False,,False,,False,False,False,,False,False,False
Kentucky,137833,115332.0,209715.3,,52662.0,,95631.0,174315.4,191939.3,,100883.5,74276.2,95965.0,-22501.0,71882.3,,-85171.0,,-42202.0,36482.4,54106.3,,-36949.5,-63556.8,-41868.0,False,,False,,False,False,False,,False,False,False
Louisiana,113294,71862.0,79861.0,,8448.0,,60157.0,46833.4,353296.6,,39145.5,44851.5,45680.0,-41432.0,-33433.0,,-104846.0,,-53137.0,-66460.6,240002.6,,-74148.5,-68442.5,-67614.0,True,,False,,False,False,False,,False,False,False
Maine,16454,8337.0,13450.4,,123821.0,,9603.0,8809.0,121529.0,,4595.4,13159.7,5937.0,-8117.0,-3003.6,,107367.0,,-6851.0,-7645.0,105075.0,,-11858.6,-3294.3,-10517.0,True,,False,,True,True,False,,False,True,False
Maryland,119081,78225.0,177534.6,,68743.0,,67712.0,129744.1,246652.2,,36782.4,104013.9,48519.0,-40856.0,58453.6,,-50338.0,,-51369.0,10663.1,127571.2,,-82298.6,-15067.1,-70562.0,False,,False,,False,True,False,,False,True,False
Massachusetts,198039,115962.0,123510.2,,58933.0,,131787.0,161732.2,341985.5,,85322.5,162364.8,67513.0,-82077.0,-74528.8,,-139106.0,,-66252.0,-36306.8,143946.5,,-112716.5,-35674.2,-130526.0,True,,False,,True,True,False,,False,True,False
Michigan,262329,327033.0,583968.6,,1112880.0,,360411.0,418174.9,761989.1,,239198.1,171405.2,332556.0,64704.0,321639.6,,850551.0,,98082.0,155845.9,499660.1,,-23130.9,-90923.8,70227.0,False,,False,,False,False,False,,True,False,False
Minnesota,201804,287518.0,610379.5,,510616.0,,445433.0,314291.4,969913.1,,126088.6,180759.5,103483.0,85714.0,408575.5,,308812.0,,243629.0,112487.4,768109.1,,-75715.4,-21044.5,-98321.0,False,,False,,False,False,False,,True,True,False
Mississippi,86937,52185.0,54368.0,,14518.0,,57627.0,82430.1,107085.1,,39531.6,42624.8,25355.0,-34752.0,-32569.0,,-72419.0,,-29310.0,-4506.9,20148.1,,-47405.4,-44312.2,-61582.0,True,,False,,True,True,True,,False,False,False
Missouri,166199,243747.0,464378.5,,84561.0,,210547.0,329337.4,609774.5,,138802.3,99186.1,39129.0,77548.0,298179.5,,-81638.0,,44348.0,163138.4,443575.5,,-27396.7,-67012.9,-127070.0,False,,False,,True,False,False,,True,True,False
Montana,36058,48566.0,39014.9,,33020.0,,54204.0,78819.3,51163.2,,15808.5,33909.5,10963.0,12508.0,2956.9,,-3038.0,,18146.0,42761.3,15105.2,,-20249.5,-2148.5,-25095.0,True,,True,,False,False,False,,False,True,False
Nebraska,71428,101073.0,244816.3,,108829.0,,111574.0,146363.1,236644.5,,90423.3,28485.6,23344.0,29645.0,173388.3,,37401.0,,40146.0,74935.1,165216.5,,18995.3,-42942.4,-48084.0,False,,False,,False,False,False,,True,False,False
Nevada,109865,71820.0,86208.8,,14692.0,,61001.0,107954.8,151905.9,,26498.2,46877.8,36365.0,-38045.0,-23656.2,,-95173.0,,-48864.0,-1910.2,42040.9,,-83366.8,-62987.2,-73500.0,True,,False,,False,True,False,,False,False,False
New Hampshire,30885,14560.0,53776.0,,13337.0,,16361.0,13722.5,60347.3,,10632.0,33247.6,11726.0,-16325.0,22891.0,,-17548.0,,-14524.0,-17162.5,29462.3,,-20253.0,2362.6,-19159.0,False,,False,,True,False,False,,False,True,False
New Jersey,245972,155078.0,226320.5,,138780.0,,123358.0,231118.7,209170.3,,109179.2,163715.6,86567.0,-90894.0,-19651.5,,-107192.0,,-122614.0,-14853.3,-36801.7,,-136792.8,-82256.4,-159405.0,True,,False,,False,True,True,,False,True,False
New Mexico,82208,66500.0,61714.7,,18554.0,,66508.0,119643.1,236373.7,,49925.6,31590.5,25166.0,-15708.0,-20493.3,,-63654.0,,-15700.0,37435.1,154165.7,,-32282.4,-50617.5,-57042.0,False,,False,,True,False,False,,False,False,False
New York,449744,216601.0,161598.4,,74462.0,,176760.0,234846.8,1000737.6,,150888.7,260432.8,151239.0,-233143.0,-288145.6,,-375282.0,,-272984.0,-214897.2,550993.6,,-298855.3,-189311.2,-298505.0,False,,False,,False,True,False,,False,True,False
North Carolina,249319,125111.0,95385.6,,64448.0,,131014.0,179519.1,162154.2,,157631.1,122019.0,66245.0,-124208.0,-153933.4,,-184871.0,,-118305.0,-69799.9,-87164.8,,-91687.9,-127300.0,-183074.0,False,,False,,True,True,True,,True,False,False
North Dakota,30019,67676.0,48239.7,,56495.0,,71408.0,120345.4,40385.2,,46837.6,18129.8,28709.0,37657.0,18220.7,,26476.0,,41389.0,90326.4,10366.2,,16818.6,-11889.2,-1310.0,True,,True,,False,False,True,,True,True,True
Ohio,424430,311612.0,522618.6,,78192.0,,366855.0,358803.0,1159773.0,,114518.2,344736.4,146629.0,-112818.0,98188.6,,-346238.0,,-57575.0,-65627.0,735343.0,,-309911.8,-79693.6,-277801.0,True,,False,,True,True,False,,False,True,False
Oklahoma,145850,129178.0,200330.4,,44445.0,,164805.0,141899.0,447589.8,,49671.2,113827.4,42901.0,-16672.0,54480.4,,-101405.0,,18955.0,-3951.0,301739.8,,-96178.8,-32022.6,-102949.0,False,,False,,False,True,False,,False,False,False
Oregon,60330,45017.0,62428.6,,19538.0,,43074.0,64020.0,245873.7,,17319.2,70185.1,31389.0,-15313.0,2098.6,,-40792.0,,-17256.0,3690.0,185543.7,,-43010.8,9855.1,-28941.0,True,,False,,False,True,False,,False,True,False
Pennsylvania,396358,222103.0,443246.5,,256831.0,,229844.0,337317.5,1090961.3,,157075.2,225487.8,128308.0,-174255.0,46888.5,,-139527.0,,-166514.0,-59040.5,694603.3,,-239282.8,-170870.2,-268050.0,True,,True,,True,True,False,,False,True,False
Rhode Island,46420,36043.0,38178.9,,30593.0,,33514.0,50425.1,61056.2,,27630.8,9247.1,9483.0,-10377.0,-8241.1,,-15827.0,,-12906.0,4005.1,14636.2,,-18789.2,-37172.9,-36937.0,True,,False,,False,True,False,,False,False,False
South Carolina,118704,64904.0,57797.7,,20519.0,,63793.0,85332.4,81176.1,,26301.7,79716.1,40089.0,-53800.0,-60906.3,,-98185.0,,-54911.0,-33371.6,-37527.9,,-92402.3,-38987.9,-78615.0,False,,False,,False,True,True,,False,True,False
South Dakota,35647,71442.0,58447.7,,36046.0,,67905.0,119329.5,69044.8,,33669.1,21942.5,0.0,35795.0,22800.7,,399.0,,32258.0,83682.5,33397.8,,-1977.9,-13704.5,-35647.0,True,,True,,True,False,True,,True,True,True
Tennessee,299012,188335.0,324672.2,,63317.0,,194716.0,254102.5,564593.9,,152918.8,149566.0,66072.0,-110677.0,25660.2,,-235695.0,,-104296.0,-44909.5,265581.9,,-146093.2,-149446.0,-232940.0,True,,False,,True,True,False,,False,False,False
Texas,693725,470176.0,588112.7,,103770.0,,567908.0,706611.7,1579340.0,,184819.1,314842.3,242427.0,-223549.0,-105612.3,,-589955.0,,-125817.0,12886.7,885615.0,,-508905.9,-378882.7,-451298.0,True,,False,,True,True,False,,False,False,False
Utah,130513,146342.0,204433.1,,28622.0,,155036.0,221288.5,169808.1,,115552.9,68857.6,42288.0,15829.0,73920.1,,-101891.0,,24523.0,90775.5,39295.1,,-14960.1,-61655.4,-88225.0,False,,False,,False,False,False,,True,False,False
Vermont,4846,3472.0,4509.2,,991.0,,3886.0,2158.1,46060.8,,1559.7,21665.3,3995.0,-1374.0,-336.8,,-3855.0,,-960.0,-2687.9,41214.8,,-3286.3,16819.3,-851.0,True,,False,,True,False,False,,False,False,True
Virginia,157956,69482.0,244197.4,,35403.0,,64929.0,91764.9,159256.9,,41373.7,41358.3,44096.0,-88474.0,86241.4,,-122553.0,,-93027.0,-66191.1,1300.9,,-116582.3,-116597.7,-113860.0,True,,False,,False,True,True,,False,False,False
Washington,113361,82040.0,173092.3,,20973.0,,73111.0,86135.6,401682.8,,49907.1,160707.2,57938.0,-31321.0,59731.3,,-92388.0,,-40250.0,-27225.4,288321.8,,-63453.9,47346.2,-55423.0,False,,False,,False,True,False,,False,False,False
West Virginia,56535,36281.0,55005.5,,18795.0,,32478.0,53149.4,145951.0,,14816.1,49485.5,12913.0,-20254.0,-1529.5,,-37740.0,,-24057.0,-3385.6,89416.0,,-41718.9,-7049.5,-43622.0,True,,False,,False,True,False,,False,True,False
Wisconsin,200048,322707.0,201617.4,,119319.0,,393244.0,547967.1,447817.3,,402901.9,102669.9,56435.0,122659.0,1569.4,,-80729.0,,193196.0,347919.1,247769.3,,202853.9,-97378.1,-143613.0,True,,True,,False,False,False,,False,True,False
Wyoming,22692,36988.0,49406.4,,23605.0,,39919.0,47682.9,110923.7,,40749.2,10742.6,10657.0,14296.0,26714.4,,913.0,,17227.0,24990.9,88231.7,,18057.2,-11949.4,-12035.0,False,,True,,False,False,False,,False,True,True
US,9515377,7124670.0,10083805.6,34656089.0,6557066.0,7575903.0,7118174.0,9859937.9,18769561.1,6491700.0,9811754.8,5505274.0,3577192.0,-2390707.0,568428.6,25140712.0,-2958311.0,-1939474.0,-2397203.0,344560.9,9254184.1,-3023677.0,296377.8,-4010103.0,-5938185.0,True,False,False,True,False,True,False,False,True,False,False
