,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,4820,3612.0,3127.0,,3554.3,2877.0,,,5441.8,759.6,11194.0,4776.0,8807.0,,3005.1,5810.3,2236.0,-1208.0,-1693.0,,-1265.7,-1943.0,,,621.8,-4060.4,6374.0,-44.0,3987.0,,-1814.9,990.3,-2584.0,False,,False,False,,,True,False,False,True,False,,False,True,False
Idaho,51365,57102.0,44775.0,,53353.4,57887.0,,63980.0,87265.3,56227.1,33684.0,57951.5,88013.0,,60243.6,20622.5,43550.0,5737.0,-6590.0,,1988.4,6522.0,,12615.0,35900.3,4862.1,-17681.0,6586.5,36648.0,,8878.6,-30742.5,-7815.0,False,,True,False,,False,False,True,False,False,False,,False,False,False
Illinois,329066,499806.0,343708.0,,429340.5,1015729.0,,478600.0,848313.7,453217.0,412661.3,482991.0,656848.0,,771807.3,153314.6,282720.0,170740.0,14642.0,,100274.5,686663.0,,149534.0,519247.7,124151.0,83595.3,153925.0,327782.0,,442741.3,-175751.4,-46346.0,True,,True,False,,True,False,True,True,True,False,,False,False,True
Indiana,233907,265776.0,227525.0,,232000.1,430856.0,,296223.0,429509.4,484177.5,198755.2,265939.0,375843.0,,404457.9,113299.4,287098.0,31869.0,-6382.0,,-1906.9,196949.0,,62316.0,195602.4,250270.5,-35151.8,32032.0,141936.0,,170550.9,-120607.6,53191.0,True,,True,False,,False,False,False,False,False,False,,False,False,False
Iowa,74692,153888.0,98363.0,,124578.8,234292.0,,177627.0,309448.3,110198.6,86085.4,126177.0,195830.0,,136037.7,28577.8,83161.0,79196.0,23671.0,,49886.8,159600.0,,102935.0,234756.3,35506.6,11393.4,51485.0,121138.0,,61345.7,-46114.2,8469.0,True,,True,False,,False,False,True,True,True,False,,True,True,True
Kansas,93183,117258.0,108731.0,,107265.9,217334.0,,106406.0,169732.8,219558.5,66971.9,71816.5,181579.0,,102488.2,30412.9,84097.0,24075.0,15548.0,,14082.9,124151.0,,13223.0,76549.8,126375.5,-26211.1,-21366.5,88396.0,,9305.2,-62770.1,-9086.0,True,,True,False,,True,False,False,False,True,False,,True,False,True
Kentucky,118062,118626.0,122727.0,,112431.8,100652.0,,140725.0,206172.6,195944.8,75155.2,154221.0,182209.0,,119001.6,68324.2,106309.0,564.0,4665.0,,-5630.2,-17410.0,,22663.0,88110.6,77882.8,-42906.8,36159.0,64147.0,,939.6,-49737.8,-11753.0,False,,False,False,,False,False,False,False,False,False,,False,False,False
Louisiana,98566,88368.0,130494.0,,103194.5,53207.0,,117982.0,85286.7,1131288.0,98831.0,122835.5,161429.0,,61167.5,80934.9,120159.0,-10198.0,31928.0,,4628.5,-45359.0,,19416.0,-13279.3,1032722.0,265.0,24269.5,62863.0,,-37398.5,-17631.1,21593.0,False,,True,False,,False,False,False,True,False,False,,False,False,False
Maine,15122,7992.0,9396.0,,8557.9,41565.0,,11063.0,12792.1,18050.3,14227.8,8740.5,26377.0,,10308.2,10508.3,5019.0,-7130.0,-5726.0,,-6564.1,26443.0,,-4059.0,-2329.9,2928.3,-894.2,-6381.5,11255.0,,-4813.8,-4613.7,-10103.0,True,,True,False,,True,True,True,True,True,False,,True,True,False
Maryland,103200,95286.0,119230.0,,89300.0,569100.0,,81237.0,127021.8,232264.2,117362.6,137965.0,128495.0,,84667.4,90173.3,104659.0,-7914.0,16030.0,,-13900.0,465900.0,,-21963.0,23821.8,129064.2,14162.6,34765.0,25295.0,,-18532.6,-13026.7,1459.0,False,,False,False,,False,False,False,False,False,False,,False,False,True
Massachusetts,180026,108078.0,86779.0,,109597.8,219681.0,,119723.0,178401.4,212835.0,147456.0,138415.0,162299.0,,200313.7,87525.8,71071.0,-71948.0,-93247.0,,-70428.2,39655.0,,-60303.0,-1624.6,32809.0,-32570.0,-41611.0,-17727.0,,20287.7,-92500.2,-108955.0,False,,True,True,,True,True,True,True,True,True,,True,False,False
Michigan,209100,319374.0,263158.0,,321228.4,693202.0,,396581.0,494567.3,543611.8,356675.2,465725.5,454982.0,,258884.4,115237.0,294568.0,110274.0,54058.0,,112128.4,484102.0,,187481.0,285467.3,334511.8,147575.2,256625.5,245882.0,,49784.4,-93863.0,85468.0,True,,False,False,,False,False,False,False,False,False,,True,True,True
Minnesota,154880,281544.0,211692.0,,243957.4,596320.0,,402920.0,440943.6,618359.2,150316.5,265515.0,423063.0,,255751.2,120651.1,204911.0,126664.0,56812.0,,89077.4,441440.0,,248040.0,286063.6,463479.2,-4563.5,110635.0,268183.0,,100871.2,-34228.9,50031.0,True,,True,False,,False,False,False,True,True,False,,True,True,True
Mississippi,77876,54366.0,45995.0,,39059.4,36785.0,,70175.0,84714.7,97513.3,37159.4,58336.5,95997.0,,57749.1,37544.2,45618.0,-23510.0,-31881.0,,-38816.6,-41091.0,,-7701.0,6838.7,19637.3,-40716.6,-19539.5,18121.0,,-20126.9,-40331.8,-32258.0,False,,False,False,,True,True,True,False,True,True,,True,False,False
Missouri,137049,174354.0,118593.0,,198886.0,472483.0,,173173.0,351440.3,260264.0,100686.0,175809.0,255294.0,,222518.7,89060.5,149637.0,37305.0,-18456.0,,61837.0,335434.0,,36124.0,214391.3,123215.0,-36363.0,38760.0,118245.0,,85469.7,-47988.5,12588.0,True,,False,False,,True,False,False,True,False,False,,False,False,True
Montana,27402,51936.0,41289.0,,46830.2,23678.0,,60095.0,92254.7,105213.8,18712.9,54087.0,79624.0,,32512.1,17669.3,47749.0,24534.0,13887.0,,19428.2,-3724.0,,32693.0,64852.7,77811.8,-8689.1,26685.0,52222.0,,5110.1,-9732.7,20347.0,True,,True,True,,False,False,False,True,False,False,,True,True,True
Nebraska,55233,97170.0,75124.0,,85610.0,116343.0,,114147.0,167139.0,135244.1,58013.9,76248.5,145552.0,,108140.0,23743.3,65197.0,41937.0,19891.0,,30377.0,61110.0,,58914.0,111906.0,80011.1,2780.9,21015.5,90319.0,,52907.0,-31489.7,9964.0,True,,True,False,,False,False,False,True,True,False,,False,True,True
Nevada,97138,76362.0,75355.0,,77806.1,138786.0,,74814.0,114439.3,129698.3,80106.5,111278.5,100980.0,,44922.2,51346.4,76084.0,-20776.0,-21783.0,,-19331.9,41648.0,,-22324.0,17301.3,32560.3,-17031.5,14140.5,3842.0,,-52215.8,-45791.6,-21054.0,False,,True,False,,False,True,False,True,True,True,,False,False,False
New Hampshire,27891,17964.0,22729.0,,21716.9,67316.0,,25930.0,21128.0,104852.2,30807.1,30837.0,37059.0,,24191.3,22492.1,20183.0,-9927.0,-5162.0,,-6174.1,39425.0,,-1961.0,-6763.0,76961.2,2916.1,2946.0,9168.0,,-3699.7,-5398.9,-7708.0,True,,True,False,,True,True,False,True,True,True,,True,True,True
New Jersey,214238,163818.0,185889.0,,251107.8,417822.0,,141885.0,233570.6,500019.0,221076.2,252009.5,220888.0,,319079.2,102119.0,104658.0,-50420.0,-28349.0,,36869.8,203584.0,,-72353.0,19332.6,285781.0,6838.2,37771.5,6650.0,,104841.2,-112119.0,-109580.0,True,,True,False,,False,True,False,True,True,True,,False,False,False
New Mexico,65939,97614.0,105216.0,,97295.3,90128.0,,115749.0,113039.1,144342.4,67262.3,162939.0,143185.0,,103197.1,55455.0,76226.0,31675.0,39277.0,,31356.3,24189.0,,49810.0,47100.1,78403.4,1323.3,97000.0,77246.0,,37258.1,-10484.0,10287.0,False,,True,True,,False,False,False,True,False,False,,False,True,True
New York,413985,205632.0,213208.0,,313537.8,679286.0,,179676.0,327393.5,1051784.8,420717.5,258005.0,328980.0,,346689.1,216390.5,108107.0,-208353.0,-200777.0,,-100447.2,265301.0,,-234309.0,-86591.5,637799.8,6732.5,-155980.0,-85005.0,,-67295.9,-197594.5,-305878.0,True,,True,False,,False,True,False,True,True,True,,True,True,False
North Carolina,226176,138858.0,158883.0,,133692.5,129792.0,,155869.0,175392.3,146240.0,151089.7,166076.5,239353.0,,109868.3,158972.0,119856.0,-87318.0,-67293.0,,-92483.5,-96384.0,,-70307.0,-50783.7,-79936.0,-75086.3,-60099.5,13177.0,,-116307.7,-67204.0,-106320.0,True,,False,False,,True,True,True,True,True,True,,False,True,False
North Dakota,21351,52008.0,27349.0,,45055.2,36738.0,,70021.0,84462.6,27544.7,19545.9,45929.5,74597.0,,34344.6,15678.0,37709.0,30657.0,5998.0,,23704.2,15387.0,,48670.0,63111.6,6193.7,-1805.1,24578.5,53246.0,,12993.6,-5673.0,16358.0,True,,True,True,,False,False,True,True,True,False,,True,True,True
Ohio,371387,318258.0,288211.0,,308909.2,736455.0,,399779.0,497506.1,769834.9,306800.2,327927.5,514459.0,,493534.1,191225.2,222731.0,-53129.0,-83176.0,,-62477.8,365068.0,,28392.0,126119.1,398447.9,-64586.8,-43459.5,143072.0,,122147.1,-180161.8,-148656.0,False,,False,False,,True,False,False,False,True,False,,False,False,False
Oklahoma,125131,124314.0,123761.0,,116135.5,146911.0,,140366.0,191276.7,237858.2,65277.4,135409.0,193987.0,,121381.3,88278.2,99931.0,-817.0,-1370.0,,-8995.5,21780.0,,15235.0,66145.7,112727.2,-59853.6,10278.0,68856.0,,-3749.7,-36852.8,-25200.0,False,,False,False,,False,False,False,False,False,False,,False,False,False
Oregon,52680,45900.0,53604.0,,45479.3,114769.0,,47845.0,82041.5,69979.7,66312.4,65418.5,80322.0,,60152.5,77762.4,35253.0,-6780.0,924.0,,-7200.7,62089.0,,-4835.0,29361.5,17299.7,13632.4,12738.5,27642.0,,7472.5,25082.4,-17427.0,True,,False,False,,True,False,False,False,False,False,,False,False,False
Pennsylvania,353592,256596.0,270538.0,,271079.9,577541.0,,302618.0,353468.7,1129684.7,333128.3,481494.0,418375.0,,222591.5,218532.6,289756.0,-96996.0,-83054.0,,-82512.1,223949.0,,-50974.0,-123.3,776092.7,-20463.7,127902.0,64783.0,,-131000.5,-135059.4,-63836.0,True,,True,False,,True,True,False,True,False,True,,False,False,True
Rhode Island,39948,38832.0,36638.0,,40198.7,50710.0,,35627.0,62175.0,72830.6,24636.9,41500.5,50572.0,,47448.3,11068.6,29349.0,-1116.0,-3310.0,,250.7,10762.0,,-4321.0,22227.0,32882.6,-15311.1,1552.5,10624.0,,7500.3,-28879.4,-10599.0,False,,True,False,,False,False,False,False,False,False,,False,False,False
South Carolina,107700,66024.0,80149.0,,60004.5,128846.0,,77107.0,105057.3,85854.3,50142.4,81237.5,116355.0,,52214.0,52065.4,62294.0,-41676.0,-27551.0,,-47695.5,21146.0,,-30593.0,-2642.7,-21845.7,-57557.6,-26462.5,8655.0,,-55486.0,-55634.6,-45406.0,True,,False,True,,True,True,True,False,True,True,,False,False,False
South Dakota,27615,48192.0,27220.0,,42177.9,36227.0,,63245.0,79684.4,37778.2,16797.8,33409.0,64848.0,,21689.3,10612.7,39262.0,20577.0,-395.0,,14562.9,8612.0,,35630.0,52069.4,10163.2,-10817.2,5794.0,37233.0,,-5925.7,-17002.3,11647.0,True,,True,True,,False,False,True,True,True,False,,True,True,True
Tennessee,268245,184602.0,157227.0,,194686.3,240635.0,,179539.0,263727.4,370110.8,118749.2,192761.0,284181.0,,191509.1,89420.7,124350.0,-83643.0,-111018.0,,-73558.7,-27610.0,,-88706.0,-4517.6,101865.8,-149495.8,-75484.0,15936.0,,-76735.9,-178824.3,-143895.0,False,,True,True,,False,True,False,False,True,True,,True,False,False
Texas,608208,459438.0,475965.0,,420179.1,344039.0,,527983.0,688307.3,1067176.6,476345.0,641874.5,657678.0,,428408.8,265007.1,333659.0,-148770.0,-132243.0,,-188028.9,-264169.0,,-80225.0,80099.3,458968.6,-131863.0,33666.5,49470.0,,-179799.2,-343200.9,-274549.0,True,,False,False,,True,True,False,True,True,True,,False,False,False
Utah,107675,137028.0,81046.0,,120303.7,182196.0,,201787.0,231903.2,145634.2,90867.0,162768.0,204080.0,,190677.3,54354.5,98285.0,29353.0,-26629.0,,12628.7,74521.0,,94112.0,124228.2,37959.2,-16808.0,55093.0,96405.0,,83002.3,-53320.5,-9390.0,True,,True,False,,False,False,False,True,False,False,,False,False,True
Vermont,4143,4218.0,8425.0,,0.0,82315.0,,5817.0,3527.2,46802.6,3461.0,9295.0,12287.0,,3472.6,9390.2,5403.0,75.0,4282.0,,-4143.0,78172.0,,1674.0,-615.8,42659.6,-682.0,5152.0,8144.0,,-670.4,5247.2,1260.0,False,,False,False,,False,False,False,False,False,False,,False,False,False
Virginia,143076,89280.0,128136.0,,80304.6,57206.0,,83222.0,112616.0,162105.8,105770.4,110952.5,132428.0,,114692.5,114520.6,75028.0,-53796.0,-14940.0,,-62771.4,-85870.0,,-59854.0,-30460.0,19029.8,-37305.6,-32123.5,-10648.0,,-28383.5,-28555.4,-68048.0,True,,False,False,,False,True,True,True,True,True,,True,True,False
Washington,98823,81174.0,66658.0,,187930.1,251091.0,,78915.0,128313.8,413943.5,117166.4,59722.5,134212.0,,86511.2,26899.6,63950.0,-17649.0,-32165.0,,89107.1,152268.0,,-19908.0,29490.8,315120.5,18343.4,-39100.5,35389.0,,-12311.8,-71923.4,-34873.0,False,,False,False,,False,False,False,False,False,False,,True,False,False
West Virginia,49729,40836.0,49873.0,,34652.8,57979.0,,45821.0,57036.8,123445.5,28432.5,65146.5,75976.0,,43960.6,33267.0,48093.0,-8893.0,144.0,,-15076.2,8250.0,,-3908.0,7307.8,73716.5,-21296.5,15417.5,26247.0,,-5768.4,-16462.0,-1636.0,True,,False,True,,True,True,False,False,False,False,,True,False,True
Wisconsin,151433,291690.0,220531.0,,271798.1,149934.0,,336570.0,512672.1,277792.9,141018.0,242527.5,427417.0,,250233.0,83244.1,173064.0,140257.0,69098.0,,120365.1,-1499.0,,185137.0,361239.1,126359.9,-10415.0,91094.5,275984.0,,98800.0,-68188.9,21631.0,True,,True,True,,False,False,True,True,True,False,,True,True,True
Wyoming,17163,33174.0,26443.0,,28813.3,42638.0,,38154.0,56181.0,66559.8,12191.3,41131.0,50553.0,,34746.7,8959.1,30752.0,16011.0,9280.0,,11650.3,25475.0,,20991.0,39018.0,49396.8,-4971.7,23968.0,33390.0,,17583.7,-8203.9,13589.0,True,,True,False,,False,False,False,True,False,False,,False,True,True
US,8312188,7107120.0,6903351.0,16176002.0,8370145.1,12576019.0,7364874.0,7771390.0,10841487.9,15327778.9,6547748.7,6928659.5,12464011.0,8082486.0,10683428.6,4328070.9,5718644.0,-1205068.0,-1408837.0,7863814.0,57957.1,4263831.0,-947314.0,-540798.0,2529299.9,7015590.9,-1764439.3,-1383528.5,4151823.0,-229702.0,2371240.6,-3984117.1,-2593544.0,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
