,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,492,465.0,,469.5,,503.0,195.0,,,,,392.6,,,,645.0,,821.5,248.6,452.5,,472.0,501.7,480.0,705.0,660.0,493.5,,,,,359.3,,,,629.5,-27.0,,-22.5,,11.0,-297.0,,,,,-99.4,,,,153.0,,329.5,-243.4,-39.5,,-20.0,9.7,-12.0,213.0,168.0,1.5,,,,,-132.7,,,,137.5,,True,,True,False,,,,,False,,,,False,,False,False,False,,True,True,True,False,False,True,,,,,False,,,,False
01023,39,45.0,,43.4,,44.0,21.0,,,,,98.6,,,,195.0,,36.8,25.5,,,46.0,41.4,71.7,43.0,137.0,89.9,,,,,,,,,37.4,6.0,,4.4,,5.0,-18.0,,,,,59.6,,,,156.0,,-2.2,-13.5,,,7.0,2.4,32.7,4.0,98.0,50.9,,,,,,,,,-1.6,,True,,True,False,,,,,False,,,,False,,True,False,,,False,True,False,True,False,False,,,,,,,,,True
01025,405,1119.0,,1111.8,,478.0,389.0,,,,,2218.3,,,,346.0,,609.3,300.8,,,340.0,624.7,382.6,1254.0,691.0,392.5,,,,,,,,,1117.1,714.0,,706.8,,73.0,-16.0,,,,,1813.3,,,,-59.0,,204.3,-104.2,,,-65.0,219.7,-22.4,849.0,286.0,-12.5,,,,,,,,,712.1,,True,,True,True,,,,,False,,,,True,,True,True,,,True,True,True,False,True,True,,,,,,,,,True
01027,160,126.0,,127.5,,133.0,120.0,,,,,86.3,,,,183.0,,105.6,60.3,,,125.0,148.3,134.7,130.0,191.0,224.1,,,,,,,,,144.6,-34.0,,-32.5,,-27.0,-40.0,,,,,-73.7,,,,23.0,,-54.4,-99.7,,,-35.0,-11.7,-25.3,-30.0,31.0,64.1,,,,,,,,,-15.4,,True,,True,False,,,,,False,,,,True,,False,False,,,False,True,True,True,True,False,,,,,,,,,True
01029,168,177.0,,134.8,,162.0,21.0,,,,,216.0,,,,220.0,,78.3,58.5,,,127.0,179.3,182.0,273.0,235.0,212.7,,,,,,,,,230.0,9.0,,-33.2,,-6.0,-147.0,,,,,48.0,,,,52.0,,-89.7,-109.5,,,-41.0,11.3,14.0,105.0,67.0,44.7,,,,,,,,,62.0,,False,,True,False,,,,,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,,,,False
01031,792,747.0,,766.0,,732.0,798.0,,,,,795.5,,,,532.0,,732.4,378.8,577.0,,673.0,802.4,763.7,1110.0,901.0,792.1,,,,,624.6,,,,824.3,-45.0,,-26.0,,-60.0,6.0,,,,,3.5,,,,-260.0,,-59.6,-413.2,-215.0,,-119.0,10.4,-28.3,318.0,109.0,0.1,,,,,-167.4,,,,32.3,,True,,False,True,,,,,True,,,,False,,False,False,False,,False,True,True,False,False,True,,,,,False,,,,True
01033,924,870.0,,900.4,,876.0,736.0,,,,,1293.9,,,,1022.0,,761.3,556.9,726.0,,1014.0,988.0,976.3,1004.0,990.0,1005.9,,,,,777.7,,,,950.3,-54.0,,-23.6,,-48.0,-188.0,,,,,369.9,,,,98.0,,-162.7,-367.1,-198.0,,90.0,64.0,52.3,80.0,66.0,81.9,,,,,-146.3,,,,26.3,,True,,True,False,,,,,False,,,,False,,False,False,False,,False,False,True,False,False,False,,,,,False,,,,True
01035,91,123.0,,129.8,,136.0,187.0,,,,,79.4,,,,137.0,,211.0,52.8,,,194.0,115.1,118.0,197.0,183.0,149.1,,,,,,,,,100.0,32.0,,38.8,,45.0,96.0,,,,,-11.6,,,,46.0,,120.0,-38.2,,,103.0,24.1,27.0,106.0,92.0,58.1,,,,,,,,,9.0,,False,,False,False,,,,,True,,,,False,,False,False,,,False,True,True,False,False,False,,,,,,,,,True
01037,93,111.0,,104.5,,114.0,126.0,,,,,123.0,,,,106.0,,98.5,36.8,,,114.0,124.7,134.7,118.0,140.0,146.4,,,,,,,,,149.6,18.0,,11.5,,21.0,33.0,,,,,30.0,,,,13.0,,5.5,-56.2,,,21.0,31.7,41.7,25.0,47.0,53.4,,,,,,,,,56.6,,True,,False,False,,,,,False,,,,True,,True,False,,,False,False,False,False,False,False,,,,,,,,,False
01039,434,477.0,,508.2,,445.0,189.0,,,,,517.0,,,,442.0,,570.2,236.9,361.0,,290.0,479.7,482.1,781.0,640.0,696.5,,,,,289.4,,,,521.6,43.0,,74.2,,11.0,-245.0,,,,,83.0,,,,8.0,,136.2,-197.1,-73.0,,-144.0,45.7,48.1,347.0,206.0,262.5,,,,,-144.6,,,,87.6,,False,,True,False,,,,,False,,,,True,,False,False,False,,False,False,False,False,False,False,,,,,False,,,,False
01041,192,90.0,,105.8,,89.0,46.0,,,,,100.6,,,,131.0,,87.4,46.5,,,84.0,127.0,126.2,131.0,182.0,138.2,,,,,,,,,113.9,-102.0,,-86.2,,-103.0,-146.0,,,,,-91.4,,,,-61.0,,-104.6,-145.5,,,-108.0,-65.0,-65.8,-61.0,-10.0,-53.8,,,,,,,,,-78.1,,True,,False,False,,,,,True,,,,True,,False,False,,,False,True,True,True,True,True,,,,,,,,,True
01043,1609,1944.0,,2027.8,,1759.0,1685.0,,,,,2049.4,,,,1768.0,,2508.1,899.3,1382.5,,1702.0,1806.4,1722.1,2826.0,1934.0,1692.8,,,,,1613.8,,,,2722.8,335.0,,418.8,,150.0,76.0,,,,,440.4,,,,159.0,,899.1,-709.7,-226.5,,93.0,197.4,113.1,1217.0,325.0,83.8,,,,,4.8,,,,1113.8,,False,,True,True,,,,,False,,,,True,,False,False,True,,True,True,True,False,True,True,,,,,True,,,,False
01045,656,714.0,,724.4,,652.0,628.0,,,,,765.5,,,,546.0,,1168.6,303.5,502.5,,655.0,741.0,697.0,1079.0,852.0,697.0,,,,,553.3,,,,811.3,58.0,,68.4,,-4.0,-28.0,,,,,109.5,,,,-110.0,,512.6,-352.5,-153.5,,-1.0,85.0,41.0,423.0,196.0,41.0,,,,,-102.7,,,,155.3,,False,,True,True,,,,,False,,,,False,,False,False,False,,True,False,True,False,False,True,,,,,False,,,,False
01047,345,327.0,,331.3,,287.0,181.0,,,,,303.7,,,,476.0,,231.4,209.6,277.5,,179.5,297.1,338.4,380.0,489.0,324.6,,,,,293.1,,,,378.7,-18.0,,-13.7,,-58.0,-164.0,,,,,-41.3,,,,131.0,,-113.6,-135.4,-67.5,,-165.5,-47.9,-6.6,35.0,144.0,-20.4,,,,,-51.9,,,,33.7,,True,,False,False,,,,,False,,,,False,,False,False,False,,False,False,True,False,False,False,,,,,False,,,,False
01049,1219,1509.0,,1572.6,,1460.0,1552.0,,,,,1594.0,,,,1584.0,,1283.5,715.1,1073.0,,1396.5,1426.6,1462.3,2218.0,1571.0,1307.4,,,,,848.3,,,,1850.0,290.0,,353.6,,241.0,333.0,,,,,375.0,,,,365.0,,64.5,-503.9,-146.0,,177.5,207.6,243.3,999.0,352.0,88.4,,,,,-370.7,,,,631.0,,False,,True,False,,,,,False,,,,False,,True,False,True,,True,True,True,False,False,True,,,,,False,,,,False
01051,1716,1389.0,,1389.3,,1351.0,1546.0,,,,,1326.4,,,,890.0,,2107.8,781.8,1098.5,,1364.5,1422.1,1383.1,2047.0,1449.0,1306.5,,,,,1163.6,,,,1278.5,-327.0,,-326.7,,-365.0,-170.0,,,,,-389.6,,,,-826.0,,391.8,-934.2,-617.5,,-351.5,-293.9,-332.9,331.0,-267.0,-409.5,,,,,-552.4,,,,-437.5,,True,,False,True,,,,,False,,,,False,,False,False,False,,False,True,False,False,True,False,,,,,False,,,,False
01053,455,486.0,,473.5,,457.0,35.0,,,,,433.2,,,,479.0,,974.8,213.3,332.0,,434.0,429.8,434.5,701.0,608.0,491.7,,,,,325.3,,,,429.2,31.0,,18.5,,2.0,-420.0,,,,,-21.8,,,,24.0,,519.8,-241.7,-123.0,,-21.0,-25.2,-20.5,246.0,153.0,36.7,,,,,-129.7,,,,-25.8,,True,,True,False,,,,,True,,,,True,,False,False,False,,True,True,True,False,False,False,,,,,False,,,,True
01055,2346,2253.0,,2307.8,,2197.0,2307.0,,,,,2547.5,,,,2006.0,,2795.2,1294.1,1737.5,,2083.5,2209.3,1968.5,3387.0,2296.0,1705.8,,,,,1971.5,,,,4012.6,-93.0,,-38.2,,-149.0,-39.0,,,,,201.5,,,,-340.0,,449.2,-1051.9,-608.5,,-262.5,-136.7,-377.5,1041.0,-50.0,-640.2,,,,,-374.5,,,,1666.6,,True,,False,True,,,,,False,,,,False,,False,False,False,,False,False,False,False,True,False,,,,,False,,,,False
01057,296,345.0,,341.0,,319.0,203.0,,,,,314.0,,,,281.0,,299.3,145.7,,,317.0,332.3,311.2,519.0,348.0,332.7,,,,,,,,,455.3,49.0,,45.0,,23.0,-93.0,,,,,18.0,,,,-15.0,,3.3,-150.3,,,21.0,36.3,15.2,223.0,52.0,36.7,,,,,,,,,159.3,,True,,True,False,,,,,True,,,,True,,True,False,,,True,True,True,False,False,True,,,,,,,,,False
01059,469,489.0,,497.5,,483.0,124.0,,,,,373.0,,,,672.0,,625.8,303.6,392.5,,551.0,506.3,501.9,776.0,601.0,442.2,,,,,390.9,,,,498.6,20.0,,28.5,,14.0,-345.0,,,,,-96.0,,,,203.0,,156.8,-165.4,-76.5,,82.0,37.3,32.9,307.0,132.0,-26.8,,,,,-78.1,,,,29.6,,False,,True,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,,,,False
01061,322,279.0,,271.9,,273.0,223.0,,,,,197.5,,,,321.0,,257.0,143.0,,,251.0,293.8,268.7,385.0,373.0,338.3,,,,,,,,,249.4,-43.0,,-50.1,,-49.0,-99.0,,,,,-124.5,,,,-1.0,,-65.0,-179.0,,,-71.0,-28.2,-53.3,63.0,51.0,16.3,,,,,,,,,-72.6,,False,,False,False,,,,,False,,,,True,,False,False,,,False,True,False,False,False,True,,,,,,,,,False
01063,138,234.0,,238.6,,198.0,0.0,,,,,244.0,,,,104.0,,331.7,53.5,,,285.0,192.5,181.5,269.0,203.0,71.6,,,,,,,,,276.7,96.0,,100.6,,60.0,-138.0,,,,,106.0,,,,-34.0,,193.7,-84.5,,,147.0,54.5,43.5,131.0,65.0,-66.4,,,,,,,,,138.7,,False,,True,False,,,,,False,,,,True,,False,True,,,False,True,True,False,True,True,,,,,,,,,False
01065,375,294.0,,305.5,,256.0,29.0,,,,,224.0,,,,221.0,,298.0,114.3,,,284.0,275.3,262.0,394.0,310.0,228.9,,,,,,,,,273.7,-81.0,,-69.5,,-119.0,-346.0,,,,,-151.0,,,,-154.0,,-77.0,-260.7,,,-91.0,-99.7,-113.0,19.0,-65.0,-146.1,,,,,,,,,-101.3,,True,,False,False,,,,,False,,,,False,,True,False,,,False,False,False,True,True,False,,,,,,,,,False
01067,300,189.0,,182.3,,190.0,10.0,,,,,285.0,,,,171.0,,284.7,93.3,,,233.0,212.9,194.2,308.0,259.0,258.2,,,,,,,,,165.2,-111.0,,-117.7,,-110.0,-290.0,,,,,-15.0,,,,-129.0,,-15.3,-206.7,,,-67.0,-87.1,-105.8,8.0,-41.0,-41.8,,,,,,,,,-134.8,,False,,True,False,,,,,True,,,,False,,True,False,,,True,True,True,True,True,True,,,,,,,,,False
01069,1430,1122.0,,1164.7,,1144.0,1181.0,,,,,1433.8,,,,1088.0,,1055.7,640.8,1036.5,,1189.0,1279.1,1316.9,1478.0,1584.0,1617.9,,,,,995.4,,,,920.4,-308.0,,-265.3,,-286.0,-249.0,,,,,3.8,,,,-342.0,,-374.3,-789.2,-393.5,,-241.0,-150.9,-113.1,48.0,154.0,187.9,,,,,-434.6,,,,-509.6,,True,,True,True,,,,,True,,,,False,,False,False,False,,True,True,True,True,True,True,,,,,False,,,,False
01071,911,1401.0,,1279.7,,1343.0,647.0,,,,,1494.7,,,,1145.0,,2688.7,599.3,1239.5,,1731.0,1315.6,1305.2,2237.0,1381.0,1365.1,,,,,1313.7,,,,2329.9,490.0,,368.7,,432.0,-264.0,,,,,583.7,,,,234.0,,1777.7,-311.7,328.5,,820.0,404.6,394.2,1326.0,470.0,454.1,,,,,402.7,,,,1418.9,,True,,True,True,,,,,False,,,,True,,False,True,True,,False,True,True,False,True,True,,,,,True,,,,False
01073,13389,12690.0,,12489.8,12923.5,13040.0,16729.0,,,,,16987.3,,20192.2,,11788.0,,14836.6,6692.1,9707.0,,14482.5,13572.7,13075.5,17672.0,13089.0,11046.5,,,,,10173.6,19914.0,,,13510.2,-699.0,,-899.2,-465.5,-349.0,3340.0,,,,,3598.3,,6803.2,,-1601.0,,1447.6,-6696.9,-3682.0,,1093.5,183.7,-313.5,4283.0,-300.0,-2342.5,,,,,-3215.4,6525.0,,,121.2,,False,True,True,False,,,,,False,,False,,False,,False,False,False,,False,True,True,False,True,False,,,,,False,False,,,True
01075,228,291.0,,280.2,,278.0,199.0,,,,,268.7,,,,228.0,,289.5,94.4,,,379.0,280.9,281.4,407.0,278.0,254.6,,,,,,,,,373.4,63.0,,52.2,,50.0,-29.0,,,,,40.7,,,,0.0,,61.5,-133.6,,,151.0,52.9,53.4,179.0,50.0,26.6,,,,,,,,,145.4,,True,,True,True,,,,,True,,,,True,,True,False,,,False,True,True,False,True,True,,,,,,,,,False
01077,1617,1236.0,,1267.7,,1254.0,1180.0,,,,,1743.7,,,,1708.0,,1120.2,846.8,1243.0,,1341.5,1368.4,1451.9,1138.0,1526.0,1106.8,,,,,764.0,,,,1423.9,-381.0,,-349.3,,-363.0,-437.0,,,,,126.7,,,,91.0,,-496.8,-770.2,-374.0,,-275.5,-248.6,-165.1,-479.0,-91.0,-510.2,,,,,-853.0,,,,-193.1,,True,,True,False,,,,,True,,,,True,,False,False,True,,True,True,True,False,True,False,,,,,False,,,,True
01079,533,444.0,,442.5,,450.0,439.0,,,,,520.0,,,,697.0,,361.1,186.7,362.5,,433.0,496.2,478.3,708.0,549.0,499.4,,,,,,,,,683.9,-89.0,,-90.5,,-83.0,-94.0,,,,,-13.0,,,,164.0,,-171.9,-346.3,-170.5,,-100.0,-36.8,-54.7,175.0,16.0,-33.6,,,,,,,,,150.9,,False,,True,False,,,,,True,,,,False,,False,False,False,,False,True,True,False,True,True,,,,,,,,,False
01081,1833,1632.0,,1586.5,,1973.0,2880.0,,,,,1000.8,,2638.3,,1532.0,,1632.4,1193.9,1234.5,,2781.0,2056.2,1927.0,2448.0,2290.0,2778.0,,,,,1099.3,2183.0,,,1765.5,-201.0,,-246.5,,140.0,1047.0,,,,,-832.2,,805.3,,-301.0,,-200.6,-639.1,-598.5,,948.0,223.2,94.0,615.0,457.0,945.0,,,,,-733.7,350.0,,,-67.5,,False,,True,False,,,,,False,,False,,False,,True,False,False,,False,False,True,False,False,False,,,,,False,False,,,True
01083,1748,1641.0,,1547.6,,1595.0,1549.0,,,,,2049.4,,,,1580.0,,1744.3,748.6,1237.5,,1883.0,1761.6,1839.1,2435.0,1829.0,1478.1,,,,,1241.7,,,,1729.0,-107.0,,-200.4,,-153.0,-199.0,,,,,301.4,,,,-168.0,,-3.7,-999.4,-510.5,,135.0,13.6,91.1,687.0,81.0,-269.9,,,,,-506.3,,,,-19.0,,False,,False,False,,,,,False,,,,False,,True,False,False,,False,True,True,False,True,False,,,,,False,,,,True
01085,101,69.0,,62.4,,73.0,0.0,,,,,69.9,,,,80.0,,77.8,45.6,,,54.0,81.9,99.2,96.0,124.0,92.2,,,,,,,,,76.1,-32.0,,-38.6,,-28.0,-101.0,,,,,-31.1,,,,-21.0,,-23.2,-55.4,,,-47.0,-19.1,-1.8,-5.0,23.0,-8.8,,,,,,,,,-24.9,,False,,True,False,,,,,True,,,,True,,True,False,,,False,True,True,True,True,True,,,,,,,,,True
01087,173,180.0,,178.4,,166.0,203.0,,,,,202.0,,,,152.0,,122.4,78.0,,,149.0,176.4,178.2,174.0,248.0,230.1,,,,,,,,,197.9,7.0,,5.4,,-7.0,30.0,,,,,29.0,,,,-21.0,,-50.6,-95.0,,,-24.0,3.4,5.2,1.0,75.0,57.1,,,,,,,,,24.9,,True,,False,False,,,,,False,,,,False,,False,False,,,False,True,True,True,False,False,,,,,,,,,False
01089,6355,5718.0,,5711.6,6330.8,6190.0,6150.0,,,,,9482.9,,9641.4,,5589.0,,8153.0,3947.1,3756.0,,7234.5,6495.5,5887.2,8688.0,6223.0,5613.9,,,,,5754.8,5831.0,,,8838.0,-637.0,,-643.4,-24.2,-165.0,-205.0,,,,,3127.9,,3286.4,,-766.0,,1798.0,-2407.9,-2599.0,,879.5,140.5,-467.8,2333.0,-132.0,-741.1,,,,,-600.2,-524.0,,,2483.0,,False,True,True,True,,,,,False,,False,,False,,False,False,False,,False,True,True,False,True,False,,,,,True,True,,,False
01091,362,501.0,,473.2,,441.0,0.0,,,,,693.6,,,,293.0,,695.6,136.3,,,714.0,442.5,413.9,646.0,435.0,745.3,,,,,,,,,396.8,139.0,,111.2,,79.0,-362.0,,,,,331.6,,,,-69.0,,333.6,-225.7,,,352.0,80.5,51.9,284.0,73.0,383.3,,,,,,,,,34.8,,True,,True,False,,,,,False,,,,True,,False,False,,,False,True,True,False,True,False,,,,,,,,,True
