,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,147082,116007.0,131745.7,113805.6,132205.0,127280.0,,127390.7,105696.0,135976.6,128479.1,,186543.0,107456.0,138257.0,142719.4,165545.3,136803.0,79514.9,242452.0,181035.0,153235.5,155399.5,138305.8,173691.0,118232.0,,151755.4,86227.1,,100399.6,119341.6,,135542.0,113187.8,,-31075.0,-15336.3,-33276.4,-14877.0,-19802.0,,-19691.3,-41386.0,-11105.4,-18602.9,,39461.0,-39626.0,-8825.0,-4362.6,18463.3,-10279.0,-67567.1,95370.0,33953.0,6153.5,8317.5,-8776.2,26609.0,-28850.0,,4673.4,-60854.9,,-46682.4,-27740.4,,-11540.0,-33894.2,,True,False,True,True,,True,False,True,True,,False,False,True,True,True,True,False,False,False,True,True,True,True,True,,True,False,,False,True,,True,False,
Hawaii,2670,2319.0,2540.4,2308.6,2278.0,2607.0,,2244.5,1349.0,4113.0,2940.8,,2520.1,,,2447.3,1471.4,2123.0,4523.3,2332.5,2255.3,1949.0,2961.7,2496.7,3111.0,1542.0,,2823.4,1933.4,,1626.9,2850.5,,2690.0,2233.1,2045.6,-351.0,-129.6,-361.4,-392.0,-63.0,,-425.5,-1321.0,1443.0,270.8,,-149.9,,,-222.7,-1198.6,-547.0,1853.3,-337.5,-414.7,-721.0,291.7,-173.3,441.0,-1128.0,,153.4,-736.6,,-1043.1,180.5,,20.0,-436.9,-624.4,True,False,False,True,,False,False,False,True,,True,,,True,False,False,False,True,False,False,True,True,False,False,,True,False,,False,True,,True,False,False
Idaho,21567,32781.0,41379.2,32764.0,32321.0,30640.0,,33192.8,22076.0,26892.1,33396.7,,32337.1,36455.0,36411.0,42261.9,35434.2,37186.0,20538.9,28398.5,34820.9,27003.5,28190.2,28785.1,37990.0,28857.0,,38128.6,21094.3,,25835.6,40741.2,,35491.0,39118.1,33765.2,11214.0,19812.2,11197.0,10754.0,9073.0,,11625.8,509.0,5325.1,11829.7,,10770.1,14888.0,14844.0,20694.9,13867.2,15619.0,-1028.1,6831.5,13253.9,5436.5,6623.2,7218.1,16423.0,7290.0,,16561.6,-472.7,,4268.6,19174.2,,13924.0,17551.1,12198.2,False,True,True,True,,False,True,True,False,,True,False,False,False,False,False,True,True,False,True,True,True,False,True,,False,True,,True,False,,False,False,False
Illinois,133664,185139.0,192698.5,182886.2,168298.0,172275.0,,169201.9,153368.0,147856.3,230054.2,,165429.5,203250.0,191566.0,184090.9,117065.0,145304.0,159753.6,176029.5,153205.8,157757.0,165157.2,167114.3,157321.0,149877.0,,167697.8,76960.6,,228868.0,262418.4,193262.9,161348.0,190351.6,,51475.0,59034.5,49222.2,34634.0,38611.0,,35537.9,19704.0,14192.3,96390.2,,31765.5,69586.0,57902.0,50426.9,-16599.0,11640.0,26089.6,42365.5,19541.8,24093.0,31493.2,33450.3,23657.0,16213.0,,34033.8,-56703.4,,95204.0,128754.4,59598.9,27684.0,56687.6,,False,True,True,True,,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,False,False,True,False,
Indiana,103554,133551.0,147913.1,134975.3,132896.0,115970.0,,140663.3,145998.0,114515.4,164507.3,,149460.9,164604.0,144100.0,160535.8,104560.6,130204.0,79761.2,138464.0,147030.0,113938.5,127966.8,139743.4,140169.0,100543.0,,139826.7,67341.0,,109775.9,193472.2,118941.8,137940.0,165551.0,120900.0,29997.0,44359.1,31421.3,29342.0,12416.0,,37109.3,42444.0,10961.4,60953.3,,45906.9,61050.0,40546.0,56981.8,1006.6,26650.0,-23792.8,34910.0,43476.0,10384.5,24412.8,36189.4,36615.0,-3011.0,,36272.7,-36213.0,,6221.9,89918.2,15387.8,34386.0,61997.0,17346.0,False,False,True,True,,False,False,True,False,,False,False,False,False,True,True,True,False,False,True,True,False,False,True,,False,False,,True,False,True,False,False,True
Iowa,28886,34872.0,59022.4,34969.0,29831.0,27777.0,,35050.6,64320.0,28228.0,37281.5,,22583.4,45502.0,44495.0,34940.5,17558.1,34195.0,22764.8,30213.0,21919.8,23674.0,32101.4,30012.8,23450.0,29840.0,,18138.7,19311.7,,34104.8,87325.2,,27398.0,40983.1,23037.2,5986.0,30136.4,6083.0,945.0,-1109.0,,6164.6,35434.0,-658.0,8395.5,,-6302.6,16616.0,15609.0,6054.5,-11327.9,5309.0,-6121.2,1327.0,-6966.2,-5212.0,3215.4,1126.8,-5436.0,954.0,,-10747.3,-9574.3,,5218.8,58439.2,,-1488.0,12097.1,-5848.8,False,False,True,True,,False,False,True,False,,False,False,False,False,False,True,False,True,False,True,True,True,True,True,,False,False,,True,False,,True,False,True
Kansas,41854,51291.0,72909.3,49788.9,48471.0,47568.0,,50175.2,69895.0,13616.2,52090.7,,46407.9,51485.0,51964.0,56970.6,33114.3,58979.0,27586.2,38567.5,55221.9,64824.5,41005.7,52638.4,53272.0,44523.0,,43057.1,51054.7,,53224.4,83255.4,,50641.0,57319.1,37411.5,9437.0,31055.3,7934.9,6617.0,5714.0,,8321.2,28041.0,-28237.8,10236.7,,4553.9,9631.0,10110.0,15116.6,-8739.7,17125.0,-14267.8,-3286.5,13367.9,22970.5,-848.3,10784.4,11418.0,2669.0,,1203.1,9200.7,,11370.4,41401.4,,8787.0,15465.1,-4442.5,False,True,True,True,,True,False,False,False,,True,False,False,False,True,False,False,True,False,False,True,False,False,True,,True,True,,False,False,,True,False,True
Kentucky,53311,67785.0,73679.0,68181.8,71078.0,64882.0,,74524.6,51816.0,54330.4,83105.4,,80041.0,85873.0,82640.0,91154.0,68965.6,66919.0,42719.1,76571.5,98381.8,62784.5,70497.8,76482.0,78021.0,52386.0,,79303.0,68840.4,,57274.7,102775.0,,73833.0,92787.8,80737.3,14474.0,20368.0,14870.8,17767.0,11571.0,,21213.6,-1495.0,1019.4,29794.4,,26730.0,32562.0,29329.0,37843.0,15654.6,13608.0,-10591.9,23260.5,45070.8,9473.5,17186.8,23171.0,24710.0,-925.0,,25992.0,15529.4,,3963.7,49464.0,,20522.0,39476.8,27426.3,False,False,False,True,,False,True,True,False,,False,False,False,False,False,True,True,False,False,True,False,False,False,True,,False,False,,True,False,,False,False,False
Louisiana,51084,51042.0,62629.2,52901.9,53358.0,52328.0,,59065.4,88947.0,427778.7,49326.8,,68799.2,33011.0,56411.0,60768.8,57062.3,52514.0,45940.0,56186.5,82598.8,46981.0,52093.0,62475.2,57637.0,51295.0,,45189.5,95296.3,,40850.8,77001.2,,50850.0,54563.5,55426.4,-42.0,11545.2,1817.9,2274.0,1244.0,,7981.4,37863.0,376694.7,-1757.2,,17715.2,-18073.0,5327.0,9684.8,5978.3,1430.0,-5144.0,5102.5,31514.8,-4103.0,1009.0,11391.2,6553.0,211.0,,-5894.5,44212.3,,-10233.2,25917.2,,-234.0,3479.5,4342.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Maine,9625,7479.0,5763.9,7494.1,8801.0,10360.0,,7298.9,8414.0,5124.7,6857.5,,11801.9,5986.0,9658.0,9783.7,10458.0,10224.0,7369.4,6917.5,9322.4,8908.0,8720.9,8680.0,9756.0,7976.0,,9705.9,9246.3,,9236.4,7756.2,,9599.0,9058.1,6565.9,-2146.0,-3861.1,-2130.9,-824.0,735.0,,-2326.1,-1211.0,-4500.3,-2767.5,,2176.9,-3639.0,33.0,158.7,833.0,599.0,-2255.6,-2707.5,-302.6,-717.0,-904.1,-945.0,131.0,-1649.0,,80.9,-378.7,,-388.6,-1868.8,,-26.0,-566.9,-3059.1,False,True,True,True,,False,True,False,False,,False,False,True,True,True,True,False,False,True,True,True,True,True,True,,True,True,,True,True,,True,True,False
Maryland,51162,58875.0,62360.4,58521.8,63343.0,66650.0,,61362.7,91249.0,64134.4,64875.9,,75792.3,57819.0,68073.0,71000.9,61030.1,64370.0,55441.6,67413.5,74462.9,63130.5,64232.5,65832.4,75466.0,57721.0,,72230.6,62750.7,,58085.7,79898.2,,64276.0,67024.2,59961.3,7713.0,11198.4,7359.8,12181.0,15488.0,,10200.7,40087.0,12972.4,13713.9,,24630.3,6657.0,16911.0,19838.9,9868.1,13208.0,4279.6,16251.5,23300.9,11968.5,13070.5,14670.4,24304.0,6559.0,,21068.6,11588.7,,6923.7,28736.2,,13114.0,15862.2,8799.3,False,True,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,,True,False,,False,False,False
Massachusetts,98456,101124.0,129821.4,102772.3,120482.0,114597.0,,118149.5,102148.0,62355.1,169551.8,,181928.0,79957.0,120638.0,145957.0,173876.0,126779.0,88809.7,114052.5,157721.7,132871.0,115951.8,124435.3,96885.0,92543.0,,134996.0,82139.9,,113760.5,121724.8,,157246.0,129686.3,170141.9,2668.0,31365.4,4316.3,22026.0,16141.0,,19693.5,3692.0,-36100.9,71095.8,,83472.0,-18499.0,22182.0,47501.0,75420.0,28323.0,-9646.3,15596.5,59265.7,34415.0,17495.8,25979.3,-1571.0,-5913.0,,36540.0,-16316.1,,15304.5,23268.8,,58790.0,31230.3,71685.9,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,,False,False,False
Michigan,72962,115749.0,136912.4,117225.0,109013.0,81146.0,,121108.6,123923.0,156052.0,165602.9,,108826.3,151778.0,138671.0,152993.2,99282.8,114392.0,103823.2,145858.5,105054.2,81130.0,97506.0,103523.9,104366.0,80636.0,,94272.8,105429.6,,161139.0,217805.5,45685.5,93928.0,156102.7,129900.5,42787.0,63950.4,44263.0,36051.0,8184.0,,48146.6,50961.0,83090.0,92640.9,,35864.3,78816.0,65709.0,80031.2,26320.8,41430.0,30861.2,72896.5,32092.2,8168.0,24544.0,30561.9,31404.0,7674.0,,21310.8,32467.6,,88177.0,144843.5,-27276.5,20966.0,83140.7,56938.5,False,False,True,True,,False,False,False,False,,True,False,False,False,True,True,True,False,True,True,True,True,True,True,,True,True,,False,False,True,True,False,False
Minnesota,42434,90351.0,111063.3,93778.0,73115.0,66478.0,,95966.8,117438.0,55943.0,91589.5,,69798.3,114876.0,106729.0,102860.4,58897.4,80161.0,53401.3,76687.0,64618.3,47852.5,65827.9,79325.0,65911.0,62656.0,,70751.8,61194.0,,78405.8,183139.4,,75736.0,108509.8,87748.3,47917.0,68629.3,51344.0,30681.0,24044.0,,53532.8,75004.0,13509.0,49155.5,,27364.3,72442.0,64295.0,60426.4,16463.4,37727.0,10967.3,34253.0,22184.3,5418.5,23393.9,36891.0,23477.0,20222.0,,28317.8,18760.0,,35971.8,140705.4,,33302.0,66075.8,45314.3,False,False,True,True,,False,False,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,,True,False,True
Mississippi,42330,43467.0,56258.2,43421.7,47002.0,36188.0,,45877.1,38517.0,42619.1,46867.1,,67354.6,45520.0,45756.0,58987.6,61745.5,49356.0,22511.4,46140.5,52102.3,50527.5,46002.3,50681.0,59397.0,39644.0,,57007.0,17092.1,,41033.4,57148.3,,61000.0,56916.4,65700.0,1137.0,13928.2,1091.7,4672.0,-6142.0,,3547.1,-3813.0,289.1,4537.1,,25024.6,3190.0,3426.0,16657.6,19415.5,7026.0,-19818.6,3810.5,9772.3,8197.5,3672.3,8351.0,17067.0,-2686.0,,14677.0,-25237.9,,-1296.6,14818.3,,18670.0,14586.4,23370.0,False,True,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Missouri,59917,74400.0,89470.6,73684.3,73377.0,64076.0,,71976.0,100910.0,76264.9,86241.1,,64181.8,90389.0,82340.0,71742.8,47951.8,73595.0,45450.6,86019.0,64544.4,62883.0,78217.7,74417.7,69529.0,67524.0,,58342.2,32839.4,,74870.0,116525.7,,73942.0,85366.7,,14483.0,29553.6,13767.3,13460.0,4159.0,,12059.0,40993.0,16347.9,26324.1,,4264.8,30472.0,22423.0,11825.8,-11965.2,13678.0,-14466.4,26102.0,4627.4,2966.0,18300.7,14500.7,9612.0,7607.0,,-1574.8,-27077.6,,14953.0,56608.7,,14025.0,25449.7,,False,True,True,True,,True,False,False,False,,True,False,False,True,True,True,True,False,True,True,False,False,True,True,,True,False,,False,False,,True,False,
Montana,9300,16725.0,16152.7,17283.8,13729.0,10598.0,,16349.0,9203.0,13803.6,11078.0,,13270.7,18759.0,18711.0,17332.9,9600.2,16649.0,6589.9,12799.5,12393.7,11142.0,14407.8,17034.4,13949.0,14544.0,,14593.5,15884.9,,12017.8,25866.8,,15295.0,17780.2,11107.2,7425.0,6852.7,7983.8,4429.0,1298.0,,7049.0,-97.0,4503.6,1778.0,,3970.7,9459.0,9411.0,8032.9,300.2,7349.0,-2710.1,3499.5,3093.7,1842.0,5107.8,7734.4,4649.0,5244.0,,5293.5,6584.9,,2717.8,16566.8,,5995.0,8480.2,1807.2,True,False,True,True,,True,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,True,,True,True,,True,False,,True,False,True
Nebraska,20574,27360.0,37366.1,29089.8,23807.0,16687.0,,30140.4,34862.0,19434.1,23012.4,,22555.2,36025.0,34781.0,29175.8,23194.0,25939.0,18409.3,22519.0,22105.7,19638.0,23960.8,28900.1,23144.0,19896.0,,22925.3,43606.5,,25994.9,61362.4,,23011.0,35271.6,27078.2,6786.0,16792.1,8515.8,3233.0,-3887.0,,9566.4,14288.0,-1139.9,2438.4,,1981.2,15451.0,14207.0,8601.8,2620.0,5365.0,-2164.7,1945.0,1531.7,-936.0,3386.8,8326.1,2570.0,-678.0,,2351.3,23032.5,,5420.9,40788.4,,2437.0,14697.6,6504.2,False,False,True,True,,False,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,True,,True,False,,True,False,,True,False,True
