,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,56334,46488.0,60319.0,45620.6,46976.0,42524.0,,51373.8,39635.0,49507.4,50066.9,37509.3,,50429.4,58835.0,52280.1,48822.7,48270.0,30406.0,37154.0,69101.7,62844.5,40532.3,43916.6,55436.0,54254.0,,44471.5,33436.0,,43910.7,57218.5,39662.4,47715.0,46887.4,-9846.0,3985.0,-10713.4,-9358.0,-13810.0,,-4960.2,-16699.0,-6826.6,-6267.1,-18824.7,,-5904.6,2501.0,-4053.9,-7511.3,-8064.0,-25928.0,-19180.0,12767.7,6510.5,-15801.7,-12417.4,-898.0,-2080.0,,-11862.5,-22898.0,,-12423.3,884.5,-16671.6,-8619.0,-9446.6,True,False,True,False,,True,False,True,True,False,,True,True,True,True,True,False,False,False,True,False,False,True,True,,False,False,,False,True,False,True,True
Hawaii,925,881.0,952.1,875.7,882.0,783.0,,923.0,511.0,1111.7,893.7,861.2,,931.4,,989.2,912.1,850.0,1634.9,899.5,814.8,829.5,797.4,872.6,995.0,1416.0,,914.6,755.2,,803.8,1048.2,861.5,904.0,157.0,-44.0,27.1,-49.3,-43.0,-142.0,,-2.0,-414.0,186.7,-31.3,-63.8,,6.4,,64.2,-12.9,-75.0,709.9,-25.5,-110.2,-95.5,-127.6,-52.4,70.0,491.0,,-10.4,-169.8,,-121.2,123.2,-63.5,-21.0,-768.0,True,False,True,False,,True,False,False,True,False,,True,,False,True,False,False,True,False,False,False,False,False,False,,True,False,,False,False,False,True,False
Idaho,6412,6718.0,5494.2,6621.6,6444.0,5465.0,,7724.2,6179.0,5223.6,5646.6,5452.4,,5772.7,8674.0,8589.7,6444.2,6200.0,5145.0,3679.0,8905.3,6732.0,4774.2,6088.9,7515.0,6465.0,,4354.7,7517.1,,6216.8,11843.2,7960.4,6768.0,4957.2,306.0,-917.8,209.6,32.0,-947.0,,1312.2,-233.0,-1188.4,-765.4,-959.6,,-639.3,2262.0,2177.7,32.2,-212.0,-1267.0,-2733.0,2493.3,320.0,-1637.8,-323.1,1103.0,53.0,,-2057.3,1105.1,,-195.2,5431.2,1548.4,356.0,-1454.8,False,True,True,False,,False,True,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,False,True,,False,False,,True,False,False,False,False
Illinois,41210,39775.0,41390.7,40533.6,36004.0,32570.0,,42290.6,31267.0,32330.6,33174.8,29922.6,,33999.7,47262.0,52136.9,30132.7,38181.0,33341.6,29283.5,44322.0,33890.0,30238.7,33309.1,42898.0,36151.0,,33258.8,28781.7,,36003.9,65444.4,40347.6,42548.0,32534.3,-1435.0,180.7,-676.4,-5206.0,-8640.0,,1080.6,-9943.0,-8879.4,-8035.2,-11287.4,,-7210.3,6052.0,10926.9,-11077.3,-3029.0,-7868.4,-11926.5,3112.0,-7320.0,-10971.3,-7900.9,1688.0,-5059.0,,-7951.2,-12428.3,,-5206.1,24234.4,-862.4,1338.0,-8675.7,True,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,False
Indiana,31069,34150.0,36626.3,34010.7,31857.0,27913.0,,34676.9,32681.0,25371.1,31328.3,26340.5,,28453.6,36288.0,38831.1,23962.7,32217.0,21598.7,26409.5,37252.6,23084.5,23081.1,24664.7,36545.0,32196.0,,27192.3,28350.1,,31857.2,50993.8,35744.5,34272.0,23755.0,3081.0,5557.3,2941.7,788.0,-3156.0,,3607.9,1612.0,-5697.9,259.3,-4728.5,,-2615.4,5219.0,7762.1,-7106.3,1148.0,-9470.3,-4659.5,6183.6,-7984.5,-7987.9,-6404.3,5476.0,1127.0,,-3876.7,-2718.9,,788.2,19924.8,4675.5,3203.0,-7314.0,False,True,True,False,,False,True,False,True,False,,True,False,False,False,True,False,False,False,False,False,False,False,True,,False,True,,True,False,False,False,False
Iowa,9102,7834.0,6917.1,8133.2,7173.0,6634.0,,9296.9,10294.0,7020.5,6215.4,7308.3,,6946.2,12004.0,9926.8,6603.4,8569.0,8026.8,4255.0,6724.9,7867.5,6148.7,7077.0,9535.0,8288.0,,6908.4,4255.3,,7177.1,18611.3,6969.8,9011.0,6804.9,-1268.0,-2184.9,-968.8,-1929.0,-2468.0,,194.9,1192.0,-2081.5,-2886.6,-1793.7,,-2155.8,2902.0,824.8,-2498.6,-533.0,-1075.2,-4847.0,-2377.1,-1234.5,-2953.3,-2025.0,433.0,-814.0,,-2193.6,-4846.7,,-1924.9,9509.3,-2132.2,-91.0,-2297.1,False,True,False,False,,True,True,False,False,False,,False,False,True,False,True,True,False,False,True,False,False,True,True,,False,False,,False,False,False,True,False
Kansas,17325,9340.0,10528.3,8919.5,9922.0,7900.0,,12102.2,21683.0,3319.9,14134.0,7602.8,,14267.2,15059.0,17302.0,12176.0,9402.0,8550.9,5284.5,13087.2,6548.0,6029.6,10273.1,12629.0,10021.0,,7057.0,9220.1,,9872.7,22435.1,13480.2,10078.0,8880.9,-7985.0,-6796.7,-8405.5,-7403.0,-9425.0,,-5222.8,4358.0,-14005.1,-3191.0,-9722.2,,-3057.8,-2266.0,-23.0,-5149.0,-7923.0,-8774.1,-12040.5,-4237.8,-10777.0,-11295.4,-7051.9,-4696.0,-7304.0,,-10268.0,-8104.9,,-7452.3,5110.1,-3844.8,-7247.0,-8444.1,True,False,True,False,,True,True,False,True,False,,True,True,True,True,True,False,False,True,False,False,True,True,True,,False,False,,True,True,True,True,False
Kentucky,18408,14999.0,21213.5,14794.8,14795.0,12891.0,,16746.5,14029.0,23763.8,14535.0,26617.0,,13833.7,17943.0,20665.2,14983.5,13611.0,11622.6,7706.0,17548.2,15067.5,11638.4,15329.0,18466.0,13842.0,,14380.6,20745.6,,14107.5,28191.0,17494.9,17005.0,12798.6,-3409.0,2805.5,-3613.2,-3613.0,-5517.0,,-1661.5,-4379.0,5355.8,-3873.0,8209.0,,-4574.3,-465.0,2257.2,-3424.5,-4797.0,-6785.4,-10702.0,-859.8,-3340.5,-6769.6,-3079.0,58.0,-4566.0,,-4027.4,2337.6,,-4300.5,9783.0,-913.1,-1403.0,-5609.4,True,False,False,False,,True,False,False,False,False,,False,True,True,False,False,False,False,True,True,False,True,True,False,,False,True,,False,False,True,True,False
Louisiana,18776,14065.0,20193.1,13684.4,14708.0,12725.0,,16497.1,23533.0,265520.2,16237.1,8170.7,,14331.1,19536.0,16098.7,14898.4,15376.0,11878.0,7832.5,18634.3,14510.0,11633.4,14803.3,16616.0,15998.0,,11582.9,30437.5,,13264.2,23394.4,14696.8,13852.0,12176.1,-4711.0,1417.1,-5091.6,-4068.0,-6051.0,,-2278.9,4757.0,246744.2,-2538.9,-10605.3,,-4444.9,760.0,-2677.3,-3877.6,-3400.0,-6898.0,-10943.5,-141.7,-4266.0,-7142.6,-3972.7,-2160.0,-2778.0,,-7193.1,11661.5,,-5511.8,4618.4,-4079.2,-4924.0,-6599.9,True,False,True,False,,True,False,False,True,False,,True,True,True,True,True,False,False,True,True,False,True,True,True,,False,False,,False,True,True,False,False
Maine,3698,2809.0,3649.8,2819.2,3388.0,2684.0,,3377.4,3585.0,2711.5,3757.5,2067.1,,3757.8,3591.0,4112.0,4019.2,3450.0,4005.9,3332.5,4772.8,4213.0,2729.8,3607.2,3844.0,2776.0,,2710.1,3817.3,,2888.2,3906.9,3125.5,3188.0,2668.8,-889.0,-48.2,-878.8,-310.0,-1014.0,,-320.6,-113.0,-986.5,59.5,-1630.9,,59.8,-107.0,414.0,321.2,-248.0,307.9,-365.5,1074.8,515.0,-968.2,-90.8,146.0,-922.0,,-987.9,119.3,,-809.8,208.9,-572.5,-510.0,-1029.2,True,True,True,False,,True,True,False,True,False,,True,True,True,True,True,True,True,False,True,False,True,True,False,,False,True,,True,True,True,True,False
Maryland,17731,16686.0,18768.5,16342.2,16342.0,15049.0,,16534.4,20436.0,15502.0,16354.5,14368.1,,15650.5,18203.0,18588.5,12833.0,18298.0,16226.7,17994.0,17272.6,13601.0,14651.6,15214.2,17792.0,15524.0,,14849.9,24806.3,,16890.4,24893.6,17041.7,15938.0,13430.8,-1045.0,1037.5,-1388.8,-1389.0,-2682.0,,-1196.6,2705.0,-2229.0,-1376.5,-3362.9,,-2080.5,472.0,857.5,-4898.0,567.0,-1504.3,263.0,-458.4,-4130.0,-3079.4,-2516.8,61.0,-2207.0,,-2881.1,7075.3,,-840.6,7162.6,-689.3,-1793.0,-4300.2,True,False,False,False,,False,False,False,False,False,,False,True,True,False,True,False,True,True,False,False,False,True,False,,False,False,,True,False,True,False,False
Massachusetts,34579,30332.0,36076.9,31435.8,29681.0,24544.0,,33315.6,35004.0,22766.4,30959.6,42546.0,,29445.0,35282.0,40334.0,27431.8,28950.0,26265.6,20994.5,53556.8,27263.5,26620.3,29588.0,27924.0,29098.0,,28245.9,45580.0,,29641.8,47038.1,31196.3,35596.0,26226.8,-4247.0,1497.9,-3143.2,-4898.0,-10035.0,,-1263.4,425.0,-11812.6,-3619.4,7967.0,,-5134.0,703.0,5755.0,-7147.2,-5629.0,-8313.4,-13584.5,18977.8,-7315.5,-7958.7,-4991.0,-6655.0,-5481.0,,-6333.1,11001.0,,-4937.2,12459.1,-3382.7,1017.0,-8352.2,True,True,False,False,,True,True,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,False
Michigan,21795,20270.0,21133.8,21014.5,20356.0,13220.0,,20926.3,25543.0,75310.7,5289.7,41121.6,,16518.3,27934.0,24815.8,13900.5,14238.0,19425.6,9395.0,23978.2,16242.0,15383.4,17401.8,24622.0,16397.0,,15668.3,23154.7,,30095.2,41278.0,22154.7,22805.0,20356.4,-1525.0,-661.2,-780.5,-1439.0,-8575.0,,-868.7,3748.0,53515.7,-16505.3,19326.6,,-5276.7,6139.0,3020.8,-7894.5,-7557.0,-2369.4,-12400.0,2183.2,-5553.0,-6411.6,-4393.2,2827.0,-5398.0,,-6126.7,1359.7,,8300.2,19483.0,359.7,1010.0,-1438.6,True,True,True,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,True,True,True
Minnesota,11287,11910.0,15229.0,13135.6,11042.0,8658.0,,13280.0,23338.0,10321.6,6807.4,14358.6,,8098.7,16409.0,14434.1,7147.6,7818.0,10185.8,5707.5,13340.2,7959.0,11185.2,11233.9,13368.0,10786.0,,8660.4,14388.0,,11041.6,31342.1,10085.3,14665.0,14306.3,623.0,3942.0,1848.6,-245.0,-2629.0,,1993.0,12051.0,-965.4,-4479.6,3071.6,,-3188.3,5122.0,3147.1,-4139.4,-3469.0,-1101.2,-5579.5,2053.2,-3328.0,-101.8,-53.1,2081.0,-501.0,,-2626.6,3101.0,,-245.4,20055.1,-1201.7,3378.0,3019.3,False,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,,True,False,False,False,False
Mississippi,15254,12912.0,14827.3,12132.9,13273.0,10263.0,,14625.8,17559.0,13910.9,11629.4,7455.3,,12766.2,15559.0,14663.7,12809.5,13735.0,8909.4,12245.5,19369.0,16441.5,10197.2,11734.9,14650.0,13236.0,,12145.4,9782.5,,12268.2,20008.3,11636.5,13486.0,11943.4,-2342.0,-426.7,-3121.1,-1981.0,-4991.0,,-628.2,2305.0,-1343.1,-3624.6,-7798.7,,-2487.8,305.0,-590.3,-2444.5,-1519.0,-6344.6,-3008.5,4115.0,1187.5,-5056.8,-3519.1,-604.0,-2018.0,,-3108.6,-5471.5,,-2985.8,4754.3,-3617.5,-1768.0,-3310.6,True,False,True,False,,True,True,True,False,False,,False,True,True,False,True,False,False,False,True,False,False,True,True,,False,False,,False,False,False,True,False
Missouri,19839,17925.0,26654.8,17992.6,17925.0,14537.0,,19214.9,20713.0,17232.9,14137.0,13982.9,,15787.0,23224.0,20380.7,13723.6,18167.0,13501.3,15713.0,18946.0,16697.0,14053.5,15368.9,20174.0,21441.0,,17523.6,16003.5,,18120.7,31946.0,19803.3,18408.0,16212.5,-1914.0,6815.8,-1846.4,-1914.0,-5302.0,,-624.1,874.0,-2606.1,-5702.0,-5856.1,,-4052.0,3385.0,541.7,-6115.4,-1672.0,-6337.7,-4126.0,-893.0,-3142.0,-5785.5,-4470.1,335.0,1602.0,,-2315.4,-3835.5,,-1718.3,12107.0,-35.7,-1431.0,-3626.5,False,True,False,False,,True,True,False,False,False,,False,False,True,False,True,False,False,True,False,False,False,True,True,,False,False,,True,False,True,True,False
Montana,2511,2814.0,3980.2,2778.1,2615.0,2169.0,,3179.6,2132.0,2427.4,1796.7,3215.7,,2304.0,3693.0,3409.8,2262.3,2231.0,2401.2,1253.5,3025.1,2469.5,2084.7,2747.6,3277.0,2470.0,,3120.8,4240.1,,2581.0,5083.9,3009.1,3323.0,1808.1,303.0,1469.2,267.1,104.0,-342.0,,668.6,-379.0,-83.6,-714.3,704.7,,-207.0,1182.0,898.8,-248.7,-280.0,-109.8,-1257.5,514.1,-41.5,-426.3,236.6,766.0,-41.0,,609.8,1729.1,,70.0,2572.9,498.1,812.0,-702.9,False,True,True,False,,False,False,True,False,False,,True,False,False,True,True,True,False,False,True,False,True,False,True,,False,False,,True,False,False,False,False
Nebraska,6925,5922.0,3796.7,5715.9,5241.0,5106.0,,6297.5,6455.0,4946.2,3836.3,3946.0,,4418.4,7218.0,7190.2,3929.5,5365.0,5310.2,5041.5,5653.0,4415.5,4586.0,5233.6,6382.0,5856.0,,4809.2,9650.3,,6843.2,11865.8,5269.3,6096.0,4429.8,-1003.0,-3128.3,-1209.1,-1684.0,-1819.0,,-627.5,-470.0,-1978.8,-3088.7,-2979.0,,-2506.6,293.0,265.2,-2995.5,-1560.0,-1614.8,-1883.5,-1272.0,-2509.5,-2339.0,-1691.4,-543.0,-1069.0,,-2115.8,2725.3,,-81.8,4940.8,-1655.7,-829.0,-2495.2,False,False,False,False,,True,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,True,False,,False,False,,True,False,False,True,False
