,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,185751,127228.0,183467.2,124648.9,141557.0,172354.0,,98526.3,140971.0,202914.3,174044.7,,164483.2,112642.0,131866.6,125779.9,164559.0,68814.4,314866.0,140785.5,138797.5,147479.0,132668.7,137490.0,185250.0,,191455.0,77780.7,,136130.8,90294.8,,141610.0,135476.4,,-58523.0,-2283.8,-61102.1,-44194.0,-13397.0,,-87224.7,-44780.0,17163.3,-11706.3,,-21267.8,-73109.0,-53884.4,-59971.1,-21192.0,-116936.6,129115.0,-44965.5,-46953.5,-38272.0,-53082.3,-48261.0,-501.0,,5704.0,-107970.3,,-49620.2,-95456.2,,-44141.0,-50274.6,,True,False,True,True,,False,True,True,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,,True,False,,True,False,,True,True,
Hawaii,3443,2624.0,6844.8,2652.2,2621.0,2661.0,,2657.7,1879.0,2378.3,5820.1,,2755.0,,2817.1,2345.5,2724.0,4578.5,2570.0,2831.4,2413.0,3807.3,4108.6,3859.8,3854.0,,2449.7,2362.6,,1874.1,4513.2,,2547.0,2186.2,274.8,-819.0,3401.8,-790.8,-822.0,-782.0,,-785.3,-1564.0,-1064.7,2377.1,,-688.0,,-625.9,-1097.5,-719.0,1135.5,-873.0,-611.6,-1030.0,364.3,665.6,416.8,411.0,,-993.3,-1080.4,,-1568.9,1070.2,,-896.0,-1256.8,-3168.2,False,True,False,True,,True,False,False,False,,True,,True,False,True,False,False,True,False,True,True,True,True,,False,False,,False,False,,False,False,False
Idaho,32494,40180.0,56172.2,40227.3,39339.0,39357.0,,38462.7,31537.0,40994.8,28709.9,,37043.6,41048.0,49207.8,30988.9,38071.0,22852.9,36443.5,42964.4,35738.0,40590.8,38226.6,39207.2,47218.0,,40864.5,29521.2,,39436.9,59177.8,,38441.0,44255.0,5651.4,7686.0,23678.2,7733.3,6845.0,6863.0,,5968.7,-957.0,8500.8,-3784.1,,4549.6,8554.0,16713.8,-1505.1,5577.0,-9641.1,3949.5,10470.4,3244.0,8096.8,5732.6,6713.2,14724.0,,8370.5,-2972.8,,6942.9,26683.8,,5947.0,11761.0,-26842.6,False,False,True,True,,True,True,False,True,,True,False,False,True,True,False,True,False,True,False,True,True,False,,False,True,,True,False,,True,False,False
Illinois,195377,268156.0,265978.1,256987.9,248618.0,300389.0,,241565.6,257941.0,401448.6,179883.0,,214238.1,245043.0,267819.4,158199.6,252868.0,203555.6,274987.5,199290.7,230155.5,233119.5,235386.2,218064.1,286938.0,,267630.3,122929.0,,351152.5,426040.5,146990.8,213153.0,254911.2,,72779.0,70601.1,61610.9,53241.0,105012.0,,46188.6,62564.0,206071.6,-15494.0,,18861.1,49666.0,72442.4,-37177.4,57491.0,8178.6,79610.5,3913.7,34778.5,37742.5,40009.2,22687.1,91561.0,,72253.3,-72448.0,,155775.5,230663.5,-48386.2,17776.0,59534.2,,True,True,True,False,,True,True,False,True,,True,True,True,True,True,True,False,True,True,True,True,True,False,,True,True,,False,False,True,True,True,
Indiana,148071,184044.0,210458.8,190997.7,195775.0,183397.0,,177300.3,207913.0,218423.8,135988.3,,203599.6,176894.0,257849.2,133785.7,161297.0,106690.5,199037.5,198532.1,208184.0,199087.0,176735.6,180508.4,191944.0,,260622.9,101167.3,,249938.0,288434.0,117314.7,209694.0,246851.8,25963.1,35973.0,62387.8,42926.7,47704.0,35326.0,,29229.3,59842.0,70352.8,-12082.7,,55528.6,28823.0,109778.2,-14285.3,13226.0,-41380.5,50966.5,50461.1,60113.0,51016.0,28664.6,32437.4,43873.0,,112551.9,-46903.7,,101867.0,140363.0,-30756.3,61623.0,98780.8,-122107.9,False,False,False,True,,True,False,False,True,,False,True,False,True,True,False,False,False,False,False,True,True,False,,False,False,,False,False,True,False,False,False
Iowa,40510,64824.0,81910.1,65845.9,61726.0,45195.0,,60840.8,115796.0,87831.3,44911.7,,35070.3,68339.0,64891.1,26638.8,70533.0,35945.8,56076.5,33651.0,45143.0,48910.3,44158.8,40119.8,83203.0,,44298.1,31532.3,,64155.8,155744.6,,37080.0,71926.7,5377.8,24314.0,41400.1,25335.9,21216.0,4685.0,,20330.8,75286.0,47321.3,4401.7,,-5439.7,27829.0,24381.1,-13871.2,30023.0,-4564.2,15566.5,-6859.0,4633.0,8400.3,3648.8,-390.2,42693.0,,3788.1,-8977.7,,23645.8,115234.6,,-3430.0,31416.7,-35132.2,False,False,True,True,,True,False,False,True,,True,False,False,True,False,True,True,True,True,True,True,True,False,,True,True,,True,False,,True,False,False
Kansas,59006,63452.0,109821.9,62883.3,58613.0,52267.0,,71031.0,95643.0,42065.9,38053.4,,7102.6,58540.0,93641.2,48566.4,70103.0,37723.4,58081.0,43076.1,59395.0,48905.6,57398.8,61782.9,74615.0,,47064.4,71371.3,,63877.9,145941.7,,32489.0,59279.4,11133.4,4446.0,50815.9,3877.3,-393.0,-6739.0,,12025.0,36637.0,-16940.1,-20952.6,,-51903.4,-466.0,34635.2,-10439.6,11097.0,-21282.6,-925.0,-15929.9,389.0,-10100.4,-1607.2,2776.9,15609.0,,-11941.6,12365.3,,4871.9,86935.7,,-26517.0,273.4,-47872.6,False,True,True,False,,False,False,False,False,,False,True,False,False,False,False,True,False,True,False,True,True,False,,False,False,,False,False,,False,True,False
Kentucky,75906,95528.0,136130.7,95884.0,98553.0,96295.0,,94325.5,66022.0,112658.0,108455.7,,127329.9,86044.0,139805.4,102469.0,86194.0,53283.8,120308.5,131022.0,90274.0,97087.0,97647.0,101314.1,107992.0,,128504.7,91430.6,,114904.1,136015.1,,112794.0,108710.3,17180.9,19622.0,60224.7,19978.0,22647.0,20389.0,,18419.5,-9884.0,36752.0,32549.7,,51423.9,10138.0,63899.4,26563.0,10288.0,-22622.2,44402.5,55116.0,14368.0,21181.0,21741.0,25408.1,32086.0,,52598.7,15524.6,,38998.1,60109.1,,36888.0,32804.3,-58725.1,False,False,False,False,,True,True,False,False,,False,True,False,False,True,False,False,False,True,False,False,False,False,,False,True,,False,False,,False,False,False
Louisiana,68098,66300.0,68744.8,67105.1,73571.0,76272.0,,73212.1,76674.0,667278.3,179124.7,,73772.9,76680.0,99309.7,154876.3,69517.0,58529.9,76277.5,166298.7,55489.5,70023.4,106875.1,102453.3,99294.0,,47636.7,119561.1,,54651.2,119516.7,,68628.0,80050.7,11980.8,-1798.0,646.8,-992.9,5473.0,8174.0,,5114.1,8576.0,599180.3,111026.7,,5674.9,8582.0,31211.7,86778.3,1419.0,-9568.1,8179.5,98200.7,-12608.5,1925.4,38777.1,34355.3,31196.0,,-20461.3,51463.1,,-13446.8,51418.7,,530.0,11952.7,-56117.2,True,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,,True,False,False
Maine,12118,7356.0,7952.3,7263.6,8069.0,9594.0,,5672.8,10813.0,5222.4,36807.2,,3932.0,8604.0,8125.1,7194.0,9716.0,7688.8,6944.0,9129.8,8063.0,8608.4,7862.7,8211.5,15915.0,,10459.0,12779.5,,10869.2,9752.5,,8147.0,6862.9,987.3,-4762.0,-4165.7,-4854.4,-4049.0,-2524.0,,-6445.2,-1305.0,-6895.6,24689.2,,-8186.0,-3514.0,-3992.9,-4924.0,-2402.0,-4429.2,-5174.0,-2988.2,-4055.0,-3509.6,-4255.3,-3906.5,3797.0,,-1659.0,661.5,,-1248.8,-2365.5,,-3971.0,-5255.1,-11130.7,True,False,True,True,,False,True,False,False,,False,True,True,False,True,True,False,True,True,True,True,True,True,,True,True,,True,True,,True,False,False
Maryland,70787,71744.0,86222.2,71447.0,85740.0,94113.0,,70961.2,134005.0,109458.2,107609.2,,107450.2,63623.0,92450.8,68388.6,69339.0,72075.0,84862.0,99551.0,74711.5,89073.7,87209.9,88671.6,91387.0,,101894.7,80107.3,,92302.6,109956.2,,75462.0,88809.5,18374.6,957.0,15435.2,660.0,14953.0,23326.0,,174.2,63218.0,38671.2,36822.2,,36663.2,-7164.0,21663.8,-2398.4,-1448.0,1288.0,14075.0,28764.0,3924.5,18286.7,16422.9,17884.6,20600.0,,31107.7,9320.3,,21515.6,39169.2,,4675.0,18022.5,-52412.4,False,True,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Massachusetts,132164,118192.0,122014.4,121572.3,131353.0,186319.0,,103673.8,115615.0,107252.5,123347.8,,178599.1,118410.0,123293.2,135471.3,153508.0,111187.8,121768.0,197540.5,156894.5,152580.4,160566.7,161287.5,150160.0,,175046.2,106444.1,,147457.8,138317.8,,181993.0,153316.5,13454.1,-13972.0,-10149.6,-10591.7,-811.0,54155.0,,-28490.2,-16549.0,-24911.5,-8816.2,,46435.1,-13754.0,-8870.8,3307.3,21344.0,-20976.2,-10396.0,65376.5,24730.5,20416.4,28402.7,29123.5,17996.0,,42882.2,-25719.9,,15293.8,6153.8,,49829.0,21152.5,-118709.9,True,True,True,False,,False,False,False,True,,False,True,True,True,False,False,True,False,False,False,False,False,False,,False,False,,False,True,,False,False,False
Michigan,111545,193696.0,236801.0,187612.9,195778.0,162570.0,,215166.0,227599.0,346055.5,138467.1,,212143.7,213379.0,261047.3,169865.4,190562.0,167886.9,258706.0,207289.6,151749.5,172261.2,184869.2,185046.3,200225.0,,151365.4,150806.0,,218828.1,373048.5,153560.8,136370.0,234159.9,31342.4,82151.0,125256.0,76067.9,84233.0,51025.0,,103621.0,116054.0,234510.5,26922.1,,100598.7,101834.0,149502.3,58320.4,79017.0,56341.9,147161.0,95744.6,40204.5,60716.2,73324.2,73501.3,88680.0,,39820.4,39261.0,,107283.1,261503.5,42015.8,24825.0,122614.9,-80202.6,False,True,False,True,,False,False,False,True,,False,False,False,True,True,True,False,False,True,True,True,True,False,,True,True,,False,False,True,True,False,True
Minnesota,72551,165032.0,156955.3,170593.1,159298.0,158297.0,,169155.4,340247.0,161789.0,140963.0,,137312.7,176320.0,213460.0,103361.8,156783.0,78122.6,156126.0,126182.6,96062.5,132321.5,154167.9,150847.2,173764.0,,135039.4,92478.8,,186114.9,314651.9,,150087.0,223847.1,29946.3,92481.0,84404.3,98042.1,86747.0,85746.0,,96604.4,267696.0,89238.0,68412.0,,64761.7,103769.0,140909.0,30810.8,84232.0,5571.6,83575.0,53631.6,23511.5,59770.5,81616.9,78296.2,101213.0,,62488.4,19927.8,,113563.9,242100.9,,77536.0,151296.1,-42604.7,True,False,True,True,,False,False,True,True,,True,False,False,True,True,True,True,True,True,True,True,True,False,,True,True,,False,False,,True,False,True
Mississippi,56819,54072.0,43205.6,53008.9,55464.0,49228.0,,44339.8,47808.0,69065.4,68580.4,,83893.2,53701.0,63748.3,70601.4,64444.0,27667.0,56039.0,57364.9,57216.5,56747.1,59742.5,60264.6,73231.0,,65674.6,23273.1,,40783.8,54042.2,,76762.0,57603.5,8523.7,-2747.0,-13613.4,-3810.1,-1355.0,-7591.0,,-12479.2,-9011.0,12246.4,11761.4,,27074.2,-3118.0,6929.3,13782.4,7625.0,-29152.0,-780.0,545.9,397.5,-71.9,2923.5,3445.6,16412.0,,8855.6,-33545.9,,-16035.2,-2776.8,,19943.0,784.5,-48295.3,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,True,True,True,True,False,False,False,,False,False,,False,False,,False,True,False
Missouri,84547,105972.0,193060.9,104539.1,107666.0,96696.0,,107355.5,174108.0,131292.0,75428.1,,106818.9,106317.0,137886.7,50630.1,114058.0,56214.4,140329.5,87229.8,101830.5,111415.8,95899.8,95438.1,131654.0,,,60821.8,,111040.5,186799.1,,97224.0,105794.6,,21425.0,108513.9,19992.1,23119.0,12149.0,,22808.5,89561.0,46745.0,-9118.9,,22271.9,21770.0,53339.7,-33916.9,29511.0,-28332.6,55782.5,2682.8,17283.5,26868.8,11352.8,10891.1,47107.0,,,-23725.2,,26493.5,102252.1,,12677.0,21247.6,,False,True,False,True,,False,False,False,True,,False,False,False,False,False,False,False,True,True,False,True,True,False,,,False,,False,False,,True,True,
Montana,14875,24896.0,15603.4,22801.6,19631.0,13938.0,,23821.3,14368.0,16533.0,10624.6,,16805.4,27637.0,37247.3,17881.8,27785.0,9526.1,22028.5,17414.4,18347.0,23375.3,29636.1,27323.1,29049.0,,19710.1,22655.9,,17370.2,47308.4,,18674.0,25907.3,4126.5,10021.0,728.4,7926.6,4756.0,-937.0,,8946.3,-507.0,1658.0,-4250.4,,1930.4,12762.0,22372.3,3006.8,12910.0,-5348.9,7153.5,2539.4,3472.0,8500.3,14761.1,12448.1,14174.0,,4835.1,7780.9,,2495.2,32433.4,,3799.0,11032.3,-10748.5,True,True,True,True,,True,True,True,True,,True,False,False,True,False,True,True,True,True,True,False,False,False,,True,True,,True,False,,True,False,False
Nebraska,29694,52980.0,78214.8,51905.0,51662.0,54412.0,,51972.8,56220.0,59113.4,30055.6,,42750.0,56555.0,47088.4,31719.7,58601.0,32403.5,42649.0,43129.5,51492.5,47402.8,57624.2,55227.9,61505.0,,62993.3,60617.4,,44694.4,101652.3,,51658.0,62512.3,6413.5,23286.0,48520.8,22211.0,21968.0,24718.0,,22278.8,26526.0,29419.4,361.6,,13056.0,26861.0,17394.4,2025.7,28907.0,2709.5,12955.0,13435.5,21798.5,17708.8,27930.2,25533.9,31811.0,,33299.3,30923.4,,15000.4,71958.3,,21964.0,32818.3,-23280.5,False,True,True,False,,True,False,False,True,,True,False,True,True,False,True,True,True,True,True,False,False,False,,False,False,,True,False,,True,False,True
Nevada,63243,65596.0,93313.0,68753.2,75264.0,52065.0,,73579.7,93008.0,92274.7,83430.3,,99799.9,63761.0,97955.4,82367.9,67765.0,52011.1,83221.0,122438.8,75465.0,77778.4,68129.0,74737.4,69435.0,,78773.8,85900.7,,65779.6,131819.5,,61661.0,116029.1,19126.5,2353.0,30070.0,5510.2,12021.0,-11178.0,,10336.7,29765.0,29031.7,20187.3,,36556.9,518.0,34712.4,19124.9,4522.0,-11231.9,19978.0,59195.8,12222.0,14535.4,4886.0,11494.4,6192.0,,15530.8,22657.7,,2536.6,68576.5,,-1582.0,52786.1,-44116.5,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,True,False,False
