,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,343,298.0,,302.4,,310.0,131.0,,,,,342.5,325.5,,,479.0,,204.0,168.1,333.5,,322.0,324.0,,341.0,416.0,336.3,,,,,211.2,245.3,,,,351.7,-45.0,,-40.6,,-33.0,-212.0,,,,,-0.5,-17.5,,,136.0,,-139.0,-174.9,-9.5,,-21.0,-19.0,,-2.0,73.0,-6.7,,,,,-131.8,-97.7,,,,8.7,,True,,True,False,,,,,True,True,,,False,,False,False,True,,True,True,,True,False,True,,,,,False,False,,,,True
01023,19,40.0,,39.5,,33.0,22.0,,,,,49.3,45.1,,,152.0,,29.8,24.4,,,30.0,34.8,,60.0,84.0,28.3,,,,,,61.9,,,,32.3,21.0,,20.5,,14.0,3.0,,,,,30.3,26.1,,,133.0,,10.8,5.4,,,11.0,15.8,,41.0,65.0,9.3,,,,,,42.9,,,,13.3,,True,,True,True,,,,,False,False,,,False,,True,True,,,True,True,,False,False,True,,,,,,False,,,,True
01025,264,282.0,,272.5,,308.0,278.0,,,,,252.2,193.9,,,258.0,,7105.1,220.0,,,338.0,314.7,,700.0,355.0,580.7,,,,,190.5,202.5,,,,543.2,18.0,,8.5,,44.0,14.0,,,,,-11.8,-70.1,,,-6.0,,6841.1,-44.0,,,74.0,50.7,,436.0,91.0,316.7,,,,,-73.5,-61.5,,,,279.2,,True,,False,True,,,,,True,False,,,True,,False,False,,,False,False,,False,False,False,,,,,False,False,,,,False
01027,106,108.0,,109.4,,108.0,88.0,,,,,110.7,100.7,,,143.0,,33.8,51.8,,,85.0,109.7,,103.0,131.0,138.8,,,,,,102.8,,,,114.7,2.0,,3.4,,2.0,-18.0,,,,,4.7,-5.3,,,37.0,,-72.2,-54.2,,,-21.0,3.7,,-3.0,25.0,32.8,,,,,,-3.2,,,,8.7,,False,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,False,,,,,,False,,,,False
01029,103,130.0,,112.7,,126.0,10.0,,,,,105.4,69.1,,,172.0,,109.3,60.7,,,102.0,131.2,,159.0,150.0,139.1,,,,,,146.8,,,,90.6,27.0,,9.7,,23.0,-93.0,,,,,2.4,-33.9,,,69.0,,6.3,-42.3,,,-1.0,28.2,,56.0,47.0,36.1,,,,,,43.8,,,,-12.4,,True,,True,False,,,,,True,False,,,False,,True,False,,,True,False,,False,False,False,,,,,,False,,,,True
01031,523,538.0,,544.5,,534.0,518.0,,,,,477.3,439.0,,,422.0,,547.8,268.2,543.5,,573.0,527.0,,643.0,597.0,559.6,,,,,476.6,516.8,,,,439.9,15.0,,21.5,,11.0,-5.0,,,,,-45.7,-84.0,,,-101.0,,24.8,-254.8,20.5,,50.0,4.0,,120.0,74.0,36.6,,,,,-46.4,-6.2,,,,-83.1,,False,,True,True,,,,,False,False,,,False,,False,False,False,,False,True,,False,False,False,,,,,False,True,,,,False
01033,640,568.0,,608.1,,533.0,446.0,,,,,512.2,567.8,,,717.0,,466.4,310.2,648.0,,529.0,523.5,,686.0,629.0,630.7,,,,,557.9,522.4,,,,526.1,-72.0,,-31.9,,-107.0,-194.0,,,,,-127.8,-72.2,,,77.0,,-173.6,-329.8,8.0,,-111.0,-116.5,,46.0,-11.0,-9.3,,,,,-82.1,-117.6,,,,-113.9,,True,,False,False,,,,,False,False,,,False,,False,False,True,,False,False,,True,True,True,,,,,False,False,,,,False
01035,62,58.0,,63.0,,86.0,95.0,,,,,82.4,70.2,,,107.0,,16.3,51.3,,,84.0,65.5,,78.0,96.0,106.4,,,,,,72.9,,,,57.8,-4.0,,1.0,,24.0,33.0,,,,,20.4,8.2,,,45.0,,-45.7,-10.7,,,22.0,3.5,,16.0,34.0,44.4,,,,,,10.9,,,,-4.2,,True,,False,False,,,,,False,False,,,False,,False,False,,,False,True,,False,False,False,,,,,,False,,,,False
01037,69,48.0,,44.1,,48.0,51.0,,,,,46.1,48.8,,,85.0,,23.7,60.3,,,16.0,45.7,,68.0,71.0,91.4,,,,,,65.7,,,,41.1,-21.0,,-24.9,,-21.0,-18.0,,,,,-22.9,-20.2,,,16.0,,-45.3,-8.7,,,-53.0,-23.3,,-1.0,2.0,22.4,,,,,,-3.3,,,,-27.9,,False,,False,True,,,,,False,True,,,True,,False,True,,,False,False,,True,True,False,,,,,,True,,,,False
01039,252,364.0,,390.3,,325.0,132.0,,,,,295.2,225.1,,,335.0,,289.3,213.0,346.5,,313.0,322.3,,445.0,418.0,362.9,,,,,285.2,302.9,,,,361.8,112.0,,138.3,,73.0,-120.0,,,,,43.2,-26.9,,,83.0,,37.3,-39.0,94.5,,61.0,70.3,,193.0,166.0,110.9,,,,,33.2,50.9,,,,109.8,,False,,True,False,,,,,True,True,,,True,,True,True,True,,True,True,,False,False,True,,,,,True,True,,,,True
01041,134,116.0,,130.2,,117.0,63.0,,,,,107.4,106.2,,,111.0,,138.2,58.9,,,147.0,123.7,,123.0,140.0,81.1,,,,,,127.2,,,,84.0,-18.0,,-3.8,,-17.0,-71.0,,,,,-26.6,-27.8,,,-23.0,,4.2,-75.1,,,13.0,-10.3,,-11.0,6.0,-52.9,,,,,,-6.8,,,,-50.0,,True,,True,False,,,,,False,False,,,False,,True,False,,,True,True,,True,True,False,,,,,,True,,,,False
01043,1001,1216.0,,1302.8,,1087.0,1026.0,,,,,773.1,1070.3,,,1210.0,,776.8,758.3,1340.0,,1067.0,1042.1,,1417.0,1181.0,1117.2,,,,,1086.6,969.5,,,,1766.4,215.0,,301.8,,86.0,25.0,,,,,-227.9,69.3,,,209.0,,-224.2,-242.7,339.0,,66.0,41.1,,416.0,180.0,116.2,,,,,85.6,-31.5,,,,765.4,,False,,True,True,,,,,False,True,,,True,,False,False,False,,True,True,,False,True,True,,,,,True,True,,,,False
01045,414,484.0,,489.6,,485.0,471.0,,,,,388.3,486.8,,,431.0,,626.4,303.9,473.5,,613.0,496.2,,672.0,525.0,437.0,,,,,356.1,435.4,,,,595.7,70.0,,75.6,,71.0,57.0,,,,,-25.7,72.8,,,17.0,,212.4,-110.1,59.5,,199.0,82.2,,258.0,111.0,23.0,,,,,-57.9,21.4,,,,181.7,,False,,False,True,,,,,True,False,,,True,,False,False,True,,False,False,,False,False,True,,,,,True,True,,,,False
01047,238,214.0,,212.5,,215.0,120.0,,,,,252.5,231.1,,,328.0,,117.7,170.1,215.5,,133.0,224.5,,261.0,279.0,285.0,,,,,207.3,191.0,,,,237.0,-24.0,,-25.5,,-23.0,-118.0,,,,,14.5,-6.9,,,90.0,,-120.3,-67.9,-22.5,,-105.0,-13.5,,23.0,41.0,47.0,,,,,-30.7,-47.0,,,,-1.0,,False,,True,False,,,,,True,True,,,False,,False,False,True,,False,True,,True,False,False,,,,,False,False,,,,True
01049,644,1150.0,,1174.2,,1057.0,1047.0,,,,,784.9,858.8,,,1129.0,,917.2,662.2,1077.0,,988.0,1062.6,,1330.0,1107.0,1004.9,,,,,1104.2,602.1,,,,1412.2,506.0,,530.2,,413.0,403.0,,,,,140.9,214.8,,,485.0,,273.2,18.2,433.0,,344.0,418.6,,686.0,463.0,360.9,,,,,460.2,-41.9,,,,768.2,,False,,True,True,,,,,True,True,,,True,,True,True,True,,True,True,,False,True,True,,,,,True,True,,,,False
01051,1153,1126.0,,1132.8,,1039.0,1013.0,,,,,903.8,1352.1,,,653.0,,897.0,662.7,1019.0,,1391.0,1194.0,,1391.0,1141.0,989.1,,,,,1030.2,920.8,,,,998.7,-27.0,,-20.2,,-114.0,-140.0,,,,,-249.2,199.1,,,-500.0,,-256.0,-490.3,-134.0,,238.0,41.0,,238.0,-12.0,-163.9,,,,,-122.8,-232.2,,,,-154.3,,True,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,True,False,,,,,False,False,,,,False
01053,334,242.0,,227.3,,259.0,22.0,,,,,243.4,208.7,,,364.0,,159.4,200.5,260.0,,339.0,254.2,,371.0,307.0,298.3,,,,,205.1,216.7,,,,183.8,-92.0,,-106.7,,-75.0,-312.0,,,,,-90.6,-125.3,,,30.0,,-174.6,-133.5,-74.0,,5.0,-79.8,,37.0,-27.0,-35.7,,,,,-128.9,-117.3,,,,-150.2,,False,,True,False,,,,,True,False,,,True,,False,False,True,,True,True,,True,True,True,,,,,False,False,,,,False
01055,1442,1808.0,,1916.8,,1557.0,1572.0,,,,,1338.9,1650.0,,,1372.0,,842.1,1025.6,1709.5,,1584.0,1771.5,,2073.0,1713.0,1419.1,,,,,1459.3,1784.2,,,,2205.5,366.0,,474.8,,115.0,130.0,,,,,-103.1,208.0,,,-70.0,,-599.9,-416.4,267.5,,142.0,329.5,,631.0,271.0,-22.9,,,,,17.3,342.2,,,,763.5,,False,,True,True,,,,,True,True,,,True,,False,False,True,,True,True,,False,True,True,,,,,True,True,,,,False
01057,162,268.0,,267.9,,216.0,149.0,,,,,186.8,217.4,,,198.0,,130.0,141.9,,,258.0,228.7,,316.0,246.0,210.6,,,,,,216.1,,,,321.8,106.0,,105.9,,54.0,-13.0,,,,,24.8,55.4,,,36.0,,-32.0,-20.1,,,96.0,66.7,,154.0,84.0,48.6,,,,,,54.1,,,,159.8,,True,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,False,True,True,,,,,,True,,,,False
01059,306,326.0,,332.9,,312.0,100.0,,,,,336.9,304.2,,,504.0,,202.1,174.4,338.0,,291.0,303.5,,377.0,386.0,372.5,,,,,225.9,293.3,,,,286.5,20.0,,26.9,,6.0,-206.0,,,,,30.9,-1.8,,,198.0,,-103.9,-131.6,32.0,,-15.0,-2.5,,71.0,80.0,66.5,,,,,-80.1,-12.7,,,,-19.5,,False,,True,False,,,,,False,True,,,False,,False,False,False,,True,True,,False,False,False,,,,,False,True,,,,True
01061,237,170.0,,166.6,,169.0,141.0,,,,,173.1,150.8,,,251.0,,121.7,114.9,,,159.0,171.2,,201.0,232.0,198.7,,,,,,199.1,,,,145.4,-67.0,,-70.4,,-68.0,-96.0,,,,,-63.9,-86.2,,,14.0,,-115.3,-122.1,,,-78.0,-65.8,,-36.0,-5.0,-38.3,,,,,,-37.9,,,,-91.6,,False,,False,False,,,,,True,False,,,True,,False,False,,,False,True,,True,True,True,,,,,,True,,,,False
01063,99,78.0,,82.1,,79.0,0.0,,,,,77.5,92.8,,,71.0,,113.9,59.3,,,79.0,92.3,,152.0,91.0,59.0,,,,,,72.4,,,,71.2,-21.0,,-16.9,,-20.0,-99.0,,,,,-21.5,-6.2,,,-28.0,,14.9,-39.7,,,-20.0,-6.7,,53.0,-8.0,-40.0,,,,,,-26.6,,,,-27.8,,True,,True,False,,,,,False,True,,,False,,True,False,,,True,True,,False,True,False,,,,,,False,,,,False
01065,237,276.0,,284.5,,251.0,61.0,,,,,182.0,213.2,,,151.0,,325.9,110.3,,,338.0,243.5,,341.0,225.0,344.8,,,,,,144.4,,,,266.7,39.0,,47.5,,14.0,-176.0,,,,,-55.0,-23.8,,,-86.0,,88.9,-126.7,,,101.0,6.5,,104.0,-12.0,107.8,,,,,,-92.6,,,,29.7,,False,,True,False,,,,,False,True,,,False,,False,False,,,False,True,,False,True,False,,,,,,False,,,,True
01067,203,194.0,,190.8,,171.0,3.0,,,,,146.9,194.8,,,139.0,,168.8,88.9,,,311.0,173.0,,261.0,199.0,155.6,,,,,,160.2,,,,163.5,-9.0,,-12.2,,-32.0,-200.0,,,,,-56.1,-8.2,,,-64.0,,-34.2,-114.1,,,108.0,-30.0,,58.0,-4.0,-47.4,,,,,,-42.8,,,,-39.5,,False,,False,False,,,,,False,True,,,False,,False,False,,,False,False,,False,True,False,,,,,,False,,,,False
01069,927,1006.0,,1047.7,,960.0,967.0,,,,,776.6,1004.8,,,803.0,,627.1,513.4,944.5,,930.0,988.4,,1237.0,1117.0,992.6,,,,,803.3,881.2,,,,644.3,79.0,,120.7,,33.0,40.0,,,,,-150.4,77.8,,,-124.0,,-299.9,-413.6,17.5,,3.0,61.4,,310.0,190.0,65.6,,,,,-123.7,-45.8,,,,-282.7,,False,,True,True,,,,,False,True,,,False,,False,False,True,,True,True,,False,False,True,,,,,False,True,,,,False
01071,576,670.0,,600.6,,657.0,403.0,,,,,603.6,497.8,,,811.0,,313.6,441.6,964.0,,455.0,599.9,,826.0,687.0,759.6,,,,,797.0,587.1,,,,1179.7,94.0,,24.6,,81.0,-173.0,,,,,27.6,-78.2,,,235.0,,-262.4,-134.4,388.0,,-121.0,23.9,,250.0,111.0,183.6,,,,,221.0,11.1,,,,603.7,,True,,True,False,,,,,True,True,,,False,,False,False,False,,False,True,,False,False,False,,,,,False,True,,,,False
01073,8529,9720.0,,9719.8,9088.8,9460.0,9545.0,,,,,7330.6,13646.6,,12279.7,7392.0,,8559.2,4851.7,10017.0,,10802.0,9274.8,,11200.0,9000.0,7588.7,,,,,9586.4,7075.5,10961.0,,,6018.7,1191.0,,1190.8,559.8,931.0,1016.0,,,,,-1198.4,5117.6,,3750.7,-1137.0,,30.2,-3677.3,1488.0,,2273.0,745.8,,2671.0,471.0,-940.3,,,,,1057.4,-1453.5,2432.0,,,-2510.3,,True,True,True,True,,,,,False,False,,False,True,,True,False,False,,False,True,,False,True,True,,,,,True,False,False,,,False
01075,128,200.0,,195.9,,171.0,136.0,,,,,162.4,159.4,,,147.0,,245.8,99.6,,,188.0,156.6,,266.0,191.0,175.4,,,,,,155.8,,,,271.9,72.0,,67.9,,43.0,8.0,,,,,34.4,31.4,,,19.0,,117.8,-28.4,,,60.0,28.6,,138.0,63.0,47.4,,,,,,27.8,,,,143.9,,True,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,False,True,True,,,,,,True,,,,False
01077,1091,1052.0,,1077.7,,939.0,915.0,,,,,785.5,1169.5,,,1232.0,,589.0,631.8,988.5,,868.0,985.1,,1166.0,1091.0,944.6,,,,,828.3,941.1,,,,999.5,-39.0,,-13.3,,-152.0,-176.0,,,,,-305.5,78.5,,,141.0,,-502.0,-459.2,-102.5,,-223.0,-105.9,,75.0,0.0,-146.4,,,,,-262.7,-149.9,,,,-91.5,,True,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,True,False,,,,,False,False,,,,False
01079,363,340.0,,340.2,,331.0,311.0,,,,,305.6,378.1,,,510.0,,310.7,190.1,328.0,,324.0,353.4,,408.0,368.0,314.8,,,,,,257.3,,,,353.3,-23.0,,-22.8,,-32.0,-52.0,,,,,-57.4,15.1,,,147.0,,-52.3,-172.9,-35.0,,-39.0,-9.6,,45.0,5.0,-48.2,,,,,,-105.7,,,,-9.7,,True,,False,False,,,,,False,True,,,False,,False,False,False,,False,True,,False,True,False,,,,,,False,,,,True
01081,1225,1216.0,,1196.9,,1295.0,1374.0,,,,,1111.5,1421.4,,1698.4,1122.0,,1569.4,774.8,1158.0,,1439.5,1324.0,,1571.0,1427.0,1591.1,,,,,858.5,983.3,1125.0,,,1328.1,-9.0,,-28.1,,70.0,149.0,,,,,-113.5,196.4,,473.4,-103.0,,344.4,-450.2,-67.0,,214.5,99.0,,346.0,202.0,366.1,,,,,-366.5,-241.7,-100.0,,,103.1,,False,,False,False,,,,,False,False,,False,False,,False,False,False,,False,False,,False,False,False,,,,,False,False,False,,,False
01083,1069,1358.0,,1286.6,,1253.0,1248.0,,,,,969.0,1490.6,,,1159.0,,1181.0,785.2,1289.0,,1451.5,1329.0,,1622.0,1332.0,956.9,,,,,1182.3,995.0,,,,1226.5,289.0,,217.6,,184.0,179.0,,,,,-100.0,421.6,,,90.0,,112.0,-283.8,220.0,,382.5,260.0,,553.0,263.0,-112.1,,,,,113.3,-74.0,,,,157.5,,True,,True,True,,,,,True,False,,,True,,True,True,True,,False,True,,False,True,True,,,,,True,True,,,,True
01085,63,76.0,,70.7,,63.0,0.0,,,,,96.8,56.9,,,59.0,,35.9,47.4,,,63.0,67.2,,80.0,96.0,71.4,,,,,,75.0,,,,77.9,13.0,,7.7,,0.0,-63.0,,,,,33.8,-6.1,,,-4.0,,-27.1,-15.6,,,0.0,4.2,,17.0,33.0,8.4,,,,,,12.0,,,,14.9,,True,,True,False,,,,,False,True,,,True,,False,False,,,True,True,,False,False,True,,,,,,True,,,,False
01087,114,118.0,,117.4,,115.0,127.0,,,,,100.6,99.7,,,113.0,,103.0,78.7,,,94.0,117.1,,145.0,151.0,122.9,,,,,,117.3,,,,114.4,4.0,,3.4,,1.0,13.0,,,,,-13.4,-14.3,,,-1.0,,-11.0,-35.3,,,-20.0,3.1,,31.0,37.0,8.9,,,,,,3.3,,,,0.4,,True,,True,False,,,,,False,False,,,True,,False,False,,,False,True,,False,False,False,,,,,,True,,,,True
