,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,102822,88520.0,113549.4,86267.7,97007.0,84606.0,,96390.8,74638.0,87260.8,113597.0,,113664.8,95483.0,102855.6,100819.3,99087.0,57754.3,68909.0,129968.4,117724.5,103902.2,108596.6,112732.0,103004.0,,112662.6,67043.0,,77039.1,82334.3,83322.9,65124.7,91401.0,92554.1,,-14302.0,10727.4,-16554.3,-5815.0,-18216.0,,-6431.2,-28184.0,-15561.2,10775.0,,10842.8,-7339.0,33.6,-2002.7,-3735.0,-45067.7,-33913.0,27146.4,14902.5,1080.2,5774.6,9910.0,182.0,,9840.6,-35779.0,,-25782.9,-20487.7,-19499.1,-37697.3,-11421.0,-10267.9,,True,False,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,False,True,True,True,True,,True,False,,False,False,False,False,True,True,
Hawaii,1806,1728.0,704.6,1722.8,1816.0,1897.0,,1803.3,913.0,1883.9,1990.2,,2442.0,,1757.6,1955.8,1696.0,3463.1,1726.0,1558.3,1749.5,2420.6,2020.0,2026.0,2522.0,,2116.8,1390.1,,1407.7,1589.8,2030.0,2132.0,2208.0,1799.8,1722.3,-78.0,-1101.4,-83.2,10.0,91.0,,-2.7,-893.0,77.9,184.2,,636.0,,-48.4,149.8,-110.0,1657.1,-80.0,-247.7,-56.5,614.6,214.0,220.0,716.0,,310.8,-415.9,,-398.3,-216.2,224.0,326.0,402.0,-6.2,-83.7,False,False,True,False,,True,False,True,False,,False,,True,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,True,False
Idaho,13130,16874.0,18189.7,16811.7,16960.0,14422.0,,18323.0,13076.0,23263.9,20143.4,,15854.1,17405.0,21420.5,13447.7,16726.0,12677.5,17664.0,19011.1,14599.0,16410.2,17811.2,20380.0,16965.0,,16465.1,15974.7,,14499.9,23014.5,13461.6,19592.9,13451.0,21958.2,23094.0,3744.0,5059.7,3681.7,3830.0,1292.0,,5193.0,-54.0,10133.9,7013.4,,2724.1,4275.0,8290.5,317.7,3596.0,-452.5,4534.0,5881.1,1469.0,3280.2,4681.2,7250.0,3835.0,,3335.1,2844.7,,1369.9,9884.5,331.6,6462.9,321.0,8828.2,9964.0,False,True,False,True,,False,True,False,False,,True,False,False,True,True,True,False,False,True,True,False,False,False,,True,True,,True,False,True,False,True,False,False
Illinois,80985,105358.0,93292.6,107265.4,94114.0,85353.0,,100525.6,78302.0,80431.8,136069.2,,89497.5,110812.0,130628.9,72422.7,92808.0,77012.4,100202.0,96069.3,75658.5,92316.4,100852.4,109335.0,98005.0,,96143.1,66601.2,,103940.1,128438.4,103246.1,85804.3,95954.0,110909.8,,24373.0,12307.6,26280.4,13129.0,4368.0,,19540.6,-2683.0,-553.2,55084.2,,8512.5,29827.0,49643.9,-8562.3,11823.0,-3972.6,19217.0,15084.3,-5326.5,11331.4,19867.4,28350.0,17020.0,,15158.1,-14383.8,,22955.1,47453.4,22261.1,4819.3,14969.0,29924.8,,True,False,True,True,,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,True,False,True,True,True,False,
Indiana,65219,76670.0,81998.0,78685.5,75837.0,62677.0,,81077.4,58660.0,70736.9,99828.2,,75837.2,84722.0,102349.0,54211.8,86883.0,49782.6,85255.5,79029.1,64876.5,72351.5,83369.1,86372.0,68855.0,,76204.3,62523.8,,92140.1,97662.9,67157.4,73003.8,74285.0,99562.3,95867.2,11451.0,16779.0,13466.5,10618.0,-2542.0,,15858.4,-6559.0,5517.9,34609.2,,10618.2,19503.0,37130.0,-11007.2,21664.0,-15436.4,20036.5,13810.1,-342.5,7132.5,18150.1,21153.0,3636.0,,10985.3,-2695.2,,26921.1,32443.9,1938.4,7784.8,9066.0,34343.3,30648.2,False,False,True,True,,False,True,True,False,,True,False,False,True,False,False,False,False,True,True,False,False,True,,True,True,,False,False,True,True,True,False,False
Iowa,16936,23900.0,30073.4,22255.9,18374.0,18283.0,,18911.6,12001.0,16438.6,27512.7,,16427.1,24964.0,28175.8,9238.1,23754.0,18817.3,14786.5,14872.6,14010.0,18467.4,19809.5,23890.0,26767.0,,16678.2,10395.3,,26968.7,37541.7,26051.6,37867.1,20976.0,27702.7,15667.0,6964.0,13137.4,5319.9,1438.0,1347.0,,1975.6,-4935.0,-497.4,10576.7,,-508.9,8028.0,11239.8,-7697.9,6818.0,1881.3,-2149.5,-2063.4,-2926.0,1531.4,2873.5,6954.0,9831.0,,-257.8,-6540.7,,10032.7,20605.7,9115.6,20931.1,4040.0,10766.7,-1269.0,False,True,True,True,,True,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,False,,True,True,,False,False,False,False,True,False,True
Kansas,26694,30378.0,33258.9,30176.4,27574.0,24162.0,,28905.6,24015.0,11311.0,30292.4,,20829.4,28317.0,34909.3,25994.1,32615.0,20820.3,21004.5,27408.9,14994.5,23647.9,32442.7,37744.0,26097.0,,23252.2,20720.3,,31311.2,40669.5,28122.8,34455.4,28138.0,34327.2,30651.4,3684.0,6564.9,3482.4,880.0,-2532.0,,2211.6,-2679.0,-15383.0,3598.4,,-5864.6,1623.0,8215.3,-699.9,5921.0,-5873.7,-5689.5,714.9,-11699.5,-3046.1,5748.7,11050.0,-597.0,,-3441.8,-5973.7,,4617.2,13975.5,1428.8,7761.4,1444.0,7633.2,3957.4,False,True,True,True,,True,True,False,True,,False,True,False,True,False,False,False,True,False,True,False,False,True,,True,False,,False,False,True,False,True,False,False
Kentucky,33407,39808.0,40239.7,39849.5,39824.0,35219.0,,42859.5,39968.0,43354.7,51310.0,,38156.1,43336.0,50839.3,42844.0,41502.0,26606.2,45179.5,39705.7,30853.0,34103.7,45583.8,49122.0,36535.0,,33101.7,45619.2,,38330.9,52528.0,38588.0,44993.9,39139.0,48229.1,46786.4,6401.0,6832.7,6442.5,6417.0,1812.0,,9452.5,6561.0,9947.7,17903.0,,4749.1,9929.0,17432.3,9437.0,8095.0,-6800.8,11772.5,6298.7,-2554.0,696.7,12176.8,15715.0,3128.0,,-305.3,12212.2,,4923.9,19121.0,5181.0,11586.9,5732.0,14822.1,13379.4,False,False,False,True,,False,False,False,False,,True,False,False,False,False,False,False,True,True,True,False,False,True,,True,False,,True,False,True,False,True,False,False
Louisiana,32841,36486.0,38610.0,36268.5,36726.0,37510.0,,36277.0,41928.0,296953.2,34821.9,,37550.9,37031.0,38564.7,28676.8,40671.0,28398.5,33999.0,44524.7,26843.0,32070.8,40472.3,42604.0,41049.0,,34544.2,58954.0,,33759.0,38671.7,33445.7,31101.0,31237.0,43174.8,42037.3,3645.0,5769.0,3427.5,3885.0,4669.0,,3436.0,9087.0,264112.2,1980.9,,4709.9,4190.0,5723.7,-4164.2,7830.0,-4442.5,1158.0,11683.7,-5998.0,-770.2,7631.3,9763.0,8208.0,,1703.2,26113.0,,918.0,5830.7,604.7,-1740.0,-1604.0,10333.8,9196.3,False,True,False,False,,True,False,False,True,,False,False,False,False,False,False,True,False,False,True,False,False,False,,True,False,,True,False,True,True,True,False,False
Maine,6507,6236.0,4365.1,6235.9,6865.0,6508.0,,6468.9,5490.0,3254.6,9487.4,,8128.9,6510.0,8200.2,10626.0,7552.0,7639.2,5939.0,9028.1,7376.5,5962.3,7405.4,8416.0,7817.0,,6731.1,7099.0,,6865.9,5263.6,5352.3,8734.7,7504.0,6964.5,10477.1,-271.0,-2141.9,-271.1,358.0,1.0,,-38.1,-1017.0,-3252.4,2980.4,,1621.9,3.0,1693.2,4119.0,1045.0,1132.2,-568.0,2521.1,869.5,-544.7,898.4,1909.0,1310.0,,224.1,592.0,,358.9,-1243.4,-1154.7,2227.7,997.0,457.5,3970.1,False,False,False,True,,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False
Maryland,34417,33490.0,39068.1,33666.5,35450.0,27613.0,,37230.1,40311.0,38896.8,42748.0,,32334.0,36277.0,41003.0,33127.6,39288.0,32423.9,39103.0,35379.6,27715.5,29238.5,38000.7,40525.0,36453.0,,30471.0,48335.2,,37120.6,44824.6,30101.2,28808.9,33191.0,42617.9,49961.6,-927.0,4651.1,-750.5,1033.0,-6804.0,,2813.1,5894.0,4479.8,8331.0,,-2083.0,1860.0,6586.0,-1289.4,4871.0,-1993.1,4686.0,962.6,-6701.5,-5178.5,3583.7,6108.0,2036.0,,-3946.0,13918.2,,2703.6,10407.6,-4315.8,-5608.1,-1226.0,8200.9,15544.6,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Massachusetts,64911,67090.0,71597.3,67536.0,70802.0,60072.0,,76219.8,59206.0,44528.6,122117.5,,76177.3,72516.0,91125.7,68614.9,77849.0,55694.1,72508.0,104073.1,56709.0,63125.1,82609.0,65103.0,68903.0,,74348.9,87119.8,,63760.1,74823.8,53294.3,81352.2,67193.0,89784.4,130512.4,2179.0,6686.3,2625.0,5891.0,-4839.0,,11308.8,-5705.0,-20382.4,57206.5,,11266.3,7605.0,26214.7,3703.9,12938.0,-9216.9,7597.0,39162.1,-8202.0,-1785.9,17698.0,192.0,3992.0,,9437.9,22208.8,,-1150.9,9912.8,-11616.7,16441.2,2282.0,24873.4,65601.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,,True,False,False,False,False,False,False
Michigan,42065,61794.0,61901.0,62769.0,52459.0,44656.0,,59555.8,37653.0,96839.3,78473.8,,45251.2,63562.0,72985.2,31786.6,50484.0,55555.7,63832.5,56337.3,44597.5,51140.1,55312.4,72625.0,50193.0,,40053.2,52045.1,,87759.6,89673.8,60415.5,71365.6,51374.0,82560.8,61512.9,19729.0,19836.0,20704.0,10394.0,2591.0,,17490.8,-4412.0,54774.3,36408.8,,3186.2,21497.0,30920.2,-10278.4,8419.0,13490.7,21767.5,14272.3,2532.5,9075.1,13247.4,30560.0,8128.0,,-2011.8,9980.1,,45694.6,47608.8,18350.5,29300.6,9309.0,40495.8,19447.9,False,False,True,True,,True,True,False,False,,True,False,False,True,True,True,False,True,True,True,True,False,True,,True,True,,False,False,True,False,True,False,True
Minnesota,23197,38474.0,47698.1,39308.6,31645.0,24993.0,,39846.5,29887.0,37226.2,37879.6,,20727.9,45574.0,48845.8,16411.5,29482.0,26572.5,32040.5,32351.6,20184.5,29394.4,40453.1,42692.0,31023.0,,21014.3,33232.4,,34409.7,73206.1,31285.1,29734.8,31862.0,46457.9,41291.1,15277.0,24501.1,16111.6,8448.0,1796.0,,16649.5,6690.0,14029.2,14682.6,,-2469.1,22377.0,25648.8,-6785.5,6285.0,3375.5,8843.5,9154.6,-3012.5,6197.4,17256.1,19495.0,7826.0,,-2182.7,10035.4,,11212.7,50009.1,8088.1,6537.8,8665.0,23260.9,18094.1,False,False,True,True,,False,True,True,True,,True,False,False,True,True,True,True,True,True,True,False,False,True,,True,True,,True,False,True,True,True,False,False
Mississippi,28166,28328.0,34617.7,27256.1,32534.0,21806.0,,32628.0,33199.0,33055.1,33014.1,,34193.9,31760.0,35593.5,31438.2,32916.0,18614.8,31082.5,37186.6,33863.5,29709.2,33245.4,34535.0,30098.0,,32905.0,11109.8,,27576.4,33743.5,26273.3,24274.5,29949.0,36124.2,47356.9,162.0,6451.7,-909.9,4368.0,-6360.0,,4462.0,5033.0,4889.1,4848.1,,6027.9,3594.0,7427.5,3272.2,4750.0,-9551.2,2916.5,9020.6,5697.5,1543.2,5079.4,6369.0,1932.0,,4739.0,-17056.2,,-589.6,5577.5,-1892.7,-3891.5,1783.0,7958.2,19190.9,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Missouri,47042,44306.0,50779.1,44504.0,42342.0,38361.0,,43267.1,29935.0,43171.3,57121.2,,39556.3,43894.0,54372.0,41825.7,47108.0,31796.0,43980.5,39836.7,32395.0,38457.6,45519.8,50093.0,49076.0,,38312.3,29050.3,,41661.2,57750.5,43732.8,51056.1,45286.0,49747.0,,-2736.0,3737.1,-2538.0,-4700.0,-8681.0,,-3774.9,-17107.0,-3870.7,10079.2,,-7485.7,-3148.0,7330.0,-5216.3,66.0,-15246.0,-3061.5,-7205.3,-14647.0,-8584.4,-1522.2,3051.0,2034.0,,-8729.7,-17991.7,,-5380.8,10708.5,-3309.2,4014.1,-1756.0,2705.0,,False,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,False,True,,False,False,,False,False,False,False,True,True,
Montana,5325,7950.0,7876.7,7771.4,6997.0,5322.0,,7869.9,5986.0,6952.3,9354.4,,6058.6,9788.0,9018.9,4790.2,7740.0,5811.7,6597.0,6745.3,6190.5,7151.8,8840.5,9266.0,6036.0,,7232.0,9304.4,,6334.4,11354.1,10515.5,8409.7,7119.0,8812.8,7811.7,2625.0,2551.7,2446.4,1672.0,-3.0,,2544.9,661.0,1627.3,4029.4,,733.6,4463.0,3693.9,-534.8,2415.0,486.7,1272.0,1420.3,865.5,1826.8,3515.5,3941.0,711.0,,1907.0,3979.4,,1009.4,6029.1,5190.5,3084.7,1794.0,3487.8,2486.7,True,True,True,True,,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,False,False,True,,True,False,,True,False,False,False,True,False,True
