,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Oregon,2154,1578.6,2504.7,2335.8,1696.0,2197.8,-575.4,350.7,181.8,-458.0,43.8,True,True,True,True
Pennsylvania,23540,16578.9,20968.5,19847.7,19458.0,16295.3,-6961.1,-2571.5,-3692.3,-4082.0,-7244.7,True,True,True,False
Rhode Island,2485,1808.3,2362.6,1992.7,1724.0,1773.2,-627.7,-73.4,-443.3,-712.0,-662.8,True,True,False,False
South Carolina,8256,6481.6,6183.8,5659.6,5762.0,6421.8,-1774.4,-2072.2,-2596.4,-2494.0,-1834.2,False,False,False,False
South Dakota,1859,3069.0,2369.1,1361.3,3429.0,1288.8,1210.0,510.1,-497.7,1570.0,-570.2,True,True,False,True
Tennessee,11115,9061.7,10468.7,9108.2,9460.0,9802.4,-2053.3,-646.3,-2006.8,-1655.0,-1312.6,True,True,True,True
Texas,42041,34101.6,37030.1,37228.6,37884.0,30976.8,-7612.4,-4683.9,-4485.4,-3830.0,-10737.2,True,True,True,False
Utah,1842,1757.3,2892.4,2495.8,2238.0,2065.1,-84.7,1050.4,653.8,396.0,223.1,False,False,False,False
Vermont,196,114.4,57.9,80.4,105.0,109.5,-81.6,-138.1,-115.6,-91.0,-86.5,False,False,False,False
Virginia,7197,5712.3,5660.4,6757.6,5813.0,5382.2,-1484.7,-1536.6,-439.4,-1384.0,-1814.8,False,True,True,False
Washington,4822,3904.7,13315.6,5554.9,4094.0,4450.1,-924.3,8486.6,725.9,-735.0,-378.9,False,True,True,True
West Virginia,2254,1690.6,2800.6,2277.1,2078.0,2035.7,-563.4,546.6,23.1,-176.0,-218.3,True,True,True,True
Wisconsin,6871,8280.0,7616.1,7668.9,7804.0,9147.6,1409.0,745.1,797.9,933.0,2276.6,True,True,True,False
Wyoming,662,587.4,1159.3,443.0,932.0,500.6,-74.6,497.3,-219.0,270.0,-161.4,False,False,False,False
US,499023,392746.3,528184.1,454910.4,413791.0,434618.5,-104354.7,31083.1,-42190.6,-83310.0,-62482.5,True,True,True,True
