,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,16742,16929.7,18965.6,16397.2,17115.7,17210.0,17067.2,16612.0,15240.0,16776.0,15149.6,14848.0,17465.2,,16052.6,16686.8,,16472.7,16694.0,15687.6,17876.0,15273.0,15875.2,20101.5,17552.4,16508.0,23513.9,17037.5,17222.1,18635.0,15517.0,,18206.4,16568.5,,16296.0,17547.4,15490.0,16370.6,,15209.7,17110.8,15822.0,15627.6,17068.0,17945.5,,13805.9,17518.0,187.7,2223.6,-344.8,373.7,468.0,325.2,-130.0,-1502.0,34.0,-1592.4,-1894.0,723.2,,-689.4,-55.2,,-269.3,-48.0,-1054.4,1134.0,-1469.0,-866.8,3359.5,810.4,-234.0,6771.9,295.5,480.1,1893.0,-1225.0,,1464.4,-173.5,,-446.0,805.4,-1252.0,-371.4,,-1532.3,368.8,-920.0,-1114.4,326.0,1203.5,,-2936.1,776.0,False,False,False,False,False,True,False,True,False,False,False,,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,,False,False,False,False,False,False,,False,False
Hawaii,429,418.1,396.4,380.3,396.7,391.0,399.0,393.0,366.0,382.0,364.1,410.0,439.0,,,389.3,,410.8,,363.7,401.0,539.1,389.8,429.5,401.1,463.0,344.8,388.8,404.9,384.1,381.0,,,388.4,,393.0,414.7,408.0,392.3,,389.3,401.2,397.0,389.4,385.0,397.0,,364.8,393.0,-10.9,-32.6,-48.7,-32.3,-38.0,-30.0,-36.0,-63.0,-47.0,-64.9,-19.0,10.0,,,-39.7,,-18.2,,-65.3,-28.0,110.1,-39.2,0.5,-27.9,34.0,-84.2,-40.2,-24.1,-44.9,-48.0,,,-40.6,,-36.0,-14.3,-21.0,-36.7,,-39.7,-27.8,-32.0,-39.6,-44.0,-32.0,,-64.2,-36.0,False,False,False,False,False,False,False,False,False,False,True,,,False,,False,,False,False,False,False,True,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Idaho,1826,1908.1,1886.4,1852.2,1928.1,1946.0,1920.0,1889.0,1772.0,1847.0,1868.8,1818.0,2321.2,,1893.3,1965.4,,1941.9,1937.0,1832.6,1923.0,1976.1,1862.0,1757.0,1854.4,1996.0,,1911.3,1908.3,1846.5,1862.0,,,1852.4,,1926.0,1701.9,1859.0,1989.2,,1827.9,1946.1,1818.0,2055.4,1891.0,1772.0,,1844.6,1912.0,82.1,60.4,26.2,102.1,120.0,94.0,63.0,-54.0,21.0,42.8,-8.0,495.2,,67.3,139.4,,115.9,111.0,6.6,97.0,150.1,36.0,-69.0,28.4,170.0,,85.3,82.3,20.5,36.0,,,26.4,,100.0,-124.1,33.0,163.2,,1.9,120.1,-8.0,229.4,65.0,-54.0,,18.6,86.0,True,True,False,False,False,True,True,True,True,True,False,,True,False,,False,False,True,False,False,True,True,True,False,,False,False,True,True,,,True,,False,False,True,False,,True,False,True,False,True,True,,True,False
Illinois,22426,23110.0,22945.2,22732.8,23274.8,23723.0,23146.2,23015.0,23102.0,23791.0,23254.9,22528.0,23956.9,,23333.9,23258.6,,22970.4,23209.0,22742.5,23217.0,22915.5,22817.8,21950.0,23079.8,23434.0,21962.3,23004.3,23248.3,23014.5,22605.5,,23596.5,22563.8,,23020.0,21719.3,22288.0,21990.6,,22774.8,22993.9,22688.0,24666.1,23035.0,22157.5,,22648.7,23619.0,684.0,519.2,306.8,848.8,1297.0,720.2,589.0,676.0,1365.0,828.9,102.0,1530.9,,907.9,832.6,,544.4,783.0,316.5,791.0,489.5,391.8,-476.0,653.8,1008.0,-463.7,578.3,822.3,588.5,179.5,,1170.5,137.8,,594.0,-706.7,-138.0,-435.4,,348.8,567.9,262.0,2240.1,609.0,-268.5,,222.7,1193.0,True,True,False,False,False,True,True,False,False,True,False,,False,False,,True,False,True,False,True,True,True,True,False,True,True,False,True,True,,False,True,,True,False,True,True,,True,True,True,False,True,True,,True,False
Indiana,12336,11282.0,11268.7,10847.4,11152.1,11306.0,11317.1,11042.0,10643.0,10937.0,11282.7,11042.0,11486.2,,11232.2,11160.8,,10994.6,11214.0,10638.6,11130.0,10745.9,11051.1,10500.0,10879.7,11343.0,10606.9,11016.4,11099.2,10807.5,11803.0,,10966.9,10871.8,,10997.0,10716.8,10446.0,11375.3,,10798.2,11029.1,10724.0,11269.5,10972.0,10503.5,,10321.9,11161.0,226.0,212.7,-208.6,96.1,250.0,261.1,-14.0,-413.0,-119.0,226.7,-14.0,430.2,,176.2,104.8,,-61.4,158.0,-417.4,74.0,-310.1,-4.9,-556.0,-176.3,287.0,-449.1,-39.6,43.2,-248.5,747.0,,-89.1,-184.2,,-59.0,-339.2,-610.0,319.3,,-257.8,-26.9,-332.0,213.5,-84.0,-552.5,,-734.1,105.0,True,True,True,False,False,True,False,True,False,True,False,,True,True,,True,True,False,True,False,True,False,True,False,False,True,True,False,False,,True,True,,True,False,False,False,,False,True,False,True,True,False,,False,True
Iowa,5336,5119.6,5105.0,4892.3,5166.4,5144.0,5145.6,5049.0,4863.0,5491.0,4948.9,6070.0,5063.9,,5026.5,4954.0,,5026.7,5261.0,4990.4,5173.0,5092.8,5041.0,4692.0,5095.8,5157.0,4727.1,5037.1,5129.0,5051.9,4808.0,,5362.9,4906.8,,5053.0,4382.0,5056.0,5119.8,,4736.7,5055.3,4906.0,5309.6,5047.0,4772.0,,4954.6,5235.0,-216.4,-231.0,-443.7,-169.6,-192.0,-190.4,-287.0,-473.0,155.0,-387.1,734.0,-272.1,,-309.5,-382.0,,-309.3,-75.0,-345.6,-163.0,-243.2,-295.0,-644.0,-240.2,-179.0,-608.9,-298.9,-207.0,-284.1,-528.0,,26.9,-429.2,,-283.0,-954.0,-280.0,-216.2,,-599.3,-280.7,-430.0,-26.4,-289.0,-564.0,,-381.4,-101.0,False,False,True,True,True,False,False,True,False,False,False,,False,False,,False,True,False,True,False,False,False,False,True,False,False,True,False,False,,True,False,,False,False,False,True,,False,False,False,True,False,False,,False,True
Kansas,4573,3965.0,5441.4,4367.3,4002.9,4213.0,3978.9,4398.0,4391.0,4755.0,4801.2,4634.0,5544.6,,4253.7,4782.2,,4521.4,4773.0,4398.0,4507.0,4285.2,4356.4,4124.0,3945.4,4663.0,4148.2,4501.1,4535.3,3910.0,4603.0,,4952.5,4123.1,,4310.0,4789.2,3831.0,4279.3,,4565.9,4495.3,4229.0,4455.7,4204.0,4156.5,,4128.7,4043.0,-608.0,868.4,-205.7,-570.1,-360.0,-594.1,-175.0,-182.0,182.0,228.2,61.0,971.6,,-319.3,209.2,,-51.6,200.0,-175.0,-66.0,-287.8,-216.6,-449.0,-627.6,90.0,-424.8,-71.9,-37.7,-663.0,30.0,,379.5,-449.9,,-263.0,216.2,-742.0,-293.7,,-7.1,-77.7,-344.0,-117.3,-369.0,-416.5,,-444.3,-530.0,False,True,True,True,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,,True,True,False,True,,True,True,True,True,True,True,,True,True
Kentucky,4426,4555.0,4267.1,4217.2,4532.8,4517.0,4558.3,4439.0,3983.0,4573.0,4316.5,3978.0,4508.0,,4109.7,4434.5,,4325.2,4439.0,3904.0,4681.0,4664.3,4196.4,4631.0,4562.1,4563.0,4533.8,4493.6,4432.3,4567.9,5680.0,,,4320.2,,4413.0,4151.1,4167.0,4656.0,,4197.9,4534.0,4465.0,4431.1,4568.0,4735.5,,3832.9,4350.0,129.0,-158.9,-208.8,106.8,91.0,132.3,13.0,-443.0,147.0,-109.5,-448.0,82.0,,-316.3,8.5,,-100.8,13.0,-522.0,255.0,238.3,-229.6,205.0,136.1,137.0,107.8,67.6,6.3,141.9,1254.0,,,-105.8,,-13.0,-274.9,-259.0,230.0,,-228.1,108.0,39.0,5.1,142.0,309.5,,-593.1,-76.0,False,False,True,True,False,True,False,False,True,False,True,,False,True,,True,True,False,False,False,False,False,False,False,True,True,True,False,False,,,True,,True,False,False,False,,False,True,True,True,False,False,,False,True
Louisiana,9440,9961.3,10014.2,9643.1,9963.6,10085.0,10094.7,9743.0,9312.0,10001.0,9900.6,9540.0,11954.8,,9920.9,9745.5,,9903.9,9940.0,9702.4,9640.0,9533.7,9509.9,9386.0,9932.9,9996.0,10066.0,9655.0,9971.6,9534.5,9785.0,,9785.1,9478.1,,9791.0,10190.0,9553.0,10182.7,,9278.1,9687.1,9740.0,9955.9,9312.0,9708.0,,9080.4,13676.0,521.3,574.2,203.1,523.6,645.0,654.7,303.0,-128.0,561.0,460.6,100.0,2514.8,,480.9,305.5,,463.9,500.0,262.4,200.0,93.7,69.9,-54.0,492.9,556.0,626.0,215.0,531.6,94.5,345.0,,345.1,38.1,,351.0,750.0,113.0,742.7,,-161.9,247.1,300.0,515.9,-128.0,268.0,,-359.6,4236.0,False,True,False,False,False,True,True,False,True,True,False,,True,True,,True,True,True,True,True,True,True,True,False,False,True,False,True,True,,True,True,,True,False,True,False,,True,True,True,True,True,True,,True,False
Maine,658,671.3,825.3,789.5,700.8,783.0,692.0,797.0,747.0,845.0,811.6,803.0,816.8,,737.5,937.8,,846.9,817.0,896.0,808.0,1000.1,817.7,694.0,720.6,904.0,,750.5,828.5,726.8,936.0,,,748.4,,748.0,793.7,616.0,627.5,,823.3,790.4,669.0,840.8,728.0,717.0,,633.2,813.0,13.3,167.3,131.5,42.8,125.0,34.0,139.0,89.0,187.0,153.6,145.0,158.8,,79.5,279.8,,188.9,159.0,238.0,150.0,342.1,159.7,36.0,62.6,246.0,,92.5,170.5,68.8,278.0,,,90.4,,90.0,135.7,-42.0,-30.5,,165.3,132.4,11.0,182.8,70.0,59.0,,-24.8,155.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,,False,False,False,False,,False,False,True,False,False,False,,False,False
Maryland,7697,8014.4,7917.6,7814.9,8011.1,8105.0,8021.1,7963.0,7803.0,8066.0,7959.6,11809.0,8275.0,,8151.5,8017.0,,7975.0,7913.0,7837.4,7960.0,7960.4,8054.5,7650.0,8000.4,8096.0,7552.5,7982.2,8071.8,7829.1,7853.0,,8033.1,7856.6,,7929.0,7762.6,8129.0,7843.3,,7614.4,8017.2,7758.0,8168.6,7966.0,7882.0,,7220.5,7912.0,317.4,220.6,117.9,314.1,408.0,324.1,266.0,106.0,369.0,262.6,4112.0,578.0,,454.5,320.0,,278.0,216.0,140.4,263.0,263.4,357.5,-47.0,303.4,399.0,-144.5,285.2,374.8,132.1,156.0,,336.1,159.6,,232.0,65.6,432.0,146.3,,-82.6,320.2,61.0,471.6,269.0,185.0,,-476.5,215.0,True,True,True,False,False,True,True,False,True,False,False,,False,False,,True,True,True,True,True,False,True,True,False,True,True,False,True,True,,False,True,,True,True,False,True,,True,False,True,False,True,True,,False,True
Massachusetts,15779,15988.3,15916.0,15786.2,15998.4,16317.0,15988.6,16004.0,16139.0,,16494.3,16309.0,16199.4,,16045.0,16220.0,,16348.2,15972.0,15519.3,16013.0,15597.3,15876.1,15222.0,15917.0,16222.0,16751.3,15730.4,16443.0,15803.1,15604.0,,16063.5,15974.7,,16061.0,17572.6,16368.0,15408.8,,15935.2,15754.7,15773.0,16299.2,15864.0,16061.0,,14714.7,16146.0,209.3,137.0,7.2,219.4,538.0,209.6,225.0,360.0,,715.3,530.0,420.4,,266.0,441.0,,569.2,193.0,-259.7,234.0,-181.7,97.1,-557.0,138.0,443.0,972.3,-48.6,664.0,24.1,-175.0,,284.5,195.7,,282.0,1793.6,589.0,-370.2,,156.2,-24.3,-6.0,520.2,85.0,282.0,,-1064.3,367.0,True,True,False,False,False,False,False,,False,False,False,,False,False,,False,True,False,False,True,True,False,True,False,False,True,False,True,True,,False,True,,False,False,False,False,,True,True,True,False,True,False,,False,False
Michigan,16342,17155.9,17045.8,16730.1,16976.7,17078.0,17227.9,16819.0,16847.0,17059.0,16877.4,16814.0,18213.7,,16780.7,16666.4,,16886.6,17166.0,16132.1,16507.0,16701.4,16462.9,16251.0,16738.9,17194.0,16156.0,16807.1,16956.5,17002.2,18662.0,,16819.0,16764.9,,16431.0,15564.8,15993.0,15580.3,,16191.5,16896.3,16762.0,18040.9,16892.0,16147.5,,16220.7,17128.0,813.9,703.8,388.1,634.7,736.0,885.9,477.0,505.0,717.0,535.4,472.0,1871.7,,438.7,324.4,,544.6,824.0,-209.9,165.0,359.4,120.9,-91.0,396.9,852.0,-186.0,465.1,614.5,660.2,2320.0,,477.0,422.9,,89.0,-777.2,-349.0,-761.7,,-150.5,554.3,420.0,1698.9,550.0,-194.5,,-121.3,786.0,True,True,True,True,False,True,True,True,True,True,False,,True,True,,True,False,True,True,True,True,True,True,False,True,True,True,True,False,,True,True,,True,True,True,True,,True,True,True,False,True,True,,True,True
Minnesota,6491,6811.0,6640.5,6685.7,6821.9,6955.0,6835.4,6698.0,6631.0,6734.0,6851.7,6522.0,6934.6,,6973.4,6680.7,,6673.4,7098.0,6595.0,6898.0,6794.7,6554.3,6592.0,6792.7,6974.0,6412.1,6736.5,6817.0,6654.4,7045.0,,7221.3,6649.1,,6694.0,5448.6,6698.0,7015.1,,6345.6,6765.6,6660.0,7374.3,6671.0,6680.0,,6673.9,6861.0,320.0,149.5,194.7,330.9,464.0,344.4,207.0,140.0,243.0,360.7,31.0,443.6,,482.4,189.7,,182.4,607.0,104.0,407.0,303.7,63.3,101.0,301.7,483.0,-78.9,245.5,326.0,163.4,554.0,,730.3,158.1,,203.0,-1042.4,207.0,524.1,,-145.4,274.6,169.0,883.3,180.0,189.0,,182.9,370.0,True,True,False,False,False,True,True,True,False,True,False,,False,True,,True,False,True,False,True,True,True,True,False,True,True,False,True,False,,False,True,,True,False,True,False,,True,True,True,False,True,True,,True,False
Mississippi,6553,6740.1,6334.8,6785.9,6790.1,7031.0,6835.9,6747.0,6423.0,6809.0,6872.9,6441.0,8129.1,,6651.0,6720.9,,6689.6,6961.0,6755.6,6853.0,6458.9,6511.1,6511.0,6720.2,6980.0,7016.5,6725.1,7011.1,6624.6,6798.0,,7246.1,6818.8,,6844.0,6489.0,6478.0,6574.9,,6748.0,6747.4,6717.0,6885.8,6755.0,6738.0,,6292.1,6911.0,187.1,-218.2,232.9,237.1,478.0,282.9,194.0,-130.0,256.0,319.9,-112.0,1576.1,,98.0,167.9,,136.6,408.0,202.6,300.0,-94.1,-41.9,-42.0,167.2,427.0,463.5,172.1,458.1,71.6,245.0,,693.1,265.8,,291.0,-64.0,-75.0,21.9,,195.0,194.4,164.0,332.8,202.0,185.0,,-260.9,358.0,False,False,False,False,False,False,True,False,False,True,False,,True,True,,True,False,False,False,True,True,True,True,False,False,True,False,True,False,,False,False,,False,True,True,True,,False,False,True,False,False,True,,False,False
Missouri,8059,7988.3,8000.5,7778.9,8011.1,8071.0,8001.0,7728.0,7419.0,7879.0,7826.5,7650.0,8349.2,,7766.6,7784.4,,6804.5,8228.0,6993.8,7860.0,7466.4,7723.8,7456.0,7866.7,8040.0,7333.3,7959.5,8010.9,7612.8,7728.0,,8073.3,7808.8,,7727.0,7369.1,7362.0,7217.0,,7652.6,8030.4,7598.0,8221.6,7384.0,7497.5,,7047.9,7567.0,-3.7,8.5,-213.1,19.1,79.0,9.0,-264.0,-573.0,-113.0,-165.5,-342.0,357.2,,-225.4,-207.6,,-1187.5,236.0,-998.2,-132.0,-525.6,-268.2,-536.0,-125.3,48.0,-658.7,-32.5,18.9,-379.2,-264.0,,81.3,-183.2,,-265.0,-622.9,-630.0,-775.0,,-339.4,38.4,-394.0,229.6,-608.0,-494.5,,-944.1,-425.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Montana,1341,1378.6,1264.5,1248.4,1353.6,1254.0,1353.0,1296.0,1250.0,1295.0,1320.4,1217.0,1406.7,,1324.3,1256.6,,1239.6,1269.0,1202.7,1327.0,1348.1,1254.7,1209.0,1310.5,1425.0,1269.0,1285.0,1320.3,1339.7,1276.0,,,1255.2,,1312.0,1064.9,1282.0,1443.8,,1242.1,1328.5,1268.0,1397.3,1239.0,1273.0,,1269.8,1407.0,37.6,-76.5,-92.6,12.6,-87.0,12.0,-45.0,-91.0,-46.0,-20.6,-124.0,65.7,,-16.7,-84.4,,-101.4,-72.0,-138.3,-14.0,7.1,-86.3,-132.0,-30.5,84.0,-72.0,-56.0,-20.7,-1.3,-65.0,,,-85.8,,-29.0,-276.1,-59.0,102.8,,-98.9,-12.5,-73.0,56.3,-102.0,-68.0,,-71.2,66.0,False,False,True,False,True,False,False,False,True,False,False,,True,False,,False,False,False,True,True,False,False,True,False,False,False,True,True,False,,,False,,True,False,False,False,,False,True,False,False,False,False,,False,False
Nebraska,2047,2041.0,2016.9,2026.6,2014.7,2121.0,2047.0,2097.0,2185.0,2138.0,2048.5,1968.0,2180.5,,2127.1,2147.7,,2135.4,2192.5,2079.6,2170.0,2251.0,2058.7,1964.0,2053.2,2351.0,,2032.8,2142.3,2097.2,2078.0,,,2072.8,,2127.0,1763.8,2077.0,2004.5,,2107.8,2067.9,2054.0,2256.8,2072.0,2014.0,,2057.1,2182.0,-6.0,-30.1,-20.4,-32.3,74.0,-0.0,50.0,138.0,91.0,1.5,-79.0,133.5,,80.1,100.7,,88.4,145.5,32.6,123.0,204.0,11.7,-83.0,6.2,304.0,,-14.2,95.3,50.2,31.0,,,25.8,,80.0,-283.2,30.0,-42.5,,60.8,20.9,7.0,209.8,25.0,-33.0,,10.1,135.0,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Nevada,4868,4978.7,5085.1,4894.1,4970.4,4942.0,5010.8,4930.0,4806.0,4784.0,4838.3,4868.0,6924.5,,4940.0,4914.7,,5129.1,5186.0,4645.9,4923.0,4596.5,4732.5,4896.0,4949.8,5314.0,4929.5,5027.7,5072.6,4769.1,5230.5,,5431.3,4893.2,,4742.0,4591.6,4976.0,4786.8,,4989.8,5044.9,4704.0,5297.5,4784.0,5042.0,,4496.2,4922.0,110.7,217.1,26.1,102.4,74.0,142.8,62.0,-62.0,-84.0,-29.7,0.0,2056.5,,72.0,46.7,,261.1,318.0,-222.1,55.0,-271.5,-135.5,28.0,81.8,446.0,61.5,159.7,204.6,-98.9,362.5,,563.3,25.2,,-126.0,-276.4,108.0,-81.2,,121.8,176.9,-164.0,429.5,-84.0,174.0,,-371.8,54.0,False,True,True,True,False,True,True,True,True,True,False,,True,True,,False,False,False,True,False,False,True,True,False,True,False,False,True,False,,False,True,,False,False,True,True,,False,False,False,False,True,False,,False,True
New Hampshire,1153,1195.3,1159.0,1220.4,1213.1,1245.0,1197.0,1228.0,1270.0,1240.0,1333.9,1226.0,1238.6,,1260.5,1208.0,,1236.9,1269.0,1206.9,1267.0,1372.5,1246.9,1122.0,1194.9,1319.0,,1222.6,1286.0,1184.1,1525.0,,,1182.1,,1232.0,1328.1,1201.0,1115.9,,1271.2,1263.2,1228.0,1254.5,1219.0,1215.5,,1069.4,1294.0,42.3,6.0,67.4,60.1,92.0,44.0,75.0,117.0,87.0,180.9,73.0,85.6,,107.5,55.0,,83.9,116.0,53.9,114.0,219.5,93.9,-31.0,41.9,166.0,,69.6,133.0,31.1,372.0,,,29.1,,79.0,175.1,48.0,-37.1,,118.2,110.2,75.0,101.5,66.0,62.5,,-83.6,141.0,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,True,False,,False,False,True,False,,,True,,False,False,False,True,,False,False,False,False,False,False,,False,False
New Jersey,22834,22925.9,23809.1,22899.1,23045.4,23473.0,23014.0,23069.0,23614.0,23825.0,23387.3,23444.0,23344.0,,23763.1,23091.9,,23056.6,23307.0,23192.5,23107.0,22821.1,23160.0,22994.0,22967.7,23333.0,22803.4,23245.9,23188.2,22853.7,22111.0,,22863.1,22927.4,,23040.0,20993.4,22416.0,22952.4,,22890.7,23253.4,22708.0,22586.2,23042.0,22685.0,,21516.4,23344.0,91.9,975.1,65.1,211.4,639.0,180.0,235.0,780.0,991.0,553.3,610.0,510.0,,929.1,257.9,,222.6,473.0,358.5,273.0,-12.9,326.0,160.0,133.7,499.0,-30.6,411.9,354.2,19.7,-723.0,,29.1,93.4,,206.0,-1840.6,-418.0,118.4,,56.7,419.4,-126.0,-247.8,208.0,-149.0,,-1317.6,510.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False,False,False,True,False,False,True,False,,True,False,,False,False,False,False,,True,False,False,False,False,False,,False,False
New Mexico,3610,3966.6,3723.6,3674.9,3974.0,3733.0,3934.7,3720.0,3559.0,3772.0,3644.5,3685.0,4010.8,,3840.7,3673.0,,3759.8,3765.0,3492.0,3781.0,3549.7,3618.8,3765.0,3808.6,3791.0,3555.3,3742.5,3835.1,3706.2,3664.0,,,3755.6,,3720.0,3283.7,3702.0,3697.0,,3397.3,3782.7,3753.0,4059.4,3788.0,3828.5,,3538.1,3739.0,356.6,113.6,64.9,364.0,123.0,324.7,110.0,-51.0,162.0,34.5,75.0,400.8,,230.7,63.0,,149.8,155.0,-118.0,171.0,-60.3,8.8,155.0,198.6,181.0,-54.7,132.5,225.1,96.2,54.0,,,145.6,,110.0,-326.3,92.0,87.0,,-212.7,172.7,143.0,449.4,178.0,218.5,,-71.9,129.0,True,True,False,True,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,False,True,True,,True,True
New York,46703,47462.7,48785.0,47047.3,47496.1,48453.0,47449.1,47706.0,48957.0,48912.0,48099.0,50067.0,48711.0,,46902.8,48400.9,,47593.0,46982.0,48078.5,48464.0,47966.5,48510.0,46975.0,47817.7,48133.0,44002.5,46941.6,48363.7,47319.6,46944.5,,46081.0,47652.7,,47684.0,44934.7,45800.0,47650.5,,48736.6,46966.0,46594.0,48202.8,48053.0,49035.5,,43304.5,46563.0,759.7,2082.0,344.3,793.1,1750.0,746.1,1003.0,2254.0,2209.0,1396.0,3364.0,2008.0,,199.8,1697.9,,890.0,279.0,1375.5,1761.0,1263.5,1807.0,272.0,1114.7,1430.0,-2700.5,238.6,1660.7,616.6,241.5,,-622.0,949.7,,981.0,-1768.3,-903.0,947.5,,2033.6,263.0,-109.0,1499.8,1350.0,2332.5,,-3398.5,-140.0,False,True,False,False,True,False,False,False,False,False,False,,True,False,,False,True,False,False,False,False,True,False,False,False,True,False,True,True,,True,False,,False,False,False,False,,False,True,True,False,False,False,,False,True
