,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Indiana,12336,12354.6,11913.1,10298.2,12985.0,10709.1,902.6,461.1,-1153.8,1533.0,-742.9,True,False,False,True
Iowa,5336,8058.7,4132.5,4040.4,7625.0,5035.7,2722.7,-1203.5,-1295.6,2289.0,-300.3,True,True,True,True
Kansas,4573,4891.1,3705.5,4340.2,5085.0,4238.5,318.1,-867.5,-232.8,512.0,-334.5,False,True,False,False
Kentucky,4426,3537.7,4246.0,3865.4,4237.0,3765.7,-888.3,-180.0,-560.6,-189.0,-660.3,True,True,True,True
Louisiana,9440,9124.6,9623.3,8788.5,9293.0,9231.1,-315.4,183.3,-651.5,-147.0,-208.9,True,False,True,True
Maine,658,552.7,712.1,613.8,866.0,373.4,-105.3,54.1,-44.2,208.0,-284.6,True,True,False,False
Maryland,7697,7788.3,8368.3,8941.6,7597.0,7123.1,91.3,671.3,1244.6,-100.0,-573.9,False,False,False,False
Massachusetts,15779,14749.7,15871.8,14065.7,15417.0,13921.9,-1029.3,92.8,-1713.3,-362.0,-1857.1,True,False,True,False
Michigan,16342,19810.1,17828.4,17423.6,19554.0,14557.7,3468.1,1486.4,1081.6,3212.0,-1784.3,True,True,True,True
Minnesota,6491,9037.3,7858.8,6872.2,10306.0,8610.9,2546.3,1367.8,381.2,3815.0,2119.9,True,True,False,True
Mississippi,6553,6545.0,6504.8,5234.3,6455.0,6635.7,-8.0,-48.2,-1318.7,-98.0,82.7,False,False,False,False
Missouri,8059,7812.6,6907.9,6763.8,9767.0,5883.7,-217.4,-1122.1,-1266.2,1737.0,-2146.3,False,False,False,False
Montana,1341,1626.3,1305.9,1129.5,1888.0,1708.1,285.3,-35.1,-211.5,547.0,367.1,True,True,False,False
Nebraska,2047,3029.0,2578.7,2398.5,3474.0,1881.1,982.0,531.7,351.5,1427.0,-165.9,True,True,False,True
Nevada,4868,4747.0,5214.6,4398.2,4489.0,4599.4,-121.0,346.6,-469.8,-379.0,-268.6,False,False,False,False
New Hampshire,1153,987.4,1099.7,1557.3,1290.0,892.0,-165.6,-53.3,404.3,137.0,-261.0,True,False,True,False
New Jersey,22834,21989.6,22138.5,22285.3,21468.0,22893.6,-844.4,-695.5,-548.7,-1366.0,59.6,True,True,False,True
New Mexico,3610,4007.3,4171.1,4090.5,4145.0,2378.9,397.3,561.1,480.5,535.0,-1231.1,False,False,False,False
New York,46703,41461.4,46373.9,44431.3,41773.0,42510.7,-5178.6,-266.1,-2208.7,-4867.0,-4129.3,True,True,True,True
North Carolina,10896,8583.0,10048.7,9446.8,9882.0,8231.3,-2313.0,-847.3,-1449.2,-1014.0,-2664.7,True,True,True,False
North Dakota,1467,2463.0,1556.6,1362.8,2836.0,1970.1,996.0,89.6,-104.2,1369.0,503.1,True,True,False,True
Ohio,18015,12745.9,15280.0,13930.1,15940.0,15142.0,-2488.1,46.0,-1303.9,706.0,-92.0,True,True,True,True
Oklahoma,4155,3720.0,3585.9,2956.3,4486.0,3929.4,-435.0,-569.1,-1198.7,331.0,-225.6,False,False,True,True
Oregon,2154,2357.6,2829.5,4222.8,2541.0,2603.4,203.6,675.5,2068.8,387.0,449.4,False,False,False,False
Pennsylvania,23540,24663.6,27408.0,22600.7,26872.0,20852.0,1123.6,3868.0,-939.3,3332.0,-2688.0,False,True,False,False
Rhode Island,2485,2455.3,2417.8,2170.1,2247.5,2107.1,113.3,75.8,-171.9,-94.5,-234.9,True,False,True,False
South Carolina,8256,6444.3,6560.7,5949.1,6497.0,6288.8,-1811.7,-1695.3,-2306.9,-1759.0,-1967.2,True,False,True,False
South Dakota,1859,2727.7,2250.9,2035.4,3109.0,1683.7,868.7,391.9,176.4,1250.0,-175.3,True,True,False,True
Tennessee,11115,10577.9,10279.0,8081.9,11024.0,11160.6,-537.1,-836.0,-3033.1,-91.0,45.6,False,False,True,True
Texas,42041,36376.4,37441.1,32459.9,40972.0,33001.5,-5427.6,-4362.9,-9344.1,-832.0,-8802.5,True,False,True,False
Utah,1842,2198.4,2510.3,2060.9,2327.0,1879.9,356.4,668.3,218.9,485.0,37.9,False,True,False,True
Vermont,196,252.7,224.3,172.4,319.0,179.1,56.7,28.3,-23.6,123.0,-16.9,True,True,False,True
Virginia,7197,6490.9,7061.7,5569.1,6791.0,6050.8,-706.1,-135.3,-1627.9,-406.0,-1146.2,True,False,True,False
Washington,4822,2425.6,5659.9,5863.0,4724.0,5109.7,-2334.4,899.9,1103.0,-36.0,349.7,True,True,True,True
West Virginia,2254,2249.4,2372.5,1828.6,2370.0,2812.1,-4.6,118.5,-425.4,116.0,558.1,False,False,False,False
Wisconsin,6871,8153.7,6667.8,6889.0,9887.0,6531.6,1282.7,-203.2,18.0,3016.0,-339.4,True,True,False,True
Wyoming,662,863.1,611.9,625.8,1079.0,474.2,201.1,-50.1,-36.2,417.0,-187.8,True,True,False,True
US,499023,464975.0,493526.8,451245.2,496480.0,437197.6,-29759.0,-1207.2,-43488.8,1746.0,-57536.4,True,False,True,False
