,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,16742,16906.6,17107.9,17123.1,17179.7,16720.0,17045.3,16631.0,16667.0,15519.0,16355.5,,16134.3,15445.0,16216.9,,16183.0,16577.0,,16583.1,17219.0,14553.9,17273.0,15538.2,16490.1,17585.0,16830.8,16855.0,19346.9,16668.7,16880.2,17395.0,17366.0,,17489.0,16639.8,16237.0,16415.0,15268.9,15916.0,16443.1,,16710.4,16128.0,16856.6,16734.0,,14627.3,17012.0,164.6,365.9,381.1,437.7,-22.0,303.3,-111.0,-75.0,-1223.0,-386.5,,-607.7,-1297.0,-525.1,,-559.0,-165.0,,-158.9,477.0,-2188.1,531.0,-1203.8,-251.9,843.0,88.8,113.0,2604.9,-73.3,138.2,653.0,624.0,,747.0,-102.2,-505.0,-327.0,-1473.1,-826.0,-298.9,,-31.6,-614.0,114.6,-8.0,,-2114.7,270.0,False,False,False,True,False,True,True,False,False,,False,False,False,,False,False,,True,False,False,False,False,False,False,True,True,False,True,True,False,False,,False,True,False,False,False,False,False,,True,False,True,True,,False,False
Hawaii,429,603.3,464.7,527.7,615.7,563.0,619.0,476.0,447.0,430.0,485.7,,428.9,485.0,481.6,,,481.4,,410.0,,363.3,520.0,531.6,453.4,440.0,475.5,522.0,,500.1,491.2,435.3,479.0,,,444.4,449.0,455.0,406.6,450.0,433.3,,525.2,437.0,454.8,453.0,,438.4,492.0,174.3,35.7,98.7,186.7,134.0,190.0,47.0,18.0,1.0,56.7,,-0.1,56.0,52.6,,,52.4,,-19.0,,-65.7,91.0,102.6,24.4,11.0,46.5,93.0,,71.1,62.2,6.3,50.0,,,15.4,20.0,26.0,-22.4,21.0,4.3,,96.2,8.0,25.8,24.0,,9.4,63.0,True,True,False,True,False,True,True,True,True,,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,,True,True
Idaho,1826,1885.0,1878.3,1873.7,1888.9,1880.0,1896.0,1873.0,1845.0,1805.0,1894.3,,1831.6,1825.0,1883.4,,1852.5,1915.8,,1819.5,1986.0,1832.4,1901.0,1945.5,1852.5,1759.0,1836.1,1906.0,1830.7,1886.0,1879.0,1847.3,2012.0,,,1853.8,1875.0,1885.0,1701.9,1820.0,1910.6,,1922.2,1837.0,1934.7,1840.0,,1858.0,1882.0,59.0,52.3,47.7,62.9,54.0,70.0,47.0,19.0,-21.0,68.3,,5.6,-1.0,57.4,,26.5,89.8,,-6.5,160.0,6.4,75.0,119.5,26.5,-67.0,10.1,80.0,4.7,60.0,53.0,21.3,186.0,,,27.8,49.0,59.0,-124.1,-6.0,84.6,,96.2,11.0,108.7,14.0,,32.0,56.0,True,True,False,True,False,True,True,True,False,,True,True,True,,True,False,,True,False,True,False,False,True,False,True,False,True,False,True,True,False,,,True,True,False,False,True,False,,False,True,False,True,,True,True
Illinois,22426,22890.1,22813.7,22616.3,22889.8,22826.0,22917.1,22671.0,22534.0,22706.0,22870.4,,22580.1,22609.0,22599.8,,22491.1,22666.7,,22872.8,23269.0,25263.9,23094.0,20786.8,22710.0,22161.0,22554.3,22881.0,22144.3,22672.2,22774.0,22286.4,22606.0,,22995.0,22518.1,23006.0,22705.0,22314.7,22196.0,22379.0,,22674.5,22533.0,22770.5,22571.0,,22723.7,23048.0,464.1,387.7,190.3,463.8,400.0,491.1,245.0,108.0,280.0,444.4,,154.1,183.0,173.8,,65.1,240.7,,446.8,843.0,2837.9,668.0,-1639.2,284.0,-265.0,128.3,455.0,-281.7,246.2,348.0,-139.6,180.0,,569.0,92.1,580.0,279.0,-111.3,-230.0,-47.0,,248.5,107.0,344.5,145.0,,297.7,622.0,True,True,True,True,False,True,True,True,True,,True,True,True,,True,True,,True,False,False,False,False,True,True,True,True,True,True,True,True,True,,False,True,False,True,True,True,True,,True,True,True,True,,True,False
Indiana,12336,10711.1,10940.6,10781.4,10862.8,10727.0,10788.8,10761.0,10655.0,10551.0,10775.6,,10766.2,10867.0,10649.6,,10715.3,10879.9,,10997.8,10764.0,11099.3,10942.0,10581.9,10667.6,10406.0,10559.5,10918.0,10613.9,10696.0,10832.3,10546.4,10799.5,,10776.5,10582.0,10919.0,10756.0,10372.1,10430.0,10841.4,,10709.1,10620.0,10614.9,10582.0,,10324.6,10770.0,-302.9,-73.4,-232.6,-151.2,-287.0,-225.2,-253.0,-359.0,-463.0,-238.4,,-247.8,-147.0,-364.4,,-298.7,-134.1,,-16.2,-250.0,85.3,-72.0,-432.1,-346.4,-608.0,-454.5,-96.0,-400.1,-318.0,-181.7,-467.6,-214.5,,-237.5,-432.0,-95.0,-258.0,-641.9,-584.0,-172.6,,-304.9,-394.0,-399.1,-432.0,,-689.4,-244.0,True,True,True,True,True,True,False,False,True,,True,True,False,,True,True,,True,True,True,True,False,False,False,False,True,False,False,True,False,True,,True,False,True,True,False,False,True,,False,False,False,False,,False,True
Iowa,5336,6083.9,5106.3,4911.0,5135.8,4925.0,5146.0,5151.0,5079.0,4893.0,4996.0,,4765.0,5424.0,5215.6,,4953.3,5230.3,,5083.6,5069.0,5466.7,5020.0,5107.0,5007.3,5156.0,5627.4,5022.0,4857.7,5034.6,5305.6,5326.3,4868.5,,5145.3,5083.9,5000.0,5093.0,4600.4,5833.0,5254.6,,5067.5,5236.0,5216.1,5028.0,,5277.8,5237.0,747.9,-229.7,-425.0,-200.2,-411.0,-190.0,-185.0,-257.0,-443.0,-340.0,,-571.0,88.0,-120.4,,-382.7,-105.7,,-252.4,-267.0,130.7,-316.0,-229.0,-328.7,-180.0,291.4,-314.0,-478.3,-301.4,-30.4,-9.7,-467.5,,-190.7,-252.1,-336.0,-243.0,-735.6,497.0,-81.4,,-268.5,-100.0,-119.9,-308.0,,-58.2,-99.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True
Kansas,4573,4281.3,4208.7,4226.6,4254.5,4229.0,4307.0,4254.0,4190.0,4208.0,4167.1,,4348.3,4327.0,4691.3,,4269.7,4283.7,,3971.1,4384.0,7884.2,4149.0,4274.5,4225.3,4043.0,4031.4,4311.0,4240.3,4258.3,4242.2,4148.2,4107.0,,,4084.8,4243.0,4174.0,4851.7,4112.0,4345.2,,4265.0,4182.0,4576.7,4167.0,,4169.3,4387.0,-291.7,-364.3,-346.4,-318.5,-344.0,-266.0,-319.0,-383.0,-365.0,-405.9,,-224.7,-246.0,118.3,,-303.3,-289.3,,-601.9,-189.0,3311.2,-424.0,-298.5,-347.7,-530.0,-541.6,-262.0,-332.7,-314.7,-330.8,-424.8,-466.0,,,-488.2,-330.0,-399.0,278.7,-461.0,-227.8,,-308.0,-391.0,3.7,-406.0,,-403.7,-186.0,False,False,False,False,True,False,False,False,False,,True,True,True,,False,True,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,False,False,False,True,False,True,,False,False,True,False,,False,True
Kentucky,4426,4670.7,5104.1,4570.3,4704.3,4558.0,4698.1,4528.0,4462.0,4079.0,4464.7,,4205.2,4209.0,4376.2,,,4660.3,,4461.9,4861.0,5523.4,4647.0,4618.9,4309.1,4701.0,4589.4,4544.0,4690.2,4593.2,4487.5,4658.5,4496.0,,,4503.0,4306.0,4468.0,4156.4,4376.0,4674.3,,4629.2,4418.0,4666.9,4528.0,,4111.1,4540.0,244.7,678.1,144.3,278.3,132.0,272.1,102.0,36.0,-347.0,38.7,,-220.8,-217.0,-49.8,,,234.3,,35.9,435.0,1097.4,221.0,192.9,-116.9,275.0,163.4,118.0,264.2,167.2,61.5,232.5,70.0,,,77.0,-120.0,42.0,-269.6,-50.0,248.3,,203.2,-8.0,240.9,102.0,,-314.9,114.0,False,True,False,True,False,True,True,False,True,,True,True,True,,,True,,True,False,False,True,True,True,False,True,True,False,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,,False,True
Louisiana,9440,9699.0,9808.6,9750.7,9689.9,9643.0,9754.3,9637.0,9552.0,9478.0,9747.1,,9563.4,9684.0,10019.1,,9681.1,9598.3,,9622.9,9948.0,9415.3,9659.0,9504.1,9467.1,9540.0,9600.8,9888.0,9804.0,9591.1,9747.9,9534.1,9787.0,,9637.4,9480.8,9646.0,9658.0,10082.0,9780.0,9593.7,,9607.3,9636.0,9535.9,9448.0,,9285.9,9747.0,259.0,368.6,310.7,249.9,203.0,314.3,197.0,112.0,38.0,307.1,,123.4,244.0,579.1,,241.1,158.3,,182.9,508.0,-24.7,219.0,64.1,27.1,100.0,160.8,448.0,364.0,151.1,307.9,94.1,347.0,,197.4,40.8,206.0,218.0,642.0,340.0,153.7,,167.3,196.0,95.9,8.0,,-154.1,307.0,False,False,True,True,False,True,True,True,False,,True,True,False,,True,True,,True,False,True,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,False,True,,True,True,True,True,,True,False
Maine,658,721.4,725.4,747.0,726.2,691.0,728.0,726.0,715.0,709.0,739.7,,791.2,731.0,676.4,,695.2,730.4,,688.4,796.0,741.1,749.0,879.7,728.7,670.0,673.3,802.0,,747.5,726.4,726.1,704.0,,,684.0,760.0,735.0,779.3,660.0,645.1,,784.8,686.0,771.9,711.0,,668.5,777.0,63.4,67.4,89.0,68.2,33.0,70.0,68.0,57.0,51.0,81.7,,133.2,73.0,18.4,,37.2,72.4,,30.4,138.0,83.1,91.0,221.7,70.7,12.0,15.3,144.0,,89.5,68.4,68.1,46.0,,,26.0,102.0,77.0,121.3,2.0,-12.9,,126.8,28.0,113.9,53.0,,10.5,119.0,False,False,False,True,False,False,True,True,False,,False,False,True,,True,False,,True,False,False,False,False,False,True,True,False,,False,False,False,True,,,True,False,False,False,True,True,,False,True,False,True,,True,False
Maryland,7697,7875.6,7908.7,7926.0,7910.9,7892.0,7917.0,7826.0,7765.0,7851.0,7871.2,,7681.6,9062.0,7692.8,,7784.8,7979.6,,7983.9,7959.0,8036.8,7936.0,7833.2,7761.4,7677.5,7807.8,7955.0,7705.4,7896.6,7870.8,7753.6,7851.0,,7896.6,7795.4,7923.0,7747.0,7698.5,7653.0,7799.8,,7930.0,7683.0,7700.8,7800.0,,7560.0,7787.0,178.6,211.7,229.0,213.9,195.0,220.0,129.0,68.0,154.0,174.2,,-15.4,1365.0,-4.2,,87.8,282.6,,286.9,262.0,339.8,239.0,136.2,64.4,-19.5,110.8,258.0,8.4,199.6,173.8,56.6,154.0,,199.6,98.4,226.0,50.0,1.5,-44.0,102.8,,233.0,-14.0,3.8,103.0,,-137.0,90.0,False,False,False,False,False,True,True,True,True,,True,False,True,,True,False,,False,False,False,False,True,True,True,True,False,True,False,True,True,True,,False,True,False,True,True,True,True,,False,True,True,True,,True,True
Massachusetts,15779,15845.6,15850.7,15902.8,15943.4,15815.0,15931.2,15812.0,15643.0,15824.0,15770.2,,15861.8,16036.0,15645.5,,15798.1,15755.4,,15948.1,15886.0,16407.7,15936.0,15545.9,15530.6,15279.0,15645.9,15814.0,16445.4,15931.3,15930.4,15733.7,15239.0,,15728.1,15798.5,16276.0,15810.0,17493.3,15444.0,15580.3,,15951.6,15758.0,16004.6,15661.0,,15130.4,16094.0,66.6,71.7,123.8,164.4,36.0,152.2,33.0,-136.0,45.0,-8.8,,82.8,257.0,-133.5,,19.1,-23.6,,169.1,107.0,628.7,157.0,-233.1,-248.4,-500.0,-133.1,35.0,666.4,152.3,151.4,-45.3,-540.0,,-50.9,19.5,497.0,31.0,1714.3,-335.0,-198.7,,172.6,-21.0,225.6,-118.0,,-648.6,315.0,False,False,False,True,False,True,False,True,True,,False,False,False,,True,True,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,,True,True,False,True,False,False,False,,False,True,False,False,,False,False
Michigan,16342,16507.9,16809.2,16593.8,16296.3,16651.0,16557.2,16435.0,16394.0,16624.0,16639.0,,16362.8,16661.0,16691.8,,16345.8,16447.2,,16920.7,17416.0,17202.5,16656.0,16508.4,16425.2,16109.0,16239.2,16637.0,16202.8,16337.3,16446.8,16352.4,16527.0,,16430.3,16356.4,16695.0,16414.0,16371.4,16057.0,16230.5,,16339.1,16355.0,17073.5,16329.0,,16318.0,16977.0,165.9,467.2,251.8,-45.7,309.0,215.2,93.0,52.0,282.0,297.0,,20.8,319.0,349.8,,3.8,105.2,,578.7,1074.0,860.5,314.0,166.4,83.2,-233.0,-102.8,295.0,-139.2,-4.7,104.8,10.4,185.0,,88.3,14.4,353.0,72.0,29.4,-285.0,-111.5,,-2.9,13.0,731.5,-13.0,,-24.0,635.0,False,False,True,False,False,True,True,False,False,,True,False,False,,True,True,,False,False,False,False,False,True,False,True,False,True,True,True,True,False,,True,True,False,True,True,False,True,,True,True,False,True,,True,False
Minnesota,6491,6568.0,6577.7,6574.9,6615.3,6633.0,6626.7,6597.0,6561.0,6590.0,6647.3,,6589.8,6595.0,6564.2,,6604.4,6555.6,,6736.6,6736.0,7784.5,6631.0,6734.1,6535.9,6413.0,6536.3,6661.0,6424.5,6569.9,6615.4,6535.7,6849.0,,6786.5,6531.6,6651.0,6597.0,5709.9,6532.0,6787.5,,6601.7,6545.0,6669.0,6527.0,,6618.3,6663.0,77.0,86.7,83.9,124.3,142.0,135.7,106.0,70.0,99.0,156.3,,98.8,104.0,73.2,,113.4,64.6,,245.6,245.0,1293.5,140.0,243.1,44.9,-78.0,45.3,170.0,-66.5,78.9,124.4,44.7,358.0,,295.5,40.6,160.0,106.0,-781.1,41.0,296.5,,110.7,54.0,178.0,36.0,,127.3,172.0,False,False,False,False,False,False,True,False,False,,False,False,True,,False,True,,False,False,False,False,False,True,False,True,False,True,False,False,True,False,,False,True,False,False,False,True,False,,False,True,False,True,,False,False
Mississippi,6553,6825.0,6633.7,6849.4,6813.7,6736.0,6816.2,6746.0,6593.0,6453.0,6763.3,,6738.0,6507.0,6950.7,,6615.9,6599.1,,6470.2,7066.0,6711.3,6813.0,6525.6,6505.5,6458.0,6680.5,6876.0,6869.6,6794.7,6782.4,6712.1,6801.0,,6878.9,6743.8,6745.0,6758.0,6511.1,6601.0,6748.0,,6818.6,6725.0,6861.3,6792.0,,6472.7,6798.0,272.0,80.7,296.4,260.7,183.0,263.2,193.0,40.0,-100.0,210.3,,185.0,-46.0,397.7,,62.9,46.1,,-82.8,513.0,158.3,260.0,-27.4,-47.5,-95.0,127.5,323.0,316.6,241.7,229.4,159.1,248.0,,325.9,190.8,192.0,205.0,-41.9,48.0,195.0,,265.6,172.0,308.3,239.0,,-80.3,245.0,True,False,True,True,True,True,True,True,True,,True,True,False,,True,True,,True,False,True,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,,True,True,False,True,,True,True
Missouri,8059,7678.1,7965.5,7787.9,7692.9,7630.0,7727.2,7666.0,7573.0,7536.0,7648.5,,7573.8,7678.0,7829.7,,7496.9,7684.9,,7153.6,8127.0,6921.5,7823.0,7429.8,7642.0,7394.0,7522.9,7762.0,7836.1,7720.9,7767.2,7590.0,8078.0,,7712.0,7755.7,7638.0,7654.0,7463.3,7414.0,7361.1,,7749.5,7619.0,7646.5,7491.0,,7127.9,7817.0,-350.9,-63.5,-241.1,-336.1,-399.0,-301.8,-363.0,-456.0,-493.0,-380.5,,-455.2,-351.0,-199.3,,-532.1,-344.1,,-875.4,98.0,-1107.5,-206.0,-599.2,-387.0,-635.0,-506.1,-267.0,-192.9,-308.1,-261.8,-439.0,49.0,,-317.0,-273.3,-391.0,-375.0,-565.7,-615.0,-667.9,,-279.5,-410.0,-382.5,-538.0,,-901.1,-212.0,True,True,True,False,True,False,False,False,False,,False,False,True,,False,True,,False,True,False,True,False,False,False,False,True,True,True,True,False,True,,True,True,False,False,False,False,False,,True,False,False,False,,False,True
Montana,1341,1467.3,1361.5,1387.9,1482.5,1510.0,1505.0,1384.0,1372.0,1322.0,1359.9,,1301.9,1292.0,1374.1,,1523.0,1315.3,,1349.8,1440.0,1802.6,1528.0,1371.1,1327.2,1327.0,1369.6,1370.0,1327.1,1389.8,1388.3,1388.4,1384.0,,,1322.7,1335.0,1345.0,1076.8,1386.0,1545.5,,1425.0,1345.0,1430.4,1424.0,,1339.0,1407.0,126.3,20.5,46.9,141.5,169.0,164.0,43.0,31.0,-19.0,18.9,,-39.1,-49.0,33.1,,182.0,-25.7,,8.8,99.0,461.6,187.0,30.1,-13.8,-14.0,28.6,29.0,-13.9,48.8,47.3,47.4,43.0,,,-18.3,-6.0,4.0,-264.2,45.0,204.5,,84.0,4.0,89.4,83.0,,-2.0,66.0,True,True,False,False,False,True,True,True,True,,True,True,True,,False,True,,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,,True,True
Nebraska,2047,2037.1,2017.4,2004.8,2026.7,2072.0,2043.0,2039.0,2028.0,2045.0,2098.1,,2018.2,2001.0,2054.9,,2068.4,2067.8,,2015.1,2092.0,2410.6,2097.0,2159.1,2029.0,1963.0,2012.5,2126.0,1965.6,2030.0,2079.2,2017.6,2044.0,,,2025.6,2079.0,2059.0,1798.6,1983.0,2035.8,,2065.7,2030.0,2036.0,2007.0,,2043.9,2091.0,-9.9,-29.6,-42.2,-20.3,25.0,-4.0,-8.0,-19.0,-2.0,51.1,,-28.8,-46.0,7.9,,21.4,20.8,,-31.9,45.0,363.6,50.0,112.1,-18.0,-84.0,-34.5,79.0,-81.4,-17.0,32.2,-29.4,-3.0,,,-21.4,32.0,12.0,-248.4,-64.0,-11.2,,18.7,-17.0,-11.0,-40.0,,-3.1,44.0,False,False,False,False,True,True,False,True,False,,False,False,True,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,False,False,False,False,False,False,,False,False,False,False,,True,False
Nevada,4868,4967.1,5027.4,4988.3,5004.0,4877.0,5022.9,4870.0,4825.0,4791.0,4867.3,,4745.1,4871.0,4918.3,,,4768.8,,4854.2,5175.0,4328.8,4966.0,4667.8,4728.7,4815.0,4735.4,4953.0,4937.8,4979.7,4871.7,5003.7,5146.5,,5023.1,4806.4,4747.0,4769.0,4592.1,4651.0,4974.2,,5003.9,4727.0,5240.1,4821.0,,4675.6,4895.0,99.1,159.4,120.3,136.0,9.0,154.9,2.0,-43.0,-77.0,-0.7,,-122.9,3.0,50.3,,,-99.2,,-13.8,307.0,-539.2,98.0,-200.2,-139.3,-53.0,-132.6,85.0,69.8,111.7,3.7,135.7,278.5,,155.1,-61.6,-121.0,-99.0,-275.9,-217.0,106.2,,135.9,-141.0,372.1,-47.0,,-192.4,27.0,False,False,False,True,False,True,True,True,True,,False,True,True,,,False,,True,False,False,True,False,False,True,False,True,True,False,True,False,False,,False,True,False,True,False,False,False,,False,False,False,True,,False,True
New Hampshire,1153,1257.0,1180.6,1222.3,1253.5,1221.0,1225.0,1223.0,1193.0,1181.0,1219.3,,1242.4,1211.0,1204.9,,1194.9,1184.1,,1191.7,1233.0,1630.6,1227.0,1319.5,1182.3,1159.0,1183.4,1250.0,,1224.4,1234.3,1208.6,1277.0,,,1223.6,1232.0,1238.0,1268.0,1259.0,1194.4,,1262.2,1191.0,1230.5,1202.0,,1125.0,1231.0,104.0,27.6,69.3,100.5,68.0,72.0,70.0,40.0,28.0,66.3,,89.4,58.0,51.9,,41.9,31.1,,38.7,80.0,477.6,74.0,166.5,29.3,6.0,30.4,97.0,,71.4,81.3,55.6,124.0,,,70.6,79.0,85.0,115.0,106.0,41.4,,109.2,38.0,77.5,49.0,,-28.0,78.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,True,,True,True,True,False,,,True,True,True,False,False,True,,False,True,True,True,,True,True
New Jersey,22834,23006.9,23308.7,22999.9,23018.8,22925.0,23017.7,22980.0,22819.0,23469.0,23066.3,,23041.1,23158.0,22487.5,,22697.1,22765.1,,22826.8,23387.0,23516.9,23086.0,22859.1,22923.3,22510.0,22854.9,23027.0,22764.3,23035.8,23133.3,22914.3,22049.0,,22720.9,22742.6,24055.0,22986.0,21675.7,22679.0,22984.7,,23037.6,22584.0,23093.5,22948.0,,22069.8,23224.0,172.9,474.7,165.9,184.8,91.0,183.7,146.0,-15.0,635.0,232.3,,207.1,324.0,-346.5,,-136.9,-68.9,,-7.2,553.0,682.9,252.0,25.1,89.3,-324.0,20.9,193.0,-69.7,201.8,299.3,80.3,-785.0,,-113.1,-91.4,1221.0,152.0,-1158.3,-155.0,150.7,,203.6,-250.0,259.5,114.0,,-764.2,390.0,False,True,False,True,False,True,True,False,False,,False,False,False,,True,True,,True,False,False,False,True,True,False,True,False,True,False,False,True,False,,True,True,False,True,False,True,True,,False,False,False,True,,False,False
New Mexico,3610,3677.3,3711.6,3743.0,3706.6,3702.0,3715.0,3659.0,3628.0,3607.0,3675.2,,3579.7,3667.0,3569.1,,3726.6,3692.2,,3776.9,3875.0,3662.9,3767.0,3564.1,3589.9,3585.0,3615.6,3689.0,3604.7,3680.5,3708.4,3596.7,3752.0,,,3659.2,3606.0,3643.0,3575.9,3588.0,3507.4,,3717.8,3638.0,3791.2,3581.0,,3582.8,3659.0,67.3,101.6,133.0,96.6,92.0,105.0,49.0,18.0,-3.0,65.2,,-30.3,57.0,-40.9,,116.6,82.2,,166.9,265.0,52.9,157.0,-45.9,-20.1,-25.0,5.6,79.0,-5.3,70.5,98.4,-13.3,142.0,,,49.2,-4.0,33.0,-34.1,-22.0,-102.6,,107.8,28.0,181.2,-29.0,,-27.2,49.0,False,False,False,False,False,True,True,True,True,,True,True,True,,False,False,,False,False,True,False,True,True,True,True,False,True,False,False,True,False,,,True,True,True,True,True,False,,False,True,False,True,,True,True
New York,46703,47374.0,47070.3,47449.7,47346.8,47245.0,47410.6,47057.0,46790.0,47185.0,47392.8,,47026.2,48326.0,46234.8,,46497.8,47290.5,,47129.5,47216.0,47293.3,48040.0,47493.4,46876.3,46527.0,47184.0,47608.0,46759.9,47063.3,47569.7,46884.6,45710.5,,46275.6,47002.5,50157.0,47347.0,45085.4,46155.0,47653.3,,47088.2,46645.0,46137.0,46883.0,,44048.1,46773.0,671.0,367.3,746.7,643.8,542.0,707.6,354.0,87.0,482.0,689.8,,323.2,1623.0,-468.2,,-205.2,587.5,,426.5,513.0,590.3,1337.0,790.4,173.3,-176.0,481.0,905.0,56.9,360.3,866.7,181.6,-992.5,,-427.4,299.5,3454.0,644.0,-1617.6,-548.0,950.3,,385.2,-58.0,-566.0,180.0,,-2654.9,70.0,True,False,True,True,False,True,True,True,False,,True,False,True,,True,True,,True,True,True,False,False,True,True,True,False,True,True,False,True,False,,True,True,False,True,False,True,False,,True,True,True,True,,False,True
North Carolina,10896,11163.6,10800.6,11128.9,11438.2,11325.0,11390.7,11058.0,10925.0,10382.0,10873.2,,10754.6,10543.0,10965.7,,11126.4,10499.9,,10846.0,11300.0,10676.7,11173.0,11048.5,10754.8,10659.0,11070.0,11113.0,11222.4,11406.4,11148.3,11185.3,11446.5,,10996.1,11022.9,10956.0,11002.0,11401.3,10782.0,11267.6,,11424.0,10980.0,11605.8,11243.0,,10102.1,11363.0,267.6,-95.4,232.9,542.2,429.0,494.7,162.0,29.0,-514.0,-22.8,,-141.4,-353.0,69.7,,230.4,-396.1,,-50.0,404.0,-219.3,277.0,152.5,-141.2,-237.0,174.0,217.0,326.4,510.4,252.3,289.3,550.5,,100.1,126.9,60.0,106.0,505.3,-114.0,371.6,,528.0,84.0,709.8,347.0,,-793.9,467.0,True,True,False,False,False,True,True,False,True,,True,False,True,,True,False,,True,False,True,False,True,True,True,True,True,False,False,True,False,False,,True,True,True,True,False,True,False,,False,True,False,False,,False,False
