,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Georgia,16742,13093.3,12967.2,13120.7,33257.0,14238.0,,15414.6,14080.0,15393.0,15541.8,,13164.1,-3648.7,-3774.8,-3621.3,16515.0,-2504.0,,-1327.4,-2662.0,-1349.0,-1200.2,,-3577.9,False,True,False,True,,True,True,True,True,,True
Hawaii,429,308.6,396.8,323.5,543.0,425.6,,459.1,,428.1,360.9,,333.4,-120.4,-32.2,-105.5,114.0,-3.4,,30.1,,-0.9,-68.1,,-95.6,True,True,True,True,,True,,True,True,,True
Idaho,1826,1935.4,1691.5,1985.6,1748.0,2364.7,,2359.9,2069.0,2250.9,1614.9,,1823.5,109.4,-134.5,159.6,-78.0,538.7,,533.9,243.0,424.9,-211.1,,-2.5,False,False,True,False,,False,False,False,False,,True
Illinois,22426,24635.3,25295.9,24406.8,23628.0,23839.9,,25123.3,23930.0,25850.6,18273.3,,21022.8,2209.3,2869.9,1980.8,1202.0,1413.9,,2697.3,1504.0,3424.6,-4152.7,,-1403.2,False,True,True,True,,False,True,False,False,,True
Indiana,12336,11292.3,11059.7,11502.0,10923.0,12359.8,,11367.6,12224.0,12165.7,8732.5,,9893.5,109.3,-123.3,319.0,-260.0,1176.8,,184.6,1041.0,982.7,-2450.5,,-1289.5,False,False,False,False,,False,False,False,False,,False
Iowa,5336,4969.7,6781.4,5431.3,7686.0,5879.5,,4040.4,6032.0,5143.6,4256.6,,5071.5,-366.3,1445.4,95.3,2350.0,543.5,,-1295.6,696.0,-192.4,-1079.4,,-264.5,False,True,False,False,,False,False,True,False,,True
Kansas,4573,3775.9,5347.2,3798.5,4308.0,4554.0,,4790.5,4691.0,5155.8,3423.3,,4141.0,-797.1,774.2,-774.5,-265.0,-19.0,,217.5,118.0,582.8,-1149.7,,-432.0,True,True,True,True,,True,True,True,False,,True
Kentucky,4426,3796.4,3947.4,3837.4,3137.0,3801.6,,3845.3,4025.5,3865.4,3414.6,,3869.4,-629.6,-478.6,-588.6,-1289.0,-624.4,,-580.7,-400.5,-560.6,-1011.4,,-556.6,True,True,False,True,,True,True,True,False,,True
Louisiana,9440,9247.4,7888.5,9495.9,8479.0,9601.0,,9421.9,10246.0,9401.3,7746.5,,9415.9,-192.6,-1551.5,55.9,-961.0,161.0,,-18.1,806.0,-38.7,-1693.5,,-24.1,False,True,False,True,,True,False,True,False,,True
Maine,658,566.6,474.1,535.0,2822.0,1097.9,,725.9,729.0,1063.9,830.7,,410.8,-91.4,-183.9,-123.0,2164.0,439.9,,67.9,71.0,405.9,172.7,,-247.2,False,False,False,False,,True,True,False,False,,False
Maryland,7697,7786.3,6435.6,7826.2,7292.0,8595.0,,8925.2,8276.0,8653.2,6367.7,,6897.7,89.3,-1261.4,129.2,-405.0,898.0,,1228.2,579.0,956.2,-1329.3,,-799.3,False,False,False,False,,False,False,False,False,,False
Massachusetts,15779,15197.9,15020.4,14835.9,15104.0,17223.5,,15757.3,16007.0,16873.0,13873.9,,13537.0,-581.1,-758.6,-943.1,-675.0,1444.5,,-21.7,228.0,1094.0,-1905.1,,-2242.0,False,False,False,False,,True,True,False,False,,False
Michigan,16342,17530.0,18387.7,17613.1,14196.0,16867.6,,17766.9,19150.0,18065.2,13031.8,,15336.5,1188.0,2045.7,1271.1,-2146.0,525.6,,1424.9,2808.0,1723.2,-3310.2,,-1005.5,False,False,False,True,,False,False,False,False,,True
Minnesota,6491,7539.6,7929.9,7783.4,5854.0,7004.2,,7559.5,8656.0,7037.1,5211.2,,6477.6,1048.6,1438.9,1292.4,-637.0,513.2,,1068.5,2165.0,546.1,-1279.8,,-13.4,False,False,True,True,,False,False,True,False,,True
Mississippi,6553,6153.9,5854.0,5964.6,6423.0,7320.3,,6686.8,6860.0,7020.5,5732.4,,6008.6,-399.1,-699.0,-588.4,-130.0,767.3,,133.8,307.0,467.5,-820.6,,-544.4,False,False,True,False,,True,True,False,False,,False
Missouri,8059,8574.6,6330.4,8847.9,8644.0,8252.3,,8404.9,9252.0,8669.5,5690.8,,6497.8,545.6,-1698.6,818.9,615.0,223.3,,375.9,1223.0,640.5,-2338.2,,-1531.2,False,False,False,True,,True,False,False,False,,False
Montana,1341,1387.6,1330.6,1359.4,1068.0,1162.2,,1282.8,1564.0,1118.1,1040.9,,1547.4,46.6,-10.4,18.4,-273.0,-178.8,,-58.2,223.0,-222.9,-300.1,,206.4,True,True,False,False,,False,False,False,False,,False
Nebraska,2047,2132.6,2578.7,2231.0,1950.0,2493.5,,2668.6,2668.5,2304.4,1711.5,,1860.0,85.6,531.7,184.0,-97.0,446.5,,621.6,621.5,257.4,-335.5,,-187.0,False,False,False,False,,False,False,False,False,,False
Nevada,4868,4293.6,3397.1,4485.9,3971.0,4917.6,,5057.3,4927.0,5510.1,3268.9,,4182.4,-574.4,-1470.9,-382.1,-897.0,49.6,,189.3,59.0,642.1,-1599.1,,-685.6,False,True,False,True,,True,True,False,False,,False
New Hampshire,1153,1116.6,2369.4,1109.1,1036.0,1467.9,,1543.7,1338.5,1511.6,941.6,,932.9,-36.4,1216.4,-43.9,-117.0,314.9,,390.7,185.5,358.6,-211.4,,-220.1,False,False,False,False,,False,False,False,False,,False
New Jersey,22834,22055.7,21875.3,22147.9,20989.0,22812.3,,23524.4,22323.0,23935.2,19623.2,,22070.6,-778.3,-958.7,-686.1,-1845.0,-21.7,,690.4,-511.0,1101.2,-3210.8,,-763.4,False,True,False,True,,True,True,False,False,,True
New Mexico,3610,3721.0,2884.8,3603.1,2913.0,3406.2,,4093.1,3878.0,3788.2,2557.2,,2676.2,111.0,-725.2,-6.9,-697.0,-203.8,,483.1,268.0,178.2,-1052.8,,-933.8,False,True,False,False,,False,False,False,False,,False
New York,46703,45111.0,40414.2,45145.0,42638.0,46480.1,,47831.1,45054.0,48997.4,41607.3,,47086.8,-1592.0,-6288.8,-1558.0,-4065.0,-222.9,,1128.1,-1649.0,2294.4,-5095.7,,383.8,False,True,False,True,,True,False,False,False,,True
North Carolina,10896,9102.6,9400.7,9262.8,9078.0,10380.8,,10655.3,10372.0,10528.7,8708.2,,9043.8,-1793.4,-1495.3,-1633.2,-1818.0,-515.2,,-240.7,-524.0,-367.3,-2187.8,,-1852.2,True,True,False,True,,True,True,True,False,,False
North Dakota,1467,1541.0,1494.7,1528.7,1428.0,1614.3,,1889.9,2036.0,1522.0,1271.8,,1386.7,74.0,27.7,61.7,-39.0,147.3,,422.9,569.0,55.0,-195.2,,-80.3,True,True,True,False,,False,False,True,False,,False
Ohio,18015,12139.0,10292.3,12037.1,10760.0,13957.9,,13790.9,14049.0,14757.8,9737.8,,11987.7,-1587.0,-3433.7,-1688.9,-2966.0,231.9,,64.9,323.0,1031.8,-3988.2,,-1738.3,False,False,False,True,,True,True,True,False,,False
Oklahoma,4155,3611.4,3680.4,3700.9,3837.0,3668.1,,3973.0,4255.0,4244.7,3430.6,,3944.7,-543.6,-474.6,-454.1,-318.0,-486.9,,-182.0,100.0,89.7,-724.4,,-210.3,True,True,True,True,,True,True,True,False,,True
Oregon,2154,2102.7,1476.9,2078.2,1768.0,2748.0,,3544.2,2955.0,2514.5,1729.0,,2177.8,-51.3,-677.1,-75.8,-386.0,594.0,,1390.2,801.0,360.5,-425.0,,23.8,False,False,False,False,,False,False,False,False,,True
Pennsylvania,23540,23886.9,25481.0,23686.2,20258.0,29873.3,,27290.6,27378.0,32775.3,18472.0,,19473.3,346.9,1941.0,146.2,-3282.0,6333.3,,3750.6,3838.0,9235.3,-5068.0,,-4066.7,False,True,False,False,,False,False,False,False,,False
Rhode Island,2485,2324.7,2782.0,2337.7,1915.0,2642.0,,2657.9,2598.5,2512.3,1817.4,,1891.4,4.7,462.0,17.7,-405.0,322.0,,337.9,278.5,192.3,-502.6,,-428.6,False,False,False,False,,False,False,False,False,,False
South Carolina,8256,6883.6,8998.0,6957.8,8300.0,8089.2,,7271.0,7184.0,7904.2,6917.7,,6850.6,-1372.4,742.0,-1298.2,44.0,-166.8,,-985.0,-1072.0,-351.8,-1338.3,,-1405.4,True,True,True,True,,True,True,True,True,,False
South Dakota,1859,2113.9,1831.7,2214.0,1831.0,2112.6,,1841.6,2184.0,2175.8,1495.9,,1725.9,254.9,-27.3,355.0,-28.0,253.6,,-17.4,325.0,316.8,-363.1,,-133.1,True,False,True,True,,True,False,False,False,,True
Tennessee,11115,9977.0,11479.4,10306.3,19306.0,14098.3,,12938.0,12886.0,14797.6,13085.5,,10840.1,-1138.0,364.4,-808.7,8191.0,2983.3,,1823.0,1771.0,3682.6,1970.5,,-274.9,True,True,False,False,,False,False,False,False,,True
Texas,42041,35915.3,47649.0,36530.4,48016.0,38257.5,,37915.9,39706.0,41841.4,35169.9,,32948.9,-5961.7,5772.0,-5346.6,6139.0,-3619.5,,-3961.1,-2171.0,-35.6,-6707.1,,-8928.1,True,True,False,True,,True,True,True,False,,False
Utah,1842,1677.6,1327.5,1723.8,1741.0,2269.2,,2505.2,2273.0,1985.3,1502.8,,1639.1,-164.4,-514.5,-118.2,-101.0,427.2,,663.2,431.0,143.3,-339.2,,-202.9,False,True,True,False,,False,False,True,False,,False
Vermont,196,252.7,335.9,225.0,198.0,316.3,,249.8,322.0,308.7,181.9,,148.1,56.7,139.9,29.0,2.0,120.3,,53.8,126.0,112.7,-14.1,,-47.9,False,True,True,False,,True,False,False,True,,True
Virginia,7197,6456.9,8451.0,6414.2,7500.0,7233.8,,8906.7,7073.0,7947.6,6267.5,,5439.1,-740.1,1254.0,-782.8,303.0,36.8,,1709.7,-124.0,750.6,-929.5,,-1757.9,False,False,True,True,,False,True,False,False,,False
Washington,4822,3812.6,3936.7,3824.5,3641.0,4025.6,,6456.5,4747.5,3804.6,3374.3,,4410.0,-1009.4,-885.3,-997.5,-1181.0,-796.4,,1634.5,-74.5,-1017.4,-1447.7,,-412.0,True,True,False,True,,False,True,False,False,,True
West Virginia,2254,2244.0,2732.0,2301.0,2834.0,2731.7,,2701.0,2636.0,3437.7,1842.8,,2250.2,-10.0,478.0,47.0,580.0,477.7,,447.0,382.0,1183.7,-411.2,,-3.8,False,False,False,False,,False,False,False,False,,True
Wisconsin,6871,7364.7,7758.6,7485.6,6989.0,7200.7,,7180.5,8333.0,7652.5,5770.3,,6983.2,493.7,887.6,614.6,118.0,329.7,,309.5,1462.0,781.5,-1100.7,,112.2,False,False,True,True,,True,False,False,False,,True
Wyoming,662,545.9,536.7,549.2,467.0,585.2,,686.7,717.0,419.0,446.7,,486.6,-116.1,-125.3,-112.8,-195.0,-76.8,,24.7,55.0,-243.0,-215.3,,-175.4,False,True,False,True,,True,True,False,False,,False
US,499023,454510.9,363798.3,457827.3,499607.0,485742.4,476499.0,510304.4,491018.0,536780.1,424837.8,495730.4,379715.0,-38569.1,-129281.7,-35252.7,6527.0,-7337.6,-16581.0,17224.4,-2062.0,43700.1,-68242.2,2650.4,-113365.0,False,True,True,True,True,True,True,False,False,True,False
