,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,16742,16752.3,16938.2,16871.5,16890.5,16830.0,16877.7,16563.0,16476.0,16067.0,16446.5,16595.0,16511.7,16043.0,16593.7,,16224.2,15598.7,16499.6,,16326.2,17078.0,15363.8,16891.0,15646.6,16511.6,16221.0,16619.9,16835.0,,16570.6,16713.2,16618.8,17323.0,,17186.4,16619.8,16397.0,16509.0,17094.9,16116.0,16529.5,,16595.6,16747.0,16366.0,16640.4,16731.0,,15283.0,17096.0,10.3,196.2,129.5,148.5,88.0,135.7,-179.0,-266.0,-675.0,-295.5,-147.0,-230.3,-699.0,-148.3,,-517.8,-1143.3,-242.4,,-415.8,336.0,-1378.2,149.0,-1095.4,-230.4,-521.0,-122.1,93.0,,-171.4,-28.8,-123.2,581.0,,444.4,-122.2,-345.0,-233.0,352.9,-626.0,-212.5,,-146.4,5.0,-376.0,-101.6,-11.0,,-1459.0,354.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,True,False,False,False,,False,False
Hawaii,429,431.9,445.1,492.1,446.0,447.0,433.0,440.0,437.0,434.0,448.8,462.0,472.5,439.0,446.7,,,,482.7,,426.1,,529.4,440.0,482.8,430.1,430.0,439.1,492.0,,434.2,448.8,433.8,439.0,,,440.4,440.0,441.0,406.6,443.0,428.6,,439.9,447.1,435.0,443.5,433.0,,436.0,466.0,2.9,16.1,63.1,17.0,18.0,4.0,11.0,8.0,5.0,19.8,33.0,43.5,10.0,17.7,,,,53.7,,-2.9,,100.4,11.0,53.8,1.1,1.0,10.1,63.0,,5.2,19.8,4.8,10.0,,,11.4,11.0,12.0,-22.4,14.0,-0.4,,10.9,18.1,6.0,14.5,4.0,,7.0,37.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,,False,,False,False,False,True,True,False,False,,False,False,False,False,,,False,False,False,False,False,True,,False,False,False,False,False,,False,False
Idaho,1826,1845.0,1860.3,1834.5,1852.4,1864.0,1851.0,1849.0,1830.0,1822.0,1852.7,1848.0,1812.4,1824.0,1866.5,,1806.2,,1883.3,,1843.1,1897.0,1811.4,1861.0,1892.3,1831.9,1823.0,1824.9,1904.0,1826.1,1846.1,1859.9,1829.3,1849.0,,,1838.7,1850.0,1842.0,1701.9,1819.0,1855.7,,1870.2,1910.8,1824.0,1860.5,1830.0,,1854.1,1874.0,19.0,34.3,8.5,26.4,38.0,25.0,23.0,4.0,-4.0,26.7,22.0,-13.6,-2.0,40.5,,-19.8,,57.3,,17.1,71.0,-14.6,35.0,66.3,5.9,-3.0,-1.1,78.0,0.1,20.1,33.9,3.3,23.0,,,12.7,24.0,16.0,-124.1,-7.0,29.7,,44.2,84.8,-2.0,34.5,4.0,,28.1,48.0,False,True,False,False,False,False,True,True,False,False,True,True,False,,False,,False,,True,False,True,False,False,True,True,True,False,True,False,False,True,False,,,True,False,True,False,True,False,,False,False,True,False,True,,False,False
Illinois,22426,22638.7,22658.3,22415.9,22573.7,22640.0,22601.2,22512.0,22466.0,22413.0,22584.1,22526.0,22190.0,22541.0,23099.6,,22442.5,,22461.4,,22568.5,22874.0,24081.2,22477.0,20536.0,22554.3,22398.0,22517.9,22584.0,22219.8,22646.4,22683.7,22455.4,22514.0,,22645.0,22444.3,22771.0,22461.0,22299.8,22421.0,22325.0,,22655.0,22742.5,22506.0,22605.0,22434.0,,20458.2,22512.0,212.7,232.3,-10.1,147.7,214.0,175.2,86.0,40.0,-13.0,158.1,100.0,-236.0,115.0,673.6,,16.5,,35.4,,142.5,448.0,1655.2,51.0,-1890.0,128.3,-28.0,91.9,158.0,-206.2,220.4,257.7,29.4,88.0,,219.0,18.3,345.0,35.0,-126.2,-5.0,-101.0,,229.0,316.5,80.0,179.0,8.0,,-1967.8,86.0,False,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,,True,False,False,True,False,True,True,True,True,True,False,False,True,True,,False,True,False,True,True,True,True,,False,False,True,True,True,,False,True
Indiana,12336,15239.7,12333.9,13021.2,15578.6,12218.0,15322.3,12400.0,12206.0,12035.0,12507.3,13087.0,10599.0,12442.0,12712.5,,12786.2,,12820.7,,10565.1,12576.0,11503.7,12218.0,11958.1,12129.8,12337.0,13360.6,12907.0,19344.8,12217.4,13067.2,12331.0,12332.0,,12184.7,12349.8,12414.0,12629.0,10580.1,12253.0,12178.4,,12293.9,13595.1,12357.0,12210.0,12196.0,,12164.3,27000.0,2903.7,-2.1,685.2,3242.6,-118.0,2986.3,64.0,-130.0,-301.0,171.3,751.0,-1737.0,106.0,376.5,,450.2,,484.7,,-1770.9,240.0,-832.3,-118.0,-377.9,-206.2,1.0,1024.6,571.0,7008.8,-118.6,731.2,-5.0,-4.0,,-151.3,13.8,78.0,293.0,-1755.9,-83.0,-157.6,,-42.1,1259.1,21.0,-126.0,-140.0,,-171.7,14664.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,False
Iowa,5336,5492.4,5432.1,5562.4,6073.9,5414.0,6022.0,5489.0,5382.0,5329.0,5463.6,5562.0,4780.7,5441.0,5402.1,,5601.3,,5451.6,,5302.3,5638.0,5332.2,,5380.7,5321.3,5547.0,5493.3,5523.0,5602.4,5436.8,5555.9,5434.1,5336.0,,5724.3,5408.1,5344.0,5475.0,4588.2,5611.0,5570.7,,5520.0,5687.7,5342.0,,5595.0,,5403.3,5814.0,156.4,96.1,226.4,737.9,78.0,686.0,153.0,46.0,-7.0,127.6,226.0,-555.3,105.0,66.1,,265.3,,115.6,,-33.7,302.0,-3.8,,44.7,-14.7,211.0,157.3,187.0,266.4,100.8,219.9,98.1,0.0,,388.3,72.1,8.0,139.0,-747.8,275.0,234.7,,184.0,351.7,6.0,,259.0,,67.3,478.0,True,False,False,True,False,True,True,True,True,False,False,True,True,,False,,True,,True,False,True,,True,True,False,False,False,False,True,False,True,True,,False,True,True,True,False,False,False,,False,False,True,,False,,True,False
Kansas,4573,4647.0,4366.1,4383.2,4751.9,4391.0,4691.0,4420.0,4423.0,4323.0,4320.7,4541.0,4166.3,4349.0,4929.0,,4450.8,,4491.4,,4148.1,4300.0,4514.0,4427.0,4365.7,4390.6,4492.0,4344.4,4394.0,4413.6,4458.7,4432.4,4670.4,4397.0,,,4434.3,4359.0,4420.0,4852.6,4418.0,4536.2,,4508.9,4538.2,4320.0,4484.6,4303.0,,4374.0,4550.0,74.0,-206.9,-189.8,178.9,-182.0,118.0,-153.0,-150.0,-250.0,-252.3,-32.0,-406.7,-224.0,356.0,,-122.2,,-81.6,,-424.9,-273.0,-59.0,-146.0,-207.3,-182.4,-81.0,-228.6,-179.0,-159.4,-114.3,-140.6,97.4,-176.0,,,-138.7,-214.0,-153.0,279.6,-155.0,-36.8,,-64.1,-34.8,-253.0,-88.4,-270.0,,-199.0,-23.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,,True,True,False,False,False,,False,True
Kentucky,4426,4619.3,4587.8,4599.1,4634.7,4578.0,4632.0,4583.0,4541.0,4266.0,4483.9,4680.0,4249.2,4380.0,4484.2,,4568.9,,4615.1,,4567.3,4833.0,5020.7,4588.0,4564.6,4489.3,4615.0,4504.0,4653.0,4596.3,4580.4,4545.9,4614.2,4645.0,,,4515.0,4397.0,4546.0,4156.4,4449.0,4585.8,,4605.1,4779.6,4470.0,4608.2,4518.0,,4292.5,4683.0,193.3,161.8,173.1,208.7,152.0,206.0,157.0,115.0,-160.0,57.9,254.0,-176.8,-46.0,58.2,,142.9,,189.1,,141.3,407.0,594.7,162.0,138.6,63.3,189.0,78.0,227.0,170.3,154.4,119.9,188.2,219.0,,,89.0,-29.0,120.0,-269.6,23.0,159.8,,179.1,353.6,44.0,182.2,92.0,,-133.5,257.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,False,True,True,True,True,False,,,True,True,True,False,True,True,,True,False,True,True,True,,True,False
Louisiana,9440,9601.9,9734.9,9599.9,9627.4,9680.0,9626.0,9571.0,9531.0,9459.0,9609.2,9625.0,9471.4,9688.0,9859.2,,9522.5,,9547.5,,9613.3,9950.0,10080.1,9595.0,9518.6,9517.7,9464.0,9537.3,9748.0,9672.7,9525.8,9643.3,9484.4,9667.0,,9578.4,9460.5,9593.0,9571.0,10082.0,9492.0,9590.6,,9540.3,9724.4,9543.0,9622.9,9517.0,,9417.7,9544.0,161.9,294.9,159.9,187.4,240.0,186.0,131.0,91.0,19.0,169.2,185.0,31.4,248.0,419.2,,82.5,,107.5,,173.3,510.0,640.1,155.0,78.6,77.7,24.0,97.3,308.0,232.7,85.8,203.3,44.4,227.0,,138.4,20.5,153.0,131.0,642.0,52.0,150.6,,100.3,284.4,103.0,182.9,77.0,,-22.3,104.0,False,True,False,False,False,True,True,True,False,False,True,False,False,,True,,True,,False,False,False,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,True,True,,True,False,True,False,True,,True,True
Maine,658,718.6,736.7,720.8,712.5,717.0,722.0,712.0,710.0,702.0,728.1,694.0,739.9,694.0,710.0,,688.9,,740.2,,709.9,780.0,646.7,741.0,805.8,715.1,677.0,687.9,742.0,,720.2,728.0,698.0,733.0,,,682.6,726.0,703.0,779.3,684.0,673.6,,743.9,735.1,691.0,710.3,705.0,,690.4,716.0,60.6,78.7,62.8,54.5,59.0,64.0,54.0,52.0,44.0,70.1,36.0,81.9,36.0,52.0,,30.9,,82.2,,51.9,122.0,-11.3,83.0,147.8,57.1,19.0,29.9,84.0,,62.2,70.0,40.0,75.0,,,24.6,68.0,45.0,121.3,26.0,15.6,,85.9,77.1,33.0,52.3,47.0,,32.4,58.0,False,False,True,True,False,True,True,True,False,True,False,True,True,,True,,False,,True,False,True,False,False,True,True,True,False,,False,False,True,False,,,True,False,True,False,True,True,,False,False,True,True,True,,True,True
Maryland,7697,7761.3,7830.8,7751.6,7769.5,7798.0,7773.0,7752.0,7715.0,7753.0,7746.0,7725.0,7582.6,7769.0,7873.9,,7688.1,,7767.3,,7782.3,7707.0,7938.8,7739.0,7752.2,7771.1,7658.0,7702.7,7776.0,7688.3,7796.4,7802.0,7680.7,7782.5,,7763.4,7760.0,7806.0,7671.0,7603.2,7640.0,7706.8,,7819.1,7750.5,7676.0,7678.7,7691.0,,7551.8,7752.0,64.3,133.8,54.6,72.5,101.0,76.0,55.0,18.0,56.0,49.0,28.0,-114.4,72.0,176.9,,-8.9,,70.3,,85.3,10.0,241.8,42.0,55.2,74.1,-39.0,5.7,79.0,-8.7,99.4,105.0,-16.3,85.5,,66.4,63.0,109.0,-26.0,-93.8,-57.0,9.8,,122.1,53.5,-21.0,-18.3,-6.0,,-145.2,55.0,False,True,False,False,False,True,True,True,True,True,False,False,False,,True,,False,,False,True,False,True,True,False,True,True,False,True,False,False,True,False,,False,True,False,True,False,True,True,,False,True,True,True,True,,False,True
Massachusetts,15779,15782.7,15742.6,15674.6,15690.5,15748.0,15701.0,15644.0,15562.0,15676.0,15647.8,15626.0,15499.6,15719.0,15914.2,,15579.7,,15511.7,,15621.0,15706.0,16271.5,15607.0,15573.7,15497.1,15595.0,15699.6,15612.0,16040.1,15727.4,15863.7,15631.4,15927.0,,15643.6,15649.6,15943.0,15641.0,17493.3,15629.0,15513.8,,15743.9,15587.2,15719.0,15743.5,15611.0,,15341.5,15663.0,3.7,-36.4,-104.4,-88.5,-31.0,-78.0,-135.0,-217.0,-103.0,-131.2,-153.0,-279.4,-60.0,135.2,,-199.3,,-267.3,,-158.0,-73.0,492.5,-172.0,-205.3,-281.9,-184.0,-79.4,-167.0,261.1,-51.6,84.7,-147.6,148.0,,-135.4,-129.4,164.0,-138.0,1714.3,-150.0,-265.2,,-35.1,-191.8,-60.0,-35.5,-168.0,,-437.5,-116.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Michigan,16342,16465.0,16509.6,16398.1,16579.3,16412.0,16511.9,16413.0,16389.0,16513.0,16497.9,16645.0,16186.3,16489.0,16984.6,,16400.9,,16365.7,,16160.3,16671.0,17941.1,16364.0,16407.2,16386.7,16328.0,16308.2,16487.0,16641.0,16456.1,16463.4,16416.4,16410.0,,16422.5,16297.1,,16316.0,16286.8,16238.0,16365.4,,16465.5,16641.3,16335.0,16664.7,16351.0,,16377.0,16692.0,123.0,167.6,56.1,237.3,70.0,169.9,71.0,47.0,171.0,155.9,303.0,-155.7,147.0,642.6,,58.9,,23.7,,-181.7,329.0,1599.1,22.0,65.2,44.7,-14.0,-33.8,145.0,299.0,114.1,121.4,74.4,68.0,,80.5,-44.9,,-26.0,-55.2,-104.0,23.4,,123.5,299.3,-7.0,322.7,9.0,,35.0,350.0,False,True,False,True,False,True,True,False,False,False,False,False,False,,True,,True,,False,False,False,True,True,True,True,True,False,False,True,True,True,True,,True,True,,True,True,True,True,,False,False,True,False,True,,True,False
Minnesota,6491,6550.9,6534.5,6485.1,6562.7,6552.0,6560.9,6549.0,6525.0,6568.0,6589.9,6587.0,6473.0,6547.0,6643.8,,6536.3,,6520.1,,6501.4,6596.0,7809.2,6573.0,6605.8,6528.7,6464.0,6528.9,6554.0,6448.6,6540.7,6576.5,6526.1,6563.0,,6594.7,6504.0,6604.0,6539.0,5736.8,6539.0,6677.2,,6563.7,6626.9,6532.0,6566.8,6542.0,,6564.2,6560.0,59.9,43.5,-5.9,71.7,61.0,69.9,58.0,34.0,77.0,98.9,96.0,-18.0,56.0,152.8,,45.3,,29.1,,10.4,105.0,1318.2,82.0,114.8,37.7,-27.0,37.9,63.0,-42.4,49.7,85.5,35.1,72.0,,103.7,13.0,113.0,48.0,-754.2,48.0,186.2,,72.7,135.9,41.0,75.8,51.0,,73.2,69.0,True,True,False,False,False,True,True,False,False,False,True,True,False,,True,,True,,True,False,False,False,False,True,True,True,False,True,True,False,True,False,,False,True,False,True,False,True,False,,False,False,True,False,True,,False,False
Mississippi,6553,6685.0,6657.8,6721.3,6756.8,6773.0,6761.9,6681.0,6646.0,6529.0,6697.2,6716.0,6641.0,6653.0,6799.9,,6660.7,,6640.7,,6644.6,6676.0,6759.3,6742.0,6547.3,6664.7,6542.0,6600.2,6814.0,6710.4,6744.3,6743.8,6637.8,6774.0,,6770.5,6647.0,6724.0,6647.0,6511.1,6522.0,6723.6,,6764.0,6804.1,6657.0,6689.8,6684.0,,6570.6,6757.0,132.0,104.8,168.3,203.8,220.0,208.9,128.0,93.0,-24.0,144.2,163.0,88.0,100.0,246.9,,107.7,,87.7,,91.6,123.0,206.3,189.0,-5.7,111.7,-11.0,47.2,261.0,157.4,191.3,190.8,84.8,221.0,,217.5,94.0,171.0,94.0,-41.9,-31.0,170.6,,211.0,251.1,104.0,136.8,131.0,,17.6,204.0,True,False,False,False,False,True,True,True,False,False,True,True,False,,True,,True,,True,True,False,False,True,True,True,True,False,False,False,False,True,False,,False,True,False,True,True,True,False,,False,False,True,False,True,,True,False
Missouri,8059,8206.7,8124.6,7972.3,8231.9,7830.0,8252.0,7940.0,7895.0,7757.0,7846.2,7979.0,7512.1,7842.0,8031.4,,7967.5,,7878.9,,7217.6,8240.0,7148.0,8021.0,7485.8,7857.3,7796.0,7873.5,7912.0,8079.0,7971.7,7981.5,8119.4,7968.0,,7793.2,7961.3,7811.0,7887.0,7509.1,7774.0,7673.8,,8054.0,8184.2,7848.0,7963.5,7720.0,,7376.1,8000.0,172.7,90.6,-61.7,197.9,-204.0,218.0,-94.0,-139.0,-277.0,-187.8,-55.0,-521.9,-192.0,-2.6,,-66.5,,-155.1,,-816.4,206.0,-886.0,-13.0,-548.2,-176.7,-238.0,-160.5,-122.0,45.0,-62.3,-52.5,85.4,-66.0,,-240.8,-72.7,-223.0,-147.0,-524.9,-260.0,-360.2,,20.0,150.2,-186.0,-70.5,-314.0,,-657.9,-34.0,True,True,False,False,False,True,True,False,False,True,False,False,True,,True,,True,,False,False,False,True,False,False,False,True,True,True,True,True,True,True,,False,True,False,True,False,False,False,,True,True,False,True,False,,False,True
Montana,1341,1464.4,1431.3,1463.1,1466.5,1437.0,1472.0,1407.0,1403.0,1381.0,1384.1,1489.0,1331.8,1366.0,1402.9,,1472.4,,1402.0,,1418.1,1401.0,1427.5,1449.0,1397.4,1377.0,1373.0,1405.1,1417.0,1433.7,1430.2,1436.1,1438.1,1456.0,,,1380.1,,1404.0,1076.8,1398.0,1461.2,,1453.0,1504.3,1384.0,1406.7,1391.0,,1392.1,1451.0,123.4,90.3,122.1,125.5,96.0,131.0,66.0,62.0,40.0,43.1,148.0,-9.2,25.0,61.9,,131.4,,61.0,,77.1,60.0,86.5,108.0,56.4,36.0,32.0,64.1,76.0,92.7,89.2,95.1,97.1,115.0,,,39.1,,63.0,-264.2,57.0,120.2,,112.0,163.3,43.0,65.7,50.0,,51.1,110.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,False,True,True,True,,True,True
Nebraska,2047,2057.1,2026.4,2007.1,2068.3,2060.0,2064.0,2055.0,2042.0,2049.0,2069.6,2037.0,2007.2,2028.0,2087.6,,2046.8,,2067.3,,2059.2,2082.0,2075.0,2064.0,2110.0,2039.2,2032.0,2022.7,2096.0,1993.1,2051.8,2063.0,2046.1,2053.0,,,2032.7,2071.0,2038.0,1798.6,2027.0,2063.0,,2076.6,2138.1,2037.0,2058.5,2031.0,,2047.6,2076.0,10.1,-20.6,-39.9,21.3,13.0,17.0,8.0,-5.0,2.0,22.6,-10.0,-39.8,-19.0,40.6,,-0.2,,20.3,,12.2,35.0,28.0,17.0,63.0,-7.8,-15.0,-24.3,49.0,-53.9,4.8,16.0,-0.9,6.0,,,-14.3,24.0,-9.0,-248.4,-20.0,16.0,,29.6,91.1,-10.0,11.5,-16.0,,0.6,29.0,False,False,False,False,False,True,True,True,False,True,False,False,False,,True,,False,,False,False,False,False,False,True,False,False,False,False,True,False,True,True,,,False,False,True,False,False,False,,False,False,True,False,False,,True,False
Nevada,4868,4984.3,4987.4,4927.5,4955.1,4917.0,4960.0,4894.0,4837.0,4845.0,4878.8,4907.0,4716.1,4904.0,4995.1,,4878.1,,4808.6,,4783.2,4986.0,4511.1,4915.0,4728.2,4787.6,4894.0,4859.5,4946.0,4920.4,4911.9,4910.7,4903.8,4962.0,,4960.9,4835.8,4773.0,4794.0,4593.3,4798.0,4909.7,,4928.9,4881.2,4808.0,4886.1,4814.0,,4807.2,4912.0,116.3,119.4,59.5,87.1,49.0,92.0,26.0,-31.0,-23.0,10.8,39.0,-151.9,36.0,127.1,,10.1,,-59.4,,-84.8,118.0,-356.9,47.0,-139.8,-80.4,26.0,-8.5,78.0,52.4,43.9,42.7,35.8,94.0,,92.9,-32.2,-95.0,-74.0,-274.7,-70.0,41.7,,60.9,13.2,-60.0,18.1,-54.0,,-60.8,44.0,False,True,True,True,True,True,True,True,True,True,False,True,False,,True,,True,,True,False,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,,True,True,True,True,True,,True,True
New Hampshire,1153,1191.3,1197.2,1204.9,1206.5,1218.0,1210.0,1199.0,1184.0,1187.0,1199.4,1192.0,1184.2,1197.0,1228.2,,1194.3,,1192.5,,1208.6,1185.0,1251.9,1210.0,1255.7,1173.8,1180.0,1175.5,1212.0,,1212.2,1227.2,1183.2,1209.0,,,1193.0,1220.0,1197.0,1268.0,1168.0,1190.3,,1237.6,1210.5,1185.0,1204.2,1199.0,,1152.0,1199.0,38.3,44.2,51.9,53.5,65.0,57.0,46.0,31.0,34.0,46.4,39.0,31.2,44.0,75.2,,41.3,,39.5,,55.6,32.0,98.9,57.0,102.7,20.8,27.0,22.5,59.0,,59.2,74.2,30.2,56.0,,,40.0,67.0,44.0,115.0,15.0,37.3,,84.6,57.5,32.0,51.2,46.0,,-1.0,46.0,False,False,False,False,False,False,True,True,False,False,True,False,False,,False,,False,,False,True,False,False,False,True,True,True,False,,False,False,True,False,,,False,False,False,False,True,True,,False,False,True,False,False,,True,False
New Jersey,22834,22926.9,22920.0,22846.0,22966.9,23003.0,22981.7,22875.0,22809.0,23181.0,22839.2,22815.0,22663.5,23020.0,23084.3,,22788.7,,22926.9,,22789.8,22835.0,23946.6,22941.0,22842.6,22861.4,22758.0,22880.4,22899.0,22809.8,22914.9,23035.4,22811.8,22493.0,,22762.1,22772.5,23531.0,22963.0,21675.8,22723.0,22966.6,,22925.2,22864.3,22657.0,22943.0,22870.0,,22374.0,23053.0,92.9,86.0,12.0,132.9,169.0,147.7,41.0,-25.0,347.0,5.2,-19.0,-170.5,186.0,250.3,,-45.3,,92.9,,-44.2,1.0,1112.6,107.0,8.6,27.4,-76.0,46.4,65.0,-24.2,80.9,201.4,-22.2,-341.0,,-71.9,-61.5,697.0,129.0,-1158.2,-111.0,132.6,,91.2,30.3,-177.0,109.0,36.0,,-460.0,219.0,True,True,False,False,False,True,True,False,True,True,False,False,False,,True,,True,,True,True,False,False,True,True,True,True,True,True,True,False,True,False,,True,True,False,False,False,False,False,,True,True,False,False,True,,False,False
New Mexico,3610,3614.4,3640.3,3622.5,3612.9,3630.0,3628.0,3607.0,3589.0,3587.0,3622.3,3623.0,3557.7,3639.0,3644.3,,3587.5,,3611.8,,3612.0,3684.0,3980.3,3700.0,3563.8,3605.3,3534.0,3557.2,3645.0,3677.5,3601.2,3639.3,3572.8,3647.0,,,3595.2,,3585.0,3381.6,3562.0,3561.9,,3624.7,3673.3,3592.0,3620.6,3559.0,,3596.3,3591.0,4.4,30.3,12.5,2.9,20.0,18.0,-3.0,-21.0,-23.0,12.3,13.0,-52.3,29.0,34.3,,-22.5,,1.8,,2.0,74.0,370.3,90.0,-46.2,-4.7,-76.0,-52.8,35.0,67.5,-8.8,29.3,-37.2,37.0,,,-14.8,,-25.0,-228.4,-48.0,-48.1,,14.7,63.3,-18.0,10.6,-51.0,,-13.7,-19.0,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
