,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Illinois,22426,25866.4,23273.6,26679.9,24214.0,,21452.6,3440.4,847.6,4253.9,1788.0,,-973.4,True,False,True,,True
Indiana,12336,12709.4,11931.5,11467.0,12793.0,,11898.8,1349.4,571.5,107.0,1433.0,,538.8,True,True,False,,True
Iowa,5336,6944.9,5069.0,4040.4,7164.0,,5145.7,1608.9,-267.0,-1295.6,1828.0,,-190.3,True,True,False,,True
Kansas,4573,4723.6,4076.4,5355.0,4886.0,,4355.0,150.6,-496.6,782.0,313.0,,-218.0,False,False,False,,False
Kentucky,4426,4079.9,3967.4,4120.9,3904.0,,4447.7,-346.1,-458.6,-305.1,-522.0,,21.7,False,True,False,,True
Louisiana,9440,9026.0,9145.5,9230.1,9348.0,,9099.8,-414.0,-294.5,-209.9,-92.0,,-340.2,True,True,True,,True
Maine,658,602.0,913.4,722.1,632.0,,486.5,-56.0,255.4,64.1,-26.0,,-171.5,False,False,True,,False
Maryland,7697,8379.7,8467.6,8824.4,7815.0,,7344.5,682.7,770.6,1127.4,118.0,,-352.5,False,False,True,,True
Massachusetts,15779,14976.4,16700.1,15872.8,15774.0,,13270.8,-802.6,921.1,93.8,-5.0,,-2508.2,False,True,True,,False
Michigan,16342,19859.4,17003.6,18623.8,19459.0,,15249.1,3517.4,661.6,2281.8,3117.0,,-1092.9,True,True,True,,True
Minnesota,6491,8505.0,7193.1,7960.5,9879.0,,8084.5,2014.0,702.1,1469.5,3388.0,,1593.5,True,True,False,,True
Mississippi,6553,6269.0,7099.9,6452.7,6770.0,,6200.9,-284.0,546.9,-100.3,217.0,,-352.1,False,True,True,,False
Missouri,8059,9212.3,7336.6,8132.5,8035.0,,6225.2,1182.3,-693.4,102.5,5.0,,-1804.8,True,True,True,,False
Montana,1341,1281.3,1154.7,1306.3,1752.0,,1377.8,-59.7,-186.3,-34.7,411.0,,36.8,False,True,False,,True
Nebraska,2047,2486.9,2612.6,2764.0,2570.5,,1711.4,439.9,565.6,717.0,523.5,,-335.6,False,False,False,,True
Nevada,4868,4904.7,5096.4,4946.9,4703.0,,4562.8,36.7,228.4,78.9,-165.0,,-305.2,False,False,False,,False
New Hampshire,1153,1125.4,1325.9,2032.4,1376.0,,824.0,-27.6,172.9,879.4,223.0,,-329.0,False,False,False,,False
New Jersey,22834,22117.7,21610.5,23208.6,21710.0,,20889.6,-716.3,-1223.5,374.6,-1124.0,,-1944.4,False,True,False,,False
New Mexico,3610,4066.4,3379.5,3826.6,4011.0,,3456.9,456.4,-230.5,216.6,401.0,,-153.1,True,True,True,,True
New York,46703,43614.1,45829.4,47491.1,42458.0,,51289.1,-3088.9,-873.6,788.1,-4245.0,,4586.1,True,True,False,,False
North Carolina,10896,9775.7,9948.0,11145.9,9775.0,,10135.5,-1120.3,-948.0,249.9,-1121.0,,-760.5,True,True,False,,True
North Dakota,1467,1930.7,1573.7,1831.8,2660.0,,1480.0,463.7,106.7,364.8,1193.0,,13.0,True,True,False,,True
Ohio,18015,12962.7,14654.8,13904.5,15433.0,,13524.6,-1486.3,205.8,-544.5,984.0,,-924.4,True,True,True,,True
Oklahoma,4155,3522.9,3740.9,3831.0,4319.0,,3674.7,-632.1,-414.1,-324.0,164.0,,-480.3,True,True,True,,True
Oregon,2154,2988.4,2879.3,3936.7,2798.0,,2826.8,834.4,725.3,1782.7,644.0,,672.8,True,False,True,,True
Pennsylvania,23540,25738.0,29141.8,27842.3,27610.0,,21991.9,2198.0,5601.8,4302.3,4070.0,,-1548.1,False,False,False,,True
Rhode Island,2485,2652.4,2570.4,2619.5,2515.0,,2252.1,310.4,228.4,277.5,173.0,,-89.9,True,True,True,,True
South Carolina,8256,6671.0,7275.9,7323.2,6484.0,,6806.2,-1585.0,-980.1,-932.8,-1772.0,,-1449.8,True,True,False,,True
South Dakota,1859,2264.4,2218.9,1998.9,2817.0,,1687.1,405.4,359.9,139.9,958.0,,-171.9,True,True,False,,True
Tennessee,11115,11465.0,11638.3,10640.1,12008.0,,11865.4,350.0,523.3,-474.9,893.0,,750.4,False,False,False,,False
Texas,42041,38466.1,39085.6,37079.3,37695.0,,35548.8,-3367.9,-2748.4,-4754.7,-4139.0,,-6285.2,True,False,False,,False
Utah,1842,2040.7,2413.3,2458.2,2389.0,,1917.0,198.7,571.3,616.2,547.0,,75.0,False,False,False,,True
Vermont,196,252.7,279.9,239.6,312.0,,193.8,56.7,83.9,43.6,116.0,,-2.2,False,True,False,,True
Virginia,7197,6766.9,7047.1,8017.0,6768.0,,6142.6,-430.1,-149.9,820.0,-429.0,,-1054.4,True,False,True,,False
Washington,4822,4547.7,3848.7,5467.3,4838.5,,4524.2,-274.3,-973.3,645.3,16.5,,-297.8,False,False,True,,False
West Virginia,2254,2545.1,2424.2,2662.3,2571.0,,2757.7,291.1,170.2,408.3,317.0,,503.7,True,False,False,,False
Wisconsin,6871,8321.3,6980.1,7897.8,7971.0,,7427.7,1450.3,109.1,1026.8,1100.0,,556.7,True,True,True,,True
Wyoming,662,616.7,585.3,622.8,924.0,,483.2,-45.3,-76.7,-39.2,262.0,,-178.8,False,True,False,,False
US,499023,480418.0,485679.8,508153.4,498728.0,490383.8,461917.0,-13578.0,-8316.2,14157.4,4732.0,-3612.2,-32079.0,True,False,True,True,False
