,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Massachusetts,15779,13212.0,15898.6,13282.0,12168.8,-2567.0,119.6,-2497.0,-3610.2,True,True,False
Michigan,16342,16486.4,23895.9,17270.0,12002.7,144.4,7553.9,928.0,-4339.3,False,False,False
Minnesota,6491,7668.4,11832.1,9218.0,8798.2,1177.4,5341.1,2727.0,2307.2,False,False,False
Mississippi,6553,5347.4,5722.5,5142.0,5543.7,-1205.6,-830.5,-1411.0,-1009.3,True,False,True
Missouri,8059,7075.1,8511.6,7208.0,6023.4,-954.9,481.6,-822.0,-2006.6,True,True,False
Montana,1341,1477.3,1908.3,1850.0,1391.8,136.3,567.3,509.0,50.8,False,False,True
Nebraska,2047,1937.6,3180.1,2702.0,1384.9,-109.4,1133.1,655.0,-662.1,False,False,False
Nevada,4868,3547.0,4424.8,3185.0,3217.1,-1321.0,-443.2,-1683.0,-1650.9,True,False,False
New Hampshire,1153,692.0,1020.1,858.0,660.0,-461.0,-132.9,-295.0,-493.0,True,True,False
New Jersey,22834,19551.0,22818.0,19890.0,22529.8,-3283.0,-16.0,-2944.0,-304.2,True,True,True
New Mexico,3610,3401.6,5915.8,3486.0,2933.3,-208.4,2305.8,-124.0,-676.7,False,True,False
New York,46703,37430.4,44242.5,38631.0,40215.6,-9260.6,-2448.5,-8060.0,-6475.4,True,True,True
North Carolina,10896,7682.6,8833.3,8424.0,7411.8,-3213.4,-2062.7,-2472.0,-3484.2,True,True,False
North Dakota,1467,1874.6,2321.1,2134.0,1128.4,407.6,854.1,667.0,-338.6,False,False,True
Ohio,18015,11177.4,16800.9,12884.0,14690.2,-5393.6,229.9,-3687.0,-1880.8,True,True,True
Oklahoma,4155,2945.4,4503.4,3542.0,3870.4,-1209.6,348.4,-613.0,-284.6,True,True,True
Oregon,2154,1912.9,4516.9,1730.0,2240.5,-241.1,2362.9,-424.0,86.5,False,False,True
Pennsylvania,23540,16000.3,23598.0,18646.0,13459.0,-7539.7,58.0,-4894.0,-10081.0,True,True,False
Rhode Island,2485,1962.6,2313.6,1715.0,1846.9,-460.4,-109.4,-708.0,-576.1,True,False,False
South Carolina,8256,5183.0,6079.6,5824.0,5696.3,-3073.0,-2176.4,-2432.0,-2559.7,True,True,True
South Dakota,1859,2413.3,2360.0,3219.0,1404.6,554.3,501.0,1360.0,-454.4,True,False,True
Tennessee,11115,7968.9,11541.1,9284.0,9808.1,-3146.1,426.1,-1831.0,-1306.9,True,True,True
Texas,42041,31684.4,38098.1,37290.0,29275.3,-10000.6,-3586.9,-4395.0,-12409.7,True,True,False
Utah,1842,1757.3,2997.1,2358.0,1529.4,-84.7,1155.1,516.0,-312.6,False,False,False
Vermont,196,114.4,57.9,116.0,82.9,-81.6,-138.1,-80.0,-113.1,False,True,False
Virginia,7197,5480.9,6105.2,5714.5,5193.7,-1716.1,-1091.8,-1482.5,-2003.3,True,True,False
Washington,4822,3699.0,13310.8,4135.0,5007.5,-1095.0,8516.8,-659.0,213.5,False,True,True
West Virginia,2254,1523.4,2884.7,2029.0,2344.5,-730.6,630.7,-225.0,90.5,True,True,True
Wisconsin,6871,7482.9,7217.1,8310.0,6142.5,611.9,346.1,1439.0,-728.5,True,False,False
Wyoming,662,677.4,1214.9,811.0,471.4,15.4,552.9,149.0,-190.6,False,False,False
US,499023,385527.4,499344.9,407980.0,372512.0,-110850.6,2966.9,-88398.0,-123866.0,True,True,False
