,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,16742,14351.4,13569.0,14440.0,,13894.5,13687.0,,13949.0,14698.9,14612.1,14150.5,13163.1,12575.0,,14852.9,12128.1,-2390.6,-3173.0,-2302.0,,-2847.5,-3055.0,,-2793.0,-2043.1,-2129.9,-2591.5,-3578.9,-4167.0,,-1889.1,-4613.9,False,True,,False,False,,False,True,True,False,False,False,,True,False
Hawaii,429,419.3,350.9,414.8,,364.1,356.0,,,374.8,784.5,357.0,347.1,353.0,,351.8,338.1,-9.7,-78.1,-14.2,,-64.9,-73.0,,,-54.2,355.5,-72.0,-81.9,-76.0,,-77.2,-90.9,False,False,,False,False,,,False,False,False,False,False,,False,False
Idaho,1826,2037.7,1899.0,2007.5,,1873.4,1798.0,,2095.0,1809.6,2131.1,1927.0,1917.5,1890.0,,1947.9,1782.9,211.7,73.0,181.5,,47.4,-28.0,,269.0,-16.4,305.1,101.0,91.5,64.0,,121.9,-43.1,True,True,,True,True,,False,True,False,True,True,True,,True,True
Illinois,22426,24980.3,26554.1,25186.4,,22574.6,23153.0,,23932.0,22482.5,22792.0,26597.5,22791.5,23006.0,,22792.4,21898.6,2554.3,4128.1,2760.4,,148.6,727.0,,1506.0,56.5,366.0,4171.5,365.5,580.0,,366.4,-527.4,False,False,,True,True,,True,True,True,False,True,True,,True,True
Indiana,12336,11972.1,12734.8,12301.5,,11166.5,11167.0,,12253.0,11320.8,11133.8,13427.0,11295.0,11625.5,,11477.3,10043.1,798.1,1560.8,1127.5,,-7.5,-7.0,,1079.0,146.8,-40.2,2253.0,121.0,451.5,,303.3,-1130.9,False,False,,True,True,,False,True,True,False,True,True,,True,False
Iowa,5336,5262.6,4943.2,5213.0,,5665.3,8105.0,,5569.0,5397.9,5177.5,5054.5,4927.7,4749.5,,5452.7,4868.2,-73.4,-392.8,-123.0,,329.3,2769.0,,233.0,61.9,-158.5,-281.5,-408.3,-586.5,,116.7,-467.8,False,False,,False,False,,False,True,False,False,False,False,,False,False
Kansas,4573,4716.6,5850.4,4755.0,,4440.1,6339.0,,4764.0,5196.7,4182.1,3649.0,4077.6,4461.0,,4499.3,3657.3,143.6,1277.4,182.0,,-132.9,1766.0,,191.0,623.7,-390.9,-924.0,-495.4,-112.0,,-73.7,-915.7,False,False,,True,False,,False,False,False,False,False,True,,True,False
Kentucky,4426,3943.6,4056.9,3944.0,,3638.7,3589.0,,4254.5,4727.0,4733.2,4158.0,3741.6,4234.0,,4192.4,3353.5,-482.4,-369.1,-482.0,,-787.3,-837.0,,-171.5,301.0,307.2,-268.0,-684.4,-192.0,,-233.6,-1072.5,True,True,,False,False,,True,True,True,True,False,True,,True,False
Louisiana,9440,9841.0,9062.9,9904.2,,9565.0,9187.0,,9393.0,9912.2,9298.9,9625.0,8892.2,8692.0,,10090.5,8506.6,401.0,-377.1,464.2,,125.0,-253.0,,-47.0,472.2,-141.1,185.0,-547.8,-748.0,,650.5,-933.4,True,False,,True,True,,True,False,True,True,False,False,,False,False
Maine,658,859.6,632.8,876.0,,669.6,625.0,,663.0,613.1,1265.2,662.0,743.6,810.0,,524.7,525.4,201.6,-25.2,218.0,,11.6,-33.0,,5.0,-44.9,607.2,4.0,85.6,152.0,,-133.3,-132.6,True,False,,True,True,,True,True,False,True,True,True,,True,True
Maryland,7697,7900.3,7722.3,7919.7,,7924.1,14559.0,,7571.0,7844.0,8098.9,8147.5,8226.5,7405.5,,7589.1,6718.9,203.3,25.3,222.7,,227.1,6862.0,,-126.0,147.0,401.9,450.5,529.5,-291.5,,-107.9,-978.1,True,False,,False,False,,True,True,False,False,False,False,,True,False
Massachusetts,15779,16319.7,17542.9,16505.6,,15508.6,16285.0,,16266.0,15134.7,16079.1,18477.0,17479.6,14562.0,,15599.0,13877.6,540.7,1763.9,726.6,,-270.4,506.0,,487.0,-644.3,300.1,2698.0,1700.6,-1217.0,,-180.0,-1901.4,False,False,,True,True,,True,False,True,False,False,False,,True,False
Michigan,16342,19059.1,18645.5,19179.1,,15867.9,16679.0,,18424.0,16406.4,17931.6,18584.0,17698.6,17017.0,,16769.1,15527.2,2717.1,2303.5,2837.1,,-474.1,337.0,,2082.0,64.4,1589.6,2242.0,1356.6,675.0,,427.1,-814.8,True,False,,True,True,,True,True,True,True,True,True,,True,True
Minnesota,6491,7450.1,7410.8,7500.1,,6872.9,6361.0,,7889.0,6766.3,7233.7,7688.0,6795.1,8711.0,,7877.1,6666.8,959.1,919.8,1009.1,,381.9,-130.0,,1398.0,275.3,742.7,1197.0,304.1,2220.0,,1386.1,175.8,True,False,,True,True,,False,True,True,False,True,False,,False,True
Mississippi,6553,6900.7,8029.2,6982.6,,6505.6,6264.0,,6450.0,6406.8,6260.1,7606.0,6246.8,6655.5,,6740.9,5760.5,347.7,1476.2,429.6,,-47.4,-289.0,,-103.0,-146.2,-292.9,1053.0,-306.2,102.5,,187.9,-792.5,False,False,,True,True,,True,True,True,False,True,True,,True,False
Missouri,8059,8458.3,8155.3,8600.1,,8057.0,7089.0,,8492.0,7617.3,7827.7,8256.0,7049.3,7576.0,,6895.4,6722.4,446.3,143.3,588.1,,45.0,-923.0,,480.0,-394.7,-184.3,244.0,-962.7,-436.0,,-1116.6,-1289.6,True,False,,True,False,,False,True,True,True,False,True,,False,False
Montana,1341,1548.0,1302.3,1552.3,,1165.9,1116.0,,1588.0,1225.8,1401.1,1500.0,1276.2,1269.0,,1619.2,1220.0,207.0,-38.7,211.3,,-175.1,-225.0,,247.0,-115.2,60.1,159.0,-64.8,-72.0,,278.2,-121.0,True,False,,True,False,,False,True,True,True,True,True,,False,True
Nebraska,2047,2275.4,2321.0,2145.2,,2133.8,1934.0,,2685.5,2222.8,2406.4,2187.0,2109.8,2487.0,,1970.2,2063.3,228.4,274.0,98.2,,86.8,-113.0,,638.5,175.8,359.4,140.0,62.8,440.0,,-76.8,16.3,False,True,,True,True,,False,True,False,True,True,False,,True,True
Nevada,4868,5148.0,4692.2,5261.6,,4423.5,4311.0,,4722.0,3919.7,4346.1,5505.5,4624.0,4412.0,,5247.8,3998.0,280.0,-175.8,393.6,,-444.5,-557.0,,-146.0,-948.3,-521.9,637.5,-244.0,-456.0,,379.8,-870.0,True,False,,False,False,,True,False,False,False,True,False,,False,False
New Hampshire,1153,1390.3,2494.3,1420.0,,1219.2,1273.0,,1380.0,1193.1,1558.1,1290.0,1089.4,1764.0,,1229.8,965.3,237.3,1341.3,267.0,,66.2,120.0,,227.0,40.1,405.1,137.0,-63.6,611.0,,76.8,-187.7,False,False,,True,True,,True,True,False,True,True,False,,True,True
New Jersey,22834,23637.7,24962.1,23852.3,,22746.3,22763.0,,22872.0,21510.0,23332.9,26338.0,27224.2,20972.5,,23121.4,20585.3,803.7,2128.1,1018.3,,-87.7,-71.0,,38.0,-1324.0,498.9,3504.0,4390.2,-1861.5,,287.4,-2248.7,False,False,,True,True,,True,False,True,False,False,False,,True,False
New Mexico,3610,3908.7,3571.9,3919.9,,3472.9,3121.0,,3720.0,3495.7,3379.6,4316.0,3988.1,3623.0,,3344.9,3287.9,298.7,-38.1,309.9,,-137.1,-489.0,,110.0,-114.3,-230.4,706.0,378.1,13.0,,-265.1,-322.1,True,False,,True,False,,True,True,True,False,False,True,,True,False
New York,46703,46760.1,47873.1,46673.8,,47734.2,48211.0,,45563.0,45031.0,49902.7,49906.0,51286.3,41171.0,,48815.3,40213.6,57.1,1170.1,-29.2,,1031.2,1508.0,,-1140.0,-1672.0,3199.7,3203.0,4583.3,-5532.0,,2112.3,-6489.4,False,True,,False,False,,False,False,False,False,False,False,,False,False
North Carolina,10896,11415.1,9801.4,10622.9,,9620.7,9255.0,,10268.0,9967.3,11650.1,12100.0,9470.1,10665.0,,10633.9,8621.0,519.1,-1094.6,-273.1,,-1275.3,-1641.0,,-628.0,-928.7,754.1,1204.0,-1425.9,-231.0,,-262.1,-2275.0,False,True,,False,False,,False,False,False,False,False,True,,True,False
North Dakota,1467,1598.0,1509.1,1604.4,,1523.1,1466.0,,1701.0,1491.5,1562.8,1471.0,1492.5,1464.0,,1468.1,1520.6,139.0,50.1,145.4,,64.1,7.0,,242.0,32.5,103.8,12.0,33.5,5.0,,9.1,61.6,True,False,,True,True,,False,True,True,True,True,True,,True,True
Ohio,18015,12854.3,13936.4,13090.5,,11576.6,11610.0,,13088.0,11578.2,14163.0,13290.5,11981.6,15271.0,,13428.5,11023.2,39.3,1121.4,275.5,,-1238.4,-1205.0,,273.0,-1236.8,1348.0,475.5,-833.4,2456.0,,613.5,-1791.8,False,False,,False,False,,False,False,False,False,False,False,,False,False
Oklahoma,4155,4014.4,3950.9,4004.0,,3739.9,3676.0,,4080.0,3998.9,4351.3,3966.0,3316.8,4460.0,,4201.3,3221.2,-140.6,-204.1,-151.0,,-415.1,-479.0,,-75.0,-156.1,196.3,-189.0,-838.2,305.0,,46.3,-933.8,False,False,,False,False,,True,False,False,False,False,False,,True,False
Oregon,2154,2213.1,1861.9,2268.9,,2186.0,1909.0,,2214.0,2491.9,2885.1,1973.0,2227.8,2123.0,,2285.9,1896.6,59.1,-292.1,114.9,,32.0,-245.0,,60.0,337.9,731.1,-181.0,73.8,-31.0,,131.9,-257.4,False,False,,True,False,,False,False,False,False,False,True,,False,False
Pennsylvania,23540,26426.6,26949.7,26308.5,,23515.5,22283.0,,25832.0,20074.6,23704.8,27604.0,27113.7,30047.0,,25307.3,19975.9,2886.6,3409.7,2768.5,,-24.5,-1257.0,,2292.0,-3465.4,164.8,4064.0,3573.7,6507.0,,1767.3,-3564.1,False,True,,True,True,,True,False,True,False,False,False,,True,False
Rhode Island,2485,2730.1,2922.3,2749.9,,2326.9,2296.0,,2699.0,2291.8,2330.3,2628.5,2540.8,2113.0,,2091.9,2007.1,403.1,595.3,422.9,,-0.1,-31.0,,372.0,-35.2,3.3,301.5,213.8,-214.0,,-235.1,-319.9,False,False,,True,True,,True,True,True,True,True,True,,True,True
South Carolina,8256,7814.1,9119.7,7996.1,,7515.9,9060.0,,7730.0,7336.0,7746.6,8738.0,6747.9,7811.0,,7904.2,6449.6,-441.9,863.7,-259.9,,-740.1,804.0,,-526.0,-920.0,-509.4,482.0,-1508.1,-445.0,,-351.8,-1806.4,False,True,,False,False,,False,False,False,False,False,False,,True,False
South Dakota,1859,2006.7,1789.8,1983.9,,1796.7,1869.0,,1951.0,1834.7,1816.2,1837.0,1900.9,1708.0,,1748.9,1800.3,147.7,-69.2,124.9,,-62.3,10.0,,92.0,-24.3,-42.8,-22.0,41.9,-151.0,,-110.1,-58.7,True,True,,True,True,,True,True,True,True,True,False,,True,True
Tennessee,11115,12236.4,11589.5,12106.8,,10553.9,9448.0,,11558.0,8938.9,10662.4,10987.0,10164.6,10348.0,,12479.3,8988.9,1121.4,474.5,991.8,,-561.1,-1667.0,,443.0,-2176.1,-452.6,-128.0,-950.4,-767.0,,1364.3,-2126.1,True,True,,True,False,,True,False,True,True,True,True,,False,False
Texas,42041,42093.7,46523.7,41541.6,,38360.3,37161.0,,39680.0,39039.0,41041.2,41197.5,35382.5,35898.0,,39870.3,34360.6,52.7,4482.7,-499.4,,-3680.7,-4880.0,,-2361.0,-3002.0,-999.8,-843.5,-6658.5,-6143.0,,-2170.7,-7680.4,False,False,,False,False,,False,False,False,False,False,False,,False,False
Utah,1842,1925.0,1885.7,1966.0,,1784.1,1972.0,,2056.0,2367.5,1617.2,1882.5,1705.0,1718.0,,1955.0,1152.6,83.0,43.7,124.0,,-57.9,130.0,,214.0,525.5,-224.8,40.5,-137.0,-124.0,,113.0,-689.4,True,False,,True,False,,False,False,False,True,False,False,,False,False
Vermont,196,249.7,246.5,258.0,,271.3,273.0,,266.5,312.4,361.2,332.0,178.7,243.0,,233.7,178.1,53.7,50.5,62.0,,75.3,77.0,,70.5,116.4,165.2,136.0,-17.3,47.0,,37.7,-17.9,True,False,,False,False,,False,False,False,False,True,True,,True,True
Virginia,7197,6900.0,7827.0,6964.1,,7059.5,6213.0,,7056.0,6773.0,8726.6,7281.5,6511.7,7947.0,,6191.6,5974.7,-297.0,630.0,-232.9,,-137.5,-984.0,,-141.0,-424.0,1529.6,84.5,-685.3,750.0,,-1005.4,-1222.3,False,True,,True,False,,True,False,False,True,False,False,,False,False
Washington,4822,5097.9,6079.1,5119.3,,4570.2,4375.0,,4687.0,5344.5,5275.3,5138.0,4235.2,5257.5,,4848.3,4133.6,275.9,1257.1,297.3,,-251.8,-447.0,,-135.0,522.5,453.3,316.0,-586.8,435.5,,26.3,-688.4,False,False,,True,False,,True,False,False,False,False,False,,True,False
West Virginia,2254,2788.6,2945.2,2751.7,,2441.3,2212.0,,2420.0,2228.2,2736.4,2506.0,2538.0,2358.5,,2987.5,1964.5,534.6,691.2,497.7,,187.3,-42.0,,166.0,-25.8,482.4,252.0,284.0,104.5,,733.5,-289.5,False,True,,True,True,,True,True,True,True,True,True,,False,True
Wisconsin,6871,7379.9,6901.2,7432.8,,6864.8,6244.0,,7065.0,7847.2,7155.7,7047.0,6623.1,7447.0,,7485.2,6425.0,508.9,30.2,561.8,,-6.2,-627.0,,194.0,976.2,284.7,176.0,-247.9,576.0,,614.2,-446.0,True,False,,True,False,,True,False,True,True,True,False,,False,True
Wyoming,662,787.7,707.7,795.0,,575.7,621.0,,792.0,594.8,639.2,731.0,650.6,697.0,,576.8,592.9,125.7,45.7,133.0,,-86.3,-41.0,,130.0,-67.2,-22.8,69.0,-11.4,35.0,,-85.2,-69.1,True,False,,True,True,,False,True,True,True,True,True,,True,True
US,499023,507186.6,543126.6,505835.7,507233.0,476885.7,488554.0,522906.0,485284.0,457211.5,501178.1,540480.5,,498789.0,495962.7,456894.0,421014.5,14903.6,50843.6,13552.7,14950.0,-15397.3,-3729.0,30623.0,-6999.0,-35071.5,8895.1,48197.5,,6506.0,3679.7,-35389.0,-71268.5,False,True,False,False,True,False,True,False,True,False,,True,True,False,False
