,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,16742,16538.7,16707.4,16611.4,16608.8,16597.0,16610.0,16484.0,16834.0,16459.0,16610.0,15996.3,16359.0,,16405.6,15598.7,16368.4,16452.9,,16362.2,16442.0,15670.6,16612.0,15836.9,16503.1,16408.5,16486.6,16687.0,16692.5,16529.1,16545.2,16600.7,15966.0,,16714.4,16415.7,16461.0,16741.5,16355.0,,16528.6,16398.0,16528.2,16505.0,,15755.6,16484.0,-203.3,-34.6,-130.6,-133.2,-145.0,-132.0,-258.0,92.0,-283.0,-132.0,-745.7,-383.0,,-336.4,-1143.3,-373.6,-289.1,,-379.8,-300.0,-1071.4,-130.0,-905.1,-238.9,-333.5,-255.4,-55.0,-49.5,-212.9,-196.8,-141.3,-776.0,,-27.6,-326.3,-281.0,-0.5,-387.0,,-213.4,-344.0,-213.8,-237.0,,-986.4,-258.0,True,True,True,True,True,False,True,False,True,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,True,True,False,True,True,False,,True,False,False,True,False,,False,False,False,False,,False,False
Hawaii,429,431.9,434.7,436.0,435.2,433.0,433.0,435.0,520.0,436.0,442.0,433.3,435.0,,,,450.3,433.0,,426.2,,530.0,432.0,454.6,430.8,428.0,429.1,455.0,,434.3,435.3,435.6,448.0,,,433.4,436.0,408.8,449.0,,438.6,431.0,436.4,432.0,,433.1,438.0,2.9,5.7,7.0,6.2,4.0,4.0,6.0,91.0,7.0,13.0,4.3,6.0,,,,21.3,4.0,,-2.8,,101.0,3.0,25.6,1.8,-1.0,0.1,26.0,,5.3,6.3,6.6,19.0,,,4.4,7.0,-20.2,20.0,,9.6,2.0,7.4,3.0,,4.1,9.0,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,,True,,False,False,False,True,True,True,False,,False,False,False,False,,,False,False,False,False,,False,True,False,False,,False,False
Idaho,1826,1833.9,1842.2,1832.4,1839.0,1839.0,1839.0,1839.0,1926.0,1838.0,1832.0,1825.5,1825.0,,1824.6,,1837.3,1855.6,,1827.9,1870.0,1909.5,1842.0,1859.4,1828.6,1829.0,1828.9,1877.0,1830.1,1836.9,1839.2,1831.3,1839.0,,,1828.8,1841.0,1701.9,1854.0,,1848.4,1826.0,1842.4,1830.0,,1844.4,1839.0,7.9,16.2,6.4,13.0,13.0,13.0,13.0,100.0,12.0,6.0,-0.5,-1.0,,-1.4,,11.3,29.6,,1.9,44.0,83.5,16.0,33.4,2.6,3.0,2.9,51.0,4.1,10.9,13.2,5.3,13.0,,,2.8,15.0,-124.1,28.0,,22.4,0.0,16.4,4.0,,18.4,13.0,False,True,False,False,False,False,False,False,True,True,True,,True,,False,False,,True,False,False,False,False,True,True,True,False,True,False,False,True,False,,,True,False,False,False,,False,True,False,True,,False,False
Illinois,22426,22449.3,22523.1,22439.5,22494.3,22493.0,22498.0,22448.0,22744.0,22365.0,22431.0,22181.4,22476.0,,22423.7,,22409.2,22448.0,,22555.5,22815.0,23207.8,22503.0,20402.8,22461.6,22415.0,22429.4,22555.0,22466.1,22536.2,22451.8,22413.5,22431.0,,22490.1,22405.8,22580.0,22413.8,22392.0,,22542.1,22420.0,22476.3,22485.0,,20343.2,22431.0,23.3,97.1,13.5,68.3,67.0,72.0,22.0,318.0,-61.0,5.0,-244.6,50.0,,-2.3,,-16.8,22.0,,129.5,389.0,781.8,77.0,-2023.2,35.6,-11.0,3.4,129.0,40.1,110.2,25.8,-12.5,5.0,,64.1,-20.2,154.0,-12.2,-34.0,,116.1,-6.0,50.3,59.0,,-2082.8,5.0,False,True,False,False,False,True,False,False,True,False,False,,True,,True,True,,False,False,False,False,False,False,True,True,False,False,False,False,True,True,,False,True,False,True,False,,False,True,False,False,,False,True
Indiana,12336,12478.1,12477.5,12548.4,12545.5,12535.0,12546.0,12458.0,12671.0,12348.0,12516.0,12264.3,12387.0,,12460.8,,12684.1,12504.1,,12277.7,12657.0,12191.4,12603.0,11986.5,12365.8,12417.0,12446.7,12897.0,12532.6,12450.4,12495.1,12454.4,12392.0,,12553.6,12304.1,12450.0,11960.8,12390.0,,12461.9,12391.0,12393.6,12509.0,,12113.1,12510.0,142.1,141.5,212.4,209.5,199.0,210.0,122.0,335.0,12.0,180.0,-71.7,51.0,,124.8,,348.1,168.1,,-58.3,321.0,-144.6,267.0,-349.5,29.8,81.0,110.7,561.0,196.6,114.4,159.1,118.4,56.0,,217.6,-31.9,114.0,-375.2,54.0,,125.9,55.0,57.6,173.0,,-222.9,174.0,True,False,False,False,False,True,False,True,False,True,True,,True,,False,False,,True,False,False,False,False,True,True,True,False,False,True,False,True,True,,False,True,True,False,True,,True,True,True,False,,False,False
Iowa,5336,5345.7,5406.0,5497.2,5325.1,5363.0,5364.0,5374.0,5654.0,5353.0,5512.0,5415.8,5373.0,,5358.5,,5319.4,5349.9,,5402.2,5403.0,5427.1,5415.0,5358.3,5396.5,5376.0,5346.4,5457.0,5481.0,5364.8,5396.6,5359.5,5365.0,,5567.0,5335.2,5345.0,4819.6,5380.0,,5375.0,5334.0,5371.5,5361.0,,5372.6,5469.0,9.7,70.0,161.2,-10.9,27.0,28.0,38.0,318.0,17.0,176.0,79.8,37.0,,22.5,,-16.6,13.9,,66.2,67.0,91.1,79.0,22.3,60.5,40.0,10.4,121.0,145.0,28.8,60.6,23.5,29.0,,231.0,-0.8,9.0,-516.4,44.0,,39.0,-2.0,35.5,25.0,,36.6,133.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,,False,True,False,False,,False,False
Kansas,4573,4546.7,4559.4,4616.6,4574.1,4581.0,4583.0,4526.0,4829.0,4466.0,4574.0,4328.1,4457.0,,4433.4,,4631.9,4593.8,,4792.4,4584.0,4312.5,4616.0,4459.0,4470.0,4491.0,4469.4,4529.0,4552.6,4533.2,4557.5,4531.5,4507.0,,,4468.0,4455.0,4787.1,4472.0,,4541.3,4475.0,4504.1,4521.0,,4482.9,4648.0,-26.3,-13.6,43.6,1.1,8.0,10.0,-47.0,256.0,-107.0,1.0,-244.9,-116.0,,-139.6,,58.9,20.8,,219.4,11.0,-260.5,43.0,-114.0,-103.0,-82.0,-103.6,-44.0,-20.4,-39.8,-15.5,-41.5,-66.0,,,-105.0,-118.0,214.1,-101.0,,-31.7,-98.0,-68.9,-52.0,,-90.1,75.0,True,False,True,True,True,False,False,False,True,False,False,,False,,False,True,,False,True,False,False,False,False,False,False,False,True,False,True,False,False,,,False,False,False,False,,False,False,False,False,,False,False
Kentucky,4426,4480.0,4540.8,4557.0,4525.5,4523.0,4524.0,4513.0,4749.0,4496.0,4489.0,4428.7,4457.0,,4470.1,,4476.3,4527.5,,4513.9,4717.0,5268.7,4541.0,4531.4,4486.5,4450.0,4470.5,4620.0,4610.7,4529.7,4509.2,4462.8,4569.0,,,4469.7,4447.0,4206.0,4472.0,,4540.3,4448.0,4539.0,4503.0,,4423.9,4523.0,54.0,114.8,131.0,99.5,97.0,98.0,87.0,323.0,70.0,63.0,2.7,31.0,,44.1,,50.3,101.5,,87.9,291.0,842.7,115.0,105.4,60.5,24.0,44.5,194.0,184.7,103.7,83.2,36.8,143.0,,,43.7,21.0,-220.0,46.0,,114.3,22.0,113.0,77.0,,-2.1,97.0,False,False,False,False,False,False,False,False,False,True,True,,True,,True,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,False,,,True,True,False,True,,False,True,False,False,,True,False
Louisiana,9440,9440.3,9464.9,9457.5,9475.1,9462.0,9476.0,9461.0,9675.0,9479.0,9458.0,9461.9,9493.0,,9449.9,,9408.7,9444.9,,9410.6,9597.0,9665.9,9483.0,9476.1,9460.7,9403.0,9400.4,9599.0,9504.3,9476.2,9460.3,9409.3,9459.0,,9482.6,9404.3,9538.0,10082.0,9434.0,,9484.5,9439.0,9502.1,9445.0,,9439.6,9447.0,0.3,24.9,17.5,35.1,22.0,36.0,21.0,235.0,39.0,18.0,21.9,53.0,,9.9,,-31.3,4.9,,-29.4,157.0,225.9,43.0,36.1,20.7,-37.0,-39.6,159.0,64.3,36.2,20.3,-30.7,19.0,,42.6,-35.7,98.0,642.0,-6.0,,44.5,-1.0,62.1,5.0,,-0.4,7.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,,False,False
Maine,658,661.0,669.4,667.2,657.4,661.0,660.0,669.0,731.0,671.0,658.0,681.6,668.0,,661.2,,665.7,697.7,,669.0,717.0,652.8,669.0,723.1,674.4,663.0,662.5,699.0,,686.5,674.6,665.0,675.0,,,657.3,,734.3,661.0,,698.0,667.0,676.8,658.0,,673.6,669.0,3.0,11.4,9.2,-0.6,3.0,2.0,11.0,73.0,13.0,0.0,23.6,10.0,,3.2,,7.7,39.7,,11.0,59.0,-5.2,11.0,65.1,16.4,5.0,4.5,41.0,,28.5,16.6,7.0,17.0,,,-0.7,,76.3,3.0,,40.0,9.0,18.8,0.0,,15.6,11.0,False,False,True,False,True,False,False,False,True,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,True,,False,False,,False,False,False,True,,False,False
Maryland,7697,7729.7,7752.1,7718.6,7738.4,7739.0,7743.0,7727.0,7895.0,7763.0,7706.0,7608.6,7704.0,,7785.6,,7714.7,7731.2,,7733.9,7805.0,7744.5,7743.0,7688.0,7697.1,7695.0,7703.2,7769.0,7707.5,7764.6,7716.7,7729.0,7775.0,,7724.3,7694.6,7762.0,7603.2,7715.0,,7775.3,7694.0,7685.7,7707.0,,7651.3,7727.0,32.7,55.1,21.6,41.4,42.0,46.0,30.0,198.0,66.0,9.0,-88.4,7.0,,88.6,,17.7,34.2,,36.9,108.0,47.5,46.0,-9.0,0.1,-2.0,6.2,72.0,10.5,67.6,19.7,32.0,78.0,,27.3,-2.4,65.0,-93.8,18.0,,78.3,-3.0,-11.3,10.0,,-45.7,30.0,False,True,False,False,False,True,False,False,True,False,True,,False,,True,False,,False,False,False,False,True,True,True,True,False,True,False,True,True,False,,True,True,False,False,True,,False,True,True,True,,False,True
