,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,16742,12849.7,12641.4,12885.8,14395.0,13919.1,,13496.0,14617.3,12988.6,,13132.0,11702.7,-3892.3,-4100.6,-3856.2,-2347.0,-2822.9,,-3246.0,-2124.7,-3753.4,,-3610.0,-5039.3,False,True,True,True,,True,True,True,,True,False
Hawaii,429,316.4,324.5,321.9,299.0,431.8,,,305.0,336.4,,330.0,317.6,-112.6,-104.5,-107.1,-130.0,2.8,,,-124.0,-92.6,,-99.0,-111.4,True,True,False,True,,,False,True,,True,True
Idaho,1826,2092.6,1832.5,2105.6,1576.0,2044.3,,2038.0,1675.3,1880.1,,2084.7,1741.2,266.6,6.5,279.6,-250.0,218.3,,212.0,-150.7,54.1,,258.7,-84.8,True,False,True,True,,True,True,True,,True,True
Illinois,22426,25083.1,29205.0,25141.9,21953.0,23284.1,,23040.0,20990.6,21520.7,,23143.5,21030.9,2657.1,6779.0,2715.9,-473.0,858.1,,614.0,-1435.4,-905.3,,717.5,-1395.1,False,False,True,True,,True,True,True,,True,True
Indiana,12336,12808.7,13702.6,12672.2,9955.0,11621.7,,11542.0,10047.7,10649.5,,12243.9,9611.3,1622.7,2516.6,1486.2,-1231.0,435.7,,356.0,-1138.3,-536.5,,1057.9,-1574.7,False,True,True,True,,True,True,True,,True,True
Iowa,5336,5331.1,4798.9,5368.0,6690.0,6056.3,,5263.0,4787.9,4778.2,,5124.5,4800.7,-4.9,-537.1,32.0,1354.0,720.3,,-73.0,-548.1,-557.8,,-211.5,-535.3,False,False,False,False,,False,False,False,,False,False
Kansas,4573,5402.3,5917.2,5455.4,4223.0,4462.5,,4126.0,4792.7,3700.2,,4532.9,3536.1,829.3,1344.2,882.4,-350.0,-110.5,,-447.0,219.7,-872.8,,-40.1,-1036.9,False,False,True,True,,True,True,False,,True,False
Kentucky,4426,3875.0,4012.7,3845.7,3144.0,3552.3,,3769.0,3964.5,3311.2,,3991.4,3200.6,-551.0,-413.3,-580.3,-1282.0,-873.7,,-657.0,-461.5,-1114.8,,-434.6,-1225.4,True,False,False,False,,False,True,False,,True,False
Louisiana,9440,9223.9,8373.8,8999.7,8789.0,9479.2,,9341.0,9071.0,8671.8,,8890.9,8207.1,-216.1,-1066.2,-440.3,-651.0,39.2,,-99.0,-369.0,-768.2,,-549.1,-1232.9,False,False,False,True,,True,False,False,,False,False
Maine,658,605.9,548.2,631.0,640.0,892.5,,676.0,576.4,542.2,,560.1,429.6,-52.1,-109.8,-27.0,-18.0,234.5,,18.0,-81.6,-115.8,,-97.9,-228.4,False,True,True,False,,True,False,False,,False,False
Maryland,7697,7927.7,7688.4,7976.9,7265.0,8313.8,,7669.0,7591.8,7718.5,,7497.3,6624.2,230.7,-8.6,279.9,-432.0,616.8,,-28.0,-105.2,21.5,,-199.7,-1072.8,True,False,False,False,,True,True,True,,True,False
Massachusetts,15779,16038.6,17404.5,15946.9,13991.0,15727.4,,15813.0,14884.7,16423.8,,15310.0,13384.9,259.6,1625.5,167.9,-1788.0,-51.6,,34.0,-894.3,644.8,,-469.0,-2394.1,False,True,False,True,,True,False,False,,False,False
Michigan,16342,17530.0,17820.2,17620.9,14623.0,16029.9,,17316.0,15171.1,16344.2,,14654.8,14713.7,1188.0,1478.2,1278.9,-1719.0,-312.1,,974.0,-1170.9,2.2,,-1687.2,-1628.3,False,False,False,True,,True,True,True,,False,False
Minnesota,6491,7429.6,7640.5,7327.5,6024.0,7055.4,,7672.0,5977.1,6532.2,,7278.2,6496.0,938.6,1149.5,836.5,-467.0,564.4,,1181.0,-513.9,41.2,,787.2,5.0,False,True,True,True,,False,True,True,,True,True
Mississippi,6553,6688.1,8204.9,6765.2,5524.0,6664.1,,6410.0,6084.9,5622.5,,6744.2,5463.9,135.1,1651.9,212.2,-1029.0,111.1,,-143.0,-468.1,-930.5,,191.2,-1089.1,False,False,False,True,,False,False,False,,False,False
Missouri,8059,7553.1,7583.4,7443.4,7715.0,8444.3,,8422.0,6651.7,6533.9,,6589.0,6385.8,-471.9,-441.6,-581.6,-310.0,419.3,,397.0,-1373.3,-1491.1,,-1436.0,-1639.2,True,False,True,True,,True,False,False,,False,False
Montana,1341,1301.1,1212.2,1334.9,1084.0,1151.9,,1413.0,1126.8,1257.9,,1410.6,1126.3,-39.9,-128.8,-6.1,-257.0,-189.1,,72.0,-214.2,-83.1,,69.6,-214.7,False,True,False,False,,False,False,False,,False,False
Nebraska,2047,2446.9,2718.1,2439.0,1931.0,2282.7,,2232.5,1982.7,2080.7,,2237.9,2023.0,399.9,671.1,392.0,-116.0,235.7,,185.5,-64.3,33.7,,190.9,-24.0,False,True,True,True,,True,True,True,,True,True
Nevada,4868,4757.1,4177.6,4589.5,3775.0,4706.7,,4509.0,3668.2,4517.0,,4511.6,3695.3,-110.9,-690.4,-278.5,-1093.0,-161.3,,-359.0,-1199.8,-351.0,,-356.4,-1172.7,False,False,False,False,,False,False,False,,False,False
New Hampshire,1153,1273.7,2947.9,1245.1,1024.0,1294.4,,1330.0,1106.0,996.9,,1055.4,864.3,120.7,1794.9,92.1,-129.0,141.4,,177.0,-47.0,-156.1,,-97.6,-288.7,False,True,False,False,,False,True,False,,True,False
New Jersey,22834,23171.4,23726.3,23207.3,21554.0,22845.4,,22120.0,20789.7,25232.5,,23168.7,19934.7,337.4,892.3,373.3,-1280.0,11.4,,-714.0,-2044.3,2398.5,,334.7,-2899.3,False,False,False,True,,False,False,False,,True,False
New Mexico,3610,3956.7,3392.4,4059.4,3218.0,3496.2,,3580.0,3207.3,3962.4,,3515.7,3125.3,346.7,-217.6,449.4,-392.0,-113.8,,-30.0,-402.7,352.4,,-94.3,-484.7,True,False,False,True,,True,False,False,,True,False
New York,46703,45299.6,45677.9,45243.1,45472.0,49853.6,,44300.0,44022.6,44290.1,,47305.7,39100.2,-1403.4,-1025.1,-1459.9,-1231.0,3150.6,,-2403.0,-2680.4,-2412.9,,602.7,-7602.8,True,False,True,False,,False,False,False,,True,False
North Carolina,10896,9385.4,9472.5,9456.3,8163.0,9849.6,,9814.0,9449.5,9089.5,,9180.9,7929.8,-1510.6,-1423.5,-1439.7,-2733.0,-1046.4,,-1082.0,-1446.5,-1806.5,,-1715.1,-2966.2,True,True,False,True,,True,True,False,,False,False
North Dakota,1467,1611.7,1469.6,1632.3,1415.0,1576.0,,1643.0,1429.9,1500.1,,1450.9,1504.8,151.7,9.6,172.3,-45.0,116.0,,183.0,-30.1,40.1,,-9.1,44.8,True,False,True,True,,False,True,True,,True,True
Ohio,18015,12964.0,14890.8,12804.2,10356.0,12485.9,,13511.0,10759.4,11071.3,,13175.8,10402.0,-272.0,1654.8,-431.8,-2880.0,-750.1,,275.0,-2476.6,-2164.7,,-60.2,-2834.0,False,False,False,False,,False,False,False,,True,False
Oklahoma,4155,3760.7,3823.0,3717.0,3471.0,3678.4,,3952.0,3370.6,3137.4,,3885.8,3012.0,-394.3,-332.0,-438.0,-684.0,-476.6,,-203.0,-784.4,-1017.6,,-269.2,-1143.0,True,False,False,False,,True,False,False,,True,False
Oregon,2154,2000.6,1606.0,1981.6,1807.0,2405.6,,2099.0,2151.9,2177.8,,2069.3,1814.7,-153.4,-548.0,-172.4,-347.0,251.6,,-55.0,-2.1,23.8,,-84.7,-339.3,False,False,False,False,,True,True,True,,True,False
Pennsylvania,23540,24876.9,27985.6,25424.6,19936.0,26599.3,,25784.0,19267.2,22744.9,,24744.1,18429.9,1336.9,4445.6,1884.6,-3604.0,3059.3,,2244.0,-4272.8,-795.1,,1204.1,-5110.1,False,False,False,False,,False,False,True,,True,False
Rhode Island,2485,2277.6,2880.2,2287.8,1916.0,2377.8,,2450.0,2130.3,2397.1,,1954.9,1878.8,-10.4,592.2,-0.2,-372.0,89.8,,162.0,-157.7,109.1,,-333.1,-409.2,False,True,False,False,,False,False,False,,False,False
South Carolina,8256,7622.1,8625.9,7212.9,7017.0,7617.0,,7012.0,7131.1,6408.7,,7116.5,6100.9,-633.9,369.9,-1043.1,-1239.0,-639.0,,-1244.0,-1124.9,-1847.3,,-1139.5,-2155.1,True,False,False,False,,False,False,False,,False,False
South Dakota,1859,1972.4,1801.9,1886.1,1709.0,1924.0,,2028.0,1770.1,1917.8,,1616.1,1759.8,113.4,-57.1,27.1,-150.0,65.0,,169.0,-88.9,58.8,,-242.9,-99.2,True,True,False,True,,False,True,True,,False,True
Tennessee,11115,10542.7,11085.5,10660.0,7994.0,12830.6,,10998.0,8597.7,9101.6,,11177.2,8213.5,-572.3,-29.5,-455.0,-3121.0,1715.6,,-117.0,-2517.3,-2013.4,,62.2,-2901.5,True,True,False,False,,True,False,False,,True,False
Texas,42041,38468.9,46708.0,38291.2,38260.0,38200.5,,38650.0,40073.4,34480.8,,36577.8,32331.4,-3506.1,4733.0,-3683.8,-3715.0,-3774.5,,-3325.0,-1901.6,-7494.2,,-5397.2,-9643.6,False,False,False,False,,True,True,False,,False,False
Utah,1842,1897.6,1681.4,1867.8,1697.0,2155.7,,1836.0,1936.4,1642.8,,1897.8,1103.3,55.6,-160.6,25.8,-145.0,313.7,,-6.0,94.4,-199.2,,55.8,-738.7,False,True,False,False,,True,False,False,,False,False
Vermont,196,229.1,223.3,265.0,211.0,276.1,,251.0,259.1,139.0,,232.5,159.7,33.1,27.3,69.0,15.0,80.1,,55.0,63.1,-57.0,,36.5,-36.3,True,False,True,False,,False,False,False,,False,False
Virginia,7197,6975.4,8192.9,7057.6,6436.0,7384.7,,6643.0,6504.9,6181.9,,6592.5,5744.2,-221.6,995.9,-139.4,-761.0,187.7,,-554.0,-692.1,-1015.1,,-604.5,-1452.8,False,True,False,True,,False,False,False,,False,False
Washington,4822,5344.7,6950.2,5399.6,3981.0,4131.2,,4658.0,4117.9,3931.1,,4618.2,3890.1,522.7,2128.2,577.6,-841.0,-690.8,,-164.0,-704.1,-890.9,,-203.8,-931.9,False,False,False,False,,True,False,False,,True,False
West Virginia,2254,2212.6,2833.1,2212.9,2322.0,2548.6,,2152.0,2034.3,2298.6,,2370.4,1745.5,-41.4,579.1,-41.1,68.0,294.6,,-102.0,-219.7,44.6,,116.4,-508.5,False,True,False,False,,False,False,False,,False,False
Wisconsin,6871,6783.3,6557.1,6845.4,6370.0,7155.6,,6952.0,6579.6,6516.5,,6984.4,6205.5,-87.7,-313.9,-25.6,-501.0,284.6,,81.0,-291.4,-354.5,,113.4,-665.5,False,True,False,False,,True,False,False,,False,False
Wyoming,662,883.7,618.5,893.0,602.0,554.4,,663.0,558.5,629.8,,532.4,541.4,221.7,-43.5,231.0,-60.0,-107.6,,1.0,-103.5,-32.2,,-129.6,-120.6,True,False,True,True,,True,True,True,,True,True
US,499023,478176.6,449028.6,478096.9,463906.0,498725.2,497474.0,458448.0,431301.7,,497538.8,423849.8,398187.1,-14463.4,-43611.4,-14543.1,-28734.0,6085.2,4834.0,-34192.0,-61338.3,,4898.8,-68790.2,-94452.9,False,False,False,True,True,False,False,,True,False,False
