,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,210812,154676.0,178731.6,179076.0,170944.0,,174786.5,135634.0,177668.1,174681.9,,280793.6,145597.0,181603.0,207870.9,229967.4,184825.0,111784.1,414537.0,269189.6,204566.0,213183.4,175891.4,151576.0,,207438.3,115109.9,,126349.7,164679.1,,187192.0,150486.4,,-56136.0,-32080.4,-31736.0,-39868.0,,-36025.5,-75178.0,-33143.9,-36130.1,,69981.6,-65215.0,-29209.0,-2941.1,19155.4,-25987.0,-99027.9,203725.0,58377.6,-6246.0,2371.4,-34920.6,-59236.0,,-3373.7,-95702.1,,-84462.3,-46132.9,,-23620.0,-60325.6,,True,True,True,,True,False,True,True,,False,False,True,True,True,True,False,False,False,True,True,True,False,,True,False,,False,True,,True,False,
Hawaii,3897,3092.0,3389.3,3060.0,3590.0,,3058.4,1612.0,6324.0,3958.6,,3492.3,,,3370.4,1863.1,2825.0,7075.1,3141.0,3036.2,2611.5,4184.5,3180.4,1645.0,,3747.4,2557.7,,1950.2,3896.8,,3750.0,2772.2,2744.4,-805.0,-507.7,-837.0,-307.0,,-838.6,-2285.0,2427.0,61.6,,-404.7,,,-526.6,-2033.9,-1072.0,3178.1,-756.0,-860.8,-1285.5,287.5,-716.6,-2252.0,,-149.6,-1339.3,,-1946.8,-0.2,,-147.0,-1124.8,-1152.6,True,False,True,,False,False,False,True,,True,,,True,False,False,False,True,False,False,True,True,False,,True,False,,False,True,,True,False,False
Idaho,28603,43708.0,54809.1,43145.0,39911.0,,44299.4,26815.0,34972.2,45162.0,,43557.9,49835.0,47813.0,59749.3,46155.6,49521.0,27897.5,37889.5,46991.5,35980.0,37208.7,38399.8,37404.0,,50208.7,26452.4,,31650.3,55708.0,,47852.0,52277.1,46111.0,15105.0,26206.1,14542.0,11308.0,,15696.4,-1788.0,6369.2,16559.0,,14954.9,21232.0,19210.0,31146.3,17552.6,20918.0,-705.5,9286.5,18388.5,7377.0,8605.7,9796.8,8801.0,,21605.7,-2150.6,,3047.3,27105.0,,19249.0,23674.1,17508.0,False,True,True,,False,True,True,False,,True,False,False,False,False,False,True,True,False,True,True,True,True,,False,True,,True,False,,False,False,False
Illinois,182351,246852.0,243860.9,217202.0,224294.0,,218464.1,181601.0,179927.0,321022.8,,213975.3,283489.0,251836.0,240823.9,140354.2,184592.0,223803.6,226910.5,194860.1,213438.0,217136.5,219956.5,198294.0,,214420.3,88829.6,,310540.5,351518.0,257096.8,201910.0,249864.9,,64501.0,61509.9,34851.0,41943.0,,36113.1,-750.0,-2424.0,138671.8,,31624.3,101138.0,69485.0,58472.9,-41996.8,2241.0,41452.6,44559.5,12509.1,31087.0,34785.5,37605.5,15943.0,,32069.3,-93521.4,,128189.5,169167.0,74745.8,19559.0,67513.9,,True,True,True,,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,True,True,,True,False,,False,False,False,True,False,
Indiana,139024,178068.0,191306.2,174008.0,149701.0,,187521.7,179358.0,139923.5,227247.2,,202570.7,235255.0,191154.0,220917.5,130883.8,171865.0,106888.1,185337.0,196996.9,154741.0,168209.4,183755.3,127347.0,,180938.3,79951.4,,141210.1,265964.7,154259.5,180145.0,217924.0,159364.9,39044.0,52282.2,34984.0,10677.0,,48497.7,40334.0,899.5,88223.2,,63546.7,96231.0,52130.0,81893.5,-8140.2,32841.0,-32135.9,46313.0,57972.9,15717.0,29185.4,44731.3,-11677.0,,41914.3,-59072.6,,2186.1,126940.7,15235.5,41121.0,78900.0,20340.9,False,True,True,,False,False,True,False,,False,False,False,False,True,True,True,False,False,True,True,False,True,,False,False,,True,False,True,False,False,True
Iowa,41162,46496.0,77053.2,39189.0,35963.0,,46405.2,80152.0,34432.0,49720.0,,27118.2,67017.0,58829.0,45708.4,20493.4,47750.0,30654.5,37162.5,26150.2,32009.0,42482.2,36489.0,43003.0,,21189.2,22256.3,,44941.3,119208.9,,33494.0,51394.8,27725.4,5334.0,35891.2,-1973.0,-5199.0,,5243.2,38990.0,-6730.0,8558.0,,-14043.8,25855.0,17667.0,4546.4,-20668.6,6588.0,-10507.5,-3999.5,-15011.8,-9153.0,1320.2,-4673.0,1841.0,,-19972.8,-18905.7,,3779.3,78046.9,,-7668.0,10232.8,-13436.6,False,True,True,,True,False,False,False,,False,False,False,True,False,False,False,True,False,False,True,True,True,,False,False,,True,False,,False,False,False
Kansas,56523,68388.0,97275.5,64534.0,62848.0,,66203.3,88696.0,16793.9,71520.3,,63012.9,72978.0,68244.0,78398.7,40643.4,79190.0,36856.5,50792.0,73268.4,99537.5,54043.9,66238.4,58607.0,,55616.5,62970.3,,71262.8,115007.6,,66738.0,75671.6,48272.5,11865.0,40752.5,8011.0,6325.0,,9680.3,32173.0,-39729.1,14997.3,,6489.9,16455.0,11721.0,21875.7,-15879.6,22667.0,-19666.5,-5731.0,16745.4,43014.5,-2479.1,9715.4,2084.0,,-906.5,6447.3,,14739.8,58484.6,,10215.0,19148.6,-8250.5,False,True,True,,True,False,False,False,,True,False,True,False,False,False,False,True,False,False,True,True,True,,True,True,,False,False,,True,False,True
Kentucky,79738,90380.0,97787.3,94018.0,85090.0,,101011.7,62328.0,68023.4,114181.8,,110061.0,121509.0,108966.0,128872.3,91273.5,89371.0,58300.5,105985.0,137895.9,82981.0,92797.9,105523.5,67892.0,,102588.8,89790.4,,72501.5,143610.7,,98602.0,119266.5,111842.6,10642.0,18049.3,14280.0,5352.0,,21273.7,-17410.0,-11714.6,34443.8,,30323.0,41771.0,29228.0,49134.3,11535.5,9633.0,-21437.5,26247.0,58157.9,3243.0,13059.9,25785.5,-11846.0,,22850.8,10052.4,,-7236.5,63872.7,,18864.0,39528.5,32104.6,False,False,True,,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,True,,True,False,,False,False,False
Louisiana,77240,68056.0,80474.7,71498.0,69385.0,,79699.7,121649.0,582583.4,66221.6,,98299.7,40867.0,75127.0,83625.5,76499.2,74904.0,65499.9,78563.0,119337.6,61699.5,68509.8,83768.5,69395.0,,57153.0,130704.1,,52692.0,107715.7,,67982.0,72827.4,75736.1,-9184.0,3234.7,-5742.0,-7855.0,,2459.7,44409.0,505343.4,-11018.4,,21059.7,-36373.0,-2113.0,6385.5,-740.8,-2336.0,-11740.1,1323.0,42097.6,-15540.5,-8730.2,6528.5,-7845.0,,-20087.0,53464.1,,-24548.0,30475.7,,-9258.0,-4412.6,-1503.9,True,True,True,,True,False,False,False,,False,False,True,True,True,True,False,True,False,False,True,True,True,,False,False,,False,False,,False,True,True
Maine,13399,9972.0,7453.8,11934.0,14239.0,,9953.7,11223.0,6261.9,9142.9,,18058.1,8126.0,13022.0,14909.4,14996.2,14643.0,10430.8,9290.5,13664.1,12150.5,12077.0,10990.5,10514.0,,12729.6,13261.7,,12694.5,10931.6,,13744.0,13275.2,9259.3,-3427.0,-5945.2,-1465.0,840.0,,-3445.3,-2176.0,-7137.1,-4256.1,,4659.1,-5273.0,-377.0,1510.4,1597.2,1244.0,-2968.2,-4108.5,265.1,-1248.5,-1322.0,-2408.5,-2885.0,,-669.4,-137.3,,-704.5,-2467.4,,345.0,-123.8,-4139.7,False,True,True,,False,True,False,False,,False,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,,True,True,,True,True,False
Maryland,71355,78500.0,80910.6,84747.0,89084.0,,81258.0,124531.0,80266.0,87813.8,,107491.7,74365.0,89898.0,100380.2,80807.8,85894.0,81250.1,94675.0,104551.4,85700.5,86281.6,86187.8,73214.0,,97931.6,85900.5,,76910.7,111994.9,,87401.0,93945.6,82934.4,7145.0,9555.6,13392.0,17729.0,,9903.0,53176.0,8911.0,16458.8,,36136.7,3010.0,18543.0,29025.2,9452.8,14539.0,9895.1,23320.0,33196.4,14345.5,14926.6,14832.8,1859.0,,26576.6,14545.5,,5555.7,40639.9,,16046.0,22590.6,11579.4,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,,True,False,,False,False,False
Massachusetts,141410,134832.0,170728.0,162006.0,151172.0,,162792.3,131756.0,77338.7,249623.4,,280775.5,110194.0,161735.0,217633.8,250926.7,171547.0,124987.2,166207.5,233228.7,178574.5,153433.7,168884.1,120581.0,,176947.9,110143.0,,151252.4,170633.5,,231264.0,191921.3,258214.3,-6578.0,29318.0,20596.0,9762.0,,21382.3,-9654.0,-64071.3,108213.4,,139365.5,-31216.0,20325.0,76223.8,109516.7,30137.0,-16422.8,24797.5,91818.7,37164.5,12023.7,27474.1,-20829.0,,35537.9,-31267.0,,9842.4,29223.5,,89854.0,50511.3,116804.3,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Michigan,97394,154332.0,174547.5,139850.0,102529.0,,156903.1,148205.0,188880.6,235594.9,,139663.7,221327.0,183731.0,210537.9,123559.5,151998.0,144609.4,196972.5,133180.1,106245.5,126991.8,134995.8,104212.0,,116928.8,129449.6,,223972.2,298320.8,53105.7,115336.0,203767.3,170354.4,56938.0,77153.5,42456.0,5135.0,,59509.1,50811.0,91486.6,138200.9,,42269.7,123933.0,86337.0,113143.9,26165.5,54604.0,47215.4,99578.5,35786.1,8851.5,29597.8,37601.8,6818.0,,19534.8,32055.6,,126578.2,200926.8,-44288.3,17942.0,106373.3,72960.4,False,True,True,,False,True,False,False,,True,False,False,False,True,True,True,False,True,True,True,True,True,,True,True,,False,False,True,True,False,False
Minnesota,59015,120468.0,144021.4,93704.0,83682.0,,125762.6,144505.0,67412.6,122296.4,,87078.6,167658.0,143267.0,134559.8,70870.5,107123.0,70897.5,97637.5,78928.0,65413.0,84306.3,101416.8,87778.0,,87312.7,72650.1,,101473.1,249668.2,,93929.0,140143.2,111906.5,61453.0,85006.4,34689.0,24667.0,,66747.6,85490.0,8397.6,63281.4,,28063.6,108643.0,84252.0,75544.8,11855.5,48108.0,11882.5,38622.5,19913.0,6398.0,25291.3,42401.8,28763.0,,28297.7,13635.1,,42458.1,190653.2,,34914.0,81128.2,52891.5,False,True,True,,False,False,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,,True,False,,True,False,True
Mississippi,58921,57956.0,73402.8,63456.0,47885.0,,61681.5,51827.0,54599.1,62994.5,,100071.1,60718.0,60954.0,85915.5,85887.5,68364.0,31204.9,65375.5,73763.6,68824.5,61706.2,66678.6,52371.0,,75537.0,22126.3,,55104.1,80305.0,,88440.0,77097.4,98082.6,-965.0,14481.8,4535.0,-11036.0,,2760.5,-7094.0,-4321.9,4073.5,,41150.1,1797.0,2033.0,26994.5,26966.5,9443.0,-27716.1,6454.5,14842.6,9903.5,2785.2,7757.6,-6550.0,,16616.0,-36794.7,,-3816.9,21384.0,,29519.0,18176.4,39161.6,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Missouri,102984,99200.0,118642.7,97235.0,84564.0,,95834.3,130926.0,96749.7,116537.2,,83047.6,126930.0,107272.0,93852.4,59866.8,98363.0,62068.7,114279.0,82939.8,85930.5,103998.2,91539.7,89044.0,,73847.9,38871.3,,100344.3,158207.1,,95879.0,109702.9,,-3784.0,15658.7,-5749.0,-18420.0,,-7149.7,27942.0,-6234.3,13553.2,,-19936.4,23946.0,4288.0,-9131.6,-43117.2,-4621.0,-40915.3,11295.0,-20044.2,-17053.5,1014.2,-11444.3,-13940.0,,-29136.1,-64112.7,,-2639.7,55223.1,,-7105.0,6718.9,,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,,True,False,,False,False,
Montana,13458,22300.0,20979.8,17692.0,13767.0,,21407.9,10635.0,17832.0,13697.9,,16904.9,26909.0,25049.0,22674.5,11730.7,22678.0,8610.5,15894.0,15470.9,14887.0,19077.0,24947.7,19744.0,,18978.4,19485.1,,14516.1,34466.2,,19476.0,22866.0,13905.5,8842.0,7521.8,4234.0,309.0,,7949.9,-2823.0,4374.0,239.9,,3446.9,13451.0,11591.0,9216.5,-1727.3,9220.0,-4847.5,2436.0,2012.9,1429.0,5619.0,11489.7,6286.0,,5520.4,6027.1,,1058.1,21008.2,,6018.0,9408.0,447.5,True,True,True,,True,True,True,True,,True,False,False,False,True,False,True,True,True,True,True,False,True,,True,True,,True,False,,True,False,True
Nebraska,27932,36480.0,48467.2,30867.0,20353.0,,39692.4,42799.0,23440.6,29811.9,,27881.4,52289.0,46003.0,38167.2,28612.9,35040.0,24930.5,28310.5,27259.6,26328.0,30986.0,38953.1,28162.0,,28555.5,54011.1,,34153.1,84310.3,,28204.0,42700.2,34510.5,8548.0,20535.2,2935.0,-7579.0,,11760.4,14867.0,-4491.4,1879.9,,-50.6,24357.0,18071.0,10235.2,680.9,7108.0,-3001.5,378.5,-672.4,-1604.0,3054.0,11021.1,230.0,,623.5,26079.1,,6221.1,56378.3,,272.0,14768.2,6578.5,False,True,True,,False,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,False,,True,False,,True,False,True
Nevada,62360,73284.0,86040.9,79281.0,64603.0,,82597.7,77613.0,79264.5,110010.8,,94743.2,73895.0,76515.0,105272.0,69910.2,83118.0,49008.5,84349.0,122350.5,79106.5,73021.6,72019.7,64717.0,,89700.7,84243.4,,83522.5,115998.9,,82747.0,78262.6,98497.1,10924.0,23680.9,16921.0,2243.0,,20237.7,15253.0,16904.5,47650.8,,32383.2,11535.0,14155.0,42912.0,7550.2,20758.0,-13351.5,21989.0,59990.5,16746.5,10661.6,9659.7,2357.0,,27340.7,21883.4,,21162.5,53638.9,,20387.0,15902.6,36137.1,False,False,True,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,True,True,,False,False,,False,False,,False,False,False
New Hampshire,21252,24424.0,40071.5,29993.0,29867.0,,25692.4,32755.0,11554.3,31555.0,,47805.3,20873.0,30584.0,36470.6,41528.5,26567.0,21050.9,32670.0,56833.5,36332.0,27415.4,32015.8,22755.0,,27069.1,44702.1,,32895.4,24531.8,,23669.0,40793.2,41324.5,3172.0,18819.5,8741.0,8615.0,,4440.4,11503.0,-9697.7,10303.0,,26553.3,-379.0,9332.0,15218.6,20276.5,5315.0,-201.1,11418.0,35581.5,15080.0,6163.4,10763.8,1503.0,,5817.1,23450.1,,11643.4,3279.8,,2417.0,19541.2,20072.5,False,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,True,,False,False,,False,False,,True,False,False
