,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,166552,132780.0,187918.7,146310.0,127189.0,,145836.2,107801.0,129172.8,181124.4,,185067.9,141314.0,166459.6,155581.1,149031.0,91031.3,109875.5,216180.0,179888.5,160618.0,166511.5,178786.0,159456.0,,175487.3,99632.7,,107044.0,130180.8,92784.1,137799.0,131234.5,,-33772.0,21366.7,-20242.0,-39363.0,,-20715.8,-58751.0,-37379.2,14572.4,,18515.9,-25238.0,-92.4,-10970.9,-17521.0,-75520.7,-56676.5,49628.0,13336.5,-5934.0,-40.5,12234.0,-7096.0,,8935.3,-66919.3,,-59508.0,-36371.2,-73767.9,-28753.0,-35317.5,,True,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,True,True,True,True,True,,True,False,,False,False,False,True,False,
Hawaii,3033,2592.0,914.0,2768.0,2883.0,,2702.6,1174.0,2829.8,3026.4,,4037.9,,2767.5,3020.2,2528.0,6246.1,2634.5,2363.0,2651.5,3811.3,3060.3,3182.0,4122.0,,3206.0,2077.3,,1926.1,2460.1,3316.5,3576.0,2606.4,2674.7,-441.0,-2119.0,-265.0,-150.0,,-330.4,-1859.0,-203.2,-6.6,,1004.9,,-265.5,-12.8,-505.0,3213.1,-398.5,-670.0,-381.5,778.3,27.3,149.0,1089.0,,173.0,-955.7,,-1106.9,-572.9,283.5,543.0,-426.6,-358.3,False,True,True,,True,False,True,True,,False,,True,True,False,False,True,False,True,False,True,True,False,,True,False,,False,False,True,False,True,True
Idaho,20166,25311.0,26933.8,25188.0,20304.0,,27170.0,17606.0,33671.3,31375.3,,22863.0,25633.0,33158.6,18658.0,25308.0,19522.1,26053.5,28165.0,21359.0,24263.8,26990.5,30772.0,25736.0,,23851.5,22489.9,,20223.2,35641.0,29642.2,18119.0,32241.3,35635.0,5145.0,6767.8,5022.0,138.0,,7004.0,-2560.0,13505.3,11209.3,,2697.0,5467.0,12992.6,-1508.0,5142.0,-643.9,5887.5,7999.0,1193.0,4097.8,6824.5,10606.0,5570.0,,3685.5,2323.9,,57.2,15475.0,9476.2,-2047.0,12075.3,15469.0,False,True,True,,False,True,False,False,,True,False,False,True,True,True,False,False,True,True,False,False,False,,True,True,,True,False,False,True,False,False
Illinois,129672,158037.0,133075.7,135044.0,123518.0,,145808.6,102407.0,116814.5,214908.8,,126466.3,161521.0,202211.5,97687.5,131552.0,116786.8,143435.5,137136.0,109563.0,136433.1,150057.1,158806.0,151258.0,,138057.1,87777.0,,150649.6,193097.1,126728.9,134659.0,171017.8,,28365.0,3403.7,5372.0,-6154.0,,16136.6,-27265.0,-12857.5,85236.8,,-3205.7,31849.0,72539.5,-31984.5,1880.0,-12885.2,13763.5,7464.0,-20109.0,6761.1,20385.1,29134.0,21586.0,,8385.1,-41895.0,,20977.6,63425.1,-2943.1,4987.0,41345.8,,True,True,True,,True,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,False,,True,False,True,True,False,
Indiana,100689,115005.0,121500.3,113164.0,88230.0,,121088.4,77951.0,102192.0,160211.9,,111068.0,126232.0,158434.7,73328.0,131177.0,74950.9,127457.5,115906.8,93820.0,104732.9,125386.8,128435.0,102065.0,,110680.6,85072.1,,143490.0,149844.9,112180.6,106544.0,151702.2,145547.0,14316.0,20811.3,12475.0,-12459.0,,20399.4,-22738.0,1503.0,59522.9,,10379.0,25543.0,57745.7,-27361.0,30488.0,-25738.1,26768.5,15217.8,-6869.0,4043.9,24697.8,27746.0,1376.0,,9991.6,-15616.9,,42801.0,49155.9,11491.6,5855.0,51013.2,44858.0,False,True,True,,False,False,True,False,,True,False,False,False,False,False,False,False,True,True,False,False,True,,True,False,,False,False,True,True,False,False
Iowa,29212,35850.0,45560.0,27169.0,27153.0,,28299.2,14868.0,25424.9,40629.1,,22859.8,37182.0,43615.6,11973.3,36787.0,28673.7,20696.0,20133.8,21719.5,27046.1,28742.6,34910.0,45767.0,,22616.8,13306.3,,41164.5,57231.4,58699.7,30073.0,38713.2,21611.3,6638.0,16348.0,-2043.0,-2059.0,,-912.8,-14344.0,-3787.1,11417.1,,-6352.2,7970.0,14403.6,-17238.7,7575.0,-538.3,-8516.0,-9078.2,-7492.5,-2165.9,-469.4,5698.0,16555.0,,-6595.2,-15905.7,,11952.5,28019.4,29487.7,861.0,9501.2,-7600.7,False,True,True,,True,False,True,False,,True,False,False,False,False,True,False,False,False,True,True,True,False,,True,False,,False,False,False,True,False,False
Kansas,41326,45567.0,50049.0,40981.0,34791.0,,43033.9,32216.0,16684.4,47977.4,,30081.6,41899.0,54039.1,36492.9,49656.0,31627.8,30609.5,39622.9,30339.5,35195.1,48344.0,57952.0,40279.0,,30902.4,27797.2,,47584.7,62806.7,52156.2,40461.0,52088.4,45544.3,4241.0,8723.0,-345.0,-6535.0,,1707.9,-9110.0,-24641.6,6651.4,,-11244.4,573.0,12713.1,-4833.1,8330.0,-9698.2,-10716.5,-1703.1,-10986.5,-6130.9,7018.0,16626.0,-1047.0,,-10423.6,-13528.8,,6258.7,21480.7,10830.2,-865.0,10762.4,4218.3,False,True,False,,True,False,False,False,,False,True,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,False,False,True,False,True
Kentucky,59834,59712.0,60987.7,58540.0,50866.0,,64804.1,56637.0,64300.7,79466.2,,56131.2,64156.0,78698.5,67086.3,62123.0,40992.5,68949.0,58006.1,45838.0,50398.8,68786.8,74964.0,53541.0,,45161.2,66630.6,,56259.1,81809.9,68693.1,56675.0,73772.2,71259.0,-122.0,1153.7,-1294.0,-8968.0,,4970.1,-3197.0,4466.7,19632.2,,-3702.8,4322.0,18864.5,7252.3,2289.0,-18841.5,9115.0,-1827.9,-13996.0,-9435.2,8952.8,15130.0,-6293.0,,-14672.8,6796.6,,-3574.9,21975.9,8859.1,-3159.0,13938.2,11425.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Louisiana,58997,54729.0,57395.2,55339.0,57073.0,,54832.7,62330.0,429947.0,54089.1,,58120.2,55445.0,59697.5,40884.4,62756.0,45160.7,52132.5,69464.4,39230.0,47553.2,61599.3,67589.0,65778.0,,48064.2,90065.9,,49570.0,59817.6,45189.5,45517.0,60608.6,65553.4,-4268.0,-1601.8,-3658.0,-1924.0,,-4164.3,3333.0,370950.0,-4907.9,,-876.8,-3552.0,700.5,-18112.6,3759.0,-13836.3,-6864.5,10467.4,-19767.0,-11443.8,2602.3,8592.0,6781.0,,-10932.8,31068.9,,-9427.0,820.6,-13807.5,-13480.0,1611.6,6556.4,True,True,True,,True,True,False,False,,True,True,True,False,True,False,False,False,False,False,True,False,False,,False,False,,False,True,False,False,True,False
Maine,10281,9354.0,6386.1,10583.0,9972.0,,10014.7,7982.0,4660.8,16421.9,,13691.8,9803.0,14044.7,18606.1,11970.0,12086.4,9044.0,15464.3,11725.5,9273.6,11466.8,13801.0,12309.0,,9918.1,11453.7,,10583.4,8421.1,14685.8,12088.0,11909.4,18721.9,-927.0,-3894.9,302.0,-309.0,,-266.3,-2299.0,-5620.2,6140.9,,3410.8,-478.0,3763.7,8325.1,1689.0,1805.4,-1237.0,5183.3,1444.5,-1007.4,1185.8,3520.0,2028.0,,-362.9,1172.7,,302.4,-1859.9,4404.8,1807.0,1628.4,8440.9,False,True,True,,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,,True,False,False,False,False,False
Maryland,54610,50235.0,58842.4,52782.0,38276.0,,55937.4,57863.0,57228.9,69285.6,,47237.2,53782.0,63471.9,47769.2,59358.0,52264.4,59914.0,52528.1,41496.5,42955.0,57686.6,62468.0,54242.0,,42844.1,73762.1,,57770.8,70681.0,41278.3,47986.0,63800.0,79388.0,-4375.0,4232.4,-1828.0,-16334.0,,1327.4,3253.0,2618.9,14675.6,,-7372.8,-828.0,8861.9,-6840.8,4748.0,-2345.6,5304.0,-2081.9,-13113.5,-11655.0,3076.6,7858.0,-368.0,,-11765.9,19152.1,,3160.8,16071.0,-13331.7,-6624.0,9190.0,24778.0,True,True,False,,True,True,True,False,,False,True,False,False,False,True,False,True,False,False,True,False,True,,False,False,,True,False,False,False,False,False
Massachusetts,107865,100635.0,107016.2,105678.0,86467.0,,114885.9,82719.0,61260.3,204869.3,,118260.1,109424.0,147476.2,100868.5,118839.0,86866.0,114268.5,170843.5,84816.0,94903.0,126764.8,93482.0,98799.0,,109224.7,133506.3,,90289.0,119454.0,127392.4,98749.0,128604.8,224444.1,-7230.0,-848.8,-2187.0,-21398.0,,7020.9,-25146.0,-46604.7,97004.3,,10395.1,1559.0,39611.2,-6996.5,10974.0,-20999.0,6403.5,62978.5,-23049.0,-12962.0,18899.8,-14383.0,-9066.0,,1359.7,25641.3,,-17576.0,11589.0,19527.4,-9116.0,20739.8,116579.1,True,True,False,,True,False,False,False,,False,True,False,True,False,False,True,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False
Michigan,66497,92691.0,89866.9,76143.0,63786.0,,85006.6,46699.0,136370.9,122025.0,,61648.1,94318.0,107396.0,40523.4,73423.0,84763.2,93379.0,78889.9,64521.0,74505.5,80344.4,107929.0,76462.0,,52980.8,70078.2,,142757.4,134135.6,108759.8,70524.0,117593.9,87322.8,26194.0,23369.9,9646.0,-2711.0,,18509.6,-19798.0,69873.9,55528.0,,-4848.9,27821.0,40899.0,-25973.6,6926.0,18266.2,26882.0,12392.9,-1976.0,8008.5,13847.4,41432.0,9965.0,,-13516.2,3581.2,,76260.4,67638.6,42262.8,4027.0,51096.9,20825.8,True,True,True,,True,True,False,False,,True,False,False,True,True,True,False,True,True,True,True,False,True,,True,True,,False,False,False,True,False,True
Minnesota,39778,57711.0,71049.4,45664.0,33384.0,,58886.5,37256.0,56450.7,55432.7,,26147.9,69020.0,71875.4,20347.5,40245.0,38971.5,43147.0,43498.8,27870.0,43413.3,57439.8,61484.0,46571.0,,26892.1,43703.5,,49704.2,109048.7,44016.2,42870.0,66499.3,57312.0,17933.0,31271.4,5886.0,-6394.0,,19108.5,-2522.0,16672.7,15654.7,,-13630.1,29242.0,32097.4,-19430.5,467.0,-806.5,3369.0,3720.8,-11908.0,3635.3,17661.8,21706.0,6793.0,,-12885.9,3925.5,,9926.2,69270.7,4238.2,3092.0,26721.3,17534.0,False,True,True,,False,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,True,,True,False,True,True,False,True
Mississippi,44757,42492.0,52200.4,48664.0,31713.0,,49024.3,49329.0,49282.9,51609.8,,53590.3,47640.0,56680.4,47316.8,50674.0,29162.8,48755.0,59105.3,49767.0,45008.7,50939.8,53505.0,46837.0,,49316.2,16143.9,,41912.8,53880.8,34827.5,44702.0,54028.9,79223.8,-2265.0,7443.4,3907.0,-13044.0,,4267.3,4572.0,4525.9,6852.8,,8833.3,2883.0,11923.4,2559.8,5917.0,-15594.2,3998.0,14348.3,5010.0,251.7,6182.8,8748.0,2080.0,,4559.2,-28613.1,,-2844.2,9123.8,-9929.5,-55.0,9271.9,34466.8,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,,False,False,False,True,False,False
Missouri,60151,66459.0,77513.9,61459.0,56953.0,,64341.8,39514.0,62688.5,90949.9,,57388.7,63928.0,84167.0,59476.2,70618.0,48804.2,64764.5,57268.7,48426.0,56749.8,67799.1,75136.0,79337.0,,54787.1,39001.1,,61278.5,89085.0,78001.7,66350.0,73588.6,,6308.0,17362.9,1308.0,-3198.0,,4190.8,-20637.0,2537.5,30798.9,,-2762.3,3777.0,24016.0,-674.8,10467.0,-11346.8,4613.5,-2882.3,-11725.0,-3401.2,7648.1,14985.0,19186.0,,-5363.9,-21149.9,,1127.5,28934.0,17850.7,6199.0,13437.6,,False,True,True,,True,False,True,False,,True,True,False,True,False,False,True,True,False,True,False,False,False,,True,False,,True,False,False,True,False,
Montana,9483,11925.0,11581.3,9988.0,7544.0,,11565.3,7792.0,9776.6,14035.8,,8310.8,14792.0,13271.1,6407.5,11836.0,8654.2,9035.0,9324.0,9130.0,10459.9,12882.7,13631.0,10147.0,,10223.3,12739.5,,8595.0,16585.2,12583.0,9800.0,13736.6,11100.8,2442.0,2098.3,505.0,-1939.0,,2082.3,-1691.0,293.6,4552.8,,-1172.2,5309.0,3788.1,-3075.5,2353.0,-828.8,-448.0,-159.0,-353.0,976.9,3399.7,4148.0,664.0,,740.3,3256.5,,-888.0,7102.2,3100.0,317.0,4253.6,1617.8,True,True,True,,True,True,True,False,,True,False,False,False,True,True,True,True,True,True,False,False,True,,True,False,,True,False,False,True,False,True
Nebraska,20205,23181.0,13226.1,18029.0,16245.0,,21180.0,8512.0,23947.2,13141.3,,12190.6,23444.0,24166.3,10647.0,18725.0,21598.5,17435.5,17501.9,14291.0,18984.6,23043.3,23825.0,24913.0,,14238.2,28870.7,,11872.0,38397.7,26163.8,16413.0,25754.2,19721.0,2976.0,-6978.9,-2176.0,-3960.0,,975.0,-11693.0,3742.2,-7063.7,,-8014.4,3239.0,3961.3,-9558.0,-1480.0,1393.5,-2769.5,-2703.1,-5914.0,-1220.4,2838.3,3620.0,4708.0,,-5966.8,8665.7,,-8333.0,18192.7,5958.8,-3792.0,5549.2,-484.0,False,True,False,,True,False,False,False,,False,False,False,False,True,True,True,True,False,True,True,False,False,,False,False,,False,False,False,False,False,True
Nevada,44451,53727.0,58638.2,51176.0,44331.0,,54834.3,40280.0,55806.3,74315.8,,50205.3,53802.0,64466.4,44271.3,58342.0,35553.6,55966.0,56203.7,42262.5,43731.6,51736.1,62933.0,49369.0,,51335.3,53690.1,,57025.2,66147.7,51466.3,49409.0,53549.8,,9276.0,14187.2,6725.0,-120.0,,10383.3,-4171.0,11355.3,29864.8,,5754.3,9351.0,20015.4,-179.7,13891.0,-8897.4,11515.0,11752.7,-2188.5,-719.4,7285.1,18482.0,4918.0,,6884.3,9239.1,,12574.2,21696.7,7015.3,4958.0,9098.8,,False,True,True,,False,True,False,False,,True,False,False,True,False,True,False,False,True,True,True,False,True,,True,True,,False,False,True,True,True,
New Hampshire,15262,16095.0,21669.2,18639.0,12461.0,,19051.7,17589.0,12001.1,30266.4,,20453.3,19642.0,25031.3,22950.9,18199.0,16668.3,21021.5,35302.8,14927.5,17078.8,23397.3,21939.0,15905.0,,18259.0,34647.4,,19682.5,19921.5,18437.2,15149.0,22614.2,44627.7,833.0,6407.2,3377.0,-2801.0,,3789.7,2327.0,-3260.9,15004.4,,5191.3,4380.0,9769.3,7688.9,2937.0,1406.3,5759.5,20040.8,-334.5,1816.8,8135.3,6677.0,643.0,,2997.0,19385.4,,4420.5,4659.5,3175.2,-113.0,7352.2,29365.7,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,,False,False,False,True,False,False
