,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,249481,159035.0,217888.0,,127634.0,170909.0,,137908.0,176043.2,152012.8,88500.2,184720.7,172953.0,,,166846.0,141610.0,,-90446.0,-31593.0,,-121847.0,-78572.0,,-111573.0,-73437.8,-97468.2,-160980.8,-64760.3,-76528.0,,,-82635.0,-107871.0,,True,,False,True,,False,True,False,False,True,True,,,True,False,
Hawaii,4670,3280.0,3367.0,,3335.1,2124.0,,,3560.9,2868.3,6537.1,3557.7,3002.0,,,2196.0,2547.0,330.5,-1390.0,-1303.0,,-1334.9,-2546.0,,,-1109.1,-1801.7,1867.1,-1112.3,-1668.0,,,-2474.0,-2123.0,-4339.5,True,,True,False,,,True,False,False,True,False,,,False,False,False
Idaho,39530,50225.0,47830.0,,48407.0,36284.0,,50366.0,64227.1,35978.0,28432.3,54100.5,44002.0,,,47381.7,38441.0,7118.5,10695.0,8300.0,,8877.0,-3246.0,,10836.0,24697.1,-3552.0,-11097.7,14570.5,4472.0,,,7851.7,-1089.0,-32411.5,True,,True,True,,False,False,True,False,False,True,,,True,True,False
Illinois,244064,335195.0,369509.0,,292910.9,292138.0,,299911.0,334900.4,177490.2,262087.7,236091.7,285101.5,,,458313.5,213153.0,,91131.0,125445.0,,48846.9,48074.0,,55847.0,90836.4,-66573.8,18023.7,-7972.3,41037.5,,,214249.5,-30911.0,,False,,True,True,,True,True,True,True,True,True,,,False,True,
Indiana,183541,230055.0,223024.0,,221323.1,241758.0,,219486.0,344231.2,154918.6,132987.5,250336.3,256269.0,,,323310.0,209694.0,32629.4,46514.0,39483.0,,37782.1,58217.0,,35945.0,160690.2,-28622.4,-50553.5,66795.3,72728.0,,,139769.0,26153.0,-150911.6,True,,True,False,,True,False,True,False,False,False,,,False,True,False
Iowa,52786,81030.0,54848.0,,74125.4,135961.0,,84429.0,81144.4,29008.8,44254.3,37831.3,57659.0,,,79320.9,37080.0,6061.1,28244.0,2062.0,,21339.4,83175.0,,31643.0,28358.4,-23777.2,-8531.7,-14954.7,4873.0,,,26534.9,-15706.0,-46724.9,True,,True,False,,False,False,True,True,True,True,,,True,True,False
Kansas,73638,79315.0,63511.0,,88521.0,114735.0,,71708.0,122222.5,55504.4,45815.3,50178.4,84114.5,,,80388.2,32489.0,14043.6,5677.0,-10127.0,,14883.0,41097.0,,-1930.0,48584.5,-18133.6,-27822.7,-23459.6,10476.5,,,6750.2,-41149.0,-59594.4,False,,False,False,,True,False,False,False,False,False,,,False,False,False
Kentucky,102333,119410.0,117500.0,,119618.0,74625.0,,105252.0,189030.6,126292.8,67053.5,173128.1,111969.0,,,143897.7,112794.0,22531.1,17077.0,15167.0,,17285.0,-27708.0,,2919.0,86697.6,23959.8,-35279.5,70795.1,9636.0,,,41564.7,10461.0,-79801.9,True,,False,False,,True,False,False,False,False,True,,,False,True,False
Louisiana,94254,82875.0,94088.0,,91013.0,95580.0,,95590.0,134276.5,209224.9,76059.3,238390.6,68158.5,,,67016.8,68628.0,15660.1,-11379.0,-166.0,,-3241.0,1326.0,,1336.0,40022.5,114970.9,-18194.7,144136.6,-26095.5,,,-27237.2,-25626.0,-78593.9,True,,True,True,,True,False,False,False,False,False,,,False,False,False
Maine,15892,9195.0,12136.0,,7167.7,13640.0,,10920.0,10557.6,9036.5,10184.8,12225.3,10045.5,,,14299.5,8147.0,1283.1,-6697.0,-3756.0,,-8724.3,-2252.0,,-4972.0,-5334.4,-6855.5,-5707.2,-3666.7,-5846.5,,,-1592.5,-7745.0,-14608.9,True,,False,True,,True,True,False,True,True,True,,,True,False,False
Maryland,90980,89680.0,118096.0,,88782.1,174309.0,,78190.0,123422.7,82959.4,94337.3,132512.6,93607.0,,,121629.0,75462.0,25415.4,-1300.0,27116.0,,-2197.9,83329.0,,-12790.0,32442.7,-8020.6,3357.3,41532.6,2627.0,,,30649.0,-15518.0,-65564.6,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Massachusetts,175118,147740.0,227603.0,,134415.7,139811.0,,147954.0,164597.6,167260.0,146318.4,276126.0,195270.5,,,183418.8,181993.0,17323.5,-27378.0,52485.0,,-40702.3,-35307.0,,-27164.0,-10520.4,-7858.0,-28799.6,101008.0,20152.5,,,8300.8,6875.0,-157794.5,False,,False,False,,True,True,True,False,False,True,,,True,True,False
Michigan,135977,242120.0,197045.0,,267434.4,264943.0,,264273.0,340724.6,198864.6,216456.2,257760.0,187048.5,,,275969.2,136370.0,39413.5,106143.0,61068.0,,131457.4,128966.0,,128296.0,204747.6,62887.6,80479.2,121783.0,51071.5,,,139992.2,393.0,-96563.5,True,,False,False,,False,False,True,True,False,True,,,False,True,True
Minnesota,89132,206290.0,191971.0,,207281.7,407436.0,,222670.0,278612.7,117925.9,96715.5,150102.4,122867.5,,,233316.8,150087.0,38134.3,117158.0,102839.0,,118149.7,318304.0,,133538.0,189480.7,28793.9,7583.5,60970.4,33735.5,,,144184.8,60955.0,-50997.7,True,,False,False,,False,False,True,True,True,True,,,False,True,True
Mississippi,73410,67590.0,60707.0,,55772.4,60309.0,,66999.0,86193.9,89966.1,35636.1,75530.4,72196.0,,,48777.6,76762.0,11370.1,-5820.0,-12703.0,,-17637.6,-13101.0,,-6411.0,12783.9,16556.1,-37773.9,2120.4,-1214.0,,,-24632.4,3352.0,-62039.9,False,,False,False,,False,False,False,False,True,True,,,False,True,False
Missouri,106968,132465.0,119849.0,,134078.7,215685.0,,130544.0,179972.7,57045.1,68898.4,104806.3,125622.0,,,139943.4,97224.0,,25497.0,12881.0,,27110.7,108717.0,,23576.0,73004.7,-49922.9,-38069.6,-2161.7,18654.0,,,32975.4,-9744.0,,True,,False,False,,True,False,False,False,True,True,,,False,True,
Montana,19033,31120.0,16657.0,,29039.6,15805.0,,34412.0,48615.9,20057.5,11602.5,20388.3,23174.5,,,19959.6,18674.0,5155.4,12087.0,-2376.0,,10006.6,-3228.0,,15379.0,29582.9,1024.5,-7430.5,1355.3,4141.5,,,926.6,-359.0,-13877.6,True,,True,True,,False,False,True,True,True,True,,,True,True,False
Nebraska,37052,66225.0,66650.0,,64580.8,65447.0,,69703.0,58882.7,36066.7,40415.2,51745.5,64232.0,,,54256.8,51658.0,7839.8,29173.0,29598.0,,27528.8,28395.0,,32651.0,21830.7,-985.3,3363.2,14693.5,27180.0,,,17204.8,14606.0,-29212.2,False,,True,True,,False,True,True,True,True,True,,,True,True,False
Nevada,80681,81995.0,62425.0,,91620.4,112901.0,,78117.0,132445.3,104014.8,66668.7,166273.5,92600.0,,,82097.6,61661.0,26728.4,1314.0,-18256.0,,10939.4,32220.0,,-2564.0,51764.3,23333.8,-14012.3,85592.5,11919.0,,,1416.6,-19020.0,-53952.6,False,,False,False,,False,False,False,False,False,False,,,False,False,False
New Hampshire,26733,21035.0,24473.0,,21353.6,51143.0,,25268.0,31964.0,34264.9,24773.5,51693.2,24209.5,,,26181.2,20592.0,5882.2,-5698.0,-2260.0,,-5379.4,24410.0,,-1465.0,5231.0,7531.9,-1959.5,24960.2,-2523.5,,,-551.8,-6141.0,-20850.8,True,,True,False,,True,True,False,True,False,True,,,True,False,False
New Jersey,182731,162165.0,178223.0,,164033.5,312007.0,,148505.0,226301.6,156676.4,170438.2,232888.0,167159.0,,,324863.6,138441.0,34352.8,-20566.0,-4508.0,,-18697.5,129276.0,,-34226.0,43570.6,-26054.6,-12292.8,50157.0,-15572.0,,,142132.6,-44290.0,-148378.2,True,,True,False,,False,False,False,True,False,True,,,False,False,False
New Mexico,48098,64370.0,45511.0,,67089.4,67404.0,,60375.0,116361.1,54769.1,45419.4,47033.2,52552.0,,,65076.7,37662.0,31562.5,16272.0,-2587.0,,18991.4,19306.0,,12277.0,68263.1,6671.1,-2678.6,-1064.8,4454.0,,,16978.7,-10436.0,-16535.5,True,,False,False,,True,False,True,True,True,True,,,False,True,False
New York,414601,308435.0,420443.0,,513788.8,665545.0,,270634.0,396256.3,827714.8,412514.4,687741.8,447258.5,,,331819.8,334969.0,83948.5,-106166.0,5842.0,,99187.8,250944.0,,-143967.0,-18344.7,413113.8,-2086.6,273140.8,32657.5,,,-82781.2,-79632.0,-330652.5,True,,True,False,,False,True,False,True,False,True,,,True,True,False
North Carolina,225803,152970.0,177308.0,,152086.0,147950.0,,176855.0,233754.6,160658.0,129665.4,227542.7,203516.0,,,123335.4,182670.0,35235.8,-72833.0,-48495.0,,-73717.0,-77853.0,,-48948.0,7951.6,-65145.0,-96137.6,1739.7,-22287.0,,,-102467.6,-43133.0,-190567.2,True,,False,False,,True,True,True,False,True,True,,,False,True,False
North Dakota,12054,22845.0,8937.0,,24824.6,12167.0,,25004.0,28316.7,7410.0,10161.2,11494.0,12411.0,,,9363.2,10977.0,3124.2,10791.0,-3117.0,,12770.6,113.0,,12950.0,16262.7,-4644.0,-1892.8,-560.0,357.0,,,-2690.8,-1077.0,-8929.8,True,,False,True,,False,False,True,True,True,True,,,True,True,True
Ohio,303545,303645.0,281735.0,,347059.4,608132.0,,323453.0,472075.1,300394.3,243012.7,346721.5,273204.5,,,351036.7,225250.0,78525.6,100.0,-21810.0,,43514.4,304587.0,,19908.0,168530.1,-3150.7,-60532.3,43176.5,-30340.5,,,47491.7,-78295.0,-225019.4,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Oklahoma,111630,97105.0,87963.0,,113199.0,243044.0,,120604.0,127816.5,77047.2,58322.3,96335.3,87660.5,,,109864.2,85201.0,24643.1,-14525.0,-23667.0,,1569.0,131414.0,,8974.0,16186.5,-34582.8,-53307.7,-15294.7,-23969.5,,,-1765.8,-26429.0,-86986.9,False,,True,False,,True,False,False,False,False,False,,,True,False,False
Oregon,41233,53685.0,60708.0,,55320.9,79373.0,,51842.0,84141.1,79948.8,61191.6,122091.7,56694.0,,,75808.8,50463.0,15030.9,12452.0,19475.0,,14087.9,38140.0,,10609.0,42908.1,38715.8,19958.6,80858.7,15461.0,,,34575.8,9230.0,-26202.1,False,,False,False,,True,False,False,False,False,False,,,False,True,False
Pennsylvania,301642,298450.0,373119.0,,309208.9,602928.0,,289438.0,426634.3,389044.8,283115.8,730510.5,356753.0,,,281100.1,318296.0,72774.1,-3192.0,71477.0,,7566.9,301286.0,,-12204.0,124992.3,87402.8,-18526.2,428868.5,55111.0,,,-20541.9,16654.0,-228867.9,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Rhode Island,35477,40915.0,22952.0,,37083.7,28665.0,,39132.0,55264.5,42297.9,22035.0,78033.9,36192.5,,,29132.4,28162.0,6718.1,5438.0,-12525.0,,1606.7,-6812.0,,3655.0,19787.5,6820.9,-13442.0,42556.9,715.5,,,-6344.6,-7315.0,-28758.9,False,,True,False,,True,False,False,False,False,True,,,False,False,False
South Carolina,120849,71620.0,94645.0,,61574.2,101255.0,,77019.0,88445.4,55860.0,54946.6,101505.6,94448.0,,,84039.6,88634.0,10667.3,-49229.0,-26204.0,,-59274.8,-19594.0,,-43830.0,-32403.6,-64989.0,-65902.4,-19343.4,-26401.0,,,-36809.4,-32215.0,-110181.7,True,,False,True,,True,True,False,False,True,True,,,True,True,False
South Dakota,17597,31025.0,15998.0,,29094.9,21012.0,,30367.0,33390.4,15327.3,11143.4,21604.6,23102.0,,,40813.7,18088.0,3111.1,13428.0,-1599.0,,11497.9,3415.0,,12770.0,15793.4,-2269.7,-6453.6,4007.6,5505.0,,,23216.7,491.0,-14485.9,True,,True,True,,True,False,True,True,True,True,,,False,True,False
Tennessee,248928,170280.0,176686.0,,165755.7,151978.0,,186836.0,203261.5,146343.1,95037.0,243712.8,159535.5,,,163689.9,142604.0,21279.6,-78648.0,-72242.0,,-83172.3,-96950.0,,-62092.0,-45666.5,-102584.9,-153891.0,-5215.2,-89392.5,,,-85238.1,-106324.0,-227648.4,True,,False,False,,True,True,False,False,True,False,,,False,False,False
Texas,577026,490330.0,817712.0,,422417.2,614191.0,,422945.0,663735.4,741509.3,429236.5,611840.3,508405.0,,,530429.8,462348.0,68350.2,-86696.0,240686.0,,-154608.8,37165.0,,-154081.0,86709.4,164483.3,-147789.5,34814.3,-68621.0,,,-46596.2,-114678.0,-508675.8,False,,False,True,,False,False,False,False,True,True,,,True,False,False
Utah,90879,103785.0,114267.0,,105023.8,145224.0,,103423.0,173024.4,56687.5,66389.8,100570.6,83819.0,,,90062.7,79713.0,13397.8,12906.0,23388.0,,14144.8,54345.0,,12544.0,82145.4,-34191.5,-24489.2,9691.6,-7060.0,,,-816.3,-11166.0,-77481.2,False,,False,False,,True,False,False,False,True,True,,,True,True,False
Vermont,3896,4305.0,9268.0,,3492.6,23609.0,,4338.0,6890.6,6491.9,3443.2,13294.0,3915.5,,,9611.5,4500.0,1083.0,409.0,5372.0,,-403.4,19713.0,,442.0,2994.6,2595.9,-452.8,9398.0,19.5,,,5715.5,604.0,-2813.0,False,,True,False,,False,False,False,False,False,True,,,False,False,False
Virginia,142542,87780.0,87875.0,,105751.9,93311.0,,86932.0,153428.1,119482.2,105200.8,160782.2,128311.0,,,93888.2,84884.0,35893.6,-54762.0,-54667.0,,-36790.1,-49231.0,,-55610.0,10886.1,-23059.8,-37341.2,18240.2,-14231.0,,,-48653.8,-57658.0,-106648.4,True,,True,True,,False,True,True,True,True,True,,,True,False,False
Washington,88514,75795.0,60127.0,,87026.6,254952.0,,62397.0,134977.7,114828.7,102810.4,91688.4,42517.5,,,141743.8,44234.0,,-12719.0,-28387.0,,-1487.4,166438.0,,-26117.0,46463.7,26314.7,14296.4,3174.4,-45996.5,,,53229.8,-44280.0,,False,,True,False,,False,False,False,False,True,False,,,False,False,
West Virginia,46206,38635.0,34624.0,,36160.4,72605.0,,36764.0,55026.3,45515.4,21400.0,82861.5,40978.0,,,54788.6,39416.0,9547.4,-7571.0,-11582.0,,-10045.6,26399.0,,-9442.0,8820.3,-690.6,-24806.0,36655.5,-5228.0,,,8582.6,-6790.0,-36658.6,False,,False,False,,False,False,True,False,False,True,,,False,True,False
Wisconsin,110216,164595.0,119235.0,,159972.7,88783.0,,132724.0,163983.2,67487.1,83736.2,103350.8,106973.5,,,144663.5,86474.0,17856.4,54379.0,9019.0,,49756.7,-21433.0,,22508.0,53767.2,-42728.9,-26479.8,-6865.2,-3242.5,,,34447.5,-23742.0,-92359.6,True,,True,True,,True,True,True,True,True,True,,,True,True,False
Wyoming,10778,19690.0,14754.0,,19025.5,24283.0,,19783.0,20894.7,11366.8,6809.0,7754.4,11488.0,,,18034.0,10067.0,3220.2,8912.0,3976.0,,8247.5,13505.0,,9005.0,10116.7,588.8,-3969.0,-3023.6,710.0,,,7256.0,-711.0,-7557.8,True,,True,False,,False,False,True,True,True,True,,,True,True,True
US,7510596,6683180.0,7574825.0,9927007.0,8129334.6,9295653.0,7212637.0,6544151.0,9082262.2,7619546.2,5516435.2,9837964.7,7120503.0,6929574.0,7399394.0,7407192.6,5935360.0,,-827416.0,64229.0,2416411.0,618738.6,1785057.0,-297959.0,-966445.0,1571666.2,108950.2,-1994160.8,2327368.7,-390093.0,-581022.0,-111202.0,-103403.4,-1575236.0,,True,False,True,False,True,False,False,True,False,False,True,True,True,True,False,
