,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01027,378,264.0,,,,176.0,,31.3,,,,,-114.0,,,,-202.0,,-346.7,,,,,,,,False,,False,,,,
01029,458,296.0,,,,232.0,,94.2,,,,,-162.0,,,,-226.0,,-363.8,,,,,,,,False,,False,,,,
01031,1951,1480.0,,,,490.0,,2335.4,,885.9,,,-471.0,,,,-1461.0,,384.4,,-1065.1,,,,,,False,,True,,False,,
01033,2347,2056.0,,,,1247.0,,393.3,,499.6,,,-291.0,,,,-1100.0,,-1953.7,,-1847.4,,,,,,False,,False,,False,,
01035,268,280.0,,,,112.0,,972.5,,,,,12.0,,,,-156.0,,704.5,,,,,,,,False,,False,,,,
01037,311,256.0,,,,105.0,,101.5,,,,,-55.0,,,,-206.0,,-209.5,,,,,,,,False,,False,,,,
01039,1126,648.0,,,,400.0,,99.6,,338.8,,,-478.0,,,,-726.0,,-1026.4,,-787.2,,,,,,False,,False,,False,,
01041,448,240.0,,,,123.0,,621.1,,,,,-208.0,,,,-325.0,,173.1,,,,,,,,False,,True,,,,
01043,4015,4088.0,,,,1654.0,,3228.2,,1563.4,,,73.0,,,,-2361.0,,-786.8,,-2451.6,,,,,,False,,False,,False,,
01045,1530,1040.0,,,,501.0,,225.8,,436.5,,,-490.0,,,,-1029.0,,-1304.2,,-1093.5,,,,,,False,,False,,False,,
01047,866,592.0,,,,370.0,,596.0,,133.0,,,-274.0,,,,-496.0,,-270.0,,-733.0,,,,,,False,,True,,False,,
01049,3177,2544.0,,,,1414.0,,973.0,,1090.6,,,-633.0,,,,-1763.0,,-2204.0,,-2086.4,,,,,,False,,False,,False,,
01051,3710,1488.0,,,,761.0,,2029.6,,769.9,,,-2222.0,,,,-2949.0,,-1680.4,,-2940.1,,,,,,False,,True,,False,,
01053,1084,368.0,,,,401.0,,138.7,,262.4,,,-716.0,,,,-683.0,,-945.3,,-821.6,,,,,,True,,False,,False,,
01055,5768,3496.0,,,,1785.0,,1416.2,,1596.9,,,-2272.0,,,,-3983.0,,-4351.8,,-4171.1,,,,,,False,,False,,False,,
01057,834,552.0,,,,259.0,,2581.6,,,,,-282.0,,,,-575.0,,1747.6,,,,,,,,False,,False,,,,
01059,1194,600.0,,,,781.0,,54.9,,249.3,,,-594.0,,,,-413.0,,-1139.1,,-944.7,,,,,,True,,False,,False,,
01061,798,544.0,,,,278.0,,215.6,,372.5,,,-254.0,,,,-520.0,,-582.4,,-425.5,,,,,,False,,False,,False,,
01063,352,128.0,,,,75.0,,71.0,,,,,-224.0,,,,-277.0,,-281.0,,,,,,,,False,,False,,,,
01065,793,360.0,,,,167.0,,87.6,,,,,-433.0,,,,-626.0,,-705.4,,,,,,,,False,,False,,,,
01067,614,272.0,,,,139.0,,56.7,,,,,-342.0,,,,-475.0,,-557.3,,,,,,,,False,,False,,,,
01069,3399,1928.0,,,,1170.0,,761.7,,1403.7,,,-1471.0,,,,-2229.0,,-2637.3,,-1995.3,,,,,,False,,False,,False,,
01071,2879,1784.0,,,,1113.0,,617.2,,809.3,,,-1095.0,,,,-1766.0,,-2261.8,,-2069.7,,,,,,False,,False,,False,,
01073,30815,15616.0,,,,7837.0,,17570.0,,6328.6,,,-15199.0,,,,-22978.0,,-13245.0,,-24486.4,,,,,,False,,True,,False,,
01075,551,224.0,,,,239.0,,184.0,,,,,-327.0,,,,-312.0,,-367.0,,,,,,,,True,,False,,,,
01077,3899,2784.0,,,,2081.0,,514.1,,542.3,,,-1115.0,,,,-1818.0,,-3384.9,,-3356.7,,,,,,False,,False,,False,,
01079,1244,608.0,,,,714.0,,96.1,,,,,-636.0,,,,-530.0,,-1147.9,,,,,,,,True,,False,,,,
01081,4317,2424.0,,,,1606.0,,2428.4,,1661.2,,,-1893.0,,,,-2711.0,,-1888.6,,-2655.8,,,,,,False,,True,,False,,
01083,3933,2432.0,,,,1742.0,,1420.6,,1353.1,,,-1501.0,,,,-2191.0,,-2512.4,,-2579.9,,,,,,False,,False,,False,,
01085,289,104.0,,,,78.0,,22.6,,,,,-185.0,,,,-211.0,,-266.4,,,,,,,,False,,False,,,,
01087,433,408.0,,,,125.0,,183.5,,,,,-25.0,,,,-308.0,,-249.5,,,,,,,,False,,False,,,,
01089,14064,6968.0,,,,4893.0,,12079.8,,2950.0,,,-7096.0,,,,-9171.0,,-1984.2,,-11114.0,,,,,,False,,True,,False,,
01091,804,320.0,,,,216.0,,100.2,,222.7,,,-484.0,,,,-588.0,,-703.8,,-581.3,,,,,,False,,False,,False,,
01093,1041,480.0,,,,554.0,,122.4,,195.2,,,-561.0,,,,-487.0,,-918.6,,-845.8,,,,,,True,,False,,False,,
01095,4576,3472.0,,,,1871.0,,5655.2,,1117.6,,,-1104.0,,,,-2705.0,,1079.2,,-3458.4,,,,,,False,,True,,False,,
01097,9821,5728.0,,,,4145.0,,1542.1,,2336.5,,,-4093.0,,,,-5676.0,,-8278.9,,-7484.5,,,,,,False,,False,,False,,
01099,656,248.0,,,,182.0,,367.9,,,,,-408.0,,,,-474.0,,-288.1,,,,,,,,False,,True,,,,
01101,6388,3584.0,,,,2091.0,,981.2,,1571.9,,,-2804.0,,,,-4297.0,,-5406.8,,-4816.1,,,,,,False,,False,,False,,
01103,6301,4120.0,,,,2238.0,,3297.6,,1725.1,,,-2181.0,,,,-4063.0,,-3003.4,,-4575.9,,,,,,False,,False,,False,,
01105,286,168.0,,,,87.0,,96.3,,,,,-118.0,,,,-199.0,,-189.7,,,,,,,,False,,False,,,,
01107,810,608.0,,,,278.0,,162.5,,,,,-202.0,,,,-532.0,,-647.5,,,,,,,,False,,False,,,,
01109,836,536.0,,,,331.0,,213.9,,600.9,,,-300.0,,,,-505.0,,-622.1,,-235.1,,,,,,False,,False,,True,,
01111,395,408.0,,,,303.0,,96.8,,,,,13.0,,,,-92.0,,-298.2,,,,,,,,False,,False,,,,
01113,998,288.0,,,,565.0,,22.3,,203.5,,,-710.0,,,,-433.0,,-975.7,,-794.5,,,,,,True,,False,,False,,
01115,3458,2096.0,,,,1074.0,,527.6,,989.1,,,-1362.0,,,,-2384.0,,-2930.4,,-2468.9,,,,,,False,,False,,False,,
01117,8536,5848.0,,,,2171.0,,9606.0,,2957.0,,,-2688.0,,,,-6365.0,,1070.0,,-5579.0,,,,,,False,,True,,False,,
01119,361,168.0,,,,110.0,,354.9,,,,,-193.0,,,,-251.0,,-6.1,,,,,,,,False,,True,,,,
01121,2646,1480.0,,,,1097.0,,743.9,,1143.3,,,-1166.0,,,,-1549.0,,-1902.1,,-1502.7,,,,,,False,,False,,False,,
01123,948,1000.0,,,,427.0,,1028.1,,501.7,,,52.0,,,,-521.0,,80.1,,-446.3,,,,,,False,,False,,False,,
01125,8336,4680.0,,,,2875.0,,1967.7,,4455.3,,,-3656.0,,,,-5461.0,,-6368.3,,-3880.7,,,,,,False,,False,,False,,
01127,2436,1192.0,,,,1077.0,,144.1,,420.5,,,-1244.0,,,,-1359.0,,-2291.9,,-2015.5,,,,,,False,,False,,False,,
01129,446,504.0,,,,168.0,,479.1,,,,,58.0,,,,-278.0,,33.1,,,,,,,,False,,True,,,,
01131,359,128.0,,,,77.0,,39.0,,,,,-231.0,,,,-282.0,,-320.0,,,,,,,,False,,False,,,,
01133,1048,832.0,,,,508.0,,593.2,,508.3,,,-216.0,,,,-540.0,,-454.8,,-539.7,,,,,,False,,False,,False,,
02013,25,8.0,,,,,,10.4,,,,,-17.0,,,,,,-14.6,,,,,,,,,,True,,,,
02016,119,16.0,,,,,,11.5,,,,,-103.0,,,,,,-107.5,,,,,,,,,,False,,,,
02020,12015,16520.0,,,,,,23715.6,,13075.3,,,4505.0,,,,,,11700.6,,1060.3,,,,,,,,False,,True,,
02050,1903,1960.0,,,,,,4706.9,,,,,57.0,,,,,,2803.9,,,,,,,,,,False,,,,
02060,0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,True,,,,
02068,23,40.0,,,,,,21.2,,,,,17.0,,,,,,-1.8,,,,,,,,,,True,,,,
02070,71,104.0,,,,,,769.5,,,,,33.0,,,,,,698.5,,,,,,,,,,False,,,,
02090,2514,2512.0,,,,,,334.3,,2253.7,,,-2.0,,,,,,-2179.7,,-260.3,,,,,,,,False,,False,,
02100,7,8.0,,,,,,9.7,,,,,1.0,,,,,,2.7,,,,,,,,,,False,,,,
02105,0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,True,,,,
02110,341,632.0,,,,,,114.7,,,,,291.0,,,,,,-226.3,,,,,,,,,,True,,,,
02122,2057,3112.0,,,,,,6225.4,,1094.3,,,1055.0,,,,,,4168.4,,-962.7,,,,,,,,False,,True,,
02130,94,384.0,,,,,,6727.9,,,,,290.0,,,,,,6633.9,,,,,,,,,,False,,,,
02150,805,168.0,,,,,,85.9,,,,,-637.0,,,,,,-719.1,,,,,,,,,,False,,,,
02158,572,272.0,,,,,,82.3,,,,,-300.0,,,,,,-489.7,,,,,,,,,,False,,,,
02164,37,104.0,,,,,,63.9,,,,,67.0,,,,,,26.9,,,,,,,,,,True,,,,
02170,4572,3120.0,,,,,,1427.8,,3211.2,,,-1452.0,,,,,,-3144.2,,-1360.8,,,,,,,,False,,True,,
02180,121,88.0,,,,,,16.3,,,,,-33.0,,,,,,-104.7,,,,,,,,,,False,,,,
02185,484,504.0,,,,,,2690.4,,,,,20.0,,,,,,2206.4,,,,,,,,,,False,,,,
02188,175,184.0,,,,,,34.8,,,,,9.0,,,,,,-140.2,,,,,,,,,,False,,,,
02195,17,16.0,,,,,,2.5,,,,,-1.0,,,,,,-14.5,,,,,,,,,,False,,,,
02198,32,48.0,,,,,,3309.0,,,,,16.0,,,,,,3277.0,,,,,,,,,,False,,,,
02220,159,176.0,,,,,,1482.6,,,,,17.0,,,,,,1323.6,,,,,,,,,,False,,,,
02230,10,0.0,,,,,,0.0,,,,,-10.0,,,,,,-10.0,,,,,,,,,,False,,,,
02240,266,400.0,,,,,,1637.4,,,,,134.0,,,,,,1371.4,,,,,,,,,,False,,,,
02261,164,176.0,,,,,,300.1,,,,,12.0,,,,,,136.1,,,,,,,,,,False,,,,
02275,8,0.0,,,,,,0.0,,,,,-8.0,,,,,,-8.0,,,,,,,,,,False,,,,
02282,21,32.0,,,,,,44.6,,,,,11.0,,,,,,23.6,,,,,,,,,,False,,,,
02290,103,56.0,,,,,,13.7,,,,,-47.0,,,,,,-89.3,,,,,,,,,,False,,,,
04001,3837,1896.0,,,,2218.0,,3635.4,,600.9,,,-1941.0,,,,-1619.0,,-201.6,,-3236.1,,,,,,True,,True,,False,,
04003,6059,2384.0,,,,1958.0,,27905.9,,764.5,,,-3675.0,,,,-4101.0,,21846.9,,-5294.5,,,,,,False,,False,,False,,
04005,6362,3800.0,,,,2290.0,,5699.2,,1257.9,,,-2562.0,,,,-4072.0,,-662.8,,-5104.1,,,,,,False,,True,,False,,
04007,2659,1640.0,,,,866.0,,1334.8,,546.1,,,-1019.0,,,,-1793.0,,-1324.2,,-2112.9,,,,,,False,,False,,False,,
04009,2364,1920.0,,,,733.0,,3685.0,,610.9,,,-444.0,,,,-1631.0,,1321.0,,-1753.1,,,,,,False,,False,,False,,
04011,331,152.0,,,,134.0,,1584.8,,,,,-179.0,,,,-197.0,,1253.8,,,,,,,,False,,False,,,,
04012,1146,296.0,,,,231.0,,723.1,,,,,-850.0,,,,-915.0,,-422.9,,,,,,,,False,,True,,,,
04013,199783,74040.0,,,,46314.0,,85056.0,,25730.5,,,-125743.0,,,,-153469.0,,-114727.0,,-174052.5,,,,,,False,,True,,False,,
04015,9965,2720.0,,,,2376.0,,3849.1,,934.6,,,-7245.0,,,,-7589.0,,-6115.9,,-9030.4,,,,,,False,,True,,False,,
04017,5266,2560.0,,,,3069.0,,1868.8,,701.5,,,-2706.0,,,,-2197.0,,-3397.2,,-4564.5,,,,,,True,,False,,False,,
04019,48435,17128.0,,,,9317.0,,48695.2,,6032.2,,,-31307.0,,,,-39118.0,,260.2,,-42402.8,,,,,,False,,True,,False,,
04021,19395,6376.0,,,,4464.0,,5899.9,,2152.5,,,-13019.0,,,,-14931.0,,-13495.1,,-17242.5,,,,,,False,,False,,False,,
04023,3358,1216.0,,,,528.0,,3432.3,,409.4,,,-2142.0,,,,-2830.0,,74.3,,-2948.6,,,,,,False,,True,,False,,
04025,9723,2352.0,,,,2519.0,,6009.0,,742.7,,,-7371.0,,,,-7204.0,,-3714.0,,-8980.3,,,,,,True,,True,,False,,
04027,15918,6872.0,,,,1582.0,,13634.2,,2373.1,,,-9046.0,,,,-14336.0,,-2283.8,,-13544.9,,,,,,False,,True,,False,,
05001,624,488.0,,,,580.0,,108.1,,,,,-136.0,,,,-44.0,,-515.9,,,,,,,,True,,False,,,,
05003,719,464.0,,,,439.0,,410.2,,,,,-255.0,,,,-280.0,,-308.8,,,,,,,,False,,False,,,,
05005,1251,1384.0,,,,916.0,,1250.8,,,,,133.0,,,,-335.0,,-0.2,,,,,,,,False,,True,,,,
05007,10213,6840.0,,,,7759.0,,14080.5,,2573.2,,,-3373.0,,,,-2454.0,,3867.5,,-7639.8,,,,,,True,,False,,False,,
05009,1466,1272.0,,,,930.0,,9083.6,,710.2,,,-194.0,,,,-536.0,,7617.6,,-755.8,,,,,,False,,False,,False,,
05011,683,80.0,,,,313.0,,214.7,,,,,-603.0,,,,-370.0,,-468.3,,,,,,,,True,,True,,,,
05013,163,232.0,,,,121.0,,1106.6,,,,,69.0,,,,-42.0,,943.6,,,,,,,,True,,False,,,,
05015,1085,616.0,,,,549.0,,882.0,,297.0,,,-469.0,,,,-536.0,,-203.0,,-788.0,,,,,,False,,True,,False,,
05017,379,208.0,,,,264.0,,1594.8,,68.4,,,-171.0,,,,-115.0,,1215.8,,-310.6,,,,,,True,,False,,False,,
05019,838,664.0,,,,637.0,,2443.7,,,,,-174.0,,,,-201.0,,1605.7,,,,,,,,False,,False,,,,
05021,741,816.0,,,,577.0,,771.5,,,,,75.0,,,,-164.0,,30.5,,,,,,,,False,,True,,,,
05023,898,392.0,,,,879.0,,112.2,,,,,-506.0,,,,-19.0,,-785.8,,,,,,,,True,,False,,,,
05025,329,136.0,,,,206.0,,10.0,,,,,-193.0,,,,-123.0,,-319.0,,,,,,,,True,,False,,,,
05027,833,536.0,,,,637.0,,363.6,,,,,-297.0,,,,-196.0,,-469.4,,,,,,,,True,,False,,,,
05029,1127,680.0,,,,875.0,,9220.0,,,,,-447.0,,,,-252.0,,8093.0,,,,,,,,True,,False,,,,
05031,4988,4008.0,,,,3874.0,,2268.5,,3069.7,,,-980.0,,,,-1114.0,,-2719.5,,-1918.3,,,,,,False,,False,,False,,
05033,2420,2048.0,,,,2800.0,,1945.8,,1544.7,,,-372.0,,,,380.0,,-474.2,,-875.3,,,,,,False,,False,,False,,
05035,1836,1504.0,,,,1459.0,,1224.8,,882.5,,,-332.0,,,,-377.0,,-611.2,,-953.5,,,,,,False,,False,,False,,
05037,918,264.0,,,,687.0,,42.6,,,,,-654.0,,,,-231.0,,-875.4,,,,,,,,True,,False,,,,
05039,316,256.0,,,,242.0,,1493.4,,,,,-60.0,,,,-74.0,,1177.4,,,,,,,,False,,False,,,,
05041,556,160.0,,,,264.0,,46.2,,,,,-396.0,,,,-292.0,,-509.8,,,,,,,,True,,False,,,,
05043,1092,312.0,,,,500.0,,163.2,,,,,-780.0,,,,-592.0,,-928.8,,,,,,,,True,,False,,,,
05045,4789,2824.0,,,,3219.0,,5067.6,,1242.9,,,-1965.0,,,,-1570.0,,278.6,,-3546.1,,,,,,True,,True,,False,,
05047,563,288.0,,,,668.0,,193.4,,,,,-275.0,,,,105.0,,-369.6,,,,,,,,True,,False,,,,
05049,540,384.0,,,,265.0,,342.2,,,,,-156.0,,,,-275.0,,-197.8,,,,,,,,False,,False,,,,
05051,3477,3056.0,,,,3275.0,,9276.7,,1783.9,,,-421.0,,,,-202.0,,5799.7,,-1693.1,,,,,,True,,False,,False,,
05053,736,360.0,,,,510.0,,613.0,,,,,-376.0,,,,-226.0,,-123.0,,,,,,,,True,,True,,,,
05055,2647,2264.0,,,,1801.0,,1450.2,,2306.2,,,-383.0,,,,-846.0,,-1196.8,,-340.8,,,,,,False,,False,,True,,
05057,647,432.0,,,,508.0,,264.4,,,,,-215.0,,,,-139.0,,-382.6,,,,,,,,True,,False,,,,
05059,1326,1496.0,,,,1364.0,,2499.0,,610.5,,,170.0,,,,38.0,,1173.0,,-715.5,,,,,,True,,False,,False,,
05061,479,312.0,,,,287.0,,131.4,,,,,-167.0,,,,-192.0,,-347.6,,,,,,,,False,,False,,,,
05063,1230,1952.0,,,,1682.0,,15812.5,,933.7,,,722.0,,,,452.0,,14582.5,,-296.3,,,,,,True,,False,,True,,
05065,545,704.0,,,,434.0,,934.0,,,,,159.0,,,,-111.0,,389.0,,,,,,,,True,,False,,,,
05067,1673,2208.0,,,,841.0,,727.6,,,,,535.0,,,,-832.0,,-945.4,,,,,,,,False,,False,,,,
05069,2396,1784.0,,,,1989.0,,3796.6,,857.4,,,-612.0,,,,-407.0,,1400.6,,-1538.6,,,,,,True,,False,,False,,
05071,994,368.0,,,,1099.0,,152.6,,325.7,,,-626.0,,,,105.0,,-841.4,,-668.3,,,,,,True,,False,,False,,
05073,142,72.0,,,,105.0,,8.6,,,,,-70.0,,,,-37.0,,-133.4,,,,,,,,True,,False,,,,
05075,702,576.0,,,,716.0,,118.7,,,,,-126.0,,,,14.0,,-583.3,,,,,,,,True,,False,,,,
05077,378,144.0,,,,388.0,,1060.3,,45.5,,,-234.0,,,,10.0,,682.3,,-332.5,,,,,,True,,False,,False,,
05079,538,80.0,,,,496.0,,12.7,,88.7,,,-458.0,,,,-42.0,,-525.3,,-449.3,,,,,,True,,False,,True,,
05081,341,328.0,,,,226.0,,54.8,,,,,-13.0,,,,-115.0,,-286.2,,,,,,,,False,,False,,,,
05083,908,664.0,,,,952.0,,7870.6,,,,,-244.0,,,,44.0,,6962.6,,,,,,,,True,,False,,,,
05085,2589,1720.0,,,,1902.0,,3265.4,,1020.3,,,-869.0,,,,-687.0,,676.4,,-1568.7,,,,,,True,,True,,False,,
05087,613,416.0,,,,442.0,,4494.3,,,,,-197.0,,,,-171.0,,3881.3,,,,,,,,True,,False,,,,
05089,451,480.0,,,,297.0,,431.1,,,,,29.0,,,,-154.0,,-19.9,,,,,,,,False,,True,,,,
05091,1091,912.0,,,,990.0,,114.5,,202.2,,,-179.0,,,,-101.0,,-976.5,,-888.8,,,,,,True,,False,,False,,
05093,1894,1640.0,,,,1717.0,,1525.1,,339.1,,,-254.0,,,,-177.0,,-368.9,,-1554.9,,,,,,True,,False,,False,,
05095,288,112.0,,,,268.0,,32.1,,,,,-176.0,,,,-20.0,,-255.9,,,,,,,,True,,False,,,,
05097,354,136.0,,,,228.0,,586.0,,,,,-218.0,,,,-126.0,,232.0,,,,,,,,True,,False,,,,
05099,239,200.0,,,,260.0,,52.1,,,,,-39.0,,,,21.0,,-186.9,,,,,,,,True,,False,,,,
05101,222,224.0,,,,218.0,,469.2,,,,,2.0,,,,-4.0,,247.2,,,,,,,,False,,False,,,,
05103,1092,448.0,,,,732.0,,1417.6,,,,,-644.0,,,,-360.0,,325.6,,,,,,,,True,,True,,,,
05105,346,176.0,,,,276.0,,273.5,,,,,-170.0,,,,-70.0,,-72.5,,,,,,,,True,,True,,,,
05107,554,216.0,,,,611.0,,64.1,,,,,-338.0,,,,57.0,,-489.9,,,,,,,,True,,False,,,,
05109,454,224.0,,,,258.0,,781.6,,,,,-230.0,,,,-196.0,,327.6,,,,,,,,True,,False,,,,
05111,1153,1016.0,,,,1041.0,,295.7,,961.5,,,-137.0,,,,-112.0,,-857.3,,-191.5,,,,,,True,,False,,False,,
05113,870,992.0,,,,572.0,,8120.7,,,,,122.0,,,,-298.0,,7250.7,,,,,,,,False,,False,,,,
05115,2995,1824.0,,,,1996.0,,1026.4,,1076.0,,,-1171.0,,,,-999.0,,-1968.6,,-1919.0,,,,,,True,,False,,False,,
05117,292,328.0,,,,297.0,,435.2,,,,,36.0,,,,5.0,,143.2,,,,,,,,True,,False,,,,
05119,13764,9040.0,,,,8139.0,,23873.3,,6266.1,,,-4724.0,,,,-5625.0,,10109.3,,-7497.9,,,,,,False,,False,,False,,
05121,787,616.0,,,,745.0,,1340.7,,,,,-171.0,,,,-42.0,,553.7,,,,,,,,True,,False,,,,
05123,1065,496.0,,,,1177.0,,369.5,,544.6,,,-569.0,,,,112.0,,-695.5,,-520.4,,,,,,True,,False,,True,,
05125,4841,3752.0,,,,3529.0,,8341.0,,2525.5,,,-1089.0,,,,-1312.0,,3500.0,,-2315.5,,,,,,False,,False,,False,,
05127,407,280.0,,,,341.0,,596.3,,,,,-127.0,,,,-66.0,,189.3,,,,,,,,True,,False,,,,
05129,285,232.0,,,,240.0,,74.5,,,,,-53.0,,,,-45.0,,-210.5,,,,,,,,True,,False,,,,
05131,4785,4848.0,,,,5881.0,,18979.2,,2406.4,,,63.0,,,,1096.0,,14194.2,,-2378.6,,,,,,False,,False,,False,,
05133,603,592.0,,,,447.0,,138.3,,283.4,,,-11.0,,,,-156.0,,-464.7,,-319.6,,,,,,False,,False,,False,,
05135,777,672.0,,,,541.0,,2990.9,,,,,-105.0,,,,-236.0,,2213.9,,,,,,,,False,,False,,,,
05137,395,104.0,,,,372.0,,230.4,,,,,-291.0,,,,-23.0,,-164.6,,,,,,,,True,,True,,,,
05139,1439,648.0,,,,1144.0,,274.9,,212.3,,,-791.0,,,,-295.0,,-1164.1,,-1226.7,,,,,,True,,False,,False,,
05141,604,168.0,,,,531.0,,3804.1,,,,,-436.0,,,,-73.0,,3200.1,,,,,,,,True,,False,,,,
05143,10428,7840.0,,,,7603.0,,20553.9,,4796.1,,,-2588.0,,,,-2825.0,,10125.9,,-5631.9,,,,,,False,,False,,False,,
05145,3256,3032.0,,,,2698.0,,4379.8,,2217.2,,,-224.0,,,,-558.0,,1123.8,,-1038.8,,,,,,False,,False,,False,,
05147,270,120.0,,,,238.0,,15.8,,,,,-150.0,,,,-32.0,,-254.2,,,,,,,,True,,False,,,,
05149,1209,736.0,,,,743.0,,8172.9,,275.9,,,-473.0,,,,-466.0,,6963.9,,-933.1,,,,,,True,,False,,False,,
06001,33412,8768.0,,,,6838.0,,21943.5,,7397.7,,,-24644.0,,,,-26574.0,,-11468.5,,-26014.3,,,,,,False,,True,,False,,
06003,43,56.0,,,,25.0,,27.7,,,,,13.0,,,,-18.0,,-15.3,,,,,,,,False,,False,,,,
06005,2433,224.0,,,,189.0,,327.0,,,,,-2209.0,,,,-2244.0,,-2106.0,,,,,,,,False,,True,,,,
06007,5028,1184.0,,,,1548.0,,1745.8,,992.7,,,-3844.0,,,,-3480.0,,-3282.2,,-4035.3,,,,,,True,,True,,False,,
06009,995,192.0,,,,183.0,,126.9,,,,,-803.0,,,,-812.0,,-868.1,,,,,,,,False,,False,,,,
06011,967,144.0,,,,107.0,,57.9,,,,,-823.0,,,,-860.0,,-909.1,,,,,,,,False,,False,,,,
06013,25572,8664.0,,,,5029.0,,19124.4,,5203.6,,,-16908.0,,,,-20543.0,,-6447.6,,-20368.4,,,,,,False,,True,,False,,
06015,596,136.0,,,,52.0,,23.2,,,,,-460.0,,,,-544.0,,-572.8,,,,,,,,False,,False,,,,
06017,5053,1200.0,,,,960.0,,1381.8,,532.6,,,-3853.0,,,,-4093.0,,-3671.2,,-4520.4,,,,,,False,,True,,False,,
06019,39996,11320.0,,,,7345.0,,41405.1,,6155.7,,,-28676.0,,,,-32651.0,,1409.1,,-33840.3,,,,,,False,,True,,False,,
06021,911,432.0,,,,176.0,,63.5,,,,,-479.0,,,,-735.0,,-847.5,,,,,,,,False,,False,,,,
06023,1373,424.0,,,,133.0,,20798.4,,,,,-949.0,,,,-1240.0,,19425.4,,,,,,,,False,,False,,,,
06025,9905,3584.0,,,,3079.0,,2612.4,,1178.8,,,-6321.0,,,,-6826.0,,-7292.6,,-8726.2,,,,,,False,,False,,False,,
06027,552,96.0,,,,124.0,,123.6,,,,,-456.0,,,,-428.0,,-428.4,,,,,,,,True,,True,,,,
