,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kansas,89355,110604.0,86740.0,,99799.1,,101119.0,210014.7,111727.7,63267.9,81567.0,159886.0,,105161.7,20300.1,47570.0,21249.0,-2615.0,,10444.1,,11764.0,120659.7,22372.7,-26087.1,-7788.0,70531.0,,15806.7,-69054.9,-41785.0,True,,True,,True,False,False,False,True,False,,True,False,False
Kentucky,126215,109644.0,104125.0,,123735.9,,114879.0,194770.7,181563.6,80377.4,138737.5,152270.0,,89254.5,48394.5,76684.0,-16571.0,-22090.0,,-2479.1,,-11336.0,68555.7,55348.6,-45837.6,12522.5,26055.0,,-36960.5,-77820.5,-49531.0,False,,True,,True,False,False,False,True,False,,False,False,False
Louisiana,110829,83358.0,108949.0,,88673.6,,96626.0,136894.9,214539.5,97507.8,114147.0,159419.0,,51089.8,18243.0,46986.0,-27471.0,-1880.0,,-22155.4,,-14203.0,26065.9,103710.5,-13321.2,3318.0,48590.0,,-59739.2,-92586.0,-63843.0,True,,True,,True,True,False,True,True,False,,False,False,False
Maine,17731,6990.0,6451.0,,8364.0,,11208.0,13577.0,11868.5,11851.5,8799.5,26402.0,,17362.2,2251.6,3637.0,-10741.0,-11280.0,,-9367.0,,-6523.0,-4154.0,-5862.5,-5879.5,-8931.5,8671.0,,-368.8,-15479.4,-14094.0,False,,True,,True,True,True,True,True,True,,True,False,False
Maryland,108916,86862.0,64283.0,,78368.7,,89338.0,162840.1,160078.5,111660.7,77779.0,104847.0,,104504.4,45030.6,69078.0,-22054.0,-44633.0,,-30547.3,,-19578.0,53924.1,51162.5,2744.7,-31137.0,-4069.0,,-4411.6,-63885.4,-39838.0,False,,False,,True,False,False,True,False,True,,True,False,False
Massachusetts,204666,109884.0,83769.0,,108392.1,,108783.0,192424.3,105401.1,146797.3,124965.0,167727.0,,145264.0,66169.4,75247.0,-94782.0,-120897.0,,-96273.9,,-95883.0,-12241.7,-99264.9,-57868.7,-79701.0,-36939.0,,-59402.0,-138496.6,-129419.0,False,,False,,False,True,False,True,True,True,,True,False,False
Michigan,184401,294786.0,227038.0,,279030.5,,311140.0,545249.1,232903.1,314914.6,267226.5,373221.0,,208040.7,88586.8,178015.0,110385.0,42637.0,,94629.5,,126739.0,360848.1,48502.1,130513.6,82825.5,188820.0,,23639.7,-95814.2,-6386.0,True,,True,,False,False,True,False,True,False,,True,True,True
Minnesota,130390,246426.0,176651.0,,186413.0,,251254.0,530159.7,227060.8,128807.1,285211.5,319451.0,,285015.4,151030.8,128557.0,116036.0,46261.0,,56023.0,,120864.0,399769.7,96670.8,-1582.9,154821.5,189061.0,,154625.4,20640.8,-1833.0,True,,True,,False,False,True,True,False,False,,False,True,True
Mississippi,86928,45234.0,44658.0,,41849.9,,48794.0,71686.8,60532.9,33767.3,45178.0,86121.0,,51250.5,35587.2,24424.0,-41694.0,-42270.0,,-45078.1,,-38134.0,-15241.2,-26395.1,-53160.7,-41750.0,-807.0,,-35677.5,-51340.8,-62504.0,False,,False,,True,True,True,False,False,True,,True,False,False
Missouri,163433,157644.0,118651.0,,155610.2,,159474.0,281741.2,95505.8,95597.0,100851.5,233024.0,,228265.5,48061.2,80828.0,-5789.0,-44782.0,,-7822.8,,-3959.0,118308.2,-67927.2,-67836.0,-62581.5,69591.0,,64832.5,-115371.8,-82605.0,False,,False,,True,False,False,False,False,False,,False,False,False
Montana,25257,37818.0,27647.0,,37008.1,,39651.0,72939.1,59610.7,14564.3,39096.0,46957.0,,19116.7,9982.7,18089.0,12561.0,2390.0,,11751.1,,14394.0,47682.1,34353.7,-10692.7,13839.0,21700.0,,-6140.3,-15274.3,-7168.0,True,,True,,False,False,False,True,False,False,,True,False,True
Nebraska,50297,73764.0,52540.0,,62051.9,,80880.0,117614.4,33902.4,45181.6,55343.5,101972.0,,68724.9,19686.9,33937.0,23467.0,2243.0,,11754.9,,30583.0,67317.4,-16394.6,-5115.4,5046.5,51675.0,,18427.9,-30610.1,-16360.0,True,,True,,False,False,True,True,True,False,,True,False,True
Nevada,97080,104976.0,97139.0,,87832.8,,97075.0,147880.9,145647.6,82569.3,131159.0,119638.0,,53842.1,40504.7,76593.0,7896.0,59.0,,-9247.2,,-5.0,50800.9,48567.6,-14510.7,34079.0,22558.0,,-43237.9,-56575.3,-20487.0,True,,False,,True,False,False,False,False,False,,False,False,False
New Hampshire,32229,16260.0,16736.0,,20633.8,,22813.0,32436.3,42020.2,21524.7,23182.0,33524.0,,26544.4,19359.4,11510.0,-15969.0,-15493.0,,-11595.2,,-9416.0,207.3,9791.2,-10704.3,-9047.0,1295.0,,-5684.6,-12869.6,-20719.0,True,,True,,True,True,True,True,True,True,,True,True,False
New Jersey,220395,165084.0,127649.0,,170542.3,,152958.0,268016.1,210436.9,211560.8,172338.5,211864.0,,265704.5,76114.7,112961.0,-55311.0,-92746.0,,-49852.7,,-67437.0,47621.1,-9958.1,-8834.2,-48056.5,-8531.0,,45309.5,-144280.3,-107434.0,False,,True,,False,True,True,True,True,True,,True,False,False
New Mexico,60972,87252.0,62112.0,,86030.5,,81572.0,154805.0,331176.4,57144.8,106474.5,95739.0,,110686.2,20983.7,51086.0,26280.0,1140.0,,25058.5,,20600.0,93833.0,270204.4,-3827.2,45502.5,34767.0,,49714.2,-39988.3,-9886.0,True,,True,,True,False,False,True,False,False,,False,False,True
New York,476121,261690.0,308399.0,,301268.8,,249845.0,374904.1,546988.0,465711.2,298262.0,444872.0,,252628.8,251543.6,223093.0,-214431.0,-167722.0,,-174852.2,,-226276.0,-101216.9,70867.0,-10409.8,-177859.0,-31249.0,,-223492.2,-224577.4,-253028.0,True,,True,,False,True,True,True,True,True,,False,False,False
North Carolina,256397,154182.0,192168.0,,138473.9,,159665.0,228782.1,196186.5,153368.6,172339.0,236634.0,,117149.4,126004.5,124444.0,-102215.0,-64229.0,,-117923.1,,-96732.0,-27614.9,-60210.5,-103028.4,-84058.0,-19763.0,,-139247.6,-130392.5,-131953.0,True,,False,,True,True,True,False,True,True,,False,False,False
North Dakota,16623,38370.0,20105.0,,35105.6,,43331.0,66606.8,17957.2,14610.4,17177.0,49862.0,,12362.5,7280.7,27354.0,21747.0,3482.0,,18482.6,,26708.0,49983.8,1334.2,-2012.6,554.0,33239.0,,-4260.5,-9342.3,10731.0,True,,True,,False,False,True,True,True,False,,True,True,True
Ohio,364274,380502.0,411883.0,,358362.0,,436756.0,631257.9,448595.9,319017.3,368376.0,559666.0,,581022.7,222386.8,271228.0,16228.0,47609.0,,-5912.0,,72482.0,266983.9,84321.9,-45256.7,4102.0,195392.0,,216748.7,-141887.2,-93046.0,False,,True,,False,False,False,False,True,False,,False,False,False
Oklahoma,131051,137400.0,139861.0,,108356.2,,138635.0,220291.3,148608.9,79855.3,130338.5,199532.0,,160764.3,62151.3,110967.0,6349.0,8810.0,,-22694.8,,7584.0,89240.3,17557.9,-51195.7,-712.5,68481.0,,29713.3,-68899.7,-20084.0,False,,False,,False,False,False,False,True,False,,False,False,False
Oregon,51970,53028.0,63570.0,,87605.8,,59775.0,96643.4,76350.1,67116.6,67450.0,82050.0,,68934.6,63131.0,47380.0,1058.0,11600.0,,35635.8,,7805.0,44673.4,24380.1,15146.6,15480.0,30080.0,,16964.6,11161.0,-4590.0,False,,False,,False,False,False,False,False,False,,False,False,False
Pennsylvania,361332,293742.0,289105.0,,256854.2,,316692.0,472311.6,499516.6,335903.5,295026.5,445150.0,,144773.1,152969.1,197995.0,-67590.0,-72227.0,,-104477.8,,-44640.0,110979.6,138184.6,-25428.5,-66305.5,83818.0,,-216558.9,-208362.9,-163337.0,False,,False,,True,False,False,True,True,False,,False,False,False
Rhode Island,43660,35718.0,33987.0,,33766.9,,31805.0,70475.0,40736.8,28564.4,39395.5,46511.0,,42761.2,10649.6,14066.0,-7942.0,-9673.0,,-9893.1,,-11855.0,26815.0,-2923.2,-15095.6,-4264.5,2851.0,,-898.8,-33010.4,-29594.0,False,,False,,False,False,True,False,True,True,,True,False,False
South Carolina,135173,59358.0,51433.0,,55429.8,,67462.0,96380.9,62172.3,65524.0,78834.5,105200.0,,37725.1,31925.1,41001.0,-75815.0,-83740.0,,-79743.2,,-67711.0,-38792.1,-73000.7,-69649.0,-56338.5,-29973.0,,-97447.9,-103247.9,-94172.0,False,,False,,True,True,True,True,True,True,,False,False,False
South Dakota,23802,41310.0,23673.0,,33092.3,,45130.0,51250.3,15819.5,14921.1,36269.0,54525.0,,24010.6,12987.3,27959.0,17508.0,-129.0,,9290.3,,21328.0,27448.3,-7982.5,-8880.9,12467.0,30723.0,,208.6,-10814.7,4157.0,True,,True,,False,False,True,True,True,False,,True,True,True
Tennessee,282984,165474.0,123788.0,,137244.6,,180692.0,257328.9,87391.0,108329.9,149615.0,241002.0,,196110.5,78668.9,100894.0,-117510.0,-159196.0,,-145739.4,,-102292.0,-25655.1,-195593.0,-174654.1,-133369.0,-41982.0,,-86873.5,-204315.1,-182090.0,False,,False,,True,True,False,False,False,True,,True,False,False
Texas,684899,414918.0,347945.0,,398827.7,,543220.0,577937.4,1100136.5,474215.9,530307.5,690908.0,,466740.8,172413.2,240055.0,-269981.0,-336954.0,,-286071.3,,-141679.0,-106961.6,415237.5,-210683.1,-154591.5,6009.0,,-218158.2,-512485.8,-444844.0,False,,False,,True,True,False,True,True,True,,True,False,False
Utah,111636,108648.0,51664.0,,105053.8,,151937.0,234414.5,88538.2,82711.3,70315.0,132253.0,,65382.1,26784.2,56741.0,-2988.0,-59972.0,,-6582.2,,40301.0,122778.5,-23097.8,-28924.7,-41321.0,20617.0,,-46253.9,-84851.8,-54895.0,False,,False,,False,False,False,False,False,False,,False,False,False
Vermont,4757,2922.0,3374.0,,0.0,,4010.0,5831.3,7412.2,3379.9,2830.0,11653.0,,2535.8,1547.8,1468.0,-1835.0,-1383.0,,-4757.0,,-747.0,1074.3,2655.2,-1377.1,-1927.0,6896.0,,-2221.2,-3209.2,-3289.0,True,,False,,True,True,False,True,False,False,,False,False,False
Virginia,160098,107628.0,137862.0,,101196.4,,103834.0,180364.7,229335.7,131391.8,140527.0,153701.0,,157797.0,75533.5,82591.0,-52470.0,-22236.0,,-58901.6,,-56264.0,20266.7,69237.7,-28706.2,-19571.0,-6397.0,,-2301.0,-84564.5,-77507.0,True,,False,,False,True,False,True,True,True,,True,False,False
Washington,104364,116244.0,155714.0,,246737.8,,103771.0,166500.3,149930.2,144101.4,141456.5,172293.0,,154548.9,86379.3,93642.0,11880.0,51350.0,,142373.8,,-593.0,62136.3,45566.2,39737.4,37092.5,67929.0,,50184.9,-17984.7,-10722.0,False,,False,,True,False,False,False,False,False,,False,False,True
West Virginia,53933,37482.0,37653.0,,30676.8,,41669.0,75002.4,82229.1,25328.6,48900.5,60567.0,,62800.4,24568.0,22965.0,-16451.0,-16280.0,,-23256.2,,-12264.0,21069.4,28296.1,-28604.4,-5032.5,6634.0,,8867.4,-29365.0,-30968.0,True,,False,,True,False,False,False,True,True,,True,False,False
Wisconsin,143135,196680.0,114627.0,,199553.7,,208084.0,357607.4,129874.3,111313.9,173814.5,248578.0,,180994.8,50142.0,88160.0,53545.0,-28508.0,,56418.7,,64949.0,214472.4,-13260.7,-31821.1,30679.5,105443.0,,37859.8,-92993.0,-54975.0,True,,False,,False,False,True,True,True,False,,True,False,False
Wyoming,14791,27108.0,19552.0,,25890.1,,32031.0,58658.1,33845.5,10895.0,18589.5,34092.0,,27972.0,4427.4,11024.0,12317.0,4761.0,,11099.1,,17240.0,43867.1,19054.5,-3896.0,3798.5,19301.0,,13181.0,-10363.6,-3767.0,True,,True,,False,False,False,True,True,False,,False,True,True
US,8900667,6842310.0,6007665.0,4086118.0,6940314.1,6873134.0,7103344.0,11427095.5,9624633.8,6528384.6,6885357.0,10933845.0,7137024.0,5876287.7,3475437.7,4238807.0,-2058357.0,-2893002.0,-4814549.0,-1960352.9,-2027533.0,-1797323.0,2526428.5,723966.8,-2372282.4,-2015310.0,2033178.0,-1763643.0,-3024379.3,-5425229.3,-4661860.0,False,False,True,True,True,False,True,False,True,True,True,False,False,False
