,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,120064,92976.0,131299.2,91598.6,93828.0,84287.0,,106596.5,75966.0,125793.9,75650.2,,105999.9,114986.0,111202.7,95871.5,95155.0,63547.5,78417.5,152310.7,128738.0,80174.3,92856.9,116050.0,113541.0,,86348.7,66025.7,,82448.5,120969.9,78891.8,95842.0,89072.6,-27088.0,11235.2,-28465.4,-26236.0,-35777.0,,-13467.5,-44098.0,5729.9,-44413.8,,-14064.1,-5078.0,-8861.3,-24192.5,-24909.0,-56516.5,-41646.5,32246.7,8674.0,-39889.7,-27207.1,-4014.0,-6523.0,,-33715.3,-54038.3,,-37615.5,905.9,-41172.2,-24222.0,-30991.4,True,False,True,False,,True,False,True,False,,True,True,True,True,True,False,False,False,True,False,False,True,True,,False,False,,False,True,False,True,False
Hawaii,2152,1762.0,2069.1,1757.2,1788.0,1519.0,,1859.9,914.0,2958.0,1787.7,,1927.0,,2072.5,1779.7,1675.0,3805.1,1820.0,1650.1,1685.5,1618.4,1963.9,2037.0,2813.0,,1808.3,1514.5,,1465.0,2180.7,1776.4,1807.0,1199.6,-390.0,-82.9,-394.8,-364.0,-633.0,,-292.1,-1238.0,806.0,-364.3,,-225.0,,-79.5,-372.3,-477.0,1653.1,-332.0,-501.9,-466.5,-533.6,-188.1,-115.0,661.0,,-343.7,-637.5,,-687.0,28.7,-375.6,-345.0,-952.4,True,False,True,False,,True,False,False,True,,True,,True,True,False,False,True,False,False,False,True,True,False,,True,False,,False,True,True,True,False
Idaho,13448,13436.0,9966.7,13368.0,13051.0,9609.0,,15461.2,11012.0,14800.0,13342.6,,10670.9,17018.0,17347.9,11518.5,11978.0,10372.5,7213.5,17482.5,13339.0,9114.3,13339.2,14348.0,13393.0,,7286.2,14032.3,,11504.6,23544.7,15517.8,12949.0,11851.5,-12.0,-3481.3,-80.0,-397.0,-3839.0,,2013.2,-2436.0,1352.0,-105.4,,-2777.1,3570.0,3899.9,-1929.5,-1470.0,-3075.5,-6234.5,4034.5,-109.0,-4333.7,-108.8,900.0,-55.0,,-6161.8,584.3,,-1943.4,10096.7,2069.8,-499.0,-1596.5,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Illinois,89897,79550.0,78970.0,81040.7,72213.0,59733.0,,80632.3,52660.0,74262.7,66574.1,,61361.1,91746.0,105296.8,52101.0,74506.0,67047.0,46836.5,84051.0,65211.0,57290.7,71330.7,80640.0,73730.0,,58684.8,49957.6,,66399.2,127623.8,77919.8,83360.0,61189.8,-10347.0,-10927.0,-8856.3,-17684.0,-30164.0,,-9264.7,-37237.0,-15634.3,-23322.9,,-28535.9,1849.0,15399.8,-37796.0,-15391.0,-22850.0,-43060.5,-5846.0,-24686.0,-32606.3,-18566.3,-9257.0,-16167.0,,-31212.2,-39939.4,,-23497.8,37726.8,-11977.2,-6537.0,-28707.2,False,True,False,False,,True,False,False,False,,False,True,False,False,False,False,False,True,False,False,False,True,False,,False,False,,False,False,False,True,False
Indiana,66539,68300.0,72554.1,69202.6,63087.0,51104.0,,68755.3,58194.0,59158.3,50115.8,,52693.9,72008.0,78424.1,41975.9,62783.0,42838.3,42444.0,72520.9,43651.0,44580.8,55391.6,71211.0,65182.0,,47617.4,50898.4,,55079.6,101314.0,67002.5,66833.0,58101.5,1761.0,6015.1,2663.6,-3452.0,-15435.0,,2216.3,-8345.0,-7380.7,-16423.2,,-13845.1,5469.0,11885.1,-24563.1,-3756.0,-23700.7,-24095.0,5981.9,-22888.0,-21958.2,-11147.4,4672.0,-1357.0,,-18921.6,-15640.6,,-11459.4,34775.0,463.5,294.0,-8437.5,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,True,True,False
Iowa,21378,15668.0,12351.6,16282.8,15221.0,11474.0,,17835.4,18344.0,16253.7,19121.8,,12586.1,23778.0,20048.4,11209.5,16386.0,16037.0,6444.0,12099.8,16261.0,11749.1,15952.7,17640.0,19142.0,,12293.1,7166.2,,13364.7,37319.1,15453.9,17168.0,13653.8,-5710.0,-9026.4,-5095.2,-6157.0,-9904.0,,-3542.6,-3034.0,-5124.3,-2256.2,,-8791.9,2400.0,-1329.6,-10168.5,-4992.0,-5341.0,-14934.0,-9278.2,-5117.0,-9628.9,-5425.3,-3738.0,-2236.0,,-9084.9,-14211.8,,-8013.3,15941.1,-5924.1,-4210.0,-7724.2,False,True,False,False,,True,True,True,True,,False,True,True,False,True,True,False,False,True,False,True,True,True,,False,False,,False,False,False,True,False
Kansas,32002,18680.0,19958.6,17670.3,19304.0,12881.0,,23585.4,40484.0,7463.3,23728.5,,28962.0,29313.0,36092.9,21810.1,17373.0,17000.4,9919.0,25175.0,14520.5,11341.0,21719.3,23636.0,20798.0,,12268.2,16330.8,,20615.1,45438.5,24932.6,18966.0,12781.2,-13322.0,-12043.4,-14331.7,-12698.0,-19121.0,,-8416.6,8482.0,-24538.7,-8273.5,,-3040.0,-2689.0,4090.9,-10191.9,-14629.0,-15001.6,-22083.0,-6827.0,-17481.5,-20661.0,-10282.7,-8366.0,-11204.0,,-19733.8,-15671.2,,-11386.9,13436.5,-7069.4,-13036.0,-19220.8,True,False,True,False,,True,True,False,True,,True,True,True,True,False,False,False,True,False,False,True,True,True,,False,False,,True,False,True,True,False
Kentucky,44835,29998.0,44991.3,29737.0,29033.0,23642.0,,33230.9,24541.0,62961.5,44560.9,,25617.7,35413.0,41735.8,27745.5,25681.0,24460.8,15056.0,33751.6,29552.0,21364.8,36001.6,36377.0,27433.0,,25653.2,39975.6,,26515.5,56935.2,35567.0,33739.0,25942.9,-14837.0,156.3,-15098.0,-15802.0,-21193.0,,-11604.1,-20294.0,18126.5,-274.1,,-19217.3,-9422.0,-3099.2,-17089.5,-19154.0,-20374.2,-29779.0,-11083.4,-15283.0,-23470.2,-8833.4,-8458.0,-17402.0,,-19181.8,-4859.4,,-18319.5,12100.2,-9268.0,-11096.0,-18892.1,True,False,False,False,,True,False,False,True,,False,True,True,False,False,False,False,True,False,False,True,True,False,,False,True,,False,True,True,True,False
Louisiana,44932,28130.0,41613.9,27692.4,28773.0,23049.0,,33281.0,46601.0,1390315.6,25951.3,,28023.9,38996.0,32513.3,27337.2,31533.0,24685.0,15832.0,37378.5,28900.0,20770.8,31716.9,32252.0,34537.0,,21009.7,61549.3,,25682.8,47919.7,25913.4,27148.0,24078.9,-16802.0,-3318.1,-17239.6,-16159.0,-21883.0,,-11651.0,1669.0,1345383.6,-18980.7,,-16908.1,-5936.0,-12418.7,-17594.8,-13399.0,-20247.0,-29100.0,-7553.5,-16032.0,-24161.2,-13215.1,-12680.0,-10395.0,,-23922.3,16617.3,,-19249.2,2987.7,-19018.6,-17784.0,-20853.1,True,False,True,False,,True,True,False,False,,False,True,True,False,True,False,False,True,True,False,True,True,True,,False,True,,False,True,False,False,False
Maine,7472,5618.0,7775.5,5617.9,7025.0,5148.0,,7185.3,7222.0,5880.7,5905.6,,8101.9,7169.0,9034.3,8651.5,7323.0,8333.2,7081.5,10774.0,8864.0,5399.8,9200.6,8144.0,6095.0,,5109.9,8171.9,,5955.5,8385.0,6372.2,6621.0,5457.3,-1854.0,303.5,-1854.1,-447.0,-2324.0,,-286.7,-250.0,-1591.3,-1566.4,,629.9,-303.0,1562.3,1179.5,-149.0,861.2,-390.5,3302.0,1392.0,-2072.2,1728.6,672.0,-1377.0,,-2362.1,699.9,,-1516.5,913.0,-1099.8,-851.0,-2014.7,True,False,True,False,,True,True,True,True,,True,True,True,True,True,True,True,False,True,False,True,True,True,,False,True,,True,True,True,True,False
Maryland,37924,33372.0,38225.3,32855.0,33028.0,30785.0,,33064.6,39397.0,34100.4,26065.5,,30840.0,35443.0,37541.7,23370.0,36860.0,34261.4,36464.5,34221.2,26531.0,28338.4,34807.3,36115.0,33526.0,,28039.4,50233.2,,34534.1,51549.9,31813.4,31369.0,23364.2,-4552.0,301.3,-5069.0,-4896.0,-7139.0,,-4859.4,1473.0,-3823.6,-11858.5,,-7084.0,-2481.0,-382.3,-14554.0,-1064.0,-3662.6,-1459.5,-3702.8,-11393.0,-9585.6,-3116.7,-1809.0,-4398.0,,-9884.6,12309.2,,-3389.9,13625.9,-6110.6,-6555.0,-14559.8,True,False,False,False,,False,True,True,False,,False,True,True,False,True,True,True,True,False,False,True,True,True,,False,False,,True,False,False,False,False
Massachusetts,77533,60664.0,73345.6,61660.4,58377.0,46129.0,,68674.4,67199.0,49872.3,74383.6,,57563.7,70452.0,84138.8,51181.7,54599.0,54039.1,39425.5,116405.9,54619.0,52355.0,70887.9,52706.0,58586.0,,53914.1,92589.6,,56663.8,99478.0,60025.5,71496.0,50399.3,-16869.0,-4187.4,-15872.6,-19156.0,-31404.0,,-8858.6,-10334.0,-27660.7,-3149.4,,-19969.3,-7081.0,6605.8,-26351.3,-22934.0,-23493.9,-38107.5,38872.9,-22914.0,-25178.0,-6645.1,-24827.0,-18947.0,,-23618.9,15056.6,,-20869.2,21945.0,-17507.5,-6037.0,-27133.7,True,True,False,False,,True,True,False,True,,False,True,True,False,False,False,False,False,False,False,True,False,False,,False,True,,False,False,False,True,False
Michigan,46227,40540.0,39815.3,40671.7,38942.0,23081.0,,39433.3,43983.0,161124.1,69057.0,,29034.5,54806.0,47752.4,23067.4,22113.0,38489.7,17289.0,44344.1,30988.0,28121.0,43377.9,47080.0,34637.0,,27077.6,41187.7,,75032.0,78766.7,42526.5,44474.0,43950.5,-5687.0,-6411.7,-5555.3,-7285.0,-23146.0,,-6793.7,-2244.0,114897.1,22830.0,,-17192.5,8579.0,1525.4,-23159.6,-24114.0,-7737.3,-28938.0,-1882.9,-15239.0,-18106.0,-2849.1,853.0,-11590.0,,-19149.4,-5039.3,,28805.0,32539.7,-3700.5,-1753.0,-2276.5,False,True,False,False,,False,True,False,False,,False,False,True,False,False,False,False,True,False,False,True,True,False,,False,True,,False,False,True,True,True
Minnesota,27868,23820.0,29700.2,26507.0,21622.0,14902.0,,25198.4,41755.0,24881.5,28711.2,,13403.5,33409.0,27775.1,11411.2,13088.0,21078.7,10188.5,23666.0,14677.0,21140.6,28175.8,24155.0,22695.0,,14659.4,25187.6,,20641.9,59734.3,19536.3,28594.0,20046.5,-4048.0,1832.2,-1361.0,-6246.0,-12966.0,,-2669.6,13887.0,-2986.5,843.2,,-14464.5,5541.0,-92.9,-16456.8,-14780.0,-6789.3,-17679.5,-4202.0,-13191.0,-6727.4,307.8,-3713.0,-5173.0,,-13208.6,-2680.4,,-7226.1,31866.3,-8331.7,726.0,-7821.5,True,True,False,False,,True,False,True,True,,False,False,True,False,False,False,False,False,False,False,True,True,False,,False,True,,False,False,False,True,False
Mississippi,31845,25824.0,29388.8,24776.3,26541.0,19210.0,,29755.1,35749.0,32814.1,15831.9,,25059.3,31015.0,29615.1,23972.4,27502.0,18492.3,21851.0,40914.8,32475.5,19485.4,25974.7,29097.0,27353.0,,23242.4,19496.1,,23800.5,42038.7,23344.6,26878.0,22650.9,-6021.0,-2456.2,-7068.7,-5304.0,-12635.0,,-2089.9,3904.0,969.1,-16013.1,,-6785.7,-830.0,-2229.9,-7872.6,-4343.0,-13352.7,-9994.0,9069.8,630.5,-12359.6,-5870.3,-2748.0,-4492.0,,-8602.6,-12348.9,,-8044.5,10193.7,-8500.4,-4967.0,-9194.1,True,False,True,False,,True,True,True,False,,False,True,True,False,True,False,False,False,True,False,True,True,True,,False,False,,False,False,False,True,False
Missouri,55194,35850.0,56753.6,36334.0,35659.0,26301.0,,37671.6,38447.0,43254.8,27995.9,,29485.0,45154.0,41161.2,24411.4,37324.0,27190.7,26194.5,36254.3,33436.0,26994.0,34403.2,38975.0,49053.0,,33286.3,30004.5,,36618.3,65322.9,36749.4,35410.0,29552.4,-19344.0,1559.6,-18860.0,-19535.0,-28893.0,,-17522.4,-16747.0,-11939.2,-27198.1,,-25709.0,-10040.0,-14032.8,-30782.6,-17870.0,-28003.3,-28999.5,-18939.7,-21758.0,-28200.0,-20790.8,-16219.0,-6141.0,,-21907.7,-25189.5,,-18575.7,10128.9,-18444.6,-19784.0,-25641.6,True,True,False,False,,True,True,True,False,,False,True,True,False,True,False,False,True,False,False,False,True,True,,False,False,,True,True,True,False,False
Montana,6669,5628.0,8232.2,5593.6,5285.0,3803.0,,6104.0,3563.0,6906.8,6190.2,,4098.5,7395.0,6561.3,3843.1,4171.0,4711.6,2253.0,5550.7,4812.0,3824.0,6882.8,6144.0,5669.0,,5809.8,7675.2,,4726.1,9238.4,5691.3,6305.0,2973.3,-1041.0,1563.2,-1075.4,-1384.0,-2866.0,,-565.0,-3106.0,237.8,-478.8,,-2570.5,726.0,-107.7,-2825.9,-2498.0,-1957.4,-4416.0,-1118.3,-1857.0,-2845.0,213.8,-525.0,-1000.0,,-859.2,1006.2,,-1942.9,2569.4,-977.7,-364.0,-3695.7,False,False,False,False,,True,False,True,True,,False,True,True,False,False,False,False,False,False,False,True,True,True,,True,True,,False,False,True,True,False
Nebraska,14283,11844.0,6481.5,11637.4,10098.0,9963.0,,12165.6,11288.0,10816.7,10390.7,,7834.9,14110.0,14521.4,6458.0,10693.0,10536.6,8166.5,10327.2,8594.0,8628.7,11885.4,11875.0,12946.0,,8782.9,17632.2,,15113.3,23182.7,9719.2,11827.0,7393.7,-2439.0,-7801.5,-2645.6,-4185.0,-4320.0,,-2117.4,-2995.0,-3466.3,-3892.3,,-6448.1,-173.0,238.4,-7825.0,-3590.0,-3746.4,-6116.5,-3955.8,-5689.0,-5654.3,-2397.6,-2408.0,-1337.0,,-5500.1,3349.2,,830.3,8899.7,-4563.8,-2456.0,-6889.3,False,False,False,False,,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,True,True,True,,False,False,,True,False,False,False,False
Nevada,30656,27590.0,32255.6,27446.5,27365.0,20422.0,,29426.2,28836.0,39200.7,25042.6,,27106.7,32262.0,37424.9,21737.2,29024.0,16452.4,20252.0,23556.0,29932.5,23746.2,26118.3,29883.0,25728.0,,22403.7,34207.2,,27122.0,49548.1,24708.4,28898.0,3553.0,-3066.0,1599.6,-3209.5,-3291.0,-10234.0,,-1229.8,-1820.0,8544.7,-5613.4,,-3549.3,1606.0,6768.9,-8918.8,-1632.0,-14203.6,-10404.0,-7100.0,-723.5,-6909.8,-4537.7,-773.0,-4928.0,,-8252.3,3551.2,,-3534.0,18892.1,-5947.6,-1758.0,-27103.0,True,False,False,False,,True,True,False,False,,False,True,False,False,True,False,False,False,True,False,False,True,False,,False,False,,False,False,False,True,False
