,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01115,2972,1590.0,1229.0,,,,1413.0,,848.2,813.6,1729.0,2691.0,,1699.6,,,-1382.0,-1743.0,,,,-1559.0,,-2123.8,-2158.4,-1243.0,-281.0,,-1272.4,,,False,,,,False,,False,False,True,True,,True,,
01117,7134,4116.0,2809.0,,,,2994.0,,2749.1,2493.2,4054.5,6747.0,,4281.9,,,-3018.0,-4325.0,,,,-4140.0,,-4384.9,-4640.8,-3079.5,-387.0,,-2852.1,,,False,,,,False,,False,False,False,True,,True,,
01119,307,174.0,256.0,,,,130.0,,103.6,84.8,132.0,269.0,,,,,-133.0,-51.0,,,,-177.0,,-203.4,-222.2,-175.0,-38.0,,,,,True,,,,False,,False,False,False,True,,,,
01121,2252,1176.0,1515.0,,,,1279.0,,735.8,895.1,1326.0,2010.0,,1267.8,,,-1076.0,-737.0,,,,-973.0,,-1516.2,-1356.9,-926.0,-242.0,,-984.2,,,True,,,,True,,False,False,True,True,,True,,
01123,777,492.0,524.0,,,,494.0,,192.3,483.6,380.5,985.0,,,,,-285.0,-253.0,,,,-283.0,,-584.7,-293.4,-396.5,208.0,,,,,True,,,,True,,False,False,False,True,,,,
01125,7013,4158.0,4641.0,,,,3735.0,,4398.3,2479.5,5385.5,6288.0,,2802.8,,,-2855.0,-2372.0,,,,-3278.0,,-2614.7,-4533.5,-1627.5,-725.0,,-4210.2,,,True,,,,False,,True,False,True,True,,False,,
01127,2057,1194.0,1172.0,,,,1429.0,,1200.0,677.1,1063.0,1956.0,,1320.1,,,-863.0,-885.0,,,,-628.0,,-857.0,-1379.9,-994.0,-101.0,,-736.9,,,False,,,,True,,True,False,False,True,,True,,
01129,400,96.0,117.0,,,,252.0,,17.5,101.3,97.0,326.0,,,,,-304.0,-283.0,,,,-148.0,,-382.5,-298.7,-303.0,-74.0,,,,,True,,,,True,,False,True,True,True,,,,
01131,329,84.0,112.0,,,,95.0,,89.6,50.3,64.0,260.0,,,,,-245.0,-217.0,,,,-234.0,,-239.4,-278.7,-265.0,-69.0,,,,,True,,,,True,,True,False,False,True,,,,
01133,848,720.0,560.0,,,,614.0,,462.9,263.1,667.0,746.0,,,,,-128.0,-288.0,,,,-234.0,,-385.1,-584.9,-181.0,-102.0,,,,,False,,,,False,,False,False,False,True,,,,
02013,10,78.0,3.0,,,,,,7.8,4.3,27.0,128.0,,,,,68.0,-7.0,,,,,,-2.2,-5.7,17.0,118.0,,,,,True,,,,,,True,True,True,False,,,,
02016,116,12.0,0.0,,,,,,0.6,1.0,12.0,153.0,,,,,-104.0,-116.0,,,,,,-115.4,-115.0,-104.0,37.0,,,,,False,,,,,,False,False,False,True,,,,
02020,7564,12204.0,7467.0,,,,,,8157.4,3565.5,9297.5,13566.0,,8942.8,,,4640.0,-97.0,,,,,,593.4,-3998.5,1733.5,6002.0,,1378.8,,,True,,,,,,True,True,True,False,,True,,
02050,1355,1860.0,0.0,,,,,,834.3,114.8,2425.5,1266.0,,,,,505.0,-1355.0,,,,,,-520.7,-1240.2,1070.5,-89.0,,,,,False,,,,,,False,False,False,True,,,,
02060,0,0.0,0.0,,,,,,0.0,0.0,,30.0,,,,,0.0,0.0,,,,,,0.0,0.0,,30.0,,,,,True,,,,,,True,True,,False,,,,
02068,18,12.0,0.0,,,,,,4.6,7.4,18.0,59.0,,,,,-6.0,-18.0,,,,,,-13.4,-10.6,0.0,41.0,,,,,False,,,,,,False,False,True,False,,,,
02070,50,30.0,0.0,,,,,,37.1,17.9,12.0,182.0,,,,,-20.0,-50.0,,,,,,-12.9,-32.1,-38.0,132.0,,,,,False,,,,,,True,False,False,False,,,,
02090,1941,1536.0,0.0,,,,,,1156.1,488.5,1480.0,2274.0,,933.9,,,-405.0,-1941.0,,,,,,-784.9,-1452.5,-461.0,333.0,,-1007.1,,,False,,,,,,False,False,False,True,,False,,
02100,7,0.0,0.0,,,,,,0.0,0.8,6.0,94.0,,,,,-7.0,-7.0,,,,,,-7.0,-6.2,-1.0,87.0,,,,,False,,,,,,True,True,True,False,,,,
02105,0,0.0,0.0,,,,,,0.0,4.1,,,,,,,0.0,0.0,,,,,,0.0,4.1,,,,,,,True,,,,,,True,False,,,,,,
02110,229,348.0,263.0,,,,,,76.6,153.2,298.0,404.0,,,,,119.0,34.0,,,,,,-152.4,-75.8,69.0,175.0,,,,,True,,,,,,False,True,True,False,,,,
02122,1213,2658.0,3724.0,,,,,,1095.4,661.6,2366.0,2730.0,,1725.1,,,1445.0,2511.0,,,,,,-117.6,-551.4,1153.0,1517.0,,512.1,,,False,,,,,,True,True,True,False,,True,,
02130,62,66.0,10.0,,,,,,1.5,15.5,24.0,173.0,,,,,4.0,-52.0,,,,,,-60.5,-46.5,-38.0,111.0,,,,,False,,,,,,False,False,False,False,,,,
02150,694,324.0,0.0,,,,,,1783.5,46.7,260.0,450.0,,,,,-370.0,-694.0,,,,,,1089.5,-647.3,-434.0,-244.0,,,,,False,,,,,,False,False,False,True,,,,
02158,510,192.0,8.0,,,,,,32.2,,206.0,,,,,,-318.0,-502.0,,,,,,-477.8,,-304.0,,,,,,False,,,,,,False,,True,,,,,
02164,22,18.0,0.0,,,,,,10.4,4.3,0.0,76.0,,,,,-4.0,-22.0,,,,,,-11.6,-17.7,-22.0,54.0,,,,,False,,,,,,False,False,False,False,,,,
02170,3601,4314.0,3392.0,,,,,,261.9,661.8,6512.5,4560.0,,3174.5,,,713.0,-209.0,,,,,,-3339.1,-2939.2,2911.5,959.0,,-426.5,,,True,,,,,,False,False,False,False,,True,,
02180,59,252.0,0.0,,,,,,853.6,34.4,279.0,395.0,,,,,193.0,-59.0,,,,,,794.6,-24.6,220.0,336.0,,,,,True,,,,,,False,True,False,False,,,,
02185,407,282.0,38.0,,,,,,41.8,63.5,229.0,325.0,,,,,-125.0,-369.0,,,,,,-365.2,-343.6,-178.0,-82.0,,,,,False,,,,,,False,False,False,True,,,,
02188,124,114.0,0.0,,,,,,197.1,49.6,110.0,315.0,,,,,-10.0,-124.0,,,,,,73.1,-74.4,-14.0,191.0,,,,,False,,,,,,False,False,False,False,,,,
02195,15,0.0,0.0,,,,,,0.0,0.3,13.0,84.0,,,,,-15.0,-15.0,,,,,,-15.0,-14.7,-2.0,69.0,,,,,False,,,,,,True,True,True,False,,,,
02198,25,30.0,0.0,,,,,,0.1,11.8,18.0,,,,,,5.0,-25.0,,,,,,-24.9,-13.2,-7.0,,,,,,False,,,,,,False,False,False,,,,,
02220,95,180.0,41.0,,,,,,159.9,32.8,172.0,316.0,,,,,85.0,-54.0,,,,,,64.9,-62.2,77.0,221.0,,,,,True,,,,,,True,True,True,False,,,,
02230,8,0.0,0.0,,,,,,4.6,7.6,,,,,,,-8.0,-8.0,,,,,,-3.4,-0.4,,,,,,,False,,,,,,True,True,,,,,,
02240,136,354.0,0.0,,,,,,954.7,41.2,338.0,345.0,,,,,218.0,-136.0,,,,,,818.7,-94.8,202.0,209.0,,,,,True,,,,,,False,True,True,True,,,,
02261,126,108.0,0.0,,,,,,82.5,37.4,82.0,295.0,,,,,-18.0,-126.0,,,,,,-43.5,-88.6,-44.0,169.0,,,,,False,,,,,,False,False,False,False,,,,
02275,7,0.0,0.0,,,,,,0.0,0.1,0.0,,,,,,-7.0,-7.0,,,,,,-7.0,-6.9,-7.0,,,,,,False,,,,,,True,True,False,,,,,
02282,13,24.0,0.0,,,,,,39.2,0.0,18.0,28.0,,,,,11.0,-13.0,,,,,,26.2,-13.0,5.0,15.0,,,,,False,,,,,,False,False,True,False,,,,
02290,66,126.0,0.0,,,,,,662.1,10.8,101.0,251.0,,,,,60.0,-66.0,,,,,,596.1,-55.2,35.0,185.0,,,,,False,,,,,,False,True,True,False,,,,
04001,2854,2766.0,1823.0,,,,3088.0,,14911.1,2346.5,4525.0,2624.0,,2182.3,,,-88.0,-1031.0,,,,234.0,,12057.1,-507.5,1671.0,-230.0,,-671.7,,,False,,,,False,,False,False,False,False,,False,,
04003,5141,3102.0,4178.0,,,,2346.0,,5582.5,3551.7,5603.5,3826.0,,2322.1,,,-2039.0,-963.0,,,,-2795.0,,441.5,-1589.3,462.5,-1315.0,,-2818.9,,,True,,,,False,,True,True,True,True,,False,,
04005,5164,3486.0,3525.0,,,,2662.0,,2758.0,2846.4,4037.5,4127.0,,3584.6,,,-1678.0,-1639.0,,,,-2502.0,,-2406.0,-2317.6,-1126.5,-1037.0,,-1579.4,,,True,,,,False,,False,False,True,True,,True,,
04007,2093,1806.0,1443.0,,,,1382.0,,2988.9,1407.4,1702.0,2031.0,,947.2,,,-287.0,-650.0,,,,-711.0,,895.9,-685.6,-391.0,-62.0,,-1145.8,,,False,,,,False,,False,False,False,True,,False,,
04009,1854,1710.0,1777.0,,,,1120.0,,966.2,957.0,1600.0,1955.0,,,,,-144.0,-77.0,,,,-734.0,,-887.8,-897.0,-254.0,101.0,,,,,True,,,,False,,False,False,False,True,,,,
04011,241,282.0,0.0,,,,241.0,,3083.6,139.7,534.5,301.0,,,,,41.0,-241.0,,,,0.0,,2842.6,-101.3,293.5,60.0,,,,,False,,,,True,,False,False,False,False,,,,
04012,993,504.0,496.0,,,,573.0,,1429.8,340.2,724.0,442.0,,,,,-489.0,-497.0,,,,-420.0,,436.8,-652.8,-269.0,-551.0,,,,,False,,,,True,,True,False,True,False,,,,
04013,171077,96162.0,84465.0,,,,88266.0,,229087.2,107851.9,111124.0,111925.0,,75427.2,,,-74915.0,-86612.0,,,,-82811.0,,58010.2,-63225.1,-59953.0,-59152.0,,-95649.8,,,False,,,,False,,True,True,True,True,,False,,
04015,8871,3378.0,4910.0,,,,3405.0,,6910.7,4383.1,4179.0,4598.0,,3158.2,,,-5493.0,-3961.0,,,,-5466.0,,-1960.3,-4487.9,-4692.0,-4273.0,,-5712.8,,,True,,,,True,,True,True,True,True,,False,,
04017,4335,2988.0,2070.0,,,,3648.0,,3570.8,3293.8,3536.0,3829.0,,3298.5,,,-1347.0,-2265.0,,,,-687.0,,-764.2,-1041.2,-799.0,-506.0,,-1036.5,,,False,,,,True,,True,True,True,True,,True,,
04019,41344,24366.0,31827.0,,,,20804.0,,38899.1,28623.1,26312.5,30687.0,,18539.5,,,-16978.0,-9517.0,,,,-20540.0,,-2444.9,-12720.9,-15031.5,-10657.0,,-22804.5,,,True,,,,False,,True,True,True,True,,False,,
04021,16648,7818.0,7555.0,,,,9382.0,,36503.7,7501.5,13657.0,10619.0,,7203.4,,,-8830.0,-9093.0,,,,-7266.0,,19855.7,-9146.5,-2991.0,-6029.0,,-9444.6,,,False,,,,True,,False,False,True,True,,False,,
04023,2743,2118.0,2454.0,,,,1133.0,,7183.9,1463.0,3941.0,2430.0,,1339.7,,,-625.0,-289.0,,,,-1610.0,,4440.9,-1280.0,1198.0,-313.0,,-1403.3,,,True,,,,False,,False,False,False,True,,False,,
04025,8112,5520.0,8665.0,,,,4395.0,,35681.4,7953.4,11553.0,6908.0,,3366.3,,,-2592.0,553.0,,,,-3717.0,,27569.4,-158.6,3441.0,-1204.0,,-4745.7,,,True,,,,False,,False,True,False,True,,False,,
04027,13408,8634.0,4571.0,,,,5678.0,,10703.6,8019.9,8505.0,8960.0,,7750.0,,,-4774.0,-8837.0,,,,-7730.0,,-2704.4,-5388.1,-4903.0,-4448.0,,-5658.0,,,False,,,,False,,True,False,False,True,,False,,
05001,500,342.0,253.0,,,,431.0,,351.1,256.1,207.0,525.0,,,,,-158.0,-247.0,,,,-69.0,,-148.9,-243.9,-293.0,25.0,,,,,False,,,,True,,True,False,False,True,,,,
05003,545,720.0,836.0,,,,425.0,,556.6,342.9,694.0,680.0,,,,,175.0,291.0,,,,-120.0,,11.6,-202.1,149.0,135.0,,,,,False,,,,True,,True,False,True,True,,,,
05005,949,840.0,644.0,,,,736.0,,632.2,534.7,849.0,1235.0,,,,,-109.0,-305.0,,,,-213.0,,-316.8,-414.3,-100.0,286.0,,,,,False,,,,False,,False,False,True,False,,,,
05007,8599,5286.0,5268.0,,,,5520.0,,1838.0,5624.3,5672.0,7759.0,,7551.0,,,-3313.0,-3331.0,,,,-3079.0,,-6761.0,-2974.7,-2927.0,-840.0,,-1048.0,,,False,,,,True,,False,True,True,True,,True,,
05009,1068,1152.0,1251.0,,,,728.0,,1400.8,614.7,1314.0,1578.0,,,,,84.0,183.0,,,,-340.0,,332.8,-453.3,246.0,510.0,,,,,False,,,,False,,False,False,False,False,,,,
05011,587,372.0,153.0,,,,225.0,,4015.9,99.8,619.0,390.0,,,,,-215.0,-434.0,,,,-362.0,,3428.9,-487.2,32.0,-197.0,,,,,False,,,,False,,False,False,True,True,,,,
