,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01053,695,648.0,,,614.0,56.0,,,,,562.0,,,,632.0,,1451.0,282.8,451.0,,588.0,588.0,635.0,804.0,712.4,,,,,392.4,,,,619.5,-47.0,,,-81.0,-639.0,,,,,-133.0,,,,-63.0,,756.0,-412.2,-244.0,,-107.0,-107.0,-60.0,109.0,17.4,,,,,-302.6,,,,-75.5,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,True,,,,,False,,,,False
01055,3139,3004.0,,,2923.0,2990.0,,,,,3378.8,,,,2646.0,,3691.1,1721.1,2290.5,,2818.5,2969.2,3079.5,3066.0,2241.4,,,,,2581.9,,,,4730.3,-135.0,,,-216.0,-149.0,,,,,239.8,,,,-493.0,,552.1,-1417.9,-848.5,,-320.5,-169.8,-59.5,-73.0,-897.6,,,,,-557.1,,,,1591.3,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,True,True,False,,,,,False,,,,False
01057,401,460.0,,,419.0,261.0,,,,,389.8,,,,370.0,,380.3,193.8,,,420.0,453.6,429.6,453.0,422.1,,,,,,,,,594.8,59.0,,,18.0,-140.0,,,,,-11.2,,,,-31.0,,-20.7,-207.2,,,19.0,52.6,28.6,52.0,21.1,,,,,,,,,193.8,,,True,False,,,,,True,,,,True,,True,False,,,True,True,True,True,True,,,,,,,,,False
01059,666,652.0,,,647.0,158.0,,,,,470.1,,,,886.0,,825.4,408.0,532.5,,755.0,694.3,729.0,806.0,513.2,,,,,492.8,,,,662.2,-14.0,,,-19.0,-508.0,,,,,-195.9,,,,220.0,,159.4,-258.0,-133.5,,89.0,28.3,63.0,140.0,-152.8,,,,,-173.2,,,,-3.8,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,,,,,False,,,,True
01061,484,372.0,,,364.0,292.0,,,,,248.1,,,,423.0,,327.2,194.6,,,340.0,400.6,381.4,497.0,417.3,,,,,,,,,370.9,-112.0,,,-120.0,-192.0,,,,,-235.9,,,,-61.0,,-156.8,-289.4,,,-144.0,-83.4,-102.6,13.0,-66.7,,,,,,,,,-113.1,,,False,False,,,,,False,,,,True,,False,False,,,False,True,True,True,True,,,,,,,,,False
01063,182,312.0,,,262.0,0.0,,,,,296.3,,,,137.0,,456.8,70.5,,,377.0,263.6,251.1,259.0,85.4,,,,,,,,,491.0,130.0,,,80.0,-182.0,,,,,114.3,,,,-45.0,,274.8,-111.5,,,195.0,81.6,69.1,77.0,-96.6,,,,,,,,,309.0,,,True,False,,,,,True,,,,True,,False,True,,,False,True,True,True,True,,,,,,,,,False
01065,539,392.0,,,348.0,43.0,,,,,281.1,,,,291.0,,387.3,151.7,,,388.0,373.4,353.6,405.0,300.5,,,,,,,,,390.9,-147.0,,,-191.0,-496.0,,,,,-257.9,,,,-248.0,,-151.7,-387.3,,,-151.0,-165.6,-185.4,-134.0,-238.5,,,,,,,,,-148.1,,,False,False,,,,,False,,,,False,,False,False,,,False,False,False,True,False,,,,,,,,,False
01067,440,252.0,,,261.0,17.0,,,,,353.2,,,,226.0,,412.0,122.3,,,320.0,292.2,275.7,346.0,297.0,,,,,,,,,257.3,-188.0,,,-179.0,-423.0,,,,,-86.8,,,,-214.0,,-28.0,-317.7,,,-120.0,-147.8,-164.3,-94.0,-143.0,,,,,,,,,-182.7,,,True,False,,,,,True,,,,False,,True,False,,,True,True,True,True,True,,,,,,,,,True
01069,2088,1496.0,,,1521.0,1551.0,,,,,1969.5,,,,1434.0,,1354.0,883.3,1405.0,,1580.0,1740.8,1906.0,2123.0,1924.4,,,,,1312.2,,,,1422.3,-592.0,,,-567.0,-537.0,,,,,-118.5,,,,-654.0,,-734.0,-1204.7,-683.0,,-508.0,-347.2,-182.0,35.0,-163.6,,,,,-775.8,,,,-665.7,,,True,True,,,,,True,,,,False,,False,False,False,,True,True,True,True,True,,,,,False,,,,False
01071,1261,1868.0,,,1781.0,819.0,,,,,1944.8,,,,1507.0,,3699.2,782.4,1678.0,,2320.0,1744.6,1952.4,1828.0,1801.1,,,,,1746.1,,,,2773.1,607.0,,,520.0,-442.0,,,,,683.8,,,,246.0,,2438.2,-478.6,417.0,,1059.0,483.6,691.4,567.0,540.1,,,,,485.1,,,,1512.1,,,True,True,,,,,False,,,,True,,False,True,True,,False,True,False,True,True,,,,,True,,,,False
01073,18162,16920.0,,17406.8,17523.0,22288.0,,,,,21623.5,,30241.0,,15571.0,,19829.2,8800.8,13316.5,,19635.5,18316.7,18977.2,17177.0,14090.3,,,,,12841.6,29322.0,,,19325.3,-1242.0,,-755.2,-639.0,4126.0,,,,,3461.5,,12079.0,,-2591.0,,1667.2,-9361.2,-4845.5,,1473.5,154.7,815.2,-985.0,-4071.7,,,,,-5320.4,11160.0,,,1163.3,,True,True,False,,,,,False,,False,,False,,False,False,False,,False,True,True,True,False,,,,,False,False,,,True
01075,291,388.0,,,368.0,261.0,,,,,340.2,,,,302.0,,383.8,128.8,,,486.0,377.6,379.4,365.0,331.1,,,,,,,,,523.4,97.0,,,77.0,-30.0,,,,,49.2,,,,11.0,,92.8,-162.2,,,195.0,86.6,88.4,74.0,40.1,,,,,,,,,232.4,,,True,True,,,,,True,,,,True,,True,False,,,False,True,True,True,True,,,,,,,,,False
01077,2153,1648.0,,,1644.0,1519.0,,,,,2507.6,,,,2267.0,,1389.2,1154.9,1682.5,,1784.5,1829.5,2084.3,2091.0,1419.0,,,,,919.7,,,,1792.4,-505.0,,,-509.0,-634.0,,,,,354.6,,,,114.0,,-763.8,-998.1,-470.5,,-368.5,-323.5,-68.7,-62.0,-734.0,,,,,-1233.3,,,,-360.6,,,False,False,,,,,True,,,,True,,False,False,True,,True,True,True,True,False,,,,,False,,,,True
01079,746,592.0,,,598.0,574.0,,,,,677.8,,,,927.0,,451.0,250.9,497.5,,590.0,675.3,695.0,740.0,642.8,,,,,,,,,927.1,-154.0,,,-148.0,-172.0,,,,,-68.2,,,,181.0,,-295.0,-495.1,-248.5,,-156.0,-70.7,-51.0,-6.0,-103.2,,,,,,,,,181.1,,,True,False,,,,,True,,,,False,,False,False,False,,False,True,True,True,True,,,,,,,,,False
01081,2823,2176.0,,,2612.0,4050.0,,,,,1187.7,,4082.2,,2025.0,,2149.6,1634.8,1670.5,,3665.0,2817.5,2677.0,3022.0,3543.8,,,,,1319.7,3117.0,,,2157.8,-647.0,,,-211.0,1227.0,,,,,-1635.3,,1259.2,,-798.0,,-673.4,-1188.2,-1152.5,,842.0,-5.5,-146.0,199.0,720.8,,,,,-1503.3,294.0,,,-665.2,,,True,False,,,,,False,,False,,False,,False,False,False,,False,True,True,True,False,,,,,False,True,,,False
01083,2304,2188.0,,,2125.0,2047.0,,,,,2748.8,,,,2094.0,,2301.3,1028.6,1674.5,,2589.0,2394.5,2635.5,2409.0,1901.4,,,,,1510.1,,,,2475.6,-116.0,,,-179.0,-257.0,,,,,444.8,,,,-210.0,,-2.7,-1275.4,-629.5,,285.0,90.5,331.5,105.0,-402.6,,,,,-793.9,,,,171.6,,,False,False,,,,,False,,,,False,,True,False,False,,False,True,False,True,False,,,,,False,,,,False
01085,191,92.0,,,97.0,0.0,,,,,89.6,,,,105.0,,103.1,60.1,,,75.0,113.7,134.9,169.0,113.9,,,,,,,,,100.4,-99.0,,,-94.0,-191.0,,,,,-101.4,,,,-86.0,,-87.9,-130.9,,,-116.0,-77.3,-56.1,-22.0,-77.1,,,,,,,,,-90.6,,,True,False,,,,,False,,,,True,,True,False,,,False,True,True,True,True,,,,,,,,,True
01087,244,240.0,,,225.0,271.0,,,,,279.3,,,,201.0,,151.9,103.6,,,207.0,243.9,248.8,333.0,273.3,,,,,,,,,271.9,-4.0,,,-19.0,27.0,,,,,35.3,,,,-43.0,,-92.1,-140.4,,,-37.0,-0.1,4.8,89.0,29.3,,,,,,,,,27.9,,,False,False,,,,,False,,,,False,,False,False,,,False,True,False,False,False,,,,,,,,,False
01089,8459,7624.0,,8932.1,8339.0,8123.0,,,,,13044.3,,14631.1,,7421.0,,11375.4,5319.3,5009.0,,9705.5,8907.5,8268.5,8113.0,7002.2,,,,,7769.5,7980.0,,,12325.1,-835.0,,473.1,-120.0,-336.0,,,,,4585.3,,6172.1,,-1038.0,,2916.4,-3139.7,-3450.0,,1246.5,448.5,-190.5,-346.0,-1456.8,,,,,-689.5,-479.0,,,3866.1,,True,True,True,,,,,False,,False,,False,,False,False,False,,False,True,True,True,False,,,,,True,True,,,False
01091,475,668.0,,,601.0,0.0,,,,,820.2,,,,387.0,,1026.5,184.4,,,954.0,596.1,568.4,568.0,1050.7,,,,,,,,,572.4,193.0,,,126.0,-475.0,,,,,345.2,,,,-88.0,,551.5,-290.6,,,479.0,121.1,93.4,93.0,575.7,,,,,,,,,97.4,,,True,False,,,,,False,,,,True,,False,False,,,False,True,True,True,False,,,,,,,,,True
01093,635,556.0,,,599.0,567.0,,,,,524.7,,,,702.0,,1181.9,288.3,388.0,,668.0,612.9,614.0,679.0,560.4,,,,,,,,,684.2,-79.0,,,-36.0,-68.0,,,,,-110.3,,,,67.0,,546.9,-346.7,-247.0,,33.0,-22.1,-21.0,44.0,-74.6,,,,,,,,,49.2,,,True,True,,,,,False,,,,True,,False,False,False,,True,True,True,True,True,,,,,,,,,True
01095,2083,2692.0,,,2680.0,2538.0,,,,,3183.2,,3935.6,,2657.0,,2938.6,1729.5,2041.0,,2998.5,2603.0,3016.6,2783.0,2063.9,,,,,1446.3,,,,3138.4,609.0,,,597.0,455.0,,,,,1100.2,,1852.6,,574.0,,855.6,-353.5,-42.0,,915.5,520.0,933.6,700.0,-19.1,,,,,-636.7,,,,1055.4,,,True,True,,,,,False,,False,,True,,False,True,True,,False,True,False,False,True,,,,,False,,,,False
01097,6232,5080.0,,7687.1,5708.0,7541.0,,,,,8724.9,,,,6293.0,,7069.4,3203.1,3413.0,,5348.0,6593.5,6643.3,7451.0,5556.0,,,,,3478.6,5031.0,,,5290.1,-1152.0,,1455.1,-524.0,1309.0,,,,,2492.9,,,,61.0,,837.4,-3028.9,-2819.0,,-884.0,361.5,411.3,1219.0,-676.0,,,,,-2753.4,-1201.0,,,-941.9,,False,True,False,,,,,False,,,,True,,True,False,False,,True,True,True,False,True,,,,,False,False,,,True
01099,457,264.0,,,271.0,397.0,,,,,339.3,,,,340.0,,299.6,133.8,,,107.0,244.2,287.3,452.0,236.0,,,,,,,,,202.9,-193.0,,,-186.0,-60.0,,,,,-117.7,,,,-117.0,,-157.4,-323.2,,,-350.0,-212.8,-169.7,-5.0,-221.0,,,,,,,,,-254.1,,,True,True,,,,,True,,,,True,,True,False,,,False,False,True,True,False,,,,,,,,,False
