,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,561,447.0,,,469.0,184.0,,,,,531.8,469.4,,,713.0,,282.4,273.1,522.5,,487.0,498.9,,532.0,642.0,514.0,,,,,278.0,,,,555.4,-114.0,,,-92.0,-377.0,,,,,-29.2,-91.6,,,152.0,,-278.6,-287.9,-38.5,,-74.0,-62.1,,-29.0,81.0,-47.0,,,,,-283.0,,,,-5.6,,,True,False,,,,,True,True,,,False,,False,False,True,,True,True,,True,True,True,,,,,False,,,,True
01023,28,60.0,,,52.0,35.0,,,,,78.6,66.4,,,227.0,,47.9,40.3,,,48.0,55.0,,102.0,136.0,52.2,,,,,,,,,45.0,32.0,,,24.0,7.0,,,,,50.6,38.4,,,199.0,,19.9,12.3,,,20.0,27.0,,74.0,108.0,24.2,,,,,,,,,17.0,,,True,True,,,,,False,False,,,False,,True,True,,,True,True,,False,False,True,,,,,,,,,True
01025,445,423.0,,,473.0,398.0,,,,,389.9,250.6,,,384.0,,9707.4,341.5,,,539.0,479.9,,1091.0,523.0,881.2,,,,,247.0,,,,794.6,-22.0,,,28.0,-47.0,,,,,-55.1,-194.4,,,-61.0,,9262.4,-103.5,,,94.0,34.9,,646.0,78.0,436.2,,,,,-198.0,,,,349.6,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,False,,,,,False,,,,False
01027,171,162.0,,,160.0,138.0,,,,,172.7,129.5,,,212.0,,43.5,79.3,,,134.0,172.6,,156.0,201.0,187.3,,,,,,,,,174.3,-9.0,,,-11.0,-33.0,,,,,1.7,-41.5,,,41.0,,-127.5,-91.7,,,-37.0,1.6,,-15.0,30.0,16.3,,,,,,,,,3.3,,,False,False,,,,,True,False,,,False,,False,False,,,False,True,,False,False,False,,,,,,,,,True
01029,174,195.0,,,189.0,17.0,,,,,162.1,106.4,,,256.0,,160.7,93.4,,,156.0,201.4,,250.0,226.0,212.4,,,,,,,,,215.6,21.0,,,15.0,-157.0,,,,,-11.9,-67.6,,,82.0,,-13.3,-80.6,,,-18.0,27.4,,76.0,52.0,38.4,,,,,,,,,41.6,,,True,False,,,,,True,False,,,False,,True,False,,,True,False,,False,False,False,,,,,,,,,False
01031,951,807.0,,,813.0,769.0,,,,,726.5,641.6,,,625.0,,822.9,421.2,835.5,,887.0,809.7,,1011.0,902.0,833.3,,,,,678.3,,,,848.8,-144.0,,,-138.0,-182.0,,,,,-224.5,-309.4,,,-326.0,,-128.1,-529.8,-115.5,,-64.0,-141.3,,60.0,-49.0,-117.7,,,,,-272.7,,,,-102.2,,,True,False,,,,,False,False,,,False,,True,False,True,,True,True,,True,True,True,,,,,False,,,,True
01033,964,852.0,,,814.0,617.0,,,,,776.9,753.5,,,1066.0,,647.5,471.5,990.0,,801.0,805.8,,1046.0,943.0,925.4,,,,,821.1,,,,976.4,-112.0,,,-150.0,-347.0,,,,,-187.1,-210.5,,,102.0,,-316.5,-492.5,26.0,,-163.0,-158.2,,82.0,-21.0,-38.6,,,,,-142.9,,,,12.4,,,False,False,,,,,False,False,,,True,,False,False,True,,False,False,,True,True,True,,,,,False,,,,True
01035,102,87.0,,,130.0,149.0,,,,,129.5,94.2,,,158.0,,20.2,78.6,,,127.0,102.5,,122.0,150.0,149.3,,,,,,,,,78.2,-15.0,,,28.0,47.0,,,,,27.5,-7.8,,,56.0,,-81.8,-23.4,,,25.0,0.5,,20.0,48.0,47.3,,,,,,,,,-23.8,,,False,False,,,,,False,True,,,False,,False,False,,,False,True,,False,False,False,,,,,,,,,False
01037,124,72.0,,,73.0,72.0,,,,,70.2,72.3,,,126.0,,30.3,91.7,,,22.0,70.8,,104.0,111.0,127.6,,,,,,,,,83.2,-52.0,,,-51.0,-52.0,,,,,-53.8,-51.7,,,2.0,,-93.7,-32.3,,,-102.0,-53.2,,-20.0,-13.0,3.6,,,,,,,,,-40.8,,,True,False,,,,,False,True,,,True,,False,True,,,False,False,,True,True,True,,,,,,,,,True
01039,449,546.0,,,505.0,183.0,,,,,459.4,311.4,,,497.0,,404.2,330.1,537.0,,502.0,500.0,,704.0,638.0,547.1,,,,,378.0,,,,572.3,97.0,,,56.0,-266.0,,,,,10.4,-137.6,,,48.0,,-44.8,-118.9,88.0,,53.0,51.0,,255.0,189.0,98.1,,,,,-71.0,,,,123.3,,,True,False,,,,,True,False,,,True,,True,False,True,,True,True,,False,False,False,,,,,True,,,,False
01041,290,174.0,,,178.0,98.0,,,,,167.1,148.1,,,164.0,,220.4,93.2,,,233.0,188.6,,195.0,219.0,119.3,,,,,,,,,197.2,-116.0,,,-112.0,-192.0,,,,,-122.9,-141.9,,,-126.0,,-69.6,-196.8,,,-57.0,-101.4,,-95.0,-71.0,-170.7,,,,,,,,,-92.8,,,True,False,,,,,False,False,,,False,,True,False,,,True,True,,True,True,False,,,,,,,,,True
01043,1425,1824.0,,,1641.0,1473.0,,,,,1155.4,1529.5,,,1799.0,,1050.4,1182.8,2083.5,,1633.0,1609.4,,2128.0,1720.0,1662.3,,,,,1547.3,,,,2652.7,399.0,,,216.0,48.0,,,,,-269.6,104.5,,,374.0,,-374.6,-242.2,658.5,,208.0,184.4,,703.0,295.0,237.3,,,,,122.3,,,,1227.7,,,True,True,,,,,True,True,,,True,,True,True,False,,True,True,,False,True,True,,,,,True,,,,False
01045,697,726.0,,,738.0,698.0,,,,,596.2,703.0,,,641.0,,1007.3,472.1,739.5,,964.0,775.8,,1086.0,786.0,627.0,,,,,473.4,,,,918.2,29.0,,,41.0,1.0,,,,,-100.8,6.0,,,-56.0,,310.3,-224.9,42.5,,267.0,78.8,,389.0,89.0,-70.0,,,,,-223.6,,,,221.2,,,False,True,,,,,False,True,,,False,,False,False,False,,False,False,,False,False,False,,,,,False,,,,False
01047,327,321.0,,,327.0,179.0,,,,,399.9,339.1,,,488.0,,159.9,269.2,332.0,,208.0,346.2,,403.0,429.0,386.4,,,,,307.7,,,,372.6,-6.0,,,0.0,-148.0,,,,,72.9,12.1,,,161.0,,-167.1,-57.8,5.0,,-119.0,19.2,,76.0,102.0,59.4,,,,,-19.3,,,,45.6,,,True,False,,,,,False,False,,,False,,False,False,True,,False,False,,False,False,False,,,,,False,,,,False
01049,992,1725.0,,,1593.0,1523.0,,,,,1180.4,1173.4,,,1683.0,,1298.7,1043.7,1643.0,,1547.5,1641.8,,2059.0,1626.0,1499.3,,,,,1597.6,,,,2175.4,733.0,,,601.0,531.0,,,,,188.4,181.4,,,691.0,,306.7,51.7,651.0,,555.5,649.8,,1067.0,634.0,507.3,,,,,605.6,,,,1183.4,,,True,True,,,,,True,True,,,True,,True,True,True,,True,True,,False,True,True,,,,,True,,,,False
01051,1862,1689.0,,,1551.0,1476.0,,,,,1372.4,1894.4,,,967.0,,1324.5,1026.5,1605.0,,2192.5,1852.3,,2236.0,1701.0,1454.9,,,,,1493.8,,,,1560.2,-173.0,,,-311.0,-386.0,,,,,-489.6,32.4,,,-895.0,,-537.5,-835.5,-257.0,,330.5,-9.7,,374.0,-161.0,-407.1,,,,,-368.2,,,,-301.8,,,False,False,,,,,False,True,,,False,,False,False,False,,False,True,,False,True,False,,,,,False,,,,False
01053,574,363.0,,,399.0,39.0,,,,,382.4,306.9,,,542.0,,223.5,316.8,402.0,,528.0,393.5,,605.0,470.0,468.9,,,,,295.4,,,,289.3,-211.0,,,-175.0,-535.0,,,,,-191.6,-267.1,,,-32.0,,-350.5,-257.2,-172.0,,-46.0,-180.5,,31.0,-104.0,-105.1,,,,,-278.6,,,,-284.7,,,True,False,,,,,True,False,,,True,,False,False,True,,True,True,,True,True,True,,,,,False,,,,False
01055,2235,2712.0,,,2318.0,2269.0,,,,,1996.4,2255.4,,,2035.0,,1101.9,1579.8,2603.0,,2415.0,2720.8,,3202.0,2492.0,2128.9,,,,,1977.1,,,,3218.1,477.0,,,83.0,34.0,,,,,-238.6,20.4,,,-200.0,,-1133.1,-655.2,368.0,,180.0,485.8,,967.0,257.0,-106.1,,,,,-257.9,,,,983.1,,,True,True,,,,,True,True,,,True,,False,False,True,,True,False,,False,True,True,,,,,True,,,,False
01057,267,402.0,,,327.0,216.0,,,,,278.7,275.0,,,293.0,,170.9,215.8,,,392.0,347.2,,489.0,360.0,313.4,,,,,,,,,522.1,135.0,,,60.0,-51.0,,,,,11.7,8.0,,,26.0,,-96.1,-51.2,,,125.0,80.2,,222.0,93.0,46.4,,,,,,,,,255.1,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,False,True,True,,,,,,,,,False
01059,503,489.0,,,476.0,143.0,,,,,529.1,387.1,,,748.0,,274.6,268.4,520.5,,447.0,468.5,,570.0,591.0,553.4,,,,,292.6,,,,474.9,-14.0,,,-27.0,-360.0,,,,,26.1,-115.9,,,245.0,,-228.4,-234.6,17.5,,-56.0,-34.5,,67.0,88.0,50.4,,,,,-210.4,,,,-28.1,,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,False,False,,,,,False,,,,False
01061,399,255.0,,,254.0,203.0,,,,,268.4,212.9,,,373.0,,170.4,178.9,,,244.0,267.8,,308.0,357.0,292.0,,,,,,,,,227.8,-144.0,,,-145.0,-196.0,,,,,-130.6,-186.1,,,-26.0,,-228.6,-220.1,,,-155.0,-131.2,,-91.0,-42.0,-107.0,,,,,,,,,-171.2,,,False,False,,,,,True,False,,,True,,False,False,,,False,True,,True,True,True,,,,,,,,,False
01063,143,117.0,,,118.0,0.0,,,,,118.0,123.3,,,106.0,,172.2,88.7,,,119.0,142.9,,242.0,130.0,83.7,,,,,,,,,115.0,-26.0,,,-25.0,-143.0,,,,,-25.0,-19.7,,,-37.0,,29.2,-54.3,,,-24.0,-0.1,,99.0,-13.0,-59.3,,,,,,,,,-28.0,,,True,False,,,,,True,True,,,False,,False,False,,,True,True,,False,True,False,,,,,,,,,False
01065,401,414.0,,,385.0,96.0,,,,,280.0,267.1,,,224.0,,517.8,170.4,,,527.0,372.6,,542.0,320.0,535.6,,,,,,,,,412.3,13.0,,,-16.0,-305.0,,,,,-121.0,-133.9,,,-177.0,,116.8,-230.6,,,126.0,-28.4,,141.0,-81.0,134.6,,,,,,,,,11.3,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,False,,,,,,,,,True
01067,343,291.0,,,263.0,8.0,,,,,224.5,254.1,,,208.0,,256.4,139.4,,,499.0,269.8,,427.0,300.0,212.7,,,,,,,,,235.7,-52.0,,,-80.0,-335.0,,,,,-118.5,-88.9,,,-135.0,,-86.6,-203.6,,,156.0,-73.2,,84.0,-43.0,-130.3,,,,,,,,,-107.3,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,True,False,,,,,,,,,False
01069,1585,1509.0,,,1476.0,1472.0,,,,,1188.8,1455.7,,,1194.0,,891.4,799.2,1466.5,,1456.0,1521.0,,1974.0,1689.0,1534.1,,,,,1081.6,,,,1108.7,-76.0,,,-109.0,-113.0,,,,,-396.2,-129.3,,,-391.0,,-693.6,-785.8,-118.5,,-129.0,-64.0,,389.0,104.0,-50.9,,,,,-503.4,,,,-476.3,,,False,False,,,,,False,False,,,False,,False,False,False,,False,True,,False,False,True,,,,,False,,,,False
01071,926,1005.0,,,981.0,557.0,,,,,905.3,658.8,,,1206.0,,388.1,667.2,1494.5,,698.0,871.5,,1242.0,1003.0,1142.7,,,,,1264.7,,,,1452.5,79.0,,,55.0,-369.0,,,,,-20.7,-267.2,,,280.0,,-537.9,-258.8,568.5,,-228.0,-54.5,,316.0,77.0,216.7,,,,,338.7,,,,526.5,,,True,False,,,,,True,False,,,False,,False,False,False,,False,True,,False,True,False,,,,,False,,,,False
01073,13302,14580.0,,12933.1,14320.0,13955.0,,,,,10952.4,21625.7,,19922.2,10958.0,,12471.6,7483.8,16053.0,,16594.5,14268.3,,17635.0,13034.0,10618.0,,,,,14305.6,17076.0,,,12480.2,1278.0,,-368.9,1018.0,653.0,,,,,-2349.6,8323.7,,6620.2,-2344.0,,-830.4,-5818.2,2751.0,,3292.5,966.3,,4333.0,-268.0,-2684.0,,,,,1003.6,3774.0,,,-821.8,,True,True,True,,,,,False,False,,False,False,,True,False,False,,False,True,,False,True,False,,,,,True,False,,,True
01075,191,300.0,,,256.0,193.0,,,,,242.2,208.4,,,218.0,,379.1,153.0,,,285.0,239.3,,426.0,279.0,245.3,,,,,,,,,419.7,109.0,,,65.0,2.0,,,,,51.2,17.4,,,27.0,,188.1,-38.0,,,94.0,48.3,,235.0,88.0,54.3,,,,,,,,,228.7,,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,False,True,True,,,,,,,,,False
01077,1627,1578.0,,,1416.0,1343.0,,,,,1177.2,1633.9,,,1838.0,,803.1,965.5,1501.5,,1318.0,1507.1,,1794.0,1635.0,1391.0,,,,,1113.3,,,,1441.7,-49.0,,,-211.0,-284.0,,,,,-449.8,6.9,,,211.0,,-823.9,-661.5,-125.5,,-309.0,-119.9,,167.0,8.0,-236.0,,,,,-513.7,,,,-185.3,,,False,False,,,,,False,True,,,False,,False,False,False,,False,False,,False,True,False,,,,,False,,,,False
01079,576,510.0,,,507.0,453.0,,,,,460.2,536.1,,,763.0,,466.5,291.0,511.0,,500.0,544.2,,620.0,551.0,461.4,,,,,,,,,575.4,-66.0,,,-69.0,-123.0,,,,,-115.8,-39.9,,,187.0,,-109.5,-285.0,-65.0,,-76.0,-31.8,,44.0,-25.0,-114.6,,,,,,,,,-0.6,,,False,False,,,,,False,True,,,False,,False,False,True,,False,True,,True,True,False,,,,,,,,,True
01081,2215,1824.0,,,1966.0,2073.0,,,,,1717.1,2167.5,,2867.7,1669.0,,2499.2,1270.8,1798.0,,2248.5,2054.8,,2547.0,2166.0,2250.6,,,,,1094.1,1709.0,,,2355.8,-391.0,,,-249.0,-142.0,,,,,-497.9,-47.5,,652.7,-546.0,,284.2,-944.2,-417.0,,33.5,-160.2,,332.0,-49.0,35.6,,,,,-1120.9,-506.0,,,140.8,,,True,True,,,,,False,True,,False,False,,True,False,False,,True,True,,True,True,True,,,,,False,False,,,True
01083,1625,2037.0,,,1879.0,1869.0,,,,,1453.9,2204.0,,,1732.0,,1745.8,1227.2,1986.5,,2271.5,2052.7,,2571.0,1960.0,1453.7,,,,,1635.6,,,,2141.1,412.0,,,254.0,244.0,,,,,-171.1,579.0,,,107.0,,120.8,-397.8,361.5,,646.5,427.7,,946.0,335.0,-171.3,,,,,10.6,,,,516.1,,,True,True,,,,,True,False,,,True,,True,True,True,,False,False,,False,True,True,,,,,True,,,,False
01085,153,114.0,,,95.0,0.0,,,,,151.9,76.8,,,86.0,,49.0,74.6,,,101.0,104.1,,128.0,150.0,93.4,,,,,,,,,111.3,-39.0,,,-58.0,-153.0,,,,,-1.1,-76.2,,,-67.0,,-104.0,-78.4,,,-52.0,-48.9,,-25.0,-3.0,-59.6,,,,,,,,,-41.7,,,False,False,,,,,True,False,,,False,,False,False,,,False,False,,True,True,False,,,,,,,,,False
01087,185,177.0,,,173.0,190.0,,,,,156.2,151.4,,,169.0,,148.9,123.1,,,146.0,180.5,,225.0,227.0,179.4,,,,,,,,,211.4,-8.0,,,-12.0,5.0,,,,,-28.8,-33.6,,,-16.0,,-36.1,-61.9,,,-39.0,-4.5,,40.0,42.0,-5.6,,,,,,,,,26.4,,,False,True,,,,,False,False,,,False,,False,False,,,False,True,,False,False,True,,,,,,,,,False
01089,6157,6906.0,,6286.2,6709.0,8321.0,,,,,4929.0,10542.7,,9520.7,5636.0,,5274.9,4446.7,7608.0,,8485.5,7122.1,,9202.0,6309.0,5562.8,,,,,5513.0,7891.0,,,11084.2,749.0,,129.2,552.0,2164.0,,,,,-1228.0,4385.7,,3363.7,-521.0,,-882.1,-1710.3,1451.0,,2328.5,965.1,,3045.0,152.0,-594.2,,,,,-644.0,1734.0,,,4927.2,,True,True,False,,,,,False,False,,False,True,,False,False,False,,False,False,,False,True,True,,,,,True,False,,,False
01091,338,411.0,,,381.0,0.0,,,,,360.0,229.8,,,323.0,,1846.4,217.5,,,380.5,379.1,,673.0,394.0,361.7,,,,,,,,,436.8,73.0,,,43.0,-338.0,,,,,22.0,-108.2,,,-15.0,,1508.4,-120.5,,,42.5,41.1,,335.0,56.0,23.7,,,,,,,,,98.8,,,True,False,,,,,True,False,,,True,,False,False,,,True,True,,False,True,True,,,,,,,,,False
01093,463,516.0,,,506.0,477.0,,,,,469.8,403.8,,,537.0,,326.8,239.3,492.0,,581.0,516.1,,659.0,525.0,445.7,,,,,,,,,567.4,53.0,,,43.0,14.0,,,,,6.8,-59.2,,,74.0,,-136.2,-223.7,29.0,,118.0,53.1,,196.0,62.0,-17.3,,,,,,,,,104.4,,,True,True,,,,,True,False,,,False,,False,False,True,,False,False,,False,False,True,,,,,,,,,False
01095,1495,1764.0,,,1587.0,1342.0,,,,,1447.3,1643.3,,1568.1,2039.0,,693.4,1165.6,1944.5,,1878.0,1569.9,,2169.0,1783.0,1305.4,,,,,1025.1,,,,1905.3,269.0,,,92.0,-153.0,,,,,-47.7,148.3,,73.1,544.0,,-801.6,-329.4,449.5,,383.0,74.9,,674.0,288.0,-189.6,,,,,-469.9,,,,410.3,,,True,True,,,,,True,True,,True,False,,False,False,False,,False,True,,False,False,True,,,,,False,,,,False
