,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01023,9,6.0,,5.8,,8.0,9.0,,,,,23.2,,8.0,,,58.0,3.4,13.3,,,7.0,5.4,,,4.0,28.0,17.2,,,,,,25.0,,,,8.9,19.0,-3.0,,-3.2,,-1.0,0.0,,,,,14.2,,-1.0,,,49.0,-5.6,4.3,,,-2.0,-3.6,,,-5.0,19.0,8.2,,,,,,16.0,,,,-0.1,10.0,,False,,True,True,,,,,False,,True,,,False,False,False,,,True,False,,,False,False,False,,,,,,False,,,,True,False
01025,181,155.0,,183.8,,135.0,107.0,,,,,134.0,,73.0,,,99.0,156.4,89.0,,,164.0,136.3,,,162.0,142.0,148.0,,,,,137.1,161.1,,,,77.0,147.0,-26.0,,2.8,,-46.0,-74.0,,,,,-47.0,,-108.0,,,-82.0,-24.6,-92.0,,,-17.0,-44.7,,,-19.0,-39.0,-33.0,,,,,-43.9,-19.9,,,,-104.0,-34.0,,True,,False,False,,,,,False,,False,,,False,True,False,,,True,False,,,True,False,False,,,,,False,True,,,,False,False
01027,65,55.0,,55.1,,55.0,56.0,,,,,56.6,,34.8,,,58.0,40.2,27.9,,,40.0,50.2,,,53.0,62.0,50.8,,,,,,63.5,,,,140.9,43.0,-10.0,,-9.9,,-10.0,-9.0,,,,,-8.4,,-30.2,,,-7.0,-24.8,-37.1,,,-25.0,-14.8,,,-12.0,-3.0,-14.2,,,,,,-1.5,,,,75.9,-22.0,,True,,False,True,,,,,True,,False,,,True,False,False,,,False,False,,,False,True,False,,,,,,True,,,,False,False
01029,71,53.0,,51.2,,51.0,37.0,,,,,51.7,,52.3,,,71.0,32.9,33.5,,,36.0,49.2,,,54.0,63.0,61.2,,,,,,64.6,,,,66.1,47.0,-18.0,,-19.8,,-20.0,-34.0,,,,,-19.3,,-18.7,,,0.0,-38.1,-37.5,,,-35.0,-21.8,,,-17.0,-8.0,-9.8,,,,,,-6.4,,,,-4.9,-24.0,,False,,False,False,,,,,False,,False,,,True,False,False,,,False,False,,,True,True,True,,,,,,True,,,,True,False
01031,428,284.0,,286.3,,249.0,233.0,,,,,205.3,,165.2,,,212.0,265.8,162.2,219.0,,280.0,289.5,,,279.0,293.0,233.4,,,,,267.5,283.5,,,,299.3,227.0,-144.0,,-141.7,,-179.0,-195.0,,,,,-222.7,,-262.8,,,-216.0,-162.2,-265.8,-209.0,,-148.0,-138.5,,,-149.0,-135.0,-194.6,,,,,-160.5,-144.5,,,,-128.7,-201.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,True,,,False,True,False,,,,,False,False,,,,True,False
01033,324,329.0,,338.8,,313.0,308.0,,,,,253.9,,190.6,,,286.0,304.5,185.1,279.0,,326.0,314.1,,,339.0,340.0,303.4,,,,,275.6,291.2,,,,434.9,254.0,5.0,,14.8,,-11.0,-16.0,,,,,-70.1,,-133.4,,,-38.0,-19.5,-138.9,-45.0,,2.0,-9.9,,,15.0,16.0,-20.6,,,,,-48.4,-32.8,,,,110.9,-70.0,,False,,False,False,,,,,False,,False,,,False,False,False,False,,True,False,,,False,False,False,,,,,False,False,,,,False,False
01035,40,39.0,,41.3,,30.0,23.0,,,,,38.9,,127.9,,,41.0,23.1,20.9,,,10.0,26.7,0.0,,37.0,43.0,30.1,,,,,,57.9,,,,34.1,25.0,-1.0,,1.3,,-10.0,-17.0,,,,,-1.1,,87.9,,,1.0,-16.9,-19.1,,,-30.0,-13.3,-40.0,,-3.0,3.0,-9.9,,,,,,17.9,,,,-5.9,-15.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
01037,55,46.0,,45.5,,32.0,31.0,,,,,23.9,,27.1,,,32.0,53.6,20.9,,,55.0,33.6,1.1,,42.0,45.0,29.9,,,,,,51.6,,,,30.8,28.0,-9.0,,-9.5,,-23.0,-24.0,,,,,-31.1,,-27.9,,,-23.0,-1.4,-34.1,,,0.0,-21.4,-53.9,,-13.0,-10.0,-25.1,,,,,,-3.4,,,,-24.2,-27.0,,False,,False,False,,,,,False,,False,,,False,True,False,,,True,False,False,,False,False,False,,,,,,True,,,,False,False
01039,197,156.0,,172.4,,134.0,134.0,,,,,147.5,,81.3,,,160.0,116.6,91.0,117.5,,78.0,121.7,41.5,,134.0,167.0,158.6,,,,,162.7,148.4,,,,176.7,135.0,-41.0,,-24.6,,-63.0,-63.0,,,,,-49.5,,-115.7,,,-37.0,-80.4,-106.0,-79.5,,-119.0,-75.3,-155.5,,-63.0,-30.0,-38.4,,,,,-34.3,-48.6,,,,-20.3,-62.0,,True,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,False,,False,True,True,,,,,True,False,,,,True,False
01041,156,64.0,,66.8,,58.0,70.0,,,,,58.1,,13.1,,,49.0,57.6,36.3,,,40.0,57.1,9.6,,71.0,72.0,36.6,,,,,,73.3,,,,83.0,57.0,-92.0,,-89.2,,-98.0,-86.0,,,,,-97.9,,-142.9,,,-107.0,-98.4,-119.7,,,-116.0,-98.9,-146.4,,-85.0,-84.0,-119.4,,,,,,-82.7,,,,-73.0,-99.0,,True,,False,True,,,,,False,,False,,,False,False,False,,,False,False,False,,True,True,False,,,,,,True,,,,True,False
01043,424,517.0,,540.3,,440.0,440.0,,,,,381.0,,249.9,,,470.0,360.2,282.7,360.0,,272.0,456.1,152.3,,518.0,503.0,491.0,,,,,491.8,441.7,,,,574.0,352.0,93.0,,116.3,,16.0,16.0,,,,,-43.0,,-174.1,,,46.0,-63.8,-141.3,-64.0,,-152.0,32.1,-271.7,,94.0,79.0,67.0,,,,,67.8,17.7,,,,150.0,-72.0,,False,,True,True,,,,,True,,False,,,True,True,False,True,,False,True,False,,False,True,True,,,,,True,True,,,,False,True
01045,283,242.0,,247.6,,205.0,240.0,,,,,189.3,,142.9,,,206.0,198.7,149.3,165.0,,224.0,205.0,70.5,,240.0,254.0,173.3,,,,,213.3,214.5,,,,303.8,171.0,-41.0,,-35.4,,-78.0,-43.0,,,,,-93.7,,-140.1,,,-77.0,-84.3,-133.7,-118.0,,-59.0,-78.0,-212.5,,-43.0,-29.0,-109.7,,,,,-69.7,-68.5,,,,20.8,-112.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,False,True,False,,,,,False,False,,,,True,False
01047,89,142.0,,142.9,,134.0,140.0,,,,,133.6,,0.0,,,134.0,130.7,95.3,79.5,,96.0,117.4,18.8,,133.0,165.0,147.3,,,,,124.0,161.4,,,,168.6,123.0,53.0,,53.9,,45.0,51.0,,,,,44.6,,-89.0,,,45.0,41.7,6.3,-9.5,,7.0,28.4,-70.2,,44.0,76.0,58.3,,,,,35.0,72.4,,,,79.6,34.0,,False,,True,True,,,,,True,,False,,,True,True,True,True,,True,True,False,,True,False,False,,,,,True,False,,,,False,True
01049,348,294.0,,288.4,,248.0,161.0,,,,,331.9,,146.9,,,427.0,159.1,199.3,260.5,,122.0,255.7,0.0,,301.0,311.0,192.3,,,,,248.0,214.5,,,,333.3,301.0,-54.0,,-59.6,,-100.0,-187.0,,,,,-16.1,,-201.1,,,79.0,-188.9,-148.7,-87.5,,-226.0,-92.3,-348.0,,-47.0,-37.0,-155.7,,,,,-100.0,-133.5,,,,-14.7,-47.0,,False,,False,False,,,,,True,,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,True,True
01051,709,684.0,,686.1,,574.0,655.0,,,,,435.0,,372.3,,,325.0,628.8,350.4,414.0,,574.0,586.7,97.0,,668.0,580.0,409.7,,,,,649.3,643.5,,,,938.8,546.0,-25.0,,-22.9,,-135.0,-54.0,,,,,-274.0,,-336.7,,,-384.0,-80.2,-358.6,-295.0,,-135.0,-122.3,-612.0,,-41.0,-129.0,-299.3,,,,,-59.7,-65.5,,,,229.8,-163.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,False,False,False,,,,,False,False,,,,False,False
01053,240,194.0,,190.7,,158.0,125.0,,,,,159.2,,141.3,,,161.0,178.0,114.1,140.5,,118.0,157.7,21.9,,202.0,197.0,147.3,,,,,166.9,170.1,,,,194.5,168.0,-46.0,,-49.3,,-82.0,-115.0,,,,,-80.8,,-98.7,,,-79.0,-62.0,-125.9,-99.5,,-122.0,-82.3,-218.1,,-38.0,-43.0,-92.7,,,,,-73.1,-69.9,,,,-45.5,-72.0,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,True,False
01055,793,646.0,,682.7,,499.0,490.0,,,,,623.3,,792.7,,,560.0,427.8,434.8,334.0,,499.0,636.4,0.0,,697.0,691.0,482.0,,,,,594.7,640.1,,,,1100.2,603.0,-147.0,,-110.3,,-294.0,-303.0,,,,,-169.7,,-0.3,,,-233.0,-365.2,-358.2,-459.0,,-294.0,-156.6,-793.0,,-96.0,-102.0,-311.0,,,,,-198.3,-152.9,,,,307.2,-190.0,,True,,False,False,,,,,False,,True,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,False,False
01057,105,75.0,,78.0,,70.0,54.0,,,,,74.7,,80.4,,,88.0,50.0,57.0,,,49.0,67.0,0.0,,82.0,84.0,83.1,,,,,,74.9,,,,69.8,74.0,-30.0,,-27.0,,-35.0,-51.0,,,,,-30.3,,-24.6,,,-17.0,-55.0,-48.0,,,-56.0,-38.0,-105.0,,-23.0,-21.0,-21.9,,,,,,-30.1,,,,-35.2,-31.0,,True,,False,False,,,,,False,,True,,,True,False,False,,,False,False,False,,True,True,True,,,,,,False,,,,False,False
01059,197,182.0,,183.5,,149.0,149.0,,,,,164.9,,97.5,,,215.0,178.9,98.1,143.0,,146.0,159.5,20.7,,174.0,179.0,144.2,,,,,159.7,174.9,,,,137.1,133.0,-15.0,,-13.5,,-48.0,-48.0,,,,,-32.1,,-99.5,,,18.0,-18.1,-98.9,-54.0,,-51.0,-37.5,-176.3,,-23.0,-18.0,-52.8,,,,,-37.3,-22.1,,,,-59.9,-64.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,False,False,False,,,,,False,False,,,,False,False
01061,162,135.0,,133.0,,123.0,150.0,,,,,88.0,,138.2,,,119.0,141.6,65.2,,,126.0,123.2,25.3,,137.0,137.0,88.0,,,,,,125.9,,,,109.4,99.0,-27.0,,-29.0,,-39.0,-12.0,,,,,-74.0,,-23.8,,,-43.0,-20.4,-96.8,,,-36.0,-38.8,-136.7,,-25.0,-25.0,-74.0,,,,,,-36.1,,,,-52.6,-63.0,,False,,False,True,,,,,False,,True,,,False,True,False,,,False,False,False,,True,True,False,,,,,,False,,,,False,False
01063,44,57.0,,58.3,,42.0,59.0,,,,,42.0,,24.6,,,28.0,65.2,32.4,,,33.0,41.7,2.9,,64.0,52.0,25.1,,,,,,54.6,,,,50.9,28.0,13.0,,14.3,,-2.0,15.0,,,,,-2.0,,-19.4,,,-16.0,21.2,-11.6,,,-11.0,-2.3,-41.1,,20.0,8.0,-18.9,,,,,,10.6,,,,6.9,-16.0,,False,,True,False,,,,,True,,False,,,False,False,True,,,True,True,False,,False,True,False,,,,,,True,,,,True,False
01065,164,119.0,,123.2,,99.0,118.0,,,,,88.6,,106.8,,,66.0,79.2,73.9,,,106.0,99.2,15.6,,131.0,106.0,67.6,,,,,,102.2,,,,183.8,97.0,-45.0,,-40.8,,-65.0,-46.0,,,,,-75.4,,-57.2,,,-98.0,-84.8,-90.1,,,-58.0,-64.8,-148.4,,-33.0,-58.0,-96.4,,,,,,-61.8,,,,19.8,-67.0,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,True,False,False,,,,,,False,,,,True,False
01067,140,124.0,,126.3,,106.0,103.0,,,,,79.5,,64.5,,,60.0,119.4,52.3,,,132.0,106.3,20.9,,131.0,112.0,90.7,,,,,,105.1,,,,178.9,85.0,-16.0,,-13.7,,-34.0,-37.0,,,,,-60.5,,-75.5,,,-80.0,-20.6,-87.7,,,-8.0,-33.7,-119.1,,-9.0,-28.0,-49.3,,,,,,-34.9,,,,38.9,-55.0,,True,,False,False,,,,,False,,False,,,False,False,False,,,True,False,False,,True,False,False,,,,,,False,,,,False,False
01069,658,583.0,,597.9,,519.0,603.0,,,,,407.6,,366.0,,,393.0,599.9,272.4,431.0,,641.0,531.5,132.1,,561.0,589.0,516.5,,,,,521.0,394.1,,,,480.4,433.0,-75.0,,-60.1,,-139.0,-55.0,,,,,-250.4,,-292.0,,,-265.0,-58.1,-385.6,-227.0,,-17.0,-126.5,-525.9,,-97.0,-69.0,-141.5,,,,,-137.0,-263.9,,,,-177.6,-225.0,,True,,False,True,,,,,False,,False,,,False,True,False,False,,True,False,False,,False,True,False,,,,,False,False,,,,False,False
01071,350,333.0,,305.8,,295.0,298.0,,,,,253.7,,151.9,,,282.0,294.9,168.3,138.5,,445.0,296.5,0.0,,303.0,318.0,266.0,,,,,297.9,242.8,,,,318.2,236.0,-17.0,,-44.2,,-55.0,-52.0,,,,,-96.3,,-198.1,,,-68.0,-55.1,-181.7,-211.5,,95.0,-53.5,-350.0,,-47.0,-32.0,-84.0,,,,,-52.1,-107.2,,,,-31.8,-114.0,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,False,False,False,,,,,False,False,,,,False,False
01073,4773,4343.0,,4321.9,5046.1,3702.0,4401.0,,,,,3337.2,,3055.9,,4057.4,3493.0,3893.9,2807.0,3338.5,,3494.5,4137.8,1649.4,,4063.0,4266.0,3867.2,,,,,3465.6,3537.8,3318.0,,,3543.3,3592.0,-430.0,,-451.1,273.1,-1071.0,-372.0,,,,,-1435.8,,-1717.1,,-715.6,-1280.0,-879.1,-1966.0,-1434.5,,-1278.5,-635.2,-3123.6,,-710.0,-507.0,-905.8,,,,,-1307.4,-1235.2,-1455.0,,,-1229.7,-1181.0,,False,True,False,True,,,,,False,,False,,False,False,False,False,False,,False,False,False,,False,False,False,,,,,False,False,False,,,False,False
01075,63,60.0,,60.0,,59.0,41.0,,,,,59.1,,21.1,,,66.0,38.9,42.3,,,41.0,50.1,0.0,,63.0,67.0,64.8,,,,,,70.1,,,,90.1,61.0,-3.0,,-3.0,,-4.0,-22.0,,,,,-3.9,,-41.9,,,3.0,-24.1,-20.7,,,-22.0,-12.9,-63.0,,0.0,4.0,1.8,,,,,,7.1,,,,27.1,-2.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,True,False,True,,,,,,False,,,,False,True
01077,536,574.0,,576.9,,517.0,495.0,,,,,388.8,,375.2,,,477.0,527.4,287.2,536.0,,605.0,517.0,205.0,,585.0,594.0,472.3,,,,,549.9,542.6,,,,859.2,452.0,38.0,,40.9,,-19.0,-41.0,,,,,-147.2,,-160.8,,,-59.0,-8.6,-248.8,0.0,,69.0,-19.0,-331.0,,49.0,58.0,-63.7,,,,,13.9,6.6,,,,323.2,-84.0,,False,,True,False,,,,,False,,False,,,False,True,False,True,,False,True,False,,False,False,False,,,,,True,True,,,,False,False
01079,213,178.0,,178.4,,164.0,147.0,,,,,130.5,,105.9,,,179.0,134.5,114.6,142.0,,171.0,171.9,16.3,,191.0,185.0,156.7,,,,,,185.3,,,,263.5,154.0,-35.0,,-34.6,,-49.0,-66.0,,,,,-82.5,,-107.1,,,-34.0,-78.5,-98.4,-71.0,,-42.0,-41.1,-196.7,,-22.0,-28.0,-56.3,,,,,,-27.7,,,,50.5,-59.0,,True,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,False,,True,True,False,,,,,,True,,,,False,False
