,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,63730,56334.0,52804.7,56754.2,56728.0,56073.0,,53574.2,42534.0,47935.2,62149.1,52144.7,,60839.7,57824.0,55885.1,58764.0,32605.7,38614.5,73783.6,59148.5,59354.4,59167.9,62011.0,62545.0,,58274.2,43724.9,,56701.1,67377.8,52241.7,46471.6,54087.0,84980.7,,-7396.0,-10925.3,-6975.8,-7002.0,-7657.0,,-10155.8,-21196.0,-15794.8,-1580.9,-11585.3,,-2890.3,-5906.0,-7844.9,-4966.0,-31124.3,-25115.5,10053.6,-4581.5,-4375.6,-4562.1,-1719.0,-1185.0,,-5455.8,-20005.1,,-7028.9,3647.8,-11488.3,-17258.4,-9643.0,21250.7,,False,True,True,False,,False,False,False,True,False,,True,True,False,True,False,False,False,True,True,True,True,True,,True,False,,True,True,False,False,False,False,
Hawaii,1227,925.0,911.6,922.5,922.0,1513.0,,822.4,437.0,994.8,1110.4,1008.3,,962.4,,916.8,905.0,1842.4,895.0,854.8,917.0,917.0,1064.4,995.0,1541.0,,964.0,801.2,,828.1,1236.2,1019.1,1227.9,792.0,935.9,692.3,-302.0,-315.4,-304.5,-305.0,286.0,,-404.6,-790.0,-232.2,-116.6,-218.7,,-264.6,,-310.2,-322.0,615.4,-332.0,-372.2,-310.0,-310.0,-162.6,-232.0,314.0,,-263.0,-425.8,,-398.9,9.2,-207.9,0.9,-435.0,-291.1,-534.7,False,False,False,True,,False,False,True,True,True,,True,,False,False,False,False,False,False,False,True,True,False,,True,False,,False,True,True,True,False,True,False
Idaho,7036,6412.0,8387.9,6522.5,5419.0,5400.0,,5780.1,4833.0,5750.8,5684.9,6417.8,,4177.1,6511.0,4702.1,5763.0,4737.6,4602.5,5226.8,4371.0,5171.4,6385.8,6150.0,5444.0,,4131.1,6515.2,,6230.1,9526.6,6130.8,7899.5,6172.0,6489.3,3979.5,-624.0,1351.9,-513.5,-1617.0,-1636.0,,-1255.9,-2203.0,-1285.2,-1351.1,-618.2,,-2858.9,-525.0,-2333.9,-1273.0,-2298.4,-2433.5,-1809.2,-2665.0,-1864.6,-650.2,-886.0,-1592.0,,-2904.9,-520.8,,-805.9,2490.6,-905.2,863.5,-864.0,-546.7,-3056.5,False,True,False,False,,False,False,False,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,False,True,False
Illinois,48687,41210.0,48974.5,41661.8,38469.0,43153.0,,35638.4,17188.0,29776.9,39515.0,49992.9,,31374.0,39515.0,38496.8,36280.0,26602.4,30729.5,34693.7,30848.5,38441.3,39740.7,37398.0,41657.0,,36874.6,21144.4,,38824.5,48474.3,42090.5,47673.9,37452.0,43562.3,,-7477.0,287.5,-7025.2,-10218.0,-5534.0,,-13048.6,-31499.0,-18910.1,-9172.0,1305.9,,-17313.0,-9172.0,-10190.2,-12407.0,-22084.6,-17957.5,-13993.3,-17838.5,-10245.7,-8946.3,-11289.0,-7030.0,,-11812.4,-27542.6,,-9862.5,-212.7,-6596.5,-1013.1,-11235.0,-5124.7,,True,True,False,True,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True,True,True,False,True,
Indiana,35470,31069.0,38430.5,30841.6,29054.0,30743.0,,28377.6,24252.0,25109.3,32153.2,37571.3,,25428.6,28598.0,28730.0,29325.0,19477.1,24722.0,33654.3,21727.5,29054.1,29925.5,31638.0,28745.0,,28018.7,22429.9,,31922.0,44885.3,29830.8,31562.0,30305.0,34293.7,20794.0,-4401.0,2960.5,-4628.4,-6416.0,-4727.0,,-7092.4,-11218.0,-10360.7,-3316.8,2101.3,,-10041.4,-6872.0,-6740.0,-6145.0,-15992.9,-10748.0,-1815.7,-13742.5,-6415.9,-5544.5,-3832.0,-6725.0,,-7451.3,-13040.1,,-3548.0,9415.3,-5639.2,-3908.0,-5165.0,-1176.3,-14676.0,True,False,False,False,,False,False,False,True,True,,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,,True,False,False,True,False,True,False
Iowa,12276,9102.0,11512.5,9236.4,7833.0,7262.0,,7832.8,7610.0,6680.8,11096.7,7682.9,,7011.6,9322.0,7824.3,7850.0,6863.3,5251.0,8073.2,5983.0,8595.3,9391.8,8147.0,10762.0,,7880.0,3615.3,,7737.8,12830.5,10782.5,9754.3,7719.0,10831.4,5986.7,-3174.0,-763.5,-3039.6,-4443.0,-5014.0,,-4443.2,-4666.0,-5595.2,-1179.3,-4593.1,,-5264.4,-2954.0,-4451.7,-4426.0,-5412.7,-7025.0,-4202.8,-6293.0,-3680.7,-2884.2,-4129.0,-1514.0,,-4396.0,-8660.7,,-4538.2,554.5,-1493.5,-2521.7,-4557.0,-1444.6,-6289.3,True,True,False,False,,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,True,False,True,,False,False,,False,True,True,True,False,True,False
Kansas,14632,17325.0,15565.8,17018.0,14611.0,19609.0,,13650.4,18801.0,4543.7,14509.0,10763.1,,12151.4,12752.0,19932.9,,8656.7,8165.5,11552.9,1907.0,14909.2,14587.5,14780.0,17018.0,,10906.0,7890.2,,18359.3,17693.4,16271.1,16418.5,13085.0,16800.9,9532.4,2693.0,933.8,2386.0,-21.0,4977.0,,-981.6,4169.0,-10088.3,-123.0,-3868.9,,-2480.6,-1880.0,5300.9,,-5975.3,-6466.5,-3079.1,-12725.0,277.2,-44.5,148.0,2386.0,,-3726.0,-6741.8,,3727.3,3061.4,1639.1,1786.5,-1547.0,2168.9,-5099.6,True,True,True,False,,True,False,False,True,False,,True,True,False,,False,False,False,False,True,True,True,True,,False,False,,False,False,True,True,True,True,False
Kentucky,26427,18408.0,20119.7,18500.1,18036.0,20180.0,,15185.3,10119.0,15212.3,15989.9,28744.3,,16757.1,18846.0,20734.3,16439.0,11670.7,13470.0,17242.7,21670.5,17168.2,19611.9,17415.0,18107.0,,18511.0,14507.3,,17970.4,22288.7,19206.5,18142.0,17903.0,18553.1,10211.2,-8019.0,-6307.3,-7926.9,-8391.0,-6247.0,,-11241.7,-16308.0,-11214.7,-10437.1,2317.3,,-9669.9,-7581.0,-5692.7,-9988.0,-14756.3,-12957.0,-9184.3,-4756.5,-9258.8,-6815.1,-9012.0,-8320.0,,-7916.0,-11919.7,,-8456.6,-4138.3,-7220.5,-8285.0,-8524.0,-7873.9,-16215.8,True,True,False,True,,False,False,False,False,True,,False,True,True,False,False,False,False,True,False,True,False,False,,True,False,,False,True,True,False,False,True,False
Louisiana,26156,18776.0,18497.2,18736.3,18403.0,30809.0,,17182.7,19129.0,121224.8,17129.7,11816.9,,18206.7,17851.0,26591.9,21952.0,11305.4,15112.5,17726.9,17592.0,16909.0,22578.5,17439.0,20582.0,,17321.0,20110.6,,19396.7,20289.9,18544.8,14884.8,11923.0,20041.5,13436.5,-7380.0,-7658.8,-7419.7,-7753.0,4653.0,,-8973.3,-7027.0,95068.8,-9026.3,-14339.1,,-7949.3,-8305.0,435.9,-4204.0,-14850.6,-11043.5,-8429.1,-8564.0,-9247.0,-3577.5,-8717.0,-5574.0,,-8835.0,-6045.4,,-6759.3,-5866.1,-7611.2,-11271.2,-14233.0,-6114.5,-12719.5,False,False,False,True,,False,True,False,False,False,,False,False,True,True,False,False,False,False,False,True,False,True,,False,True,,True,True,False,False,False,True,False
Maine,3774,3698.0,2860.4,3776.7,3615.0,4105.0,,3542.5,3615.0,3017.9,3788.3,3273.3,,3518.7,3348.0,4022.3,3759.0,4405.4,3150.5,4976.3,3465.0,3487.3,4291.8,4344.0,3510.0,,3727.9,4352.9,,3495.0,4511.9,3128.7,3914.1,4083.0,3941.7,3218.4,-76.0,-913.6,2.7,-159.0,331.0,,-231.5,-159.0,-756.1,14.3,-500.7,,-255.3,-426.0,248.3,-15.0,631.4,-623.5,1202.3,-309.0,-286.7,517.8,570.0,-264.0,,-46.1,578.9,,-279.0,737.9,-645.3,140.1,309.0,167.7,-555.6,False,True,False,False,,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False
Maryland,20193,17731.0,17658.4,17755.7,17615.0,19568.0,,16444.3,14779.0,15759.0,18076.3,19080.5,,17087.1,18462.0,20064.0,17713.0,14249.8,16869.5,17584.5,17615.0,18286.6,18062.9,18498.0,17845.0,,17446.5,25426.9,,17734.2,25414.9,16567.1,20188.7,17577.0,20178.5,11106.5,-2462.0,-2534.6,-2437.3,-2578.0,-625.0,,-3748.7,-5414.0,-4434.0,-2116.7,-1112.5,,-3105.9,-1731.0,-129.0,-2480.0,-5943.2,-3323.5,-2608.5,-2578.0,-1906.4,-2130.1,-1695.0,-2348.0,,-2746.5,5233.9,,-2458.8,5221.9,-3625.9,-4.3,-2616.0,-14.5,-9086.5,False,True,False,True,,False,False,False,True,True,,False,True,True,False,False,False,False,False,True,True,True,True,,False,False,,True,False,False,True,False,True,False
Massachusetts,42954,34579.0,34628.9,34303.9,34304.0,38440.0,,32689.0,29589.0,19842.0,35452.6,35090.2,,31021.9,35622.0,38980.4,34181.0,22794.9,24230.0,54123.3,31378.5,31944.7,34458.1,28111.0,35002.0,,31836.9,41677.7,,36749.6,49934.6,27305.2,32747.7,37325.0,42585.4,23458.6,-8375.0,-8325.1,-8650.1,-8650.0,-4514.0,,-10265.0,-13365.0,-23112.0,-7501.4,-7863.8,,-11932.1,-7332.0,-3973.6,-8773.0,-20159.1,-18724.0,11169.3,-11575.5,-11009.3,-8495.9,-14843.0,-7952.0,,-11117.1,-1276.3,,-6204.4,6980.6,-15648.8,-10206.3,-5629.0,-368.6,-19495.4,True,False,False,True,,False,False,False,True,True,,False,True,True,False,False,False,False,False,False,False,False,True,,False,True,,True,True,False,False,True,True,False
Michigan,24432,21795.0,28012.5,20675.2,18994.0,21649.0,,18164.2,18105.0,52585.0,17178.0,30757.5,,14792.9,21158.0,20344.8,19776.0,19275.4,17186.0,16964.2,18873.0,19154.7,20033.7,21435.0,20219.0,,13634.6,13842.1,,29079.9,24985.5,21504.5,18798.1,18173.0,26315.7,11646.7,-2637.0,3580.5,-3756.8,-5438.0,-2783.0,,-6267.8,-6327.0,28153.0,-7254.0,6325.5,,-9639.1,-3274.0,-4087.2,-4656.0,-5156.6,-7246.0,-7467.8,-5559.0,-5277.3,-4398.3,-2997.0,-4213.0,,-10797.4,-10589.9,,4647.9,553.5,-2927.5,-5633.9,-6259.0,1883.7,-12785.3,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,True,False
Minnesota,16581,11287.0,18967.3,12436.8,11140.0,11400.0,,9956.9,18417.0,8570.1,10740.2,11538.8,,7403.3,11232.0,11474.4,7290.0,8539.2,6838.0,8373.6,11804.0,9523.3,12978.8,9878.0,11218.0,,6738.7,8164.2,,11468.6,13979.0,11146.8,8458.2,11140.0,14368.6,6860.4,-5294.0,2386.3,-4144.2,-5441.0,-5181.0,,-6624.1,1836.0,-8010.9,-5840.8,-5042.2,,-9177.7,-5349.0,-5106.6,-9291.0,-8041.8,-9743.0,-8207.4,-4777.0,-7057.7,-3602.2,-6703.0,-5363.0,,-9842.3,-8416.8,,-5112.4,-2602.0,-5434.2,-8122.8,-5441.0,-2212.4,-9720.6,True,True,False,True,,False,True,False,False,True,,False,False,True,False,False,False,False,True,False,True,False,False,,False,False,,True,True,False,False,False,True,False
Mississippi,16591,15254.0,14866.8,15211.8,14725.0,14940.0,,13794.3,17477.0,14305.6,16848.0,15714.3,,14253.0,14772.0,15793.3,14965.0,9113.9,12888.5,17592.0,13608.0,14491.7,14898.8,14986.0,15569.0,,14574.3,10649.3,,14069.5,20171.5,14874.8,15039.3,14045.0,17643.4,11197.0,-1337.0,-1724.2,-1379.2,-1866.0,-1651.0,,-2796.7,886.0,-2285.4,257.0,-876.7,,-2338.0,-1819.0,-797.7,-1626.0,-7477.1,-3702.5,1001.0,-2983.0,-2099.3,-1692.2,-1605.0,-1022.0,,-2016.7,-5941.7,,-2521.5,3580.5,-1716.2,-1551.7,-2546.0,1052.4,-5394.0,False,False,False,False,,False,True,False,True,True,,False,False,True,False,False,False,True,False,False,False,False,True,,False,False,,False,False,False,False,False,True,False
Missouri,22421,19839.0,23521.3,20322.4,19017.0,18293.0,,17010.3,15466.0,17007.0,20752.4,18507.3,,18826.2,20598.0,18068.5,19403.0,12873.6,16645.0,16311.8,15509.0,20815.5,20180.8,19026.0,20454.0,,17422.9,11772.7,,20369.7,29605.3,19695.9,21139.6,17976.0,20575.2,,-2582.0,1100.3,-2098.6,-3404.0,-4128.0,,-5410.7,-6955.0,-5414.0,-1668.6,-3913.7,,-3594.8,-1823.0,-4352.5,-3018.0,-9547.4,-5776.0,-6109.2,-6912.0,-1605.5,-2240.2,-3395.0,-1967.0,,-4998.1,-10648.3,,-2051.3,7184.3,-2725.1,-1281.4,-4445.0,-1845.8,,True,True,False,False,,False,False,False,True,False,,False,True,False,False,False,False,False,False,True,True,False,True,,False,False,,True,False,False,True,False,True,
