,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Mississippi,94467,63427.0,,44069.2,,81853.0,103388.9,118026.1,113691.0,,68027.6,39246.9,45618.0,-31040.0,,-50397.8,,-12614.0,8921.9,23559.1,19224.0,,-26439.4,-55220.1,-48849.0,,False,,True,True,True,True,,True,False,False
Missouri,191755,203413.0,,233944.0,,197641.0,431443.5,314370.1,294334.0,,271556.1,92479.7,149637.0,11658.0,,42189.0,,5886.0,239688.5,122615.1,102579.0,,79801.1,-99275.3,-42118.0,,False,,True,False,False,False,,False,False,False
Montana,31560,60592.0,,53755.8,,69810.0,113255.9,113975.4,93958.0,,35310.7,17828.7,47749.0,29032.0,,22195.8,,38250.0,81695.9,82415.4,62398.0,,3750.7,-13731.3,16189.0,,True,,False,False,False,False,,True,True,True
Nebraska,62591,113365.0,,98349.8,,132119.0,203982.3,157736.2,170044.0,,124010.0,24000.7,65197.0,50774.0,,35758.8,,69528.0,141391.3,95145.2,107453.0,,61419.0,-38590.3,2606.0,,True,,False,False,False,False,,False,True,True
Nevada,114576,89089.0,,91988.5,,85626.0,139665.7,152133.9,115544.0,,48876.1,52857.6,76084.0,-25487.0,,-22587.5,,-28950.0,25089.7,37557.9,968.0,,-65699.9,-61718.4,-38492.0,,True,,False,True,False,True,,False,False,False
New Hampshire,35277,20958.0,,26996.1,,30507.0,25300.8,146565.3,44148.0,,29249.7,25224.2,20183.0,-14319.0,,-8280.9,,-4770.0,-9976.2,111288.3,8871.0,,-6027.3,-10052.8,-15094.0,,True,,True,True,False,True,,True,True,False
New Jersey,252286,191121.0,,314345.6,,161561.0,283895.7,667440.0,255935.0,,394309.8,105591.3,104658.0,-61165.0,,62059.6,,-90725.0,31609.7,415154.0,3649.0,,142023.8,-146694.7,-147628.0,,False,,False,True,False,True,,False,False,False
New Mexico,75514,113883.0,,116438.6,,133861.0,137394.5,177407.1,163937.0,,118297.3,56274.9,76226.0,38369.0,,40924.6,,58347.0,61880.5,101893.1,88423.0,,42783.3,-19239.1,712.0,,False,,False,False,False,False,,False,True,True
New York,521604,239904.0,,392005.6,,204760.0,399457.3,1469787.1,385594.0,,404747.6,233241.4,108107.0,-281700.0,,-129598.4,,-316844.0,-122146.7,948183.1,-136010.0,,-116856.4,-288362.6,-413497.0,,True,,False,True,False,True,,True,False,False
North Carolina,282094,162001.0,,156789.3,,182261.0,213123.7,177930.4,282256.0,,122866.1,169440.0,119856.0,-120093.0,,-125304.7,,-99833.0,-68970.3,-104163.6,162.0,,-159227.9,-112654.0,-162238.0,,False,,True,True,True,True,,False,True,False
North Dakota,23018,60676.0,,50557.5,,81576.0,102199.8,30090.8,89042.0,,37152.5,15789.6,37709.0,37658.0,,27539.5,,58558.0,79181.8,7072.8,66024.0,,14134.5,-7228.4,14691.0,,True,,False,False,True,False,,True,True,True
