,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,325947,142944.0,41931.2,,,109872.0,301807.8,62362.7,,34967.9,10626.6,59016.0,-183003.0,-284015.8,,,-216075.0,-24139.2,-263584.3,,-290979.1,-315320.4,-266931.0,False,,,False,True,False,,False,False,False
Hawaii,6649,5664.0,1922.6,,,,8763.8,6181.5,,1938.1,2277.6,2177.0,-985.0,-4726.4,,,,2114.8,-467.5,,-4710.9,-4371.4,-4472.0,False,,,,False,True,,False,False,False
Idaho,67918,72040.0,96495.3,,,74066.0,124456.5,122904.5,,27911.5,25412.4,18426.0,4122.0,28577.3,,,6148.0,56538.5,54986.5,,-40006.5,-42505.6,-49492.0,False,,,False,False,False,,False,False,False
Illinois,461054,680056.0,1040959.8,,,561252.0,950840.6,1821436.0,,227567.2,237379.9,184996.0,219002.0,579905.8,,,100198.0,489786.6,1360382.0,,-233486.8,-223674.1,-276058.0,False,,,True,False,False,,False,False,False
Indiana,313673,313320.0,407122.6,,,349488.0,423056.9,851300.9,,250858.7,178485.0,265772.0,-353.0,93449.6,,,35815.0,109383.9,537627.9,,-62814.3,-135188.0,-47901.0,False,,,False,False,False,,False,False,False
Iowa,112616,266408.0,391071.5,,,250467.0,299219.5,697461.6,,126054.1,47036.0,173109.0,153792.0,278455.5,,,137851.0,186603.5,584845.6,,13438.1,-65580.0,60493.0,False,,,True,False,False,,True,True,True
Kansas,127362,142008.0,215195.4,,,142496.0,171731.5,160890.6,,78346.5,35195.6,28765.0,14646.0,87833.4,,,15134.0,44369.5,33528.6,,-49015.5,-92166.4,-98597.0,False,,,False,False,False,,False,False,False
Kentucky,164260,131808.0,243263.5,,,107007.0,207291.7,232684.3,,112751.9,76158.3,95965.0,-32452.0,79003.5,,,-57253.0,43031.7,68424.3,,-51508.1,-88101.7,-68295.0,False,,,False,False,False,,False,False,False
Louisiana,139450,82128.0,86746.0,,,68669.0,54091.7,429145.9,,42869.4,47996.4,45680.0,-57322.0,-52704.0,,,-70781.0,-85358.3,289695.9,,-96580.6,-91453.6,-93770.0,True,,,False,False,False,,False,False,False
Maine,20228,9528.0,15556.3,,,11083.0,10074.5,145340.0,,5028.8,15257.6,5937.0,-10700.0,-4671.7,,,-9145.0,-10153.5,125112.0,,-15199.2,-4970.4,-14291.0,True,,,True,True,False,,False,True,False
Maryland,139274,89400.0,200889.9,,,75290.0,155061.0,314604.9,,39387.3,107995.6,48519.0,-49874.0,61615.9,,,-63984.0,15787.0,175330.9,,-99886.7,-31278.4,-90755.0,False,,,False,True,False,,False,True,False
Massachusetts,240993,132528.0,135671.1,,,151271.0,191857.4,412147.0,,96116.4,173739.7,67513.0,-108465.0,-105321.9,,,-89722.0,-49135.6,171154.0,,-144876.6,-67253.3,-173480.0,True,,,True,True,False,,False,True,False
Michigan,286761,373752.0,637051.2,,,410986.0,493844.8,886423.7,,272124.4,177268.7,332556.0,86991.0,350290.2,,,124225.0,207083.8,599662.7,,-14636.6,-109492.3,45795.0,False,,,False,False,False,,True,False,True
Minnesota,218385,328592.0,666132.5,,,512597.0,368670.7,1096610.6,,134733.1,182088.0,103483.0,110207.0,447747.5,,,294212.0,150285.7,878225.6,,-83651.9,-36297.0,-114902.0,False,,,False,False,False,,True,True,False
Mississippi,103528,59640.0,59217.5,,,65743.0,98023.9,133582.4,,44014.7,44088.7,25355.0,-43888.0,-44310.5,,,-37785.0,-5504.1,30054.4,,-59513.3,-59439.3,-78173.0,False,,,True,True,True,,False,False,False
Missouri,188620,278568.0,524544.5,,,236250.0,390681.6,731204.1,,150923.5,100292.7,39129.0,89948.0,335924.5,,,47630.0,202061.6,542584.1,,-37696.5,-88327.3,-149491.0,False,,,True,False,False,,True,True,False
Montana,40216,55504.0,44063.9,,,61712.0,93500.6,57900.8,,16327.5,34254.3,10963.0,15288.0,3847.9,,,21496.0,53284.6,17684.8,,-23888.5,-5961.7,-29253.0,True,,,False,False,False,,False,True,False
Nebraska,78786,115512.0,271548.1,,,126692.0,172847.9,272068.5,,102339.5,28624.5,23344.0,36726.0,192762.1,,,47906.0,94061.9,193282.5,,23553.5,-50161.5,-55442.0,False,,,False,False,False,,True,False,False
Nevada,127303,82080.0,96612.9,,,68480.0,128063.1,180857.8,,28180.0,47969.8,36365.0,-45223.0,-30690.1,,,-58823.0,760.1,53554.8,,-99123.0,-79333.2,-90938.0,True,,,False,True,False,,False,False,False
New Hampshire,36550,16640.0,62946.8,,,18873.0,15849.3,74400.9,,11991.4,36073.1,11726.0,-19910.0,26396.8,,,-17677.0,-20700.7,37850.9,,-24558.6,-476.9,-24824.0,False,,,True,False,False,,False,True,False
New Jersey,284020,177232.0,243907.7,,,136779.0,276217.1,236701.6,,123044.4,166479.7,86567.0,-106788.0,-40112.3,,,-147241.0,-7802.9,-47318.4,,-160975.6,-117540.3,-197453.0,True,,,False,True,True,,False,False,False
New Mexico,91783,76000.0,68419.7,,,75354.0,142989.2,282328.2,,56023.3,32346.3,25166.0,-15783.0,-23363.3,,,-16429.0,51206.2,190545.2,,-35759.7,-59436.7,-66617.0,False,,,False,False,False,,False,False,False
New York,557363,247544.0,176813.0,,,196116.0,272633.9,1158339.0,,169634.2,272384.5,151239.0,-309819.0,-380550.0,,,-361247.0,-284729.1,600976.0,,-387728.8,-284978.5,-406124.0,False,,,False,True,False,,False,True,False
North Carolina,305237,142984.0,112402.6,,,149659.0,212524.9,198147.8,,181478.0,128877.7,66245.0,-162253.0,-192834.4,,,-155578.0,-92712.1,-107089.2,,-123759.0,-176359.3,-238992.0,False,,,True,True,True,,True,False,False
North Dakota,31686,77344.0,50873.8,,,81396.0,143111.9,44331.7,,50563.5,18196.0,28709.0,45658.0,19187.8,,,49710.0,111425.9,12645.7,,18877.5,-13490.0,-2977.0,True,,,False,False,True,,True,True,True
Ohio,480734,356128.0,597486.9,,,421065.0,420883.8,1373022.7,,121226.9,353294.7,146629.0,-124606.0,116752.9,,,-59669.0,-59850.2,892288.7,,-359507.1,-127439.3,-334105.0,True,,,True,True,False,,False,False,False
Oklahoma,174670,147632.0,232026.9,,,190001.0,168742.9,537733.4,,52703.3,115334.7,42901.0,-27038.0,57356.9,,,15331.0,-5927.1,363063.4,,-121966.7,-59335.3,-131769.0,False,,,True,True,False,,False,False,False
Oregon,68458,51448.0,74923.2,,,48308.0,75943.5,326412.3,,18422.9,77110.4,31389.0,-17010.0,6465.2,,,-20150.0,7485.5,257954.3,,-50035.1,8652.4,-37069.0,True,,,False,True,False,,False,True,False
Pennsylvania,453055,253832.0,497039.7,,,262402.0,403138.6,1326979.3,,176159.0,233144.2,128308.0,-199223.0,43984.7,,,-190653.0,-49916.4,873924.3,,-276896.0,-219910.8,-324747.0,True,,,True,True,False,,False,False,False
Rhode Island,56085,41192.0,42321.4,,,37608.0,59964.3,68957.2,,31286.6,9548.2,9483.0,-14893.0,-13763.6,,,-18477.0,3879.3,12872.2,,-24798.4,-46536.8,-46602.0,True,,,False,True,True,,False,False,False
South Carolina,156070,74176.0,65838.7,,,72291.0,100961.2,100065.3,,28103.9,84215.6,40089.0,-81894.0,-90231.3,,,-83779.0,-55108.8,-56004.7,,-127966.1,-71854.4,-115981.0,False,,,False,True,True,,False,True,False
South Dakota,38719,81648.0,62568.1,,,77189.0,141903.8,77030.4,,35604.0,22000.3,0.0,42929.0,23849.1,,,38470.0,103184.8,38311.4,,-3115.0,-16718.7,-38719.0,True,,,True,False,True,,True,True,True
Tennessee,341330,215240.0,361526.7,,,222753.0,301433.0,688378.7,,173494.4,152448.6,66072.0,-126090.0,20196.7,,,-118577.0,-39897.0,347048.7,,-167835.6,-188881.4,-275258.0,True,,,True,True,False,,False,False,False
Texas,844459,537344.0,654539.0,,,649928.0,840285.7,1930168.1,,196991.0,326449.2,242427.0,-307115.0,-189920.0,,,-194531.0,-4173.3,1085709.1,,-647468.0,-518009.8,-602032.0,True,,,True,True,False,,False,False,False
Utah,152582,167248.0,237012.0,,,177681.0,263151.1,198867.0,,130148.8,69934.2,42288.0,14666.0,84430.0,,,25099.0,110569.1,46285.0,,-22433.2,-82647.8,-110294.0,False,,,False,False,False,,False,False,False
Vermont,5947,3968.0,5417.0,,,4466.0,2479.5,49565.5,,1687.4,23219.3,3995.0,-1979.0,-530.0,,,-1481.0,-3467.5,43618.5,,-4259.6,17272.3,-1952.0,True,,,True,False,False,,False,False,True
Virginia,192916,79408.0,284252.7,,,72555.0,105986.8,197305.1,,44821.0,43975.3,44096.0,-113508.0,91336.7,,,-120361.0,-86929.2,4389.1,,-148095.0,-148940.7,-148820.0,True,,,False,True,True,,False,False,False
Washington,138204,93760.0,203318.0,,,81569.0,99485.0,533325.2,,55003.8,167912.5,57938.0,-44444.0,65114.0,,,-56635.0,-38719.0,395121.2,,-83200.2,29708.5,-80266.0,False,,,False,True,False,,False,True,False
West Virginia,66986,41464.0,61587.8,,,37084.0,63520.5,175584.5,,15797.2,51038.8,12913.0,-25522.0,-5398.2,,,-29902.0,-3465.5,108598.5,,-51188.8,-15947.2,-54073.0,True,,,False,True,False,,False,True,False
Wisconsin,224530,368808.0,235500.4,,,448596.0,651629.5,513466.2,,465374.8,103210.9,56435.0,144278.0,10970.4,,,224066.0,427099.5,288936.2,,240844.8,-121319.1,-168095.0,True,,,False,False,False,,False,True,False
Wyoming,24838,42272.0,55757.9,,,45491.0,56703.3,123522.0,,47010.6,10789.3,10657.0,17434.0,30919.9,,,20653.0,31865.3,98684.0,,22172.6,-14048.7,-14181.0,False,,,False,False,False,,False,True,True
US,11225922,8142480.0,11361170.1,50113361.0,8533217.0,8079764.0,11682127.7,22350685.1,7515000.0,11427152.5,5722085.2,3577192.0,-3083442.0,135248.1,38887439.0,-2692705.0,-3146158.0,456205.7,11124763.1,-3710922.0,201230.5,-5503836.8,-7648730.0,True,False,True,False,True,False,False,True,False,False
