,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01043,941,968.0,,1061.6,,928.0,812.0,,,,,824.9,685.2,,,1254.0,,915.8,,605.0,757.5,,1185.0,642.7,386.8,,1157.0,982.0,867.7,,,,,827.8,,,,1471.5,27.0,,120.6,,-13.0,-129.0,,,,,-116.1,-255.8,,,313.0,,-25.2,,-336.0,-183.5,,244.0,-298.3,-554.2,,216.0,41.0,-73.3,,,,,-113.2,,,,530.5,,False,,True,False,,,,,False,False,,,False,,True,,False,False,,False,False,False,,False,False,False,,,,,False,,,,False
01045,525,344.0,,352.5,,374.0,374.0,,,,,392.8,263.4,,,451.0,,496.7,,285.5,301.0,,649.0,282.7,155.6,,470.0,416.0,425.3,,,,,237.9,,,,491.0,-181.0,,-172.5,,-151.0,-151.0,,,,,-132.2,-261.6,,,-74.0,,-28.3,,-239.5,-224.0,,124.0,-242.3,-369.4,,-55.0,-109.0,-99.7,,,,,-287.1,,,,-34.0,,True,,True,True,,,,,True,False,,,True,,True,,False,False,,True,False,False,,True,True,True,,,,,False,,,,True
01047,231,182.0,,181.1,,178.0,179.0,,,,,278.7,151.4,,,321.0,,148.3,,165.0,164.0,,259.0,141.6,0.0,,225.0,241.0,272.1,,,,,127.7,,,,197.6,-49.0,,-49.9,,-53.0,-52.0,,,,,47.7,-79.6,,,90.0,,-82.7,,-66.0,-67.0,,28.0,-89.4,-231.0,,-6.0,10.0,41.1,,,,,-103.3,,,,-33.4,,False,,False,False,,,,,True,False,,,False,,False,,False,False,,True,False,False,,True,True,True,,,,,False,,,,True
01049,642,700.0,,734.3,,664.0,645.0,,,,,778.3,486.0,,,1093.0,,871.1,,500.9,612.0,,973.5,454.8,296.2,,895.0,743.0,738.4,,,,,580.8,,,,507.4,58.0,,92.3,,22.0,3.0,,,,,136.3,-156.0,,,451.0,,229.1,,-141.1,-30.0,,331.5,-187.2,-345.8,,253.0,101.0,96.4,,,,,-61.2,,,,-134.6,,False,,True,True,,,,,False,False,,,False,,False,,False,True,,False,False,False,,False,False,False,,,,,False,,,,False
01051,1393,938.0,,945.3,,866.0,909.0,,,,,834.1,581.3,,,744.0,,1244.9,,571.9,759.5,,1487.0,746.3,185.9,,1237.0,959.0,790.3,,,,,746.0,,,,744.5,-455.0,,-447.7,,-527.0,-484.0,,,,,-558.9,-811.7,,,-649.0,,-148.1,,-821.1,-633.5,,94.0,-646.7,-1207.1,,-156.0,-434.0,-602.7,,,,,-647.0,,,,-648.5,,True,,False,False,,,,,False,False,,,False,,True,,False,False,,True,False,False,,True,True,False,,,,,False,,,,False
01053,434,280.0,,267.1,,272.0,10.0,,,,,315.5,171.5,,,378.0,,306.9,,230.0,250.0,,375.0,164.2,49.2,,354.0,317.0,320.8,,,,,256.7,,,,265.3,-154.0,,-166.9,,-162.0,-424.0,,,,,-118.5,-262.5,,,-56.0,,-127.1,,-204.0,-184.0,,-59.0,-269.8,-384.8,,-80.0,-117.0,-113.2,,,,,-177.3,,,,-168.7,,False,,False,False,,,,,True,False,,,True,,True,,False,False,,True,False,False,,True,True,True,,,,,False,,,,False
01055,1439,1592.0,,1707.8,,1427.0,1402.0,,,,,1331.5,1003.7,,,1443.0,,1474.8,,974.8,684.0,,1649.0,981.5,426.6,,1897.0,1516.0,1252.5,,,,,1079.7,,,,2291.1,153.0,,268.8,,-12.0,-37.0,,,,,-107.5,-435.3,,,4.0,,35.8,,-464.2,-755.0,,210.0,-457.5,-1012.4,,458.0,77.0,-186.5,,,,,-359.3,,,,852.1,,False,,True,True,,,,,True,False,,,True,,True,,False,False,,False,False,False,,False,True,False,,,,,False,,,,False
01057,180,174.0,,173.8,,170.0,132.0,,,,,169.7,138.8,,,198.0,,132.3,,131.4,,,194.0,122.0,34.9,,235.0,190.0,177.0,,,,,,,,,156.2,-6.0,,-6.2,,-10.0,-48.0,,,,,-10.3,-41.2,,,18.0,,-47.7,,-48.6,,,14.0,-58.0,-145.1,,55.0,10.0,-3.0,,,,,,,,,-23.8,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,True,,,,,,,,,False
01059,379,248.0,,258.4,,216.0,121.0,,,,,344.9,175.9,,,494.0,,208.0,,207.6,219.0,,277.0,207.8,56.7,,309.0,313.0,296.3,,,,,170.4,,,,74.9,-131.0,,-120.6,,-163.0,-258.0,,,,,-34.1,-203.1,,,115.0,,-171.0,,-171.4,-160.0,,-102.0,-171.2,-322.3,,-70.0,-66.0,-82.7,,,,,-208.6,,,,-304.1,,True,,False,False,,,,,True,False,,,True,,False,,False,False,,True,False,False,,True,True,True,,,,,False,,,,False
01061,297,204.0,,200.7,,197.0,184.0,,,,,168.5,159.4,,,270.0,,157.0,,117.0,,,206.0,152.9,57.5,,224.0,216.0,207.4,,,,,,,,,105.9,-93.0,,-96.3,,-100.0,-113.0,,,,,-128.5,-137.6,,,-27.0,,-140.0,,-180.0,,,-91.0,-144.1,-239.5,,-73.0,-81.0,-89.6,,,,,,,,,-191.1,,False,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,True,True,,,,,,,,,False
01063,101,84.0,,88.1,,69.0,6.0,,,,,85.9,60.1,,,66.0,,64.8,,61.8,,,80.0,72.8,0.0,,116.0,74.0,55.0,,,,,,,,,55.0,-17.0,,-12.9,,-32.0,-95.0,,,,,-15.1,-40.9,,,-35.0,,-36.2,,-39.2,,,-21.0,-28.2,-101.0,,15.0,-27.0,-46.0,,,,,,,,,-46.0,,True,,False,False,,,,,True,False,,,False,,False,,False,,,False,False,False,,True,False,False,,,,,,,,,False
01065,283,226.0,,238.6,,212.0,75.0,,,,,192.1,105.6,,,144.0,,359.3,,139.2,,,332.0,184.8,29.7,,318.0,192.0,308.8,,,,,,,,,209.9,-57.0,,-44.4,,-71.0,-208.0,,,,,-90.9,-177.4,,,-139.0,,76.3,,-143.8,,,49.0,-98.2,-253.3,,35.0,-91.0,25.8,,,,,,,,,-73.1,,True,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,True,False,True,,,,,,,,,False
01067,264,158.0,,154.4,,154.0,1.0,,,,,141.1,122.2,,,138.0,,258.4,,108.8,,,313.0,137.1,43.3,,236.0,167.0,181.7,,,,,,,,,114.2,-106.0,,-109.6,,-110.0,-263.0,,,,,-122.9,-141.8,,,-126.0,,-5.6,,-155.2,,,49.0,-126.9,-220.7,,-28.0,-97.0,-82.3,,,,,,,,,-149.8,,False,,False,False,,,,,False,False,,,False,,True,,False,,,True,False,False,,True,True,True,,,,,,,,,False
01069,1241,688.0,,754.5,,717.0,556.0,,,,,785.7,587.7,,,862.0,,868.3,,530.0,712.5,,921.5,508.3,288.2,,997.0,863.0,920.3,,,,,537.1,,,,409.7,-553.0,,-486.5,,-524.0,-685.0,,,,,-455.3,-653.3,,,-379.0,,-372.7,,-711.0,-528.5,,-319.5,-732.7,-952.8,,-244.0,-378.0,-320.7,,,,,-703.9,,,,-831.3,,True,,True,False,,,,,True,False,,,True,,True,,False,True,,True,False,False,,True,True,True,,,,,False,,,,False
01071,683,486.0,,417.3,,417.0,336.0,,,,,553.0,387.0,,,734.0,,229.1,,355.9,206.0,,288.0,275.9,0.0,,531.0,528.0,564.2,,,,,379.4,,,,1207.8,-197.0,,-265.7,,-266.0,-347.0,,,,,-130.0,-296.0,,,51.0,,-453.9,,-327.1,-477.0,,-395.0,-407.1,-683.0,,-152.0,-155.0,-118.8,,,,,-303.6,,,,524.8,,False,,False,False,,,,,True,False,,,True,,False,,False,False,,False,False,False,,True,True,True,,,,,False,,,,False
01073,9116,8372.0,,8371.7,9278.9,7601.0,6383.0,,,,,6915.3,6026.8,,9664.7,8724.0,,9551.2,,5158.4,6374.0,,11635.5,6642.5,3351.3,,10493.0,7776.0,5914.5,,,,,6318.6,6141.0,,,6014.6,-744.0,,-744.3,162.9,-1515.0,-2733.0,,,,,-2200.7,-3089.2,,548.7,-392.0,,435.2,,-3957.6,-2742.0,,2519.5,-2473.5,-5764.7,,1377.0,-1340.0,-3201.5,,,,,-2797.4,-2975.0,,,-3101.4,,False,True,False,False,,,,,False,False,,True,True,,True,,False,False,,False,False,False,,False,False,False,,,,,False,False,,,False
01075,123,136.0,,131.3,,136.0,108.0,,,,,134.6,90.2,,,151.0,,175.3,,89.6,,,210.0,90.6,21.0,,179.0,149.0,140.5,,,,,,,,,216.7,13.0,,8.3,,13.0,-15.0,,,,,11.6,-32.8,,,28.0,,52.3,,-33.4,,,87.0,-32.4,-102.0,,56.0,26.0,17.5,,,,,,,,,93.7,,True,,False,False,,,,,True,False,,,False,,False,,False,,,False,False,False,,False,False,False,,,,,,,,,False
01077,1110,1016.0,,1038.8,,946.0,919.0,,,,,770.1,718.1,,,1251.0,,876.1,,690.4,890.5,,1175.0,871.4,485.9,,1197.0,1111.0,1037.8,,,,,669.9,,,,1158.1,-94.0,,-71.2,,-164.0,-191.0,,,,,-339.9,-391.9,,,141.0,,-233.9,,-419.6,-219.5,,65.0,-238.6,-624.1,,87.0,1.0,-72.2,,,,,-440.1,,,,48.1,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,True,False,False,,True,True,True,,,,,False,,,,True
01079,391,370.0,,370.1,,377.0,372.0,,,,,262.6,222.3,,,478.0,,431.2,,175.7,298.0,,579.0,277.6,42.9,,431.0,387.0,354.6,,,,,,,,,475.1,-21.0,,-20.9,,-14.0,-19.0,,,,,-128.4,-168.7,,,87.0,,40.2,,-215.3,-93.0,,188.0,-113.4,-348.1,,40.0,-4.0,-36.4,,,,,,,,,84.1,,True,,True,True,,,,,False,False,,,False,,False,,False,False,,False,False,False,,False,True,False,,,,,,,,,False
01081,1698,1034.0,,1007.1,,1034.0,771.0,,,,,1189.6,671.1,,1324.0,1261.0,,1371.1,,824.1,948.0,,1670.0,913.2,0.7,,1332.0,1218.0,1358.2,,,,,912.1,785.0,,,305.8,-664.0,,-690.9,,-664.0,-927.0,,,,,-508.4,-1026.9,,-374.0,-437.0,,-326.9,,-873.9,-750.0,,-28.0,-784.8,-1697.3,,-366.0,-480.0,-339.8,,,,,-785.9,-913.0,,,-1392.2,,False,,False,False,,,,,True,False,,True,True,,True,,False,False,,True,False,False,,True,True,True,,,,,False,False,,,False
01083,1069,1112.0,,1024.5,,1058.0,1071.0,,,,,898.3,825.9,,,1112.0,,1390.2,,714.0,1017.0,,1536.0,812.9,344.7,,1417.0,1158.0,987.1,,,,,1035.8,,,,449.9,43.0,,-44.5,,-11.0,2.0,,,,,-170.7,-243.1,,,43.0,,321.2,,-355.0,-52.0,,467.0,-256.1,-724.3,,348.0,89.0,-81.9,,,,,-33.2,,,,-619.1,,False,,True,True,,,,,False,False,,,False,,False,,False,False,,False,False,False,,False,False,False,,,,,True,,,,False
01085,129,46.0,,39.9,,49.0,,,,,,94.5,29.7,,,55.0,,46.4,,36.7,,,71.0,37.0,0.0,,61.0,66.0,80.9,,,,,,,,,54.6,-83.0,,-89.1,,-80.0,,,,,,-34.5,-99.3,,,-74.0,,-82.6,,-92.3,,,-58.0,-92.0,-129.0,,-68.0,-63.0,-48.1,,,,,,,,,-74.4,,False,,True,,,,,,True,False,,,True,,True,,False,,,True,False,False,,True,True,True,,,,,,,,,True
