,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,25308,25479.0,26563.0,,38640.1,20243.0,29833.5,20374.9,22846.0,11604.6,47122.9,23157.9,27981.3,33031.0,,27071.5,29684.9,26578.2,21122.9,38201.9,171.0,1255.0,,13332.1,-5065.0,4525.5,-4933.1,-2462.0,-13703.4,21814.9,-2150.1,2673.3,7723.0,,1763.5,4376.9,1270.2,-4185.1,12893.9,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,266,154.0,168.0,,278.3,63.0,155.6,7.3,,432.5,482.3,160.1,189.3,211.0,,139.1,167.0,,150.2,248.3,-112.0,-98.0,,12.3,-203.0,-110.4,-258.7,,166.5,216.3,-105.9,-76.7,-55.0,,-126.9,-99.0,,-115.8,-17.7,True,,True,False,True,False,,False,False,True,True,True,,False,True,,False,True
Idaho,3523,3797.0,4124.0,,6512.8,2623.0,4669.5,1665.1,4111.0,2122.6,11014.2,4218.5,4289.1,5288.0,,4099.4,4299.6,,4305.7,3503.6,274.0,601.0,,2989.8,-900.0,1146.5,-1857.9,588.0,-1400.4,7491.2,695.5,766.1,1765.0,,576.4,776.6,,782.7,-19.4,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True
Illinois,9337,7691.0,7765.0,,7610.2,485.0,8488.4,11869.4,9203.0,10559.5,7971.9,7309.6,8195.1,9693.0,,8048.9,7866.0,5060.0,9000.5,6974.1,-1646.0,-1572.0,,-1726.8,-8852.0,-848.6,2532.4,-134.0,1222.5,-1365.1,-2027.4,-1141.9,356.0,,-1288.1,-1471.0,-4277.0,-336.5,-2362.9,True,,False,False,True,False,True,True,True,False,True,True,,True,True,False,True,False
Indiana,5866,4575.0,5522.0,,4319.4,2042.0,5538.3,8722.8,4492.0,5201.9,7270.8,5607.7,6128.5,6102.0,,4004.0,5777.5,3625.1,7430.0,3871.6,-1291.0,-344.0,,-1546.6,-3824.0,-327.7,2856.8,-1374.0,-664.1,1404.8,-258.3,262.5,236.0,,-1862.0,-88.5,-2240.9,1564.0,-1994.4,True,,False,False,True,False,False,True,False,True,True,True,,False,True,False,False,False
Iowa,3573,3655.0,3629.0,,4471.5,1831.0,3772.7,3501.8,2866.0,3076.6,4078.7,3591.2,3955.5,4449.0,,2757.4,3312.5,2622.5,3445.2,4350.4,82.0,56.0,,898.5,-1742.0,199.7,-71.2,-707.0,-496.4,505.7,18.2,382.5,876.0,,-815.6,-260.5,-950.5,-127.8,777.4,True,,False,False,False,True,False,False,False,True,False,False,,False,False,False,False,False
Kansas,3316,3006.0,2894.0,,4857.8,1180.0,3080.1,1066.7,3291.0,2190.7,5807.6,2458.3,3142.1,3749.0,,2696.1,2978.1,,2693.5,5673.7,-310.0,-422.0,,1541.8,-2136.0,-235.9,-2249.3,-25.0,-1125.3,2491.6,-857.7,-173.9,433.0,,-619.9,-337.9,,-622.5,2357.7,False,,False,False,True,False,True,False,False,False,True,False,,False,False,,False,False
Kentucky,4580,3063.0,4616.0,,3140.4,2865.0,3582.1,5166.2,3457.0,3256.5,6426.2,5828.3,5203.4,4893.0,,5872.4,4370.2,2498.0,7212.3,1230.0,-1517.0,36.0,,-1439.6,-1715.0,-997.9,586.2,-1123.0,-1323.5,1846.2,1248.3,623.4,313.0,,1292.4,-209.8,-2082.0,2632.3,-3350.0,True,,True,False,True,True,True,True,False,True,True,True,,True,True,False,False,False
Louisiana,15144,11787.0,15489.0,,18867.9,9709.0,12162.8,16955.5,15091.0,7268.7,24178.8,17654.3,16349.5,17272.0,,10134.3,16166.8,,12772.0,8237.7,-3357.0,345.0,,3723.9,-5435.0,-2981.2,1811.5,-53.0,-7875.3,9034.8,2510.3,1205.5,2128.0,,-5009.7,1022.8,,-2372.0,-6906.3,True,,False,False,True,True,True,False,False,True,True,True,,False,True,,True,False
Maine,146,125.0,166.0,,125.5,113.0,129.2,363.8,47.0,289.0,97.7,171.3,199.8,129.0,,146.8,168.4,,112.9,285.0,-21.0,20.0,,-20.5,-33.0,-16.8,217.8,-99.0,143.0,-48.3,25.3,53.8,-17.0,,0.8,22.4,,-33.1,139.0,True,,True,False,True,False,False,False,False,False,False,True,,True,False,,False,False
Maryland,5848,4739.0,5457.0,,2634.0,1275.0,5588.3,8616.1,3706.0,3609.6,5083.5,5344.0,6016.5,6094.0,,4232.0,5728.9,3424.1,6658.8,3856.5,-1109.0,-391.0,,-3214.0,-4573.0,-259.7,2768.1,-2142.0,-2238.4,-764.5,-504.0,168.5,246.0,,-1616.0,-119.1,-2423.9,810.8,-1991.5,True,,False,False,True,False,False,False,True,True,True,True,,False,True,False,True,False
Massachusetts,1736,1840.0,1887.0,,1269.1,240.0,2084.0,13530.8,1572.0,2503.7,1970.8,1726.0,1950.2,2176.0,,1243.4,2030.4,897.7,1986.7,1608.6,104.0,151.0,,-466.9,-1496.0,348.0,11794.8,-164.0,767.7,234.8,-10.0,214.2,440.0,,-492.6,294.4,-838.3,250.7,-127.4,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Michigan,4284,4968.0,5050.0,,5330.2,1907.0,5312.4,11899.1,6192.0,6903.4,8933.0,4420.4,5401.3,6201.0,,3620.3,5411.9,,5850.2,5585.3,684.0,766.0,,1046.2,-2377.0,1028.4,7615.1,1908.0,2619.4,4649.0,136.4,1117.3,1917.0,,-663.7,1127.9,,1566.2,1301.3,False,,False,False,False,False,False,False,False,True,False,False,,True,False,,False,False
Minnesota,4821,3899.0,4204.0,,3743.2,2135.0,3930.2,2163.2,4421.0,3794.5,5936.9,4245.2,4605.7,5030.0,,,4064.5,3234.7,4583.9,1541.5,-922.0,-617.0,,-1077.8,-2686.0,-890.8,-2657.8,-400.0,-1026.5,1115.9,-575.8,-215.3,209.0,,,-756.5,-1586.3,-237.1,-3279.5,True,,False,False,True,False,True,False,False,True,True,True,,,True,False,True,False
Mississippi,9135,6427.0,6487.0,,7449.8,4609.0,6804.5,18864.9,5828.0,4564.6,8766.2,6042.6,7011.3,7642.0,,7804.3,6482.4,5330.3,7226.4,7718.3,-2708.0,-2648.0,,-1685.2,-4526.0,-2330.5,9729.9,-3307.0,-4570.4,-368.8,-3092.4,-2123.7,-1493.0,,-1330.7,-2652.6,-3804.7,-1908.6,-1416.7,True,,True,False,True,False,False,False,True,False,True,True,,True,True,False,True,True
Missouri,8330,5098.0,5874.0,,6045.7,3860.0,6154.9,5644.7,5067.0,4298.3,7632.9,5796.4,6517.9,7039.0,,5516.7,6085.4,,6173.1,3453.2,-3232.0,-2456.0,,-2284.3,-4470.0,-2175.1,-2685.3,-3263.0,-4031.7,-697.1,-2533.6,-1812.1,-1291.0,,-2813.3,-2244.6,,-2156.9,-4876.8,True,,True,False,True,True,False,False,True,True,True,True,,True,True,,True,False
Montana,788,794.0,771.0,,1209.9,544.0,976.7,410.9,905.0,620.0,2457.9,743.4,806.8,1019.0,,887.9,815.6,1141.8,671.1,1021.6,6.0,-17.0,,421.9,-244.0,188.7,-377.1,117.0,-168.0,1669.9,-44.6,18.8,231.0,,99.9,27.6,353.8,-116.9,233.6,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,1914,1483.0,1277.0,,1081.2,260.0,1412.6,216.3,1516.0,1704.1,1117.1,979.3,1328.2,1572.0,,1109.7,1318.7,970.4,1212.0,941.8,-431.0,-637.0,,-832.8,-1654.0,-501.4,-1697.7,-398.0,-209.9,-796.9,-934.7,-585.8,-342.0,,-804.3,-595.3,-943.6,-702.0,-972.2,False,,False,False,False,False,True,True,False,False,False,True,,False,False,False,False,False
Nevada,7339,7639.0,8597.0,,11249.1,5701.0,9088.6,19480.0,7414.0,4062.6,11824.1,8981.0,9187.5,9868.0,,9640.9,8755.6,7922.9,10539.2,9471.8,300.0,1258.0,,3910.1,-1638.0,1749.6,12141.0,75.0,-3276.4,4485.1,1642.0,1848.5,2529.0,,2301.9,1416.6,583.9,3200.2,2132.8,False,,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
New Hampshire,227,164.0,147.0,,91.6,50.0,165.9,683.0,124.0,369.8,69.2,129.6,156.8,150.0,,125.9,136.2,,169.3,87.2,-63.0,-80.0,,-135.4,-177.0,-61.1,456.0,-103.0,142.8,-157.8,-97.4,-70.2,-77.0,,-101.1,-90.8,,-57.7,-139.8,False,,False,False,True,False,False,False,False,False,False,False,,False,False,,True,False
New Jersey,2075,1855.0,1201.0,,1676.0,227.0,1698.5,27486.2,2768.0,3911.8,1064.1,854.1,999.0,1429.0,,2288.7,1096.0,,985.0,2684.1,-220.0,-874.0,,-399.0,-1848.0,-376.5,25411.2,693.0,1836.8,-1010.9,-1220.9,-1076.0,-646.0,,213.7,-979.0,,-1090.0,609.1,False,,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False
New Mexico,2052,1963.0,1958.0,,2161.4,1169.0,2006.3,5213.7,2025.0,2045.1,2366.0,1794.8,2113.9,2249.0,,2111.0,1960.2,1537.2,1865.3,2214.7,-89.0,-94.0,,109.4,-883.0,-45.7,3161.7,-27.0,-6.9,314.0,-257.2,61.9,197.0,,59.0,-91.8,-514.8,-186.7,162.7,False,,False,False,True,False,True,True,False,False,True,False,,True,False,False,False,False
New York,4895,5276.0,4868.0,,4237.2,895.0,5555.5,24252.3,4077.0,10410.1,3217.3,4083.8,5008.7,5376.0,,5829.4,5102.4,,4941.3,6545.1,381.0,-27.0,,-657.8,-4000.0,660.5,19357.3,-818.0,5515.1,-1677.7,-811.2,113.7,481.0,,934.4,207.4,,46.3,1650.1,True,,False,False,False,False,False,False,False,False,True,False,,False,True,,True,False
North Carolina,13633,14186.0,13840.0,,14101.9,15336.0,15050.1,8244.6,15501.0,11709.1,17868.6,12213.8,14705.7,15810.0,,14643.4,14256.3,14550.7,14004.3,10785.0,553.0,207.0,,468.9,1703.0,1417.1,-5388.4,1868.0,-1923.9,4235.6,-1419.2,1072.7,2177.0,,1010.4,623.3,917.7,371.3,-2848.0,True,,True,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
North Dakota,829,664.0,733.0,,651.4,120.0,782.1,1183.4,525.0,567.1,572.7,718.5,817.6,924.0,,513.7,733.9,,928.1,670.3,-165.0,-96.0,,-177.6,-709.0,-46.9,354.4,-304.0,-261.9,-256.3,-110.5,-11.4,95.0,,-315.3,-95.1,,99.1,-158.7,True,,False,False,True,False,False,False,False,True,True,True,,False,True,,True,True
Ohio,9363,9607.0,9478.0,,12081.7,6356.0,11214.7,12491.2,8579.0,8492.7,13092.9,8320.9,10382.1,11932.0,,9677.5,9601.7,7281.3,9969.9,12735.7,244.0,115.0,,2718.7,-3007.0,1851.7,3128.2,-784.0,-870.3,3729.9,-1042.1,1019.1,2569.0,,314.5,238.7,-2081.7,606.9,3372.7,True,,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Oklahoma,5024,5278.0,4438.0,,6596.7,3666.0,6116.5,4087.4,6509.0,4096.5,10312.9,3090.9,4933.1,6497.0,,5657.8,4630.8,,3331.6,4033.7,254.0,-586.0,,1572.7,-1358.0,1092.5,-936.6,1485.0,-927.5,5288.9,-1933.1,-90.9,1473.0,,633.8,-393.2,,-1692.4,-990.3,False,,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False
Oregon,2343,2298.0,2605.0,,2833.2,1991.0,2423.3,2151.4,2513.0,3171.5,4044.2,2694.2,2941.3,2800.0,,2519.9,2587.5,,2933.5,2593.0,-45.0,262.0,,490.2,-352.0,80.3,-191.6,170.0,828.5,1701.2,351.2,598.3,457.0,,176.9,244.5,,590.5,250.0,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Pennsylvania,6335,5564.0,5470.0,,6424.6,1402.0,5991.7,11865.3,4060.0,6154.6,8562.5,4686.8,6001.6,6446.0,,5239.2,5628.7,2863.1,5422.8,6369.6,-771.0,-865.0,,89.6,-4933.0,-343.3,5530.3,-2275.0,-180.4,2227.5,-1648.2,-333.4,111.0,,-1095.8,-706.3,-3471.9,-912.2,34.6,False,,True,False,True,False,False,True,False,False,True,True,,False,True,False,False,True
Rhode Island,431,481.0,351.0,,304.9,50.0,425.3,643.4,1895.0,38.5,202.7,207.2,321.4,498.0,,651.0,395.5,252.7,471.1,143.5,50.0,-80.0,,-126.1,-381.0,-5.7,212.4,1464.0,-392.5,-228.3,-223.8,-109.6,67.0,,220.0,-35.5,-178.3,40.1,-287.5,False,,False,False,True,False,False,False,False,False,False,False,,False,True,False,True,False
South Carolina,12396,12913.0,14260.0,,19053.9,9052.0,11658.7,25026.5,13808.0,9394.3,14184.4,15790.6,14729.0,15081.0,,12608.8,14023.6,,14343.0,15127.5,517.0,1864.0,,6657.9,-3344.0,-737.3,12630.5,1412.0,-3001.7,1788.4,3394.6,2333.0,2685.0,,212.8,1627.6,,1947.0,2731.5,False,,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False
South Dakota,443,408.0,414.0,,362.7,220.0,433.3,970.8,361.0,550.1,379.3,398.9,445.3,427.0,,371.9,405.0,282.7,403.8,522.9,-35.0,-29.0,,-80.3,-223.0,-9.7,527.8,-82.0,107.1,-63.7,-44.1,2.3,-16.0,,-71.1,-38.0,-160.3,-39.2,79.9,True,,False,False,True,False,False,False,False,False,True,True,,False,False,False,False,False
Tennessee,14460,15330.0,15306.0,,18445.9,13726.0,16973.0,12704.4,13172.0,8817.0,24525.4,13150.8,16658.9,19435.0,,17136.4,16189.6,14770.8,15036.8,17891.2,870.0,846.0,,3985.9,-734.0,2513.0,-1755.6,-1288.0,-5643.0,10065.4,-1309.2,2198.9,4975.0,,2676.4,1729.6,310.8,576.8,3431.2,True,,False,True,False,False,False,False,False,False,False,False,,False,False,True,True,False
Texas,63261,72691.0,69828.0,,100799.0,65979.0,83493.4,212370.1,93166.0,43021.6,137641.0,57942.8,77015.6,92158.0,,92421.6,72782.8,83012.9,63479.0,51412.6,9430.0,6567.0,,37538.0,2718.0,20232.4,149109.1,29905.0,-20239.4,74380.0,-5318.2,13754.6,28897.0,,29160.6,9521.8,19751.9,218.0,-11848.4,True,,False,True,False,False,False,False,False,True,False,False,,False,False,False,True,False
Utah,4291,4477.0,4961.0,,5050.9,4638.0,4890.9,9374.2,3736.0,2872.3,6766.7,5240.8,5395.7,5121.0,,5259.6,4771.5,4938.5,4701.1,3084.9,186.0,670.0,,759.9,347.0,599.9,5083.2,-555.0,-1418.7,2475.7,949.8,1104.7,830.0,,968.6,480.5,647.5,410.1,-1206.1,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Vermont,58,55.0,59.0,,40.4,6.0,51.3,3.5,43.0,91.2,67.4,57.9,64.5,58.0,,35.2,58.4,,59.2,34.2,-3.0,1.0,,-17.6,-52.0,-6.7,-54.5,-15.0,33.2,9.4,-0.1,6.5,0.0,,-22.8,0.4,,1.2,-23.8,True,,False,False,False,False,False,False,False,True,False,True,,False,True,,True,False
Virginia,7236,6591.0,7072.0,,4666.6,4501.0,6997.6,15116.6,6525.0,6100.9,10626.1,6684.1,7731.0,8265.0,,6233.3,7283.2,5077.2,8423.3,1804.9,-645.0,-164.0,,-2569.4,-2735.0,-238.4,7880.6,-711.0,-1135.1,3390.1,-551.9,495.0,1029.0,,-1002.7,47.2,-2158.8,1187.3,-5431.1,True,,False,False,True,False,False,False,False,True,True,False,,False,True,False,False,False
Washington,5823,6808.0,6688.0,,6526.7,4108.0,6702.8,8648.6,6397.0,4118.9,8320.7,6225.0,7147.7,7424.0,,6122.5,6570.1,4521.9,7382.1,5626.4,985.0,865.0,,703.7,-1715.0,879.8,2825.6,574.0,-1704.1,2497.7,402.0,1324.7,1601.0,,299.5,747.1,-1301.1,1559.1,-196.6,True,,True,False,True,False,True,False,False,True,False,False,,True,True,False,False,True
West Virginia,881,748.0,753.0,,1335.2,788.0,731.0,183.3,529.0,807.2,1312.6,732.9,863.5,1171.0,,728.9,668.6,,669.7,1170.6,-133.0,-128.0,,454.2,-93.0,-150.0,-697.7,-352.0,-73.8,431.6,-148.1,-17.5,290.0,,-152.1,-212.4,,-211.3,289.6,True,,False,True,False,False,False,True,False,False,True,False,,False,False,,False,False
Wisconsin,6385,5806.0,6185.0,,6495.8,3870.0,6493.6,1516.8,4643.0,5267.1,10542.9,5889.1,6728.3,7645.0,,6648.8,6333.8,4931.9,6570.1,6359.6,-579.0,-200.0,,110.8,-2515.0,108.6,-4868.2,-1742.0,-1117.9,4157.9,-495.9,343.3,1260.0,,263.8,-51.2,-1453.1,185.1,-25.4,True,,True,False,True,False,False,False,False,True,True,False,,True,True,False,True,True
Wyoming,338,269.0,250.0,,345.9,189.0,276.3,7.2,268.0,301.4,458.3,219.5,250.9,287.0,,182.5,259.0,,219.4,195.2,-69.0,-88.0,,7.9,-149.0,-61.7,-330.8,-70.0,-36.6,120.3,-118.5,-87.1,-51.0,,-155.5,-79.0,,-118.6,-142.8,False,,True,False,True,False,False,True,False,False,False,True,,False,False,,False,False
US,465441,465488.0,528883.0,474855.0,590982.2,378450.0,503703.6,814135.3,549956.0,314575.1,,433553.6,784617.4,569441.0,527147.6,479011.3,482613.0,414871.2,445719.5,488682.8,47.0,63442.0,9414.0,125541.2,-86991.0,38262.6,348694.3,84515.0,-150865.9,,-31887.4,319176.4,104000.0,61706.6,13570.3,17172.0,-50569.8,-19721.5,23241.8,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
