,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01069,587,177.0,,312.0,,,,538.0,258.6,176.5,447.9,450.0,,,,,,-410.0,,-275.0,,,,-49.0,-328.4,-410.5,-139.1,-137.0,,,,,,,True,,,,True,True,False,True,True,,,,,
01071,386,222.0,,557.0,,,,138.0,143.4,244.4,413.2,330.0,,,,,,-164.0,,171.0,,,,-248.0,-242.6,-141.6,27.2,-56.0,,,,,,,False,,,,False,False,True,True,True,,,,,
01073,5063,4023.0,,14245.0,,,,4457.0,3052.2,5053.6,6126.2,5436.0,,5763.7,,,,-1040.0,,9182.0,,,,-606.0,-2010.8,-9.4,1063.2,373.0,,700.7,,,,,False,,,,True,False,True,False,True,,True,,,
01075,86,33.0,,0.0,,,,27.0,43.5,23.5,,61.0,,,,,,-53.0,,-86.0,,,,-59.0,-42.5,-62.5,,-25.0,,,,,,,False,,,,False,True,False,,True,,,,,
01077,398,378.0,,665.0,,,,514.0,356.8,256.2,773.7,537.0,,,,,,-20.0,,267.0,,,,116.0,-41.2,-141.8,375.7,139.0,,,,,,,False,,,,False,False,False,False,False,,,,,
01079,145,51.0,,143.0,,,,55.0,77.5,11.5,132.9,90.0,,,,,,-94.0,,-2.0,,,,-90.0,-67.5,-133.5,-12.1,-55.0,,,,,,,True,,,,True,True,False,True,True,,,,,
01081,954,945.0,,1777.0,,,,739.0,433.1,941.6,1340.6,1387.0,,1539.8,,,,-9.0,,823.0,,,,-215.0,-520.9,-12.4,386.6,433.0,,585.8,,,,,False,,,,False,False,False,False,False,,False,,,
01083,533,390.0,,1335.0,,,,371.0,134.6,376.5,865.0,518.0,,,,,,-143.0,,802.0,,,,-162.0,-398.4,-156.5,332.0,-15.0,,,,,,,False,,,,False,False,False,False,True,,,,,
01085,73,93.0,,173.0,,,,58.0,67.6,9.8,11.3,,,,,,,20.0,,100.0,,,,-15.0,-5.4,-63.2,-61.7,,,,,,,,False,,,,True,True,False,False,,,,,,
01087,98,75.0,,108.0,,,,26.0,100.8,37.7,108.8,168.0,,,,,,-23.0,,10.0,,,,-72.0,2.8,-60.3,10.8,70.0,,,,,,,True,,,,False,True,False,True,False,,,,,
01089,2767,1389.0,,7859.0,,,,1322.0,825.9,2418.2,2877.2,1855.0,,2121.7,,,,-1378.0,,5092.0,,,,-1445.0,-1941.1,-348.8,110.2,-912.0,,-645.3,,,,,False,,,,False,False,True,True,True,,True,,,
01091,165,114.0,,314.0,,,,135.0,91.2,42.8,108.1,254.0,,,,,,-51.0,,149.0,,,,-30.0,-73.8,-122.2,-56.9,89.0,,,,,,,False,,,,True,False,False,False,False,,,,,
01093,256,93.0,,203.0,,,,109.0,72.1,54.8,132.6,190.0,,,,,,-163.0,,-53.0,,,,-147.0,-183.9,-201.2,-123.4,-66.0,,,,,,,True,,,,True,False,False,True,True,,,,,
01095,910,939.0,,3108.0,,,,1414.0,426.1,788.3,1094.6,1638.0,,1975.0,,,,29.0,,2198.0,,,,504.0,-483.9,-121.7,184.6,728.0,,1065.0,,,,,False,,,,False,False,False,False,False,,False,,,
01097,3074,1929.0,,3778.0,,,,1739.0,1281.6,1826.0,1867.5,3625.0,,2755.4,,,,-1145.0,,704.0,,,,-1335.0,-1792.4,-1248.0,-1206.5,551.0,,-318.6,,,,,True,,,,False,False,False,False,True,,True,,,
01099,169,141.0,,7.0,,,,116.0,111.9,53.9,171.2,252.0,,,,,,-28.0,,-162.0,,,,-53.0,-57.1,-115.1,2.2,83.0,,,,,,,False,,,,False,False,False,True,False,,,,,
01101,1618,1335.0,,1191.0,,,,1432.0,1551.6,860.9,1661.4,3289.0,,1370.6,,,,-283.0,,-427.0,,,,-186.0,-66.4,-757.1,43.4,1671.0,,-247.4,,,,,False,,,,True,True,False,True,False,,True,,,
01103,853,492.0,,765.0,,,,1035.0,433.3,432.0,953.5,996.0,,,,,,-361.0,,-88.0,,,,182.0,-419.7,-421.0,100.5,143.0,,,,,,,True,,,,True,False,False,True,True,,,,,
01105,227,180.0,,0.0,,,,20.0,69.5,186.5,45.4,204.0,,,,,,-47.0,,-227.0,,,,-207.0,-157.5,-40.5,-181.6,-23.0,,,,,,,False,,,,False,False,True,False,True,,,,,
01107,97,111.0,,190.0,,,,55.0,68.0,83.2,159.5,215.0,,,,,,14.0,,93.0,,,,-42.0,-29.0,-13.8,62.5,118.0,,,,,,,False,,,,False,False,True,False,False,,,,,
01109,173,96.0,,88.0,,,,280.0,152.3,40.3,189.3,331.0,,,,,,-77.0,,-85.0,,,,107.0,-20.7,-132.7,16.3,158.0,,,,,,,False,,,,False,True,False,True,False,,,,,
01111,158,138.0,,14.0,,,,63.0,54.0,96.9,57.4,218.0,,,,,,-20.0,,-144.0,,,,-95.0,-104.0,-61.1,-100.6,60.0,,,,,,,False,,,,False,False,False,False,False,,,,,
01113,513,390.0,,444.0,,,,189.0,239.3,248.9,526.6,561.0,,,,,,-123.0,,-69.0,,,,-324.0,-273.7,-264.1,13.6,48.0,,,,,,,True,,,,False,False,False,True,True,,,,,
01115,638,357.0,,1337.0,,,,234.0,131.9,428.9,601.8,464.0,,,,,,-281.0,,699.0,,,,-404.0,-506.1,-209.1,-36.2,-174.0,,,,,,,False,,,,False,False,True,True,True,,,,,
01117,1453,855.0,,1870.0,,,,1162.0,525.0,979.5,1434.9,1306.0,,1260.6,,,,-598.0,,417.0,,,,-291.0,-928.0,-473.5,-18.1,-147.0,,-192.4,,,,,True,,,,True,False,True,True,True,,True,,,
01119,60,30.0,,0.0,,,,134.0,35.3,4.7,24.4,,,,,,,-30.0,,-60.0,,,,74.0,-24.7,-55.3,-35.6,,,,,,,,False,,,,False,True,False,False,,,,,,
