,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,247,168.0,,343.0,,,,129.0,104.2,173.4,,,220.0,,,,,,,,-79.0,,96.0,,,,-118.0,-142.8,-73.6,,,-27.0,,,,,,,,,False,,,,False,False,True,,,True,,,,,,,
01023,44,34.0,,27.0,,,,54.0,24.9,18.2,,,90.0,,,,,,,,-10.0,,-17.0,,,,10.0,-19.1,-25.8,,,46.0,,,,,,,,,False,,,,False,False,False,,,False,,,,,,,
01025,119,78.0,,99.0,,,,145.0,78.6,55.4,,,145.0,,,,,,,,-41.0,,-20.0,,,,26.0,-40.4,-63.6,,,26.0,,,,,,,,,True,,,,True,True,False,,,True,,,,,,,
01027,63,42.0,,0.0,,,,15.0,23.7,11.3,,,52.0,,,,,,,,-21.0,,-63.0,,,,-48.0,-39.3,-51.7,,,-11.0,,,,,,,,,False,,,,False,False,False,,,True,,,,,,,
01029,53,12.0,,7.0,,,,11.0,12.6,4.9,,,21.0,,,,,,,,-41.0,,-46.0,,,,-42.0,-40.4,-48.1,,,-32.0,,,,,,,,,False,,,,False,True,False,,,True,,,,,,,
01031,194,102.0,81.1,140.0,,,,259.0,163.5,68.0,99.2,,189.0,,,,,,,,-92.0,-112.9,-54.0,,,,65.0,-30.5,-126.0,-94.8,,-5.0,,,,,,,,False,True,,,,True,True,False,False,,True,,,,,,,
01033,371,208.0,127.6,321.0,,,,252.0,169.1,183.2,219.3,,292.0,,,,,,,,-163.0,-243.4,-50.0,,,,-119.0,-201.9,-187.8,-151.7,,-79.0,,,,,,,,False,True,,,,True,False,False,True,,True,,,,,,,
01035,99,52.0,,0.0,,,,65.0,92.2,9.6,,31.4,96.0,,,,,,,,-47.0,,-99.0,,,,-34.0,-6.8,-89.4,,-67.6,-3.0,,,,,,,,,False,,,,True,True,False,,False,True,,,,,,,
01037,17,14.0,,0.0,,,,7.0,14.0,9.2,,,29.0,,,,,,,,-3.0,,-17.0,,,,-10.0,-3.0,-7.8,,,12.0,,,,,,,,,False,,,,False,False,False,,,False,,,,,,,
01039,211,120.0,,157.0,,,,238.0,287.0,64.6,,135.9,185.0,,,,,,,,-91.0,,-54.0,,,,27.0,76.0,-146.4,,-75.1,-26.0,,,,,,,,,True,,,,True,True,False,,True,True,,,,,,,
01041,96,4.0,,3.0,,,,53.0,14.2,2.6,,12.3,,,,,,,,,-92.0,,-93.0,,,,-43.0,-81.8,-93.4,,-83.7,,,,,,,,,,False,,,,True,True,False,,True,,,,,,,,
01043,361,264.0,258.1,536.0,,,,318.0,309.9,268.3,383.1,203.6,387.0,,,,,,,,-97.0,-102.9,175.0,,,,-43.0,-51.1,-92.7,22.1,-157.4,26.0,,,,,,,,False,False,,,,True,True,True,True,False,True,,,,,,,
01045,281,218.0,,437.0,,,,232.0,219.7,226.2,,138.5,272.0,,,,,,,,-63.0,,156.0,,,,-49.0,-61.3,-54.8,,-142.5,-9.0,,,,,,,,,False,,,,True,True,True,,False,True,,,,,,,
01047,191,234.0,,209.0,,,,309.0,177.8,132.6,,97.4,443.0,,,,,,,,43.0,,18.0,,,,118.0,-13.2,-58.4,,-93.6,252.0,,,,,,,,,True,,,,False,True,False,,False,False,,,,,,,
01049,528,468.0,247.6,984.0,,,,420.0,214.9,585.5,517.6,331.5,635.0,,,,,,,,-60.0,-280.4,456.0,,,,-108.0,-313.1,57.5,-10.4,-196.5,107.0,,,,,,,,False,False,,,,False,False,True,True,False,False,,,,,,,
01051,401,252.0,475.5,291.0,,,,402.0,308.3,206.6,298.8,203.0,455.0,,,279.2,,,,,-149.0,74.5,-110.0,,,,1.0,-92.7,-194.4,-102.2,-198.0,54.0,,,-121.8,,,,,True,True,,,,True,True,False,True,False,True,,,True,,,,
01053,330,286.0,,390.0,,,,293.0,211.3,118.9,,114.9,275.0,,,,,,,,-44.0,,60.0,,,,-37.0,-118.7,-211.1,,-215.1,-55.0,,,,,,,,,False,,,,True,False,False,,False,False,,,,,,,
01055,664,448.0,386.3,644.0,,,,655.0,314.8,550.2,667.4,399.7,663.0,,,576.7,,,,,-216.0,-277.7,-20.0,,,,-9.0,-349.2,-113.8,3.4,-264.3,-1.0,,,-87.3,,,,,False,True,,,,True,False,True,True,False,True,,,True,,,,
01057,52,28.0,,0.0,,,,23.0,39.1,14.3,,,45.0,,,,,,,,-24.0,,-52.0,,,,-29.0,-12.9,-37.7,,,-7.0,,,,,,,,,False,,,,False,True,False,,,True,,,,,,,
01059,143,86.0,,81.0,,,,372.0,164.1,42.3,,50.6,,,,,,,,,-57.0,,-62.0,,,,229.0,21.1,-100.7,,-92.4,,,,,,,,,,False,,,,False,True,False,,False,,,,,,,,
01061,87,34.0,,67.0,,,,107.0,48.7,11.8,,,47.0,,,,,,,,-53.0,,-20.0,,,,20.0,-38.3,-75.2,,,-40.0,,,,,,,,,True,,,,True,True,False,,,True,,,,,,,
01063,36,24.0,,29.0,,,,21.0,26.6,7.3,,1.7,,,,,,,,,-12.0,,-7.0,,,,-15.0,-9.4,-28.7,,-34.3,,,,,,,,,,True,,,,False,True,False,,False,,,,,,,,
01065,71,76.0,,104.0,,,,88.0,55.0,44.8,,38.5,155.0,,,,,,,,5.0,,33.0,,,,17.0,-16.0,-26.2,,-32.5,84.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
01067,53,42.0,,43.0,,,,37.0,35.3,16.1,,19.3,71.0,,,,,,,,-11.0,,-10.0,,,,-16.0,-17.7,-36.9,,-33.7,18.0,,,,,,,,,True,,,,False,False,False,,False,False,,,,,,,
01069,474,212.0,212.9,352.0,,,,498.0,309.3,196.5,281.4,199.4,305.0,,,,,,,,-262.0,-261.1,-122.0,,,,24.0,-164.7,-277.5,-192.6,-274.6,-169.0,,,,,,,,True,True,,,,True,True,False,True,False,True,,,,,,,
01071,220,300.0,142.1,583.0,,,,196.0,154.9,405.4,323.4,197.2,397.0,,,,,,,,80.0,-77.9,363.0,,,,-24.0,-65.1,185.4,103.4,-22.8,177.0,,,,,,,,True,False,,,,True,True,False,False,True,False,,,,,,,
01073,3662,2978.0,2492.5,2936.0,,,,4259.0,2485.1,3573.4,3873.8,2922.3,3721.0,,,4752.3,3860.0,,,,-684.0,-1169.5,-726.0,,,,597.0,-1176.9,-88.6,211.8,-739.7,59.0,,,1090.3,198.0,,,,False,False,,,,True,False,True,True,False,True,,,False,True,,,
01075,75,24.0,,0.0,,,,19.0,41.5,14.2,,,41.0,,,,,,,,-51.0,,-75.0,,,,-56.0,-33.5,-60.8,,,-34.0,,,,,,,,,False,,,,False,True,False,,,True,,,,,,,
01077,316,158.0,206.2,204.0,,,,335.0,303.2,149.3,180.1,239.4,277.0,,,,,,,,-158.0,-109.8,-112.0,,,,19.0,-12.8,-166.7,-135.9,-76.6,-39.0,,,,,,,,True,True,,,,True,True,False,True,True,True,,,,,,,
01079,115,36.0,,61.0,,,,41.0,83.7,45.9,,40.6,68.0,,,,,,,,-79.0,,-54.0,,,,-74.0,-31.3,-69.1,,-74.4,-47.0,,,,,,,,,True,,,,True,True,True,,True,True,,,,,,,
01081,648,426.0,405.3,364.0,,,,686.0,270.4,370.5,471.5,532.8,707.0,,,349.5,400.0,,,,-222.0,-242.7,-284.0,,,,38.0,-377.6,-277.5,-176.5,-115.2,59.0,,,-298.5,-248.0,,,,False,False,,,,True,False,False,True,True,True,,,False,False,,,
01083,379,282.0,274.7,478.0,,,,366.0,257.6,278.4,277.2,311.0,389.0,,,,,,,,-97.0,-104.3,99.0,,,,-13.0,-121.4,-100.6,-101.8,-68.0,10.0,,,,,,,,False,False,,,,True,False,False,False,True,True,,,,,,,
01085,49,28.0,,21.0,,,,49.0,34.5,1.7,,2.4,,,,,,,,,-21.0,,-28.0,,,,0.0,-14.5,-47.3,,-46.6,,,,,,,,,,False,,,,True,True,False,,False,,,,,,,,
01087,69,60.0,,61.0,,,,29.0,72.0,14.2,,45.0,88.0,,,,,,,,-9.0,,-8.0,,,,-40.0,3.0,-54.8,,-24.0,19.0,,,,,,,,,True,,,,False,True,False,,False,False,,,,,,,
01089,2023,1520.0,1088.8,3149.0,,,,1406.0,797.3,2590.4,1921.8,1531.5,1922.0,,,2161.3,3025.0,,,,-503.0,-934.2,1126.0,,,,-617.0,-1225.7,567.4,-101.2,-491.5,-101.0,,,138.3,1002.0,,,,False,False,,,,False,False,False,True,True,True,,,True,False,,,
01091,121,100.0,,135.0,,,,137.0,58.1,45.8,,44.8,162.0,,,,,,,,-21.0,,14.0,,,,16.0,-62.9,-75.2,,-76.2,41.0,,,,,,,,,True,,,,True,False,False,,False,False,,,,,,,
01093,188,112.0,,180.0,,,,79.0,77.5,121.3,,60.3,157.0,,,,,,,,-76.0,,-8.0,,,,-109.0,-110.5,-66.7,,-127.7,-31.0,,,,,,,,,True,,,,False,False,True,,False,True,,,,,,,
01095,695,448.0,558.8,312.0,,,,1030.0,400.4,445.0,572.3,399.7,898.0,,,486.6,,,,,-247.0,-136.2,-383.0,,,,335.0,-294.6,-250.0,-122.7,-295.3,203.0,,,-208.4,,,,,True,False,,,,False,False,False,True,False,True,,,True,,,,
01097,2343,1496.0,571.0,2690.0,,,,2278.0,790.8,1871.6,2106.5,846.3,2438.0,,,1931.9,2641.0,,,,-847.0,-1772.0,347.0,,,,-65.0,-1552.2,-471.4,-236.5,-1496.7,95.0,,,-411.1,298.0,,,,False,True,,,,True,False,True,True,False,True,,,True,True,,,
01099,97,42.0,,0.0,,,,104.0,94.1,11.4,,62.7,100.0,,,,,,,,-55.0,,-97.0,,,,7.0,-2.9,-85.6,,-34.3,3.0,,,,,,,,,False,,,,True,True,False,,True,True,,,,,,,
01101,1174,818.0,978.5,616.0,,,,1724.0,721.3,494.6,971.4,565.4,1767.0,,,691.5,668.0,,,,-356.0,-195.5,-558.0,,,,550.0,-452.7,-679.4,-202.6,-608.6,593.0,,,-482.5,-506.0,,,,True,False,,,,False,False,False,True,False,False,,,False,False,,,
01103,645,396.0,559.5,539.0,,,,783.0,324.0,437.5,536.0,334.8,650.0,,,,,,,,-249.0,-85.5,-106.0,,,,138.0,-321.0,-207.5,-109.0,-310.2,5.0,,,,,,,,True,True,,,,True,False,True,True,False,True,,,,,,,
01105,141,132.0,,0.0,,,,20.0,91.5,146.0,,22.5,178.0,,,,,,,,-9.0,,-141.0,,,,-121.0,-49.5,5.0,,-118.5,37.0,,,,,,,,,False,,,,False,False,True,,False,False,,,,,,,
01107,61,84.0,,124.0,,,,53.0,44.8,60.6,,65.7,132.0,,,,,,,,23.0,,63.0,,,,-8.0,-16.2,-0.4,,4.7,71.0,,,,,,,,,False,,,,True,True,True,,True,False,,,,,,,
01109,112,104.0,,104.0,,,,332.0,81.5,22.4,,64.3,192.0,,,,,,,,-8.0,,-8.0,,,,220.0,-30.5,-89.6,,-47.7,80.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
01111,99,116.0,,274.0,,,,69.0,54.3,78.3,,46.1,156.0,,,,,,,,17.0,,175.0,,,,-30.0,-44.7,-20.7,,-52.9,57.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
01113,356,260.0,236.6,350.0,,,,204.0,178.9,223.6,198.2,204.5,374.0,,,,,,,,-96.0,-119.4,-6.0,,,,-152.0,-177.1,-132.4,-157.8,-151.5,18.0,,,,,,,,False,True,,,,False,False,False,False,False,True,,,,,,,
01115,445,294.0,153.5,591.0,,,,212.0,187.4,368.5,356.6,301.2,360.0,,,,,,,,-151.0,-291.5,146.0,,,,-233.0,-257.6,-76.5,-88.4,-143.8,-85.0,,,,,,,,False,True,,,,False,False,True,True,True,True,,,,,,,
01117,953,830.0,478.6,1484.0,,,,973.0,357.7,913.2,939.5,711.0,1008.0,,,916.0,1184.0,,,,-123.0,-474.4,531.0,,,,20.0,-595.3,-39.8,-13.5,-242.0,55.0,,,-37.0,231.0,,,,False,False,,,,True,False,True,True,False,True,,,True,False,,,
01119,48,14.0,,14.0,,,,52.0,19.1,1.8,,5.8,,,,,,,,,-34.0,,-34.0,,,,4.0,-28.9,-46.2,,-42.2,,,,,,,,,,False,,,,True,True,False,,False,,,,,,,,
01121,313,172.0,143.2,347.0,,,,198.0,201.0,171.7,216.4,180.4,237.0,,,210.9,,,,,-141.0,-169.8,34.0,,,,-115.0,-112.0,-141.3,-96.6,-132.6,-76.0,,,-102.1,,,,,False,True,,,,True,True,False,True,True,True,,,True,,,,
01123,126,80.0,,90.0,,,,182.0,55.3,28.4,,47.6,,,,,,,,,-46.0,,-36.0,,,,56.0,-70.7,-97.6,,-78.4,,,,,,,,,,True,,,,False,False,False,,False,,,,,,,,
01125,874,812.0,1042.1,993.0,,,,1485.0,943.4,737.2,769.9,589.4,1265.0,,,816.3,880.0,,,,-62.0,168.1,119.0,,,,611.0,69.4,-136.8,-104.1,-284.6,391.0,,,-57.7,6.0,,,,False,False,,,,False,False,False,False,False,False,,,True,True,,,
01127,295,294.0,237.0,251.0,,,,507.0,468.3,115.0,191.0,191.8,435.0,,,336.3,,,,,-1.0,-58.0,-44.0,,,,212.0,173.3,-180.0,-104.0,-103.2,140.0,,,41.3,,,,,False,False,,,,False,False,False,False,False,False,,,False,,,,
01129,128,72.0,,42.0,,,,69.0,38.0,36.7,,20.3,98.0,,,,,,,,-56.0,,-86.0,,,,-59.0,-90.0,-91.3,,-107.7,-30.0,,,,,,,,,False,,,,False,False,False,,False,True,,,,,,,
01131,77,26.0,,0.0,,,,34.0,31.3,6.1,,21.2,,,,,,,,,-51.0,,-77.0,,,,-43.0,-45.7,-70.9,,-55.8,,,,,,,,,,False,,,,True,True,False,,False,,,,,,,,
01133,82,84.0,,84.0,,,,95.0,136.2,50.3,,78.1,137.0,,,,,,,,2.0,,2.0,,,,13.0,54.2,-31.7,,-3.9,55.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
02013,1,0.0,,0.0,,,,,0.0,,,,,,,,,,,,-1.0,,-1.0,,,,,-1.0,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,
02016,80,2.0,,0.0,,,,,0.0,,,,,,,,,,,,-78.0,,-80.0,,,,,-80.0,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,
02020,563,292.0,173.8,598.0,,,,,216.1,282.2,437.6,333.1,442.0,,,347.3,585.0,,,,-271.0,-389.2,35.0,,,,,-346.9,-280.8,-125.4,-229.9,-121.0,,,-215.7,22.0,,,,False,True,,,,,False,False,True,True,True,,,True,True,,,
02050,5,4.0,,0.0,,,,,0.9,1.3,,,,,,,,,,,-1.0,,-5.0,,,,,-4.1,-3.7,,,,,,,,,,,,False,,,,,False,False,,,,,,,,,,
02060,0,6.0,,0.0,,,,,0.0,0.2,,,,,,,,,,,6.0,,0.0,,,,,0.0,0.2,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,
02068,3,0.0,,0.0,,,,,0.0,,,,,,,,,,,,-3.0,,-3.0,,,,,-3.0,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,
02070,0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
02090,145,120.0,21.3,0.0,,,,,63.7,231.6,269.6,56.1,194.0,,,,,,,,-25.0,-123.7,-145.0,,,,,-81.3,86.6,124.6,-88.9,49.0,,,,,,,,False,False,,,,,False,False,False,False,False,,,,,,,
02100,2,0.0,,0.0,,,,,0.8,,,,,,,,,,,,-2.0,,-2.0,,,,,-1.2,,,,,,,,,,,,,False,,,,,True,,,,,,,,,,,
02105,0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
02110,59,6.0,,0.0,,,,,12.0,8.9,,,,,,,,,,,-53.0,,-59.0,,,,,-47.0,-50.1,,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,
02122,142,62.0,92.4,0.0,,,,,109.1,38.1,94.6,67.8,116.0,,,,,,,,-80.0,-49.6,-142.0,,,,,-32.9,-103.9,-47.4,-74.2,-26.0,,,,,,,,True,False,,,,,True,False,True,True,True,,,,,,,
02130,11,2.0,,0.0,,,,,0.8,2.3,,,,,,,,,,,-9.0,,-11.0,,,,,-10.2,-8.7,,,,,,,,,,,,False,,,,,False,True,,,,,,,,,,
02150,4,0.0,,0.0,,,,,2.9,0.2,,,,,,,,,,,-4.0,,-4.0,,,,,-1.1,-3.8,,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,
02158,1,2.0,,0.0,,,,,,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
02164,7,0.0,,0.0,,,,,0.0,,,,,,,,,,,,-7.0,,-7.0,,,,,-7.0,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,
02170,93,40.0,57.1,0.0,,,,,116.2,49.0,93.4,59.1,,,,,,,,,-53.0,-35.9,-93.0,,,,,23.2,-44.0,0.4,-33.9,,,,,,,,,True,False,,,,,True,True,True,True,,,,,,,,
02180,5,6.0,,0.0,,,,,0.6,1.1,,,,,,,,,,,1.0,,-5.0,,,,,-4.4,-3.9,,,,,,,,,,,,False,,,,,False,False,,,,,,,,,,
02185,5,0.0,,0.0,,,,,2.8,0.2,,,,,,,,,,,-5.0,,-5.0,,,,,-2.2,-4.8,,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,
02188,8,2.0,,0.0,,,,,0.6,0.3,,,,,,,,,,,-6.0,,-8.0,,,,,-7.4,-7.7,,,,,,,,,,,,False,,,,,False,False,,,,,,,,,,
02195,1,2.0,,0.0,,,,,0.6,0.3,,,,,,,,,,,1.0,,-1.0,,,,,-0.4,-0.7,,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,
02198,0,0.0,,0.0,,,,,1.7,0.1,,,,,,,,,,,0.0,,0.0,,,,,1.7,0.1,,,,,,,,,,,,True,,,,,False,False,,,,,,,,,,
02220,8,0.0,,0.0,,,,,1.1,1.0,,,4.0,,,,,,,,-8.0,,-8.0,,,,,-6.9,-7.0,,,-4.0,,,,,,,,,False,,,,,True,True,,,True,,,,,,,
02230,0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
02240,3,0.0,,0.0,,,,,0.3,0.6,,,,,,,,,,,-3.0,,-3.0,,,,,-2.7,-2.4,,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,
02261,51,4.0,,0.0,,,,,0.0,0.6,,,,,,,,,,,-47.0,,-51.0,,,,,-51.0,-50.4,,,,,,,,,,,,False,,,,,False,False,,,,,,,,,,
02275,1,0.0,,0.0,,,,,0.8,,,,,,,,,,,,-1.0,,-1.0,,,,,-0.2,,,,,,,,,,,,,False,,,,,True,,,,,,,,,,,
02282,2,0.0,,0.0,,,,,0.0,,,,,,,,,,,,-2.0,,-2.0,,,,,-2.0,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,
02290,35,6.0,,0.0,,,,,3.6,1.3,,,,,,,,,,,-29.0,,-35.0,,,,,-31.4,-33.7,,,,,,,,,,,,False,,,,,False,False,,,,,,,,,,
04001,358,256.0,631.8,265.0,,,,348.0,182.8,128.6,290.1,63.4,,,,333.6,,,,,-102.0,273.8,-93.0,,,,-10.0,-175.2,-229.4,-67.9,-294.6,,,,-24.4,,,,,False,True,,,,True,False,False,True,False,,,,True,,,,
04003,343,560.0,380.4,728.0,,,,404.0,974.5,352.6,478.0,383.2,591.0,,,,,,,,217.0,37.4,385.0,,,,61.0,631.5,9.6,135.0,40.2,248.0,,,,,,,,True,False,,,,True,False,True,True,True,False,,,,,,,
04005,431,640.0,529.1,962.0,,,,1095.0,255.5,442.7,621.0,312.2,1003.0,,,631.7,832.0,,,,209.0,98.1,531.0,,,,664.0,-175.5,11.7,190.0,-118.8,572.0,,,200.7,401.0,,,,True,False,,,,False,True,True,True,True,False,,,True,False,,,
04007,247,208.0,128.6,0.0,,,,160.0,379.6,187.0,161.6,128.4,260.0,,,,,,,,-39.0,-118.4,-247.0,,,,-87.0,132.6,-60.0,-85.4,-118.6,13.0,,,,,,,,False,False,,,,False,False,False,False,False,True,,,,,,,
04009,161,148.0,,0.0,,,,67.0,61.6,47.4,,73.8,136.0,,,,,,,,-13.0,,-161.0,,,,-94.0,-99.4,-113.6,,-87.2,-25.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
04011,11,28.0,,0.0,,,,36.0,15.0,3.1,,,,,,,,,,,17.0,,-11.0,,,,25.0,4.0,-7.9,,,,,,,,,,,,True,,,,False,True,True,,,,,,,,,,
04012,64,82.0,,0.0,,,,175.0,118.1,26.7,,44.7,152.0,,,,,,,,18.0,,-64.0,,,,111.0,54.1,-37.3,,-19.3,88.0,,,,,,,,,False,,,,False,False,False,,False,False,,,,,,,
04013,28810,37304.0,54436.9,37986.0,,,,47013.0,12488.2,31132.1,36970.2,30774.2,42536.0,,,34476.7,37239.0,,,,8494.0,25626.9,9176.0,,,,18203.0,-16321.8,2322.1,8160.2,1964.2,13726.0,,,5666.7,8429.0,,,,False,False,,,,False,False,True,True,True,False,,,True,True,,,
04015,922,802.0,858.0,1515.0,,,,1005.0,796.1,905.1,1004.5,687.1,1060.0,,,1138.7,917.0,,,,-120.0,-64.0,593.0,,,,83.0,-125.9,-16.9,82.5,-234.9,138.0,,,216.7,-5.0,,,,True,False,,,,True,False,True,True,False,False,,,False,True,,,
04017,770,862.0,1204.5,736.0,,,,802.0,240.3,621.9,876.1,504.6,1714.0,,,947.0,,,,,92.0,434.5,-34.0,,,,32.0,-529.7,-148.1,106.1,-265.4,944.0,,,177.0,,,,,False,True,,,,True,False,False,False,False,False,,,False,,,,
04019,3357,4260.0,6759.1,4606.0,,,,5147.0,3078.4,3741.6,4967.3,3538.3,5600.0,,,4552.1,4322.0,,,,903.0,3402.1,1249.0,,,,1790.0,-278.6,384.6,1610.3,181.3,2243.0,,,1195.1,965.0,,,,False,False,,,,False,True,True,False,True,False,,,False,False,,,
