,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,71869,55002.0,,60508.7,129811.6,42528.0,21306.9,46484.0,25406.2,40040.1,93403.0,4881.6,53441.8,,39020.5,102560.6,-16867.0,,-11360.3,57942.6,-29341.0,-50562.1,-25385.0,-46462.8,-31828.9,21534.0,-66987.4,-18427.2,,-32848.5,30691.6,,True,False,False,False,False,False,False,False,False,False,,False,False
Hawaii,621,381.0,,549.0,601.5,86.0,170.5,,297.6,354.4,463.0,35.0,441.2,,12.6,633.5,-240.0,,-72.0,-19.5,-535.0,-450.5,,-323.4,-266.6,-158.0,-586.0,-179.8,,-608.4,12.5,,True,True,False,False,,False,False,True,False,True,,False,True
Idaho,10456,6144.0,,10128.4,6956.2,4466.0,2310.6,15201.0,3023.3,7308.6,12170.0,834.4,9012.2,,14258.4,10026.2,-4312.0,,-327.6,-3499.8,-5990.0,-8145.4,4745.0,-7432.7,-3147.4,1714.0,-9621.6,-1443.8,,3802.4,-429.8,,True,True,False,False,False,False,True,True,False,True,,True,True
Illinois,24510,16605.0,,7021.1,13867.2,2749.0,5923.3,26549.0,44362.6,10919.3,23449.0,1859.7,13869.3,,3059.9,20962.1,-7905.0,,-17488.9,-10642.8,-21761.0,-18586.7,2039.0,19852.6,-13590.7,-1061.0,-22650.3,-10640.7,,-21450.1,-3547.9,,False,False,False,False,True,False,False,True,False,False,,False,True
Indiana,14088,8571.0,,7614.5,7577.7,4551.0,3236.1,6208.0,17287.8,8813.1,12156.0,819.4,8626.8,,3710.4,11443.5,-5517.0,,-6473.5,-6510.3,-9537.0,-10851.9,-7880.0,3199.8,-5274.9,-1932.0,-13268.6,-5461.2,,-10377.6,-2644.5,,False,False,False,False,False,True,True,True,False,True,,False,True
Iowa,10825,8964.0,,8619.0,8178.3,3462.0,3291.1,5239.0,6010.3,7355.7,14044.0,902.2,9890.8,,3774.5,12625.8,-1861.0,,-2206.0,-2646.7,-7363.0,-7533.9,-5586.0,-4814.7,-3469.3,3219.0,-9922.8,-934.2,,-7050.5,1800.8,,False,False,False,False,False,False,False,False,False,True,,False,True
Kansas,9098,6882.0,,7575.9,7923.0,2334.0,2686.9,8324.0,6761.0,4750.8,12995.0,273.3,6065.3,,1958.7,14117.4,-2216.0,,-1522.1,-1175.0,-6764.0,-6411.1,-774.0,-2337.0,-4347.2,3897.0,-8824.7,-3032.7,,-7139.3,5019.4,,True,True,False,False,True,False,False,False,False,False,,False,False
Kentucky,10388,3627.0,,4226.3,4082.6,3774.0,1114.2,5022.0,11862.0,1725.5,4048.0,415.4,4414.3,,3186.9,4109.5,-6761.0,,-6161.7,-6305.4,-6614.0,-9273.8,-5366.0,1474.0,-8662.5,-6340.0,-9972.6,-5973.7,,-7201.1,-6278.5,,True,True,True,False,True,True,False,True,False,True,,False,True
Louisiana,40445,25560.0,,25703.0,25015.9,14349.0,7581.5,36093.0,21585.2,24891.4,38492.0,1407.6,31519.4,,6500.1,28520.9,-14885.0,,-14742.0,-15429.1,-26096.0,-32863.5,-4352.0,-18859.8,-15553.6,-1953.0,-39037.4,-8925.6,,-33944.9,-11924.1,,True,False,False,False,True,False,False,True,False,True,,False,True
Maine,393,729.0,,478.9,707.5,469.0,247.9,591.0,1572.1,471.1,910.0,92.4,790.8,,478.7,873.9,336.0,,85.9,314.5,76.0,-145.1,198.0,1179.1,78.1,517.0,-300.6,397.8,,85.7,480.9,,True,True,True,True,True,False,True,False,True,False,,True,False
Maryland,13713,8673.0,,4493.4,6548.9,2868.0,2915.7,6018.0,20572.4,5445.1,8486.0,955.5,6470.3,,3570.8,11403.1,-5040.0,,-9219.6,-7164.1,-10845.0,-10797.3,-7695.0,6859.4,-8267.9,-5227.0,-12757.5,-7242.7,,-10142.2,-2309.9,,False,False,False,False,False,False,False,False,False,False,,False,True
Massachusetts,5430,4185.0,,2216.1,2846.9,1028.0,1471.2,3540.0,13418.0,2870.5,4236.0,493.0,2755.7,,697.5,5026.6,-1245.0,,-3213.9,-2583.1,-4402.0,-3958.8,-1890.0,7988.0,-2559.5,-1194.0,-4937.0,-2674.3,,-4732.5,-403.4,,False,False,False,False,False,False,False,True,False,False,,False,True
Michigan,13041,8706.0,,5881.6,8193.9,4451.0,3514.1,9751.0,28411.8,5695.2,14889.0,575.8,8409.9,,1982.7,14774.8,-4335.0,,-7159.4,-4847.1,-8590.0,-9526.9,-3290.0,15370.8,-7345.8,1848.0,-12465.2,-4631.1,,-11058.3,1733.8,,False,False,False,False,True,False,False,True,False,False,,False,True
Minnesota,12667,7773.0,,5541.3,6614.8,4663.0,1930.3,9498.0,19725.4,5142.9,6722.0,685.1,8157.0,,2168.7,5842.7,-4894.0,,-7125.7,-6052.2,-8004.0,-10736.7,-3169.0,7058.4,-7524.1,-5945.0,-11981.9,-4510.0,,-10498.3,-6824.3,,False,False,False,False,True,False,False,False,False,True,,False,False
Mississippi,20307,15429.0,,15348.4,14816.2,12760.0,6213.3,16216.0,8398.2,8735.1,27411.0,1651.5,19483.3,,9633.9,23787.9,-4878.0,,-4958.6,-5490.8,-7547.0,-14093.7,-4091.0,-11908.8,-11571.9,7104.0,-18655.5,-823.7,,-10673.1,3480.9,,False,False,False,False,True,False,False,False,False,True,,False,True
Missouri,17451,9033.0,,11653.7,21031.8,7170.0,3189.8,11083.0,10534.5,7080.2,16922.0,488.7,10455.3,,5771.8,10714.8,-8418.0,,-5797.3,3580.8,-10281.0,-14261.2,-6368.0,-6916.5,-10370.8,-529.0,-16962.3,-6995.7,,-11679.2,-6736.2,,True,True,False,False,True,True,False,True,False,True,,False,True
Montana,2092,945.0,,1531.1,1963.3,452.0,371.3,336.0,1077.3,976.3,1748.0,85.0,1006.3,,1828.4,2335.1,-1147.0,,-560.9,-128.7,-1640.0,-1720.7,-1756.0,-1014.7,-1115.7,-344.0,-2007.0,-1085.7,,-263.6,243.1,,True,True,False,False,False,True,True,True,False,True,,True,True
Nebraska,4568,3156.0,,2263.6,2610.0,1261.0,1150.8,3032.0,5101.8,2058.6,3443.0,381.1,1916.0,,688.4,3197.7,-1412.0,,-2304.4,-1958.0,-3307.0,-3417.2,-1536.0,533.8,-2509.4,-1125.0,-4186.9,-2652.0,,-3879.6,-1370.3,,False,False,False,False,False,True,False,True,False,False,,False,True
Nevada,20241,15708.0,,25584.4,17477.6,14709.0,5648.6,14161.0,12642.9,16087.3,28391.0,1413.6,15848.9,,22519.6,26470.2,-4533.0,,5343.4,-2763.4,-5532.0,-14592.4,-6080.0,-7598.1,-4153.7,8150.0,-18827.4,-4392.1,,2278.6,6229.2,,False,True,False,False,False,False,True,False,False,True,,True,False
New Hampshire,543,465.0,,311.5,337.2,225.0,171.6,317.0,2886.0,278.6,356.0,96.3,371.7,,330.8,347.4,-78.0,,-231.5,-205.8,-318.0,-371.4,-226.0,2343.0,-264.4,-187.0,-446.7,-171.3,,-212.2,-195.6,,False,False,False,False,False,False,False,False,False,False,,False,False
New Jersey,5825,6480.0,,4476.8,5506.5,863.0,2285.5,8687.0,31178.1,4509.9,6836.0,628.2,8640.8,,254.8,8102.8,655.0,,-1348.2,-318.5,-4962.0,-3539.5,2862.0,25353.1,-1315.1,1011.0,-5196.8,2815.8,,-5570.2,2277.8,,False,True,False,False,False,False,False,False,False,False,,False,False
New Mexico,5725,4332.0,,3390.8,4051.6,2915.0,1768.8,4082.0,6506.4,3461.6,7966.0,418.1,5408.0,,2631.0,6285.9,-1393.0,,-2334.2,-1673.4,-2810.0,-3956.2,-1643.0,781.4,-2263.4,2241.0,-5306.9,-317.0,,-3094.0,560.9,,False,False,False,False,False,True,False,False,False,True,,False,True
New York,14602,14025.0,,11447.8,11524.0,6109.0,5145.7,10852.0,49796.5,9506.8,16187.0,1040.2,11596.4,,367.4,19196.2,-577.0,,-3154.2,-3078.0,-8493.0,-9456.3,-3750.0,35194.5,-5095.2,1585.0,-13561.8,-3005.6,,-14234.6,4594.2,,False,False,False,False,False,False,False,False,False,False,,False,False
North Carolina,39751,32574.0,,34087.2,37784.4,41277.0,11534.9,51211.0,36349.3,21970.0,39460.0,4478.8,29999.5,,33532.8,34907.1,-7177.0,,-5663.8,-1966.6,1526.0,-28216.1,11460.0,-3401.7,-17781.0,-291.0,-35272.2,-9751.5,,-6218.2,-4843.9,,True,True,True,False,False,True,False,True,False,False,,True,True
North Dakota,1957,963.0,,622.7,862.9,557.0,409.0,486.0,1111.5,702.3,1669.0,93.2,548.3,,346.2,1734.4,-994.0,,-1334.3,-1094.1,-1400.0,-1548.0,-1471.0,-845.5,-1254.7,-288.0,-1863.8,-1408.7,,-1610.8,-222.6,,False,False,False,False,False,True,False,True,False,False,,False,True
Ohio,27001,20184.0,,21582.7,19198.4,34285.0,7631.2,17424.0,46139.9,16262.0,38000.0,1932.6,28844.0,,11479.3,34121.5,-6817.0,,-5418.3,-7802.6,7284.0,-19369.8,-9577.0,19138.9,-10739.0,10999.0,-25068.4,1843.0,,-15521.7,7120.5,,True,False,False,False,False,False,False,False,False,True,,False,False
Oklahoma,14433,9006.0,,14644.5,17961.2,6956.0,3509.7,13697.0,4448.5,6691.1,17453.0,1097.6,11024.2,,10407.8,11798.9,-5427.0,,211.5,3528.2,-7477.0,-10923.3,-736.0,-9984.5,-7741.9,3020.0,-13335.4,-3408.8,,-4025.2,-2634.1,,True,True,False,False,True,False,False,True,False,True,,True,True
Oregon,6562,5508.0,,7054.1,7121.2,4446.0,2335.8,7331.0,9251.7,5646.2,10898.0,762.0,6986.1,,6763.7,7411.0,-1054.0,,492.1,559.2,-2116.0,-4226.2,769.0,2689.7,-915.8,4336.0,-5800.0,424.1,,201.7,849.0,,True,True,False,False,True,False,True,False,False,True,,True,True
Pennsylvania,17193,13428.0,,11061.7,11911.6,6886.0,4871.0,15432.0,27802.3,8495.2,21953.0,1513.3,16121.3,,4476.2,18524.1,-3765.0,,-6131.3,-5281.4,-10307.0,-12322.0,-1761.0,10609.3,-8697.8,4760.0,-15679.7,-1071.7,,-12716.8,1331.1,,False,False,False,False,True,False,False,False,False,True,,False,True
Rhode Island,1233,990.0,,602.0,686.8,412.0,303.3,958.0,786.7,470.0,681.0,138.0,630.9,,95.5,589.0,-243.0,,-631.0,-546.2,-821.0,-929.7,-275.0,-446.3,-763.0,-552.0,-1095.0,-602.1,,-1137.5,-644.0,,False,False,False,False,False,False,False,False,False,False,,False,False
South Carolina,36622,34341.0,,47298.7,54833.5,25544.0,14487.5,44610.0,16863.8,27926.6,61101.0,3259.6,32042.4,,41551.4,46627.4,-2281.0,,10676.7,18211.5,-11078.0,-22134.5,7988.0,-19758.2,-8695.4,24479.0,-33362.4,-4579.6,,4929.4,10005.4,,False,False,False,False,False,False,False,False,False,False,,False,False
South Dakota,1277,1206.0,,1193.7,1093.9,782.0,425.7,1941.0,1738.7,829.8,1285.0,174.1,973.6,,430.2,1579.9,-71.0,,-83.3,-183.1,-495.0,-851.3,664.0,461.7,-447.2,8.0,-1102.9,-303.4,,-846.8,302.9,,False,False,False,False,False,False,False,True,False,False,,False,False
Tennessee,40656,29904.0,,29594.4,34369.1,34298.0,9572.9,24742.0,16973.2,21881.4,54731.0,2472.8,27702.0,,22424.6,51823.7,-10752.0,,-11061.6,-6286.9,-6358.0,-31083.1,-15914.0,-23682.8,-18774.6,14075.0,-38183.2,-12954.0,,-18231.4,11167.7,,False,True,True,False,False,False,False,False,False,False,,False,False
Texas,196328,138777.0,,204177.5,375144.7,140262.0,52932.5,284847.0,91074.7,52866.5,260566.0,10623.3,125643.5,,171568.7,168890.7,-57551.0,,7849.5,178816.7,-56066.0,-143395.5,88519.0,-105253.3,-143461.5,64238.0,-185704.7,-70684.5,,-24759.3,-27437.3,,True,False,True,False,False,False,False,False,False,False,,True,True
Utah,13081,11742.0,,15004.4,15326.9,13294.0,4201.6,19160.0,8904.1,8179.7,16694.0,1485.7,10865.8,,12204.8,11027.6,-1339.0,,1923.4,2245.9,213.0,-8879.4,6079.0,-4176.9,-4901.3,3613.0,-11595.3,-2215.2,,-876.2,-2053.4,,False,False,True,False,False,False,False,False,False,False,,True,False
Vermont,158,114.0,,87.6,112.4,25.0,44.2,97.0,405.8,107.8,89.0,11.8,147.4,,0.2,116.2,-44.0,,-70.4,-45.6,-133.0,-113.8,-61.0,247.8,-50.2,-69.0,-146.2,-10.6,,-157.8,-41.8,,False,False,False,False,False,False,False,False,False,True,,False,True
Virginia,18500,11586.0,,6829.2,10374.1,6557.0,4194.0,13640.0,25840.0,8725.2,11987.0,1608.4,12882.8,,5571.7,8349.6,-6914.0,,-11670.8,-8125.9,-11943.0,-14306.0,-4860.0,7340.0,-9774.8,-6513.0,-16891.6,-5617.2,,-12928.3,-10150.4,,False,False,False,False,True,False,False,True,False,True,,False,False
Washington,16602,11529.0,,13527.8,11367.5,8049.0,4190.4,20279.0,13832.1,9449.1,18821.0,987.5,12729.9,,6236.6,16183.3,-5073.0,,-3074.2,-5234.5,-8553.0,-12411.6,3677.0,-2769.9,-7152.9,2219.0,-15614.5,-3872.1,,-10365.4,-418.7,,True,False,False,False,True,True,False,True,False,True,,False,True
West Virginia,2570,1269.0,,1295.0,4275.1,1139.0,552.3,1083.0,2187.5,1172.7,2496.0,91.1,1618.2,,862.7,2803.9,-1301.0,,-1275.0,1705.1,-1431.0,-2017.7,-1487.0,-382.5,-1397.3,-74.0,-2478.9,-951.8,,-1707.3,233.9,,True,False,False,False,False,True,False,True,False,True,,False,True
Wisconsin,16815,11307.0,,8070.9,11428.0,6965.0,4441.8,9198.0,14098.2,9096.5,21478.0,1265.9,14019.6,,8291.6,17766.0,-5508.0,,-8744.1,-5387.0,-9850.0,-12373.2,-7617.0,-2716.8,-7718.5,4663.0,-15549.1,-2795.4,,-8523.4,951.0,,False,True,False,False,False,True,False,True,False,True,,False,True
Wyoming,840,642.0,,1170.1,1039.0,536.0,215.0,303.0,379.0,464.5,1095.0,48.9,843.7,,568.3,645.4,-198.0,,330.1,199.0,-304.0,-625.0,-537.0,-461.0,-375.5,255.0,-791.1,3.7,,-271.7,-194.6,,False,False,False,False,False,False,False,False,False,True,,False,True
US,1337729,987531.0,1580090.0,1300653.9,,929464.0,362289.8,1251222.0,974525.7,810543.2,1640900.0,88729.4,1074356.8,902468.2,949710.7,1414557.2,-350198.0,242361.0,-37075.1,,-408265.0,-975439.2,-86507.0,-363203.3,-527185.8,303171.0,-1248999.6,-263372.2,-435260.8,-388018.3,76828.2,True,True,,False,False,True,False,False,True,False,True,False,False,True
