,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Missouri,13428,8046.0,,9466.0,5783.0,9860.0,7734.3,4784.8,8969.5,12320.0,,7754.0,9111.2,,5667.3,7244.8,-5382.0,,-3962.0,-7645.0,-3568.0,-5693.7,-8643.2,-4458.5,-1108.0,,-5674.0,-4316.8,,-7760.7,-6183.2,,True,False,True,False,False,True,True,,False,True,,False,False
Montana,1582,1020.0,,1604.0,553.0,872.0,881.5,1212.2,1445.5,1655.0,,626.0,1270.0,,2017.5,1824.8,-562.0,,22.0,-1029.0,-710.0,-700.5,-369.8,-136.5,73.0,,-956.0,-312.0,,435.5,242.8,,True,False,False,False,True,True,True,,False,True,,True,True
Nebraska,3397,2342.0,,1674.7,660.0,5614.0,3589.8,1876.4,2865.0,2706.0,,1673.8,2282.7,,501.0,2068.6,-1055.0,,-1722.3,-2737.0,2217.0,192.8,-1520.6,-532.0,-691.0,,-1723.2,-1114.3,,-2896.0,-1328.4,,False,False,False,True,False,True,True,,False,False,,False,False
Nevada,14978,10526.0,,17799.0,9547.0,19921.0,7696.4,9769.2,13008.4,16534.0,,6418.6,10956.4,,14124.6,18964.3,-4452.0,,2821.0,-5431.0,4943.0,-7281.6,-5208.8,-1969.6,1556.0,,-8559.4,-4021.6,,-853.4,3986.3,,True,False,False,False,False,True,True,,False,True,,True,True
New Hampshire,391,304.0,,163.7,123.0,280.0,886.7,231.1,391.7,248.0,,329.6,304.6,,172.2,205.3,-87.0,,-227.3,-268.0,-111.0,495.7,-159.9,0.7,-143.0,,-61.4,-86.4,,-218.8,-185.7,,False,False,False,False,False,True,False,,True,True,,False,False
New Jersey,3930,3852.0,,3076.0,470.0,7387.0,10317.8,2626.6,3621.8,3996.0,,3066.3,3426.4,,137.3,5545.4,-78.0,,-854.0,-3460.0,3457.0,6387.8,-1303.4,-308.2,66.0,,-863.7,-503.6,,-3792.7,1615.4,,False,False,False,False,False,False,True,,False,False,,False,False
New Mexico,4015,3420.0,,3653.8,2055.0,4365.0,4369.4,2697.8,4244.5,4862.0,,3304.8,4241.7,,2113.1,4438.1,-595.0,,-361.2,-1960.0,350.0,354.4,-1317.2,229.5,847.0,,-710.2,226.7,,-1901.9,423.1,,True,False,True,True,False,True,False,,False,True,,False,True
New York,10171,8862.0,,7784.9,2665.0,48001.0,23607.3,6276.2,9548.8,9873.0,,4937.3,8868.5,,186.2,13338.7,-1309.0,,-2386.1,-7506.0,37830.0,13436.3,-3894.8,-622.2,-298.0,,-5233.7,-1302.5,,-9984.8,3167.7,,False,False,False,False,False,True,True,,False,True,,False,False
North Carolina,27635,24472.0,,25574.5,29069.0,53763.0,22585.0,20788.1,29591.9,28831.0,,21272.0,28046.1,,24486.2,23132.2,-3163.0,,-2060.5,1434.0,26128.0,-5050.0,-6846.9,1956.9,1196.0,,-6363.0,411.1,,-3148.8,-4502.8,,True,True,False,False,False,True,True,,False,True,,True,False
North Dakota,1493,928.0,,654.1,299.0,1441.0,983.3,941.0,1405.1,1536.0,,347.7,1073.9,,476.6,1281.6,-565.0,,-838.9,-1194.0,-52.0,-509.7,-552.0,-87.9,43.0,,-1145.3,-419.1,,-1016.4,-211.4,,False,False,True,True,True,True,True,,False,True,,False,True
Ohio,18970,16062.0,,19302.8,21117.0,17014.0,17055.0,15397.4,21657.9,25574.0,,17383.0,20327.1,,10524.0,24762.1,-2908.0,,332.8,2147.0,-1956.0,-1915.0,-3572.6,2687.9,6604.0,,-1587.0,1357.1,,-8446.0,5792.1,,True,True,True,True,False,True,False,,True,True,,False,False
Oklahoma,10302,8262.0,,11165.4,5790.0,27191.0,7827.9,6132.9,9843.0,13196.0,,8579.2,10383.6,,9628.1,8252.5,-2040.0,,863.4,-4512.0,16889.0,-2474.1,-4169.1,-459.0,2894.0,,-1722.8,81.6,,-673.9,-2049.5,,True,False,False,False,False,True,False,,True,True,,True,False
Oregon,4641,3842.0,,5063.0,3171.0,6921.0,6135.8,3779.6,5216.5,5700.0,,3900.3,4295.2,,4875.2,5227.4,-799.0,,422.0,-1470.0,2280.0,1494.8,-861.4,575.5,1059.0,,-740.7,-345.8,,234.2,586.4,,True,False,False,False,False,True,False,,True,True,,True,True
Pennsylvania,11899,10588.0,,10726.7,3606.0,13853.0,13170.5,7013.3,11958.5,14803.0,,11671.4,14616.9,,2952.1,12922.4,-1311.0,,-1172.3,-8293.0,1954.0,1271.5,-4885.7,59.5,2904.0,,-227.6,2717.9,,-8946.9,1023.4,,True,False,False,True,False,True,False,,True,False,,False,True
Rhode Island,912,642.0,,411.1,137.0,1878.0,169.2,277.2,462.1,727.0,,533.3,528.6,,62.3,349.1,-270.0,,-500.9,-775.0,966.0,-742.8,-634.8,-449.9,-185.0,,-378.7,-383.4,,-849.7,-562.9,,False,False,False,False,False,False,True,,False,False,,False,False
South Carolina,25309,22626.0,,36343.9,16299.0,22540.0,16453.3,24217.7,28958.4,32707.0,,15017.3,23497.8,,24831.6,31969.9,-2683.0,,11034.9,-9010.0,-2769.0,-8855.7,-1091.3,3649.4,7398.0,,-10291.7,-1811.2,,-477.4,6660.9,,False,False,False,False,True,False,False,,False,True,,True,False
South Dakota,851,852.0,,714.5,491.0,806.0,1184.3,655.8,892.4,924.0,,825.4,728.2,,382.1,1082.9,1.0,,-136.5,-360.0,-45.0,333.3,-195.2,41.4,73.0,,-25.6,-122.8,,-468.9,231.9,,False,False,False,False,False,False,False,,False,False,,False,False
Tennessee,29790,21732.0,,27321.6,23141.0,22755.0,14792.4,12894.8,22661.9,36885.0,,7951.4,20424.6,,18631.4,36823.1,-8058.0,,-2468.4,-6649.0,-7035.0,-14997.6,-16895.2,-7128.1,7095.0,,-21838.6,-9365.4,,-11158.6,7033.1,,True,True,True,False,False,True,True,,False,False,,False,True
Texas,135957,120914.0,,185191.0,107936.0,196008.0,67516.7,101657.8,143639.2,194588.0,,81225.7,156286.0,,150288.5,112284.6,-15043.0,,49234.0,-28021.0,60051.0,-68440.3,-34299.2,7682.2,58631.0,,-54731.3,20329.0,,14331.5,-23672.4,,False,False,False,False,False,True,False,,False,False,,True,False
Utah,8768,8626.0,,10287.3,8970.0,11022.0,6559.6,7180.9,10139.1,10623.0,,5984.7,9837.0,,9094.8,6983.9,-142.0,,1519.3,202.0,2254.0,-2208.4,-1587.1,1371.1,1855.0,,-2783.3,1069.0,,326.8,-1784.1,,False,False,False,False,False,False,False,,False,False,,False,False
Vermont,113,90.0,,65.9,13.0,76.0,214.7,77.4,126.3,87.0,,73.7,96.1,,0.0,75.2,-23.0,,-47.1,-100.0,-37.0,101.7,-35.6,13.3,-26.0,,-39.3,-16.9,,-113.0,-37.8,,False,False,False,False,False,True,False,,False,True,,False,False
Virginia,13827,9346.0,,6153.3,5882.0,12723.0,12275.4,8419.4,13119.8,11831.0,,6091.2,10818.9,,4971.2,4713.0,-4481.0,,-7673.7,-7945.0,-1104.0,-1551.6,-5407.6,-707.2,-1996.0,,-7735.8,-3008.1,,-8855.8,-9114.0,,False,False,True,True,False,True,True,,False,True,,False,False
Washington,12631,7942.0,,11246.7,6486.0,9971.0,9147.0,9563.0,12999.2,9803.0,,8932.8,11796.9,,5979.8,11347.9,-4689.0,,-1384.3,-6145.0,-2660.0,-3484.0,-3068.0,368.2,-2828.0,,-3698.2,-834.1,,-6651.2,-1283.1,,True,False,True,True,True,True,True,,True,True,,False,True
West Virginia,1629,1882.0,,1907.4,1926.0,1074.0,1401.3,1691.2,2363.4,2789.0,,470.0,2063.3,,1753.8,2143.1,253.0,,278.4,297.0,-555.0,-227.7,62.2,734.4,1160.0,,-1159.0,434.3,,124.8,514.1,,False,False,False,True,True,False,False,,False,False,,True,False
Wisconsin,12191,9248.0,,8776.8,5586.0,9348.0,10006.3,8828.2,12300.1,15044.0,,12259.5,11051.8,,6830.0,12682.5,-2943.0,,-3414.2,-6605.0,-2843.0,-2184.7,-3362.8,109.1,2853.0,,68.5,-1139.2,,-5361.0,491.5,,False,False,True,True,False,True,True,,True,True,,False,True
Wyoming,607,466.0,,779.1,361.0,356.0,644.6,323.5,515.0,559.0,,416.1,459.4,,442.7,422.2,-141.0,,172.1,-246.0,-251.0,37.6,-283.5,-92.0,-48.0,,-190.9,-147.6,,-164.3,-184.8,,False,False,False,True,False,True,True,,False,False,,False,False
US,929625,809368.0,897072.0,984054.2,667922.0,969921.0,607717.7,648334.1,952654.0,1187345.0,999005.9,823619.6,905980.7,864915.4,742384.4,991550.4,-120257.0,-32553.0,54429.2,-261703.0,40296.0,-321907.3,-281290.9,23029.0,257720.0,69380.9,-106005.4,-23644.3,-64709.6,-187240.6,61925.4,True,True,False,True,False,False,True,False,True,True,True,True,False,True
