,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15090,15010.6,15148.2,15146.6,15184.4,15117.0,15146.0,15023.0,15026.0,14684.0,14923.2,,14347.3,14596.0,14848.8,,14971.5,15131.1,14977.0,,14948.3,15206.0,13800.3,15229.0,14373.0,15072.2,15303.0,15045.1,15110.0,15473.1,15027.5,15076.6,15162.3,14867.0,,15193.0,14994.0,14963.0,15006.0,13797.8,14815.0,15069.5,,15040.1,15053.2,14808.0,15101.5,15148.0,,14076.7,15193.0,-79.4,58.2,56.6,94.4,27.0,56.0,-67.0,-64.0,-406.0,-166.8,,-742.7,-494.0,-241.2,,-118.5,41.1,-113.0,,-141.7,116.0,-1289.7,139.0,-717.0,-17.8,213.0,-44.9,20.0,383.1,-62.5,-13.4,72.3,-223.0,,103.0,-96.0,-127.0,-84.0,-1292.2,-275.0,-20.5,,-49.9,-36.8,-282.0,11.5,58.0,,-1013.3,103.0,True,True,False,True,True,True,True,False,False,,False,False,False,,False,True,False,,False,False,False,False,False,True,False,True,True,False,True,True,True,False,,False,False,False,False,False,False,True,,True,True,False,True,True,,False,False
Hawaii,415,467.3,424.3,443.4,478.4,474.0,477.0,427.0,418.0,416.0,432.7,,383.4,428.0,430.0,,,469.5,428.6,,374.2,,350.9,453.0,444.4,424.1,419.0,428.4,442.0,,435.5,443.0,418.0,426.0,,,419.4,424.0,424.0,373.3,423.0,416.5,,442.6,456.3,418.0,422.6,425.0,,417.9,434.0,52.3,9.3,28.4,63.4,59.0,62.0,12.0,3.0,1.0,17.7,,-31.6,13.0,15.0,,,54.5,13.6,,-40.8,,-64.1,38.0,29.4,9.1,4.0,13.4,27.0,,20.5,28.0,3.0,11.0,,,4.4,9.0,9.0,-41.7,8.0,1.5,,27.6,41.3,3.0,7.6,10.0,,2.9,19.0,True,True,False,False,False,True,True,True,True,,True,True,True,,,False,True,,True,,False,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
Idaho,1767,1773.0,1781.2,1780.1,1781.0,1783.0,1782.0,1774.0,1767.0,1757.0,1781.5,,1733.4,1762.0,1777.7,,1771.8,1770.3,1780.6,,1751.5,1830.0,1755.3,1787.0,1803.6,1773.9,1741.0,1765.1,1792.0,1770.0,1785.3,1778.3,1767.6,1823.0,,,1768.8,1791.0,1774.0,1651.8,1760.0,1783.1,,1796.3,1786.9,1764.0,1795.6,1773.0,,1773.2,1783.0,6.0,14.2,13.1,14.0,16.0,15.0,7.0,0.0,-10.0,14.5,,-33.6,-5.0,10.7,,4.8,3.3,13.6,,-15.5,63.0,-11.7,20.0,36.6,6.9,-26.0,-1.9,25.0,3.0,18.3,11.3,0.6,56.0,,,1.8,24.0,7.0,-115.2,-7.0,16.1,,29.3,19.9,-3.0,28.6,6.0,,6.2,16.0,False,False,False,False,False,False,True,False,False,,False,True,False,,True,True,False,,False,False,False,False,False,False,False,True,False,True,False,False,True,False,,,True,False,False,False,False,False,,False,False,True,False,False,,False,False
Illinois,21676,21744.1,21798.0,21704.4,21794.8,21825.0,21781.0,21734.0,21666.0,21831.0,21802.0,,21383.7,21735.0,21725.9,,21552.5,21615.8,21700.1,,21761.8,21980.0,23619.4,21845.0,19742.6,21780.0,21635.0,21711.8,21785.0,21633.4,21708.5,21742.2,21620.6,21748.0,,21857.8,21677.3,21899.0,21733.0,21574.1,21609.0,21704.0,,21708.7,21762.4,21702.0,21756.8,21759.0,,21765.3,21912.0,68.1,122.0,28.4,118.8,149.0,105.0,58.0,-10.0,155.0,126.0,,-292.3,59.0,49.9,,-123.5,-60.2,24.1,,85.8,304.0,1943.4,169.0,-1933.4,104.0,-41.0,35.8,109.0,-42.6,32.5,66.2,-55.4,72.0,,181.8,1.3,223.0,57.0,-101.9,-67.0,28.0,,32.7,86.4,26.0,80.8,83.0,,89.3,236.0,False,True,False,False,False,True,True,False,False,,False,True,True,,False,True,True,,False,False,False,False,False,False,True,True,False,True,True,True,True,False,,False,True,False,True,False,True,True,,True,False,True,False,False,,False,False
Indiana,11752,10195.1,10310.4,10272.7,10269.0,10257.0,10241.0,10247.0,10219.0,10224.0,10246.6,,10151.3,10271.0,10215.4,,10192.3,10120.2,10254.3,,10385.7,10253.0,10568.3,10290.0,9953.0,10256.9,10165.0,10189.5,10304.0,10233.6,10254.2,10247.5,10175.1,10281.0,,10259.5,10201.5,10347.0,10207.0,10103.1,10145.0,10241.0,,10257.9,10264.3,10205.0,10203.1,10224.0,,9854.3,10285.0,-234.9,-119.6,-157.3,-161.0,-173.0,-189.0,-183.0,-211.0,-206.0,-183.4,,-278.7,-159.0,-214.6,,-237.7,-309.8,-175.7,,-44.3,-177.0,138.3,-140.0,-477.0,-173.1,-265.0,-240.5,-126.0,-196.4,-175.8,-182.5,-254.9,-149.0,,-170.5,-228.5,-83.0,-223.0,-326.9,-285.0,-189.0,,-172.1,-165.7,-225.0,-226.9,-206.0,,-575.7,-145.0,True,True,True,True,True,True,True,True,True,,False,True,True,,False,False,True,,True,True,True,True,False,True,False,False,True,True,True,True,False,True,,True,True,True,True,False,False,True,,True,True,True,True,True,,False,True
Iowa,5108,5255.9,4808.6,4759.3,4814.3,4751.0,4816.0,4822.0,4856.0,4755.0,4759.0,,4556.2,5049.0,5009.8,,4755.7,4807.9,4993.5,,4803.8,4748.0,5073.7,4782.0,4808.6,4786.7,4997.0,5126.1,4783.0,4746.2,4799.4,4917.0,5060.1,4739.0,,4812.0,4796.6,4779.0,4814.0,4492.0,5233.0,4854.1,,4809.7,4801.6,5018.0,4835.7,4795.0,,5035.8,4853.0,147.9,-299.4,-348.7,-293.7,-357.0,-292.0,-286.0,-252.0,-353.0,-349.0,,-551.8,-59.0,-98.2,,-352.3,-300.1,-114.5,,-304.2,-360.0,-34.3,-326.0,-299.4,-321.3,-111.0,18.1,-325.0,-361.8,-308.6,-191.0,-47.9,-369.0,,-296.0,-311.4,-329.0,-294.0,-616.0,125.0,-253.9,,-298.3,-306.4,-90.0,-272.3,-313.0,,-72.2,-255.0,False,False,False,False,False,False,False,False,False,,False,True,True,,False,False,True,,False,False,True,False,False,False,True,True,False,False,False,False,True,False,,False,False,False,False,False,True,False,,False,False,True,False,False,,True,False
Kansas,4075,3921.3,3935.6,3937.3,3923.9,3938.0,3947.0,3936.0,3914.0,3969.0,3895.2,,3944.2,3959.0,4057.1,,3929.2,3918.1,3910.0,,3774.4,3982.0,6855.4,3911.0,3946.8,3951.4,3875.0,3864.7,3973.0,3951.2,3953.2,3911.7,3895.4,3903.5,,,3882.6,3967.0,3908.0,4227.2,3889.0,3958.1,,3954.7,3927.8,3899.0,4028.0,3932.0,,3914.5,3956.0,-153.7,-139.4,-137.7,-151.1,-137.0,-128.0,-139.0,-161.0,-106.0,-179.8,,-130.8,-116.0,-17.9,,-145.8,-156.9,-165.0,,-300.6,-93.0,2780.4,-164.0,-128.2,-123.6,-200.0,-210.3,-102.0,-123.8,-121.8,-163.3,-179.6,-171.5,,,-192.4,-108.0,-167.0,152.2,-186.0,-116.9,,-120.3,-147.2,-176.0,-47.0,-143.0,,-160.5,-119.0,True,True,True,True,True,True,False,True,False,,True,True,True,,True,False,False,,False,True,False,False,True,True,False,False,True,True,True,False,False,False,,,False,True,False,True,False,True,,True,True,False,True,True,,False,True
Kentucky,4020,4022.7,4086.7,3996.9,4042.1,4040.0,4042.0,4002.0,3962.0,3861.0,3956.5,,3671.1,3896.0,3953.2,,,4093.4,4002.6,,3939.8,4127.0,4750.8,4028.0,4020.0,3935.5,4039.0,4005.1,4002.0,4011.4,3998.9,4011.7,4023.8,3968.5,,,3965.2,3943.0,3997.0,3827.6,3966.0,4043.2,,4009.9,4038.9,3964.0,4011.1,4023.0,,3872.1,4016.0,2.7,66.7,-23.1,22.1,20.0,22.0,-18.0,-58.0,-159.0,-63.5,,-348.9,-124.0,-66.8,,,73.4,-17.4,,-80.2,107.0,730.8,8.0,-0.0,-84.5,19.0,-14.9,-18.0,-8.6,-21.1,-8.3,3.8,-51.5,,,-54.8,-77.0,-23.0,-192.4,-54.0,23.2,,-10.1,18.9,-56.0,-8.9,3.0,,-147.9,-4.0,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Louisiana,9076,9111.0,9126.8,9131.6,9128.2,9118.0,9119.0,9105.0,9072.0,9046.0,9111.7,,8921.9,9121.0,9143.0,,9102.4,9146.4,9100.2,,9105.2,9216.0,9038.8,9102.0,9039.7,9061.8,9080.0,9087.2,9169.0,9138.3,9080.1,9125.4,9070.3,9137.0,,9103.3,9039.3,9120.0,9115.0,9419.5,9145.0,9083.4,,9085.2,9126.2,9110.0,9064.4,9053.0,,8997.2,9121.0,35.0,50.8,55.6,52.2,42.0,43.0,29.0,-4.0,-30.0,35.7,,-154.1,45.0,67.0,,26.4,70.4,24.2,,29.2,140.0,-37.2,26.0,-36.3,-14.2,4.0,11.2,93.0,62.3,4.1,49.4,-5.7,61.0,,27.3,-36.7,44.0,39.0,343.5,69.0,7.4,,9.2,50.2,34.0,-11.6,-23.0,,-78.8,45.0,False,False,False,False,False,True,True,True,False,,False,False,False,,True,False,True,,True,False,False,True,False,True,True,True,False,False,True,False,True,False,,True,False,False,False,False,False,True,,True,False,True,True,True,,False,False
Maine,634,629.4,633.7,642.7,634.4,621.0,636.0,635.0,632.0,639.0,637.8,,644.7,638.0,622.9,,623.2,650.7,628.9,,607.8,661.0,630.8,641.0,691.0,644.1,619.0,619.4,662.0,,643.4,630.2,630.5,630.0,,,621.4,660.0,642.0,653.0,617.0,610.1,,654.6,637.0,623.0,648.6,635.0,,617.4,655.0,-4.6,-0.3,8.7,0.4,-13.0,2.0,1.0,-2.0,5.0,3.8,,10.7,4.0,-11.1,,-10.8,16.7,-5.1,,-26.2,27.0,-3.2,7.0,57.0,10.1,-15.0,-14.6,28.0,,9.4,-3.8,-3.5,-4.0,,,-12.6,26.0,8.0,19.0,-17.0,-23.9,,20.6,3.0,-11.0,14.6,1.0,,-16.6,21.0,True,False,True,False,True,True,True,False,True,,False,True,False,,False,False,False,,False,False,True,False,False,False,False,False,False,,False,True,True,True,,,False,False,False,False,False,False,,False,True,False,False,True,,False,False
Maryland,7329,7351.6,7378.9,7389.9,7374.8,7390.0,7377.0,7369.0,7335.0,7418.0,7365.1,,7150.7,7427.0,7326.4,,7324.9,7368.5,7371.0,,7419.9,7415.0,7533.9,7390.0,7325.5,7356.7,7332.0,7351.2,7399.0,7341.7,7385.6,7380.9,7332.1,7367.5,,7394.5,7327.6,7429.0,7330.0,7271.9,7304.0,7357.9,,7395.9,7356.0,7321.0,7342.0,7374.0,,7245.5,7359.0,22.6,49.9,60.9,45.8,61.0,48.0,40.0,6.0,89.0,36.1,,-178.3,98.0,-2.6,,-4.1,39.5,42.0,,90.9,86.0,204.9,61.0,-3.5,27.7,3.0,22.2,70.0,12.7,56.6,51.9,3.1,38.5,,65.5,-1.4,100.0,1.0,-57.1,-25.0,28.9,,66.9,27.0,-8.0,13.0,45.0,,-83.5,30.0,False,False,False,False,False,False,True,False,False,,False,False,True,,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,False,True,False,,False,True,False,True,False,False,False,,False,False,True,True,False,,False,False
Massachusetts,14921,14957.6,14985.2,15009.8,15006.7,14989.0,14998.0,14974.0,14926.0,15047.0,14942.8,,14797.8,15033.0,14926.0,,14942.9,15015.5,14918.1,,15010.9,14961.0,15500.4,15045.0,14891.0,14928.4,14854.0,14931.6,14972.0,15119.1,15013.9,15005.0,14947.7,14845.0,,14971.6,14930.6,15197.0,14980.0,15985.4,14889.0,14941.0,,15020.2,14957.7,14958.0,15018.2,14976.0,,14759.7,15131.0,36.6,64.2,88.8,85.7,68.0,77.0,53.0,5.0,126.0,21.8,,-123.2,112.0,5.0,,21.9,94.5,-2.9,,89.9,40.0,579.4,124.0,-30.0,7.4,-67.0,10.6,51.0,198.1,92.9,84.0,26.7,-76.0,,50.6,9.6,276.0,59.0,1064.4,-32.0,20.0,,99.2,36.7,37.0,97.2,55.0,,-161.3,210.0,False,False,False,False,False,False,True,False,True,,False,False,True,,True,False,True,,False,False,False,False,True,True,False,True,False,False,False,False,True,False,,False,True,False,False,False,True,True,,False,False,False,False,False,,False,False
Michigan,15854,15819.9,15984.6,15928.1,15810.2,15969.0,15869.0,15862.0,15839.0,15948.0,15911.7,,15610.0,15910.0,15951.2,,15811.5,15630.3,15830.9,,16063.1,16215.0,16373.1,15969.0,15764.8,15874.9,15781.0,15782.9,15917.0,15818.5,15836.5,15854.7,15820.2,15901.0,,15878.1,15822.2,15960.0,15841.0,15789.6,15741.0,15837.1,,15836.4,15874.6,15808.0,16024.1,15839.0,,15710.0,16028.0,-34.1,130.6,74.1,-43.8,115.0,15.0,8.0,-15.0,94.0,57.7,,-244.0,56.0,97.2,,-42.5,-223.7,-23.1,,209.1,361.0,519.1,115.0,-89.2,20.9,-73.0,-71.1,63.0,-35.5,-17.5,0.7,-33.8,47.0,,24.1,-31.8,106.0,-13.0,-64.4,-113.0,-16.9,,-17.6,20.6,-46.0,170.1,-15.0,,-144.0,174.0,False,False,False,False,True,True,True,False,False,,False,False,False,,False,False,True,,False,False,False,False,False,True,False,False,False,False,True,True,True,False,,True,True,False,True,False,False,True,,True,True,False,False,True,,False,False
Minnesota,6357,6358.0,6383.4,6384.9,6379.7,6393.0,6379.0,6380.0,6367.0,6398.0,6387.5,,6311.9,6384.0,6365.2,,6368.2,6323.1,6365.9,,6473.8,6409.0,7292.8,6393.0,6366.8,6370.0,6327.0,6350.2,6400.0,6339.8,6379.3,6383.5,6354.7,6474.0,,6434.1,6352.7,6402.0,6364.0,5679.0,6360.0,6392.5,,6389.0,6379.5,6366.0,6393.3,6364.0,,6343.3,6412.0,1.0,26.4,27.9,22.7,36.0,22.0,23.0,10.0,41.0,30.5,,-45.1,27.0,8.2,,11.2,-33.9,8.9,,116.8,52.0,935.8,36.0,9.8,13.0,-30.0,-6.8,43.0,-17.2,22.3,26.5,-2.3,117.0,,77.1,-4.3,45.0,7.0,-678.0,3.0,35.5,,32.0,22.5,9.0,36.3,7.0,,-13.7,55.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Mississippi,6266,6279.0,6257.9,6308.6,6279.5,6285.0,6284.0,6269.0,6225.0,6194.0,6269.2,,6158.1,6205.0,6329.4,,6241.6,6224.5,6233.8,,6140.0,6389.0,6234.0,6296.0,6194.5,6210.0,6206.0,6256.6,6315.0,6310.6,6292.6,6271.1,6268.9,6297.0,,6300.3,6258.2,6284.0,6261.0,6251.8,6235.0,6275.4,,6299.8,6272.6,6237.0,6309.0,6293.0,,6192.0,6293.0,13.0,-8.1,42.6,13.5,19.0,18.0,3.0,-41.0,-72.0,3.2,,-107.9,-61.0,63.4,,-24.4,-41.5,-32.2,,-126.0,123.0,-32.0,30.0,-71.5,-56.0,-60.0,-9.4,49.0,44.6,26.6,5.1,2.9,31.0,,34.3,-7.8,18.0,-5.0,-14.2,-31.0,9.4,,33.8,6.6,-29.0,43.0,27.0,,-74.0,27.0,True,False,False,False,False,True,False,False,True,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,True,False,True,False,False,True,,False,True,False,False,False,,False,False
Missouri,7472,7232.1,7358.4,7311.2,7274.5,7275.0,7269.0,7274.0,7219.0,7274.0,7242.9,,7122.6,7251.0,7320.1,,7215.1,7165.7,7276.9,,6824.5,7484.0,6679.5,7333.0,6891.2,7265.6,7190.0,7217.1,7296.0,7329.7,7292.2,7308.5,7231.8,7398.0,,7271.3,7292.0,7280.0,7265.0,7145.7,7172.0,7152.6,,7300.4,7278.1,7237.0,7265.2,7220.0,,6789.4,7309.0,-209.9,-83.6,-130.8,-167.5,-167.0,-173.0,-168.0,-223.0,-168.0,-199.1,,-319.4,-191.0,-121.9,,-226.9,-276.3,-165.1,,-617.5,42.0,-762.5,-109.0,-550.8,-176.4,-252.0,-224.9,-146.0,-112.3,-149.8,-133.5,-210.2,-44.0,,-170.7,-150.0,-162.0,-177.0,-296.3,-270.0,-289.4,,-141.6,-163.9,-205.0,-176.8,-222.0,,-652.6,-133.0,True,True,True,True,True,True,False,True,True,,False,True,True,,False,False,True,,False,True,False,True,False,True,False,False,True,True,True,True,False,True,,True,True,True,True,False,False,False,,True,True,True,True,False,,False,True
Montana,1312,1303.3,1277.7,1287.1,1321.8,1352.0,1323.0,1284.0,1278.0,1269.0,1274.1,,1203.1,1254.0,1277.4,,1320.5,1376.7,1258.3,,1251.0,1299.0,1610.8,1330.0,1283.0,1268.7,1267.0,1277.5,1275.0,1278.0,1287.1,1288.2,1284.5,1285.0,,,1265.0,1271.0,1279.0,1063.2,1284.0,1334.5,,1297.9,1310.9,1269.0,1293.9,1305.0,,1270.8,1294.0,-8.7,-34.3,-24.9,9.8,40.0,11.0,-28.0,-34.0,-43.0,-37.9,,-108.9,-58.0,-34.6,,8.5,64.7,-53.7,,-61.0,-13.0,298.8,18.0,-29.0,-43.3,-45.0,-34.5,-37.0,-34.0,-24.9,-23.8,-27.5,-27.0,,,-47.0,-41.0,-33.0,-248.8,-28.0,22.5,,-14.1,-1.1,-43.0,-18.1,-7.0,,-41.2,-18.0,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,True,False,False,True,,False,False
Nebraska,1968,1955.1,1958.8,1955.2,1956.5,1969.0,1961.0,1962.0,1956.0,1988.0,1977.1,,1933.1,1952.0,1969.4,,1965.2,1948.5,1969.9,,1942.8,1990.0,2214.1,1980.0,1995.4,1962.5,1939.0,1952.0,1999.0,1943.3,1963.0,1979.1,1952.4,1968.0,,,1958.0,1976.0,1952.0,1780.9,1944.0,1960.1,,1973.8,1972.3,1958.0,1963.5,1954.0,,1960.3,1978.0,-12.9,-9.2,-12.8,-11.5,1.0,-7.0,-6.0,-12.0,20.0,9.1,,-34.9,-16.0,1.4,,-2.8,-19.5,1.9,,-25.2,22.0,246.1,12.0,27.4,-5.5,-29.0,-16.0,31.0,-24.7,-5.0,11.1,-15.6,0.0,,,-10.0,8.0,-16.0,-187.1,-24.0,-7.9,,5.8,4.3,-10.0,-4.5,-14.0,,-7.7,10.0,True,True,True,True,True,True,True,False,True,,False,False,True,,True,False,True,,False,False,False,True,False,True,False,False,False,False,True,True,False,True,,,True,True,False,False,False,True,,True,True,True,True,False,,True,True
Nevada,4496,4479.1,4516.6,4521.8,4521.1,4516.0,4517.0,4480.0,4460.0,4478.0,4488.3,,4309.2,4464.0,4485.8,,,4476.6,4443.3,,4440.1,4587.0,4173.5,4525.0,4407.6,4458.9,4474.0,4438.1,4516.0,4511.0,4517.2,4482.2,4498.3,4569.0,,4520.5,4445.5,4472.0,4456.0,4297.3,4409.0,4509.9,,4524.8,4491.0,4428.0,4580.1,4498.0,,4411.9,4515.0,-16.9,20.6,25.8,25.1,20.0,21.0,-16.0,-36.0,-18.0,-7.7,,-186.8,-32.0,-10.2,,,-19.4,-52.7,,-55.9,91.0,-322.5,29.0,-88.4,-37.1,-22.0,-57.9,20.0,15.0,21.2,-13.8,2.3,73.0,,24.5,-50.5,-24.0,-40.0,-198.7,-87.0,13.9,,28.8,-5.0,-68.0,84.1,2.0,,-84.1,19.0,False,False,False,False,False,True,False,False,True,,False,False,True,,,False,False,,False,False,False,False,False,False,False,False,False,True,False,True,True,False,,False,False,False,False,False,False,True,,False,True,False,False,True,,False,False
New Hampshire,1098,1117.0,1093.4,1103.9,1110.1,1107.0,1103.0,1104.0,1095.0,1095.0,1100.5,,1089.8,1110.0,1107.5,,1088.1,1114.4,1097.4,,1076.8,1102.0,1317.1,1106.0,1136.7,1096.4,1096.0,1099.5,1114.0,,1106.3,1107.1,1105.3,1120.0,,,1095.8,1108.0,1103.0,1129.7,1119.0,1100.4,,1117.7,1105.9,1091.0,1105.4,1101.0,,1079.1,1108.0,19.0,-4.6,5.9,12.1,9.0,5.0,6.0,-3.0,-3.0,2.5,,-8.2,12.0,9.5,,-9.9,16.4,-0.6,,-21.2,4.0,219.1,8.0,38.7,-1.6,-2.0,1.5,16.0,,8.3,9.1,7.3,22.0,,,-2.2,10.0,5.0,31.7,21.0,2.4,,19.7,7.9,-7.0,7.4,3.0,,-18.9,10.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,,False,True,False,True,False,True,True,True,True,,True,True,True,False,,,True,True,True,False,False,True,,False,True,True,True,True,,True,True
New Jersey,21964,21940.9,22046.5,21997.4,21978.5,21966.0,21976.0,21974.0,21917.0,22283.0,22012.3,,21727.2,22001.0,21851.8,,21879.8,21836.9,21901.1,,21873.4,22157.0,22298.4,21998.0,21926.6,21976.0,21870.0,21947.9,21998.0,21951.6,22000.8,22073.3,21957.2,21723.0,,21922.3,21866.1,22401.0,21938.0,21181.1,21863.0,21971.9,,22000.7,21963.8,21854.0,21998.0,21997.0,,21708.2,22054.0,-23.1,82.5,33.4,14.5,2.0,12.0,10.0,-47.0,319.0,48.3,,-236.8,37.0,-112.2,,-84.2,-127.1,-62.9,,-90.6,193.0,334.4,34.0,-37.4,12.0,-94.0,-16.1,34.0,-12.4,36.8,109.3,-6.8,-241.0,,-41.7,-97.9,437.0,-26.0,-782.9,-101.0,7.9,,36.7,-0.2,-110.0,34.0,33.0,,-255.8,90.0,False,False,True,True,True,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,False,False,True,False,True,False,True,False,False,True,False,,False,False,False,False,False,False,True,,False,True,False,False,False,,False,False
New Mexico,3386,3401.3,3423.8,3439.5,3413.4,3432.0,3415.0,3407.0,3395.0,3402.0,3409.1,,3296.3,3408.0,3382.9,,3418.7,3359.6,3428.9,,3468.0,3492.0,3444.7,3440.0,3369.4,3388.9,3394.0,3395.5,3423.0,3402.2,3419.0,3418.4,3388.9,3439.0,,,3396.8,3404.0,3416.0,3370.5,3388.0,3381.7,,3430.3,3411.3,3404.0,3442.7,3393.0,,3388.7,3406.0,15.3,37.8,53.5,27.4,46.0,29.0,21.0,9.0,16.0,23.1,,-89.7,22.0,-3.1,,32.7,-26.4,42.9,,82.0,106.0,58.7,54.0,-16.6,2.9,8.0,9.5,37.0,16.2,33.0,32.4,2.9,53.0,,,10.8,18.0,30.0,-15.5,2.0,-4.3,,44.3,25.3,18.0,56.7,7.0,,2.7,20.0,False,False,False,False,False,False,True,False,False,,False,False,True,,False,False,False,,False,False,False,False,False,True,True,True,False,False,False,False,True,False,,,True,False,False,False,True,True,,False,False,False,False,True,,True,False
