,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Georgia,15090,12299.7,12218.1,12335.5,13208.0,12871.1,12943.0,,12876.0,14144.9,13386.6,13950.7,12595.5,12532.4,11577.0,,12457.6,,,11445.4,-2790.3,-2871.9,-2754.5,-1882.0,-2218.9,-2147.0,,-2214.0,-945.1,-1703.4,-1139.3,-2494.5,-2557.6,-3513.0,,-2632.4,,,-3644.6,False,True,True,True,True,,True,True,True,True,True,True,False,,True,,,False
Hawaii,415,308.4,316.1,311.1,297.0,390.2,321.0,,,300.5,603.0,328.7,322.0,323.9,351.0,,320.5,,316.1,311.2,-106.6,-98.9,-103.9,-118.0,-24.8,-94.0,,,-114.5,188.0,-86.3,-93.0,-91.1,-64.0,,-94.5,,-98.9,-103.8,True,True,False,True,True,,,False,False,True,True,True,True,,True,,True,True
Idaho,1767,1904.6,1753.4,1918.0,1567.0,1871.7,1728.0,,1886.0,1647.8,1953.0,1734.8,1565.0,1791.3,1831.0,,1913.5,,1690.6,1681.8,137.6,-13.6,151.0,-200.0,104.7,-39.0,,119.0,-119.2,186.0,-32.2,-202.0,24.3,64.0,,146.5,,-76.4,-85.2,True,False,False,True,True,,True,True,False,True,False,True,True,,False,,True,True
Illinois,21676,23111.1,25503.4,23161.6,21180.0,21821.9,21694.0,,21897.0,20572.5,21238.8,21807.5,22907.0,20809.1,21554.5,,22102.6,,,20335.7,1435.1,3827.4,1485.6,-496.0,145.9,18.0,,221.0,-1103.5,-437.2,131.5,1231.0,-866.9,-121.5,,426.6,,,-1340.3,False,False,True,True,True,,True,True,True,True,True,True,True,,True,,,True
Indiana,11752,11544.7,11988.2,11455.2,9717.0,10613.5,9410.0,,10692.0,9822.9,10259.7,10682.7,10898.0,10165.6,11802.0,,11279.2,,10962.0,9246.9,-207.3,236.2,-296.8,-2035.0,-1138.5,-2342.0,,-1060.0,-1929.1,-1492.3,-1069.3,-854.0,-1586.4,50.0,,-472.8,,-790.0,-2505.1,False,False,False,False,False,,False,False,False,False,False,False,True,,False,,False,False
Iowa,5108,4927.1,4611.7,4961.6,5389.0,5472.5,5030.0,,4903.0,4686.8,4834.5,4608.4,4802.0,4629.1,5182.0,,4799.8,,5381.0,4604.2,-180.9,-496.3,-146.4,281.0,364.5,-78.0,,-205.0,-421.2,-273.5,-499.6,-306.0,-478.9,74.0,,-308.2,,273.0,-503.8,False,True,False,False,True,,False,False,False,False,False,False,True,,False,,False,False
Kansas,4075,4664.3,4788.5,4717.3,3847.0,3993.4,4335.0,,3803.0,4139.7,3781.9,3870.1,3801.0,3542.5,3940.0,,4007.9,,4297.5,3379.8,589.3,713.5,642.3,-228.0,-81.6,260.0,,-272.0,64.7,-293.1,-204.9,-274.0,-532.5,-135.0,,-67.1,,222.5,-695.2,False,False,True,True,True,,True,True,True,True,True,True,True,,True,,True,False
Kentucky,4020,3539.0,3580.3,3518.3,3099.0,3295.6,3075.0,,3476.0,3718.4,4183.0,3437.7,3515.5,3181.3,3828.0,,3601.5,,4267.4,3097.2,-481.0,-439.7,-501.7,-921.0,-724.4,-945.0,,-544.0,-301.6,163.0,-582.3,-504.5,-838.7,-192.0,,-418.5,,247.4,-922.8,True,False,False,False,False,,False,True,True,False,False,False,True,,True,,True,False
Louisiana,9076,8731.9,8219.9,8566.8,8505.0,8842.0,8792.0,,8832.0,8645.9,8611.0,8794.1,8709.0,8402.2,9114.0,,8449.9,,8684.2,8034.9,-344.1,-856.1,-509.2,-571.0,-234.0,-284.0,,-244.0,-430.1,-465.0,-281.9,-367.0,-673.8,38.0,,-626.1,,-391.8,-1041.1,False,False,False,True,True,,True,False,False,True,False,False,True,,False,,False,False
Maine,634,533.9,499.1,553.0,546.0,701.1,542.0,,586.0,511.7,989.1,495.7,551.0,474.4,608.0,,516.5,,528.2,411.1,-100.1,-134.9,-81.0,-88.0,67.1,-92.0,,-48.0,-122.3,355.1,-138.3,-83.0,-159.6,-26.0,,-117.5,,-105.8,-222.9,False,True,True,True,True,,True,False,False,False,True,False,True,,False,,False,False
Maryland,7329,7363.7,7246.5,7402.0,7000.0,7559.6,6599.0,,7236.0,7235.4,7362.8,7459.9,7308.0,7150.3,6928.5,,7106.8,,8239.7,6451.9,34.7,-82.5,73.0,-329.0,230.6,-730.0,,-93.0,-93.6,33.8,130.9,-21.0,-178.7,-400.5,,-222.2,,910.7,-877.1,False,False,False,False,False,,False,False,True,False,True,False,False,,False,,False,False
Massachusetts,14921,15038.6,15612.2,14963.3,13766.0,14659.6,14486.0,,14889.0,14392.0,15076.0,16256.9,15821.0,14988.8,15050.0,,14637.7,,14946.1,13175.1,117.6,691.2,42.3,-1155.0,-261.4,-435.0,,-32.0,-529.0,155.0,1335.9,900.0,67.8,129.0,,-283.3,,25.1,-1745.9,False,True,False,False,False,,True,False,False,False,False,True,False,,False,,True,False
Michigan,15854,16298.0,16572.3,16385.6,14498.0,15321.0,15012.0,,16243.0,14724.1,15822.4,15334.0,16303.5,15671.3,15169.5,,14317.4,,16474.2,14310.1,444.0,718.3,531.6,-1356.0,-533.0,-842.0,,389.0,-1129.9,-31.6,-520.0,449.5,-182.7,-684.5,,-1536.6,,620.2,-1543.9,False,False,False,False,False,,True,False,True,False,False,True,False,,False,,False,False
Minnesota,6357,6863.6,7035.8,6787.3,5984.0,6636.1,6742.0,,7013.0,5911.5,6552.1,6386.3,6607.0,6315.5,6474.0,,6732.5,,6733.3,6240.8,506.6,678.8,430.3,-373.0,279.1,385.0,,656.0,-445.5,195.1,29.3,250.0,-41.5,117.0,,375.5,,376.3,-116.2,False,True,True,True,True,,False,True,True,True,True,True,True,,True,,True,True
Mississippi,6266,6158.1,6835.1,6215.4,5438.0,6108.4,6105.0,,5971.0,5837.3,5757.6,6136.3,5990.5,5460.7,5522.0,,6246.5,,5967.6,5318.0,-107.9,569.1,-50.6,-828.0,-157.6,-161.0,,-295.0,-428.7,-508.4,-129.7,-275.5,-805.3,-744.0,,-19.5,,-298.4,-948.0,False,True,False,False,False,,False,False,False,False,False,False,False,,True,,False,False
Missouri,7444,7023.1,7134.3,6951.6,7192.0,7678.5,7369.0,,7737.0,6422.7,7145.6,7405.4,6884.0,6405.4,8339.0,,6366.4,,,6171.5,-416.9,-305.7,-488.4,-248.0,238.5,-71.0,,297.0,-1017.3,-294.4,-34.6,-556.0,-1034.6,899.0,,-1073.6,,,-1268.5,True,False,True,True,True,,True,False,True,True,False,False,False,,False,,,False
Montana,1312,1205.1,1158.9,1231.0,1073.0,1097.3,1041.0,,1288.0,1098.5,1278.8,1100.9,1074.0,1204.3,1158.0,,1283.3,,1236.2,1103.1,-106.9,-153.1,-81.0,-239.0,-214.7,-271.0,,-24.0,-213.5,-33.2,-211.1,-238.0,-107.7,-154.0,,-28.7,,-75.8,-208.9,False,True,False,False,False,,True,False,True,False,False,False,False,,True,,True,False
Nebraska,1968,2220.9,2377.6,2219.0,1876.0,2109.6,2121.0,,2091.5,1919.5,2208.8,1926.5,1837.0,2010.1,2010.0,,2110.9,,2280.7,1952.9,252.9,409.6,251.0,-92.0,141.6,153.0,,123.5,-48.5,240.8,-41.5,-131.0,42.1,42.0,,142.9,,312.7,-15.1,False,True,True,True,True,,True,True,True,True,True,True,True,,True,,False,True
Nevada,4496,4297.1,3948.9,4178.2,3708.0,4268.8,3798.0,,4153.0,3598.5,4003.7,4108.4,3884.0,4153.8,3984.0,,4121.8,,,3568.9,-198.9,-547.1,-317.8,-788.0,-227.2,-698.0,,-343.0,-897.5,-492.3,-387.6,-612.0,-342.2,-512.0,,-374.2,,,-927.1,False,False,False,False,False,,False,False,False,False,False,False,False,,False,,,False
New Hampshire,1098,1129.7,1793.3,1109.0,992.0,1132.8,962.0,,1167.0,1006.5,1280.0,1035.5,1034.0,941.7,1481.0,,1003.1,,1210.0,842.2,31.7,695.3,11.0,-106.0,34.8,-136.0,,69.0,-91.5,182.0,-62.5,-64.0,-156.3,383.0,,-94.9,,112.0,-255.8,False,True,False,False,False,,False,False,False,False,False,False,False,,False,,False,False
New Jersey,21964,22015.4,22204.6,22058.7,21076.0,21545.5,20121.0,,21390.0,20416.3,21680.8,21531.5,21715.0,23211.9,21156.0,,22122.2,,21472.0,19744.6,51.4,240.6,94.7,-888.0,-418.5,-1843.0,,-574.0,-1547.7,-283.2,-432.5,-249.0,1247.9,-808.0,,158.2,,-492.0,-2219.4,False,False,False,False,False,,False,False,False,False,False,False,False,,False,,False,False
New Mexico,3386,3546.7,3217.5,3623.9,3103.0,3213.0,2968.0,,3315.0,3086.7,3029.7,3477.1,3169.0,3549.5,3430.0,,3329.3,,3412.8,2986.9,160.7,-168.5,237.9,-283.0,-173.0,-418.0,,-71.0,-299.3,-356.3,91.1,-217.0,163.5,44.0,,-56.7,,26.8,-399.1,False,False,False,False,False,,True,False,False,True,False,False,True,,True,,True,False
New York,44664,43291.6,43475.4,43219.4,43714.0,44946.1,41876.0,,42666.0,42213.4,46050.5,45320.3,45637.5,42618.1,39955.5,,43852.5,,44464.1,38854.5,-1372.4,-1188.6,-1444.6,-950.0,282.1,-2788.0,,-1998.0,-2450.6,1386.5,656.3,973.5,-2045.9,-4708.5,,-811.5,,-199.9,-5809.5,True,False,True,True,False,,False,False,False,True,True,False,False,,True,,True,False
North Carolina,9926,8663.4,8663.7,8722.6,7961.0,8890.7,9492.0,,8979.0,8906.4,10106.9,9760.4,8410.5,8533.2,10184.0,,8478.8,,8818.2,7696.5,-1262.6,-1262.3,-1203.4,-1965.0,-1035.3,-434.0,,-947.0,-1019.6,180.9,-165.6,-1515.5,-1392.8,258.0,,-1447.2,,-1107.8,-2229.5,True,True,False,True,True,,True,True,True,True,False,False,True,,False,,True,False
North Dakota,1453,1523.7,1443.8,1540.0,1404.0,1512.4,1391.0,,1543.0,1414.1,1499.1,1401.8,1390.0,1470.2,1424.0,,1439.9,,1439.8,1474.8,77.7,-2.2,94.0,-42.0,66.4,-55.0,,97.0,-31.9,53.1,-44.2,-56.0,24.2,-22.0,,-6.1,,-6.2,28.8,True,False,True,True,True,,False,True,True,True,True,True,True,,True,,True,True
Ohio,11652,11830.0,12824.6,11722.7,10228.0,11427.1,11752.0,,12279.0,10477.6,12861.1,10992.6,11714.0,10642.1,11134.0,,11989.1,,11302.9,10070.1,178.0,1172.6,70.7,-1424.0,-224.9,100.0,,627.0,-1174.4,1209.1,-659.4,62.0,-1009.9,-518.0,,337.1,,-349.1,-1581.9,False,True,False,False,True,,False,False,False,False,True,False,False,,False,,False,False
Oklahoma,3761,3406.7,3400.9,3377.0,3242.0,3354.4,3374.0,,3544.0,3260.5,3846.2,3514.7,3473.0,3010.8,3541.0,,3470.2,,3307.4,2910.4,-354.3,-360.1,-384.0,-519.0,-406.6,-387.0,,-217.0,-500.5,85.2,-246.3,-288.0,-750.2,-220.0,,-290.8,,-453.6,-850.6,False,False,False,False,False,,True,False,True,True,True,False,True,,True,,False,False
Oregon,2020,1854.6,1599.8,1841.8,1770.0,2178.3,2038.0,,1955.0,2049.5,2426.9,1884.5,1755.0,1987.0,1869.0,,1885.9,,2120.6,1742.6,-165.4,-420.2,-178.2,-250.0,158.3,18.0,,-65.0,29.5,406.9,-135.5,-265.0,-33.0,-151.0,,-134.1,,100.6,-277.4,False,False,False,True,True,,True,True,False,True,False,True,True,,True,,True,False
Pennsylvania,22353,22354.9,24075.2,22784.8,19557.0,23573.5,23269.0,,23146.0,18694.9,21031.5,21189.1,21689.0,20854.8,20143.5,,22379.9,,22086.5,17852.5,1.9,1722.2,431.8,-2796.0,1220.5,916.0,,793.0,-3658.1,-1321.5,-1163.9,-664.0,-1498.2,-2209.5,,26.9,,-266.5,-4500.5,False,False,False,False,False,,False,False,False,False,False,False,False,,False,,False,False
Rhode Island,2212,2131.6,2455.3,2141.6,1906.0,2220.2,2078.0,,2292.0,2045.1,2071.3,2119.1,1989.0,2184.4,2439.0,,1911.3,,2195.4,1838.3,-80.4,243.3,-70.4,-306.0,8.2,-134.0,,80.0,-166.9,-140.7,-92.9,-223.0,-27.6,227.0,,-300.7,,-16.6,-373.7,False,True,False,True,False,,True,False,False,False,False,True,False,,False,,True,False
South Carolina,7611,6994.1,7343.3,6690.2,6615.0,6871.6,6562.0,,6564.0,6750.0,7046.8,7699.6,8051.0,6174.8,6350.0,,6620.9,,7134.1,5947.1,-616.9,-267.7,-920.8,-996.0,-739.4,-1049.0,,-1047.0,-861.0,-564.2,88.6,440.0,-1436.2,-1261.0,,-990.1,,-476.9,-1663.9,True,False,False,False,False,,False,False,True,True,True,False,False,,False,,True,False
South Dakota,1804,1838.4,1750.6,1776.1,1679.0,1810.3,1952.0,,1881.0,1753.2,1726.5,1758.3,1625.0,1850.8,1797.5,,1596.4,,1760.4,1727.4,34.4,-53.4,-27.9,-125.0,6.3,148.0,,77.0,-50.8,-77.5,-45.7,-179.0,46.8,-6.5,,-207.6,,-43.6,-76.6,False,True,False,True,False,,False,False,False,False,False,False,True,,False,,False,False
Tennessee,10463,9516.7,9718.2,9604.7,7898.0,11021.5,11556.0,,9861.0,8497.7,9498.2,9561.8,8861.0,8645.1,9945.0,,9884.3,,9399.1,7927.2,-946.3,-744.8,-858.3,-2565.0,558.5,1093.0,,-602.0,-1965.3,-964.8,-901.2,-1602.0,-1817.9,-518.0,,-578.7,,-1063.9,-2535.8,True,True,False,True,False,,True,False,False,True,False,False,True,,True,,False,False
Texas,39182,35540.9,39881.3,35449.3,35335.0,35016.8,33025.0,,35758.0,36661.0,36882.1,36585.7,35862.5,33129.5,33904.0,,34534.7,,34407.8,31416.9,-3575.1,765.3,-3666.7,-3781.0,-4099.2,-6091.0,,-3358.0,-2455.0,-2233.9,-2530.3,-3253.5,-5986.5,-5212.0,,-4581.3,,-4708.2,-7699.1,True,False,False,False,False,,True,True,True,True,True,False,False,,False,,False,False
Utah,1733,1723.6,1592.3,1704.0,1594.0,1881.4,1508.0,,1678.0,1875.0,1490.7,1620.6,1527.0,1570.3,1651.0,,1729.9,,1679.5,1069.0,-9.4,-140.7,-29.0,-139.0,148.4,-225.0,,-55.0,142.0,-242.3,-112.4,-206.0,-162.7,-82.0,,-3.1,,-53.5,-664.0,False,False,False,False,False,,False,False,False,False,False,False,False,,True,,False,False
Vermont,182,203.1,202.6,229.0,198.0,236.8,189.0,,219.0,212.0,289.5,308.5,182.0,139.0,139.0,,210.7,,209.1,154.4,21.1,20.6,47.0,16.0,54.8,7.0,,37.0,30.0,107.5,126.5,0.0,-43.0,-43.0,,28.7,,27.1,-27.6,True,False,True,False,True,,False,False,False,False,True,False,False,,False,,False,False
Virginia,6773,6435.4,7020.7,6501.9,6155.0,6646.2,6199.0,,6253.0,6138.4,7498.8,6662.4,6448.0,5922.7,7282.0,,6283.9,,6277.1,5592.1,-337.6,247.7,-271.1,-618.0,-126.8,-574.0,,-520.0,-634.6,725.8,-110.6,-325.0,-850.3,509.0,,-489.1,,-495.9,-1180.9,True,True,False,True,False,,False,False,False,True,True,False,False,,False,,False,False
Washington,4449,4794.7,5470.0,4845.6,3913.0,3850.5,3907.0,,4380.0,3929.8,4648.1,4344.3,4140.0,3831.4,6380.0,,4275.8,,,3782.5,345.7,1021.0,396.6,-536.0,-598.5,-542.0,,-69.0,-519.2,199.1,-104.7,-309.0,-617.6,1931.0,,-173.2,,,-666.5,False,False,False,False,False,,True,False,True,True,True,False,False,,True,,,False
West Virginia,2119,1968.6,2294.2,1972.8,2068.0,2204.3,2275.0,,1933.0,1883.5,2340.2,2200.9,1933.5,2047.3,2488.0,,2051.9,,1939.9,1667.2,-150.4,175.2,-146.2,-51.0,85.3,156.0,,-186.0,-235.5,221.2,81.9,-185.5,-71.7,369.0,,-67.1,,-179.1,-451.8,False,True,True,True,False,,False,False,False,True,False,True,False,,True,,False,False
Wisconsin,6611,6339.3,6271.0,6390.7,6156.0,6684.6,5415.0,,6504.0,6439.1,6675.2,6136.4,5683.0,6272.2,6266.0,,6542.7,,6301.6,6037.2,-271.7,-340.0,-220.3,-455.0,73.6,-1196.0,,-107.0,-171.9,64.2,-474.6,-928.0,-338.8,-345.0,,-68.3,,-309.4,-573.8,False,True,False,True,False,,True,True,True,False,False,False,False,,True,,False,False
Wyoming,624,753.7,581.1,763.0,567.0,517.1,587.0,,599.0,529.3,566.2,518.1,645.0,594.2,581.0,,511.6,,563.9,527.2,129.7,-42.9,139.0,-57.0,-106.9,-37.0,,-25.0,-94.7,-57.8,-105.9,21.0,-29.8,-43.0,,-112.4,,-60.1,-96.8,True,False,True,True,True,,True,True,True,True,True,True,True,,True,,True,True
US,462169,441252.6,424632.8,441564.7,436034.0,449402.3,424024.0,456603.0,429386.0,413388.5,451549.7,444943.8,433264.0,,438317.5,458386.8,410027.7,444121.0,,386723.9,-20839.4,-37459.2,-20527.3,-26058.0,-12689.7,-38068.0,-5489.0,-32706.0,-48703.5,-10542.3,-17148.2,-28828.0,,-23774.5,-3705.2,-52064.3,-17971.0,,-75368.1,False,True,False,True,False,True,False,False,True,True,False,,False,True,False,True,,False
