,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR
North Carolina,9926,8226.7,8455.7,10418.0,7912.0,9020.6,8165.7,-1699.3,-1470.3,492.0,-2014.0,-905.4,-1760.3,True,True,False,True,False
North Dakota,1453,1842.7,1716.5,1494.4,1911.0,1304.4,1220.4,389.7,263.5,41.4,458.0,-148.6,-232.6,True,True,False,True,True
Ohio,11652,11919.0,13857.4,12815.6,12104.0,11265.8,13273.6,267.0,2205.4,1163.6,452.0,-386.2,1621.6,False,False,False,False,False
Oklahoma,3761,3313.1,3460.8,3530.6,3490.0,2826.8,3866.5,-447.9,-300.2,-230.4,-271.0,-934.2,105.5,True,True,True,False,True
Oregon,2020,2166.7,2205.7,3213.0,2054.0,2702.2,2522.0,146.7,185.7,1193.0,34.0,682.2,502.0,False,False,True,False,False
Pennsylvania,22353,19740.1,23866.6,22147.8,19930.0,22889.5,19751.2,-2612.9,1513.6,-205.2,-2423.0,536.5,-2601.8,True,True,True,True,True
Rhode Island,2212,2006.4,2166.8,1980.8,1772.0,2172.4,1834.9,-205.6,-45.2,-231.2,-440.0,-39.6,-377.1,True,False,False,True,False
South Carolina,7611,6452.6,5852.1,6953.2,5577.0,5858.0,6466.1,-1158.4,-1758.9,-657.8,-2034.0,-1753.0,-1144.9,False,True,False,False,True
South Dakota,1804,2589.1,2223.6,1996.5,2865.0,1678.7,1554.9,785.1,419.6,192.5,1061.0,-125.3,-249.1,True,True,False,True,True
Tennessee,10463,8388.4,9839.5,9102.2,8587.0,8509.1,8763.2,-2074.6,-623.5,-1360.8,-1876.0,-1953.9,-1699.8,True,True,True,True,True
Texas,39182,34598.1,36184.8,36158.7,34884.0,43387.1,32989.0,-4287.9,-2701.2,-2727.3,-4002.0,4501.1,-5897.0,True,True,True,False,False
Utah,1733,1567.9,2361.3,2304.3,1794.0,1376.7,1513.8,-165.1,628.3,571.3,61.0,-356.3,-219.2,False,False,True,False,False
Vermont,182,185.3,157.5,106.0,81.5,220.5,196.6,3.3,-24.5,-76.0,-100.5,38.5,14.6,False,False,False,False,False
Virginia,6773,5457.7,6362.2,9417.5,5631.0,6590.0,5362.0,-1315.3,-410.8,2644.5,-1142.0,-183.0,-1411.0,True,False,True,True,False
Washington,4449,4891.3,4604.9,4682.2,4470.0,4928.2,5846.9,400.3,113.9,191.2,-21.0,437.2,1355.9,True,True,True,False,False
West Virginia,2119,1803.4,2413.9,2255.0,1682.0,2128.5,2391.1,-315.6,294.9,136.0,-437.0,9.5,272.1,True,True,False,True,True
Wisconsin,6611,8070.6,6244.1,7364.7,7746.0,4930.4,7762.4,1459.6,-366.9,753.7,1135.0,-1680.6,1151.4,True,True,True,False,True
Wyoming,624,717.7,726.8,713.2,698.5,457.6,441.2,93.7,102.8,89.2,74.5,-166.4,-182.8,False,True,True,False,False
US,462169,418929.3,473483.1,450951.4,411194.0,437087.6,421870.3,-42935.7,11618.1,-10913.6,-50671.0,-24777.4,-39994.7,True,True,False,True,True
