,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
South Dakota,1804,2165.3,2229.4,2831.0,1397.5,361.3,425.4,1027.0,-406.5,False,False,False
Tennessee,10463,7392.9,10526.1,8482.0,8670.2,-3070.1,63.1,-1981.0,-1792.8,True,True,True
Texas,39182,30024.4,35995.4,34721.0,28205.6,-8801.6,-2830.6,-4105.0,-10620.4,True,True,False
Utah,1733,1607.3,2673.1,2106.0,1433.2,-125.7,940.1,373.0,-299.8,False,False,False
Vermont,182,106.4,57.9,108.0,80.3,-75.6,-124.1,-74.0,-101.7,False,True,False
Virginia,6773,5240.9,5748.4,5472.0,5089.7,-1532.1,-1024.6,-1301.0,-1683.3,True,True,False
Washington,4449,3531.0,10145.1,3936.0,4470.0,-890.0,5724.1,-485.0,49.0,False,True,True
West Virginia,2119,1389.4,2618.8,1812.0,1907.2,-729.6,499.8,-307.0,-211.8,True,True,True
Wisconsin,6611,6808.9,6686.7,7514.0,5806.4,197.9,75.7,903.0,-804.6,True,False,False
Wyoming,624,599.4,1088.8,712.0,440.8,-24.6,464.8,88.0,-183.2,False,False,False
US,462169,365513.4,468203.6,385236.0,355555.4,-96258.6,6431.6,-76536.0,-106216.6,True,True,False
