,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Kansas,4075,2050.4,3812.4,2296.0,1815.1,-1957.6,-195.6,-1712.0,-2192.9,True,True,False
Kentucky,4020,2542.1,3329.8,2642.0,3103.0,-1477.9,-690.2,-1378.0,-917.0,True,True,True
Louisiana,9076,7450.3,7547.4,6893.0,7597.1,-1625.7,-1528.6,-2183.0,-1478.9,True,False,True
Maine,634,216.3,275.1,266.5,161.6,-417.7,-358.9,-367.5,-472.4,True,True,False
Maryland,7329,4983.4,5648.2,4868.0,4702.2,-2345.6,-1680.8,-2461.0,-2626.8,True,False,False
Massachusetts,14921,11897.6,14994.1,11652.0,10709.0,-3023.4,73.1,-3269.0,-4212.0,True,False,False
Michigan,15854,11107.9,20264.0,10968.0,9825.7,-4746.1,4410.0,-4886.0,-6028.3,True,False,False
Minnesota,6357,5037.1,7635.0,6078.0,4197.7,-1319.9,1278.0,-279.0,-2159.3,True,True,False
Mississippi,6266,4664.4,4300.5,4359.0,4855.9,-1601.6,-1965.5,-1907.0,-1410.1,False,False,True
Missouri,7472,4797.9,8266.5,5528.0,3604.6,-2654.1,814.5,-1924.0,-3847.4,True,True,False
Montana,1312,1484.6,2118.5,1624.0,786.2,172.6,806.5,312.0,-525.8,False,False,False
Nebraska,1968,1333.0,2447.4,1466.0,883.8,-635.0,479.4,-502.0,-1084.2,True,True,False
Nevada,4496,2751.0,2774.4,2349.0,2774.8,-1745.0,-1721.6,-2147.0,-1721.2,True,False,True
New Hampshire,1098,566.1,824.7,697.0,528.2,-531.9,-273.3,-401.0,-569.8,True,True,False
New Jersey,21964,17393.3,18562.2,17640.0,17138.1,-4570.7,-3401.8,-4324.0,-4825.9,True,True,False
New Mexico,3386,2300.9,2688.0,2035.0,1782.5,-1085.1,-698.0,-1351.0,-1603.5,True,False,False
New York,44664,35844.4,47830.3,35598.0,34079.3,-8819.6,3166.3,-9066.0,-10584.7,True,False,False
North Carolina,9926,7487.0,7853.4,7192.0,6739.1,-2439.0,-2072.6,-2734.0,-3186.9,True,False,False
North Dakota,1453,2027.6,2241.7,1943.0,973.0,574.6,788.7,490.0,-480.0,False,True,True
Ohio,17422,8268.4,9021.3,8582.0,7992.5,-8958.6,-8205.7,-8645.0,-9234.5,True,True,False
Oklahoma,3761,2633.7,2684.4,3075.0,2224.0,-1127.3,-1076.6,-686.0,-1537.0,True,True,False
Oregon,2020,1231.4,1594.0,1192.0,1099.7,-788.6,-426.0,-828.0,-920.3,True,False,False
Pennsylvania,22353,11602.1,14246.9,11620.0,11007.0,-10750.9,-8106.1,-10733.0,-11346.0,True,True,False
Rhode Island,2400,1519.7,2596.6,1569.0,1281.2,-857.3,219.6,-808.0,-1095.8,True,True,False
South Carolina,7611,5321.7,6280.8,5351.0,4771.9,-2289.3,-1330.2,-2260.0,-2839.1,True,True,False
South Dakota,1804,1808.9,1914.4,1651.0,1065.4,4.9,110.4,-153.0,-738.6,False,False,False
Tennessee,10463,6706.4,7672.6,6200.0,6535.3,-3756.6,-2790.4,-4263.0,-3927.7,True,False,False
Texas,39182,27952.6,30151.8,27222.0,25799.3,-10878.4,-8679.2,-11609.0,-13031.7,True,False,False
Utah,1733,1237.6,2189.7,1491.0,1525.3,-495.4,456.7,-242.0,-207.7,True,True,True
Vermont,182,71.9,60.3,71.0,61.7,-110.1,-121.7,-111.0,-120.3,False,False,False
Virginia,6773,4375.6,5478.1,4798.0,3998.0,-2397.4,-1294.9,-1975.0,-2775.0,True,True,False
Washington,4449,3377.6,5503.5,3277.0,3406.9,-1088.4,1037.5,-1189.0,-1059.1,True,False,True
West Virginia,2119,1069.7,1141.0,1291.0,901.7,-1049.3,-978.0,-828.0,-1217.3,True,True,False
Wisconsin,6611,5719.1,8271.4,5733.0,5157.0,-633.9,1918.4,-620.0,-1196.0,False,True,False
Wyoming,624,461.1,758.9,440.0,262.2,-162.9,134.9,-184.0,-361.8,True,False,False
US,468282,322160.4,489900.5,313724.0,336551.0,-144471.6,23268.5,-152908.0,-130081.0,True,False,True
