,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15090,15021.7,15497.3,14799.6,15157.7,14968.0,15156.1,14935.0,14144.0,14950.0,13653.1,14063.0,14944.4,,14744.0,15034.8,,14871.3,15060.0,14585.6,15409.0,14004.7,14634.5,16284.5,15194.0,15008.0,16591.2,15049.5,15044.8,15484.9,14127.5,,15213.9,14955.0,,14813.0,16069.1,14497.0,14983.9,,14184.0,15084.7,14762.3,14573.0,14603.5,15272.0,15356.0,,13343.1,15173.0,-68.3,407.3,-290.4,67.7,-122.0,66.1,-155.0,-946.0,-140.0,-1436.9,-1027.0,-145.6,,-346.0,-55.2,,-218.7,-30.0,-504.4,319.0,-1085.3,-455.5,1194.5,104.0,-82.0,1501.2,-40.5,-45.2,394.9,-962.5,,123.9,-135.0,,-277.0,979.1,-593.0,-106.1,,-906.0,-5.3,-327.7,-517.0,-486.5,182.0,266.0,,-1746.9,83.0,False,False,True,False,True,False,False,False,False,False,False,,False,True,,False,True,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,False,,False,False
Hawaii,415,378.1,364.3,358.1,365.4,363.0,367.0,365.0,352.0,358.0,338.3,370.0,380.3,,,365.7,,371.0,,349.9,368.0,426.8,360.9,383.0,369.4,381.0,344.5,361.7,366.1,361.8,356.0,,,362.7,,364.0,375.9,378.0,366.8,,359.7,364.9,371.9,369.0,362.7,364.0,372.0,,352.6,366.0,-36.9,-50.7,-56.9,-49.6,-52.0,-48.0,-50.0,-63.0,-57.0,-76.7,-45.0,-34.7,,,-49.3,,-44.0,,-65.1,-47.0,11.8,-54.1,-32.0,-45.6,-34.0,-70.5,-53.3,-48.9,-53.2,-59.0,,,-52.3,,-51.0,-39.1,-37.0,-48.2,,-55.3,-50.1,-43.1,-46.0,-52.3,-51.0,-43.0,,-62.4,-49.0,False,False,False,False,False,False,False,False,False,False,True,,,False,,False,,False,False,True,False,True,False,True,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Idaho,1767,1784.1,1787.6,1772.0,1797.3,1799.0,1794.0,1794.0,1729.0,1771.0,1748.8,1757.0,1936.8,,1775.8,1821.1,,1816.0,1815.0,1797.1,1803.0,1823.0,1777.6,1727.0,1764.3,1809.0,,1802.4,1795.8,1766.2,1777.0,,,1769.0,,1794.0,1651.8,1763.0,1830.3,,1762.3,1817.8,1796.7,1755.0,1858.5,1793.0,1735.0,,1768.2,1795.0,17.1,20.6,5.0,30.3,32.0,27.0,27.0,-38.0,4.0,-18.2,-10.0,169.8,,8.8,54.1,,49.0,48.0,30.1,36.0,56.0,10.6,-40.0,-2.7,42.0,,35.4,28.8,-0.8,10.0,,,2.0,,27.0,-115.2,-4.0,63.3,,-4.7,50.8,29.7,-12.0,91.5,26.0,-32.0,,1.2,28.0,False,True,False,False,False,False,False,True,False,True,False,,True,False,,False,False,False,False,False,True,False,True,False,,False,False,True,True,,,True,,False,False,True,False,,True,False,False,True,False,False,False,,True,False
Illinois,21676,21850.0,21900.1,21799.8,21943.7,21924.0,21896.2,21936.0,22008.0,22162.0,21677.9,21739.0,22330.7,,21831.2,21966.0,,21857.4,22041.0,22206.8,21965.0,21777.0,21855.5,21427.0,21915.8,22025.0,21529.3,21960.6,22034.8,21893.4,21771.0,,22176.0,21723.7,,21970.0,21100.4,21569.0,21507.4,,21829.5,21952.8,21804.9,21781.0,22517.8,22011.0,21562.5,,21763.3,22204.0,174.0,224.1,123.8,267.7,248.0,220.2,260.0,332.0,486.0,1.9,63.0,654.7,,155.2,290.0,,181.4,365.0,530.8,289.0,101.0,179.5,-249.0,239.8,349.0,-146.7,284.6,358.8,217.4,95.0,,500.0,47.7,,294.0,-575.6,-107.0,-168.6,,153.5,276.8,128.9,105.0,841.8,335.0,-113.5,,87.3,528.0,False,True,False,False,False,False,False,False,True,True,False,,True,False,,False,False,False,False,True,False,False,False,False,True,False,False,False,True,,False,True,,False,False,True,True,,True,False,True,True,False,False,True,,True,False
Indiana,11752,10470.0,10510.5,10321.4,10514.1,10421.0,10504.9,10426.0,10274.0,10369.0,10408.8,10419.0,10605.8,,10392.7,10466.0,,10483.1,10506.0,10453.6,10406.0,10060.7,10433.9,10199.0,10318.3,10502.0,10271.5,10447.8,10460.0,10298.8,10809.0,,10350.5,10312.4,,10316.0,10360.0,10142.0,10546.0,,10250.0,10451.6,10371.4,10290.0,10474.1,10449.0,10196.5,,9882.0,10517.0,-2.0,38.5,-150.6,42.1,-51.0,32.9,-46.0,-198.0,-103.0,-63.2,-53.0,133.8,,-79.3,-6.0,,11.1,34.0,-18.4,-66.0,-411.3,-38.1,-273.0,-153.7,30.0,-200.5,-24.2,-12.0,-173.2,337.0,,-121.5,-159.6,,-156.0,-112.0,-330.0,74.0,,-222.0,-20.4,-100.6,-182.0,2.1,-23.0,-275.5,,-590.0,45.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Iowa,5108,4791.6,4807.3,4723.8,4822.4,4863.0,4815.9,4791.0,4684.0,4897.0,4629.1,5002.0,4772.5,,4735.4,4731.5,,4737.6,4890.0,4896.1,4833.0,4789.0,4775.3,4609.0,4786.1,4787.0,4638.0,4802.4,4814.2,4785.6,4680.0,,4888.4,4705.6,,4819.0,4288.3,4760.0,4801.9,,4644.4,4809.9,4775.1,4726.0,4896.8,4805.0,4664.0,,4750.3,4866.0,-316.4,-300.7,-384.2,-285.6,-245.0,-292.1,-317.0,-424.0,-211.0,-478.9,-106.0,-335.5,,-372.6,-376.5,,-370.4,-218.0,-211.9,-275.0,-319.0,-332.7,-499.0,-321.9,-321.0,-470.0,-305.6,-293.8,-322.4,-428.0,,-219.6,-402.4,,-289.0,-819.7,-348.0,-306.1,,-463.6,-298.1,-332.9,-382.0,-211.2,-303.0,-444.0,,-357.7,-242.0,True,False,True,True,True,False,False,True,False,True,False,,False,False,,False,True,True,True,False,False,False,False,False,False,True,True,False,False,,True,False,,True,False,False,True,,False,True,False,False,True,True,False,,False,True
Kansas,4075,3769.0,4412.0,4009.2,3808.8,3826.0,3783.0,4028.0,4052.0,4152.0,4143.7,4118.0,4436.0,,3878.2,4221.4,,4159.6,4256.0,4159.9,4077.0,3939.1,4000.3,3885.0,3776.8,4090.0,3914.0,4073.6,4106.6,3749.2,4087.0,,4267.6,3880.9,,3994.0,4188.9,3749.0,3932.7,,4028.2,4067.8,3847.8,3926.0,4026.2,3959.0,3919.0,,3891.5,3777.0,-306.0,337.0,-65.8,-266.2,-249.0,-292.0,-47.0,-23.0,77.0,68.7,43.0,361.0,,-196.8,146.4,,84.6,181.0,84.9,2.0,-135.9,-74.7,-190.0,-298.2,15.0,-161.0,-1.4,31.6,-325.8,12.0,,192.6,-194.1,,-81.0,113.9,-326.0,-142.3,,-46.8,-7.2,-227.2,-149.0,-48.8,-116.0,-156.0,,-183.5,-298.0,False,True,True,True,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,,True,True,False,True,,True,True,True,True,True,True,True,,True,True
Kentucky,4020,3967.0,3799.4,3805.2,3965.1,3939.0,3972.0,3914.0,3669.0,3928.0,3657.2,3712.0,3921.8,,3719.4,3942.3,,3865.6,3944.0,3754.7,4021.0,4013.5,3799.4,3969.0,3946.9,3970.0,3914.2,3920.0,3876.3,3952.3,4284.0,,,3853.6,,3895.0,3821.3,3837.0,4021.5,,3774.2,3938.8,3937.3,3914.0,3898.4,4021.0,4028.0,,3642.8,3912.0,-53.0,-220.6,-214.8,-54.9,-81.0,-48.0,-106.0,-351.0,-92.0,-362.8,-308.0,-98.2,,-300.6,-77.7,,-154.4,-76.0,-265.3,1.0,-6.5,-220.6,-51.0,-73.1,-50.0,-105.8,-100.0,-143.7,-67.7,264.0,,,-166.4,,-125.0,-198.7,-183.0,1.5,,-245.8,-81.2,-82.7,-106.0,-121.6,1.0,8.0,,-377.2,-108.0,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,True,True,False,True,False,True,False,False,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,True,True,,False,False
Louisiana,9076,9237.3,9211.1,9087.4,9272.5,9185.0,9289.0,9141.0,9009.0,9216.0,9009.5,9074.0,9737.6,,9220.8,9165.6,,9259.8,9246.0,9273.2,9100.0,9027.6,9063.3,9002.0,9192.8,9246.0,9239.4,9095.1,9203.0,9043.2,9146.0,,9125.3,9035.7,,9120.0,9527.1,9114.0,9359.2,,8877.0,9109.2,9067.0,9164.0,9198.6,9006.0,9181.0,,8827.6,11553.0,161.3,135.1,11.4,196.5,109.0,213.0,65.0,-67.0,140.0,-66.5,-2.0,661.6,,144.8,89.6,,183.8,170.0,197.2,24.0,-48.4,-12.7,-74.0,116.8,170.0,163.4,19.1,127.0,-32.8,70.0,,49.3,-40.3,,44.0,451.1,38.0,283.2,,-199.0,33.2,-9.0,88.0,122.6,-70.0,105.0,,-248.4,2477.0,True,True,False,True,False,True,True,True,True,True,False,,True,True,,False,False,False,True,True,True,True,True,False,False,True,True,True,True,,True,True,,True,False,True,False,,False,True,True,True,True,True,True,,False,False
Maine,634,605.3,672.1,666.4,621.0,666.0,618.0,664.0,655.0,692.0,649.3,673.0,675.0,,630.2,712.8,,689.2,686.0,737.1,677.0,760.4,677.8,621.0,631.1,712.0,,643.9,688.3,620.2,719.0,,,635.3,,673.0,655.9,593.0,595.2,,659.3,661.8,625.2,615.0,697.8,643.0,633.0,,590.7,677.0,-28.7,38.1,32.4,-13.0,32.0,-16.0,30.0,21.0,58.0,15.3,39.0,41.0,,-3.8,78.8,,55.2,52.0,103.1,43.0,126.4,43.8,-13.0,-2.9,78.0,,9.9,54.3,-13.8,85.0,,,1.3,,39.0,21.9,-41.0,-38.8,,25.3,27.8,-8.8,-19.0,63.8,9.0,-1.0,,-43.3,43.0,False,False,True,False,True,False,True,False,True,False,False,,True,False,,False,False,False,False,False,False,True,True,False,,True,False,True,False,,,True,,False,True,False,False,,True,True,True,True,False,True,True,,False,False
Maryland,7329,7418.4,7386.2,7341.0,7426.2,7402.0,7429.0,7429.0,7429.0,7440.0,7249.2,7893.0,7533.8,,7478.4,7426.8,,7403.7,7412.0,7494.4,7414.0,7348.1,7449.5,7295.0,7414.0,7451.0,7270.7,7429.8,7450.8,7344.7,7365.0,,7442.1,7359.5,,7375.0,7280.9,7477.0,7374.6,,7210.1,7445.9,7295.2,7342.0,7486.9,7465.0,7429.0,,7028.6,7441.0,89.4,57.2,12.0,97.2,73.0,100.0,100.0,100.0,111.0,-79.8,564.0,204.8,,149.4,97.8,,74.7,83.0,165.4,85.0,19.1,120.5,-34.0,85.0,122.0,-58.3,100.8,121.8,15.7,36.0,,113.1,30.5,,46.0,-48.1,148.0,45.6,,-118.9,116.9,-33.8,13.0,157.9,136.0,100.0,,-300.4,112.0,True,True,False,True,False,False,False,False,True,False,False,,False,False,,True,True,False,True,True,False,True,True,False,True,False,False,True,True,,False,True,,True,True,False,True,,False,False,True,True,False,False,False,,False,False
Massachusetts,14921,15026.3,15011.4,14961.6,15004.6,15019.0,15026.0,15058.0,15166.0,,15057.9,15207.0,15092.1,,15000.1,15078.9,,15242.1,15023.0,15006.8,15094.0,14855.4,14997.1,14742.0,14996.4,15138.0,15289.6,14950.1,15270.8,14954.6,15002.0,,15106.8,14998.3,,15094.0,16053.2,15302.0,14836.6,,14919.7,14960.4,14806.1,15009.0,15159.1,15075.0,15121.0,,14429.5,15216.0,105.3,90.4,40.6,83.6,98.0,105.0,137.0,245.0,,136.9,286.0,171.1,,79.1,157.9,,321.1,102.0,85.8,173.0,-65.6,76.1,-179.0,75.4,217.0,368.6,29.1,349.8,33.6,81.0,,185.8,77.3,,173.0,1132.2,381.0,-84.4,,-1.3,39.4,-114.9,88.0,238.1,154.0,200.0,,-491.5,295.0,True,True,True,True,True,False,False,,False,False,False,,True,False,,False,True,True,False,True,True,False,True,False,False,True,False,True,True,,False,True,,False,False,False,True,,True,True,False,True,False,False,False,,False,False
Michigan,15854,16131.9,16175.7,16031.3,16075.1,15935.0,16205.1,16053.0,16073.0,16167.0,15814.8,16064.0,16560.7,,15954.8,15962.0,,16148.6,16180.0,15909.3,15918.0,15816.5,15923.2,15843.0,15970.7,16129.0,15808.5,16114.1,16092.4,16119.1,16980.0,,16092.5,16025.0,,15951.0,15187.1,15723.0,15376.8,,15813.6,16155.9,16008.1,16020.0,16595.9,16199.0,15782.0,,15658.5,16181.0,277.9,321.7,177.3,221.1,81.0,351.1,199.0,219.0,313.0,-39.2,210.0,706.7,,100.8,108.0,,294.6,326.0,55.3,64.0,-37.5,69.2,-11.0,116.7,275.0,-45.5,260.1,238.4,265.1,1126.0,,238.5,171.0,,97.0,-666.9,-131.0,-477.2,,-40.4,301.9,154.1,166.0,741.9,345.0,-72.0,,-195.5,327.0,False,True,True,True,False,True,True,False,True,True,False,,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,,True,False,True,False,,True,False,True,True,False,False,True,,True,False
Minnesota,6357,6475.0,6430.9,6444.1,6478.1,6486.0,6483.0,6458.0,6402.0,6455.0,6428.7,6378.0,6548.6,,6488.6,6433.3,,6424.4,6603.0,6499.8,6546.0,6429.7,6385.6,6400.0,6481.2,6507.0,6333.4,6481.4,6502.6,6419.2,6553.0,,6651.7,6414.2,,6448.0,5426.0,6458.0,6521.9,,6310.8,6494.2,6410.1,6445.0,6689.6,6449.0,6470.0,,6417.3,6507.0,118.0,73.9,87.1,121.1,129.0,126.0,101.0,45.0,98.0,71.7,21.0,191.6,,131.6,76.3,,67.4,246.0,142.8,189.0,72.7,28.6,43.0,124.2,150.0,-23.6,124.4,145.6,62.2,196.0,,294.7,57.2,,91.0,-931.0,101.0,164.9,,-46.2,137.2,53.1,88.0,332.6,92.0,113.0,,60.3,150.0,True,True,False,False,False,True,True,True,True,True,False,,False,True,,True,False,False,False,True,True,True,False,False,True,False,False,True,False,,False,True,,True,False,True,False,,True,False,True,True,False,True,True,,True,False
Mississippi,6266,6238.1,6137.8,6303.0,6285.0,6313.0,6294.0,6266.0,6142.0,6326.0,6192.8,6139.0,6724.4,,6173.8,6270.7,,6261.4,6366.0,6357.8,6313.0,6106.6,6206.2,6184.0,6237.2,6385.0,6391.1,6277.5,6379.8,6208.8,6305.0,,6469.5,6313.5,,6310.0,6228.5,6179.0,6198.2,,6185.4,6287.4,6223.6,6261.0,6326.8,6264.0,6283.5,,6046.7,6364.0,-27.9,-128.2,37.0,19.0,47.0,28.0,0.0,-124.0,60.0,-73.2,-127.0,458.4,,-92.2,4.7,,-4.6,100.0,91.8,47.0,-159.4,-59.8,-82.0,-28.8,119.0,125.1,11.5,113.8,-57.2,39.0,,203.5,47.5,,44.0,-37.5,-87.0,-67.8,,-80.6,21.4,-42.4,-5.0,60.8,-2.0,17.5,,-219.3,98.0,False,False,True,False,False,True,False,False,False,False,False,,False,True,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,,False,True,False,True,False,True,True,,False,False
Missouri,7472,7362.3,7406.8,7315.0,7364.5,7343.0,7388.0,7298.0,7212.0,7342.0,7196.0,7239.0,7534.6,,7284.2,7326.1,,6537.7,7589.0,6841.9,7363.0,6908.3,7297.1,7165.0,7309.5,7350.0,7154.3,7407.6,7377.9,7232.0,7296.0,,7401.7,7329.1,,7334.0,7038.4,7095.0,7007.5,,7182.0,7439.6,7258.2,7221.0,7500.1,7144.0,7237.0,,6738.7,7188.0,-42.7,1.8,-90.0,-40.5,-62.0,-17.0,-107.0,-193.0,-63.0,-209.0,-166.0,129.6,,-120.8,-78.9,,-867.3,184.0,-563.1,-42.0,-496.7,-107.9,-240.0,-95.5,-55.0,-250.7,2.6,-27.1,-173.0,-109.0,,-3.3,-75.9,,-71.0,-366.6,-310.0,-397.5,,-223.0,34.6,-146.8,-184.0,95.1,-261.0,-168.0,,-666.3,-217.0,True,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False,False,False,False,False,True,True,False,False,,True,False,,False,False,False,False,,False,True,False,False,False,False,False,,False,False
Montana,1312,1260.6,1208.4,1201.7,1242.0,1193.0,1247.0,1225.0,1206.0,1219.0,1210.3,1190.0,1275.3,,1226.8,1199.5,,1181.5,1189.0,1189.1,1233.0,1253.5,1205.9,1187.0,1229.6,1245.0,1213.9,1221.4,1229.9,1254.4,1214.0,,,1203.0,,1225.0,1050.9,1228.0,1299.2,,1199.9,1241.3,1262.6,1215.0,1263.8,1195.0,1225.0,,1218.4,1280.0,-51.4,-103.6,-110.3,-70.0,-119.0,-65.0,-87.0,-106.0,-93.0,-101.7,-122.0,-36.7,,-85.2,-112.5,,-130.5,-123.0,-122.9,-79.0,-58.5,-106.1,-125.0,-82.4,-67.0,-98.1,-90.6,-82.1,-57.6,-98.0,,,-109.0,,-87.0,-261.1,-84.0,-12.8,,-112.1,-70.7,-49.4,-97.0,-48.2,-117.0,-87.0,,-93.6,-32.0,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,True,,False,False,True,False,True,False,False,,False,True
Nebraska,1968,1957.0,1961.5,1966.4,1956.6,1977.0,1963.0,1990.0,2001.0,2004.0,1935.7,1937.0,2041.8,,1983.5,2015.9,,2021.2,2053.5,2038.6,2018.0,2050.3,1982.4,1929.0,1968.7,2047.0,,1966.0,2024.3,1990.1,1989.0,,,1982.7,,2014.0,1749.6,1981.0,1946.1,,1990.2,1981.9,2040.0,1974.0,2060.0,1989.0,1971.0,,1980.6,2026.0,-11.0,-6.5,-1.6,-11.4,9.0,-5.0,22.0,33.0,36.0,-32.3,-31.0,73.8,,15.5,47.9,,53.2,85.5,70.6,50.0,82.3,14.4,-39.0,0.7,79.0,,-2.0,56.3,22.1,21.0,,,14.7,,46.0,-218.4,13.0,-21.9,,22.2,13.9,72.0,6.0,92.0,21.0,3.0,,12.6,58.0,True,True,False,True,True,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,True,False,,True,False,False,False,,,False,,False,False,False,False,,False,False,False,True,False,False,True,,False,False
Nevada,4496,4484.7,4539.1,4489.4,4487.1,4480.0,4511.0,4487.0,4430.0,4444.0,4313.6,4460.0,5128.8,,4484.8,4486.0,,4658.3,4622.0,4405.2,4503.0,4306.4,4406.3,4498.0,4479.0,4655.0,4513.0,4542.6,4530.0,4413.4,4639.0,,4665.2,4457.8,,4468.0,4296.7,4561.0,4422.8,,4440.8,4549.6,4358.1,4403.0,4641.0,4476.0,4539.5,,4274.8,4526.0,-11.3,43.1,-6.6,-8.9,-16.0,15.0,-9.0,-66.0,-52.0,-182.4,-36.0,632.8,,-11.2,-10.0,,162.3,126.0,-90.8,7.0,-189.6,-89.7,2.0,-17.0,159.0,17.0,46.6,34.0,-82.6,143.0,,169.2,-38.2,,-28.0,-199.3,65.0,-73.2,,-55.2,53.6,-137.9,-93.0,145.0,-20.0,43.5,,-221.2,30.0,False,True,True,False,False,True,False,False,False,False,False,,True,True,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
New Hampshire,1098,1087.3,1082.9,1103.8,1090.7,1107.0,1089.0,1113.0,1106.0,1120.0,1141.2,1114.0,1121.0,,1098.7,1089.5,,1103.9,1119.0,1124.2,1122.0,1167.4,1116.2,1062.0,1092.3,1144.0,,1106.8,1141.8,1085.5,1224.0,,,1084.9,,1124.0,1163.8,1097.0,1062.2,,1112.9,1124.8,1101.1,1104.0,1116.5,1104.0,1103.0,,1030.0,1133.0,-10.7,-15.1,5.8,-7.3,9.0,-9.0,15.0,8.0,22.0,43.2,16.0,23.0,,0.7,-8.5,,5.9,21.0,26.2,24.0,69.4,18.2,-36.0,-5.7,46.0,,8.8,43.8,-12.5,126.0,,,-13.1,,26.0,65.8,-1.0,-35.8,,14.9,26.8,3.1,6.0,18.5,6.0,5.0,,-68.0,35.0,False,True,True,True,True,False,True,False,False,False,False,,True,True,,True,False,False,False,False,False,False,True,False,,True,False,False,False,,,False,,False,False,True,False,,False,False,True,True,False,True,True,,False,False
New Jersey,21964,21901.9,22274.3,21952.6,21994.1,22017.0,21974.4,21997.0,22405.0,22312.0,21920.9,22164.0,22109.0,,22238.1,21975.2,,22006.7,22217.0,22328.5,22058.0,21831.4,22062.0,21999.0,21952.9,22118.0,21978.7,22104.2,22078.0,21914.3,21623.5,,21937.0,21930.2,,21942.0,20627.3,21736.0,21940.4,,21861.5,22105.4,21797.7,21888.0,21767.9,22055.0,21965.0,,21260.7,22152.0,-62.1,310.3,-11.4,30.1,53.0,10.4,33.0,441.0,348.0,-43.1,200.0,145.0,,274.1,11.2,,42.7,253.0,364.5,94.0,-132.6,98.0,35.0,-11.1,154.0,14.7,140.2,114.0,-49.7,-340.5,,-27.0,-33.8,,-22.0,-1336.7,-228.0,-23.6,,-102.5,141.4,-166.3,-76.0,-196.1,91.0,1.0,,-703.3,188.0,False,True,True,True,True,True,False,False,True,False,False,,False,True,,True,False,False,False,False,False,True,True,False,True,False,False,True,False,,True,True,,True,False,False,True,,False,False,False,False,False,False,True,,False,False
New Mexico,3386,3540.6,3440.1,3420.6,3541.2,3470.0,3525.0,3455.0,3392.0,3458.0,3304.2,3427.0,3559.6,,3475.4,3413.3,,3444.9,3454.0,3379.4,3464.0,3347.1,3393.7,3476.0,3469.4,3456.0,3381.0,3456.4,3471.1,3445.9,3417.0,,,3448.8,,3456.0,3112.9,3482.0,3465.3,,3270.9,3474.7,3439.9,3466.0,3569.3,3513.0,3507.0,,3365.2,3466.0,154.6,54.1,34.6,155.2,84.0,139.0,69.0,6.0,72.0,-81.8,41.0,173.6,,89.4,27.3,,58.9,68.0,-6.6,78.0,-38.9,7.7,90.0,83.4,70.0,-5.0,70.4,85.1,59.9,31.0,,,62.8,,70.0,-273.1,96.0,79.3,,-115.1,88.7,53.9,80.0,183.3,127.0,121.0,,-20.8,80.0,True,True,False,True,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,False,True,True,,True,True
New York,44664,44798.7,45178.0,44641.4,44813.2,44839.0,44790.1,44852.0,45430.0,45362.0,44566.0,45769.0,45302.4,,44415.1,45026.1,,45078.1,44690.0,45470.0,45049.0,44820.1,45183.6,44727.0,44902.9,45200.0,43537.6,44710.1,45174.3,44728.4,44895.5,,44299.2,44862.7,,44830.0,43284.3,44211.0,44806.7,,45145.0,44721.4,44332.6,44602.0,45027.6,45257.0,45625.0,,42699.6,44597.0,134.7,514.0,-22.6,149.2,175.0,126.1,188.0,766.0,698.0,-98.0,1105.0,638.4,,-248.9,362.1,,414.1,26.0,806.0,385.0,156.1,519.6,63.0,238.9,536.0,-1126.4,46.1,510.3,64.4,231.5,,-364.8,198.7,,166.0,-1379.7,-453.0,142.7,,481.0,57.4,-331.4,-62.0,363.6,593.0,961.0,,-1964.4,-67.0,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,True,False,False,False,False,True,False,False,False,True,False,True,False,,False,False,,False,False,False,False,,False,True,False,True,False,False,False,,False,True
