,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Minnesota,6357,6945.6,7252.2,7128.2,5839.0,6632.1,6775.0,,7253.9,7759.0,6714.8,5206.2,6754.2,6540.0,6821.0,,6235.6,588.6,895.2,771.2,-518.0,275.1,418.0,,896.9,1402.0,357.8,-1150.8,397.2,183.0,464.0,,-121.4,False,False,True,True,True,,False,False,True,False,True,True,True,,True
Mississippi,6266,5759.9,5579.3,5614.6,6042.0,6623.6,6073.0,,6409.4,6306.0,6354.0,5573.5,5666.9,7529.0,5405.0,,5618.3,-506.1,-686.7,-651.4,-224.0,357.6,-193.0,,143.4,40.0,88.0,-692.5,-599.1,1263.0,-861.0,,-647.7,False,False,True,True,True,,True,True,True,False,False,False,False,,False
Missouri,7444,7784.6,6226.7,8002.5,7899.0,7574.1,7547.0,,7937.3,8422.0,7887.4,5638.4,7321.1,11152.5,7457.0,,6269.5,340.6,-1217.3,558.5,455.0,130.1,103.0,,493.3,978.0,443.4,-1805.6,-122.9,3708.5,13.0,,-1174.5,False,False,False,True,True,,False,False,False,False,True,False,True,,False
Montana,1312,1269.6,1239.8,1249.2,1058.0,1105.6,1008.0,,1218.8,1405.0,1080.0,1032.1,1347.2,1172.0,1178.0,,1409.1,-42.4,-72.2,-62.8,-254.0,-206.4,-304.0,,-93.2,93.0,-232.0,-279.9,35.2,-140.0,-134.0,,97.1,False,False,False,False,False,,False,False,False,False,True,False,False,,False
Nebraska,1968,1986.6,2312.0,2062.8,1914.0,2297.5,2235.0,,2541.6,2427.0,2131.1,1704.9,2276.7,2006.0,1972.0,,1812.5,18.6,344.0,94.8,-54.0,329.5,267.0,,573.6,459.0,163.1,-263.1,308.7,38.0,4.0,,-155.5,False,False,False,False,False,,False,False,False,False,False,False,True,,False
Nevada,4496,3951.6,3364.7,4100.2,3858.0,4480.6,3738.0,,4709.7,4468.0,4825.2,3233.8,3929.6,4780.5,4139.0,,3869.9,-544.4,-1131.3,-395.8,-638.0,-15.4,-758.0,,213.7,-28.0,329.2,-1262.2,-566.4,284.5,-357.0,,-626.1,False,True,False,True,False,,True,True,True,False,False,True,True,,False
New Hampshire,1098,1012.6,1602.3,1007.0,988.0,1271.6,929.0,,1267.8,1178.0,1264.0,894.5,1409.5,1005.0,1192.0,,893.1,-85.4,504.3,-91.0,-110.0,173.6,-169.0,,169.8,80.0,166.0,-203.5,311.5,-93.0,94.0,,-204.9,False,False,False,False,False,,False,True,False,False,False,False,False,,False
New Jersey,21964,21183.7,21092.9,21254.7,20583.0,21768.1,19976.0,,22608.9,21530.0,22386.5,19503.0,22204.6,22257.0,20223.0,,21244.5,-780.3,-871.1,-709.3,-1381.0,-195.9,-1988.0,,644.9,-434.0,422.5,-2461.0,240.6,293.0,-1741.0,,-719.5,False,True,False,True,False,,True,True,True,False,True,True,False,,True
New Mexico,3386,3371.0,2826.3,3281.1,2865.0,3173.4,2896.0,,3791.1,3534.0,3416.8,2532.7,3059.6,3080.0,3618.0,,2653.5,-15.0,-559.7,-104.9,-521.0,-212.6,-490.0,,405.1,148.0,30.8,-853.3,-326.4,-306.0,232.0,,-732.5,False,False,False,False,False,,False,False,False,False,False,False,False,,False
New York,44664,43151.0,40120.3,43135.1,41588.0,44142.3,41939.0,,45461.5,43230.0,45434.7,40759.0,47067.2,46960.5,41133.0,,44525.1,-1513.0,-4543.7,-1528.9,-3076.0,-521.7,-2725.0,,797.5,-1434.0,770.7,-3905.0,2403.2,2296.5,-3531.0,,-138.9,False,False,False,True,False,,True,True,True,False,False,False,False,,True
North Carolina,9926,8452.6,8596.5,8576.7,8569.0,9358.3,9499.0,,9475.3,9392.0,9326.4,8321.5,10665.4,9171.0,8385.0,,8353.6,-1473.4,-1329.5,-1349.3,-1357.0,-567.7,-427.0,,-450.7,-534.0,-599.6,-1604.5,739.4,-755.0,-1541.0,,-1572.4,True,True,True,True,True,,True,True,True,False,True,True,False,,False
North Dakota,1453,1471.0,1463.1,1462.2,1417.0,1545.4,1384.0,,1847.7,1843.0,1482.7,1270.7,1535.6,1364.0,1558.0,,1369.7,18.0,10.1,9.2,-36.0,92.4,-69.0,,394.7,390.0,29.7,-182.3,82.6,-89.0,105.0,,-83.3,True,True,False,False,False,,False,False,False,False,False,False,False,,False
Ohio,11652,11215.0,10008.0,11144.0,10525.0,12622.1,12061.0,,12686.7,12706.0,12910.3,9623.2,13490.9,11464.0,12686.0,,11054.7,-437.0,-1644.0,-508.0,-1127.0,970.1,409.0,,1034.7,1054.0,1258.3,-2028.8,1838.9,-188.0,1034.0,,-597.3,False,False,False,False,True,,False,False,False,False,False,True,False,,False
Oklahoma,3761,3295.4,3299.2,3365.0,3465.0,3332.9,3511.0,,3673.0,3778.0,3687.9,3289.6,4070.5,3437.0,3613.0,,3524.8,-465.6,-461.8,-396.0,-296.0,-428.1,-250.0,,-88.0,17.0,-73.1,-471.4,309.5,-324.0,-148.0,,-236.2,True,True,True,True,True,,True,True,True,False,True,True,True,,True
Oregon,2020,1930.7,1476.8,1914.0,1744.0,2454.1,2092.0,,2889.3,2609.0,2240.8,1698.8,2677.7,2045.5,2544.5,,1981.6,-89.3,-543.2,-106.0,-276.0,434.1,72.0,,869.3,589.0,220.8,-321.2,657.7,25.5,524.5,,-38.4,False,False,False,False,True,,False,False,False,False,False,True,False,,True
Pennsylvania,22353,21616.9,22750.3,21480.0,19559.0,26434.2,25985.0,,25159.9,24360.0,27460.9,17957.6,22063.5,22811.0,19149.5,,18579.8,-736.1,397.3,-873.0,-2794.0,4081.2,3632.0,,2806.9,2007.0,5107.9,-4395.4,-289.5,458.0,-3203.5,,-3773.2,True,False,False,False,False,,False,False,False,False,True,True,False,,False
Rhode Island,2212,2166.7,2411.5,2178.9,1904.0,2440.2,2073.0,,2515.3,2414.5,2334.3,1808.8,2135.6,2336.0,2078.0,,1851.7,-45.3,199.5,-33.1,-308.0,228.2,-139.0,,303.3,202.5,122.3,-403.2,-76.4,124.0,-134.0,,-360.3,False,True,False,False,False,,False,False,False,False,False,False,False,,False
South Carolina,7611,6443.6,7545.1,6498.2,7216.0,7266.5,6402.0,,6850.4,6698.0,7018.4,6574.6,6975.1,6840.5,5920.0,,6411.6,-1167.4,-65.9,-1112.8,-395.0,-344.5,-1209.0,,-760.6,-913.0,-592.6,-1036.4,-635.9,-770.5,-1691.0,,-1199.4,True,True,True,True,False,,True,True,True,True,True,True,False,,False
South Dakota,1804,1943.9,1781.5,2021.9,1782.0,1970.7,1993.0,,1820.0,2002.0,2038.2,1490.8,1734.3,1722.0,1835.5,,1709.6,139.9,-22.5,217.9,-22.0,166.7,189.0,,16.0,198.0,234.2,-313.2,-69.7,-82.0,31.5,,-94.4,True,False,True,False,False,,True,False,False,False,True,True,True,,True
Tennessee,10463,9095.0,9956.7,9341.1,14219.0,12182.5,11678.0,,12073.2,11298.0,12001.4,11697.5,9687.3,17092.5,9206.0,,9542.7,-1368.0,-506.3,-1121.9,3756.0,1719.5,1215.0,,1610.2,835.0,1538.4,1234.5,-775.7,6629.5,-1257.0,,-920.3,True,True,False,False,True,,False,True,False,True,True,False,True,,True
Texas,39182,33637.3,40567.8,34126.9,40893.0,35629.7,32667.0,,36407.9,36558.0,37476.5,33773.0,36802.5,39593.0,34615.0,,31783.5,-5380.7,1549.8,-4891.1,1875.0,-3388.3,-6351.0,,-2610.1,-2460.0,-1541.5,-5245.0,-2215.5,575.0,-4403.0,,-7234.5,True,True,True,True,False,,True,True,True,True,True,True,True,,False
Utah,1733,1559.6,1320.2,1595.9,1646.0,2002.5,1483.0,,2244.6,2008.0,1788.6,1483.7,1490.5,1652.0,1979.0,,1533.8,-173.4,-412.8,-137.1,-87.0,269.5,-250.0,,511.6,275.0,55.6,-249.3,-242.5,-81.0,246.0,,-199.2,False,True,True,False,False,,False,False,True,False,False,True,False,,False
Vermont,182,220.7,266.6,199.0,189.0,272.2,211.0,,220.5,272.0,256.7,169.9,316.6,185.0,121.0,,144.0,38.7,84.6,17.0,7.0,90.2,29.0,,38.5,90.0,74.7,-12.1,134.6,3.0,-61.0,,-38.0,False,True,True,False,True,,True,False,False,True,False,True,False,,True
Virginia,6773,6048.9,7143.0,6021.6,6781.0,6654.9,6122.0,,7894.9,6568.0,7007.7,5961.9,7931.1,7511.5,6546.0,,5404.8,-724.1,370.0,-751.4,8.0,-118.1,-651.0,,1121.9,-205.0,234.7,-811.1,1158.1,738.5,-227.0,,-1368.2,True,False,True,True,True,,False,True,True,False,False,False,True,,False
Washington,4449,3652.6,3768.4,3664.2,3613.0,3856.3,3790.0,,5581.2,4430.5,3624.0,3358.0,4936.7,3297.0,3980.0,,4079.3,-796.4,-680.6,-784.8,-836.0,-592.7,-659.0,,1132.2,-18.5,-825.0,-1091.0,487.7,-1152.0,-469.0,,-369.7,True,True,False,True,True,,False,True,False,False,True,False,True,,True
West Virginia,2119,1992.0,2240.4,2039.1,2401.0,2311.2,2760.0,,2422.8,2302.0,2748.4,1732.9,2452.0,2131.0,2757.0,,1987.1,-127.0,121.4,-79.9,282.0,192.2,641.0,,303.8,183.0,629.4,-386.1,333.0,12.0,638.0,,-131.9,True,True,False,False,False,,False,False,False,False,False,True,False,,False
Wisconsin,6611,6772.7,7139.1,6871.4,6626.0,6787.4,5272.0,,6803.9,7552.0,7028.7,5717.4,6822.0,7632.5,7657.0,,6570.2,161.7,528.1,260.4,15.0,176.4,-1339.0,,192.9,941.0,417.7,-893.6,211.0,1021.5,1046.0,,-40.8,False,False,True,False,False,,False,False,False,False,False,False,False,,True
Wyoming,624,501.9,516.6,505.0,459.0,538.3,533.0,,654.5,630.0,408.8,441.1,553.5,625.0,552.0,,468.4,-122.1,-107.4,-119.0,-165.0,-85.7,-91.0,,30.5,6.0,-215.2,-182.9,-70.5,1.0,-72.0,,-155.6,True,True,False,True,True,,True,True,False,False,True,True,True,,False
US,462169,423610.9,361851.9,426408.0,458307.0,453598.5,424285.0,440966.0,474183.8,453676.0,475996.0,406555.4,461359.3,469901.0,434099.5,455281.4,374167.8,-38387.1,-100146.1,-35590.0,-3691.0,-8399.5,-37713.0,-21032.0,12185.8,-8322.0,13998.0,-55442.6,-638.7,7903.0,-27898.5,-6716.6,-87830.2,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False
