,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,15090,12488.1,13080.4,12525.6,40444.0,12853.3,,14659.1,13004.0,15001.2,14405.0,,12533.6,11129.8,-2601.9,-2009.6,-2564.4,25354.0,-2236.7,,-430.9,-2086.0,-88.8,-685.0,,-2556.4,-3960.2,True,True,False,True,,True,True,True,True,,True,False
Hawaii,415,336.9,440.8,351.4,543.0,360.5,,424.3,,399.4,387.3,,328.6,314.8,-78.1,25.8,-63.6,128.0,-54.5,,9.3,,-15.6,-27.7,,-86.4,-100.2,True,True,False,True,,True,,True,True,,False,False
Idaho,1767,2000.0,1610.3,2017.2,2127.0,2032.4,,2333.6,2156.0,2380.9,1733.8,,1728.2,1575.8,233.0,-156.7,250.2,360.0,265.4,,566.6,389.0,613.9,-33.2,,-38.8,-191.2,True,False,False,False,,False,False,False,True,,True,True
Illinois,21676,23730.4,29646.3,23986.4,21892.0,22047.3,,25479.5,22764.0,26143.9,19082.4,,20827.7,18520.3,2054.4,7970.3,2310.4,216.0,371.3,,3803.5,1088.0,4467.9,-2593.6,,-848.3,-3155.7,False,False,True,True,,False,True,False,False,,True,False
Indiana,11752,11511.4,12082.2,11398.8,10587.0,10899.6,,11001.9,11633.0,12745.0,9072.4,,11020.7,8134.2,-240.6,330.2,-353.2,-1165.0,-852.4,,-750.1,-119.0,993.0,-2679.6,,-731.3,-3617.8,False,False,False,False,,False,True,False,False,,False,False
Iowa,5108,6186.9,5983.9,5799.9,4727.0,4735.0,,3860.9,6403.0,5147.7,3776.4,,4833.9,4350.2,1078.9,875.9,691.9,-381.0,-373.0,,-1247.1,1295.0,39.7,-1331.6,,-274.1,-757.8,True,True,True,True,,False,False,True,False,,True,True
Kansas,4075,4185.6,4608.0,4224.2,3706.0,3697.8,,5032.5,4412.0,4766.8,3260.0,,3837.6,2835.4,110.6,533.0,149.2,-369.0,-377.2,,957.5,337.0,691.8,-815.0,,-237.4,-1239.6,False,False,False,False,,False,False,False,False,,False,False
Kentucky,4020,3699.9,3454.6,3623.7,3208.0,3564.2,,3732.9,3596.0,3965.2,3143.0,,3944.4,2785.7,-320.1,-565.4,-396.3,-812.0,-455.8,,-287.1,-424.0,-54.8,-877.0,,-75.6,-1234.3,False,False,False,False,,True,False,True,False,,True,False
Louisiana,9076,8578.0,13722.6,8583.8,8153.0,8627.8,,8868.9,8822.0,9159.7,8117.7,,8591.6,7617.9,-498.0,4646.6,-492.2,-923.0,-448.2,,-207.1,-254.0,83.7,-958.3,,-484.4,-1458.1,False,True,False,True,,True,True,True,False,,True,False
Maine,634,532.0,409.6,537.0,1986.0,737.1,,594.6,553.0,999.2,972.5,,452.7,334.8,-102.0,-224.4,-97.0,1352.0,103.1,,-39.4,-81.0,365.2,338.5,,-181.3,-299.2,False,True,False,False,,True,True,False,False,,False,False
Maryland,7329,7717.7,7587.8,7595.9,7508.0,7739.3,,8125.1,7325.0,8462.5,6749.0,,6968.5,5790.0,388.7,258.8,266.9,179.0,410.3,,796.1,-4.0,1133.5,-580.0,,-360.5,-1539.0,True,True,True,False,,False,True,False,False,,True,False
Massachusetts,14921,14240.4,14333.1,14109.6,18707.0,15488.3,,15328.0,14845.0,16732.2,15266.2,,13108.0,12286.6,-680.6,-587.9,-811.4,3786.0,567.3,,407.0,-76.0,1811.2,345.2,,-1813.0,-2634.4,True,False,False,True,,True,True,False,True,,False,False
Michigan,15854,18101.4,17976.2,18225.0,14924.0,16230.2,,17778.5,17931.0,18333.2,13400.0,,15013.5,13166.0,2247.4,2122.2,2371.0,-930.0,376.2,,1924.5,2077.0,2479.2,-2454.0,,-840.5,-2688.0,True,False,True,True,,True,True,False,False,,True,False
Minnesota,6357,7693.0,9438.3,7785.1,5886.0,6717.7,,7618.9,8707.0,7327.3,5246.8,,7380.8,5696.1,1336.0,3081.3,1428.1,-471.0,360.7,,1261.9,2350.0,970.3,-1110.2,,1023.8,-660.9,False,False,True,True,,True,False,True,True,,True,True
Mississippi,6266,5849.0,6414.7,5859.0,8073.0,6440.8,,6215.5,6237.0,7063.9,6401.4,,5747.5,4889.3,-417.0,148.7,-407.0,1807.0,174.8,,-50.5,-29.0,797.9,135.4,,-518.5,-1376.7,True,True,False,True,,True,True,False,True,,False,False
Missouri,7444,8278.3,8098.2,8172.4,6915.0,6840.7,,7765.0,7506.0,8159.1,5941.6,,5997.7,5647.2,834.3,654.2,728.4,-529.0,-603.3,,321.0,62.0,715.1,-1502.4,,-1446.3,-1796.8,True,True,True,True,,True,True,True,False,,False,False
Montana,1312,1187.3,1253.8,1199.9,1036.0,1095.5,,1234.3,1554.0,1138.6,989.2,,1264.9,1024.6,-124.7,-58.2,-112.1,-276.0,-216.5,,-77.7,242.0,-173.4,-322.8,,-47.1,-287.4,True,True,False,False,,True,False,False,False,,True,False
Nebraska,1968,2260.9,2421.8,2244.7,1826.0,2394.5,,2620.9,2354.5,2450.0,1791.3,,1670.8,1845.2,292.9,453.8,276.7,-142.0,426.5,,652.9,386.5,482.0,-176.7,,-297.2,-122.8,False,True,True,False,,False,False,False,True,,False,True
Nevada,4496,4424.7,3235.3,4352.0,4140.0,4574.4,,4592.8,4299.0,5412.1,3649.2,,4142.3,3159.0,-71.3,-1260.7,-144.0,-356.0,78.4,,96.8,-197.0,916.1,-846.8,,-353.7,-1337.0,False,False,False,False,,False,False,False,False,,False,False
New Hampshire,1098,1019.4,2753.0,999.8,1476.0,1158.6,,1658.9,1207.0,1391.2,1233.1,,780.3,698.5,-78.6,1655.0,-98.2,378.0,60.6,,560.9,109.0,293.2,135.1,,-317.7,-399.5,False,False,False,True,,False,False,False,False,,False,False
New Jersey,21964,21231.7,19574.6,21274.5,20290.0,21037.9,,22239.5,21060.0,22391.7,20093.3,,20347.8,18703.0,-732.3,-2389.4,-689.5,-1674.0,-926.1,,275.5,-904.0,427.7,-1870.7,,-1616.2,-3261.0,False,True,False,False,,True,False,True,False,,False,False
New Mexico,3386,3638.4,2682.9,3848.7,2856.0,3140.2,,3541.3,3646.0,3656.5,2622.3,,3272.3,2611.5,252.4,-703.1,462.7,-530.0,-245.8,,155.3,260.0,270.5,-763.7,,-113.7,-774.5,False,False,False,True,,True,False,False,False,,True,False
New York,44664,41992.1,73038.0,42118.1,42191.0,43513.4,,45212.2,41206.0,45616.7,43901.7,,46504.5,36616.9,-2671.9,28374.0,-2545.9,-2473.0,-1150.6,,548.2,-3458.0,952.7,-762.3,,1840.5,-8047.1,False,True,True,True,,True,False,True,True,,True,False
North Carolina,9926,8973.7,8521.5,8900.6,12888.0,9010.0,,9993.2,8963.0,10895.7,9232.4,,9161.8,7069.7,-952.3,-1404.5,-1025.4,2962.0,-916.0,,67.2,-963.0,969.7,-693.6,,-764.2,-2856.3,False,False,False,True,,True,False,False,True,,True,False
North Dakota,1453,1772.7,1618.4,1783.8,1482.0,1506.6,,1796.2,2331.0,1576.1,1339.0,,1414.7,1493.0,319.7,165.4,330.8,29.0,53.6,,343.2,878.0,123.1,-114.0,,-38.3,40.0,True,False,True,True,,False,False,True,True,,True,True
Ohio,11652,11852.7,10951.7,11909.6,12141.0,13251.7,,12721.7,13798.0,14526.1,10201.2,,12191.4,9097.6,200.7,-700.3,257.6,489.0,1599.7,,1069.7,2146.0,2874.1,-1450.8,,539.4,-2554.4,False,False,False,False,,False,False,False,False,,False,False
Oklahoma,3761,3226.9,3221.2,3218.4,2961.0,3299.6,,3554.2,3827.0,3663.5,2855.0,,3314.2,2583.6,-534.1,-539.8,-542.6,-800.0,-461.4,,-206.8,66.0,-97.5,-906.0,,-446.8,-1177.4,False,False,False,True,,True,True,True,False,,True,False
Oregon,2020,2616.4,1652.6,2670.0,1818.0,2526.0,,3147.0,2506.0,3004.5,1811.7,,2534.6,1635.5,596.4,-367.4,650.0,-202.0,506.0,,1127.0,486.0,984.5,-208.3,,514.6,-384.5,True,False,True,True,,False,True,False,True,,True,True
Pennsylvania,22353,23050.0,27592.6,23433.9,26479.0,25756.8,,25633.8,24558.0,31328.4,23991.7,,20562.0,15203.9,697.0,5239.6,1080.9,4126.0,3403.8,,3280.8,2205.0,8975.4,1638.7,,-1791.0,-7149.1,False,False,False,False,,False,False,False,False,,False,False
Rhode Island,2212,2420.4,2360.6,2436.9,2521.0,2377.5,,2481.3,2346.0,2672.8,2097.1,,2158.9,1648.4,208.4,148.6,224.9,309.0,165.5,,269.3,134.0,460.8,-114.9,,-53.1,-563.6,True,False,False,True,,False,True,False,True,,True,False
South Carolina,7611,6279.0,7861.7,6365.2,12281.0,6660.2,,6933.8,6158.0,7772.1,7203.3,,6372.1,5418.9,-1332.0,250.7,-1245.8,4670.0,-950.8,,-677.2,-1453.0,161.1,-407.7,,-1238.9,-2192.1,True,True,False,True,,True,False,True,True,,True,False
South Dakota,1804,2060.4,1826.8,2099.3,1857.0,2056.0,,1971.9,2489.0,2274.2,1591.5,,1674.4,1754.4,256.4,22.8,295.3,53.0,252.0,,167.9,685.0,470.2,-212.5,,-129.6,-49.6,True,False,True,True,,True,False,False,True,,True,True
Tennessee,10463,10247.0,10099.0,9881.0,43154.0,10271.0,,10063.0,10633.0,12992.6,20518.7,,10322.3,7038.0,-216.0,-364.0,-582.0,32691.0,-192.0,,-400.0,170.0,2529.6,10055.7,,-140.7,-3425.0,False,False,False,True,,False,True,False,False,,True,False
Texas,39182,35612.1,43974.8,35550.1,39438.0,35472.4,,35763.5,35012.0,40498.6,33866.6,,33694.9,29022.8,-3362.9,4999.8,-3424.9,463.0,-3502.6,,-3211.5,-3963.0,1523.6,-5108.4,,-5280.1,-9952.2,False,False,True,False,,True,False,True,False,,False,False
Utah,1733,1840.7,1452.1,1917.9,1600.0,2116.3,,2226.7,2104.0,1985.6,1413.0,,1769.2,996.0,107.7,-280.9,184.9,-133.0,383.3,,493.7,371.0,252.6,-320.0,,36.2,-737.0,False,False,False,False,,False,False,False,False,,True,False
Vermont,182,220.7,209.0,199.0,174.0,239.5,,216.1,267.0,284.1,214.1,,176.1,117.3,38.7,27.0,17.0,-8.0,57.5,,34.1,85.0,102.1,32.1,,-5.9,-64.7,True,True,True,False,,True,False,False,True,,True,False
Virginia,6773,6288.9,7700.5,6282.1,7700.0,6471.2,,7174.4,6342.5,7621.1,6819.9,,5875.4,5153.8,-484.1,927.5,-490.9,927.0,-301.8,,401.4,-430.5,848.1,46.9,,-897.6,-1619.2,False,False,False,True,,True,True,False,True,,False,False
Washington,4449,4221.7,3444.8,4245.3,3331.0,3800.8,,4771.4,4537.0,3981.8,3448.4,,4180.5,3432.3,-227.3,-1004.2,-203.7,-1118.0,-648.2,,322.4,88.0,-467.2,-1000.6,,-268.5,-1016.7,False,True,False,False,,False,True,False,False,,False,False
West Virginia,2119,2225.1,2194.2,2214.2,2076.0,2083.6,,2394.8,2254.0,2978.6,2014.3,,2340.7,1438.5,106.1,75.2,95.2,-43.0,-35.4,,275.8,135.0,859.6,-104.7,,221.7,-680.5,True,True,True,True,,False,False,False,True,,False,False
Wisconsin,6611,7513.3,7582.3,7508.7,6233.0,6504.9,,7537.1,7251.0,7679.4,5423.8,,6940.2,5760.5,902.3,971.3,897.7,-378.0,-106.1,,926.1,640.0,1068.4,-1187.2,,329.2,-850.5,False,True,True,True,,False,True,False,False,,True,True
Wyoming,624,556.7,482.0,561.0,442.0,542.2,,583.7,790.0,520.0,396.8,,464.5,451.9,-67.3,-142.0,-63.0,-182.0,-81.8,,-40.3,166.0,-104.0,-227.2,,-159.5,-172.1,False,True,False,False,,True,False,False,False,,False,False
US,462169,443668.0,615629.7,443917.4,578876.0,445845.4,459534.0,473323.5,460293.0,515030.5,442208.5,455750.0,431468.6,352361.1,-18292.0,153669.7,-18042.6,116916.0,-16114.6,-2426.0,11363.5,-1667.0,53070.5,-19751.5,-6210.0,-30491.4,-109598.9,False,True,False,True,True,True,True,False,False,True,False,False
