,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,15090,12197.4,12335.4,23572.0,12663.7,,14234.7,13289.0,15576.4,15145.7,11853.8,10969.5,-2892.6,-2754.6,8482.0,-2426.3,,-855.3,-1801.0,486.4,55.7,-3236.2,-4120.5,True,False,True,,True,True,True,True,False,False
Hawaii,415,368.3,352.0,455.0,326.5,,398.2,,363.5,340.9,301.0,308.6,-46.7,-63.0,40.0,-88.5,,-16.8,,-51.5,-74.1,-114.0,-106.4,False,True,False,,True,,False,False,False,False
Idaho,1767,2275.0,2264.8,2308.0,1903.0,,1875.0,2342.0,2791.5,1874.2,1965.9,1467.4,508.0,497.8,541.0,136.0,,108.0,575.0,1024.5,107.2,198.9,-299.6,True,False,True,,True,False,False,True,True,True
Illinois,21676,24948.3,24953.6,19418.0,21208.4,,22058.8,24666.0,25231.4,18505.4,22555.8,17523.4,3272.3,3277.6,-2258.0,-467.6,,382.8,2990.0,3555.4,-3170.6,879.8,-4152.6,False,True,True,,True,True,False,True,True,False
Indiana,11752,11228.6,11165.7,9626.0,10830.6,,9914.8,11754.0,13146.8,9182.2,10064.3,7578.6,360.6,297.7,-1242.0,-37.4,,-953.2,886.0,2278.8,-1685.8,-803.7,-3289.4,True,False,True,,False,False,False,False,False,False
Iowa,5108,7074.7,7416.0,3792.0,3920.1,,3860.9,6781.0,4582.8,3207.3,4644.8,3995.9,1966.7,2308.0,-1316.0,-1187.9,,-1247.1,1673.0,-525.2,-1900.7,-463.2,-1112.1,False,True,True,,True,True,True,True,True,True
Kansas,4075,4319.1,4360.9,3054.0,3370.6,,4110.8,4541.0,5014.0,2752.3,3722.4,2299.1,244.1,285.9,-1021.0,-704.4,,35.8,466.0,939.0,-1322.7,-352.6,-1775.9,False,False,False,,True,False,False,False,False,False
Kentucky,4020,3267.7,3232.4,3616.0,3751.3,,3549.8,3863.0,4178.9,3164.0,3402.8,2612.6,-752.3,-787.6,-404.0,-268.7,,-470.2,-157.0,158.9,-856.0,-617.2,-1407.4,False,True,True,,True,True,True,False,True,False
Louisiana,9076,8656.6,8520.5,8024.0,8970.1,,8389.2,8784.0,9524.9,8600.2,8710.3,7475.9,-419.4,-555.5,-1052.0,-105.9,,-686.8,-292.0,448.9,-475.8,-365.7,-1600.1,False,False,True,,False,True,False,False,True,False
Maine,634,492.7,497.0,789.0,602.4,,518.8,739.0,875.3,692.3,358.6,295.5,-141.3,-137.0,155.0,-31.6,,-115.2,105.0,241.3,58.3,-275.4,-338.5,True,False,True,,True,True,False,True,False,False
Maryland,7329,7246.3,7340.7,7068.0,7693.6,,8142.6,7136.0,8818.8,6853.1,6770.3,5512.7,-82.7,11.7,-261.0,364.6,,813.6,-193.0,1489.8,-475.9,-558.7,-1816.3,True,False,False,,False,False,False,False,False,False
Massachusetts,14921,14059.7,14138.6,24902.0,14687.0,,13515.3,14581.0,17884.3,16273.5,13561.6,12016.7,-861.3,-782.4,9981.0,-234.0,,-1405.7,-340.0,2963.3,1352.5,-1359.4,-2904.3,True,False,True,,False,True,False,False,False,False
Michigan,15854,18062.1,18189.4,14566.0,16738.4,,16690.1,17908.0,20747.4,14259.9,14314.8,12270.4,2208.1,2335.4,-1288.0,884.4,,836.1,2054.0,4893.4,-1594.1,-1539.2,-3583.6,False,True,True,,True,True,False,True,True,False
Minnesota,6357,8117.3,7929.6,5616.0,7229.2,,6576.3,9080.0,8159.3,5705.7,7748.0,5302.3,1760.3,1572.6,-741.0,872.2,,219.3,2723.0,1802.3,-651.3,1391.0,-1054.7,True,True,True,,True,False,False,True,True,True
Mississippi,6266,6069.0,6028.4,10649.0,5962.6,,5025.4,5991.0,7862.6,6378.1,6101.5,4718.7,-197.0,-237.6,4383.0,-303.4,,-1240.6,-275.0,1596.6,112.1,-164.5,-1547.3,False,False,False,,False,False,False,True,True,False
Missouri,7472,7162.6,7209.2,5882.0,6429.5,,6289.3,8854.0,7348.5,5502.3,5735.6,5158.9,-280.4,-233.8,-1561.0,-1013.5,,-1153.7,1411.0,-94.5,-1940.7,-1707.4,-2284.1,True,False,False,,False,False,True,False,False,False
Montana,1312,1462.3,1472.1,1026.0,1214.3,,1067.3,1670.0,1317.4,1035.8,1548.2,1014.5,150.3,160.1,-286.0,-97.7,,-244.7,358.0,5.4,-276.2,236.2,-297.5,False,False,True,,False,False,True,False,False,False
Nebraska,1968,2693.0,2732.9,1978.0,2356.7,,2250.5,3074.0,2714.8,1914.2,1849.7,1757.7,725.0,764.9,10.0,388.7,,282.5,1106.0,746.8,-53.8,-118.3,-210.3,False,True,True,,True,False,False,True,True,True
Nevada,4496,4299.0,4272.2,4360.0,4609.9,,4085.2,4122.0,5453.6,3923.1,4154.3,2930.9,-197.0,-223.8,-136.0,113.9,,-410.8,-374.0,957.6,-572.9,-341.7,-1565.1,False,True,True,,False,False,False,False,False,False
New Hampshire,1098,909.4,928.0,1515.0,970.6,,1324.9,1141.0,1471.5,1178.1,838.2,652.4,-188.6,-170.0,417.0,-127.4,,226.9,43.0,373.5,80.1,-259.8,-445.6,True,False,True,,False,True,False,True,False,False
New Jersey,21964,21129.6,21161.2,20783.0,21206.0,,21241.4,20786.0,22553.0,20183.1,21812.3,18357.4,-834.4,-802.8,-1181.0,-758.0,,-722.6,-1178.0,589.0,-1780.9,-151.7,-3606.6,True,False,True,,True,False,True,False,True,False
New Mexico,3386,3591.3,3313.7,2523.0,3803.5,,3747.9,3727.0,4321.8,2558.4,2363.3,2371.7,205.3,-72.3,-863.0,417.5,,361.9,341.0,935.8,-827.6,-1022.7,-1014.3,True,False,False,,False,False,False,False,False,False
New York,44664,40263.4,40058.0,45567.0,43105.1,,42211.0,40596.0,44428.8,47025.4,41002.0,35791.2,-4337.6,-4543.0,966.0,-1495.9,,-2390.0,-4005.0,-172.2,2424.4,-3599.0,-8809.8,False,True,True,,True,True,True,True,True,False
North Carolina,9926,8023.0,8035.5,19194.0,8947.2,,8616.3,9049.0,10623.9,9934.4,7765.5,6702.4,-1903.0,-1890.5,9268.0,-978.8,,-1309.7,-877.0,697.9,8.4,-2160.5,-3223.6,True,False,True,,True,True,True,True,False,False
North Dakota,1453,2197.0,2263.7,1352.0,1481.5,,1347.2,2486.0,1626.6,1383.3,1870.9,1435.8,744.0,810.7,-101.0,28.5,,-105.8,1033.0,173.6,-69.7,417.9,-17.2,False,True,True,,True,False,True,True,True,True
Ohio,17422,11679.9,11726.7,13585.0,13550.7,,12642.8,14230.0,16086.9,12975.5,13097.8,8566.8,-2961.1,-2914.3,-1056.0,-1090.3,,-1998.2,-411.0,1445.9,-1665.5,-1543.2,-6074.2,True,True,True,,True,True,True,True,True,False
Oklahoma,3761,3384.0,3385.9,2698.0,3222.6,,2757.0,3978.0,3663.4,2603.8,3521.6,2464.9,-377.0,-375.1,-1063.0,-538.4,,-1004.0,217.0,-97.6,-1157.2,-239.4,-1296.1,True,False,False,,False,True,True,False,True,False
Oregon,2020,2113.6,2134.2,2345.0,2460.0,,3368.6,2297.0,2925.9,2176.1,2204.3,1400.2,93.6,114.2,325.0,440.0,,1348.6,277.0,905.9,156.1,184.3,-619.8,False,False,False,,False,False,False,False,False,False
Pennsylvania,22353,22193.6,21805.2,29487.0,24126.4,,20774.8,23991.0,33506.2,23451.6,19407.8,13830.7,-159.4,-547.8,7134.0,1773.4,,-1578.2,1638.0,11153.2,1098.6,-2945.2,-8522.3,False,False,False,,False,False,False,False,False,False
Rhode Island,2400,2263.3,2277.3,2922.0,2229.8,,2071.5,2116.5,2733.8,2205.2,2030.6,1544.5,6.3,20.3,665.0,-27.2,,-185.5,-140.5,476.8,-51.8,-226.4,-712.5,False,False,False,,False,False,False,False,False,False
South Carolina,7611,6098.3,6029.2,10912.0,6095.3,,5677.9,6156.0,7116.2,6838.7,5953.5,5288.6,-1512.7,-1581.8,3301.0,-1515.7,,-1933.1,-1455.0,-494.8,-772.3,-1657.5,-2322.4,False,False,False,,False,True,True,True,False,False
South Dakota,1804,2429.7,2459.0,1644.0,2076.4,,2009.2,2736.0,2475.8,1688.9,1670.7,1710.2,625.7,655.0,-160.0,272.4,,205.2,932.0,671.8,-115.1,-133.3,-93.8,False,True,True,,True,False,False,True,True,True
Tennessee,10463,9539.9,9361.6,11294.0,9054.5,,7688.0,9864.0,11518.2,9249.9,9893.0,6468.5,-923.1,-1101.4,831.0,-1408.5,,-2775.0,-599.0,1055.2,-1213.1,-570.0,-3994.5,False,True,False,,False,True,False,False,True,False
Texas,39182,33946.4,34685.6,34157.0,34771.5,,30857.7,37633.0,41048.0,36727.1,31630.3,27756.8,-4998.6,-4259.4,-4788.0,-4173.5,,-8087.3,-1312.0,2103.0,-2217.9,-7314.7,-11188.2,True,True,True,,False,True,True,True,False,False
Utah,1733,1966.4,1829.8,1387.0,2207.5,,1793.1,2064.0,2002.1,1360.1,1731.3,932.1,233.4,96.8,-346.0,474.5,,60.1,331.0,269.1,-372.9,-1.7,-800.9,True,False,False,,True,False,False,False,True,False
Vermont,182,220.7,223.0,178.0,193.2,,159.5,273.0,288.3,183.7,167.4,103.0,38.7,41.0,-4.0,11.2,,-22.5,91.0,106.3,1.7,-14.6,-79.0,False,True,True,,True,False,False,True,True,False
Virginia,6773,6068.9,6107.2,9028.0,6432.5,,5182.8,6355.0,7348.7,6934.9,5837.1,4937.1,-704.1,-665.8,2255.0,-340.5,,-1590.2,-418.0,575.7,161.9,-935.9,-1835.9,True,False,True,,False,True,True,True,False,False
Washington,4449,2517.6,2879.0,3493.0,5034.2,,5121.7,4402.0,5348.9,4603.5,4349.1,3213.2,-1869.4,-1508.0,-894.0,647.2,,734.7,15.0,961.9,216.5,-37.9,-1173.8,True,True,True,,True,True,True,True,True,True
West Virginia,2119,1989.4,2062.1,1908.0,2066.3,,1654.1,2089.0,2928.1,1899.5,2351.6,1245.6,-129.6,-56.9,-211.0,-52.7,,-464.9,-30.0,809.1,-219.5,232.6,-873.4,True,False,True,,False,True,False,False,False,False
Wisconsin,6611,7379.7,7444.3,5544.0,6206.1,,6533.0,8774.0,7425.7,5051.3,6187.2,5463.6,768.7,833.3,-1067.0,-404.9,,-78.0,2163.0,814.7,-1559.7,-423.8,-1147.4,False,False,True,,True,False,False,False,True,False
Wyoming,624,753.1,761.1,445.0,565.1,,585.5,921.0,568.2,421.7,453.4,439.5,129.1,137.1,-179.0,-58.9,,-38.5,297.0,-55.8,-202.3,-170.6,-184.5,False,False,True,,True,False,True,False,False,False
US,468282,431333.0,430844.3,533861.0,445572.9,458266.0,421344.3,457946.0,518595.1,435457.9,411457.5,335256.5,-32660.0,-33148.7,69868.0,-18420.1,-5727.0,-42648.7,-6047.0,54602.1,-28535.1,-52535.5,-128736.5,False,False,True,True,False,True,False,True,False,False
