,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Maine,634,158.9,204.4,497.7,298.0,-475.1,-429.6,-136.3,-336.0,True,True,True
Maryland,7329,4991.0,4346.2,7977.8,4670.0,-2338.0,-2982.8,648.8,-2659.0,False,True,False
Massachusetts,14921,11176.6,11084.8,14675.6,10064.0,-3744.4,-3836.2,-245.4,-4857.0,False,True,False
Michigan,15854,8458.3,7888.1,12952.7,8518.0,-7395.7,-7965.9,-2901.3,-7336.0,False,True,True
Minnesota,6357,2870.9,2814.3,6086.6,3166.0,-3486.1,-3542.7,-270.4,-3191.0,False,True,True
Mississippi,6266,4974.4,3939.0,5528.7,4220.0,-1291.6,-2327.0,-737.3,-2046.0,False,True,False
Missouri,7444,6333.6,4343.4,7023.6,2809.0,-1110.4,-3100.6,-420.4,-4635.0,False,True,False
Montana,1312,474.7,963.9,999.5,473.0,-837.3,-348.1,-312.5,-839.0,True,True,False
Nebraska,1968,998.0,1005.2,2330.7,883.0,-970.0,-962.8,362.7,-1085.0,True,True,False
Nevada,4496,2603.3,2408.5,4331.2,2135.0,-1892.7,-2087.5,-164.8,-2361.0,False,True,False
New Hampshire,1098,457.9,483.9,1383.5,480.0,-640.1,-614.1,285.5,-618.0,True,True,True
New Jersey,21964,16841.4,16571.4,26390.7,16541.0,-5122.6,-5392.6,4426.7,-5423.0,False,True,False
New Mexico,3386,1266.0,1289.3,2810.8,1190.0,-2120.0,-2096.7,-575.2,-2196.0,True,True,False
New York,44664,33960.7,33448.0,45743.0,33570.0,-10541.3,-11054.0,1241.0,-10932.0,False,True,False
North Carolina,9926,7174.7,7153.5,14380.8,6384.0,-2751.3,-2772.5,4454.8,-3542.0,False,False,False
North Dakota,1453,966.4,871.9,685.2,508.0,-486.6,-581.1,-767.8,-945.0,False,False,False
Ohio,11652,7117.0,6550.7,14115.1,6364.0,-4535.0,-5101.3,2463.1,-5288.0,False,True,False
Oklahoma,3761,2137.4,2011.6,3908.0,1909.0,-1623.6,-1749.4,147.0,-1852.0,False,True,False
Oregon,2020,863.6,935.5,2971.9,820.0,-1156.4,-1084.5,951.9,-1200.0,True,True,False
Pennsylvania,22353,10462.0,9865.3,18156.3,9841.0,-11891.0,-12487.7,-4196.7,-12512.0,False,True,False
Rhode Island,2212,1465.3,1395.4,2185.0,1212.0,-746.7,-816.6,-27.0,-1000.0,False,True,False
South Carolina,7611,5720.9,4871.1,7425.0,4612.0,-1890.1,-2739.9,-186.0,-2999.0,False,True,False
South Dakota,1804,519.7,595.4,868.8,445.0,-1284.3,-1208.6,-935.2,-1359.0,True,True,False
Tennessee,10463,5375.3,4643.8,7876.9,4485.0,-5087.7,-5819.2,-2586.1,-5978.0,False,True,False
Texas,39182,28134.1,25819.3,37626.2,25512.0,-10763.9,-13078.7,-1271.8,-13386.0,False,True,False
Utah,1733,698.1,1364.0,1069.8,702.0,-1034.9,-369.0,-663.2,-1031.0,True,True,True
Vermont,182,58.0,64.1,66.6,58.0,-124.0,-117.9,-115.4,-124.0,True,True,False
Virginia,6773,5872.4,5277.0,7860.5,4959.0,-898.6,-1494.0,1089.5,-1812.0,False,False,False
Washington,4449,3288.0,2905.2,5260.5,2483.0,-1180.0,-1562.8,792.5,-1985.0,False,True,False
West Virginia,2119,810.4,953.7,2380.9,781.0,-1308.6,-1165.3,261.9,-1338.0,True,True,False
Wisconsin,6611,2016.4,3389.9,5028.4,2346.0,-4505.6,-3132.1,-1493.6,-4176.0,True,True,True
Wyoming,624,68.9,621.3,101.5,106.0,-555.1,-2.7,-522.5,-518.0,True,True,True
US,462169,303699.4,245085.4,472781.3,252765.0,-157948.6,-216562.6,11133.3,-208883.0,False,True,False
