,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15090,13363.4,12838.1,13165.6,13380.0,13126.0,13444.2,13471.0,12087.0,13277.9,,12694.5,13009.0,13727.1,13092.7,13703.3,,13177.0,14028.1,13464.0,13407.7,14183.6,13252.0,14051.5,12672.2,13536.0,14057.0,13611.0,14389.7,12129.5,,16301.9,13409.4,,13254.0,15758.3,13502.0,13737.5,,15099.9,14115.4,14094.0,12650.9,14072.0,12861.5,,11825.5,12805.0,-1726.6,-2251.9,-1924.4,-1710.0,-1964.0,-1645.8,-1619.0,-3003.0,-1812.1,,-2395.5,-2081.0,-1362.9,-1997.3,-1386.7,,-1913.0,-1061.9,-1626.0,-1682.3,-906.4,-1838.0,-1038.5,-2417.8,-1554.0,-1033.0,-1479.0,-700.3,-2960.5,,1211.9,-1680.6,,-1836.0,668.3,-1588.0,-1352.5,,9.9,-974.6,-996.0,-2439.1,-1018.0,-2228.5,,-3264.5,-2285.0,False,False,True,False,True,True,False,False,,False,False,True,False,True,,False,True,True,True,True,False,True,False,True,True,True,True,False,,True,True,,False,True,True,True,,True,True,True,False,True,False,,False,False
Hawaii,415,381.3,337.2,349.4,376.4,344.0,379.0,368.0,355.0,350.6,,341.3,342.0,355.6,,384.5,,,349.8,370.0,564.4,363.6,340.0,352.6,335.4,447.0,370.4,370.0,374.3,337.0,,,406.0,,357.0,370.0,374.0,339.6,,351.9,416.1,388.0,342.5,351.0,345.5,,329.1,376.0,-33.7,-77.8,-65.6,-38.6,-71.0,-36.0,-47.0,-60.0,-64.4,,-73.7,-73.0,-59.4,,-30.5,,,-65.2,-45.0,149.4,-51.4,-75.0,-62.4,-79.6,32.0,-44.6,-45.0,-40.7,-78.0,,,-9.0,,-58.0,-45.0,-41.0,-75.4,,-63.1,1.1,-27.0,-72.5,-64.0,-69.5,,-85.9,-39.0,False,False,False,False,False,False,False,False,,False,False,False,,True,,,False,False,False,False,False,False,False,True,False,False,False,False,,,True,,False,False,False,False,,False,True,True,False,False,False,,False,False
Idaho,1767,1865.7,1797.3,2016.0,1857.9,1815.0,1847.9,1848.0,1689.0,1836.4,,1756.9,1743.0,2091.1,1859.9,1916.5,,1925.0,1771.1,1878.0,1937.6,1816.5,1793.0,1840.3,1808.5,1908.0,1846.8,1890.6,1902.4,1793.0,,,1784.2,,1791.0,1651.8,1750.0,1812.5,,1986.8,1903.9,1762.0,1905.6,1770.0,1728.0,,1724.0,1865.0,98.7,30.3,249.0,90.9,48.0,80.9,81.0,-78.0,69.4,,-10.1,-24.0,324.1,92.9,149.5,,158.0,4.1,111.0,170.6,49.5,26.0,73.3,41.5,141.0,79.8,123.6,135.4,26.0,,,17.2,,24.0,-115.2,-17.0,45.5,,219.8,136.9,-5.0,138.6,3.0,-39.0,,-43.0,98.0,True,False,True,True,True,True,True,True,,True,True,False,True,False,,False,True,False,False,True,True,True,True,False,True,False,False,True,,,True,,True,False,True,True,,False,False,True,False,True,True,,True,True
Illinois,21676,23038.3,23934.9,23390.0,23313.5,22899.0,23193.0,22711.0,21726.0,21871.6,,21344.6,22177.0,24342.9,22885.9,23020.2,,22592.0,21909.0,22900.0,21622.6,22323.8,23788.0,23191.7,21721.4,22586.0,22643.6,22833.9,22990.1,22016.0,,24029.9,22483.7,,22974.0,20247.3,21858.0,22005.5,,23482.9,22673.6,22534.0,23802.2,23627.0,22286.5,,21108.4,22540.0,1362.3,2258.9,1714.0,1637.5,1223.0,1517.0,1035.0,50.0,195.6,,-331.4,501.0,2666.9,1209.9,1344.2,,916.0,233.0,1224.0,-53.4,647.8,2112.0,1515.7,45.4,910.0,967.6,1157.9,1314.1,340.0,,2353.9,807.7,,1298.0,-1428.7,182.0,329.5,,1806.9,997.6,858.0,2126.2,1951.0,610.5,,-567.6,864.0,False,False,False,True,False,True,True,True,,True,True,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,True,,False,True,,True,False,True,True,,False,True,True,False,False,True,,True,True
Indiana,11752,10952.1,11413.3,11290.2,11079.3,11135.0,11189.4,11079.0,9614.0,10573.5,,10383.9,10568.0,11270.4,10978.5,11522.5,,11214.0,10937.6,11185.0,10339.3,10740.4,11640.0,11398.0,10613.2,10795.0,11101.4,11096.4,11180.1,10881.5,,12148.9,10929.2,,11038.0,10861.5,11194.0,10752.0,,12323.7,11162.0,11170.0,11861.1,10703.0,10512.5,,9667.4,10921.0,362.1,823.3,700.2,489.3,545.0,599.4,489.0,-976.0,-16.5,,-206.1,-22.0,680.4,388.5,932.5,,624.0,347.6,595.0,-250.7,150.4,1050.0,808.0,23.2,205.0,511.4,506.4,590.1,291.5,,1558.9,339.2,,448.0,271.5,604.0,162.0,,1733.7,572.0,580.0,1271.1,113.0,-77.5,,-922.6,331.0,False,False,False,False,False,False,False,True,,True,True,False,False,False,,False,True,False,True,True,False,False,True,True,False,False,False,True,,False,True,,False,True,False,True,,False,False,False,False,True,True,,False,True
Iowa,5108,4878.6,4707.4,5150.6,4950.2,4664.0,4850.8,4899.0,4343.0,4774.9,,5174.5,6359.0,4997.8,4682.8,4895.3,,5099.0,5251.6,4986.0,4843.4,4772.0,4733.0,4821.6,4715.6,4833.0,4896.4,4759.9,4929.7,4623.0,,5588.4,4560.5,,4777.0,4032.2,4889.0,4994.4,,4860.1,4925.7,4702.0,5064.3,4934.0,4567.0,,4673.2,5648.0,-229.4,-400.6,42.6,-157.8,-444.0,-257.2,-209.0,-765.0,-333.1,,66.5,1251.0,-110.2,-425.2,-212.7,,-9.0,143.6,-122.0,-264.6,-336.0,-375.0,-286.4,-392.4,-275.0,-211.6,-348.1,-178.3,-485.0,,480.4,-547.5,,-331.0,-1075.8,-219.0,-113.6,,-247.9,-182.3,-406.0,-43.7,-174.0,-541.0,,-434.8,540.0,False,True,True,False,False,True,False,False,,True,False,True,False,True,,True,True,True,False,False,False,False,False,False,True,False,True,False,,False,False,,False,False,True,True,,False,True,False,True,True,False,,False,False
Kansas,4075,4178.6,4737.4,4299.6,4071.6,3922.0,4216.7,4156.0,3566.0,3758.1,,3971.9,5017.0,4187.2,4010.7,4686.0,,4269.0,4555.4,4394.0,3810.2,3988.5,3535.0,3930.2,3818.6,4284.0,4402.0,4129.1,4644.7,4084.0,,5026.1,3475.5,,4218.0,3999.9,3715.0,4021.3,,4849.0,4460.4,4085.0,4335.4,3972.0,4177.0,,3487.9,3923.0,103.6,662.4,224.6,-3.4,-153.0,141.7,81.0,-509.0,-316.9,,-103.1,942.0,112.2,-64.3,611.0,,194.0,480.4,319.0,-264.8,-86.5,-540.0,-144.8,-256.4,209.0,327.0,54.1,569.7,9.0,,951.1,-599.5,,143.0,-75.1,-360.0,-53.7,,774.0,385.4,10.0,260.4,-103.0,102.0,,-587.1,-152.0,False,False,True,False,False,True,False,False,,True,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,True,False,True,,False,False,,False,True,False,True,,False,False,True,False,True,True,,False,False
Kentucky,4020,3587.6,3615.6,3727.7,3594.2,3595.0,3588.2,3680.0,3171.0,3797.0,,3345.2,3393.0,3614.2,3545.8,3760.5,,3842.0,4262.8,3982.0,4060.0,3555.3,3692.0,3731.1,3479.0,3917.0,3604.7,3735.3,3845.6,3756.0,,,3524.0,,3669.0,3757.9,3556.0,3714.7,,4163.2,3663.1,3834.0,3469.4,3426.0,3819.5,,3231.1,3803.0,-432.4,-404.4,-292.3,-425.8,-425.0,-431.8,-340.0,-849.0,-223.0,,-674.8,-627.0,-405.8,-474.2,-259.5,,-178.0,242.8,-38.0,40.0,-464.7,-328.0,-288.9,-541.0,-103.0,-415.3,-284.7,-174.4,-264.0,,,-496.0,,-351.0,-262.1,-464.0,-305.3,,143.2,-356.9,-186.0,-550.6,-594.0,-200.5,,-788.9,-217.0,True,True,True,True,True,True,False,True,,False,False,True,False,True,,True,True,True,True,False,True,True,False,True,True,True,True,True,,,False,,True,True,False,True,,True,True,True,False,False,True,,False,True
Louisiana,9076,9169.0,8701.8,8802.3,9132.1,8905.0,9213.3,9144.0,8340.0,8882.5,,8852.2,8820.0,9853.6,9414.6,9511.4,,8851.0,9310.0,9027.0,8769.6,9161.4,9006.0,9180.7,8596.7,8987.0,9268.5,9205.5,9339.5,8515.0,,8974.2,9004.6,,9074.0,9670.7,9347.0,9343.9,,9401.9,9339.2,9357.0,8746.8,9141.0,9144.5,,8310.2,9374.0,93.0,-374.2,-273.7,56.1,-171.0,137.3,68.0,-736.0,-193.5,,-223.8,-256.0,777.6,338.6,435.4,,-225.0,234.0,-49.0,-306.4,85.4,-70.0,104.7,-479.3,-89.0,192.5,129.5,263.5,-561.0,,-101.8,-71.4,,-2.0,594.7,271.0,267.9,,325.9,263.2,281.0,-329.2,65.0,68.5,,-765.8,298.0,False,False,True,False,False,True,False,False,,False,False,False,False,False,,False,False,True,False,True,True,False,False,True,False,False,False,False,,False,True,,True,False,False,False,,False,False,False,False,True,True,,False,False
Maine,634,713.6,566.6,573.8,733.2,565.0,728.0,699.0,570.0,646.1,,564.4,583.0,594.8,681.1,729.9,,576.0,528.2,680.0,961.4,821.8,584.0,657.6,589.5,765.0,778.7,702.9,716.4,662.0,,,623.8,,662.0,673.8,772.0,494.1,,661.1,840.2,596.0,707.0,638.0,707.0,,496.6,699.0,79.6,-67.4,-60.2,99.2,-69.0,94.0,65.0,-64.0,12.1,,-69.6,-51.0,-39.2,47.1,95.9,,-58.0,-105.8,46.0,327.4,187.8,-50.0,23.6,-44.5,131.0,144.7,68.9,82.4,28.0,,,-10.2,,28.0,39.8,138.0,-139.9,,27.1,206.2,-38.0,73.0,4.0,73.0,,-137.4,65.0,True,True,False,True,False,True,True,True,,True,True,True,True,False,,True,False,True,False,False,True,True,True,False,False,True,False,True,,,True,,True,True,False,False,,True,False,True,True,True,True,,False,True
