,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Kentucky,3386,2997.7,2972.1,3267.0,3281.2,2839.0,,3200.4,3476.5,3496.8,2933.6,3397.2,3065.0,3596.5,3458.0,,3053.2,3124.8,2546.8,-388.3,-413.9,-119.0,-104.8,-547.0,,-185.6,90.5,110.8,-452.4,11.2,-321.0,210.5,72.0,,-332.8,-261.2,-839.2,False,True,True,False,,True,True,True,False,True,True,True,True,,True,True,False
Louisiana,8483,8188.6,8082.7,7836.0,8320.5,8845.0,,7934.7,8278.0,8631.2,8220.0,7773.5,8202.0,7557.9,7961.5,,8209.1,8034.8,7334.9,-294.4,-400.3,-647.0,-162.5,362.0,,-548.3,-205.0,148.2,-263.0,-709.5,-281.0,-925.1,-521.5,,-273.9,-448.2,-1148.1,False,False,True,False,,False,True,True,True,False,True,False,False,,True,False,False
Maine,544,432.7,437.0,606.0,500.3,384.0,,433.3,611.0,625.0,552.6,572.7,520.0,283.9,1178.5,,342.5,1000.5,287.9,-111.3,-107.0,62.0,-43.7,-160.0,,-110.7,67.0,81.0,8.6,28.7,-24.0,-260.1,634.5,,-201.5,456.5,-256.1,True,True,True,False,,True,True,True,True,True,True,False,False,,False,False,False
Maryland,6837,6704.3,6780.3,6698.0,6993.0,6856.0,,7225.4,6664.0,7529.6,6476.5,6389.9,7911.0,6583.5,9556.0,,6415.4,7120.2,5415.9,-132.7,-56.7,-139.0,156.0,19.0,,388.4,-173.0,692.6,-360.5,-447.1,1074.0,-253.5,2719.0,,-421.6,283.2,-1421.1,True,False,False,True,,False,False,False,False,False,False,False,False,,False,False,False
Massachusetts,14064,13369.7,13433.9,18152.0,13568.7,13726.0,,12905.0,13746.0,15282.9,14582.9,13395.3,14424.0,15286.4,12997.0,,13118.4,16549.6,11860.1,-694.3,-630.1,4088.0,-495.3,-338.0,,-1159.0,-318.0,1218.9,518.9,-668.7,360.0,1222.4,-1067.0,,-945.6,2485.6,-2203.9,True,False,True,True,,False,True,False,True,True,True,False,False,,False,False,False
Michigan,15181,16314.1,16438.7,14290.0,15456.3,14912.0,,15718.0,16262.0,17808.5,13901.0,13806.8,15127.0,11309.0,14237.0,,13949.9,21725.8,12010.9,1133.1,1257.7,-891.0,275.3,-269.0,,537.0,1081.0,2627.5,-1280.0,-1374.2,-54.0,-3872.0,-944.0,,-1231.1,6544.8,-3170.1,False,True,True,True,,True,True,False,False,False,True,False,True,,False,False,False
Minnesota,6131,7197.3,7052.3,5570.0,6536.9,6696.0,,6185.9,7860.0,7183.1,5601.2,5854.3,5984.5,6123.5,6694.5,,6910.0,7187.9,5147.6,1066.3,921.3,-561.0,405.9,565.0,,54.9,1729.0,1052.1,-529.8,-276.7,-146.5,-7.5,563.5,,779.0,1056.9,-983.4,True,True,True,True,,True,False,True,True,True,True,True,True,,True,True,True
Mississippi,5752,5593.0,5565.3,7551.0,5421.6,5084.0,,4792.3,5528.0,6482.0,5738.5,4756.4,5858.5,5399.2,4880.0,,5602.5,5998.8,4616.4,-159.0,-186.7,1799.0,-330.4,-668.0,,-959.7,-224.0,730.0,-13.5,-995.6,106.5,-352.8,-872.0,,-149.5,246.8,-1135.6,False,False,False,False,,False,False,False,True,False,True,False,False,,True,False,False
Missouri,6841,6512.6,6556.0,5807.0,5932.1,7052.0,,5785.3,7915.0,6637.2,5368.0,5736.1,7214.0,8026.6,10683.0,,5561.1,,5028.4,-299.4,-256.0,-1005.0,-879.9,240.0,,-1026.7,1103.0,-174.8,-1444.0,-1075.9,402.0,1214.6,3871.0,,-1250.9,,-1783.6,True,False,False,True,,False,False,True,False,False,False,False,False,,False,,False
Montana,1141,1298.3,1308.0,1009.0,1113.4,985.0,,1002.6,1450.0,1190.1,1012.4,1054.0,1124.0,1328.3,1147.0,,1375.8,1201.5,992.8,157.3,167.0,-132.0,-27.6,-156.0,,-138.4,309.0,49.1,-128.6,-87.0,-17.0,187.3,6.0,,234.8,60.5,-148.2,False,True,True,True,,True,False,True,True,True,True,False,True,,False,True,True
Nebraska,1879,2357.0,2390.9,1939.0,2115.1,2131.0,,2067.6,2669.0,2375.2,1861.0,1813.8,2180.5,2056.6,4493.0,,1803.3,3985.2,1696.7,478.0,511.9,60.0,236.1,252.0,,188.6,790.0,496.2,-18.0,-65.2,301.5,177.6,2614.0,,-75.7,2106.2,-182.3,False,True,True,True,,True,False,False,True,True,True,True,False,,True,False,True
Nevada,4011,3851.0,3833.8,3913.0,4001.5,3538.0,,3699.7,3746.0,4427.4,3701.9,3334.5,3994.0,3589.8,4848.5,,3735.9,4729.4,2858.9,-160.0,-177.2,-98.0,-9.5,-473.0,,-311.3,-265.0,416.4,-309.1,-676.5,-17.0,-421.2,837.5,,-275.1,718.4,-1152.1,False,True,True,False,,False,False,False,False,False,True,False,False,,False,False,False
New Hampshire,981,831.4,845.9,1154.0,850.1,921.0,,1080.1,998.0,1122.6,975.8,1011.8,1086.0,1072.7,893.0,,785.0,1510.2,641.2,-149.6,-135.1,173.0,-130.9,-60.0,,99.1,17.0,141.6,-5.2,30.8,105.0,91.7,-88.0,,-196.0,529.2,-339.8,True,False,True,True,,True,True,True,True,True,True,True,True,,False,False,False
New Jersey,20934,20269.6,20299.3,20169.0,20230.8,19570.0,,20096.2,20092.0,20998.7,19654.6,19741.7,22722.5,18756.0,22590.0,,20715.2,19954.1,18218.1,-664.4,-634.7,-765.0,-703.2,-1364.0,,-837.8,-842.0,64.7,-1279.4,-1192.3,1788.5,-2178.0,1656.0,,-218.8,-979.9,-2715.9,True,False,False,False,,False,False,True,False,False,False,False,False,,True,False,False
New Mexico,3115,3175.3,2963.3,2488.0,3373.3,2778.0,,3333.3,3303.0,3554.6,2505.5,2541.3,2939.0,2935.6,4159.5,,2331.3,3133.2,2299.7,60.3,-151.7,-627.0,258.3,-337.0,,218.3,188.0,439.6,-609.5,-573.7,-176.0,-179.4,1044.5,,-783.7,18.2,-815.3,False,False,False,False,,False,False,False,False,False,False,False,False,,False,True,False
New York,42134,39065.4,38802.4,41582.0,40203.3,40376.0,,39771.1,39399.0,41018.1,41930.3,40374.5,41013.5,37204.3,37782.5,,39494.2,38556.2,35707.5,-3005.6,-3268.6,-489.0,-1867.7,-1695.0,,-2299.9,-2672.0,-1052.9,-140.7,-1696.5,-1057.5,-4866.7,-4288.5,,-2576.8,-3514.8,-6363.5,False,True,True,True,,True,True,True,True,True,True,False,False,,True,False,False
North Carolina,8586,7463.0,7475.6,12189.0,7937.2,8410.0,,7755.8,8211.0,8876.8,8730.7,8394.5,8365.0,6491.7,9072.0,,7292.3,8076.1,6549.5,-1123.0,-1110.4,3603.0,-648.8,-176.0,,-830.2,-375.0,290.8,144.7,-191.5,-221.0,-2094.3,486.0,,-1293.7,-509.9,-2036.5,True,False,True,True,,True,True,True,True,True,True,False,True,,False,True,False
North Dakota,1436,1931.0,1985.5,1346.0,1396.3,1282.0,,1321.6,2137.0,1518.8,1371.3,1319.3,1415.0,2234.0,1628.0,,1756.1,1870.8,1403.2,495.0,549.5,-90.0,-39.7,-154.0,,-114.4,701.0,82.8,-64.7,-116.7,-21.0,798.0,192.0,,320.1,434.8,-32.8,False,True,True,True,,True,False,True,True,True,True,False,True,,True,True,True
Ohio,16360,10613.9,10663.5,11991.0,11818.6,11477.0,,11181.6,12517.0,13087.9,11708.5,11690.4,11451.5,10394.1,16169.5,,11292.7,12728.0,8360.7,-2965.1,-2915.5,-1588.0,-1760.4,-2102.0,,-2397.4,-1062.0,-491.1,-1870.5,-1888.6,-2127.5,-3184.9,2590.5,,-2286.3,-851.0,-5218.3,True,True,True,True,,True,True,True,True,True,True,False,True,,True,True,False
Oklahoma,3231,3048.0,3049.8,2633.0,2866.1,3944.0,,2548.9,3468.0,3151.0,2518.5,3056.6,2945.0,2283.4,3094.0,,3123.7,3740.9,2399.9,-183.0,-181.2,-598.0,-364.9,713.0,,-682.1,237.0,-80.0,-712.5,-174.4,-286.0,-947.6,-137.0,,-107.3,509.9,-831.1,True,False,False,False,,False,False,True,False,True,False,False,True,,True,False,False
Oregon,1877,1869.6,1888.3,2100.0,2090.0,1944.0,,2555.4,2046.0,2310.4,1944.3,2062.3,1837.5,1252.5,3324.5,,1872.2,2863.5,1359.2,-7.4,11.3,223.0,213.0,67.0,,678.4,169.0,433.4,67.3,185.3,-39.5,-624.5,1447.5,,-4.8,986.5,-517.8,False,False,False,False,,False,False,False,False,False,False,False,False,,True,False,False
Pennsylvania,20454,19723.6,19448.4,23865.0,20689.6,22425.0,,18628.6,21079.0,25528.6,20425.0,17796.4,27066.0,13550.4,25474.5,,17921.5,28415.2,13538.6,-730.4,-1005.6,3411.0,235.6,1971.0,,-1825.4,625.0,5074.6,-29.0,-2657.6,6612.0,-6903.6,5020.5,,-2532.5,7961.2,-6915.4,False,False,True,False,,False,True,False,True,False,False,False,False,,False,False,False
Rhode Island,2256,2071.3,2084.2,2431.0,2031.8,1943.0,,1952.0,1981.5,2310.0,2082.4,1753.2,2157.0,1750.7,1914.5,,1941.5,2787.4,1517.8,-41.7,-28.8,318.0,-81.2,-170.0,,-161.0,-131.5,197.0,-30.6,-359.8,44.0,-362.3,-198.5,,-171.5,674.4,-595.2,True,False,False,False,,False,False,False,True,False,False,False,False,,False,False,False
South Carolina,6479,5752.3,5692.2,7839.0,5654.0,5866.0,,5391.1,5808.0,6214.0,6173.4,5810.1,6441.0,5191.4,5423.0,,5628.3,5756.1,5179.3,-726.7,-786.8,1360.0,-825.0,-613.0,,-1087.9,-671.0,-265.0,-305.6,-668.9,-38.0,-1287.6,-1056.0,,-850.7,-722.9,-1299.7,False,False,False,True,,False,True,True,True,True,True,False,False,,False,True,False
South Dakota,1696,2131.7,2155.0,1613.0,1881.5,1940.0,,1958.0,2360.0,2176.7,1654.1,1429.4,1822.0,1726.3,1922.0,,1644.7,2072.3,1653.8,435.7,459.0,-83.0,185.5,244.0,,262.0,664.0,480.7,-41.9,-266.6,126.0,30.3,226.0,,-51.3,376.3,-42.2,False,True,True,True,,True,False,False,True,True,True,True,True,,True,True,True
Tennessee,8819,8501.9,8369.9,9286.0,7895.9,8419.0,,7210.3,8713.0,9420.7,8359.3,7233.5,9973.0,6941.2,9468.5,,8695.4,7930.9,6300.3,-317.1,-449.1,467.0,-923.1,-400.0,,-1608.7,-106.0,601.7,-459.7,-1585.5,1154.0,-1877.8,649.5,,-123.6,-888.1,-2518.7,False,False,False,False,,False,True,False,False,False,False,False,False,,True,False,False
Texas,34725,31516.4,32099.5,31997.0,31969.0,31961.0,,29058.1,34284.0,35348.5,33549.1,30328.6,32163.5,24516.0,34861.0,,30143.4,30858.5,27128.2,-2971.6,-2388.5,-2491.0,-2519.0,-2527.0,,-5429.9,-204.0,860.5,-938.9,-4159.4,-2324.5,-9972.0,373.0,,-4344.6,-3629.5,-7359.8,True,True,True,True,,False,True,True,True,False,True,False,True,,False,False,False
Utah,1582,1734.4,1632.0,1352.0,1892.8,1432.0,,1535.0,1797.0,1706.1,1324.9,1196.2,1529.0,1557.4,1944.5,,1577.1,1661.2,906.5,152.4,50.0,-230.0,310.8,-150.0,,-47.0,215.0,124.1,-257.1,-385.8,-53.0,-24.6,362.5,,-4.9,79.2,-675.5,True,False,False,True,,True,False,True,False,False,True,True,False,,True,True,False
Vermont,170,188.7,191.0,165.0,163.0,227.0,,145.6,228.0,226.6,153.5,177.5,278.0,124.3,95.0,,155.3,620.7,101.2,18.7,21.0,-5.0,-7.0,57.0,,-24.4,58.0,56.6,-16.5,7.5,108.0,-45.7,-75.0,,-14.7,450.7,-68.8,False,True,True,False,,False,False,False,True,True,False,False,False,,True,False,False
Virginia,6079,5646.9,5681.3,7022.0,5822.1,5259.0,,4865.7,5905.0,6277.1,6205.3,6114.9,5658.0,5404.8,6041.0,,5568.8,5402.7,4832.5,-432.1,-397.7,943.0,-256.9,-820.0,,-1213.3,-174.0,198.1,126.3,35.9,-421.0,-674.2,-38.0,,-510.2,-676.3,-1246.5,True,False,True,False,,False,True,True,True,True,True,False,True,,False,False,False
Washington,4114,2609.6,2879.0,3398.0,4437.3,4437.0,,4396.4,4068.0,4441.8,4240.6,4519.2,3879.0,3375.5,4395.0,,3721.0,,3143.7,-1442.4,-1173.0,-654.0,385.3,385.0,,344.4,16.0,389.8,188.6,467.2,-173.0,-676.5,343.0,,-331.0,,-908.3,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,True
West Virginia,1872,1729.4,1788.1,1707.0,1752.8,2185.0,,1465.0,1804.0,2246.9,1678.1,1512.3,1678.0,1492.0,1983.0,,1937.6,2197.3,1204.8,-142.6,-83.9,-165.0,-119.2,313.0,,-407.0,-68.0,374.9,-193.9,-359.7,-194.0,-380.0,111.0,,65.6,325.3,-667.2,True,False,True,False,,False,True,False,False,False,False,False,True,,True,False,False
Wisconsin,6184,6605.7,6663.7,5469.0,5720.6,4807.0,,6098.4,7677.0,6652.9,4985.6,5719.3,6312.5,6754.4,7066.0,,5815.7,6905.8,5302.9,421.7,479.7,-715.0,-463.4,-1377.0,,-85.6,1493.0,468.9,-1198.4,-464.7,128.5,570.4,882.0,,-368.3,721.8,-881.1,False,False,False,False,,True,False,False,False,False,True,False,False,,True,False,False
Wyoming,571,643.1,651.0,442.0,510.7,626.0,,537.2,765.0,506.9,411.6,439.6,578.0,498.8,641.0,,429.4,640.4,427.7,72.1,80.0,-129.0,-60.3,55.0,,-33.8,194.0,-64.1,-159.4,-131.4,7.0,-72.2,70.0,,-141.6,69.4,-143.3,False,False,True,True,,True,False,True,False,False,True,False,True,,False,True,False
US,424834,397691.0,397611.2,439915.0,398340.7,399403.0,418370.0,387786.4,419004.0,441535.5,397302.3,379403.9,437218.5,354473.5,494937.5,414439.2,385084.6,,327898.4,-22854.0,-22933.8,19370.0,-22204.3,-21142.0,-2175.0,-32758.6,-1541.0,20990.5,-23242.7,-41141.1,16673.5,-66071.5,74392.5,-6105.8,-35460.4,,-92646.6,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,,False
