,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
New Mexico,3115,1725.6,2356.3,1549.0,,1429.4,-1389.4,-758.7,-1566.0,,-1685.6,True,False,,False
New York,42134,34874.9,37429.8,34600.0,,33912.4,-7042.1,-4487.2,-7317.0,,-8004.6,True,False,,False
North Carolina,8586,7062.7,7557.8,6842.0,,6605.8,-1523.3,-1028.2,-1744.0,,-1980.2,True,False,,False
North Dakota,1436,1420.3,2029.1,1480.0,,756.4,-15.7,593.1,44.0,,-679.6,False,False,,False
Ohio,16360,6453.1,7537.7,7650.0,,6186.9,-9886.9,-8802.3,-8690.0,,-10153.1,True,True,,False
Oklahoma,3231,2483.3,2420.3,2545.0,,2112.2,-747.7,-810.7,-686.0,,-1118.8,False,True,,False
Oregon,1877,1141.6,1196.2,1014.0,,961.2,-735.4,-680.8,-863.0,,-915.8,True,False,,False
Pennsylvania,20454,10652.7,13360.9,11090.0,,9894.8,-9801.3,-7093.1,-9364.0,,-10559.2,True,True,,False
Rhode Island,2256,1485.6,2500.5,1495.0,,1299.6,-751.4,263.5,-742.0,,-937.4,True,True,,False
South Carolina,6479,5524.9,5760.5,5339.0,,5011.8,-954.1,-718.5,-1140.0,,-1467.2,True,False,,False
South Dakota,1696,1172.1,1605.7,1149.0,,604.7,-523.9,-90.3,-547.0,,-1091.3,True,False,,False
Tennessee,8819,5985.3,7492.6,5626.0,,6539.6,-2833.7,-1326.4,-3193.0,,-2279.4,True,False,,True
Texas,34725,24987.9,25968.2,25336.0,41279.0,23979.5,-9399.1,-8418.8,-9051.0,6892.0,-10407.5,True,True,True,False
Utah,1582,1112.0,1677.9,1187.0,,1045.8,-470.0,95.9,-395.0,,-536.2,True,True,,False
Vermont,170,58.0,62.3,59.0,,60.4,-112.0,-107.7,-111.0,,-109.6,True,True,,True
Virginia,6079,4556.1,4979.1,4930.0,,3963.9,-1522.9,-1099.9,-1149.0,,-2115.1,True,True,,False
Washington,4114,3196.0,3747.9,3078.0,,3237.4,-931.0,-379.1,-1049.0,,-889.6,True,False,,True
West Virginia,1872,875.0,817.9,867.0,,821.9,-997.0,-1054.1,-1005.0,,-1050.1,False,False,,False
Wisconsin,6184,5236.6,5717.7,4607.0,,4870.7,-631.4,-150.3,-1261.0,,-997.3,True,False,,False
Wyoming,571,312.3,418.4,316.0,,215.2,-258.7,-152.6,-255.0,,-355.8,True,True,,False
US,424834,299315.9,381812.2,296276.0,286046.0,293187.4,-124386.1,-41889.8,-127426.0,-137656.0,-130514.6,True,False,False,False
