,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,13246,11749.7,11751.4,12122.8,11780.9,12166.0,11785.1,12084.0,11465.0,12334.3,12192.0,11880.2,12185.0,11695.3,11923.4,12417.7,,12214.0,13477.1,12254.7,12491.0,11957.0,12187.1,11984.9,12323.0,12195.8,12168.3,12184.4,11252.0,,11920.2,11765.5,12169.0,14321.0,11940.0,11817.9,,12188.3,12185.4,12451.0,11640.0,11986.0,,11144.9,11661.8,-1496.3,-1494.6,-1123.2,-1465.1,-1080.0,-1460.9,-1162.0,-1781.0,-911.7,-1054.0,-1365.8,-1061.0,-1550.7,-1322.6,-828.3,,-1032.0,231.1,-991.3,-755.0,-1289.0,-1058.9,-1261.1,-923.0,-1050.2,-1077.7,-1061.6,-1994.0,,-1325.8,-1480.5,-1077.0,1075.0,-1306.0,-1428.1,,-1057.7,-1060.6,-795.0,-1606.0,-1260.0,,-2101.1,-1584.2,True,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,,True,True,True,False,True,,False,False
Hawaii,335,300.4,306.4,313.1,301.2,302.0,301.3,311.0,350.0,315.7,294.0,349.7,311.0,311.5,,320.9,,,296.1,459.0,312.2,308.0,297.3,310.7,370.0,327.6,320.6,306.9,323.0,,,290.8,316.0,339.5,327.0,309.5,,309.3,351.6,314.0,311.9,292.0,305.6,302.9,322.5,-34.6,-28.6,-21.9,-33.8,-33.0,-33.7,-24.0,15.0,-19.3,-41.0,14.7,-24.0,-23.5,,-14.1,,,-38.9,124.0,-22.8,-27.0,-37.7,-24.3,35.0,-7.4,-14.4,-28.1,-12.0,,,-44.2,-19.0,4.5,-8.0,-25.5,,-25.7,16.6,-21.0,-23.1,-43.0,-29.4,-32.1,-12.5,True,True,True,True,True,True,True,True,False,True,True,True,,True,,,False,False,True,True,False,True,False,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,False,True,True,True
Idaho,1668,1716.6,1652.8,1790.5,1737.3,1679.0,1730.0,1667.0,1598.0,1679.9,1545.0,1703.1,1650.0,1661.8,1641.5,1692.6,,1727.0,1600.2,1765.1,1647.2,1533.0,1627.5,1677.3,1736.0,1740.8,1689.2,1634.7,1696.0,,,1569.8,1723.0,1576.3,1659.0,1734.5,,1638.1,1774.6,1612.0,1723.1,1645.0,1619.7,1603.7,1682.8,48.6,-15.2,122.5,69.3,11.0,62.0,-1.0,-70.0,11.9,-123.0,35.1,-18.0,-6.2,-26.5,24.6,,59.0,-67.8,97.1,-20.8,-135.0,-40.5,9.3,68.0,72.8,21.2,-33.3,28.0,,,-98.2,55.0,-91.7,-9.0,66.5,,-29.9,106.6,-56.0,55.1,-23.0,-48.3,-64.3,14.8,True,False,False,True,False,True,False,True,False,True,True,True,True,True,,False,False,False,True,False,True,True,False,False,True,True,True,,,False,False,False,True,False,,True,False,False,False,True,True,False,True
Illinois,20645,21139.1,22281.4,21245.3,21120.5,20614.0,21184.1,20490.0,20092.0,20314.0,20213.0,20367.3,20620.0,20648.4,20707.5,20648.3,,20607.0,19914.6,20168.8,20574.4,21000.0,20413.1,19928.8,20395.0,20974.6,20615.7,20359.9,20490.0,,20096.7,20645.6,20437.0,19248.3,20289.0,20829.9,,19949.6,21011.3,20445.0,21318.4,20449.0,,19583.2,20700.5,494.1,1636.4,600.3,475.5,-31.0,539.1,-155.0,-553.0,-331.0,-432.0,-277.7,-25.0,3.4,62.5,3.3,,-38.0,-730.4,-476.2,-70.6,355.0,-231.9,-716.2,-250.0,329.6,-29.3,-285.1,-155.0,,-548.3,0.6,-208.0,-1396.7,-356.0,184.9,,-695.4,366.3,-200.0,673.4,-196.0,,-1061.8,55.5,False,False,True,True,False,True,False,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,True,,False,True,True,False,True,,False,True
Indiana,9693,10280.7,10443.9,10081.2,10219.1,10057.0,10236.8,9784.0,8964.0,9738.5,9341.0,9655.0,9211.0,9641.1,9652.1,9934.8,,9813.0,9451.9,9471.0,9860.3,9960.0,9955.3,9567.4,9619.0,10075.2,9951.7,10039.2,10487.5,,9317.1,9734.5,9749.0,10113.2,9743.0,10226.0,,9638.3,10097.1,9756.0,10481.1,9732.0,9987.3,8831.2,9951.1,587.7,750.9,388.2,526.1,364.0,543.8,91.0,-729.0,45.5,-352.0,-38.0,-482.0,-51.9,-40.9,241.8,,120.0,-241.1,-222.0,167.3,267.0,262.3,-125.6,-74.0,382.2,258.7,346.2,794.5,,-375.9,41.5,56.0,420.2,50.0,533.0,,-54.7,404.1,63.0,788.1,39.0,294.3,-861.8,258.1,False,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,,True,True,True,False,True,True,False,True
Iowa,4486,4523.1,4383.8,4722.4,4600.2,4341.0,4555.5,4459.0,4096.0,4442.7,4644.0,4946.0,4654.0,4321.9,4396.5,4395.6,,4533.0,4523.5,4514.4,4386.3,4443.0,4301.9,4419.8,4467.0,4583.4,4383.9,4453.3,4763.0,,4381.0,4097.5,4452.0,3451.5,4245.0,4465.3,,4247.1,4595.2,4318.0,4539.8,4386.0,4927.8,4369.0,4996.3,37.1,-102.2,236.4,114.2,-145.0,69.5,-27.0,-390.0,-43.3,158.0,460.0,168.0,-164.1,-89.5,-90.4,,47.0,37.5,28.4,-99.7,-43.0,-184.1,-66.2,-19.0,97.4,-102.1,-32.7,277.0,,-105.0,-388.5,-34.0,-1034.5,-241.0,-20.7,,-238.9,109.2,-168.0,53.8,-100.0,441.8,-117.0,510.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,True,False,False,True,False,,False,False,True,False,False,True,,False,False,False,False,False,False,False,False
Kansas,3587,3926.3,3889.5,3576.4,3898.9,3638.0,3979.0,3555.0,3522.0,3327.3,3471.0,3520.2,3783.0,3989.2,3794.7,3737.1,,3447.0,3554.6,3412.0,3522.0,3313.0,3529.1,3328.0,3561.0,3886.0,3566.8,3548.3,3559.0,,,3703.7,3636.0,3459.6,3512.0,3520.6,,3393.7,3963.4,3608.0,3512.5,3428.0,3665.0,3176.1,,339.3,302.5,-10.6,311.9,51.0,392.0,-32.0,-65.0,-259.7,-116.0,-66.8,196.0,402.2,207.7,150.1,,-140.0,-32.4,-175.0,-65.0,-274.0,-57.9,-259.0,-26.0,299.0,-20.2,-38.7,-28.0,,,116.7,49.0,-127.4,-75.0,-66.4,,-193.3,376.4,21.0,-74.5,-159.0,78.0,-410.9,,True,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,True,True,True,False,
Kentucky,3386,3203.0,3196.0,3254.3,3199.8,3128.0,3190.1,3182.0,2864.0,3302.0,3004.0,3040.4,2988.0,3069.0,3155.3,3195.5,,3174.0,3486.9,3588.2,3163.9,3174.0,3143.1,3018.6,3384.0,3185.5,3263.9,3358.3,3342.0,,,3142.1,3085.0,3408.0,3189.0,3222.1,,3173.6,3220.3,3242.0,3176.7,3074.0,3459.8,2967.6,3292.6,-183.0,-190.0,-131.7,-186.2,-258.0,-195.9,-204.0,-522.0,-84.0,-382.0,-345.6,-398.0,-317.0,-230.7,-190.5,,-212.0,100.9,202.2,-222.1,-212.0,-242.9,-367.4,-2.0,-200.5,-122.1,-27.7,-44.0,,,-243.9,-301.0,22.0,-197.0,-163.9,,-212.4,-165.7,-144.0,-209.3,-312.0,73.8,-418.4,-93.4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,False,True,False,False,False,False,False,True,False,True,True,True,,,False,False,True,False,True,,False,True,True,False,False,True,False,True
Louisiana,8483,8239.9,8001.1,8300.3,8106.6,8172.0,8135.8,8237.0,7928.0,8197.4,8155.0,8253.2,8339.0,8390.5,8293.8,8452.6,,8324.0,8201.7,8169.7,8271.0,8229.0,8123.9,8081.5,8155.0,8228.4,8355.8,8271.2,8438.0,,8020.0,7979.2,8302.0,8943.1,8427.0,8048.3,,8197.8,8236.6,8237.0,8034.7,7938.0,8282.4,7845.0,8405.0,-243.1,-481.9,-182.7,-376.4,-311.0,-347.2,-246.0,-555.0,-285.6,-328.0,-229.8,-144.0,-92.5,-189.2,-30.4,,-159.0,-281.3,-313.3,-212.0,-254.0,-359.1,-401.5,-328.0,-254.6,-127.2,-211.8,-45.0,,-463.0,-503.8,-181.0,460.1,-56.0,-434.7,,-285.2,-246.4,-246.0,-448.3,-545.0,-200.6,-638.0,-78.0,False,True,False,False,False,False,False,False,False,True,True,True,True,True,,True,False,False,True,False,False,False,False,False,True,True,True,,False,False,True,False,True,False,,False,False,False,False,False,True,False,True
Maine,544,461.9,445.9,464.0,477.8,449.0,475.0,476.0,484.0,505.5,463.0,528.4,482.0,451.6,462.7,469.6,,495.0,440.7,717.5,445.0,474.0,452.7,423.2,564.0,523.9,496.5,497.2,490.0,,,452.2,504.0,530.2,449.0,464.7,,453.7,563.2,479.0,438.2,454.0,459.7,391.6,505.6,-82.1,-98.1,-80.0,-66.2,-95.0,-69.0,-68.0,-60.0,-38.5,-81.0,-15.6,-62.0,-92.4,-81.3,-74.4,,-49.0,-103.3,173.5,-99.0,-70.0,-91.3,-120.8,20.0,-20.1,-47.5,-46.8,-54.0,,,-91.8,-40.0,-13.8,-95.0,-79.3,,-90.3,19.2,-65.0,-105.8,-90.0,-84.3,-152.4,-38.4,False,True,True,False,True,True,True,True,True,True,True,False,True,True,,True,False,False,False,True,False,False,True,True,True,True,True,,,False,True,True,False,True,,False,True,True,False,False,False,False,True
