,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Massachusetts,14064,12372.0,12199.8,12731.0,14106.8,,12408.0,14136.8,12602.7,,11800.4,18408.4,11304.6,-1692.0,-1864.2,-1333.0,42.8,,-1656.0,72.8,-1461.3,,-2263.6,4344.4,-2759.4,False,True,True,,True,True,True,,False,False,False
Michigan,15181,14118.4,14204.6,12742.0,19854.0,,14718.0,19470.4,13683.2,,11842.0,22916.1,10147.3,-1062.6,-976.4,-2439.0,4673.0,,-463.0,4289.4,-1497.8,,-3339.0,7735.1,-5033.7,True,False,False,,True,False,False,,False,False,False
Minnesota,6131,6308.4,6163.4,6358.0,9904.3,,7268.0,10532.7,6541.6,,6640.0,10517.9,4166.7,177.4,32.4,227.0,3773.3,,1137.0,4401.7,410.6,,509.0,4386.9,-1964.3,True,False,False,,False,False,False,,False,False,False
Mississippi,5752,4827.4,4755.3,6488.0,5193.9,,4689.0,5285.6,5047.1,,4885.1,5472.1,4242.0,-924.6,-996.7,736.0,-558.1,,-1063.0,-466.4,-704.9,,-866.9,-279.9,-1510.0,False,True,True,,False,True,True,,True,True,False
Missouri,6811,5987.1,6006.1,5428.0,7055.8,,6234.0,7301.7,4606.0,,5218.0,6202.4,4211.6,-823.9,-804.9,-1383.0,244.8,,-577.0,490.7,-2205.0,,-1593.0,-608.6,-2599.4,True,False,True,,True,True,False,,False,True,False
Montana,1141,1205.3,1221.1,1983.0,1589.3,,1452.0,1923.8,1483.8,,1182.2,1112.8,879.4,64.3,80.1,842.0,448.3,,311.0,782.8,342.8,,41.2,-28.2,-261.6,False,False,False,,False,False,False,,True,True,False
Nebraska,1879,1617.6,1661.3,1642.0,2595.9,,2154.0,2483.4,1502.2,,1265.6,1698.2,1206.7,-261.4,-217.7,-237.0,716.9,,275.0,604.4,-376.8,,-613.4,-180.8,-672.3,True,True,False,,False,False,False,,False,True,False
Nevada,4011,3071.0,2983.2,8629.0,3692.1,,2863.0,3930.7,3696.0,,2874.4,3591.4,2409.8,-940.0,-1027.8,4618.0,-318.9,,-1148.0,-80.3,-315.0,,-1136.6,-419.6,-1601.2,False,False,True,,False,True,True,,False,True,False
New Hampshire,981,636.0,643.1,835.0,788.9,,741.0,764.3,869.1,,606.9,2014.5,552.6,-345.0,-337.9,-146.0,-192.1,,-240.0,-216.7,-111.9,,-374.1,1033.5,-428.4,True,True,True,,True,True,True,,False,False,False
New Jersey,20934,18683.0,18825.4,21105.0,20922.4,,19008.0,20691.3,19768.1,,20156.6,29375.1,17301.3,-2251.0,-2108.6,171.0,-11.6,,-1926.0,-242.7,-1165.9,,-777.4,8441.1,-3632.7,True,True,True,,True,True,True,,True,False,False
New Mexico,3115,2773.6,2943.1,15923.0,4681.3,,2859.0,4984.3,6622.8,,2551.7,3339.8,1816.5,-341.4,-171.9,12808.0,1566.3,,-256.0,1869.3,3507.8,,-563.3,224.8,-1298.5,True,False,False,,True,False,False,,False,True,False
New York,42134,36462.4,36895.3,45473.0,40135.6,,37380.0,38269.1,41512.5,,37995.0,60199.5,34819.6,-5659.6,-5226.7,3351.0,-1986.4,,-4742.0,-3852.9,-609.5,,-4127.0,18077.5,-7302.4,True,True,True,,True,True,True,,True,False,False
North Carolina,8586,6858.6,6930.4,9862.0,7697.8,,7356.0,8331.4,7703.1,,6712.4,8177.6,6017.3,-1727.4,-1655.6,1276.0,-888.2,,-1230.0,-254.6,-882.9,,-1873.6,-408.4,-2568.7,True,True,True,,True,True,True,,False,True,False
North Dakota,1436,1554.6,1568.9,1165.0,2024.1,,1716.0,2051.7,1245.3,,1125.8,1321.5,1187.4,118.6,132.9,-271.0,588.1,,280.0,615.7,-190.7,,-310.2,-114.5,-248.6,False,False,False,,False,False,False,,False,True,False
Ohio,10680,9565.4,9530.9,13776.0,13186.7,,10710.0,12573.3,10152.3,,10815.8,18882.5,7199.3,-1114.6,-1149.1,3096.0,2506.7,,30.0,1893.3,-527.7,,135.8,8202.5,-3480.7,False,False,False,,True,False,True,,True,False,False
Oklahoma,3231,2537.4,2460.7,5720.0,3686.1,,2915.0,3512.2,3133.2,,2908.3,3347.3,2044.0,-693.6,-770.3,2489.0,455.1,,-316.0,281.2,-97.8,,-322.7,116.3,-1187.0,False,False,True,,True,True,True,,True,True,False
Oregon,1877,1572.9,1511.8,2670.0,2502.9,,1476.0,2085.8,1891.1,,1700.6,2240.3,1059.9,-304.1,-365.2,793.0,625.9,,-401.0,208.8,14.1,,-176.4,363.3,-817.1,False,False,False,,False,True,True,,True,False,False
Pennsylvania,20454,14076.3,13901.5,33817.0,19406.8,,15869.0,19274.6,20988.6,,12580.6,24947.1,11139.5,-6377.7,-6552.5,13363.0,-1047.2,,-4585.0,-1179.4,534.6,,-7873.4,4493.1,-9314.5,False,False,True,,True,True,True,,False,True,False
Rhode Island,2083,1754.6,1765.6,1755.0,2003.6,,1615.5,2175.5,1858.2,,1698.1,2501.4,1387.1,-328.4,-317.4,-328.0,-79.4,,-467.5,92.5,-224.8,,-384.9,418.4,-695.9,True,True,True,,False,True,True,,False,False,False
South Carolina,6479,4903.0,4925.4,5708.0,5563.0,,5380.0,5460.0,5503.8,,5275.6,5702.9,4846.3,-1576.0,-1553.6,-771.0,-916.0,,-1099.0,-1019.0,-975.2,,-1203.4,-776.1,-1632.7,True,True,True,,True,True,True,,True,True,False
South Dakota,1696,1917.3,2261.6,1437.0,2064.4,,2446.0,2571.9,1378.5,,1383.3,1425.2,1322.3,221.3,565.6,-259.0,368.4,,750.0,875.9,-317.5,,-312.7,-270.8,-373.7,False,False,False,,False,False,False,,False,False,False
Tennessee,8819,6816.9,7182.0,8501.0,9433.5,,7678.0,9654.5,6909.4,,7642.5,6224.3,5353.5,-2002.1,-1637.0,-318.0,614.5,,-1141.0,835.5,-1909.6,,-1176.5,-2594.7,-3465.5,True,True,True,,True,True,True,,True,False,False
Texas,34725,28364.4,28865.8,35570.0,33678.9,,32162.0,33330.3,38252.0,,27072.9,29336.1,24688.6,-6004.6,-5503.2,1201.0,-690.1,,-2207.0,-1038.7,3883.0,,-7296.1,-5032.9,-9680.4,True,True,True,,True,True,True,,False,True,False
Utah,1582,1457.3,1470.9,1718.0,2330.4,,1854.0,2106.6,1303.6,,1333.7,1427.3,774.5,-124.7,-111.1,136.0,748.4,,272.0,524.6,-278.4,,-248.3,-154.7,-807.5,True,False,False,,False,False,False,,False,False,False
Vermont,170,98.4,99.0,262.0,57.9,,99.0,104.3,175.8,,77.5,179.7,70.2,-71.6,-71.0,92.0,-112.1,,-71.0,-65.7,5.8,,-92.5,9.7,-99.8,True,False,False,,True,True,True,,False,True,False
Virginia,6079,5000.9,4986.5,9260.0,5393.6,,5226.0,6175.5,6870.5,,4928.1,6447.7,4524.8,-1078.1,-1092.5,3181.0,-685.4,,-853.0,96.5,791.5,,-1150.9,368.7,-1554.2,False,False,True,,True,True,True,,False,True,False
Washington,4114,3363.0,3375.0,7139.0,7446.6,,3724.0,4670.6,4526.5,,3982.4,5882.7,2993.5,-723.0,-711.0,3053.0,3360.6,,-362.0,584.6,440.5,,-103.6,1796.7,-1092.5,True,False,False,,True,True,True,,True,False,False
West Virginia,1872,1255.4,1198.2,2442.0,2316.6,,1593.0,2295.8,2473.9,,1536.4,1564.4,906.9,-616.6,-673.8,570.0,444.6,,-279.0,423.8,601.9,,-335.6,-307.6,-965.1,False,True,True,,True,True,True,,True,True,False
Wisconsin,6184,6134.9,6031.4,5128.0,6104.7,,6710.0,7819.4,4908.4,,5415.3,6094.3,4368.5,-49.1,-152.6,-1056.0,-79.3,,526.0,1635.4,-1275.6,,-768.7,-89.7,-1815.5,False,False,False,,False,False,False,,False,False,False
Wyoming,571,521.4,526.9,584.0,943.4,,614.0,496.9,677.6,,403.3,403.8,301.3,-49.6,-44.1,13.0,372.4,,43.0,-74.1,106.6,,-167.7,-167.2,-269.7,True,True,False,,True,False,False,,False,False,False
US,417476,345499.4,346853.2,351407.0,431134.0,367916.0,362272.0,426758.7,396261.5,410886.6,338151.1,463568.0,296888.9,-71579.6,-70225.8,-65672.0,14055.0,-49163.0,-54807.0,9679.7,-20817.5,-6192.4,-78927.9,46489.0,-120190.1,True,True,True,True,True,True,True,True,False,True,False
