,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,13246,12375.4,12134.5,12107.8,12392.6,12204.0,12450.8,12379.0,11880.0,12353.1,,11773.3,12210.0,12435.1,12224.3,12445.4,,12335.0,13156.4,12302.0,12246.6,12667.4,12310.0,12583.9,12090.2,12553.0,12645.3,12517.9,12791.2,11634.0,,12907.6,12438.1,,12340.0,14321.0,12344.0,12601.2,,13254.1,12672.3,12967.6,12535.0,12094.8,12619.0,12096.5,,11479.1,11709.0,-870.6,-1111.5,-1138.2,-853.4,-1042.0,-795.2,-867.0,-1366.0,-892.9,,-1472.7,-1036.0,-810.9,-1021.7,-800.6,,-911.0,-89.6,-944.0,-999.4,-578.6,-936.0,-662.1,-1155.8,-693.0,-600.7,-728.1,-454.8,-1612.0,,-338.4,-807.9,,-906.0,1075.0,-902.0,-644.8,,8.1,-573.7,-278.4,-711.0,-1151.2,-627.0,-1149.5,,-1766.9,-1537.0,False,False,True,False,True,True,False,False,,False,False,True,False,True,,False,True,False,False,True,False,True,False,True,True,True,True,False,,True,True,,False,False,False,True,,True,True,True,True,False,True,False,,False,False
Hawaii,335,343.3,322.5,322.2,342.6,327.0,343.0,334.0,341.0,327.6,,318.2,325.0,330.3,,342.0,,,327.2,335.0,413.0,333.8,323.0,327.7,322.1,353.0,337.3,336.5,338.0,321.0,,,352.5,,329.0,342.1,334.0,325.1,,332.3,356.7,362.2,337.0,324.8,326.0,327.0,,318.3,337.0,8.3,-12.5,-12.8,7.6,-8.0,8.0,-1.0,6.0,-7.4,,-16.8,-10.0,-4.7,,7.0,,,-7.8,0.0,78.0,-1.2,-12.0,-7.3,-12.9,18.0,2.3,1.5,3.0,-14.0,,,17.5,,-6.0,7.1,-1.0,-9.9,,-2.7,21.7,27.2,2.0,-10.2,-9.0,-8.0,,-16.7,2.0,False,False,True,True,True,True,True,True,,False,False,True,,True,,,True,True,False,True,False,True,False,False,True,True,True,False,,,False,,True,True,True,False,,True,False,False,True,False,False,True,,False,True
Idaho,1668,1693.7,1675.0,1762.7,1689.4,1689.0,1688.0,1687.0,1637.0,1689.1,,1643.7,1654.0,1786.6,1685.6,1720.4,,1745.0,1700.3,1695.0,1743.9,1686.7,1667.0,1677.5,1677.3,1719.0,1701.2,1714.0,1719.0,1673.0,,,1659.5,,1662.0,1576.3,1645.0,1673.5,,1761.3,1727.6,1758.5,1654.0,1713.6,1654.0,1646.0,,1641.4,1686.0,25.7,7.0,94.7,21.4,21.0,20.0,19.0,-31.0,21.1,,-24.3,-14.0,118.6,17.6,52.4,,77.0,32.3,27.0,75.9,18.7,-1.0,9.5,9.3,51.0,33.2,46.0,51.0,5.0,,,-8.5,,-6.0,-91.7,-23.0,5.5,,93.3,59.6,90.5,-14.0,45.6,-14.0,-22.0,,-26.6,18.0,True,False,True,True,True,True,False,True,,True,True,False,True,False,,False,False,False,False,True,True,True,True,False,False,False,False,True,,,True,,True,False,True,True,,False,False,False,True,False,True,True,,False,True
Illinois,20645,21096.3,21490.8,21206.9,21246.9,21173.0,21202.1,21032.0,20465.0,20645.3,,20124.8,20864.0,21632.6,21025.7,21086.7,,21055.0,20993.6,21095.0,20490.3,20901.7,21312.5,21190.4,20531.3,21063.0,21057.1,21039.9,21170.8,20759.5,,21329.9,20973.6,,20923.0,19497.8,20596.0,20871.9,,21315.2,21069.3,21284.4,20868.0,21501.7,21300.0,20884.0,,20244.6,20592.0,451.3,845.8,561.9,601.9,528.0,557.1,387.0,-180.0,0.3,,-520.2,219.0,987.6,380.7,441.7,,410.0,348.6,450.0,-154.7,256.7,667.5,545.4,-113.7,418.0,412.1,394.9,525.8,114.5,,684.9,328.6,,278.0,-1147.2,-49.0,226.9,,670.2,424.3,639.4,223.0,856.7,655.0,239.0,,-400.4,-53.0,False,False,False,False,False,True,True,True,,False,True,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,False,True,,False,True,,True,False,True,True,,False,True,False,True,False,False,True,,True,True
Indiana,9693,9932.1,10158.2,10041.2,10084.1,10117.0,10078.0,10030.0,9406.0,9822.2,,9600.6,9819.0,10097.0,9947.5,10215.2,,10136.0,10339.4,10086.0,9537.9,9915.8,10156.0,10124.0,9822.1,10029.0,10083.2,10041.1,10139.9,9988.0,,10341.8,9834.4,,9934.0,10108.8,9974.0,9936.2,,10536.2,10111.6,10178.5,9982.0,10343.1,9804.0,9805.0,,9187.1,9850.0,239.1,465.2,348.2,391.1,424.0,385.0,337.0,-287.0,129.2,,-92.4,126.0,404.0,254.5,522.2,,443.0,646.4,393.0,-155.1,222.8,463.0,431.0,129.1,336.0,390.2,348.1,446.9,295.0,,648.8,141.4,,241.0,415.8,281.0,243.2,,843.2,418.6,485.5,289.0,650.1,111.0,112.0,,-505.9,157.0,False,False,False,False,False,False,False,True,,True,True,False,False,False,,False,False,False,True,True,False,False,True,False,False,False,False,False,,False,True,,False,False,False,False,,False,False,False,False,False,True,True,,False,True
Iowa,4486,4494.6,4437.0,4649.8,4520.3,4460.0,4489.0,4512.0,4285.0,4458.9,,4701.4,4799.0,4538.8,4391.2,4477.3,,4617.0,4981.6,4521.0,4512.2,4452.2,4419.0,4469.7,4446.7,4491.0,4541.6,4481.1,4527.3,4425.0,,4643.3,4386.4,,4470.0,3915.5,4460.0,4551.4,,4524.4,4554.6,4626.2,4424.0,4593.2,4512.0,4391.0,,4427.9,4751.0,8.6,-49.0,163.8,34.3,-26.0,3.0,26.0,-201.0,-27.1,,215.4,313.0,52.8,-94.8,-8.7,,131.0,495.6,35.0,26.2,-33.8,-67.0,-16.3,-39.3,5.0,55.6,-4.9,41.3,-61.0,,157.3,-99.6,,-16.0,-570.5,-26.0,65.4,,38.4,68.6,140.2,-62.0,107.2,26.0,-95.0,,-58.1,265.0,False,False,False,False,True,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Kansas,3587,3640.6,3849.5,3662.2,3652.0,3579.0,3679.0,3655.0,3453.0,3474.4,,3502.2,3820.0,3636.5,3532.1,3856.2,,3728.0,3937.7,3796.0,3424.2,3595.3,3405.0,3529.0,3497.5,3749.0,3766.2,3614.9,3819.1,3640.0,,3893.9,3246.8,,3674.0,3459.9,3482.0,3567.1,,3921.6,3793.2,3638.7,3594.0,3775.2,3554.0,3623.5,,3264.2,3462.0,53.6,262.5,75.2,65.0,-8.0,92.0,68.0,-134.0,-112.6,,-84.8,233.0,49.5,-54.9,269.2,,141.0,350.7,209.0,-162.8,8.3,-182.0,-58.0,-89.5,162.0,179.2,27.9,232.1,53.0,,306.9,-340.2,,87.0,-127.1,-105.0,-19.9,,334.6,206.2,51.7,7.0,188.2,-33.0,36.5,,-322.8,-125.0,False,False,False,True,False,False,False,False,,False,False,True,False,False,,False,False,False,False,True,False,False,False,False,False,True,False,True,,False,False,,False,False,False,True,,False,False,True,True,False,True,True,,False,False
Kentucky,3386,3231.6,3223.8,3248.5,3236.6,3275.0,3232.0,3248.0,3096.0,3343.0,,3075.1,3156.0,3243.6,3199.7,3289.4,,3397.0,3861.7,3332.0,3456.6,3221.7,3248.0,3260.8,3190.9,3423.0,3240.4,3318.8,3338.8,3299.0,,,3193.8,,3248.0,3406.0,3163.0,3268.8,,3494.0,3267.9,3633.6,3290.0,3193.0,3110.0,3311.0,,3079.1,3272.0,-154.4,-162.2,-137.5,-149.4,-111.0,-154.0,-138.0,-290.0,-43.0,,-310.9,-230.0,-142.4,-186.3,-96.6,,11.0,475.7,-54.0,70.6,-164.3,-138.0,-125.2,-195.1,37.0,-145.6,-67.2,-47.2,-87.0,,,-192.2,,-138.0,20.0,-223.0,-117.2,,108.0,-118.1,247.6,-96.0,-193.0,-276.0,-75.0,,-306.9,-114.0,False,True,True,True,True,True,False,True,,False,False,True,False,True,,True,False,True,True,False,True,True,False,True,True,True,True,True,,,False,,True,True,False,True,,True,True,False,True,False,False,True,,False,True
Louisiana,8483,8497.0,8293.8,8274.5,8512.8,8360.0,8523.0,8466.0,8159.0,8353.3,,8237.7,8359.0,8719.9,8583.6,8581.5,,8320.0,8700.2,8391.0,8295.1,8469.8,8410.0,8465.3,8248.4,8479.0,8521.5,8501.6,8600.3,8241.0,,8348.6,8413.8,,8443.0,8943.1,8551.0,8595.1,,8596.6,8555.0,8700.4,8510.0,8349.5,8432.0,8454.0,,8095.8,8485.0,14.0,-189.2,-208.5,29.8,-123.0,40.0,-17.0,-324.0,-129.7,,-245.3,-124.0,236.9,100.6,98.5,,-163.0,217.2,-92.0,-187.9,-13.2,-73.0,-17.7,-234.6,-4.0,38.5,18.6,117.3,-242.0,,-134.4,-69.2,,-40.0,460.1,68.0,112.1,,113.6,72.0,217.4,27.0,-133.5,-51.0,-29.0,,-387.2,2.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,True
Maine,544,567.6,499.7,479.2,581.8,504.0,580.0,548.0,527.0,529.3,,458.8,514.0,521.2,544.6,559.9,,491.0,445.0,547.0,688.4,593.6,508.0,537.2,492.7,588.0,581.4,559.8,565.1,538.0,,,515.0,,539.0,530.2,585.0,462.8,,538.2,610.1,572.0,511.0,564.5,528.0,548.0,,465.9,546.0,23.6,-44.3,-64.8,37.8,-40.0,36.0,4.0,-17.0,-14.7,,-85.2,-30.0,-22.8,0.6,15.9,,-53.0,-99.0,3.0,144.4,49.6,-36.0,-6.8,-51.3,44.0,37.4,15.8,21.1,-6.0,,,-29.0,,-5.0,-13.8,41.0,-81.2,,-5.8,66.1,28.0,-33.0,20.5,-16.0,4.0,,-78.1,2.0,False,False,False,False,False,True,True,True,,False,False,True,True,True,,False,False,True,False,False,False,True,False,False,False,True,True,True,,,False,,True,True,False,False,,True,False,False,False,True,True,True,,False,True
Maryland,6837,6788.3,6775.5,6783.3,6798.1,6828.0,6804.0,6833.0,6750.0,6765.5,,6728.2,7019.0,7000.6,6836.8,6925.3,,6755.0,6974.7,6827.0,6772.4,6877.8,6832.0,6871.1,6751.3,6898.0,6833.0,6858.4,6897.4,6712.5,,7021.9,6791.1,,6906.0,6696.2,6715.0,6737.2,,7030.8,6857.5,6888.1,6794.0,6928.8,6837.0,6770.5,,6405.5,6889.0,-48.7,-61.5,-53.7,-38.9,-9.0,-33.0,-4.0,-87.0,-71.5,,-108.8,182.0,163.6,-0.2,88.3,,-82.0,137.7,-10.0,-64.6,40.8,-5.0,34.1,-85.7,61.0,-4.0,21.4,60.4,-124.5,,184.9,-45.9,,69.0,-140.8,-122.0,-99.8,,193.8,20.5,51.1,-43.0,91.8,0.0,-66.5,,-431.5,52.0,False,False,True,True,True,True,False,False,,False,False,False,True,False,,False,False,True,False,True,True,True,False,False,True,True,False,False,,False,True,,False,False,False,False,,False,True,False,True,False,True,False,,False,False
Massachusetts,14064,14155.7,14252.0,13972.3,14184.8,14121.0,14218.0,14168.0,13947.0,13914.8,,13662.4,14164.0,14047.8,14168.0,14274.8,,14135.0,13822.0,14244.0,14047.6,14141.1,14473.0,14267.3,14214.5,14197.0,14161.8,14314.2,14509.4,13769.5,,14210.9,14415.3,,14136.0,15302.6,14102.0,14106.3,,14675.8,14189.3,14248.2,14292.0,14261.5,14170.0,14310.0,,13402.4,14116.0,91.7,188.0,-91.7,120.8,57.0,154.0,104.0,-117.0,-149.2,,-401.6,100.0,-16.2,104.0,210.8,,71.0,-242.0,180.0,-16.4,77.1,409.0,203.3,150.5,133.0,97.8,250.2,445.4,-294.5,,146.9,351.3,,72.0,1238.6,38.0,42.3,,611.8,125.3,184.2,228.0,197.5,106.0,246.0,,-661.6,52.0,False,True,False,True,False,False,False,False,,False,False,True,False,False,,True,False,False,True,True,False,False,False,False,False,False,False,False,,False,False,,True,False,True,True,,False,False,False,False,False,False,False,,False,True
Michigan,15181,15703.1,15633.1,15459.5,15918.5,15641.0,15823.0,15354.0,14848.0,15011.2,,14571.4,15153.0,15756.8,15325.4,15166.5,,15636.0,15189.1,15485.0,14993.4,15285.0,15564.0,15348.6,15300.6,15383.0,15485.2,15293.3,15485.8,15314.0,,15674.5,15657.8,,15023.0,13724.9,14944.0,15537.9,,15374.0,15537.7,15808.1,15334.0,15800.8,15710.0,15170.0,,14564.6,15246.0,522.1,452.1,278.5,737.5,460.0,642.0,173.0,-333.0,-169.8,,-609.6,-28.0,575.8,144.4,-14.5,,455.0,8.1,304.0,-187.6,104.0,383.0,167.6,119.6,202.0,304.2,112.3,304.8,133.0,,493.5,476.8,,-158.0,-1456.1,-237.0,356.9,,193.0,356.7,627.1,153.0,619.8,529.0,-11.0,,-616.4,65.0,True,True,False,True,False,True,True,True,,False,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,True,,True,True,False,True,False,False,True,,False,True
Minnesota,6131,6306.1,6325.5,6397.0,6311.2,6252.0,6320.8,6275.0,6006.0,6125.6,,6113.1,6065.0,6340.8,6152.4,6177.9,,6398.0,6432.2,6246.0,6094.8,6263.4,6272.0,6268.7,6173.7,6247.0,6282.1,6276.7,6398.6,6746.5,,6510.1,6238.4,,6117.0,5143.5,6482.0,6382.0,,6281.2,6301.3,6361.7,6194.0,6353.8,6221.0,6224.5,,6070.2,6278.0,175.1,194.5,266.0,180.2,121.0,189.8,144.0,-125.0,-5.4,,-17.9,-66.0,209.8,21.4,46.9,,267.0,301.2,115.0,-36.2,132.4,141.0,137.7,42.7,116.0,151.1,145.7,267.6,615.5,,379.1,107.4,,-14.0,-987.5,351.0,251.0,,150.2,170.3,230.7,63.0,222.8,90.0,93.5,,-60.8,147.0,False,False,False,True,False,True,True,True,,True,True,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,False,False,,False,True,,True,False,False,False,,True,True,False,True,False,True,True,,True,True
Mississippi,5752,5716.7,5833.9,5599.7,5742.5,5607.0,5758.4,5706.0,5613.0,5582.9,,5484.6,5592.0,5966.4,5755.0,5736.6,,5535.0,5660.6,5645.0,5517.4,5682.4,5815.0,5720.9,5540.8,5719.0,5762.6,5718.7,5924.3,5680.0,,5627.6,5822.3,,5703.0,5858.7,5651.0,5729.6,,5829.7,5788.9,5855.4,5737.0,5725.4,5625.0,5727.0,,5386.5,5708.0,-35.3,81.9,-152.3,-9.5,-145.0,6.4,-46.0,-139.0,-169.1,,-267.4,-160.0,214.4,3.0,-15.4,,-217.0,-91.4,-107.0,-234.6,-69.6,63.0,-31.1,-211.2,-33.0,10.6,-33.3,172.3,-72.0,,-124.4,70.3,,-49.0,106.7,-101.0,-22.4,,77.7,36.9,103.4,-15.0,-26.6,-127.0,-25.0,,-365.5,-44.0,False,False,True,False,True,False,False,False,,False,False,False,True,True,,False,False,False,False,False,False,True,False,True,True,True,False,False,,False,False,,False,False,False,True,,False,False,False,True,True,False,True,,False,False
Missouri,6811,6870.3,6834.9,6831.7,6958.0,6845.0,6953.0,6811.0,6654.0,6635.9,,6743.5,6542.0,6973.8,6801.3,6811.6,,7026.0,6897.7,6826.0,6497.1,6895.7,6804.5,6832.3,6516.4,6860.0,6938.0,6778.1,7117.7,6712.0,,6842.0,6660.0,,6761.0,6493.9,6716.0,6402.3,,7107.8,7004.7,7002.0,6727.0,7010.7,6571.0,6686.5,,6147.0,5733.0,76.3,40.9,37.7,164.0,51.0,159.0,17.0,-140.0,-158.1,,-50.5,-252.0,179.8,7.3,17.6,,232.0,103.7,32.0,-296.9,101.7,10.5,38.3,-277.6,66.0,144.0,-15.9,323.7,-82.0,,48.0,-134.0,,-33.0,-300.1,-78.0,-391.7,,313.8,210.7,208.0,-67.0,216.7,-223.0,-107.5,,-647.0,-1061.0,True,True,False,True,False,True,False,False,,True,False,False,True,True,,False,False,True,False,False,True,True,False,True,False,True,False,False,,True,False,,True,False,False,False,,False,False,False,True,False,False,False,,False,False
Montana,1141,1212.0,1148.8,1176.1,1229.0,1209.0,1220.0,1175.0,1056.0,1153.3,,1059.7,1090.0,1188.9,1195.3,1155.9,,1228.0,1143.4,1175.0,1190.7,1127.0,1183.0,1186.5,1145.9,1192.0,1181.2,1179.3,1194.0,1140.0,,,1226.0,,1176.0,1030.6,1138.0,1247.2,,1159.0,1207.3,1276.1,1153.0,1192.2,1149.0,1154.0,,1129.8,1152.0,71.0,7.8,35.1,88.0,68.0,79.0,34.0,-85.0,12.3,,-81.3,-51.0,47.9,54.3,14.9,,87.0,2.4,34.0,49.7,-14.0,42.0,45.5,4.9,51.0,40.2,38.3,53.0,-1.0,,,85.0,,35.0,-110.4,-3.0,106.2,,18.0,66.3,135.1,12.0,51.2,8.0,13.0,,-11.2,11.0,True,True,False,True,False,True,False,True,,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,,False,,True,False,True,False,,True,True,False,True,True,True,True,,True,True
Nebraska,1879,1923.4,1933.9,2009.3,1877.4,2018.0,1873.0,1939.0,1940.0,1907.3,,1868.9,1856.0,2035.0,1869.4,1959.0,,2148.0,2030.8,1936.0,1978.4,1886.6,1898.0,2004.6,1901.7,1996.0,1925.5,1951.9,1870.0,1925.0,,,1865.2,,1866.0,1700.5,1875.0,1816.7,,2001.2,1951.9,1973.5,1897.0,2048.9,1870.0,2052.0,,1888.5,2103.0,44.4,54.9,130.3,-1.6,139.0,-6.0,60.0,61.0,28.3,,-10.1,-23.0,156.0,-9.6,80.0,,269.0,151.8,57.0,99.4,7.6,19.0,125.6,22.7,117.0,46.5,72.9,-9.0,46.0,,,-13.8,,-13.0,-178.5,-4.0,-62.3,,122.2,72.9,94.5,18.0,169.9,-9.0,173.0,,9.5,224.0,False,False,True,False,True,False,False,True,,True,True,False,True,False,,False,False,False,False,True,True,False,True,False,False,False,True,False,,,True,,True,False,True,False,,False,False,False,True,False,True,False,,True,False
Nevada,4011,4000.0,3886.7,3879.7,4033.6,3895.0,4054.0,3945.0,3885.0,3830.6,,3708.6,3820.0,4281.9,4012.8,3935.7,,3888.0,3595.7,3959.0,3782.9,3894.5,3995.0,4006.1,3846.4,3961.0,3977.3,3962.4,4165.6,3831.0,,3990.8,4070.3,,3886.0,3923.3,3973.0,4083.3,,4067.0,4003.8,4104.6,3900.0,4002.5,3842.0,3980.5,,3664.0,3895.0,-11.0,-124.3,-131.3,22.6,-116.0,43.0,-66.0,-126.0,-180.4,,-302.4,-191.0,270.9,1.8,-75.3,,-123.0,-415.3,-52.0,-228.1,-116.5,-16.0,-4.9,-164.6,-50.0,-33.7,-48.6,154.6,-180.0,,-20.2,59.3,,-125.0,-87.7,-38.0,72.3,,56.0,-7.2,93.6,-111.0,-8.5,-169.0,-30.5,,-347.0,-116.0,False,False,False,False,False,False,False,False,,False,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,True,False,False,,False,False
New Hampshire,981,1034.3,1134.7,961.6,1048.7,993.0,1048.0,1021.0,916.0,1017.0,,959.1,1010.0,988.5,1039.3,1017.2,,1020.0,934.7,1026.0,1098.9,1002.0,1000.0,1002.4,946.0,1037.0,1048.2,1051.0,1063.9,1080.0,,,1091.9,,1005.0,1074.3,1011.0,1030.2,,1075.6,1076.5,1059.6,1000.0,1046.0,1035.0,1090.0,,904.4,1017.0,53.3,153.7,-19.4,67.7,12.0,67.0,40.0,-65.0,36.0,,-21.9,29.0,7.5,58.3,36.2,,39.0,-46.3,45.0,117.9,21.0,19.0,21.4,-35.0,56.0,67.2,70.0,82.9,99.0,,,110.9,,24.0,93.3,30.0,49.2,,94.6,95.5,78.6,19.0,65.0,54.0,109.0,,-76.6,36.0,False,True,False,True,False,True,False,True,,True,True,True,False,True,,True,True,True,False,True,True,True,True,False,False,False,False,False,,,False,,True,False,True,True,,False,False,False,True,False,False,False,,False,True
New Jersey,20934,21053.7,21224.5,20856.8,21199.4,21090.0,21188.1,21050.0,20805.0,21042.0,,20423.1,20878.0,20975.1,21146.4,21172.5,,20984.0,20395.5,21086.0,20889.8,20944.5,21432.0,21219.2,21571.3,21099.0,21197.3,21058.8,21420.5,20460.0,,21020.9,21235.1,,20964.0,19714.4,20863.0,21110.8,,21626.1,21217.2,21255.3,20822.0,20569.6,21138.0,21204.5,,20132.6,20980.0,119.7,290.5,-77.2,265.4,156.0,254.1,116.0,-129.0,108.0,,-510.9,-56.0,41.1,212.4,238.5,,50.0,-538.5,152.0,-44.2,10.5,498.0,285.2,637.3,165.0,263.3,124.8,486.5,-474.0,,86.9,301.1,,30.0,-1219.6,-71.0,176.8,,692.1,283.2,321.3,-112.0,-364.4,204.0,270.5,,-801.4,46.0,False,True,False,False,False,True,False,True,,False,True,True,False,False,,True,False,False,True,True,False,False,False,False,False,False,False,False,,True,False,,True,False,True,False,,False,False,False,True,False,False,False,,False,True
New Mexico,3115,3116.7,3066.1,3129.8,3157.8,3110.0,3128.0,3100.0,2988.0,3039.3,,2931.2,2943.0,3194.3,3147.3,3138.5,,3101.0,3134.8,3101.0,2947.3,3090.1,3153.0,3117.8,3141.9,3126.0,3107.5,3104.8,3196.1,3082.0,,,3096.1,,3070.0,2978.8,3026.0,3035.2,,3054.2,3134.2,3150.9,3091.0,3159.0,3107.0,3099.0,,2954.3,3063.0,1.7,-48.9,14.8,42.8,-5.0,13.0,-15.0,-127.0,-75.7,,-183.8,-172.0,79.3,32.3,23.5,,-14.0,19.8,-14.0,-167.7,-24.9,38.0,2.8,26.9,11.0,-7.5,-10.2,81.1,-33.0,,,-18.9,,-45.0,-136.2,-89.0,-79.8,,-60.8,19.2,35.9,-24.0,44.0,-8.0,-16.0,,-160.7,-52.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
New York,42134,41892.1,41911.9,41540.7,41851.9,41963.0,41867.1,41983.0,41263.0,41537.2,,41417.6,42195.0,41635.4,41935.4,42366.5,,41612.0,40902.1,41847.0,42454.2,42345.5,42321.0,42355.9,43303.3,42094.0,42157.6,42014.8,42550.4,40257.0,,41735.5,42043.3,,42583.0,40976.8,41927.0,42031.1,,41712.3,42190.4,42401.7,42018.0,42491.0,42004.0,41717.5,,39700.8,42045.0,-241.9,-222.1,-593.3,-282.1,-171.0,-266.9,-151.0,-871.0,-596.8,,-716.4,61.0,-498.6,-198.6,232.5,,-522.0,-1231.9,-287.0,320.2,211.5,187.0,221.9,1169.3,-40.0,23.6,-119.2,416.4,-1877.0,,-398.5,-90.7,,449.0,-1157.2,-207.0,-102.9,,-421.7,56.4,267.7,-116.0,357.0,-130.0,-416.5,,-2433.2,-89.0,True,False,False,True,False,True,False,False,,False,True,False,True,True,,False,False,False,False,True,True,True,False,True,True,True,False,False,,False,True,,False,False,True,True,,False,True,False,True,False,True,False,,False,True
