,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Georgia,13246,11874.1,12243.2,11911.7,20790.0,11973.6,12466.0,,13656.2,12363.0,13174.0,13283.1,12737.9,12680.7,11809.0,11472.0,,11938.3,,,10882.3,-1371.9,-1002.8,-1334.3,7544.0,-1272.4,-780.0,,410.2,-883.0,-72.0,37.1,-508.1,-565.3,-1437.0,-1774.0,,-1307.7,,,-2363.7,True,True,False,True,True,,True,True,True,True,True,True,False,False,,True,,,False
Hawaii,335,320.9,379.1,331.0,431.0,334.7,315.0,,370.4,,359.7,357.7,563.2,356.1,331.0,370.0,,318.6,,362.6,308.0,-14.1,44.1,-4.0,96.0,-0.3,-20.0,,35.4,,24.7,22.7,228.2,21.1,-4.0,35.0,,-16.4,,27.6,-27.0,False,True,False,True,False,,False,,False,False,False,False,True,False,,False,,False,False
Idaho,1668,1790.0,1558.3,1805.1,1910.0,1803.1,1700.0,,2118.0,1942.0,2014.2,1662.8,1976.7,1886.3,1710.0,1811.0,,1620.7,,2473.6,1508.3,122.0,-109.7,137.1,242.0,135.1,32.0,,450.0,274.0,346.2,-5.2,308.7,218.3,42.0,143.0,,-47.3,,805.6,-159.7,True,False,False,False,True,,False,False,False,True,False,False,True,False,,True,,False,False
Illinois,20645,21594.4,24732.7,21801.1,20776.0,20602.1,20365.0,,23702.9,21226.0,22989.7,18719.8,20635.1,20670.3,20487.0,19624.0,,19968.3,,,17939.0,949.4,4087.7,1156.1,131.0,-42.9,-280.0,,3057.9,581.0,2344.7,-1925.2,-9.9,25.3,-158.0,-1021.0,,-676.7,,,-2706.0,False,False,True,True,True,,False,True,False,False,True,True,True,False,,True,,,False
Indiana,9693,10313.4,10584.9,10238.7,9879.0,9812.2,10001.0,,10317.6,10460.0,10910.7,8848.6,9945.8,10072.9,10103.0,10054.5,,10039.6,,11015.1,7843.8,620.4,891.9,545.7,186.0,119.2,308.0,,624.6,767.0,1217.7,-844.4,252.8,379.9,410.0,361.5,,346.6,,1322.1,-1849.2,False,True,True,True,True,,False,False,False,False,True,True,True,True,,True,,False,False
Iowa,4486,5428.9,5109.3,5152.0,4620.0,4372.9,4578.0,,3654.5,5634.0,4658.8,3739.1,4851.0,4786.2,5226.0,5688.0,,4519.6,,9520.6,4151.1,942.9,623.3,666.0,134.0,-113.1,92.0,,-831.5,1148.0,172.8,-746.9,365.0,300.2,740.0,1202.0,,33.6,,5034.6,-334.9,True,True,True,True,True,,True,False,True,True,True,True,True,False,,True,,False,True
Kansas,3587,3647.6,3773.0,3686.5,3463.0,3294.8,3454.0,,4531.7,3908.0,3967.8,3100.1,3481.2,3494.1,3473.0,3371.0,,3356.5,,4308.9,2699.7,60.6,186.0,99.5,-124.0,-292.2,-133.0,,944.7,321.0,380.8,-486.9,-105.8,-92.9,-114.0,-216.0,,-230.5,,721.9,-887.3,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False
Kentucky,3386,3319.9,3101.6,3265.8,3030.0,3168.8,3171.0,,3311.4,3289.0,3422.8,2930.2,4107.6,3218.5,3100.0,3524.0,,3458.4,,3225.9,2693.4,-66.1,-284.4,-120.2,-356.0,-217.2,-215.0,,-74.6,-97.0,36.8,-455.8,721.6,-167.5,-286.0,138.0,,72.4,,-160.1,-692.6,False,False,False,False,False,,False,False,True,False,False,False,False,False,,False,,False,False
Louisiana,8483,8130.0,10373.9,8129.8,7958.0,8104.9,8216.0,,8396.4,8302.0,8414.8,7910.8,8443.2,8033.4,8019.0,7912.0,,8113.6,,9945.8,7462.1,-353.0,1890.9,-353.2,-525.0,-378.1,-267.0,,-86.6,-181.0,-68.2,-572.2,-39.8,-449.6,-464.0,-571.0,,-369.4,,1462.8,-1020.9,False,False,False,False,True,,True,True,True,False,True,False,False,False,,False,,False,False
Maine,544,462.0,387.5,467.0,937.0,579.0,485.0,,481.0,474.0,682.9,668.9,917.7,451.8,576.0,674.5,,417.0,,442.1,323.2,-82.0,-156.5,-77.0,393.0,35.0,-59.0,,-63.0,-70.0,138.9,124.9,373.7,-92.2,32.0,130.5,,-127.0,,-101.9,-220.8,False,True,False,True,True,,True,True,False,False,False,False,True,False,,False,,False,False
Maryland,6837,7055.7,6987.2,6971.3,7021.0,7002.3,6562.0,,7304.7,6817.0,7411.2,6484.0,7075.3,6995.3,7060.0,7393.0,,6591.1,,7209.0,5675.4,218.7,150.2,134.3,184.0,165.3,-275.0,,467.7,-20.0,574.2,-353.0,238.3,158.3,223.0,556.0,,-245.9,,372.0,-1161.6,True,True,True,True,False,,False,True,False,False,False,True,False,False,,False,,False,False
Massachusetts,14064,13504.4,13542.4,13407.9,15569.0,14227.6,13670.0,,14576.4,13928.0,14722.2,14493.9,14787.9,15269.8,13176.0,12541.0,,12857.4,,14299.6,12114.8,-559.6,-521.6,-656.1,1505.0,163.6,-394.0,,512.4,-136.0,658.2,429.9,723.9,1205.8,-888.0,-1523.0,,-1206.6,,235.6,-1949.2,True,False,False,True,True,,True,True,False,True,False,False,False,False,,False,,True,False
Michigan,15181,16343.4,16179.5,16468.7,14646.0,15224.7,14680.0,,16611.6,16373.0,16586.7,13281.8,15616.4,15107.1,15137.0,15561.0,,14619.8,,17229.3,12836.1,1162.4,998.5,1287.7,-535.0,43.7,-501.0,,1430.6,1192.0,1405.7,-1899.2,435.4,-73.9,-44.0,380.0,,-561.2,,2048.3,-2344.9,True,False,True,True,True,,False,False,False,False,True,True,True,True,,True,,False,False
Minnesota,6131,6881.0,7811.9,6943.1,5834.0,6195.5,6675.0,,7102.1,7543.0,6667.9,5217.7,6586.1,5971.8,6023.0,6826.5,,6680.6,,7704.5,5460.8,750.0,1680.9,812.1,-297.0,64.5,544.0,,971.1,1412.0,536.9,-913.3,455.1,-159.2,-108.0,695.5,,549.6,,1573.5,-670.2,False,False,True,True,True,,False,False,True,False,True,True,True,True,,True,,False,True
Mississippi,5752,5429.0,5734.5,5439.1,6556.0,5761.3,5539.0,,5854.0,5705.0,6056.4,5892.1,5396.0,5690.0,6313.0,5115.0,,5334.0,,7757.9,4767.3,-323.0,-17.5,-312.9,804.0,9.3,-213.0,,102.0,-47.0,304.4,140.1,-356.0,-62.0,561.0,-637.0,,-418.0,,2005.9,-984.7,True,True,False,True,True,,True,True,True,True,False,True,False,False,,False,,False,False
Missouri,6811,7344.3,7036.5,7278.5,6578.0,6316.6,6682.0,,7208.4,6934.0,7146.8,5717.4,6946.3,6625.9,6812.0,8031.5,,5751.9,,,5448.9,533.3,225.5,467.5,-233.0,-494.4,-129.0,,397.4,123.0,335.8,-1093.6,135.3,-185.1,1.0,1220.5,,-1059.1,,,-1362.1,True,True,True,True,True,,True,True,True,False,True,True,True,False,,False,,,False
Montana,1141,1093.3,1152.7,1104.0,1018.0,1029.2,1006.0,,1147.6,1355.0,1066.1,973.0,1341.5,1059.1,1055.0,1230.0,,1144.2,,1166.3,1003.3,-47.7,11.7,-37.0,-123.0,-111.8,-135.0,,6.6,214.0,-74.9,-168.0,200.5,-81.9,-86.0,89.0,,3.2,,25.3,-137.7,True,True,False,False,False,,True,False,False,False,False,False,False,False,,True,,True,False
Nebraska,1879,2034.9,2127.8,2025.0,1803.0,2160.1,2015.0,,2414.1,2139.5,2190.0,1753.7,2299.3,1956.1,1881.0,2333.0,,1624.7,,2514.8,1753.0,155.9,248.8,146.0,-76.0,281.1,136.0,,535.1,260.5,311.0,-125.3,420.3,77.1,2.0,454.0,,-254.3,,635.8,-126.0,False,True,True,False,True,,False,False,False,True,False,True,True,False,,False,,False,True
Nevada,4011,3944.7,3200.0,3894.3,3847.0,4018.7,3499.0,,4136.1,3885.0,4491.5,3488.2,3888.9,4092.2,3854.0,4775.0,,3745.5,,,3057.7,-66.3,-811.0,-116.7,-164.0,7.7,-512.0,,125.1,-126.0,480.5,-522.8,-122.1,81.2,-157.0,764.0,,-265.5,,,-953.3,False,False,False,True,False,,False,False,False,False,False,False,False,False,,False,,,False
New Hampshire,981,913.4,1555.6,900.0,1144.0,990.9,817.0,,1284.6,1039.0,1086.4,1065.4,1326.3,1266.2,868.0,984.0,,738.1,,1096.7,685.3,-67.6,574.6,-81.0,163.0,9.9,-164.0,,303.6,58.0,105.4,84.4,345.3,285.2,-113.0,3.0,,-242.9,,115.7,-295.7,False,False,False,True,False,,False,True,False,False,False,False,False,True,,False,,False,False
New Jersey,20934,20345.7,19346.0,20380.4,19818.0,20311.2,19127.0,,21072.0,20356.0,20950.3,19765.1,21604.4,20563.5,20918.0,19841.0,,19808.6,,21667.3,18556.5,-588.3,-1588.0,-553.6,-1116.0,-622.8,-1807.0,,138.0,-578.0,16.3,-1168.9,670.4,-370.5,-16.0,-1093.0,,-1125.4,,733.3,-2377.5,False,True,False,False,False,,True,True,True,False,False,True,True,False,,False,,False,False
New Mexico,3115,3210.4,2624.8,3364.6,2790.0,2867.5,3079.0,,3189.0,3268.0,3228.2,2544.4,2753.9,2977.6,2852.0,3873.0,,3055.2,,3298.8,2495.1,95.4,-490.2,249.6,-325.0,-247.5,-36.0,,74.0,153.0,113.2,-570.6,-361.1,-137.4,-263.0,758.0,,-59.8,,183.8,-619.9,False,False,False,False,True,,True,False,False,False,False,False,False,False,,True,,False,False
New York,42134,40370.1,51532.2,40419.6,40324.0,41015.3,39913.0,,42339.6,39914.0,41939.3,41083.8,44987.0,43475.3,43638.5,37088.0,,42545.3,,40702.3,36515.9,-1763.9,9398.2,-1714.4,-1810.0,-1118.7,-2221.0,,205.6,-2220.0,-194.7,-1050.2,2853.0,1341.3,1504.5,-5046.0,,411.3,,-1431.7,-5618.1,False,True,False,True,False,,True,False,True,True,False,True,True,False,,True,,True,False
North Carolina,8586,8171.7,7791.0,8124.0,9763.0,8057.0,8459.0,,8704.4,8149.0,9046.5,8361.4,9765.0,8753.2,8610.0,8015.0,,8265.8,,7863.1,6871.0,-414.3,-795.0,-462.0,1177.0,-529.0,-127.0,,118.4,-437.0,460.5,-224.6,1179.0,167.2,24.0,-571.0,,-320.2,,-722.9,-1715.0,False,False,False,False,True,,True,False,False,True,False,True,True,False,,True,,False,False
North Dakota,1436,1614.7,1537.1,1626.0,1457.0,1428.4,1446.0,,1725.3,2003.0,1501.7,1320.7,1544.7,1447.0,1372.0,1503.0,,1355.9,,2327.8,1453.4,178.7,101.1,190.0,21.0,-7.6,10.0,,289.3,567.0,65.7,-115.3,108.7,11.0,-64.0,67.0,,-80.1,,891.8,17.4,True,False,True,True,True,,False,False,True,True,True,True,True,True,,True,,False,True
Ohio,10680,10742.7,10231.7,10800.4,11100.0,11733.8,10830.0,,11332.9,12162.0,12289.5,9826.9,13525.0,10810.4,10390.0,12641.5,,10918.8,,11053.3,8823.5,62.7,-448.3,120.4,420.0,1053.8,150.0,,652.9,1482.0,1609.5,-853.1,2845.0,130.4,-290.0,1961.5,,238.8,,373.3,-1856.5,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False
Oklahoma,3231,2930.9,2891.1,2924.0,2828.0,2901.9,2984.0,,3190.2,3342.0,3161.8,2727.9,3807.7,3057.1,2991.0,3283.0,,2962.4,,3120.8,2496.4,-300.1,-339.9,-307.0,-403.0,-329.1,-247.0,,-40.8,111.0,-69.2,-503.1,576.7,-173.9,-240.0,52.0,,-268.6,,-110.2,-734.6,False,False,False,False,True,,True,True,True,False,False,True,True,True,,True,,True,False
Oregon,1877,2244.4,1637.4,2290.0,1755.0,2158.6,2027.0,,2423.6,2201.0,2436.7,1733.1,2747.6,2151.8,1983.0,2450.0,,2231.1,,2324.2,1563.4,367.4,-239.6,413.0,-122.0,281.6,150.0,,546.6,324.0,559.7,-143.9,870.6,274.8,106.0,573.0,,354.1,,447.2,-313.6,True,False,True,True,True,,False,True,False,True,False,True,True,False,,True,,False,True
Pennsylvania,20454,20362.0,22627.2,20666.6,22509.0,22019.0,20554.0,,22714.4,21502.0,24626.7,21205.6,21126.1,20153.9,21622.5,19870.5,,19018.4,,27215.1,14809.7,-92.0,2173.2,212.6,2055.0,1565.0,100.0,,2260.4,1048.0,4172.7,751.6,672.1,-300.1,1168.5,-583.5,,-1435.6,,6761.1,-5644.3,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False
Rhode Island,2083,2188.4,2087.4,2204.8,2271.0,2159.1,2117.0,,2295.9,2171.0,2309.8,2040.8,2113.7,2140.3,2226.0,2160.0,,2049.7,,2655.5,1615.2,105.4,4.4,121.8,188.0,76.1,34.0,,212.9,88.0,226.8,-42.2,30.7,57.3,143.0,77.0,,-33.3,,572.5,-467.8,True,False,False,True,True,,False,True,False,True,True,True,False,True,,True,,False,False
South Carolina,6479,5887.0,6639.8,5945.5,8263.0,6054.3,5652.0,,6409.0,5825.0,6603.6,6523.8,6552.2,6931.1,6074.0,5914.0,,5950.6,,6033.5,5293.6,-592.0,160.8,-533.5,1784.0,-424.7,-827.0,,-70.0,-654.0,124.6,44.8,73.2,452.1,-405.0,-565.0,,-528.4,,-445.5,-1185.4,True,True,False,True,False,,True,False,True,True,True,True,True,True,,True,,True,False
South Dakota,1696,1856.4,1743.5,1885.2,1773.0,1872.5,1832.0,,1914.8,2159.0,2034.4,1563.5,1663.1,1723.6,1633.0,1710.0,,1648.8,,1966.3,1680.9,160.4,47.5,189.2,77.0,176.5,136.0,,218.8,463.0,338.4,-132.5,-32.9,27.6,-63.0,14.0,,-47.2,,270.3,-15.1,True,False,True,False,True,,False,False,False,True,True,True,True,True,,True,,False,True
Tennessee,8819,9029.0,8705.9,8760.8,20251.0,8848.1,9471.0,,9218.8,9268.0,10150.7,15701.4,8793.9,9950.0,15717.0,9240.0,,8935.0,,11883.0,6781.1,210.0,-113.1,-58.2,11432.0,29.1,652.0,,399.8,449.0,1331.7,6882.4,-25.1,1131.0,6898.0,421.0,,116.0,,3064.0,-2037.9,True,True,False,True,False,,False,False,False,False,True,False,False,False,,True,,False,False
Texas,34725,32758.1,36950.8,32745.1,34547.0,32058.2,30873.0,,33722.7,32321.0,35040.6,31771.3,35182.8,34306.1,33334.5,31032.5,,31727.3,,35072.3,28230.2,-1759.9,2432.8,-1772.9,29.0,-2459.8,-3645.0,,-795.3,-2197.0,522.6,-2746.7,664.8,-211.9,-1183.5,-3485.5,,-2790.7,,554.3,-6287.8,False,False,True,False,False,,True,False,True,False,True,True,True,False,,False,,True,False
Utah,1582,1640.7,1401.5,1698.0,1521.0,1810.0,1436.0,,1904.3,1819.0,1710.7,1385.2,1522.0,1562.1,1561.0,1821.0,,1613.9,,1897.0,958.8,58.7,-180.5,116.0,-61.0,228.0,-146.0,,322.3,237.0,128.7,-196.8,-60.0,-19.9,-21.0,239.0,,31.9,,315.0,-623.2,False,False,False,False,False,,False,False,False,False,False,True,True,False,,True,,False,False
Vermont,170,188.7,180.3,173.0,163.0,200.3,146.0,,190.0,221.0,223.1,184.2,317.2,306.6,197.0,130.0,,153.5,,380.6,114.7,18.7,10.3,3.0,-7.0,30.3,-24.0,,20.0,51.0,53.1,14.2,147.2,136.6,27.0,-40.0,,-16.5,,210.6,-55.3,True,True,True,False,False,,False,False,False,True,False,False,False,False,,True,,False,False
Virginia,6079,5810.9,6458.4,5814.5,6500.0,5875.7,5760.0,,6262.8,5903.5,6451.7,6082.5,7565.7,6479.5,6381.0,5240.0,,5583.1,,5827.4,5029.2,-268.1,379.4,-264.5,421.0,-203.3,-319.0,,183.8,-175.5,372.7,3.5,1486.7,400.5,302.0,-839.0,,-495.9,,-251.6,-1049.8,False,True,False,True,False,,True,True,False,True,False,False,False,False,,False,,True,False
Washington,4114,3895.7,3383.9,3919.0,3304.0,3704.7,3796.0,,4136.9,4214.0,3682.4,3399.6,4873.9,3945.8,3172.0,3632.0,,3846.9,,,3347.6,-218.3,-730.1,-195.0,-810.0,-409.3,-318.0,,22.9,100.0,-431.6,-714.4,759.9,-168.2,-942.0,-482.0,,-267.1,,,-766.4,False,True,False,False,False,,True,True,False,False,False,True,False,False,,False,,,False
West Virginia,1872,1905.1,1805.8,1902.0,1815.0,1746.3,1783.0,,2066.4,1933.0,2284.0,1775.3,2131.7,2047.0,2114.0,1919.0,,1955.1,,3170.6,1367.7,33.1,-66.2,30.0,-57.0,-125.7,-89.0,,194.4,61.0,412.0,-96.7,259.7,175.0,242.0,47.0,,83.1,,1298.6,-504.3,False,True,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False
Wisconsin,6184,6705.3,6781.4,6712.3,5987.0,6002.4,6117.0,,7017.1,6526.0,6762.6,5317.0,6780.8,6009.5,6392.0,6566.0,,6401.3,,6644.7,5574.4,521.3,597.4,528.3,-197.0,-181.6,-67.0,,833.1,342.0,578.6,-867.0,596.8,-174.5,208.0,382.0,,217.3,,460.7,-609.6,False,False,True,True,True,,False,True,False,False,False,True,True,True,,True,,True,False
Wyoming,571,496.7,466.0,501.0,437.0,493.7,529.0,,533.6,658.0,475.8,390.2,554.7,459.7,561.0,551.0,,442.1,,585.1,438.8,-74.3,-105.0,-70.0,-134.0,-77.3,-42.0,,-37.4,87.0,-95.2,-180.8,-16.3,-111.3,-10.0,-20.0,,-128.9,,14.1,-132.2,False,True,False,False,True,,True,False,False,False,True,False,True,True,,False,,True,False
US,417476,406918.0,487659.3,407440.1,455250.0,403602.7,400747.0,419320.0,430628.6,420917.0,441414.4,406955.6,441724.6,425066.0,422125.5,401433.5,416426.3,400298.9,474512.0,,343155.6,-10349.0,70392.3,-9826.9,37983.0,-13664.3,-16520.0,2053.0,13361.6,3650.0,24147.4,-10311.4,24457.6,7799.0,4858.5,-15833.5,-840.7,-16968.1,57245.0,,-74111.4,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,,False
